Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 3649+'],[' 1829'],"[' 1002.764s (Solving', ' 992.39s 1st Model', ' 16.37s Unsat', ' 0.00s)']",[' 995.438s'], ,[' 151406428'],"[' 24498449 (Analyzed', ' 24258470)']","[' 44575    (Average', ' 544.22 Last', ' 19838)']",[' 3552.2  '],"[' 1829     (Average Length', ' 978.69 Splits', ' 0)']","[' 24258470 (Deleted', ' 24013519)']","[' 133      (Ratio', '   0.00%)']","[' 15990    (Ratio', '   0.07%)']","[' 24258470 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24258470 (Average', '  6.03 Max', ' 3821 Sum', ' 146343017)']","[' 24257771 (Average', '  6.00 Max', ' 3821 Sum', ' 145573411 Ratio', '  99.47%)']","[' 699      (Average', ' 1101.01 Max', ' 1325 Sum', ' 769606 Ratio', '   0.53%)']", ,[' 108298  '],[' 5993    '],[' 99661   '],[' 42751   '],"[' 118533   (Atom=Atom', ' 32064 Body=Body', ' 20789 Other', ' 65680)']",[' Yes'],"[' 8098     (Eliminated', '    0 Frozen', ' 8098)']","[' 2599     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38798'],[' 0'], ,[' 681.743'],[' 0'],[' 21.5751'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.63726e+08'],[' 2.56679e+08'],[' 0'],[' 3.88249e+10'],[' 0'],[' 0'],[' 981 '],[' 1862 '],[' 2633 '],[' 3473 '],[' 4 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 3339+'],[' 1674'],"[' 1002.402s (Solving', ' 993.46s 1st Model', ' 11.72s Unsat', ' 0.00s)']",[' 999.563s'], ,[' 190464828'],"[' 22342173 (Analyzed', ' 22121125)']","[' 39030    (Average', ' 566.77 Last', ' 10263)']",[' 3421.2  '],"[' 1674     (Average Length', ' 920.06 Splits', ' 0)']","[' 22121125 (Deleted', ' 21929217)']","[' 157      (Ratio', '   0.00%)']","[' 17608    (Ratio', '   0.08%)']","[' 22121125 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22121125 (Average', '  8.40 Max', ' 4700 Sum', ' 185878720)']","[' 22120404 (Average', '  8.37 Max', ' 3853 Sum', ' 185108812 Ratio', '  99.59%)']","[' 721      (Average', ' 1067.83 Max', ' 1253 Sum', ' 769908 Ratio', '   0.41%)']", ,[' 109035  '],[' 6152    '],[' 100218  '],[' 43350   '],"[' 120489   (Atom=Atom', ' 32545 Body=Body', ' 21266 Other', ' 66678)']",[' Yes'],"[' 8182     (Eliminated', '    0 Frozen', ' 8182)']","[' 3204     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.05807'],[' 0'], ,[' 675.729'],[' 0'],[' 23.0165'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.91089e+08'],[' 3.67822e+08'],[' 0'],[' 3.90696e+10'],[' 0'],[' 0'],[' 971 '],[' 2021 '],[' 2859 '],[' 3742 '],[' 4 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 3389+'],[' 1699'],"[' 1002.714s (Solving', ' 992.89s 1st Model', ' 18.88s Unsat', ' 0.00s)']",[' 999.938s'], ,[' 226559199'],"[' 20818451 (Analyzed', ' 20555548)']","[' 36982    (Average', ' 555.83 Last', ' 139373)']",[' 3355.2  '],"[' 1699     (Average Length', ' 921.25 Splits', ' 0)']","[' 20555548 (Deleted', ' 20350463)']","[' 219      (Ratio', '   0.00%)']","[' 21289    (Ratio', '   0.10%)']","[' 20555548 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20555548 (Average', ' 10.79 Max', ' 4657 Sum', ' 221856006)']","[' 20554884 (Average', ' 10.76 Max', ' 3457 Sum', ' 221190908 Ratio', '  99.70%)']","[' 664      (Average', ' 1001.65 Max', ' 1200 Sum', ' 665098 Ratio', '   0.30%)']", ,[' 108030  '],[' 6027    '],[' 99439   '],[' 42661   '],"[' 118606   (Atom=Atom', ' 32070 Body=Body', ' 20891 Other', ' 65645)']",[' Yes'],"[' 8046     (Eliminated', '    0 Frozen', ' 8046)']","[' 3847     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28212'],[' 0'], ,[' 632.884'],[' 0'],[' 24.949'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.90812e+08'],[' 4.49681e+08'],[' 0'],[' 3.58369e+10'],[' 0'],[' 0'],[' 1002 '],[' 1801 '],[' 2463 '],[' 3326 '],[' 4 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 3359+'],[' 1684'],"[' 1002.488s (Solving', ' 993.11s 1st Model', ' 13.04s Unsat', ' 0.00s)']",[' 1000.172s'], ,[' 167478881'],"[' 27127505 (Analyzed', ' 26760071)']","[' 47938    (Average', ' 558.22 Last', ' 274061)']",[' 3608.3  '],"[' 1684     (Average Length', ' 905.01 Splits', ' 0)']","[' 26760071 (Deleted', ' 26494268)']","[' 143      (Ratio', '   0.00%)']","[' 18074    (Ratio', '   0.07%)']","[' 26760071 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26760071 (Average', '  6.06 Max', ' 3887 Sum', ' 162194634)']","[' 26759387 (Average', '  6.04 Max', ' 3887 Sum', ' 161544255 Ratio', '  99.60%)']","[' 684      (Average', ' 950.85 Max', ' 1126 Sum', ' 650379 Ratio', '   0.40%)']", ,[' 107845  '],[' 6064    '],[' 99423   '],[' 42480   '],"[' 119248   (Atom=Atom', ' 32203 Body=Body', ' 21002 Other', ' 66043)']",[' Yes'],"[' 8043     (Eliminated', '    0 Frozen', ' 8043)']","[' 2903     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.19424'],[' 0'], ,[' 681.728'],[' 0'],[' 22.1128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7058e+08'],[' 2.67255e+08'],[' 0'],[' 4.1357e+10'],[' 0'],[' 0'],[' 1263 '],[' 1975 '],[' 2717 '],[' 3302 '],[' 4 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 2535+'],[' 1271'],"[' 232597.114s (Solving', ' 232575.49s 1st Model', ' 12.09s Unsat', ' 0.00s)']",[' 745.578s'], ,[' 117561631'],"[' 12871330 (Analyzed', ' 12018345)']","[' 21855    (Average', ' 549.91 Last', ' 2338)']",[' 4071.7  '],"[' 1271     (Average Length', ' 769.68 Splits', ' 0)']","[' 12018345 (Deleted', ' 11917391)']","[' 84       (Ratio', '   0.00%)']","[' 13794    (Ratio', '   0.11%)']","[' 12018345 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12018345 (Average', '  9.36 Max', ' 4121 Sum', ' 112540138)']","[' 12017367 (Average', '  9.32 Max', ' 4103 Sum', ' 111972288 Ratio', '  99.50%)']","[' 978      (Average', ' 580.62 Max', ' 1269 Sum', ' 567850 Ratio', '   0.50%)']", ,[' 107737  '],[' 6191    '],[' 99182   '],[' 42410   '],"[' 119817   (Atom=Atom', ' 32299 Body=Body', ' 21383 Other', ' 66135)']",[' Yes'],"[' 7846     (Eliminated', '    0 Frozen', ' 7846)']","[' 2305     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.71627'],[' 0'], ,[' 522.029'],[' 0'],[' 16.4832'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45362e+08'],[' 1.86951e+08'],[' 0'],[' 2.96988e+10'],[' 0'],[' 0'],[' 3619 '],[' 2105 '],[' 2766 '],[' 3744 '],[' 4 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 3665+'],[' 1837'],"[' 1002.665s (Solving', ' 992.70s 1st Model', ' 14.51s Unsat', ' 0.00s)']",[' 1000.188s'], ,[' 194302179'],"[' 22410954 (Analyzed', ' 22095119)']","[' 38771    (Average', ' 569.89 Last', ' 45008)']",[' 3390.0  '],"[' 1837     (Average Length', ' 991.40 Splits', ' 0)']","[' 22095119 (Deleted', ' 21891059)']","[' 171      (Ratio', '   0.00%)']","[' 18124    (Ratio', '   0.08%)']","[' 22095119 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22095119 (Average', '  8.57 Max', ' 3619 Sum', ' 189411982)']","[' 22094393 (Average', '  8.54 Max', ' 3619 Sum', ' 188597198 Ratio', '  99.57%)']","[' 726      (Average', ' 1122.29 Max', ' 1305 Sum', ' 814784 Ratio', '   0.43%)']", ,[' 108531  '],[' 6035    '],[' 99991   '],[' 42910   '],"[' 119182   (Atom=Atom', ' 32240 Body=Body', ' 20915 Other', ' 66027)']",[' Yes'],"[' 8190     (Eliminated', '    0 Frozen', ' 8190)']","[' 3713     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1773'],[' 0'], ,[' 667.412'],[' 0'],[' 23.1266'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.14567e+08'],[' 3.83835e+08'],[' 0'],[' 3.96464e+10'],[' 0'],[' 0'],[' 976 '],[' 1773 '],[' 2794 '],[' 3728 '],[' 4 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 3539+'],[' 1774'],"[' 1002.636s (Solving', ' 992.90s 1st Model', ' 9.31s Unsat', ' 0.00s)']",[' 1000.047s'], ,[' 149718486'],"[' 27900307 (Analyzed', ' 27604212)']","[' 50001    (Average', ' 552.07 Last', ' 2876)']",[' 3583.0  '],"[' 1774     (Average Length', ' 960.74 Splits', ' 0)']","[' 27604212 (Deleted', ' 27338162)']","[' 140      (Ratio', '   0.00%)']","[' 15385    (Ratio', '   0.06%)']","[' 27604212 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27604212 (Average', '  5.23 Max', ' 4605 Sum', ' 144476780)']","[' 27603444 (Average', '  5.21 Max', ' 3849 Sum', ' 143680494 Ratio', '  99.45%)']","[' 768      (Average', ' 1036.83 Max', ' 1268 Sum', ' 796286 Ratio', '   0.55%)']", ,[' 107993  '],[' 6090    '],[' 99686   '],[' 42669   '],"[' 119768   (Atom=Atom', ' 32397 Body=Body', ' 21080 Other', ' 66291)']",[' Yes'],"[' 8170     (Eliminated', '    0 Frozen', ' 8170)']","[' 2890     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12709'],[' 0'], ,[' 692.671'],[' 0'],[' 20.9201'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.41082e+08'],[' 2.3622e+08'],[' 0'],[' 4.17924e+10'],[' 0'],[' 0'],[' 1152 '],[' 2092 '],[' 2831 '],[' 3702 '],[' 4 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 3611+'],[' 1810'],"[' 1002.706s (Solving', ' 992.81s 1st Model', ' 12.32s Unsat', ' 0.00s)']",[' 999.375s'], ,[' 162850371'],"[' 27982144 (Analyzed', ' 27620589)']","[' 50469    (Average', ' 547.28 Last', ' 48625)']",[' 3643.0  '],"[' 1810     (Average Length', ' 956.08 Splits', ' 0)']","[' 27620589 (Deleted', ' 27329246)']","[' 164      (Ratio', '   0.00%)']","[' 17157    (Ratio', '   0.06%)']","[' 27620589 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27620589 (Average', '  5.70 Max', ' 3850 Sum', ' 157348964)']","[' 27619890 (Average', '  5.67 Max', ' 3850 Sum', ' 156642339 Ratio', '  99.55%)']","[' 699      (Average', ' 1010.91 Max', ' 1201 Sum', ' 706625 Ratio', '   0.45%)']", ,[' 107857  '],[' 5978    '],[' 99428   '],[' 42439   '],"[' 118239   (Atom=Atom', ' 31985 Body=Body', ' 20744 Other', ' 65510)']",[' Yes'],"[' 8066     (Eliminated', '    0 Frozen', ' 8066)']","[' 2467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17088'],[' 0'], ,[' 680.208'],[' 0'],[' 21.5312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.67095e+08'],[' 2.63354e+08'],[' 0'],[' 3.89729e+10'],[' 0'],[' 0'],[' 1045 '],[' 1778 '],[' 2567 '],[' 3283 '],[' 4 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 3439+'],[' 1724'],"[' 1002.573s (Solving', ' 992.90s 1st Model', ' 10.01s Unsat', ' 0.00s)']",[' 1000.203s'], ,[' 156953917'],"[' 24851515 (Analyzed', ' 24569570)']","[' 44268    (Average', ' 555.02 Last', ' 12993)']",[' 3647.8  '],"[' 1724     (Average Length', ' 939.78 Splits', ' 0)']","[' 24569570 (Deleted', ' 24353917)']","[' 140      (Ratio', '   0.00%)']","[' 17725    (Ratio', '   0.07%)']","[' 24569570 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24569570 (Average', '  6.17 Max', ' 3925 Sum', ' 151629390)']","[' 24568757 (Average', '  6.14 Max', ' 3925 Sum', ' 150832904 Ratio', '  99.47%)']","[' 813      (Average', ' 979.69 Max', ' 1200 Sum', ' 796486 Ratio', '   0.53%)']", ,[' 108669  '],[' 6197    '],[' 100350  '],[' 43100   '],"[' 121274   (Atom=Atom', ' 32775 Body=Body', ' 21401 Other', ' 67098)']",[' Yes'],"[' 8243     (Eliminated', '    0 Frozen', ' 8243)']","[' 3237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14963'],[' 0'], ,[' 700.615'],[' 0'],[' 23.0432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64629e+08'],[' 2.61972e+08'],[' 0'],[' 4.2435e+10'],[' 0'],[' 0'],[' 1329 '],[' 2232 '],[' 2891 '],[' 3781 '],[' 4 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 2863+'],[' 1436'],"[' 1002.269s (Solving', ' 994.45s 1st Model', ' 7.66s Unsat', ' 0.00s)']",[' 999.406s'], ,[' 135144790'],"[' 32113640 (Analyzed', ' 31935885)']","[' 54359    (Average', ' 587.50 Last', ' 811)']",[' 3561.8  '],"[' 1436     (Average Length', ' 789.86 Splits', ' 0)']","[' 31935885 (Deleted', ' 31646359)']","[' 95       (Ratio', '   0.00%)']","[' 10942    (Ratio', '   0.03%)']","[' 31935885 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31935885 (Average', '  4.09 Max', ' 4508 Sum', ' 130550797)']","[' 31935103 (Average', '  4.07 Max', ' 4318 Sum', ' 129841841 Ratio', '  99.46%)']","[' 782      (Average', ' 906.59 Max', ' 999 Sum', ' 708956 Ratio', '   0.54%)']", ,[' 108448  '],[' 6086    '],[' 99467   '],[' 42794   '],"[' 118888   (Atom=Atom', ' 32043 Body=Body', ' 21068 Other', ' 65777)']",[' Yes'],"[' 7897     (Eliminated', '    0 Frozen', ' 7897)']","[' 1886     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68302'],[' 0'], ,[' 700.717'],[' 0'],[' 19.0115'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90541e+08'],[' 1.92257e+08'],[' 0'],[' 4.37494e+10'],[' 0'],[' 0'],[' 977 '],[' 2231 '],[' 2982 '],[' 3886 '],[' 4 '],[' 0 ']
