Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 6923+'],[' 3467'],"[' 614.621s (Solving', ' 563.02s 1st Model', ' 95.38s Unsat', ' 0.00s)']",[' 609.328s'], ,[' 260209525'],"[' 3900509  (Analyzed', ' 2549732)']","[' 6898     (Average', ' 369.63 Last', ' 26221)']",[' 10060.1 '],"[' 3467     (Average Length', ' 1823.85 Splits', ' 0)']","[' 2549732  (Deleted', ' 2470643)']","[' 88       (Ratio', '   0.00%)']","[' 38630    (Ratio', '   1.52%)']","[' 2549732  (Average Length', '   28.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2549732  (Average', ' 92.49 Max', ' 14075 Sum', ' 235829273)']","[' 2546548  (Average', ' 90.09 Max', ' 13114 Sum', ' 229698736 Ratio', '  97.40%)']","[' 3184     (Average', ' 1925.42 Max', ' 2447 Sum', ' 6130537 Ratio', '   2.60%)']", ,[' 349079  '],[' 20186   '],[' 316635  '],[' 134328  '],"[' 365006   (Atom=Atom', ' 97423 Body=Body', ' 66238 Other', ' 201345)']",[' Yes'],"[' 24332    (Eliminated', '    0 Frozen', ' 24332)']","[' 7168     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.44907'],[' 0'], ,[' 212.72'],[' 0'],[' 17.3482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.40699e+08'],[' 3.91765e+08'],[' 0'],[' 8.74663e+09'],[' 0'],[' 0'],[' 1871 '],[' 3409 '],[' 4505 '],[' 5314 '],[' 6399 '],[' 5 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 7573+'],[' 3792'],"[' 614.356s (Solving', ' 564.51s 1st Model', ' 110.77s Unsat', ' 0.00s)']",[' 611.563s'], ,[' 261406589'],"[' 3180635  (Analyzed', ' 2134149)']","[' 6464     (Average', ' 330.16 Last', ' 68944)']",[' 9350.7  '],"[' 3792     (Average Length', ' 1932.17 Splits', ' 0)']","[' 2134149  (Deleted', ' 2057407)']","[' 81       (Ratio', '   0.00%)']","[' 42044    (Ratio', '   1.97%)']","[' 2134149  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2134149  (Average', ' 111.75 Max', ' 12194 Sum', ' 238498295)']","[' 2131165  (Average', ' 108.69 Max', ' 12194 Sum', ' 231964815 Ratio', '  97.26%)']","[' 2984     (Average', ' 2189.50 Max', ' 2662 Sum', ' 6533480 Ratio', '   2.74%)']", ,[' 350590  '],[' 19742   '],[' 316591  '],[' 134787  '],"[' 359021   (Atom=Atom', ' 95972 Body=Body', ' 64906 Other', ' 198143)']",[' Yes'],"[' 24066    (Eliminated', '    0 Frozen', ' 24066)']","[' 8197     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.2571'],[' 0'], ,[' 211.456'],[' 0'],[' 17.2685'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.77138e+08'],[' 4.25455e+08'],[' 0'],[' 9.17507e+09'],[' 0'],[' 0'],[' 1415 '],[' 2645 '],[' 4017 '],[' 4890 '],[' 5976 '],[' 5 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 6867+'],[' 3439'],"[' 614.144s (Solving', ' 563.75s 1st Model', ' 93.50s Unsat', ' 0.00s)']",[' 612.047s'], ,[' 261362246'],"[' 4881846  (Analyzed', ' 3257266)']","[' 8271     (Average', ' 393.82 Last', ' 6168)']",[' 10999.1 '],"[' 3439     (Average Length', ' 1793.44 Splits', ' 0)']","[' 3257266  (Deleted', ' 3186938)']","[' 38       (Ratio', '   0.00%)']","[' 25194    (Ratio', '   0.77%)']","[' 3257266  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3257266  (Average', ' 71.75 Max', ' 13977 Sum', ' 233698726)']","[' 3253869  (Average', ' 69.90 Max', ' 13977 Sum', ' 227683475 Ratio', '  97.43%)']","[' 3397     (Average', ' 1770.75 Max', ' 2373 Sum', ' 6015251 Ratio', '   2.57%)']", ,[' 346637  '],[' 19953   '],[' 314413  '],[' 133011  '],"[' 361433   (Atom=Atom', ' 96463 Body=Body', ' 65539 Other', ' 199431)']",[' Yes'],"[' 24042    (Eliminated', '    0 Frozen', ' 24042)']","[' 4802     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.4621'],[' 0'], ,[' 234.242'],[' 0'],[' 18.0391'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.60281e+08'],[' 3.20137e+08'],[' 0'],[' 1.02974e+10'],[' 0'],[' 0'],[' 1958 '],[' 3395 '],[' 4323 '],[' 5465 '],[' 6428 '],[' 5 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 5941+'],[' 2976'],"[' 506.003s (Solving', ' 461.21s 1st Model', ' 94.19s Unsat', ' 0.00s)']",[' 503.688s'], ,[' 213902223'],"[' 2585117  (Analyzed', ' 2454212)']","[' 6014     (Average', ' 408.08 Last', ' 9196)']",[' 12272.1 '],"[' 2975     (Average Length', ' 1568.90 Splits', ' 0)']","[' 2454212  (Deleted', ' 2398747)']","[' 34       (Ratio', '   0.00%)']","[' 15950    (Ratio', '   0.65%)']","[' 2454212  (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2454212  (Average', ' 75.78 Max', ' 15208 Sum', ' 185984512)']","[' 2451208  (Average', ' 74.05 Max', ' 15208 Sum', ' 181723359 Ratio', '  97.71%)']","[' 3004     (Average', ' 1418.49 Max', ' 1838 Sum', ' 4261153 Ratio', '   2.29%)']", ,[' 347079  '],[' 19799   '],[' 313386  '],[' 133065  '],"[' 357423   (Atom=Atom', ' 95384 Body=Body', ' 65077 Other', ' 196962)']",[' Yes'],"[' 23505    (Eliminated', '    0 Frozen', ' 23505)']","[' 2856     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.54153'],[' 0'], ,[' 193.173'],[' 0'],[' 14.5758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7364e+08'],[' 2.49359e+08'],[' 0'],[' 8.68559e+09'],[' 0'],[' 0'],[' 5277 '],[' 3053 '],[' 4172 '],[' 5441 '],[' 6199 '],[' 5 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 6379+'],[' 3195'],"[' 613.355s (Solving', ' 566.49s 1st Model', ' 83.75s Unsat', ' 0.00s)']",[' 611.313s'], ,[' 233728287'],"[' 4522845  (Analyzed', ' 3481345)']","[' 8446     (Average', ' 412.19 Last', ' 102173)']",[' 9876.7  '],"[' 3195     (Average Length', ' 1708.83 Splits', ' 0)']","[' 3481345  (Deleted', ' 3407077)']","[' 40       (Ratio', '   0.00%)']","[' 32540    (Ratio', '   0.93%)']","[' 3481345  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3481345  (Average', ' 60.97 Max', ' 13019 Sum', ' 212258490)']","[' 3478056  (Average', ' 59.20 Max', ' 13019 Sum', ' 206091321 Ratio', '  97.09%)']","[' 3289     (Average', ' 1875.09 Max', ' 2304 Sum', ' 6167169 Ratio', '   2.91%)']", ,[' 348150  '],[' 19894   '],[' 315221  '],[' 133319  '],"[' 359436   (Atom=Atom', ' 95983 Body=Body', ' 65362 Other', ' 198091)']",[' Yes'],"[' 23888    (Eliminated', '    0 Frozen', ' 23888)']","[' 6220     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.73913'],[' 0'], ,[' 242.068'],[' 0'],[' 16.8612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.86013e+08'],[' 3.39983e+08'],[' 0'],[' 1.07894e+10'],[' 0'],[' 0'],[' 1680 '],[' 2986 '],[' 4210 '],[' 5311 '],[' 6526 '],[' 5 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 6857+'],[' 3434'],"[' 614.580s (Solving', ' 564.66s 1st Model', ' 95.60s Unsat', ' 0.00s)']",[' 611.828s'], ,[' 240812077'],"[' 3847039  (Analyzed', ' 2592732)']","[' 6970     (Average', ' 371.98 Last', ' 14494)']",[' 9822.8  '],"[' 3434     (Average Length', ' 1769.93 Splits', ' 0)']","[' 2592732  (Deleted', ' 2523321)']","[' 48       (Ratio', '   0.00%)']","[' 32750    (Ratio', '   1.26%)']","[' 2592732  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2592732  (Average', ' 83.91 Max', ' 12992 Sum', ' 217548843)']","[' 2589621  (Average', ' 81.56 Max', ' 12992 Sum', ' 211451851 Ratio', '  97.20%)']","[' 3111     (Average', ' 1959.82 Max', ' 2402 Sum', ' 6096992 Ratio', '   2.80%)']", ,[' 350501  '],[' 19748   '],[' 316236  '],[' 134499  '],"[' 357891   (Atom=Atom', ' 95638 Body=Body', ' 64924 Other', ' 197329)']",[' Yes'],"[' 23832    (Eliminated', '    0 Frozen', ' 23832)']","[' 6635     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.47647'],[' 0'], ,[' 226.018'],[' 0'],[' 17.4279'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.70441e+08'],[' 3.2832e+08'],[' 0'],[' 9.24877e+09'],[' 0'],[' 0'],[' 1634 '],[' 2869 '],[' 3960 '],[' 5053 '],[' 6404 '],[' 5 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 7077+'],[' 3544'],"[' 614.840s (Solving', ' 563.29s 1st Model', ' 91.57s Unsat', ' 0.00s)']",[' 609.891s'], ,[' 217347827'],"[' 5428287  (Analyzed', ' 4082687)']","[' 9617     (Average', ' 424.53 Last', ' 17729)']",[' 10511.7 '],"[' 3544     (Average Length', ' 1809.15 Splits', ' 0)']","[' 4082687  (Deleted', ' 4013796)']","[' 38       (Ratio', '   0.00%)']","[' 21712    (Ratio', '   0.53%)']","[' 4082687  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4082687  (Average', ' 46.65 Max', ' 14563 Sum', ' 190456397)']","[' 4079748  (Average', ' 45.24 Max', ' 14563 Sum', ' 184695221 Ratio', '  96.98%)']","[' 2939     (Average', ' 1960.25 Max', ' 3599 Sum', ' 5761176 Ratio', '   3.02%)']", ,[' 347007  '],[' 19798   '],[' 314646  '],[' 132762  '],"[' 359149   (Atom=Atom', ' 95948 Body=Body', ' 65074 Other', ' 198127)']",[' Yes'],"[' 23953    (Eliminated', '    0 Frozen', ' 23953)']","[' 4264     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.63267'],[' 0'], ,[' 248.364'],[' 0'],[' 16.0876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13048e+08'],[' 2.71826e+08'],[' 0'],[' 1.12102e+10'],[' 0'],[' 0'],[' 1741 '],[' 3392 '],[' 4140 '],[' 5148 '],[' 6196 '],[' 5 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 6961+'],[' 3486'],"[' 613.850s (Solving', ' 565.65s 1st Model', ' 96.71s Unsat', ' 0.00s)']",[' 611.516s'], ,[' 253793357'],"[' 3386816  (Analyzed', ' 2557840)']","[' 7027     (Average', ' 364.00 Last', ' 17159)']",[' 9351.5  '],"[' 3486     (Average Length', ' 1835.46 Splits', ' 0)']","[' 2557840  (Deleted', ' 2478662)']","[' 90       (Ratio', '   0.00%)']","[' 38812    (Ratio', '   1.52%)']","[' 2557840  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2557840  (Average', ' 91.07 Max', ' 12124 Sum', ' 232946929)']","[' 2554639  (Average', ' 88.55 Max', ' 12124 Sum', ' 226508368 Ratio', '  97.24%)']","[' 3201     (Average', ' 2011.42 Max', ' 4166 Sum', ' 6438561 Ratio', '   2.76%)']", ,[' 350569  '],[' 19857   '],[' 316259  '],[' 135108  '],"[' 359993   (Atom=Atom', ' 96126 Body=Body', ' 65251 Other', ' 198616)']",[' Yes'],"[' 24090    (Eliminated', '    0 Frozen', ' 24090)']","[' 8056     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.87881'],[' 0'], ,[' 220.838'],[' 0'],[' 17.2498'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.60511e+08'],[' 4.0983e+08'],[' 0'],[' 9.82341e+09'],[' 0'],[' 0'],[' 1458 '],[' 2774 '],[' 4016 '],[' 5215 '],[' 6371 '],[' 5 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 7667+'],[' 3839'],"[' 615.306s (Solving', ' 561.36s 1st Model', ' 119.93s Unsat', ' 0.00s)']",[' 611.516s'], ,[' 250542615'],"[' 3290502  (Analyzed', ' 2338618)']","[' 6732     (Average', ' 347.39 Last', ' 42562)']",[' 9856.9  '],"[' 3839     (Average Length', ' 1966.98 Splits', ' 0)']","[' 2338618  (Deleted', ' 2264289)']","[' 66       (Ratio', '   0.00%)']","[' 36742    (Ratio', '   1.57%)']","[' 2338618  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2338618  (Average', ' 96.50 Max', ' 14446 Sum', ' 225673694)']","[' 2335445  (Average', ' 93.63 Max', ' 12887 Sum', ' 218975467 Ratio', '  97.03%)']","[' 3173     (Average', ' 2111.01 Max', ' 2669 Sum', ' 6698227 Ratio', '   2.97%)']", ,[' 352542  '],[' 19922   '],[' 318588  '],[' 135690  '],"[' 362016   (Atom=Atom', ' 96739 Body=Body', ' 65446 Other', ' 199831)']",[' Yes'],"[' 24388    (Eliminated', '    0 Frozen', ' 24388)']","[' 6877     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.91224'],[' 0'], ,[' 204.974'],[' 0'],[' 17.077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.32307e+08'],[' 3.85438e+08'],[' 0'],[' 8.09727e+09'],[' 0'],[' 0'],[' 1395 '],[' 2723 '],[' 3881 '],[' 5000 '],[' 5956 '],[' 5 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 6789+'],[' 3400'],"[' 613.676s (Solving', ' 566.28s 1st Model', ' 104.34s Unsat', ' 0.00s)']",[' 611.203s'], ,[' 243350014'],"[' 4703226  (Analyzed', ' 3310568)']","[' 8540     (Average', ' 387.65 Last', ' 21729)']",[' 10262.6 '],"[' 3400     (Average Length', ' 1744.21 Splits', ' 0)']","[' 3310568  (Deleted', ' 3229314)']","[' 44       (Ratio', '   0.00%)']","[' 32324    (Ratio', '   0.98%)']","[' 3310568  (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3310568  (Average', ' 65.86 Max', ' 13622 Sum', ' 218037822)']","[' 3307561  (Average', ' 64.19 Max', ' 13622 Sum', ' 212495180 Ratio', '  97.46%)']","[' 3007     (Average', ' 1843.25 Max', ' 2307 Sum', ' 5542642 Ratio', '   2.54%)']", ,[' 347598  '],[' 19949   '],[' 315113  '],[' 133287  '],"[' 360866   (Atom=Atom', ' 96408 Body=Body', ' 65527 Other', ' 198931)']",[' Yes'],"[' 23994    (Eliminated', '    0 Frozen', ' 23994)']","[' 6208     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.83613'],[' 0'], ,[' 239.789'],[' 0'],[' 16.9382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.78602e+08'],[' 3.37011e+08'],[' 0'],[' 1.09153e+10'],[' 0'],[' 0'],[' 1762 '],[' 3074 '],[' 4051 '],[' 5106 '],[' 6056 '],[' 5 '],[' 0 ']
