Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu75_Clus(1), , , , , , , , , , ,[' 1'],[' 3951+'],[' 1979'],"[' 334.373s (Solving', ' 326.17s 1st Model', ' 217.48s Unsat', ' 54.30s)']",[' 332.281s'], ,[' 121008528'],"[' 6479419  (Analyzed', ' 5816571)']","[' 15652    (Average', ' 371.62 Last', ' 774299)']",[' 3755.1  '],"[' 1978     (Average Length', ' 1066.14 Splits', ' 0)']","[' 5816571  (Deleted', ' 5780376)']","[' 435      (Ratio', '   0.01%)']","[' 12551    (Ratio', '   0.22%)']","[' 5816571  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5816571  (Average', ' 19.79 Max', ' 4105 Sum', ' 115131668)']","[' 5816109  (Average', ' 19.71 Max', ' 4105 Sum', ' 114657308 Ratio', '  99.59%)']","[' 462      (Average', ' 1026.75 Max', ' 1533 Sum', ' 474360 Ratio', '   0.41%)']", ,[' 92393   '],[' 5938    '],[' 86537   '],[' 39007   '],"[' 114765   (Atom=Atom', ' 29976 Body=Body', ' 19836 Other', ' 64953)']",[' Yes'],"[' 8108     (Eliminated', '    0 Frozen', ' 8108)']","[' 2385     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63888'],[' 0'], ,[' 162.2'],[' 0'],[' 8.72395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35734e+08'],[' 3.57226e+08'],[' 0'],[' 6.95193e+09'],[' 0'],[' 0'],[' 2518 '],[' 4804 '],[' 10249 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(10), , , , , , , , , , , ,[' 4155'],[' 2081'],"[' 443.517s (Solving', ' 433.65s 1st Model', ' 59.58s Unsat', ' 0.05s)']",[' 440.156s'], ,[' 171045819'],"[' 7082065  (Analyzed', ' 6494602)']","[' 13420    (Average', ' 483.95 Last', ' 90285)']",[' 3987.1  '],"[' 2081     (Average Length', ' 1101.14 Splits', ' 0)']","[' 6494602  (Deleted', ' 6428378)']","[' 589      (Ratio', '   0.01%)']","[' 26009    (Ratio', '   0.40%)']","[' 6494602  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6494602  (Average', ' 25.33 Max', ' 3734 Sum', ' 164528642)']","[' 6494093  (Average', ' 25.26 Max', ' 3734 Sum', ' 164084503 Ratio', '  99.73%)']","[' 509      (Average', ' 872.57 Max', ' 1268 Sum', ' 444139 Ratio', '   0.27%)']", ,[' 93571   '],[' 6087    '],[' 87713   '],[' 39795   '],"[' 117449   (Atom=Atom', ' 30688 Body=Body', ' 20289 Other', ' 66472)']",[' Yes'],"[' 8342     (Eliminated', '    0 Frozen', ' 8342)']","[' 4451     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.0306'],[' 0'], ,[' 198.956'],[' 0'],[' 12.2631'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.89671e+08'],[' 4.92701e+08'],[' 0'],[' 9.14897e+09'],[' 0'],[' 0'],[' 2693 '],[' 5002 '],[' 7376 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(11), , , , , , , , , , ,[' 1'],[' 3867+'],[' 1937'],"[' 416.986s (Solving', ' 408.44s 1st Model', ' 185.51s Unsat', ' 0.00s)']",[' 413.047s'], ,[' 129154275'],"[' 7268551  (Analyzed', ' 6598110)']","[' 15865    (Average', ' 415.89 Last', ' 584898)']",[' 3813.9  '],"[' 1936     (Average Length', ' 1054.49 Splits', ' 0)']","[' 6598110  (Deleted', ' 6555627)']","[' 450      (Ratio', '   0.01%)']","[' 14010    (Ratio', '   0.21%)']","[' 6598110  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6598110  (Average', ' 18.67 Max', ' 4137 Sum', ' 123207621)']","[' 6597715  (Average', ' 18.61 Max', ' 4137 Sum', ' 122766519 Ratio', '  99.64%)']","[' 395      (Average', ' 1116.71 Max', ' 3087 Sum', ' 441102 Ratio', '   0.36%)']", ,[' 92424   '],[' 6011    '],[' 86797   '],[' 39116   '],"[' 115452   (Atom=Atom', ' 30163 Body=Body', ' 20010 Other', ' 65279)']",[' Yes'],"[' 8146     (Eliminated', '    0 Frozen', ' 8146)']","[' 2786     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73796'],[' 0'], ,[' 200.172'],[' 0'],[' 10.3671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78576e+08'],[' 3.85765e+08'],[' 0'],[' 7.49185e+09'],[' 0'],[' 0'],[' 2280 '],[' 4483 '],[' 8030 '],[' 3 '],[' 0 ']
Solving...,Dmu75_Clus(12), , , , , , , , , , , ,[' 4779'],[' 2393'],"[' 487.821s (Solving', ' 476.34s 1st Model', ' 266.09s Unsat', ' 2.89s)']",[' 484.578s'], ,[' 156495520'],"[' 7869110  (Analyzed', ' 7162604)']","[' 17629    (Average', ' 406.30 Last', ' 1028935)']",[' 4131.5  '],"[' 2393     (Average Length', ' 1244.39 Splits', ' 0)']","[' 7162604  (Deleted', ' 7109408)']","[' 646      (Ratio', '   0.01%)']","[' 19161    (Ratio', '   0.27%)']","[' 7162604  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7162604  (Average', ' 20.80 Max', ' 4064 Sum', ' 148953515)']","[' 7162096  (Average', ' 20.73 Max', ' 4064 Sum', ' 148477351 Ratio', '  99.68%)']","[' 508      (Average', ' 937.33 Max', ' 1931 Sum', ' 476164 Ratio', '   0.32%)']", ,[' 92801   '],[' 5973    '],[' 87424   '],[' 39499   '],"[' 116276   (Atom=Atom', ' 30502 Body=Body', ' 19929 Other', ' 65845)']",[' Yes'],"[' 8507     (Eliminated', '    0 Frozen', ' 8507)']","[' 2541     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38095'],[' 0'], ,[' 243.812'],[' 0'],[' 12.8622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20363e+08'],[' 4.24027e+08'],[' 0'],[' 1.00754e+10'],[' 0'],[' 0'],[' 2407 '],[' 4574 '],[' 6961 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(13), , , , , , , , , , ,[' 1'],[' 4643+'],[' 2325'],"[' 603.024s (Solving', ' 591.45s 1st Model', ' 370.64s Unsat', ' 0.00s)']",[' 598.734s'], ,[' 185191885'],"[' 8950649  (Analyzed', ' 8300309)']","[' 20874    (Average', ' 397.64 Last', ' 762557)']",[' 4077.7  '],"[' 2325     (Average Length', ' 1207.60 Splits', ' 0)']","[' 8300309  (Deleted', ' 8230893)']","[' 666      (Ratio', '   0.01%)']","[' 21709    (Ratio', '   0.26%)']","[' 8300309  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8300309  (Average', ' 21.43 Max', ' 4019 Sum', ' 177884030)']","[' 8299880  (Average', ' 21.38 Max', ' 4019 Sum', ' 177421379 Ratio', '  99.74%)']","[' 429      (Average', ' 1078.44 Max', ' 1975 Sum', ' 462651 Ratio', '   0.26%)']", ,[' 92520   '],[' 5962    '],[' 87167   '],[' 39315   '],"[' 115756   (Atom=Atom', ' 30376 Body=Body', ' 19890 Other', ' 65490)']",[' Yes'],"[' 8442     (Eliminated', '    0 Frozen', ' 8442)']","[' 3015     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.38577'],[' 0'], ,[' 319.62'],[' 0'],[' 16.0988'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.8944e+08'],[' 4.78583e+08'],[' 0'],[' 1.50691e+10'],[' 0'],[' 0'],[' 2234 '],[' 4456 '],[' 6893 '],[' 3 '],[' 0 ']
Solving...,Dmu75_Clus(14), , , , , , , , , , ,[' 1'],[' 4199+'],[' 2103'],"[' 602.903s (Solving', ' 591.93s 1st Model', ' 193.32s Unsat', ' 0.00s)']",[' 598.797s'], ,[' 167337826'],"[' 9107146  (Analyzed', ' 8562111)']","[' 18582    (Average', ' 460.77 Last', ' 1516487)']",[' 3946.2  '],"[' 2103     (Average Length', ' 1113.17 Splits', ' 0)']","[' 8562111  (Deleted', ' 8478045)']","[' 609      (Ratio', '   0.01%)']","[' 24179    (Ratio', '   0.28%)']","[' 8562111  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8562111  (Average', ' 18.78 Max', ' 3805 Sum', ' 160760897)']","[' 8561758  (Average', ' 18.73 Max', ' 3805 Sum', ' 160375086 Ratio', '  99.76%)']","[' 353      (Average', ' 1092.95 Max', ' 1360 Sum', ' 385811 Ratio', '   0.24%)']", ,[' 93232   '],[' 6018    '],[' 87381   '],[' 39557   '],"[' 116451   (Atom=Atom', ' 30434 Body=Body', ' 20082 Other', ' 65935)']",[' Yes'],"[' 8288     (Eliminated', '    0 Frozen', ' 8288)']","[' 3471     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28903'],[' 0'], ,[' 328.381'],[' 0'],[' 15.5239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.56106e+08'],[' 4.57375e+08'],[' 0'],[' 1.72133e+10'],[' 0'],[' 0'],[' 2674 '],[' 4935 '],[' 7011 '],[' 3 '],[' 0 ']
Solving...,Dmu75_Clus(15), , , , , , , , , , ,[' 1'],[' 4347+'],[' 2177'],"[' 602.596s (Solving', ' 592.69s 1st Model', ' 176.58s Unsat', ' 0.00s)']",[' 599.516s'], ,[' 219763202'],"[' 8400149  (Analyzed', ' 7902724)']","[' 17164    (Average', ' 460.42 Last', ' 370083)']",[' 3802.3  '],"[' 2177     (Average Length', ' 1151.85 Splits', ' 0)']","[' 7902724  (Deleted', ' 7825464)']","[' 492      (Ratio', '   0.01%)']","[' 27659    (Ratio', '   0.35%)']","[' 7902724  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7902724  (Average', ' 27.03 Max', ' 3635 Sum', ' 213615755)']","[' 7902227  (Average', ' 26.96 Max', ' 3579 Sum', ' 213028555 Ratio', '  99.73%)']","[' 497      (Average', ' 1181.49 Max', ' 1728 Sum', ' 587200 Ratio', '   0.27%)']", ,[' 92808   '],[' 5968    '],[' 87084   '],[' 39375   '],"[' 115847   (Atom=Atom', ' 30294 Body=Body', ' 19926 Other', ' 65627)']",[' Yes'],"[' 8295     (Eliminated', '    0 Frozen', ' 8295)']","[' 3909     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03103'],[' 0'], ,[' 300.215'],[' 0'],[' 16.9712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.44329e+08'],[' 6.20147e+08'],[' 0'],[' 1.50971e+10'],[' 0'],[' 0'],[' 2385 '],[' 4424 '],[' 6584 '],[' 3 '],[' 0 ']
Solving...,Dmu75_Clus(2), , , , , , , , , , ,[' 1'],[' 4605+'],[' 2306'],"[' 422.503s (Solving', ' 412.29s 1st Model', ' 255.78s Unsat', ' 0.54s)']",[' 421.734s'], ,[' 142811637'],"[' 6842751  (Analyzed', ' 6005928)']","[' 15757    (Average', ' 381.16 Last', ' 543952)']",[' 4248.9  '],"[' 2306     (Average Length', ' 1204.49 Splits', ' 0)']","[' 6005928  (Deleted', ' 5958163)']","[' 600      (Ratio', '   0.01%)']","[' 15432    (Ratio', '   0.26%)']","[' 6005928  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6005928  (Average', ' 22.48 Max', ' 4528 Sum', ' 135015281)']","[' 6005526  (Average', ' 22.40 Max', ' 4528 Sum', ' 134554378 Ratio', '  99.66%)']","[' 402      (Average', ' 1146.52 Max', ' 1808 Sum', ' 460903 Ratio', '   0.34%)']", ,[' 92305   '],[' 5951    '],[' 87026   '],[' 39210   '],"[' 115316   (Atom=Atom', ' 30292 Body=Body', ' 19848 Other', ' 65176)']",[' Yes'],"[' 8421     (Eliminated', '    0 Frozen', ' 8421)']","[' 1718     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.10733'],[' 0'], ,[' 222.012'],[' 0'],[' 11.3881'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.93835e+08'],[' 4.0677e+08'],[' 0'],[' 1.11403e+10'],[' 0'],[' 0'],[' 2429 '],[' 4541 '],[' 7069 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(3), , , , , , , , , , ,[' 1'],[' 4957+'],[' 2482'],"[' 487.315s (Solving', ' 476.47s 1st Model', ' 405.54s Unsat', ' 7.30s)']",[' 486.125s'], ,[' 160499142'],"[' 8298886  (Analyzed', ' 7602030)']","[' 20890    (Average', ' 363.91 Last', ' 863723)']",[' 4276.5  '],"[' 2482     (Average Length', ' 1299.36 Splits', ' 0)']","[' 7602030  (Deleted', ' 7550370)']","[' 613      (Ratio', '   0.01%)']","[' 16228    (Ratio', '   0.21%)']","[' 7602030  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7602030  (Average', ' 20.05 Max', ' 4238 Sum', ' 152414772)']","[' 7601588  (Average', ' 19.99 Max', ' 4238 Sum', ' 151941664 Ratio', '  99.69%)']","[' 442      (Average', ' 1070.38 Max', ' 2045 Sum', ' 473108 Ratio', '   0.31%)']", ,[' 92888   '],[' 5932    '],[' 87509   '],[' 39494   '],"[' 116169   (Atom=Atom', ' 30455 Body=Body', ' 19818 Other', ' 65896)']",[' Yes'],"[' 8583     (Eliminated', '    0 Frozen', ' 8583)']","[' 2185     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.20794'],[' 0'], ,[' 263.556'],[' 0'],[' 12.9715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.45792e+08'],[' 4.45864e+08'],[' 0'],[' 1.33803e+10'],[' 0'],[' 0'],[' 2459 '],[' 4705 '],[' 7051 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(4), , , , , , , , , , , ,[' 4465'],[' 2236'],"[' 467.169s (Solving', ' 457.92s 1st Model', ' 241.54s Unsat', ' 10.82s)']",[' 465.766s'], ,[' 160947952'],"[' 8762436  (Analyzed', ' 8171011)']","[' 18746    (Average', ' 435.88 Last', ' 1299115)']",[' 4020.8  '],"[' 2236     (Average Length', ' 1166.00 Splits', ' 0)']","[' 8171011  (Deleted', ' 8112258)']","[' 561      (Ratio', '   0.01%)']","[' 18041    (Ratio', '   0.22%)']","[' 8171011  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8171011  (Average', ' 18.85 Max', ' 4030 Sum', ' 154060901)']","[' 8170551  (Average', ' 18.79 Max', ' 4030 Sum', ' 153542636 Ratio', '  99.66%)']","[' 460      (Average', ' 1126.66 Max', ' 1790 Sum', ' 518265 Ratio', '   0.34%)']", ,[' 92687   '],[' 5943    '],[' 87059   '],[' 39296   '],"[' 115622   (Atom=Atom', ' 30253 Body=Body', ' 19851 Other', ' 65518)']",[' Yes'],"[' 8347     (Eliminated', '    0 Frozen', ' 8347)']","[' 2545     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97816'],[' 0'], ,[' 241.23'],[' 0'],[' 12.4112'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40655e+08'],[' 4.42765e+08'],[' 0'],[' 1.16571e+10'],[' 0'],[' 0'],[' 2351 '],[' 4709 '],[' 6859 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(5), , , , , , , , , , , ,[' 4615'],[' 2311'],"[' 489.091s (Solving', ' 478.66s 1st Model', ' 249.40s Unsat', ' 8.07s)']",[' 487.781s'], ,[' 175726086'],"[' 8835149  (Analyzed', ' 8073953)']","[' 18699    (Average', ' 431.79 Last', ' 979395)']",[' 4129.3  '],"[' 2311     (Average Length', ' 1208.20 Splits', ' 0)']","[' 8073953  (Deleted', ' 8016813)']","[' 680      (Ratio', '   0.01%)']","[' 18796    (Ratio', '   0.23%)']","[' 8073953  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8073953  (Average', ' 20.83 Max', ' 3966 Sum', ' 168165309)']","[' 8073529  (Average', ' 20.77 Max', ' 3966 Sum', ' 167730897 Ratio', '  99.74%)']","[' 424      (Average', ' 1024.56 Max', ' 1415 Sum', ' 434412 Ratio', '   0.26%)']", ,[' 92620   '],[' 5920    '],[' 87065   '],[' 39265   '],"[' 115486   (Atom=Atom', ' 30236 Body=Body', ' 19782 Other', ' 65468)']",[' Yes'],"[' 8390     (Eliminated', '    0 Frozen', ' 8390)']","[' 2902     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12872'],[' 0'], ,[' 248.237'],[' 0'],[' 13.1848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.07612e+08'],[' 5.01306e+08'],[' 0'],[' 1.20875e+10'],[' 0'],[' 0'],[' 2471 '],[' 5053 '],[' 7192 '],[' 2 '],[' 1 ']
Solving...,Dmu75_Clus(6), , , , , , , , , , ,[' 1'],[' 4173+'],[' 2090'],"[' 602.072s (Solving', ' 592.85s 1st Model', ' 206.65s Unsat', ' 0.00s)']",[' 600.906s'], ,[' 186465542'],"[' 10454570 (Analyzed', ' 9857023)']","[' 20942    (Average', ' 470.68 Last', ' 1350989)']",[' 3915.7  '],"[' 2090     (Average Length', ' 1110.04 Splits', ' 0)']","[' 9857023  (Deleted', ' 9780054)']","[' 565      (Ratio', '   0.01%)']","[' 20413    (Ratio', '   0.21%)']","[' 9857023  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9857023  (Average', ' 18.26 Max', ' 3810 Sum', ' 179968792)']","[' 9856547  (Average', ' 18.21 Max', ' 3810 Sum', ' 179448178 Ratio', '  99.71%)']","[' 476      (Average', ' 1093.73 Max', ' 1395 Sum', ' 520614 Ratio', '   0.29%)']", ,[' 92456   '],[' 5926    '],[' 86690   '],[' 39094   '],"[' 114931   (Atom=Atom', ' 30039 Body=Body', ' 19800 Other', ' 65092)']",[' Yes'],"[' 8198     (Eliminated', '    0 Frozen', ' 8198)']","[' 3108     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.84995'],[' 0'], ,[' 336.939'],[' 0'],[' 15.629'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.48104e+08'],[' 5.32011e+08'],[' 0'],[' 1.89251e+10'],[' 0'],[' 0'],[' 2430 '],[' 4706 '],[' 6867 '],[' 3 '],[' 0 ']
Solving...,Dmu75_Clus(7), , , , , , , , , , , ,[' 4757'],[' 2382'],"[' 454.762s (Solving', ' 444.84s 1st Model', ' 250.21s Unsat', ' 6.37s)']",[' 453.875s'], ,[' 156931520'],"[' 8331499  (Analyzed', ' 7698797)']","[' 18702    (Average', ' 411.66 Last', ' 661912)']",[' 4114.3  '],"[' 2382     (Average Length', ' 1241.63 Splits', ' 0)']","[' 7698797  (Deleted', ' 7644233)']","[' 720      (Ratio', '   0.01%)']","[' 16574    (Ratio', '   0.22%)']","[' 7698797  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7698797  (Average', ' 19.42 Max', ' 3925 Sum', ' 149511322)']","[' 7698351  (Average', ' 19.36 Max', ' 3925 Sum', ' 149014540 Ratio', '  99.67%)']","[' 446      (Average', ' 1113.86 Max', ' 1500 Sum', ' 496782 Ratio', '   0.33%)']", ,[' 92759   '],[' 5931    '],[' 87280   '],[' 39394   '],"[' 115883   (Atom=Atom', ' 30351 Body=Body', ' 19815 Other', ' 65717)']",[' Yes'],"[' 8484     (Eliminated', '    0 Frozen', ' 8484)']","[' 2676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17415'],[' 0'], ,[' 228.797'],[' 0'],[' 11.8763'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.72796e+08'],[' 4.71803e+08'],[' 0'],[' 1.03116e+10'],[' 0'],[' 0'],[' 2441 '],[' 5038 '],[' 7200 '],[' 2 '],[' 1 ']
