Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 307'],[' 164'],"[' 203.590s (Solving', ' 202.78s 1st Model', ' 0.24s Unsat', ' 21.62s)']",[' 202.484s'], ,[' 15527017'],"[' 10735692 (Analyzed', ' 10730352)']","[' 23339    (Average', ' 459.76 Last', ' 57464)']",[' 1040.7  '],"[' 164      (Average Length', ' 128.36 Splits', ' 0)']","[' 10730352 (Deleted', ' 10582503)']","[' 41       (Ratio', '   0.00%)']","[' 1724     (Ratio', '   0.02%)']","[' 10730352 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10730352 (Average', '  1.41 Max', ' 1506 Sum', ' 15092670)']","[' 10730027 (Average', '  1.40 Max', ' 1437 Sum', ' 15054226 Ratio', '  99.75%)']","[' 325      (Average', ' 118.29 Max', ' 184 Sum', '  38444 Ratio', '   0.25%)']", ,[' 58234   '],[' 1868    '],[' 54105   '],[' 16747   '],"[' 43887    (Atom=Atom', ' 13093 Body=Body', ' 7909 Other', ' 22885)']",[' Yes'],"[' 2621     (Eliminated', '    0 Frozen', ' 2621)']","[' 253      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.120626'],[' 0'], ,[' 134.655'],[' 0'],[' 2.37768'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01541e+07'],[' 1.54614e+07'],[' 0'],[' 8.49496e+09'],[' 0'],[' 0'],[' 446 '],[' 841 '],[' 1236 '],[' 1417 '],[' 1687 '],[' 2289 '],[' 2521 '],[' 2815 '],[' 3211 '],[' 3615 '],[' 3 '],[' 7 ']
Solving...,TA52, , , , ,[' 339'],[' 180'],"[' 116.164s (Solving', ' 115.27s 1st Model', ' 0.30s Unsat', ' 113.01s)']",[' 115.938s'], ,[' 9570675 '],"[' 7302675  (Analyzed', ' 7291809)']","[' 16423    (Average', ' 444.00 Last', ' 27924)']",[' 1168.8  '],"[' 180      (Average Length', ' 143.40 Splits', ' 0)']","[' 7291809  (Deleted', ' 7171425)']","[' 37       (Ratio', '   0.00%)']","[' 1234     (Ratio', '   0.02%)']","[' 7291809  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7291809  (Average', '  1.27 Max', ' 1386 Sum', ' 9274467)']","[' 7291485  (Average', '  1.27 Max', ' 1386 Sum', ' 9236531 Ratio', '  99.59%)']","[' 324      (Average', ' 117.09 Max', ' 186 Sum', '  37936 Ratio', '   0.41%)']", ,[' 58480   '],[' 1897    '],[' 54331   '],[' 16886   '],"[' 44405    (Atom=Atom', ' 13237 Body=Body', ' 7997 Other', ' 23171)']",[' Yes'],"[' 2664     (Eliminated', '    0 Frozen', ' 2664)']","[' 37       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.140622'],[' 0'], ,[' 68.2415'],[' 0'],[' 1.40357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5182e+07'],[' 8.94045e+06'],[' 0'],[' 4.1158e+09'],[' 0'],[' 0'],[' 557 '],[' 964 '],[' 1265 '],[' 1545 '],[' 1917 '],[' 2232 '],[' 2515 '],[' 2813 '],[' 3162 '],[' 3440 '],[' 0 '],[' 10 ']
Solving...,TA53, , , , ,[' 339'],[' 180'],"[' 64.144s (Solving', ' 63.18s 1st Model', ' 0.33s Unsat', ' 0.62s)']",[' 63.656s'], ,[' 7220241 '],"[' 5106319  (Analyzed', ' 5098837)']","[' 10436    (Average', ' 488.58 Last', ' 11577)']",[' 1181.9  '],"[' 180      (Average Length', ' 136.27 Splits', ' 0)']","[' 5098837  (Deleted', ' 5024405)']","[' 18       (Ratio', '   0.00%)']","[' 636      (Ratio', '   0.01%)']","[' 5098837  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5098837  (Average', '  1.36 Max', ' 1453 Sum', ' 6914036)']","[' 5098545  (Average', '  1.35 Max', ' 1453 Sum', ' 6880523 Ratio', '  99.52%)']","[' 292      (Average', ' 114.77 Max', ' 178 Sum', '  33513 Ratio', '   0.48%)']", ,[' 57746   '],[' 1828    '],[' 53766   '],[' 16498   '],"[' 43334    (Atom=Atom', ' 12969 Body=Body', ' 7794 Other', ' 22571)']",[' Yes'],"[' 2597     (Eliminated', '    0 Frozen', ' 2597)']","[' 41       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.159252'],[' 0'], ,[' 31.0326'],[' 0'],[' 0.853181'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81728e+07'],[' 6.83909e+06'],[' 0'],[' 1.76963e+09'],[' 0'],[' 0'],[' 423 '],[' 1061 '],[' 1107 '],[' 1428 '],[' 1666 '],[' 2107 '],[' 2270 '],[' 2523 '],[' 2884 '],[' 3357 '],[' 1 '],[' 9 ']
Solving...,TA54, , , , ,[' 373'],[' 197'],"[' 68.739s (Solving', ' 67.72s 1st Model', ' 0.26s Unsat', ' 5.43s)']",[' 68.375s'], ,[' 4888001 '],"[' 3507631  (Analyzed', ' 3500335)']","[' 7903     (Average', ' 442.91 Last', ' 7891)']",[' 1060.1  '],"[' 197      (Average Length', ' 140.94 Splits', ' 0)']","[' 3500335  (Deleted', ' 3438227)']","[' 14       (Ratio', '   0.00%)']","[' 844      (Ratio', '   0.02%)']","[' 3500335  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3500335  (Average', '  1.32 Max', ' 1492 Sum', ' 4637632)']","[' 3500056  (Average', '  1.31 Max', ' 1431 Sum', ' 4600639 Ratio', '  99.20%)']","[' 279      (Average', ' 132.59 Max', ' 209 Sum', '  36993 Ratio', '   0.80%)']", ,[' 57610   '],[' 1794    '],[' 53619   '],[' 16377   '],"[' 42927    (Atom=Atom', ' 12848 Body=Body', ' 7691 Other', ' 22388)']",[' Yes'],"[' 2576     (Eliminated', '    0 Frozen', ' 2576)']","[' 76       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.147283'],[' 0'], ,[' 44.9969'],[' 0'],[' 0.673456'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2431e+07'],[' 4.56168e+06'],[' 0'],[' 2.61915e+09'],[' 0'],[' 0'],[' 445 '],[' 857 '],[' 1205 '],[' 1427 '],[' 1816 '],[' 2035 '],[' 2202 '],[' 2725 '],[' 3132 '],[' 3310 '],[' 1 '],[' 9 ']
Solving...,TA55, , , , ,[' 361'],[' 191'],"[' 184.064s (Solving', ' 183.16s 1st Model', ' 0.28s Unsat', ' 1.24s)']",[' 183.375s'], ,[' 16336267'],"[' 12507329 (Analyzed', ' 12499148)']","[' 25872    (Average', ' 483.11 Last', ' 43986)']",[' 956.8   '],"[' 191      (Average Length', ' 149.81 Splits', ' 0)']","[' 12499148 (Deleted', ' 12306583)']","[' 14       (Ratio', '   0.00%)']","[' 1353     (Ratio', '   0.01%)']","[' 12499148 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12499148 (Average', '  1.27 Max', ' 1393 Sum', ' 15879388)']","[' 12498764 (Average', '  1.27 Max', ' 1393 Sum', ' 15822697 Ratio', '  99.64%)']","[' 384      (Average', ' 147.63 Max', ' 219 Sum', '  56691 Ratio', '   0.36%)']", ,[' 57989   '],[' 1873    '],[' 53970   '],[' 16633   '],"[' 44029    (Atom=Atom', ' 13158 Body=Body', ' 7928 Other', ' 22943)']",[' Yes'],"[' 2649     (Eliminated', '    0 Frozen', ' 2649)']","[' 136      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.136005'],[' 0'], ,[' 106.477'],[' 0'],[' 2.1792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.14311e+07'],[' 1.37729e+07'],[' 0'],[' 6.15119e+09'],[' 0'],[' 0'],[' 643 '],[' 774 '],[' 1177 '],[' 1583 '],[' 1968 '],[' 2387 '],[' 2551 '],[' 2831 '],[' 3313 '],[' 3513 '],[' 3 '],[' 7 ']
Solving...,TA56, , , ,[' 1'],[' 345+'],[' 183'],"[' 131.601s (Solving', ' 130.73s 1st Model', ' 0.27s Unsat', ' 9.30s)']",[' 131.234s'], ,[' 8785762 '],"[' 6506133  (Analyzed', ' 6494747)']","[' 13708    (Average', ' 473.79 Last', ' 156)']",[' 1025.2  '],"[' 183      (Average Length', ' 143.33 Splits', ' 0)']","[' 6494747  (Deleted', ' 6383145)']","[' 21       (Ratio', '   0.00%)']","[' 1080     (Ratio', '   0.02%)']","[' 6494747  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6494747  (Average', '  1.31 Max', ' 1526 Sum', ' 8506770)']","[' 6494366  (Average', '  1.30 Max', ' 1375 Sum', ' 8456999 Ratio', '  99.41%)']","[' 381      (Average', ' 130.63 Max', ' 208 Sum', '  49771 Ratio', '   0.59%)']", ,[' 57625   '],[' 1821    '],[' 53671   '],[' 16392   '],"[' 43215    (Atom=Atom', ' 12940 Body=Body', ' 7771 Other', ' 22504)']",[' Yes'],"[' 2593     (Eliminated', '    0 Frozen', ' 2593)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.132245'],[' 0'], ,[' 89.0578'],[' 0'],[' 2.56509'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2555e+07'],[' 7.69485e+06'],[' 0'],[' 6.10575e+09'],[' 0'],[' 0'],[' 586 '],[' 1056 '],[' 1323 '],[' 1509 '],[' 2022 '],[' 2248 '],[' 2443 '],[' 2765 '],[' 3002 '],[' 3408 '],[' 2 '],[' 8 ']
Solving...,TA57, , , , ,[' 303'],[' 162'],"[' 77.330s (Solving', ' 76.46s 1st Model', ' 0.23s Unsat', ' 14.02s)']",[' 77.141s'], ,[' 5976526 '],"[' 4050549  (Analyzed', ' 3990977)']","[' 8968     (Average', ' 445.02 Last', ' 60913)']",[' 1177.0  '],"[' 162      (Average Length', ' 121.27 Splits', ' 0)']","[' 3990977  (Deleted', ' 3918068)']","[' 25       (Ratio', '   0.00%)']","[' 1044     (Ratio', '   0.03%)']","[' 3990977  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3990977  (Average', '  1.43 Max', ' 1444 Sum', ' 5690259)']","[' 3990649  (Average', '  1.42 Max', ' 1411 Sum', ' 5659460 Ratio', '  99.46%)']","[' 328      (Average', ' 93.90 Max', ' 170 Sum', '  30799 Ratio', '   0.54%)']", ,[' 57872   '],[' 1795    '],[' 53707   '],[' 16522   '],"[' 42818    (Atom=Atom', ' 12819 Body=Body', ' 7695 Other', ' 22304)']",[' Yes'],"[' 2546     (Eliminated', '    0 Frozen', ' 2546)']","[' 85       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.139548'],[' 0'], ,[' 48.8566'],[' 0'],[' 0.72017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52161e+07'],[' 5.66292e+06'],[' 0'],[' 3.08668e+09'],[' 0'],[' 0'],[' 445 '],[' 966 '],[' 1249 '],[' 1612 '],[' 1981 '],[' 2233 '],[' 2491 '],[' 2782 '],[' 3287 '],[' 3575 '],[' 1 '],[' 9 ']
Solving...,TA58, , , , ,[' 329'],[' 175'],"[' 31.239s (Solving', ' 30.37s 1st Model', ' 0.26s Unsat', ' 28.23s)']",[' 31.063s'], ,[' 3745348 '],"[' 2676957  (Analyzed', ' 2668308)']","[' 6474     (Average', ' 412.16 Last', ' 1737)']",[' 1024.9  '],"[' 175      (Average Length', ' 138.99 Splits', ' 0)']","[' 2668308  (Deleted', ' 2618196)']","[' 30       (Ratio', '   0.00%)']","[' 876      (Ratio', '   0.03%)']","[' 2668308  (Average Length', '   10.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2668308  (Average', '  1.34 Max', ' 1509 Sum', ' 3575472)']","[' 2667991  (Average', '  1.33 Max', ' 1509 Sum', ' 3537285 Ratio', '  98.93%)']","[' 317      (Average', ' 120.46 Max', ' 197 Sum', '  38187 Ratio', '   1.07%)']", ,[' 58160   '],[' 1869    '],[' 54062   '],[' 16749   '],"[' 43900    (Atom=Atom', ' 13112 Body=Body', ' 7913 Other', ' 22875)']",[' Yes'],"[' 2626     (Eliminated', '    0 Frozen', ' 2626)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.131369'],[' 0'], ,[' 12.8933'],[' 0'],[' 0.397893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88406e+06'],[' 3.65289e+06'],[' 0'],[' 6.7595e+08'],[' 0'],[' 0'],[' 555 '],[' 843 '],[' 1237 '],[' 1481 '],[' 1839 '],[' 2006 '],[' 2539 '],[' 3044 '],[' 3273 '],[' 3588 '],[' 0 '],[' 10 ']
Solving...,TA59, , , ,[' 1'],[' 433+'],[' 227'],"[' 261.011s (Solving', ' 259.99s 1st Model', ' 0.35s Unsat', ' 138.19s)']",[' 259.328s'], ,[' 18387612'],"[' 13520955 (Analyzed', ' 13481188)']","[' 27675    (Average', ' 487.13 Last', ' 1665)']",[' 1020.9  '],"[' 227      (Average Length', ' 165.33 Splits', ' 0)']","[' 13481188 (Deleted', ' 13296586)']","[' 22       (Ratio', '   0.00%)']","[' 1785     (Ratio', '   0.01%)']","[' 13481188 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13481188 (Average', '  1.33 Max', ' 1503 Sum', ' 17909253)']","[' 13480877 (Average', '  1.32 Max', ' 1399 Sum', ' 17861276 Ratio', '  99.73%)']","[' 311      (Average', ' 154.27 Max', ' 245 Sum', '  47977 Ratio', '   0.27%)']", ,[' 57854   '],[' 1825    '],[' 53894   '],[' 16540   '],"[' 43446    (Atom=Atom', ' 13002 Body=Body', ' 7784 Other', ' 22660)']",[' Yes'],"[' 2640     (Eliminated', '    0 Frozen', ' 2640)']","[' 140      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.164707'],[' 0'], ,[' 165.999'],[' 0'],[' 4.27985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.84488e+07'],[' 1.8206e+07'],[' 0'],[' 1.01847e+10'],[' 0'],[' 0'],[' 417 '],[' 816 '],[' 1031 '],[' 1338 '],[' 1702 '],[' 2042 '],[' 2214 '],[' 2622 '],[' 2949 '],[' 3393 '],[' 2 '],[' 8 ']
Solving...,TA60, , , , ,[' 563'],[' 292'],"[' 41.340s (Solving', ' 40.12s 1st Model', ' 0.41s Unsat', ' 36.56s)']",[' 41.094s'], ,[' 3973800 '],"[' 2769568  (Analyzed', ' 2755946)']","[' 6631     (Average', ' 415.62 Last', ' 28790)']",[' 1139.9  '],"[' 292      (Average Length', ' 201.71 Splits', ' 0)']","[' 2755946  (Deleted', ' 2701641)']","[' 16       (Ratio', '   0.00%)']","[' 932      (Ratio', '   0.03%)']","[' 2755946  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2755946  (Average', '  1.34 Max', ' 1477 Sum', ' 3682871)']","[' 2755688  (Average', '  1.32 Max', ' 1477 Sum', ' 3641613 Ratio', '  98.88%)']","[' 258      (Average', ' 159.91 Max', ' 299 Sum', '  41258 Ratio', '   1.12%)']", ,[' 58259   '],[' 1819    '],[' 54206   '],[' 16777   '],"[' 43536    (Atom=Atom', ' 13037 Body=Body', ' 7765 Other', ' 22734)']",[' Yes'],"[' 2696     (Eliminated', '    0 Frozen', ' 2696)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.205688'],[' 0'], ,[' 19.2917'],[' 0'],[' 0.486169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05618e+07'],[' 4.14691e+06'],[' 0'],[' 1.08809e+09'],[' 0'],[' 0'],[' 452 '],[' 669 '],[' 1065 '],[' 1421 '],[' 1733 '],[' 2002 '],[' 2205 '],[' 2599 '],[' 2901 '],[' 3208 '],[' 0 '],[' 10 ']
