Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 
Solving...,TA71, ,[' 1'],[' 8065+'],[' 4036'],"[' 981.106s (Solving', ' 890.75s 1st Model', ' 361.27s Unsat', ' 0.00s)']",[' 977.844s'], ,[' 483145877'],"[' 3436740  (Analyzed', ' 1317808)']","[' 4989     (Average', ' 264.14 Last', ' 43723)']",[' 12924.6 '],"[' 4036     (Average Length', ' 1878.75 Splits', ' 0)']","[' 1317808  (Deleted', ' 1237536)']","[' 86       (Ratio', '   0.01%)']","[' 63177    (Ratio', '   4.79%)']","[' 1317808  (Average Length', '   32.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1317808  (Average', ' 333.50 Max', ' 17043 Sum', ' 439491709)']","[' 1315905  (Average', ' 330.68 Max', ' 17043 Sum', ' 435773787 Ratio', '  99.15%)']","[' 1903     (Average', ' 1953.72 Max', ' 2694 Sum', ' 3717922 Ratio', '   0.85%)']", ,[' 416527  '],[' 27173   '],[' 418180  '],[' 252904  '],"[' 758708   (Atom=Atom', ' 227729 Body=Body', ' 128073 Other', ' 402906)']",[' Yes'],"[' 30826    (Eliminated', '    0 Frozen', ' 30826)']","[' 8418     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5939'],[' 0'], ,[' 425.758'],[' 0'],[' 32.9948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4257e+09'],[' 1.33941e+09'],[' 0'],[' 2.36793e+10'],[' 0'],[' 0'],[' 1977 '],[' 3559 '],[' 5865 '],[' 7640 ']
Solving...,TA72, ,[' 1'],[' 9143+'],[' 4576'],"[' 983.583s (Solving', ' 872.42s 1st Model', ' 330.40s Unsat', ' 0.00s)']",[' 978.781s'], ,[' 449292519'],"[' 3043774  (Analyzed', ' 1114407)']","[' 4680     (Average', ' 238.12 Last', ' 138882)']",[' 12354.9 '],"[' 4576     (Average Length', ' 2116.34 Splits', ' 0)']","[' 1114407  (Deleted', ' 1033706)']","[' 106      (Ratio', '   0.01%)']","[' 59854    (Ratio', '   5.37%)']","[' 1114407  (Average Length', '   27.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1114407  (Average', ' 365.49 Max', ' 15010 Sum', ' 407301245)']","[' 1111067  (Average', ' 359.05 Max', ' 15010 Sum', ' 400126919 Ratio', '  98.24%)']","[' 3340     (Average', ' 2148.00 Max', ' 2973 Sum', ' 7174326 Ratio', '   1.76%)']", ,[' 411256  '],[' 26611   '],[' 413277  '],[' 246173  '],"[' 738515   (Atom=Atom', ' 221560 Body=Body', ' 127511 Other', ' 389444)']",[' Yes'],"[' 30632    (Eliminated', '    0 Frozen', ' 30632)']","[' 11721    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.2372'],[' 0'], ,[' 424.983'],[' 0'],[' 31.5448'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40171e+09'],[' 1.31874e+09'],[' 0'],[' 2.25516e+10'],[' 0'],[' 0'],[' 1631 '],[' 3511 '],[' 5441 '],[' 7154 ']
Solving...,TA73, ,[' 1'],[' 8727+'],[' 4368'],"[' 981.884s (Solving', ' 882.41s 1st Model', ' 453.99s Unsat', ' 0.00s)']",[' 976.922s'], ,[' 499278495'],"[' 4685078  (Analyzed', ' 1764714)']","[' 5873     (Average', ' 300.48 Last', ' 39293)']",[' 12666.4 '],"[' 4368     (Average Length', ' 2005.68 Splits', ' 0)']","[' 1764714  (Deleted', ' 1678935)']","[' 94       (Ratio', '   0.01%)']","[' 61599    (Ratio', '   3.49%)']","[' 1764714  (Average Length', '   31.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1764714  (Average', ' 257.74 Max', ' 15076 Sum', ' 454828882)']","[' 1761917  (Average', ' 254.60 Max', ' 15076 Sum', ' 449291628 Ratio', '  98.78%)']","[' 2797     (Average', ' 1979.71 Max', ' 7362 Sum', ' 5537254 Ratio', '   1.22%)']", ,[' 413962  '],[' 26875   '],[' 415768  '],[' 248351  '],"[' 745049   (Atom=Atom', ' 223474 Body=Body', ' 127775 Other', ' 393800)']",[' Yes'],"[' 30681    (Eliminated', '    0 Frozen', ' 30681)']","[' 11671    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.2505'],[' 0'], ,[' 423.955'],[' 0'],[' 33.6386'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36805e+09'],[' 1.27725e+09'],[' 0'],[' 2.09983e+10'],[' 0'],[' 0'],[' 2099 '],[' 3725 '],[' 5292 '],[' 7116 ']
Solving...,TA74, ,[' 1'],[' 8755+'],[' 4382'],"[' 981.629s (Solving', ' 883.94s 1st Model', ' 443.22s Unsat', ' 0.00s)']",[' 977.891s'], ,[' 468743596'],"[' 2574395  (Analyzed', ' 835092)']","[' 4351     (Average', ' 191.93 Last', ' 104625)']",[' 11903.5 '],"[' 4382     (Average Length', ' 2053.23 Splits', ' 0)']","[' 835092   (Deleted', ' 752399)']","[' 96       (Ratio', '   0.01%)']","[' 63388    (Ratio', '   7.59%)']","[' 835092   (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 835092   (Average', ' 515.23 Max', ' 14884 Sum', ' 430267456)']","[' 832010   (Average', ' 507.34 Max', ' 14884 Sum', ' 423675763 Ratio', '  98.47%)']","[' 3082     (Average', ' 2138.77 Max', ' 3037 Sum', ' 6591693 Ratio', '   1.53%)']", ,[' 411670  '],[' 26672   '],[' 413539  '],[' 246558  '],"[' 739670   (Atom=Atom', ' 221884 Body=Body', ' 127572 Other', ' 390214)']",[' Yes'],"[' 30541    (Eliminated', '    0 Frozen', ' 30541)']","[' 12131    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.7894'],[' 0'], ,[' 412.423'],[' 0'],[' 32.2547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43962e+09'],[' 1.35804e+09'],[' 0'],[' 2.14829e+10'],[' 0'],[' 0'],[' 1647 '],[' 3406 '],[' 5204 '],[' 6899 ']
Solving...,TA75, ,[' 1'],[' 8435+'],[' 4222'],"[' 981.892s (Solving', ' 883.71s 1st Model', ' 281.20s Unsat', ' 0.00s)']",[' 977.609s'], ,[' 448939466'],"[' 3230663  (Analyzed', ' 1323785)']","[' 4918     (Average', ' 269.17 Last', ' 11352)']",[' 12318.7 '],"[' 4222     (Average Length', ' 1974.92 Splits', ' 0)']","[' 1323785  (Deleted', ' 1238508)']","[' 88       (Ratio', '   0.01%)']","[' 58958    (Ratio', '   4.45%)']","[' 1323785  (Average Length', '   28.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1323785  (Average', ' 309.10 Max', ' 15656 Sum', ' 409175379)']","[' 1320740  (Average', ' 304.51 Max', ' 15656 Sum', ' 403105031 Ratio', '  98.52%)']","[' 3045     (Average', ' 1993.55 Max', ' 2822 Sum', ' 6070348 Ratio', '   1.48%)']", ,[' 413432  '],[' 26926   '],[' 415221  '],[' 247596  '],"[' 742784   (Atom=Atom', ' 222668 Body=Body', ' 127826 Other', ' 392290)']",[' Yes'],"[' 30715    (Eliminated', '    0 Frozen', ' 30715)']","[' 11293    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.683'],[' 0'], ,[' 448.386'],[' 0'],[' 31.7411'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32495e+09'],[' 1.24359e+09'],[' 0'],[' 2.49792e+10'],[' 0'],[' 0'],[' 1824 '],[' 3685 '],[' 5580 '],[' 7442 ']
Solving...,TA76, ,[' 1'],[' 8569+'],[' 4289'],"[' 982.200s (Solving', ' 888.23s 1st Model', ' 367.22s Unsat', ' 0.00s)']",[' 978.422s'], ,[' 466997515'],"[' 3409660  (Analyzed', ' 963378)']","[' 4677     (Average', ' 205.98 Last', ' 39970)']",[' 11844.2 '],"[' 4289     (Average Length', ' 1998.48 Splits', ' 0)']","[' 963378   (Deleted', ' 876995)']","[' 86       (Ratio', '   0.01%)']","[' 64368    (Ratio', '   6.68%)']","[' 963378   (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 963378   (Average', ' 444.51 Max', ' 14542 Sum', ' 428227586)']","[' 960487   (Average', ' 438.13 Max', ' 14542 Sum', ' 422084179 Ratio', '  98.57%)']","[' 2891     (Average', ' 2125.01 Max', ' 2929 Sum', ' 6143407 Ratio', '   1.43%)']", ,[' 411928  '],[' 26610   '],[' 413677  '],[' 246435  '],"[' 739301   (Atom=Atom', ' 221823 Body=Body', ' 127510 Other', ' 389968)']",[' Yes'],"[' 30359    (Eliminated', '    0 Frozen', ' 30359)']","[' 12927    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.8516'],[' 0'], ,[' 432.027'],[' 0'],[' 31.4258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41016e+09'],[' 1.32113e+09'],[' 0'],[' 2.64725e+10'],[' 0'],[' 0'],[' 1762 '],[' 3236 '],[' 4947 '],[' 6901 ']
Solving...,TA77, ,[' 1'],[' 9161+'],[' 4585'],"[' 982.657s (Solving', ' 880.70s 1st Model', ' 363.94s Unsat', ' 0.00s)']",[' 980.578s'], ,[' 506343729'],"[' 4241811  (Analyzed', ' 1678981)']","[' 5517     (Average', ' 304.33 Last', ' 76420)']",[' 12373.5 '],"[' 4585     (Average Length', ' 2106.77 Splits', ' 0)']","[' 1678981  (Deleted', ' 1589279)']","[' 92       (Ratio', '   0.01%)']","[' 65226    (Ratio', '   3.88%)']","[' 1678981  (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1678981  (Average', ' 274.88 Max', ' 14458 Sum', ' 461512162)']","[' 1675986  (Average', ' 271.36 Max', ' 14458 Sum', ' 455602126 Ratio', '  98.72%)']","[' 2995     (Average', ' 1973.30 Max', ' 3008 Sum', ' 5910036 Ratio', '   1.28%)']", ,[' 410912  '],[' 26630   '],[' 412895  '],[' 245847  '],"[' 737537   (Atom=Atom', ' 221215 Body=Body', ' 127530 Other', ' 388792)']",[' Yes'],"[' 30613    (Eliminated', '    0 Frozen', ' 30613)']","[' 12029    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.5023'],[' 0'], ,[' 423.626'],[' 0'],[' 33.1287'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4555e+09'],[' 1.35913e+09'],[' 0'],[' 2.1922e+10'],[' 0'],[' 0'],[' 1711 '],[' 3561 '],[' 5140 '],[' 6952 ']
Solving...,TA78, ,[' 1'],[' 10083+'],[' 5046'],"[' 985.128s (Solving', ' 868.27s 1st Model', ' 258.40s Unsat', ' 0.00s)']",[' 981.922s'], ,[' 482021253'],"[' 3642161  (Analyzed', ' 1464873)']","[' 5297     (Average', ' 276.55 Last', ' 15300)']",[' 12909.5 '],"[' 5046     (Average Length', ' 2305.36 Splits', ' 0)']","[' 1464873  (Deleted', ' 1379912)']","[' 107      (Ratio', '   0.01%)']","[' 60522    (Ratio', '   4.13%)']","[' 1464873  (Average Length', '   27.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1464873  (Average', ' 295.49 Max', ' 15077 Sum', ' 432858968)']","[' 1461747  (Average', ' 290.74 Max', ' 15077 Sum', ' 425897760 Ratio', '  98.39%)']","[' 3126     (Average', ' 2226.87 Max', ' 3058 Sum', ' 6961208 Ratio', '   1.61%)']", ,[' 412847  '],[' 26796   '],[' 415195  '],[' 248378  '],"[' 745130   (Atom=Atom', ' 223580 Body=Body', ' 127696 Other', ' 393854)']",[' Yes'],"[' 31144    (Eliminated', '    0 Frozen', ' 31144)']","[' 12268    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.6189'],[' 0'], ,[' 415.576'],[' 0'],[' 32.0417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49041e+09'],[' 1.39996e+09'],[' 0'],[' 2.16377e+10'],[' 0'],[' 0'],[' 1801 '],[' 3490 '],[' 5163 '],[' 6848 ']
Solving...,TA79, ,[' 1'],[' 10003+'],[' 5006'],"[' 982.822s (Solving', ' 882.16s 1st Model', ' 326.78s Unsat', ' 0.00s)']",[' 980.313s'], ,[' 542423962'],"[' 2824114  (Analyzed', ' 1066397)']","[' 5103     (Average', ' 208.97 Last', ' 15751)']",[' 12128.1 '],"[' 5006     (Average Length', ' 2292.06 Splits', ' 0)']","[' 1066397  (Deleted', ' 972583)']","[' 89       (Ratio', '   0.01%)']","[' 73128    (Ratio', '   6.86%)']","[' 1066397  (Average Length', '   25.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1066397  (Average', ' 467.43 Max', ' 13892 Sum', ' 498467960)']","[' 1063260  (Average', ' 460.56 Max', ' 13892 Sum', ' 491144827 Ratio', '  98.53%)']","[' 3137     (Average', ' 2334.44 Max', ' 3325 Sum', ' 7323133 Ratio', '   1.47%)']", ,[' 413567  '],[' 26761   '],[' 415880  '],[' 247891  '],"[' 743669   (Atom=Atom', ' 223128 Body=Body', ' 127661 Other', ' 392880)']",[' Yes'],"[' 31074    (Eliminated', '    0 Frozen', ' 31074)']","[' 13679    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.4792'],[' 0'], ,[' 407.315'],[' 0'],[' 31.6717'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68621e+09'],[' 1.58716e+09'],[' 0'],[' 2.50757e+10'],[' 0'],[' 0'],[' 1730 '],[' 3282 '],[' 4866 '],[' 6641 ']
Solving...,TA80, ,[' 1'],[' 9665+'],[' 4837'],"[' 982.299s (Solving', ' 889.53s 1st Model', ' 367.64s Unsat', ' 0.00s)']",[' 980.625s'], ,[' 581990348'],"[' 3705082  (Analyzed', ' 1515399)']","[' 5963     (Average', ' 254.13 Last', ' 53104)']",[' 11977.4 '],"[' 4837     (Average Length', ' 2210.67 Splits', ' 0)']","[' 1515399  (Deleted', ' 1407152)']","[' 118      (Ratio', '   0.01%)']","[' 81716    (Ratio', '   5.39%)']","[' 1515399  (Average Length', '   27.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1515399  (Average', ' 355.64 Max', ' 14065 Sum', ' 538939848)']","[' 1512411  (Average', ' 351.09 Max', ' 14065 Sum', ' 532045345 Ratio', '  98.72%)']","[' 2988     (Average', ' 2307.40 Max', ' 3185 Sum', ' 6894503 Ratio', '   1.28%)']", ,[' 413487  '],[' 26988   '],[' 415632  '],[' 248415  '],"[' 745241   (Atom=Atom', ' 223425 Body=Body', ' 127888 Other', ' 393928)']",[' Yes'],"[' 31133    (Eliminated', '    0 Frozen', ' 31133)']","[' 15080    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.9089'],[' 0'], ,[' 404.48'],[' 0'],[' 32.6731'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79988e+09'],[' 1.68242e+09'],[' 0'],[' 2.44364e+10'],[' 0'],[' 0'],[' 1800 '],[' 3309 '],[' 4987 '],[' 6588 ']
