Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA56_Clus(1), , , , , ,[' 4609'],[' 2308'],"[' 436.085s (Solving', ' 424.86s 1st Model', ' 276.79s Unsat', ' 0.51s)']",[' 432.594s'], ,[' 152563072'],"[' 7398093  (Analyzed', ' 6618478)']","[' 15806    (Average', ' 418.73 Last', ' 1301985)']",[' 4106.8  '],"[' 2308     (Average Length', ' 1189.82 Splits', ' 0)']","[' 6618478  (Deleted', ' 6572207)']","[' 609      (Ratio', '   0.01%)']","[' 16235    (Ratio', '   0.25%)']","[' 6618478  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6618478  (Average', ' 21.93 Max', ' 3965 Sum', ' 145122536)']","[' 6618083  (Average', ' 21.86 Max', ' 3965 Sum', ' 144649269 Ratio', '  99.67%)']","[' 395      (Average', ' 1198.14 Max', ' 1478 Sum', ' 473267 Ratio', '   0.33%)']", ,[' 92700   '],[' 5930    '],[' 87042   '],[' 39328   '],"[' 115642   (Atom=Atom', ' 30273 Body=Body', ' 19812 Other', ' 65557)']",[' Yes'],"[' 8310     (Eliminated', '    0 Frozen', ' 8310)']","[' 2731     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23629'],[' 0'], ,[' 206.695'],[' 0'],[' 11.447'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40587e+08'],[' 4.42424e+08'],[' 0'],[' 8.37187e+09'],[' 0'],[' 0'],[' 1124 '],[' 2327 '],[' 3353 '],[' 2 '],[' 1 ']
Solving...,TA56_Clus(10), , , , ,[' 1'],[' 3899+'],[' 1953'],"[' 602.382s (Solving', ' 592.29s 1st Model', ' 87.64s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 197205975'],"[' 8057064  (Analyzed', ' 7566273)']","[' 15722    (Average', ' 481.25 Last', ' 183314)']",[' 3760.0  '],"[' 1953     (Average Length', ' 1022.87 Splits', ' 0)']","[' 7566273  (Deleted', ' 7488039)']","[' 500      (Ratio', '   0.01%)']","[' 28780    (Ratio', '   0.38%)']","[' 7566273  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7566273  (Average', ' 25.31 Max', ' 3716 Sum', ' 191472926)']","[' 7565781  (Average', ' 25.24 Max', ' 3591 Sum', ' 190937145 Ratio', '  99.72%)']","[' 492      (Average', ' 1088.99 Max', ' 1259 Sum', ' 535781 Ratio', '   0.28%)']", ,[' 93102   '],[' 6059    '],[' 87087   '],[' 39545   '],"[' 116614   (Atom=Atom', ' 30434 Body=Body', ' 20199 Other', ' 65981)']",[' Yes'],"[' 8110     (Eliminated', '    0 Frozen', ' 8110)']","[' 4194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15917'],[' 0'], ,[' 309.409'],[' 0'],[' 16.6714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.42379e+08'],[' 5.33306e+08'],[' 0'],[' 1.36175e+10'],[' 0'],[' 0'],[' 1074 '],[' 2259 '],[' 3362 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(11), , , , ,[' 1'],[' 3343+'],[' 1675'],"[' 602.438s (Solving', ' 593.65s 1st Model', ' 70.56s Unsat', ' 0.00s)']",[' 601.141s'], ,[' 218991656'],"[' 7485206  (Analyzed', ' 7075719)']","[' 14799    (Average', ' 478.12 Last', ' 81336)']",[' 3590.3  '],"[' 1675     (Average Length', ' 893.32 Splits', ' 0)']","[' 7075719  (Deleted', ' 6993766)']","[' 475      (Ratio', '   0.01%)']","[' 31936    (Ratio', '   0.45%)']","[' 7075719  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7075719  (Average', ' 30.24 Max', ' 3598 Sum', ' 213982609)']","[' 7075296  (Average', ' 30.18 Max', ' 3598 Sum', ' 213554207 Ratio', '  99.80%)']","[' 423      (Average', ' 1012.77 Max', ' 2000 Sum', ' 428402 Ratio', '   0.20%)']", ,[' 92835   '],[' 6056    '],[' 86580   '],[' 39255   '],"[' 115706   (Atom=Atom', ' 30144 Body=Body', ' 20190 Other', ' 65372)']",[' Yes'],"[' 7867     (Eliminated', '    0 Frozen', ' 7867)']","[' 4346     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88842'],[' 0'], ,[' 296.244'],[' 0'],[' 17.4315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.90695e+08'],[' 5.79135e+08'],[' 0'],[' 1.31381e+10'],[' 0'],[' 0'],[' 1077 '],[' 2262 '],[' 3344 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(12), , , , ,[' 1'],[' 3875+'],[' 1941'],"[' 602.392s (Solving', ' 593.16s 1st Model', ' 82.11s Unsat', ' 0.00s)']",[' 600.109s'], ,[' 210744395'],"[' 9226304  (Analyzed', ' 8748221)']","[' 17649    (Average', ' 495.68 Last', ' 92530)']",[' 3744.4  '],"[' 1941     (Average Length', ' 1008.28 Splits', ' 0)']","[' 8748221  (Deleted', ' 8671920)']","[' 624      (Ratio', '   0.01%)']","[' 25531    (Ratio', '   0.29%)']","[' 8748221  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8748221  (Average', ' 23.43 Max', ' 3679 Sum', ' 204996530)']","[' 8747729  (Average', ' 23.37 Max', ' 3679 Sum', ' 204475608 Ratio', '  99.75%)']","[' 492      (Average', ' 1058.78 Max', ' 1471 Sum', ' 520922 Ratio', '   0.25%)']", ,[' 92469   '],[' 5955    '],[' 86472   '],[' 39071   '],"[' 114946   (Atom=Atom', ' 30006 Body=Body', ' 19887 Other', ' 65053)']",[' Yes'],"[' 8001     (Eliminated', '    0 Frozen', ' 8001)']","[' 3325     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88761'],[' 0'], ,[' 313.924'],[' 0'],[' 17.0434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.72708e+08'],[' 5.55913e+08'],[' 0'],[' 1.49443e+10'],[' 0'],[' 0'],[' 1151 '],[' 2296 '],[' 3332 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(13), , , , ,[' 1'],[' 3753+'],[' 1880'],"[' 602.579s (Solving', ' 593.37s 1st Model', ' 31.45s Unsat', ' 0.00s)']",[' 599.703s'], ,[' 216303578'],"[' 8103788  (Analyzed', ' 7651645)']","[' 15236    (Average', ' 502.21 Last', ' 33986)']",[' 3686.5  '],"[' 1880     (Average Length', ' 978.65 Splits', ' 0)']","[' 7651645  (Deleted', ' 7560879)']","[' 526      (Ratio', '   0.01%)']","[' 30202    (Ratio', '   0.39%)']","[' 7651645  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7651645  (Average', ' 27.55 Max', ' 3541 Sum', ' 210822640)']","[' 7651176  (Average', ' 27.49 Max', ' 3541 Sum', ' 210329930 Ratio', '  99.77%)']","[' 469      (Average', ' 1050.55 Max', ' 1211 Sum', ' 492710 Ratio', '   0.23%)']", ,[' 92631   '],[' 5992    '],[' 86551   '],[' 39166   '],"[' 115329   (Atom=Atom', ' 30093 Body=Body', ' 19998 Other', ' 65238)']",[' Yes'],"[' 7959     (Eliminated', '    0 Frozen', ' 7959)']","[' 4030     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88005'],[' 0'], ,[' 295.037'],[' 0'],[' 17.5831'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.79331e+08'],[' 5.69306e+08'],[' 0'],[' 1.29427e+10'],[' 0'],[' 0'],[' 1143 '],[' 2301 '],[' 3338 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(14), , , , ,[' 1'],[' 3617+'],[' 1812'],"[' 602.184s (Solving', ' 592.99s 1st Model', ' 44.91s Unsat', ' 0.00s)']",[' 599.688s'], ,[' 209828087'],"[' 7828198  (Analyzed', ' 7397861)']","[' 14994    (Average', ' 493.39 Last', ' 58637)']",[' 3682.7  '],"[' 1812     (Average Length', ' 958.59 Splits', ' 0)']","[' 7397861  (Deleted', ' 7309237)']","[' 547      (Ratio', '   0.01%)']","[' 32117    (Ratio', '   0.43%)']","[' 7397861  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7397861  (Average', ' 27.65 Max', ' 3611 Sum', ' 204561268)']","[' 7397326  (Average', ' 27.58 Max', ' 3505 Sum', ' 204020052 Ratio', '  99.74%)']","[' 535      (Average', ' 1011.62 Max', ' 1168 Sum', ' 541216 Ratio', '   0.26%)']", ,[' 93059   '],[' 6072    '],[' 86916   '],[' 39458   '],"[' 116369   (Atom=Atom', ' 30345 Body=Body', ' 20238 Other', ' 65786)']",[' Yes'],"[' 7996     (Eliminated', '    0 Frozen', ' 7996)']","[' 4402     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9514'],[' 0'], ,[' 297.922'],[' 0'],[' 16.7439'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.80239e+08'],[' 5.70481e+08'],[' 0'],[' 1.33023e+10'],[' 0'],[' 0'],[' 1192 '],[' 2371 '],[' 3483 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(15), , , , ,[' 1'],[' 4499+'],[' 2253'],"[' 602.951s (Solving', ' 591.70s 1st Model', ' 205.02s Unsat', ' 0.00s)']",[' 600.250s'], ,[' 208691512'],"[' 7324785  (Analyzed', ' 6796619)']","[' 16114    (Average', ' 421.78 Last', ' 845052)']",[' 3904.5  '],"[' 2253     (Average Length', ' 1145.91 Splits', ' 0)']","[' 6796619  (Deleted', ' 6734662)']","[' 588      (Ratio', '   0.01%)']","[' 28767    (Ratio', '   0.42%)']","[' 6796619  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6796619  (Average', ' 29.71 Max', ' 3742 Sum', ' 201952938)']","[' 6796217  (Average', ' 29.64 Max', ' 3632 Sum', ' 201465318 Ratio', '  99.76%)']","[' 402      (Average', ' 1212.99 Max', ' 1697 Sum', ' 487620 Ratio', '   0.24%)']", ,[' 93152   '],[' 6020    '],[' 87417   '],[' 39655   '],"[' 116894   (Atom=Atom', ' 30578 Body=Body', ' 20082 Other', ' 66234)']",[' Yes'],"[' 8334     (Eliminated', '    0 Frozen', ' 8334)']","[' 4009     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.36378'],[' 0'], ,[' 289.508'],[' 0'],[' 16.742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.99843e+08'],[' 5.85317e+08'],[' 0'],[' 1.19681e+10'],[' 0'],[' 0'],[' 1134 '],[' 2326 '],[' 3389 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(2), , , , , ,[' 4511'],[' 2259'],"[' 468.347s (Solving', ' 458.30s 1st Model', ' 302.99s Unsat', ' 6.05s)']",[' 467.188s'], ,[' 150995734'],"[' 7935318  (Analyzed', ' 7269431)']","[' 17564    (Average', ' 413.88 Last', ' 1279102)']",[' 3969.0  '],"[' 2259     (Average Length', ' 1169.56 Splits', ' 0)']","[' 7269431  (Deleted', ' 7207377)']","[' 655      (Ratio', '   0.01%)']","[' 18021    (Ratio', '   0.25%)']","[' 7269431  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7269431  (Average', ' 19.83 Max', ' 3901 Sum', ' 144154928)']","[' 7268985  (Average', ' 19.75 Max', ' 3853 Sum', ' 143595260 Ratio', '  99.61%)']","[' 446      (Average', ' 1254.86 Max', ' 3004 Sum', ' 559668 Ratio', '   0.39%)']", ,[' 92919   '],[' 5963    '],[' 87184   '],[' 39453   '],"[' 116079   (Atom=Atom', ' 30363 Body=Body', ' 19914 Other', ' 65802)']",[' Yes'],"[' 8308     (Eliminated', '    0 Frozen', ' 8308)']","[' 2908     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16313'],[' 0'], ,[' 244.016'],[' 0'],[' 12.2636'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.14869e+08'],[' 4.20257e+08'],[' 0'],[' 1.04035e+10'],[' 0'],[' 0'],[' 1101 '],[' 2301 '],[' 3380 '],[' 2 '],[' 1 ']
Solving...,TA56_Clus(3), , , , ,[' 1'],[' 4327+'],[' 2167'],"[' 602.578s (Solving', ' 592.28s 1st Model', ' 417.41s Unsat', ' 0.00s)']",[' 600.781s'], ,[' 183459527'],"[' 10391019 (Analyzed', ' 9671207)']","[' 23174    (Average', ' 417.33 Last', ' 1024378)']",[' 4099.1  '],"[' 2167     (Average Length', ' 1119.56 Splits', ' 0)']","[' 9671207  (Deleted', ' 9611589)']","[' 748      (Ratio', '   0.01%)']","[' 16937    (Ratio', '   0.18%)']","[' 9671207  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9671207  (Average', ' 18.21 Max', ' 4276 Sum', ' 176150783)']","[' 9670885  (Average', ' 18.18 Max', ' 4276 Sum', ' 175794701 Ratio', '  99.80%)']","[' 322      (Average', ' 1105.84 Max', ' 1365 Sum', ' 356082 Ratio', '   0.20%)']", ,[' 92110   '],[' 5936    '],[' 86598   '],[' 39021   '],"[' 114750   (Atom=Atom', ' 30100 Body=Body', ' 19806 Other', ' 64844)']",[' Yes'],"[' 8199     (Eliminated', '    0 Frozen', ' 8199)']","[' 2239     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07591'],[' 0'], ,[' 334.656'],[' 0'],[' 16.0354'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11696e+08'],[' 4.962e+08'],[' 0'],[' 1.57357e+10'],[' 0'],[' 0'],[' 1110 '],[' 2270 '],[' 3548 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(4), , , , , ,[' 4541'],[' 2274'],"[' 457.098s (Solving', ' 444.57s 1st Model', ' 229.06s Unsat', ' 1.74s)']",[' 447.766s'], ,[' 146115450'],"[' 7315830  (Analyzed', ' 6665991)']","[' 16616    (Average', ' 401.18 Last', ' 469532)']",[' 4065.9  '],"[' 2274     (Average Length', ' 1167.13 Splits', ' 0)']","[' 6665991  (Deleted', ' 6607239)']","[' 573      (Ratio', '   0.01%)']","[' 17796    (Ratio', '   0.27%)']","[' 6665991  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6665991  (Average', ' 20.84 Max', ' 3927 Sum', ' 138900129)']","[' 6665589  (Average', ' 20.77 Max', ' 3927 Sum', ' 138445669 Ratio', '  99.67%)']","[' 402      (Average', ' 1130.50 Max', ' 1749 Sum', ' 454460 Ratio', '   0.33%)']", ,[' 92894   '],[' 5967    '],[' 87195   '],[' 39464   '],"[' 116123   (Atom=Atom', ' 30387 Body=Body', ' 19923 Other', ' 65813)']",[' Yes'],"[' 8317     (Eliminated', '    0 Frozen', ' 8317)']","[' 3200     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.01282'],[' 0'], ,[' 211.858'],[' 0'],[' 11.8616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98476e+08'],[' 4.10683e+08'],[' 0'],[' 8.17219e+09'],[' 0'],[' 0'],[' 1083 '],[' 2217 '],[' 3270 '],[' 2 '],[' 1 ']
