Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 9609+'],[' 4809'],"[' 630.314s (Solving', ' 545.33s 1st Model', ' 187.66s Unsat', ' 0.00s)']",[' 627.359s'], ,[' 190697194'],"[' 4192837  (Analyzed', ' 3840562)']","[' 9137     (Average', ' 420.33 Last', ' 95498)']",[' 11338.2 '],"[' 4810     (Average Length', ' 2456.27 Splits', ' 0)']","[' 3840562  (Deleted', ' 3756241)']","[' 554      (Ratio', '   0.01%)']","[' 23566    (Ratio', '   0.61%)']","[' 3840562  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3840562  (Average', ' 39.71 Max', ' 15819 Sum', ' 152512760)']","[' 3838076  (Average', ' 38.38 Max', ' 15819 Sum', ' 147386976 Ratio', '  96.64%)']","[' 2486     (Average', ' 2061.86 Max', ' 3656 Sum', ' 5125784 Ratio', '   3.36%)']", ,[' 376984  '],[' 22071   '],[' 346538  '],[' 172559  '],"[' 404849   (Atom=Atom', ' 111898 Body=Body', ' 78645 Other', ' 214306)']",[' Yes'],"[' 26890    (Eliminated', '    0 Frozen', ' 26890)']","[' 1982     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8749'],[' 0'], ,[' 149.216'],[' 0'],[' 13.7182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13532e+08'],[' 2.78045e+08'],[' 0'],[' 4.32492e+09'],[' 0'],[' 0'],[' 1093 '],[' 1867 '],[' 3073 '],[' 3701 '],[' 4532 '],[' 5629 '],[' 6963 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 10767+'],[' 5388'],"[' 631.838s (Solving', ' 540.76s 1st Model', ' 129.61s Unsat', ' 0.00s)']",[' 628.531s'], ,[' 179633432'],"[' 4377191  (Analyzed', ' 3903732)']","[' 9610     (Average', ' 406.22 Last', ' 7290)']",[' 11264.3 '],"[' 5389     (Average Length', ' 2692.82 Splits', ' 0)']","[' 3903732  (Deleted', ' 3816717)']","[' 610      (Ratio', '   0.02%)']","[' 21563    (Ratio', '   0.55%)']","[' 3903732  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3903732  (Average', ' 35.38 Max', ' 15677 Sum', ' 138096819)']","[' 3901139  (Average', ' 34.01 Max', ' 15677 Sum', ' 132783202 Ratio', '  96.15%)']","[' 2593     (Average', ' 2049.22 Max', ' 4058 Sum', ' 5313617 Ratio', '   3.85%)']", ,[' 371927  '],[' 21229   '],[' 341685  '],[' 167850  '],"[' 403976   (Atom=Atom', ' 111842 Body=Body', ' 78109 Other', ' 214025)']",[' Yes'],"[' 27108    (Eliminated', '    0 Frozen', ' 27108)']","[' 3729     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7799'],[' 0'], ,[' 138.024'],[' 0'],[' 12.5901'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.99763e+08'],[' 2.63645e+08'],[' 0'],[' 3.94189e+09'],[' 0'],[' 0'],[' 918 '],[' 1617 '],[' 2538 '],[' 3469 '],[' 4299 '],[' 5473 '],[' 6469 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 7561+'],[' 3786'],"[' 642.080s (Solving', ' 547.22s 1st Model', ' 142.86s Unsat', ' 0.00s)']",[' 631.406s'], ,[' 162656380'],"[' 4204480  (Analyzed', ' 3982808)']","[' 8751     (Average', ' 455.13 Last', ' 72172)']",[' 9058.9  '],"[' 3787     (Average Length', ' 2067.62 Splits', ' 0)']","[' 3982808  (Deleted', ' 3901893)']","[' 722      (Ratio', '   0.02%)']","[' 28298    (Ratio', '   0.71%)']","[' 3982808  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3982808  (Average', ' 35.66 Max', ' 14475 Sum', ' 142026182)']","[' 3979547  (Average', ' 34.08 Max', ' 14475 Sum', ' 135734044 Ratio', '  95.57%)']","[' 3261     (Average', ' 1929.51 Max', ' 3254 Sum', ' 6292138 Ratio', '   4.43%)']", ,[' 375133  '],[' 21853   '],[' 343828  '],[' 170455  '],"[' 400258   (Atom=Atom', ' 110493 Body=Body', ' 78323 Other', ' 211442)']",[' Yes'],"[' 26127    (Eliminated', '    0 Frozen', ' 26127)']","[' 5228     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7342'],[' 0'], ,[' 148.502'],[' 0'],[' 13.3794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82875e+08'],[' 2.44544e+08'],[' 0'],[' 4.60763e+09'],[' 0'],[' 0'],[' 1192 '],[' 2017 '],[' 2734 '],[' 3554 '],[' 5462 '],[' 7073 '],[' 9251 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 10845+'],[' 5428'],"[' 629.693s (Solving', ' 538.49s 1st Model', ' 151.08s Unsat', ' 0.01s)']",[' 622.094s'], ,[' 174377864'],"[' 1501793  (Analyzed', ' 1055280)']","[' 4038     (Average', ' 261.34 Last', ' 5817)']",[' 12470.1 '],"[' 5429     (Average Length', ' 2678.18 Splits', ' 0)']","[' 1055280  (Deleted', ' 996190)']","[' 635      (Ratio', '   0.06%)']","[' 11049    (Ratio', '   1.05%)']","[' 1055280  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1055280  (Average', ' 120.60 Max', ' 16315 Sum', ' 127271909)']","[' 1052506  (Average', ' 114.40 Max', ' 16315 Sum', ' 120718888 Ratio', '  94.85%)']","[' 2774     (Average', ' 2362.30 Max', ' 3943 Sum', ' 6553021 Ratio', '   5.15%)']", ,[' 371744  '],[' 21162   '],[' 341481  '],[' 167345  '],"[' 403778   (Atom=Atom', ' 111765 Body=Body', ' 78049 Other', ' 213964)']",[' Yes'],"[' 27089    (Eliminated', '    0 Frozen', ' 27089)']","[' 1702     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.1211'],[' 0'], ,[' 112.268'],[' 0'],[' 12.6383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3271e+08'],[' 2.13932e+08'],[' 0'],[' 1.38611e+09'],[' 0'],[' 0'],[' 1052 '],[' 2003 '],[' 2664 '],[' 3373 '],[' 4139 '],[' 4914 '],[' 7106 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 10521+'],[' 5268'],"[' 622.205s (Solving', ' 547.64s 1st Model', ' 185.65s Unsat', ' 0.00s)']",[' 621.109s'], ,[' 236148739'],"[' 3908106  (Analyzed', ' 3536745)']","[' 8958     (Average', ' 394.81 Last', ' 40249)']",[' 10120.6 '],"[' 5269     (Average Length', ' 2635.14 Splits', ' 0)']","[' 3536745  (Deleted', ' 3436873)']","[' 730      (Ratio', '   0.02%)']","[' 40590    (Ratio', '   1.15%)']","[' 3536745  (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3536745  (Average', ' 57.11 Max', ' 13490 Sum', ' 201989912)']","[' 3533936  (Average', ' 55.44 Max', ' 13490 Sum', ' 196067375 Ratio', '  97.07%)']","[' 2809     (Average', ' 2108.41 Max', ' 6296 Sum', ' 5922537 Ratio', '   2.93%)']", ,[' 372441  '],[' 21375   '],[' 342244  '],[' 168211  '],"[' 405106   (Atom=Atom', ' 112083 Body=Body', ' 78387 Other', ' 214636)']",[' Yes'],"[' 27212    (Eliminated', '    0 Frozen', ' 27212)']","[' 6921     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1722'],[' 0'], ,[' 139.313'],[' 0'],[' 14.6004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.59204e+08'],[' 4.03955e+08'],[' 0'],[' 4.41577e+09'],[' 0'],[' 0'],[' 1123 '],[' 1767 '],[' 2610 '],[' 3393 '],[' 4515 '],[' 5266 '],[' 7424 '],[' 7 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 10143+'],[' 5077'],"[' 622.824s (Solving', ' 548.66s 1st Model', ' 191.37s Unsat', ' 0.00s)']",[' 621.297s'], ,[' 236104292'],"[' 5483759  (Analyzed', ' 5116149)']","[' 11721    (Average', ' 436.49 Last', ' 38431)']",[' 10695.9 '],"[' 5077     (Average Length', ' 2557.91 Splits', ' 0)']","[' 5116149  (Deleted', ' 5010544)']","[' 604      (Ratio', '   0.01%)']","[' 36119    (Ratio', '   0.71%)']","[' 5116149  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5116149  (Average', ' 38.63 Max', ' 14500 Sum', ' 197620556)']","[' 5113970  (Average', ' 37.94 Max', ' 14500 Sum', ' 194129703 Ratio', '  98.23%)']","[' 2179     (Average', ' 1602.04 Max', ' 3789 Sum', ' 3490853 Ratio', '   1.77%)']", ,[' 371603  '],[' 21188   '],[' 341303  '],[' 167239  '],"[' 402857   (Atom=Atom', ' 111471 Body=Body', ' 78099 Other', ' 213287)']",[' Yes'],"[' 26964    (Eliminated', '    0 Frozen', ' 26964)']","[' 5441     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0322'],[' 0'], ,[' 146.309'],[' 0'],[' 14.1772'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44001e+08'],[' 3.88691e+08'],[' 0'],[' 5.01432e+09'],[' 0'],[' 0'],[' 1030 '],[' 1742 '],[' 2549 '],[' 3322 '],[' 4129 '],[' 5059 '],[' 6812 '],[' 7 '],[' 0 ']
Solving...,TA77, , , ,[' 10251+'],[' 5133'],"[' 621.960s (Solving', ' 549.03s 1st Model', ' 147.13s Unsat', ' 0.00s)']",[' 620.547s'], ,[' 236940788'],"[' 5350618  (Analyzed', ' 5006363)']","[' 11926    (Average', ' 419.79 Last', ' 26523)']",[' 10706.4 '],"[' 5134     (Average Length', ' 2602.05 Splits', ' 0)']","[' 5006363  (Deleted', ' 4908836)']","[' 616      (Ratio', '   0.01%)']","[' 32697    (Ratio', '   0.65%)']","[' 5006363  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5006363  (Average', ' 40.13 Max', ' 13932 Sum', ' 200896656)']","[' 5003434  (Average', ' 38.89 Max', ' 13932 Sum', ' 194703487 Ratio', '  96.92%)']","[' 2929     (Average', ' 2114.43 Max', ' 3831 Sum', ' 6193169 Ratio', '   3.08%)']", ,[' 372318  '],[' 21246   '],[' 341820  '],[' 167935  '],"[' 402428   (Atom=Atom', ' 111349 Body=Body', ' 77924 Other', ' 213155)']",[' Yes'],"[' 26980    (Eliminated', '    0 Frozen', ' 26980)']","[' 5408     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.735'],[' 0'], ,[' 162.15'],[' 0'],[' 14.8448'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.92274e+08'],[' 3.43847e+08'],[' 0'],[' 5.95718e+09'],[' 0'],[' 0'],[' 963 '],[' 1794 '],[' 2600 '],[' 3343 '],[' 4193 '],[' 5044 '],[' 7411 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 10519+'],[' 5265'],"[' 628.079s (Solving', ' 546.68s 1st Model', ' 117.46s Unsat', ' 0.00s)']",[' 626.969s'], ,[' 221054047'],"[' 4787028  (Analyzed', ' 4369604)']","[' 10386    (Average', ' 420.72 Last', ' 4705)']",[' 10945.3 '],"[' 5266     (Average Length', ' 2642.92 Splits', ' 0)']","[' 4369604  (Deleted', ' 4273598)']","[' 725      (Ratio', '   0.02%)']","[' 32103    (Ratio', '   0.73%)']","[' 4369604  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4369604  (Average', ' 41.79 Max', ' 14356 Sum', ' 182605774)']","[' 4366606  (Average', ' 40.42 Max', ' 14356 Sum', ' 176616217 Ratio', '  96.72%)']","[' 2998     (Average', ' 1997.85 Max', ' 3950 Sum', ' 5989557 Ratio', '   3.28%)']", ,[' 373072  '],[' 21368   '],[' 342645  '],[' 168576  '],"[' 404014   (Atom=Atom', ' 111790 Body=Body', ' 78215 Other', ' 214009)']",[' Yes'],"[' 27068    (Eliminated', '    0 Frozen', ' 27068)']","[' 5388     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5847'],[' 0'], ,[' 153.988'],[' 0'],[' 13.7264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.93843e+08'],[' 3.44647e+08'],[' 0'],[' 5.96101e+09'],[' 0'],[' 0'],[' 1157 '],[' 1797 '],[' 2696 '],[' 3317 '],[' 4281 '],[' 5512 '],[' 5957 '],[' 7 '],[' 0 ']
Solving...,TA79, , , ,[' 11233+'],[' 5623'],"[' 626.618s (Solving', ' 546.59s 1st Model', ' 137.32s Unsat', ' 0.00s)']",[' 624.813s'], ,[' 230783558'],"[' 4094499  (Analyzed', ' 3715576)']","[' 8939     (Average', ' 415.66 Last', ' 26145)']",[' 10245.5 '],"[' 5624     (Average Length', ' 2737.70 Splits', ' 0)']","[' 3715576  (Deleted', ' 3622184)']","[' 685      (Ratio', '   0.02%)']","[' 36391    (Ratio', '   0.98%)']","[' 3715576  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3715576  (Average', ' 52.23 Max', ' 13771 Sum', ' 194056762)']","[' 3712732  (Average', ' 50.58 Max', ' 13771 Sum', ' 187929561 Ratio', '  96.84%)']","[' 2844     (Average', ' 2154.43 Max', ' 4051 Sum', ' 6127201 Ratio', '   3.16%)']", ,[' 372347  '],[' 21185   '],[' 341983  '],[' 167764  '],"[' 405652   (Atom=Atom', ' 112254 Body=Body', ' 78291 Other', ' 215107)']",[' Yes'],"[' 27246    (Eliminated', '    0 Frozen', ' 27246)']","[' 6453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6803'],[' 0'], ,[' 140.424'],[' 0'],[' 14.0058'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.18695e+08'],[' 3.68349e+08'],[' 0'],[' 4.56595e+09'],[' 0'],[' 0'],[' 1022 '],[' 1783 '],[' 2485 '],[' 3241 '],[' 4040 '],[' 4881 '],[' 5969 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 10101+'],[' 5058'],"[' 621.412s (Solving', ' 549.77s 1st Model', ' 153.48s Unsat', ' 0.00s)']",[' 619.594s'], ,[' 240519966'],"[' 4788313  (Analyzed', ' 4491769)']","[' 10646    (Average', ' 421.92 Last', ' 67837)']",[' 10101.6 '],"[' 5059     (Average Length', ' 2550.25 Splits', ' 0)']","[' 4491769  (Deleted', ' 4384989)']","[' 921      (Ratio', '   0.02%)']","[' 40858    (Ratio', '   0.91%)']","[' 4491769  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4491769  (Average', ' 46.37 Max', ' 13214 Sum', ' 208293284)']","[' 4488503  (Average', ' 44.91 Max', ' 13214 Sum', ' 201725703 Ratio', '  96.85%)']","[' 3266     (Average', ' 2010.89 Max', ' 3724 Sum', ' 6567581 Ratio', '   3.15%)']", ,[' 375896  '],[' 21770   '],[' 345210  '],[' 171146  '],"[' 405698   (Atom=Atom', ' 112169 Body=Body', ' 78697 Other', ' 214832)']",[' Yes'],"[' 27076    (Eliminated', '    0 Frozen', ' 27076)']","[' 7581     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5254'],[' 0'], ,[' 156.221'],[' 0'],[' 14.6537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.40159e+08'],[' 3.8577e+08'],[' 0'],[' 5.64004e+09'],[' 0'],[' 0'],[' 1055 '],[' 1832 '],[' 2581 '],[' 3293 '],[' 4273 '],[' 4902 '],[' 6234 '],[' 7 '],[' 0 ']
