Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA71,[' 7073+'],[' 3542'],"[' 1019.803s (Solving', ' 930.05s 1st Model', ' 190.30s Unsat', ' 0.00s)']",[' 1014.109s'], ,[' 323628383'],"[' 5219208  (Analyzed', ' 4144345)']","[' 9458     (Average', ' 438.18 Last', ' 15762)']",[' 10180.4 '],"[' 3542     (Average Length', ' 1641.07 Splits', ' 0)']","[' 4144345  (Deleted', ' 4049126)']","[' 76       (Ratio', '   0.00%)']","[' 46892    (Ratio', '   1.13%)']","[' 4144345  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4144345  (Average', ' 71.45 Max', ' 12797 Sum', ' 296103978)']","[' 4141467  (Average', ' 70.40 Max', ' 12797 Sum', ' 291777658 Ratio', '  98.54%)']","[' 2878     (Average', ' 1503.24 Max', ' 2304 Sum', ' 4326320 Ratio', '   1.46%)']", ,[' 397954  '],[' 22053   '],[' 399120  '],[' 235870  '],"[' 707606   (Atom=Atom', ' 215815 Body=Body', ' 122953 Other', ' 368838)']",[' Yes'],"[' 25219    (Eliminated', '    0 Frozen', ' 25219)']","[' 8656     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.5746'],[' 0'], ,[' 603.969'],[' 0'],[' 27.1953'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04152e+09'],[' 9.68304e+08'],[' 0'],[' 4.09513e+10'],[' 0'],[' 0'],[' 1694 '],[' 3169 '],[' 4480 '],[' 5984 '],[' 7226 '],[' 5 '],[' 0 ']
UNKNOWN,TA72,[' 6511+'],[' 3261'],"[' 1017.477s (Solving', ' 956.07s 1st Model', ' 104.19s Unsat', ' 0.00s)']",[' 1010.766s'], ,[' 327614783'],"[' 7753214  (Analyzed', ' 6268378)']","[' 13696    (Average', ' 457.68 Last', ' 2627)']",[' 9946.7  '],"[' 3261     (Average Length', ' 1529.78 Splits', ' 0)']","[' 6268378  (Deleted', ' 6166588)']","[' 47       (Ratio', '   0.00%)']","[' 38844    (Ratio', '   0.62%)']","[' 6268378  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6268378  (Average', ' 48.19 Max', ' 12998 Sum', ' 302055496)']","[' 6265485  (Average', ' 47.54 Max', ' 12998 Sum', ' 298007312 Ratio', '  98.66%)']","[' 2893     (Average', ' 1399.30 Max', ' 2180 Sum', ' 4048184 Ratio', '   1.34%)']", ,[' 394192  '],[' 21860   '],[' 395153  '],[' 232972  '],"[' 698912   (Atom=Atom', ' 213110 Body=Body', ' 122760 Other', ' 363042)']",[' Yes'],"[' 24821    (Eliminated', '    0 Frozen', ' 24821)']","[' 7495     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5311'],[' 0'], ,[' 692.367'],[' 0'],[' 23.1559'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81463e+08'],[' 9.10771e+08'],[' 0'],[' 7.07828e+10'],[' 0'],[' 0'],[' 1430 '],[' 2874 '],[' 4343 '],[' 5884 '],[' 7300 '],[' 5 '],[' 0 ']
UNKNOWN,TA73,[' 6791+'],[' 3401'],"[' 1015.077s (Solving', ' 952.92s 1st Model', ' 106.02s Unsat', ' 0.00s)']",[' 1013.328s'], ,[' 326846832'],"[' 7958730  (Analyzed', ' 6608800)']","[' 13590    (Average', ' 486.30 Last', ' 10305)']",[' 9897.0  '],"[' 3401     (Average Length', ' 1568.47 Splits', ' 0)']","[' 6608800  (Deleted', ' 6507711)']","[' 58       (Ratio', '   0.00%)']","[' 36364    (Ratio', '   0.55%)']","[' 6608800  (Average Length', '   27.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6608800  (Average', ' 45.56 Max', ' 13095 Sum', ' 301097751)']","[' 6605608  (Average', ' 44.85 Max', ' 13095 Sum', ' 296376693 Ratio', '  98.43%)']","[' 3192     (Average', ' 1479.03 Max', ' 2418 Sum', ' 4721058 Ratio', '   1.57%)']", ,[' 395857  '],[' 21935   '],[' 396875  '],[' 232949  '],"[' 698843   (Atom=Atom', ' 213012 Body=Body', ' 122835 Other', ' 362996)']",[' Yes'],"[' 24953    (Eliminated', '    0 Frozen', ' 24953)']","[' 7045     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7792'],[' 0'], ,[' 713.024'],[' 0'],[' 22.225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.17918e+08'],[' 8.43788e+08'],[' 0'],[' 7.6886e+10'],[' 0'],[' 0'],[' 1763 '],[' 3329 '],[' 4539 '],[' 6012 '],[' 7416 '],[' 5 '],[' 0 ']
UNKNOWN,TA74,[' 6505+'],[' 3258'],"[' 1014.800s (Solving', ' 955.05s 1st Model', ' 116.64s Unsat', ' 0.00s)']",[' 1012.188s'], ,[' 294103906'],"[' 4608900  (Analyzed', ' 3906718)']","[' 9054     (Average', ' 431.49 Last', ' 153525)']",[' 9559.8  '],"[' 3258     (Average Length', ' 1516.61 Splits', ' 0)']","[' 3906718  (Deleted', ' 3806546)']","[' 83       (Ratio', '   0.00%)']","[' 45376    (Ratio', '   1.16%)']","[' 3906718  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3906718  (Average', ' 69.29 Max', ' 13179 Sum', ' 270709577)']","[' 3904014  (Average', ' 68.30 Max', ' 13179 Sum', ' 266829746 Ratio', '  98.57%)']","[' 2704     (Average', ' 1434.85 Max', ' 2210 Sum', ' 3879831 Ratio', '   1.43%)']", ,[' 394219  '],[' 21875   '],[' 395157  '],[' 233144  '],"[' 699428   (Atom=Atom', ' 213267 Body=Body', ' 122775 Other', ' 363386)']",[' Yes'],"[' 24813    (Eliminated', '    0 Frozen', ' 24813)']","[' 8527     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2014'],[' 0'], ,[' 689.143'],[' 0'],[' 20.2482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03479e+09'],[' 9.50287e+08'],[' 0'],[' 7.641e+10'],[' 0'],[' 0'],[' 1322 '],[' 2933 '],[' 4341 '],[' 5772 '],[' 7062 '],[' 5 '],[' 0 ']
UNKNOWN,TA75,[' 6873+'],[' 3442'],"[' 1015.816s (Solving', ' 951.59s 1st Model', ' 136.44s Unsat', ' 0.00s)']",[' 1012.781s'], ,[' 358422045'],"[' 4617196  (Analyzed', ' 4035049)']","[' 9934     (Average', ' 406.19 Last', ' 14225)']",[' 9522.7  '],"[' 3442     (Average Length', ' 1585.69 Splits', ' 0)']","[' 4035049  (Deleted', ' 3928227)']","[' 80       (Ratio', '   0.00%)']","[' 56395    (Ratio', '   1.40%)']","[' 4035049  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4035049  (Average', ' 82.95 Max', ' 12274 Sum', ' 334713559)']","[' 4032060  (Average', ' 81.81 Max', ' 12274 Sum', ' 330096600 Ratio', '  98.62%)']","[' 2989     (Average', ' 1544.65 Max', ' 2348 Sum', ' 4616959 Ratio', '   1.38%)']", ,[' 396947  '],[' 22148   '],[' 398000  '],[' 235353  '],"[' 706055   (Atom=Atom', ' 215203 Body=Body', ' 123048 Other', ' 367804)']",[' Yes'],"[' 25201    (Eliminated', '    0 Frozen', ' 25201)']","[' 10347    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2362'],[' 0'], ,[' 639.014'],[' 0'],[' 24.0171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28203e+09'],[' 1.19197e+09'],[' 0'],[' 6.39697e+10'],[' 0'],[' 0'],[' 1332 '],[' 2961 '],[' 4257 '],[' 5530 '],[' 7070 '],[' 5 '],[' 0 ']
UNKNOWN,TA76,[' 6681+'],[' 3346'],"[' 1015.118s (Solving', ' 952.89s 1st Model', ' 102.27s Unsat', ' 0.00s)']",[' 1013.422s'], ,[' 331267092'],"[' 4803975  (Analyzed', ' 3998926)']","[' 9862     (Average', ' 405.49 Last', ' 24790)']",[' 9201.4  '],"[' 3346     (Average Length', ' 1568.83 Splits', ' 0)']","[' 3998926  (Deleted', ' 3892443)']","[' 89       (Ratio', '   0.00%)']","[' 54274    (Ratio', '   1.36%)']","[' 3998926  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3998926  (Average', ' 77.15 Max', ' 11837 Sum', ' 308524681)']","[' 3996296  (Average', ' 76.14 Max', ' 11837 Sum', ' 304469739 Ratio', '  98.69%)']","[' 2630     (Average', ' 1541.80 Max', ' 2408 Sum', ' 4054942 Ratio', '   1.31%)']", ,[' 394596  '],[' 21680   '],[' 395633  '],[' 233167  '],"[' 699497   (Atom=Atom', ' 213485 Body=Body', ' 122580 Other', ' 363432)']",[' Yes'],"[' 24717    (Eliminated', '    0 Frozen', ' 24717)']","[' 10777    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0275'],[' 0'], ,[' 654.743'],[' 0'],[' 22.7353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20353e+09'],[' 1.10852e+09'],[' 0'],[' 6.90602e+10'],[' 0'],[' 0'],[' 1390 '],[' 2738 '],[' 4214 '],[' 5543 '],[' 7061 '],[' 5 '],[' 0 ']
UNKNOWN,TA77,[' 7453+'],[' 3732'],"[' 1016.389s (Solving', ' 947.97s 1st Model', ' 125.54s Unsat', ' 0.00s)']",[' 1014.359s'], ,[' 340557755'],"[' 8787513  (Analyzed', ' 7235568)']","[' 13810    (Average', ' 523.94 Last', ' 566512)']",[' 10123.2 '],"[' 3732     (Average Length', ' 1731.24 Splits', ' 0)']","[' 7235568  (Deleted', ' 7131243)']","[' 57       (Ratio', '   0.00%)']","[' 39027    (Ratio', '   0.54%)']","[' 7235568  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7235568  (Average', ' 43.13 Max', ' 12585 Sum', ' 312069717)']","[' 7232457  (Average', ' 42.43 Max', ' 12585 Sum', ' 307013913 Ratio', '  98.38%)']","[' 3111     (Average', ' 1625.14 Max', ' 2675 Sum', ' 5055804 Ratio', '   1.62%)']", ,[' 393988  '],[' 21798   '],[' 395270  '],[' 232573  '],"[' 697715   (Atom=Atom', ' 212773 Body=Body', ' 122698 Other', ' 362244)']",[' Yes'],"[' 25080    (Eliminated', '    0 Frozen', ' 25080)']","[' 7506     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.9338'],[' 0'], ,[' 691.489'],[' 0'],[' 23.2042'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72131e+08'],[' 8.98061e+08'],[' 0'],[' 6.98195e+10'],[' 0'],[' 0'],[' 1509 '],[' 3000 '],[' 4544 '],[' 5810 '],[' 7307 '],[' 5 '],[' 0 ']
UNKNOWN,TA78,[' 6883+'],[' 3447'],"[' 1014.798s (Solving', ' 951.24s 1st Model', ' 109.76s Unsat', ' 0.00s)']",[' 1012.859s'], ,[' 319608194'],"[' 7930435  (Analyzed', ' 6815767)']","[' 14698    (Average', ' 463.72 Last', ' 18321)']",[' 9695.6  '],"[' 3447     (Average Length', ' 1600.72 Splits', ' 0)']","[' 6815767  (Deleted', ' 6702083)']","[' 79       (Ratio', '   0.00%)']","[' 38940    (Ratio', '   0.57%)']","[' 6815767  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6815767  (Average', ' 43.32 Max', ' 12503 Sum', ' 295281423)']","[' 6812175  (Average', ' 42.51 Max', ' 12503 Sum', ' 289770959 Ratio', '  98.13%)']","[' 3592     (Average', ' 1534.09 Max', ' 2391 Sum', ' 5510464 Ratio', '   1.87%)']", ,[' 392907  '],[' 21732   '],[' 393999  '],[' 229578  '],"[' 688730   (Atom=Atom', ' 209844 Body=Body', ' 122632 Other', ' 356254)']",[' Yes'],"[' 24824    (Eliminated', '    0 Frozen', ' 24824)']","[' 6728     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0631'],[' 0'], ,[' 705.643'],[' 0'],[' 22.7534'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.64996e+08'],[' 8.88049e+08'],[' 0'],[' 7.37879e+10'],[' 0'],[' 0'],[' 1565 '],[' 3063 '],[' 4351 '],[' 5797 '],[' 7215 '],[' 5 '],[' 0 ']
UNKNOWN,TA79,[' 7415+'],[' 3713'],"[' 1017.146s (Solving', ' 947.06s 1st Model', ' 116.71s Unsat', ' 0.00s)']",[' 1014.734s'], ,[' 349952285'],"[' 5409978  (Analyzed', ' 4371969)']","[' 9536     (Average', ' 458.47 Last', ' 12627)']",[' 9302.3  '],"[' 3713     (Average Length', ' 1692.70 Splits', ' 0)']","[' 4371969  (Deleted', ' 4265735)']","[' 94       (Ratio', '   0.00%)']","[' 56754    (Ratio', '   1.30%)']","[' 4371969  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4371969  (Average', ' 74.27 Max', ' 11887 Sum', ' 324694322)']","[' 4369255  (Average', ' 73.22 Max', ' 11887 Sum', ' 320130438 Ratio', '  98.59%)']","[' 2714     (Average', ' 1681.61 Max', ' 2558 Sum', ' 4563884 Ratio', '   1.41%)']", ,[' 395468  '],[' 21813   '],[' 396715  '],[' 233829  '],"[' 701483   (Atom=Atom', ' 214014 Body=Body', ' 122713 Other', ' 364756)']",[' Yes'],"[' 25060    (Eliminated', '    0 Frozen', ' 25060)']","[' 10865    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5138'],[' 0'], ,[' 629.133'],[' 0'],[' 23.3914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22884e+09'],[' 1.13189e+09'],[' 0'],[' 6.3962e+10'],[' 0'],[' 0'],[' 1421 '],[' 2607 '],[' 4023 '],[' 5346 '],[' 6645 '],[' 5 '],[' 0 ']
UNKNOWN,TA80,[' 6779+'],[' 3395'],"[' 1015.222s (Solving', ' 953.00s 1st Model', ' 137.19s Unsat', ' 0.00s)']",[' 1013.891s'], ,[' 363738869'],"[' 6013751  (Analyzed', ' 4957665)']","[' 11124    (Average', ' 445.67 Last', ' 9217)']",[' 9235.9  '],"[' 3395     (Average Length', ' 1560.61 Splits', ' 0)']","[' 4957665  (Deleted', ' 4842616)']","[' 97       (Ratio', '   0.00%)']","[' 59281    (Ratio', '   1.20%)']","[' 4957665  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4957665  (Average', ' 68.62 Max', ' 11910 Sum', ' 340170448)']","[' 4955027  (Average', ' 67.77 Max', ' 11910 Sum', ' 335993795 Ratio', '  98.77%)']","[' 2638     (Average', ' 1583.26 Max', ' 2309 Sum', ' 4176653 Ratio', '   1.23%)']", ,[' 396019  '],[' 21841   '],[' 396998  '],[' 235079  '],"[' 705233   (Atom=Atom', ' 215236 Body=Body', ' 122741 Other', ' 367256)']",[' Yes'],"[' 24820    (Eliminated', '    0 Frozen', ' 24820)']","[' 10786    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9279'],[' 0'], ,[' 639.411'],[' 0'],[' 24.3719'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2572e+09'],[' 1.16086e+09'],[' 0'],[' 6.32038e+10'],[' 0'],[' 0'],[' 1562 '],[' 2841 '],[' 4115 '],[' 5404 '],[' 6647 '],[' 5 '],[' 0 ']
