Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 7055+'],[' 3533'],"[' 527.156s (Solving', ' 479.45s 1st Model', ' 143.43s Unsat', ' 0.00s)']",[' 525.266s'], ,[' 252649130'],"[' 2366754  (Analyzed', ' 1480017)']","[' 4770     (Average', ' 310.28 Last', ' 21055)']",[' 9580.6  '],"[' 3533     (Average Length', ' 1807.60 Splits', ' 0)']","[' 1480017  (Deleted', ' 1406987)']","[' 84       (Ratio', '   0.01%)']","[' 44383    (Ratio', '   3.00%)']","[' 1480017  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1480017  (Average', ' 154.98 Max', ' 12194 Sum', ' 229369066)']","[' 1477305  (Average', ' 151.35 Max', ' 12194 Sum', ' 224003136 Ratio', '  97.66%)']","[' 2712     (Average', ' 1978.59 Max', ' 2388 Sum', ' 5365930 Ratio', '   2.34%)']", ,[' 347039  '],[' 19424   '],[' 313516  '],[' 132507  '],"[' 353370   (Atom=Atom', ' 94441 Body=Body', ' 63952 Other', ' 194977)']",[' Yes'],"[' 23615    (Eliminated', '    0 Frozen', ' 23615)']","[' 8057     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.24953'],[' 0'], ,[' 144.42'],[' 0'],[' 15.1976'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.6453e+08'],[' 4.09729e+08'],[' 0'],[' 4.54507e+09'],[' 0'],[' 0'],[' 1621 '],[' 2972 '],[' 4684 '],[' 5079 '],[' 5962 '],[' 5 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8289+'],[' 4150'],"[' 616.200s (Solving', ' 558.81s 1st Model', ' 317.80s Unsat', ' 0.00s)']",[' 612.797s'], ,[' 292459696'],"[' 2146891  (Analyzed', ' 1011932)']","[' 4650     (Average', ' 217.62 Last', ' 272445)']",[' 8966.3  '],"[' 4150     (Average Length', ' 2056.26 Splits', ' 0)']","[' 1011932  (Deleted', ' 933943)']","[' 82       (Ratio', '   0.01%)']","[' 53924    (Ratio', '   5.33%)']","[' 1011932  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1011932  (Average', ' 264.63 Max', ' 10900 Sum', ' 267786548)']","[' 1009425  (Average', ' 259.32 Max', ' 10900 Sum', ' 262417042 Ratio', '  97.99%)']","[' 2507     (Average', ' 2141.81 Max', ' 2728 Sum', ' 5369506 Ratio', '   2.01%)']", ,[' 348907  '],[' 19299   '],[' 315365  '],[' 133205  '],"[' 353304   (Atom=Atom', ' 94558 Body=Body', ' 63577 Other', ' 195169)']",[' Yes'],"[' 23934    (Eliminated', '    0 Frozen', ' 23934)']","[' 10682    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.1864'],[' 0'], ,[' 149.891'],[' 0'],[' 17.6286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.80538e+08'],[' 5.15921e+08'],[' 0'],[' 4.14983e+09'],[' 0'],[' 0'],[' 1314 '],[' 2503 '],[' 3501 '],[' 4593 '],[' 5547 '],[' 5 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 6837+'],[' 3424'],"[' 529.633s (Solving', ' 478.53s 1st Model', ' 183.46s Unsat', ' 0.00s)']",[' 516.844s'], ,[' 246717208'],"[' 1775212  (Analyzed', ' 1104253)']","[' 3690     (Average', ' 299.26 Last', ' 35818)']",[' 10170.0 '],"[' 3423     (Average Length', ' 1759.87 Splits', ' 0)']","[' 1104253  (Deleted', ' 1041709)']","[' 65       (Ratio', '   0.01%)']","[' 37157    (Ratio', '   3.36%)']","[' 1104253  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1104253  (Average', ' 200.76 Max', ' 14071 Sum', ' 221691327)']","[' 1101575  (Average', ' 196.59 Max', ' 12746 Sum', ' 217088835 Ratio', '  97.92%)']","[' 2678     (Average', ' 1718.63 Max', ' 2317 Sum', ' 4602492 Ratio', '   2.08%)']", ,[' 346189  '],[' 19349   '],[' 312882  '],[' 131690  '],"[' 351924   (Atom=Atom', ' 94032 Body=Body', ' 63727 Other', ' 194165)']",[' Yes'],"[' 23390    (Eliminated', '    0 Frozen', ' 23390)']","[' 5841     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.83621'],[' 0'], ,[' 131.156'],[' 0'],[' 15.3527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.21452e+08'],[' 3.74742e+08'],[' 0'],[' 3.45193e+09'],[' 0'],[' 0'],[' 1610 '],[' 4003 '],[' 3977 '],[' 4943 '],[' 5863 '],[' 5 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8251+'],[' 4131'],"[' 615.788s (Solving', ' 559.76s 1st Model', ' 306.77s Unsat', ' 0.00s)']",[' 613.172s'], ,[' 298121843'],"[' 2104270  (Analyzed', ' 913371)']","[' 4574     (Average', ' 199.69 Last', ' 95184)']",[' 9021.3  '],"[' 4131     (Average Length', ' 2074.39 Splits', ' 0)']","[' 913371   (Deleted', ' 835058)']","[' 59       (Ratio', '   0.01%)']","[' 54537    (Ratio', '   5.97%)']","[' 913371   (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 913371   (Average', ' 299.38 Max', ' 12356 Sum', ' 273447468)']","[' 910932   (Average', ' 293.47 Max', ' 12356 Sum', ' 268047016 Ratio', '  98.03%)']","[' 2439     (Average', ' 2214.21 Max', ' 2786 Sum', ' 5400452 Ratio', '   1.97%)']", ,[' 350106  '],[' 19322   '],[' 315887  '],[' 134059  '],"[' 353515   (Atom=Atom', ' 94631 Body=Body', ' 63646 Other', ' 195238)']",[' Yes'],"[' 23998    (Eliminated', '    0 Frozen', ' 23998)']","[' 10704    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.848'],[' 0'], ,[' 149.649'],[' 0'],[' 17.8193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.9268e+08'],[' 5.28101e+08'],[' 0'],[' 4.27392e+09'],[' 0'],[' 0'],[' 1370 '],[' 2495 '],[' 3597 '],[' 4711 '],[' 5699 '],[' 5 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 8527+'],[' 4269'],"[' 615.793s (Solving', ' 559.74s 1st Model', ' 311.18s Unsat', ' 0.00s)']",[' 614.250s'], ,[' 308379394'],"[' 1769545  (Analyzed', ' 880349)']","[' 4442     (Average', ' 198.19 Last', ' 88818)']",[' 9080.9  '],"[' 4269     (Average Length', ' 2132.98 Splits', ' 0)']","[' 880349   (Deleted', ' 797451)']","[' 76       (Ratio', '   0.01%)']","[' 56632    (Ratio', '   6.43%)']","[' 880349   (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 880349   (Average', ' 322.29 Max', ' 10794 Sum', ' 283730313)']","[' 877697   (Average', ' 315.36 Max', ' 10794 Sum', ' 277628204 Ratio', '  97.85%)']","[' 2652     (Average', ' 2300.95 Max', ' 2965 Sum', ' 6102109 Ratio', '   2.15%)']", ,[' 349686  '],[' 19466   '],[' 316057  '],[' 134197  '],"[' 356204   (Atom=Atom', ' 95345 Body=Body', ' 64078 Other', ' 196781)']",[' Yes'],"[' 24212    (Eliminated', '    0 Frozen', ' 24212)']","[' 10903    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9088'],[' 0'], ,[' 144.452'],[' 0'],[' 17.9089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.24662e+08'],[' 5.59024e+08'],[' 0'],[' 3.87688e+09'],[' 0'],[' 0'],[' 1411 '],[' 2636 '],[' 3700 '],[' 4784 '],[' 5688 '],[' 5 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 7523+'],[' 3767'],"[' 614.473s (Solving', ' 563.91s 1st Model', ' 273.63s Unsat', ' 0.00s)']",[' 612.891s'], ,[' 315877749'],"[' 2810722  (Analyzed', ' 1659306)']","[' 5575     (Average', ' 297.63 Last', ' 82856)']",[' 8887.3  '],"[' 3767     (Average Length', ' 1944.55 Splits', ' 0)']","[' 1659306  (Deleted', ' 1574146)']","[' 76       (Ratio', '   0.00%)']","[' 58259    (Ratio', '   3.51%)']","[' 1659306  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1659306  (Average', ' 176.75 Max', ' 10968 Sum', ' 293283935)']","[' 1656672  (Average', ' 173.59 Max', ' 10968 Sum', ' 288043617 Ratio', '  98.21%)']","[' 2634     (Average', ' 1989.49 Max', ' 2614 Sum', ' 5240318 Ratio', '   1.79%)']", ,[' 348725  '],[' 19260   '],[' 314501  '],[' 133050  '],"[' 351503   (Atom=Atom', ' 94019 Body=Body', ' 63460 Other', ' 194024)']",[' Yes'],"[' 23601    (Eliminated', '    0 Frozen', ' 23601)']","[' 10987    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.76514'],[' 0'], ,[' 163.668'],[' 0'],[' 18.6171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.2338e+08'],[' 5.5236e+08'],[' 0'],[' 5.10574e+09'],[' 0'],[' 0'],[' 1424 '],[' 2589 '],[' 3645 '],[' 4689 '],[' 5758 '],[' 5 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8051+'],[' 4031'],"[' 614.641s (Solving', ' 562.97s 1st Model', ' 233.54s Unsat', ' 0.00s)']",[' 612.141s'], ,[' 312278910'],"[' 3348356  (Analyzed', ' 2110552)']","[' 6608     (Average', ' 319.39 Last', ' 58312)']",[' 9429.9  '],"[' 4031     (Average Length', ' 2054.86 Splits', ' 0)']","[' 2110552  (Deleted', ' 2024763)']","[' 75       (Ratio', '   0.00%)']","[' 53207    (Ratio', '   2.52%)']","[' 2110552  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2110552  (Average', ' 135.36 Max', ' 13018 Sum', ' 285679524)']","[' 2108286  (Average', ' 133.06 Max', ' 11535 Sum', ' 280826690 Ratio', '  98.30%)']","[' 2266     (Average', ' 2141.59 Max', ' 2764 Sum', ' 4852834 Ratio', '   1.70%)']", ,[' 347272  '],[' 19251   '],[' 314090  '],[' 132400  '],"[' 352164   (Atom=Atom', ' 94247 Body=Body', ' 63433 Other', ' 194484)']",[' Yes'],"[' 23848    (Eliminated', '    0 Frozen', ' 23848)']","[' 9564     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.191'],[' 0'], ,[' 171.425'],[' 0'],[' 18.2586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.78812e+08'],[' 5.10252e+08'],[' 0'],[' 5.57846e+09'],[' 0'],[' 0'],[' 1577 '],[' 2656 '],[' 3671 '],[' 4832 '],[' 5768 '],[' 5 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 7735+'],[' 3873'],"[' 614.509s (Solving', ' 563.60s 1st Model', ' 262.75s Unsat', ' 0.00s)']",[' 613.156s'], ,[' 329239521'],"[' 1848622  (Analyzed', ' 1081032)']","[' 4701     (Average', ' 229.96 Last', ' 40335)']",[' 8831.1  '],"[' 3873     (Average Length', ' 1980.68 Splits', ' 0)']","[' 1081032  (Deleted', ' 992861)']","[' 96       (Ratio', '   0.01%)']","[' 62894    (Ratio', '   5.82%)']","[' 1081032  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1081032  (Average', ' 284.00 Max', ' 11755 Sum', ' 307018033)']","[' 1078462  (Average', ' 279.12 Max', ' 10271 Sum', ' 301739971 Ratio', '  98.28%)']","[' 2570     (Average', ' 2053.72 Max', ' 2642 Sum', ' 5278062 Ratio', '   1.72%)']", ,[' 350028  '],[' 19378   '],[' 315527  '],[' 134048  '],"[' 353626   (Atom=Atom', ' 94597 Body=Body', ' 63814 Other', ' 195215)']",[' Yes'],"[' 23840    (Eliminated', '    0 Frozen', ' 23840)']","[' 11589    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.94889'],[' 0'], ,[' 151.916'],[' 0'],[' 18.9568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.85991e+08'],[' 6.11058e+08'],[' 0'],[' 4.30205e+09'],[' 0'],[' 0'],[' 1433 '],[' 2554 '],[' 3688 '],[' 4806 '],[' 5725 '],[' 5 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 7853+'],[' 3932'],"[' 615.184s (Solving', ' 561.99s 1st Model', ' 269.83s Unsat', ' 0.00s)']",[' 612.641s'], ,[' 318693641'],"[' 1766332  (Analyzed', ' 1023622)']","[' 4630     (Average', ' 221.08 Last', ' 40049)']",[' 9028.6  '],"[' 3932     (Average Length', ' 2014.01 Splits', ' 0)']","[' 1023622  (Deleted', ' 943135)']","[' 80       (Ratio', '   0.01%)']","[' 57932    (Ratio', '   5.66%)']","[' 1023622  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1023622  (Average', ' 288.95 Max', ' 12036 Sum', ' 295775221)']","[' 1020921  (Average', ' 283.46 Max', ' 10497 Sum', ' 290155033 Ratio', '  98.10%)']","[' 2701     (Average', ' 2080.78 Max', ' 2645 Sum', ' 5620188 Ratio', '   1.90%)']", ,[' 350362  '],[' 19458   '],[' 316126  '],[' 134255  '],"[' 355057   (Atom=Atom', ' 94976 Body=Body', ' 64054 Other', ' 196027)']",[' Yes'],"[' 24046    (Eliminated', '    0 Frozen', ' 24046)']","[' 11268    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2507'],[' 0'], ,[' 151.985'],[' 0'],[' 18.6258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56842e+08'],[' 5.89868e+08'],[' 0'],[' 4.3955e+09'],[' 0'],[' 0'],[' 1360 '],[' 2482 '],[' 3695 '],[' 4739 '],[' 5707 '],[' 5 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 6809+'],[' 3410'],"[' 535.639s (Solving', ' 493.08s 1st Model', ' 296.27s Unsat', ' 0.00s)']",[' 534.375s'], ,[' 279565664'],"[' 2106393  (Analyzed', ' 1048240)']","[' 4668     (Average', ' 224.56 Last', ' 136084)']",[' 8452.9  '],"[' 3409     (Average Length', ' 1808.82 Splits', ' 0)']","[' 1048240  (Deleted', ' 968248)']","[' 89       (Ratio', '   0.01%)']","[' 56569    (Ratio', '   5.40%)']","[' 1048240  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1048240  (Average', ' 248.80 Max', ' 13082 Sum', ' 260801067)']","[' 1045720  (Average', ' 243.89 Max', ' 10496 Sum', ' 255651966 Ratio', '  98.03%)']","[' 2520     (Average', ' 2043.29 Max', ' 2586 Sum', ' 5149101 Ratio', '   1.97%)']", ,[' 349198  '],[' 19461   '],[' 314924  '],[' 133344  '],"[' 353491   (Atom=Atom', ' 94466 Body=Body', ' 64063 Other', ' 194962)']",[' Yes'],"[' 23594    (Eliminated', '    0 Frozen', ' 23594)']","[' 11515    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.22451'],[' 0'], ,[' 137.706'],[' 0'],[' 16.1025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.90363e+08'],[' 5.21168e+08'],[' 0'],[' 4.03518e+09'],[' 0'],[' 0'],[' 1376 '],[' 2572 '],[' 3612 '],[' 4666 '],[' 6658 '],[' 5 '],[' 0 ']
