Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 3625+'],[' 1823'],"[' 1008.746s (Solving', ' 976.56s 1st Model', ' 25.02s Unsat', ' 0.00s)']",[' 1006.063s'], ,[' 58041881'],"[' 11527118 (Analyzed', ' 11368052)']","[' 23089    (Average', ' 492.36 Last', ' 8588)']",[' 5091.5  '],"[' 1823     (Average Length', ' 870.87 Splits', ' 0)']","[' 11368052 (Deleted', ' 11204277)']","[' 17       (Ratio', '   0.00%)']","[' 9605     (Ratio', '   0.08%)']","[' 11368052 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11368052 (Average', '  4.46 Max', ' 7548 Sum', ' 50740045)']","[' 11366712 (Average', '  4.37 Max', ' 7548 Sum', ' 49701052 Ratio', '  97.95%)']","[' 1340     (Average', ' 775.37 Max', ' 1595 Sum', ' 1038993 Ratio', '   2.05%)']", ,[' 366585  '],[' 12258   '],[' 366287  '],[' 214393  '],"[' 643175   (Atom=Atom', ' 204133 Body=Body', ' 113158 Other', ' 325884)']",[' Yes'],"[' 13960    (Eliminated', '    0 Frozen', ' 13960)']","[' 1867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.05622'],[' 0'], ,[' 868.469'],[' 0'],[' 11.3322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66567e+08'],[' 2.31753e+08'],[' 0'],[' 1.20085e+11'],[' 0'],[' 0'],[' 949 '],[' 2089 '],[' 3161 '],[' 4060 '],[' 4866 '],[' 5746 '],[' 6428 '],[' 7143 '],[' 8017 '],[' 8593 '],[' 10 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 3261+'],[' 1641'],"[' 1007.162s (Solving', ' 981.57s 1st Model', ' 21.66s Unsat', ' 0.00s)']",[' 1005.406s'], ,[' 49037490'],"[' 11243533 (Analyzed', ' 11112439)']","[' 23259    (Average', ' 477.77 Last', ' 22032)']",[' 4734.4  '],"[' 1641     (Average Length', ' 776.70 Splits', ' 0)']","[' 11112439 (Deleted', ' 10938868)']","[' 27       (Ratio', '   0.00%)']","[' 8119     (Ratio', '   0.07%)']","[' 11112439 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11112439 (Average', '  3.89 Max', ' 7584 Sum', ' 43198533)']","[' 11111079 (Average', '  3.78 Max', ' 7584 Sum', ' 41988767 Ratio', '  97.20%)']","[' 1360     (Average', ' 889.53 Max', ' 1467 Sum', ' 1209766 Ratio', '   2.80%)']", ,[' 360865  '],[' 12015   '],[' 360416  '],[' 212100  '],"[' 636296   (Atom=Atom', ' 202083 Body=Body', ' 112915 Other', ' 321298)']",[' Yes'],"[' 13566    (Eliminated', '    0 Frozen', ' 13566)']","[' 1556     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51804'],[' 0'], ,[' 882.113'],[' 0'],[' 12.0007'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30182e+08'],[' 1.98976e+08'],[' 0'],[' 1.24371e+11'],[' 0'],[' 0'],[' 886 '],[' 1889 '],[' 2553 '],[' 3236 '],[' 4111 '],[' 4734 '],[' 5520 '],[' 6203 '],[' 7228 '],[' 8151 '],[' 10 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 3257+'],[' 1639'],"[' 1008.117s (Solving', ' 973.92s 1st Model', ' 27.72s Unsat', ' 0.00s)']",[' 1000.625s'], ,[' 54112847'],"[' 13584458 (Analyzed', ' 13428703)']","[' 28082    (Average', ' 478.20 Last', ' 19636)']",[' 5006.9  '],"[' 1639     (Average Length', ' 779.13 Splits', ' 0)']","[' 13428703 (Deleted', ' 13241870)']","[' 24       (Ratio', '   0.00%)']","[' 8308     (Ratio', '   0.06%)']","[' 13428703 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13428703 (Average', '  3.52 Max', ' 7873 Sum', ' 47242593)']","[' 13427600 (Average', '  3.46 Max', ' 7873 Sum', ' 46483235 Ratio', '  98.39%)']","[' 1103     (Average', ' 688.45 Max', ' 1475 Sum', ' 759358 Ratio', '   1.61%)']", ,[' 362635  '],[' 12099   '],[' 362180  '],[' 213458  '],"[' 640370   (Atom=Atom', ' 203357 Body=Body', ' 112999 Other', ' 324014)']",[' Yes'],"[' 13644    (Eliminated', '    0 Frozen', ' 13644)']","[' 1494     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.6722'],[' 0'], ,[' 851.703'],[' 0'],[' 11.7035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43029e+08'],[' 2.06211e+08'],[' 0'],[' 1.10169e+11'],[' 0'],[' 0'],[' 1247 '],[' 2064 '],[' 2979 '],[' 3638 '],[' 4453 '],[' 5476 '],[' 6075 '],[' 6956 '],[' 7817 '],[' 8738 '],[' 10 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 3335+'],[' 1678'],"[' 1007.004s (Solving', ' 978.44s 1st Model', ' 21.30s Unsat', ' 0.00s)']",[' 1002.625s'], ,[' 56092048'],"[' 13055513 (Analyzed', ' 12883455)']","[' 25946    (Average', ' 496.55 Last', ' 77117)']",[' 4937.2  '],"[' 1678     (Average Length', ' 802.67 Splits', ' 0)']","[' 12883455 (Deleted', ' 12706151)']","[' 15       (Ratio', '   0.00%)']","[' 8773     (Ratio', '   0.07%)']","[' 12883455 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12883455 (Average', '  3.87 Max', ' 7569 Sum', ' 49871512)']","[' 12881923 (Average', '  3.76 Max', ' 7569 Sum', ' 48496488 Ratio', '  97.24%)']","[' 1532     (Average', ' 897.54 Max', ' 1485 Sum', ' 1375024 Ratio', '   2.76%)']", ,[' 361416  '],[' 12167   '],[' 361007  '],[' 213017  '],"[' 639047   (Atom=Atom', ' 202848 Body=Body', ' 113067 Other', ' 323132)']",[' Yes'],"[' 13758    (Eliminated', '    0 Frozen', ' 13758)']","[' 1700     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.89068'],[' 0'], ,[' 864.856'],[' 0'],[' 11.18'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58112e+08'],[' 2.21412e+08'],[' 0'],[' 1.26635e+11'],[' 0'],[' 0'],[' 934 '],[' 1712 '],[' 2493 '],[' 3529 '],[' 4423 '],[' 5192 '],[' 6095 '],[' 6937 '],[' 7810 '],[' 8334 '],[' 10 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 3287+'],[' 1654'],"[' 988.064s (Solving', ' 961.54s 1st Model', ' 20.77s Unsat', ' 71.15s)']",[' 986.234s'], ,[' 57882571'],"[' 14067539 (Analyzed', ' 13920615)']","[' 27365    (Average', ' 508.70 Last', ' 23321)']",[' 4962.0  '],"[' 1654     (Average Length', ' 795.38 Splits', ' 0)']","[' 13920615 (Deleted', ' 13718148)']","[' 27       (Ratio', '   0.00%)']","[' 8955     (Ratio', '   0.06%)']","[' 13920615 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13920615 (Average', '  3.69 Max', ' 7833 Sum', ' 51378698)']","[' 13919395 (Average', '  3.62 Max', ' 7833 Sum', ' 50346118 Ratio', '  97.99%)']","[' 1220     (Average', ' 846.38 Max', ' 1441 Sum', ' 1032580 Ratio', '   2.01%)']", ,[' 363571  '],[' 12179   '],[' 363150  '],[' 215819  '],"[' 647453   (Atom=Atom', ' 205638 Body=Body', ' 113079 Other', ' 328736)']",[' Yes'],"[' 13758    (Eliminated', '    0 Frozen', ' 13758)']","[' 1676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.63967'],[' 0'], ,[' 848.93'],[' 0'],[' 11.1481'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.62615e+08'],[' 2.23262e+08'],[' 0'],[' 1.25832e+11'],[' 0'],[' 0'],[' 911 '],[' 1821 '],[' 2735 '],[' 3549 '],[' 4425 '],[' 5071 '],[' 5938 '],[' 6874 '],[' 7640 '],[' 8257 '],[' 9 '],[' 1 ']
Solving...,TA76, ,[' 1'],[' 3261+'],[' 1641'],"[' 1007.109s (Solving', ' 979.58s 1st Model', ' 21.74s Unsat', ' 0.00s)']",[' 1005.313s'], ,[' 52573916'],"[' 13192281 (Analyzed', ' 13066961)']","[' 27004    (Average', ' 483.89 Last', ' 12833)']",[' 5108.6  '],"[' 1641     (Average Length', ' 784.88 Splits', ' 0)']","[' 13066961 (Deleted', ' 12885409)']","[' 14       (Ratio', '   0.00%)']","[' 7074     (Ratio', '   0.05%)']","[' 13066961 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13066961 (Average', '  3.49 Max', ' 7712 Sum', ' 45646683)']","[' 13065768 (Average', '  3.43 Max', ' 7712 Sum', ' 44837952 Ratio', '  98.23%)']","[' 1193     (Average', ' 677.90 Max', ' 1382 Sum', ' 808731 Ratio', '   1.77%)']", ,[' 359442  '],[' 11905   '],[' 359003  '],[' 210646  '],"[' 631934   (Atom=Atom', ' 200739 Body=Body', ' 112805 Other', ' 318390)']",[' Yes'],"[' 13466    (Eliminated', '    0 Frozen', ' 13466)']","[' 1347     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.00288'],[' 0'], ,[' 875.869'],[' 0'],[' 11.1541'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45489e+08'],[' 2.08284e+08'],[' 0'],[' 1.33333e+11'],[' 0'],[' 0'],[' 912 '],[' 1686 '],[' 2299 '],[' 3163 '],[' 3880 '],[' 4705 '],[' 5513 '],[' 6266 '],[' 7080 '],[' 7650 '],[' 10 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 3157+'],[' 1589'],"[' 1006.995s (Solving', ' 980.02s 1st Model', ' 20.94s Unsat', ' 0.00s)']",[' 1005.875s'], ,[' 55683159'],"[' 12861576 (Analyzed', ' 12703077)']","[' 25886    (Average', ' 490.73 Last', ' 75659)']",[' 5307.4  '],"[' 1589     (Average Length', ' 760.30 Splits', ' 0)']","[' 12703077 (Deleted', ' 12535632)']","[' 8        (Ratio', '   0.00%)']","[' 7826     (Ratio', '   0.06%)']","[' 12703077 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12703077 (Average', '  3.82 Max', ' 7999 Sum', ' 48514279)']","[' 12701952 (Average', '  3.76 Max', ' 7999 Sum', ' 47751089 Ratio', '  98.43%)']","[' 1125     (Average', ' 678.39 Max', ' 1368 Sum', ' 763190 Ratio', '   1.57%)']", ,[' 361780  '],[' 12053   '],[' 361279  '],[' 214294  '],"[' 642878   (Atom=Atom', ' 204239 Body=Body', ' 112953 Other', ' 325686)']",[' Yes'],"[' 13552    (Eliminated', '    0 Frozen', ' 13552)']","[' 1465     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.87385'],[' 0'], ,[' 877.867'],[' 0'],[' 11.2319'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45086e+08'],[' 2.06419e+08'],[' 0'],[' 1.32869e+11'],[' 0'],[' 0'],[' 1221 '],[' 2069 '],[' 2980 '],[' 3890 '],[' 4668 '],[' 5377 '],[' 6232 '],[' 7046 '],[' 7809 '],[' 8455 '],[' 10 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 3685+'],[' 1853'],"[' 1008.125s (Solving', ' 976.81s 1st Model', ' 23.55s Unsat', ' 0.00s)']",[' 1006.188s'], ,[' 55491468'],"[' 12697584 (Analyzed', ' 12569574)']","[' 25822    (Average', ' 486.78 Last', ' 55160)']",[' 5186.4  '],"[' 1853     (Average Length', ' 879.90 Splits', ' 0)']","[' 12569574 (Deleted', ' 12382613)']","[' 25       (Ratio', '   0.00%)']","[' 7440     (Ratio', '   0.06%)']","[' 12569574 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12569574 (Average', '  3.80 Max', ' 7796 Sum', ' 47741043)']","[' 12568430 (Average', '  3.73 Max', ' 7796 Sum', ' 46915596 Ratio', '  98.27%)']","[' 1144     (Average', ' 721.54 Max', ' 1585 Sum', ' 825447 Ratio', '   1.73%)']", ,[' 361274  '],[' 12011   '],[' 361020  '],[' 211816  '],"[' 635444   (Atom=Atom', ' 201803 Body=Body', ' 112911 Other', ' 320730)']",[' Yes'],"[' 13757    (Eliminated', '    0 Frozen', ' 13757)']","[' 1226     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.71646'],[' 0'], ,[' 869.741'],[' 0'],[' 11.1774'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.65071e+08'],[' 2.28646e+08'],[' 0'],[' 1.32167e+11'],[' 0'],[' 0'],[' 938 '],[' 1818 '],[' 2578 '],[' 3464 '],[' 4204 '],[' 5055 '],[' 5866 '],[' 6778 '],[' 7365 '],[' 8027 '],[' 10 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 3393+'],[' 1707'],"[' 1007.636s (Solving', ' 978.55s 1st Model', ' 24.79s Unsat', ' 0.00s)']",[' 1006.328s'], ,[' 50858482'],"[' 13483757 (Analyzed', ' 13318636)']","[' 27131    (Average', ' 490.90 Last', ' 7046)']",[' 5295.0  '],"[' 1707     (Average Length', ' 822.78 Splits', ' 0)']","[' 13318636 (Deleted', ' 13108490)']","[' 25       (Ratio', '   0.00%)']","[' 7212     (Ratio', '   0.05%)']","[' 13318636 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13318636 (Average', '  3.29 Max', ' 7865 Sum', ' 43771028)']","[' 13317233 (Average', '  3.20 Max', ' 7865 Sum', ' 42601331 Ratio', '  97.33%)']","[' 1403     (Average', ' 833.71 Max', ' 1430 Sum', ' 1169697 Ratio', '   2.67%)']", ,[' 361538  '],[' 12153   '],[' 361167  '],[' 213836  '],"[' 641504   (Atom=Atom', ' 203681 Body=Body', ' 113053 Other', ' 324770)']",[' Yes'],"[' 13782    (Eliminated', '    0 Frozen', ' 13782)']","[' 1433     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.41946'],[' 0'], ,[' 870.754'],[' 0'],[' 11.4125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53424e+08'],[' 2.16978e+08'],[' 0'],[' 1.31467e+11'],[' 0'],[' 0'],[' 808 '],[' 1614 '],[' 2385 '],[' 3212 '],[' 4173 '],[' 4911 '],[' 5679 '],[' 6571 '],[' 7320 '],[' 7882 '],[' 10 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 2937+'],[' 1479'],"[' 1007.396s (Solving', ' 980.82s 1st Model', ' 20.53s Unsat', ' 0.00s)']",[' 1004.797s'], ,[' 51227056'],"[' 12793640 (Analyzed', ' 12648544)']","[' 26000    (Average', ' 486.48 Last', ' 64301)']",[' 5009.6  '],"[' 1479     (Average Length', ' 714.74 Splits', ' 0)']","[' 12648544 (Deleted', ' 12478924)']","[' 14       (Ratio', '   0.00%)']","[' 8007     (Ratio', '   0.06%)']","[' 12648544 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12648544 (Average', '  3.55 Max', ' 7991 Sum', ' 44885561)']","[' 12647468 (Average', '  3.50 Max', ' 7991 Sum', ' 44218885 Ratio', '  98.51%)']","[' 1076     (Average', ' 619.59 Max', ' 1304 Sum', ' 666676 Ratio', '   1.49%)']", ,[' 361760  '],[' 12049   '],[' 361177  '],[' 212964  '],"[' 638888   (Atom=Atom', ' 202913 Body=Body', ' 112949 Other', ' 323026)']",[' Yes'],"[' 13466    (Eliminated', '    0 Frozen', ' 13466)']","[' 1553     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.78071'],[' 0'], ,[' 874.324'],[' 0'],[' 11.4713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30328e+08'],[' 1.94593e+08'],[' 0'],[' 1.21484e+11'],[' 0'],[' 0'],[' 1084 '],[' 1843 '],[' 2764 '],[' 3568 '],[' 4449 '],[' 5054 '],[' 5803 '],[' 6643 '],[' 7489 '],[' 8038 '],[' 10 '],[' 0 ']
