Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 2597+'],[' 1309'],"[' 604.294s (Solving', ' 592.48s 1st Model', ' 11.06s Unsat', ' 0.00s)']",[' 602.453s'], ,[' 44249674'],"[' 4797622  (Analyzed', ' 4663257)']","[' 11752    (Average', ' 396.81 Last', ' 29785)']",[' 4617.5  '],"[' 1309     (Average Length', ' 766.88 Splits', ' 0)']","[' 14899415 (Deleted', ' 14596460)']","[' 5        (Ratio', '   0.00%)']","[' 7955     (Ratio', '   0.05%)']","[' 4663257  (Average Length', '   17.7 Ratio', '  31.30%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10236158 (Average Length', '   15.0 Ratio', '  68.70%) ']","[' 4663257  (Average', '  1.40 Max', ' 6064 Sum', ' 6547266)']","[' 4663257  (Average', '  1.40 Max', ' 6064 Sum', ' 6547266 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 255148  '],[' 9967    '],[' 235712  '],[' 74538   '],"[' 196538   (Atom=Atom', ' 55784 Body=Body', ' 35881 Other', ' 104873)']",[' Yes'],"[' 12803    (Eliminated', '    0 Frozen', ' 12803)']","[' 1417     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30108'],[' 0'], ,[' 398.368'],[' 0'],[' 8.78937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.56155e+07'],[' 5.96173e+07'],[' 0'],[' 2.45667e+10'],[' 0'],[' 0'],[' 949 '],[' 1871 '],[' 2559 '],[' 3163 '],[' 3840 '],[' 4462 '],[' 5113 '],[' 5606 '],[' 5990 '],[' 6352 '],[' 10 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 2551+'],[' 1286'],"[' 604.182s (Solving', ' 592.66s 1st Model', ' 10.32s Unsat', ' 0.00s)']",[' 602.078s'], ,[' 43426365'],"[' 5584344  (Analyzed', ' 5451907)']","[' 13616    (Average', ' 400.40 Last', ' 59364)']",[' 4623.7  '],"[' 1286     (Average Length', ' 770.47 Splits', ' 0)']","[' 16454615 (Deleted', ' 16149228)']","[' 6        (Ratio', '   0.00%)']","[' 7141     (Ratio', '   0.04%)']","[' 5451907  (Average Length', '   18.0 Ratio', '  33.13%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11002708 (Average Length', '   15.0 Ratio', '  66.87%) ']","[' 5451907  (Average', '  1.35 Max', ' 6139 Sum', ' 7370338)']","[' 5451907  (Average', '  1.35 Max', ' 6139 Sum', ' 7370338 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 256519  '],[' 9720    '],[' 235963  '],[' 75032   '],"[' 192505   (Atom=Atom', ' 54773 Body=Body', ' 35140 Other', ' 102592)']",[' Yes'],"[' 12548    (Eliminated', '    0 Frozen', ' 12548)']","[' 1115     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25733'],[' 0'], ,[' 401.385'],[' 0'],[' 8.48905'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.05926e+07'],[' 5.27847e+07'],[' 0'],[' 2.51684e+10'],[' 0'],[' 0'],[' 886 '],[' 1491 '],[' 2433 '],[' 2903 '],[' 3275 '],[' 3822 '],[' 4453 '],[' 4999 '],[' 5480 '],[' 6239 '],[' 10 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 2001+'],[' 1011'],"[' 603.900s (Solving', ' 593.85s 1st Model', ' 8.59s Unsat', ' 0.00s)']",[' 601.875s'], ,[' 43542313'],"[' 5250635  (Analyzed', ' 5176563)']","[' 12850    (Average', ' 402.85 Last', ' 27076)']",[' 4560.4  '],"[' 1011     (Average Length', ' 632.36 Splits', ' 0)']","[' 16312077 (Deleted', ' 16051398)']","[' 15       (Ratio', '   0.00%)']","[' 8902     (Ratio', '   0.05%)']","[' 5176563  (Average Length', '   18.6 Ratio', '  31.73%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11135514 (Average Length', '   16.3 Ratio', '  68.27%) ']","[' 5176563  (Average', '  1.42 Max', ' 5964 Sum', ' 7329968)']","[' 5176563  (Average', '  1.42 Max', ' 5964 Sum', ' 7329968 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 255882  '],[' 9987    '],[' 235871  '],[' 74795   '],"[' 195695   (Atom=Atom', ' 55566 Body=Body', ' 35941 Other', ' 104188)']",[' Yes'],"[' 12546    (Eliminated', '    0 Frozen', ' 12546)']","[' 1508     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.92666'],[' 0'], ,[' 410.567'],[' 0'],[' 8.21257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.36946e+07'],[' 5.56633e+07'],[' 0'],[' 2.54526e+10'],[' 0'],[' 0'],[' 1247 '],[' 1958 '],[' 2918 '],[' 3286 '],[' 3850 '],[' 4325 '],[' 4853 '],[' 5165 '],[' 6193 '],[' 6442 '],[' 10 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 2067+'],[' 1044'],"[' 603.933s (Solving', ' 593.86s 1st Model', ' 9.17s Unsat', ' 0.00s)']",[' 603.000s'], ,[' 42452762'],"[' 5316038  (Analyzed', ' 5231601)']","[' 13129    (Average', ' 398.48 Last', ' 26451)']",[' 4758.4  '],"[' 1044     (Average Length', ' 649.66 Splits', ' 0)']","[' 16156423 (Deleted', ' 15861534)']","[' 11       (Ratio', '   0.00%)']","[' 7833     (Ratio', '   0.05%)']","[' 5231601  (Average Length', '   18.2 Ratio', '  32.38%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10924822 (Average Length', '   15.2 Ratio', '  67.62%) ']","[' 5231601  (Average', '  1.39 Max', ' 6599 Sum', ' 7272989)']","[' 5231601  (Average', '  1.39 Max', ' 6599 Sum', ' 7272989 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 257914  '],[' 9909    '],[' 236800  '],[' 75872   '],"[' 194655   (Atom=Atom', ' 55287 Body=Body', ' 35707 Other', ' 103661)']",[' Yes'],"[' 12505    (Eliminated', '    0 Frozen', ' 12505)']","[' 1347     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95692'],[' 0'], ,[' 411.656'],[' 0'],[' 9.02758'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.35811e+07'],[' 5.60595e+07'],[' 0'],[' 2.55723e+10'],[' 0'],[' 0'],[' 934 '],[' 1838 '],[' 2387 '],[' 2861 '],[' 3523 '],[' 4064 '],[' 4550 '],[' 5181 '],[' 5736 '],[' 6116 '],[' 10 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 2451+'],[' 1236'],"[' 604.111s (Solving', ' 593.36s 1st Model', ' 9.76s Unsat', ' 0.00s)']",[' 602.000s'], ,[' 45203435'],"[' 5881806  (Analyzed', ' 5779122)']","[' 14198    (Average', ' 407.04 Last', ' 16318)']",[' 4114.1  '],"[' 1236     (Average Length', ' 718.91 Splits', ' 0)']","[' 17596240 (Deleted', ' 17274395)']","[' 10       (Ratio', '   0.00%)']","[' 8119     (Ratio', '   0.05%)']","[' 5779122  (Average Length', '   18.2 Ratio', '  32.84%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11817118 (Average Length', '   15.2 Ratio', '  67.16%) ']","[' 5779122  (Average', '  1.38 Max', ' 6231 Sum', ' 7961507)']","[' 5779122  (Average', '  1.38 Max', ' 6231 Sum', ' 7961507 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 257118  '],[' 10027   '],[' 236787  '],[' 75745   '],"[' 197118   (Atom=Atom', ' 55951 Body=Body', ' 36061 Other', ' 105106)']",[' Yes'],"[' 12791    (Eliminated', '    0 Frozen', ' 12791)']","[' 1374     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03482'],[' 0'], ,[' 397.471'],[' 0'],[' 7.23066'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.74504e+07'],[' 5.64805e+07'],[' 0'],[' 2.54821e+10'],[' 0'],[' 0'],[' 911 '],[' 1884 '],[' 2559 '],[' 2914 '],[' 3693 '],[' 4187 '],[' 4619 '],[' 5400 '],[' 6188 '],[' 6801 '],[' 10 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 2179+'],[' 1100'],"[' 604.031s (Solving', ' 593.30s 1st Model', ' 8.38s Unsat', ' 0.00s)']",[' 602.000s'], ,[' 40856228'],"[' 5655057  (Analyzed', ' 5580560)']","[' 14054    (Average', ' 397.08 Last', ' 11378)']",[' 4655.3  '],"[' 1100     (Average Length', ' 662.54 Splits', ' 0)']","[' 17190944 (Deleted', ' 16876666)']","[' 5        (Ratio', '   0.00%)']","[' 7485     (Ratio', '   0.04%)']","[' 5580560  (Average Length', '   17.6 Ratio', '  32.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11610384 (Average Length', '   14.8 Ratio', '  67.54%) ']","[' 5580560  (Average', '  1.36 Max', ' 5454 Sum', ' 7587686)']","[' 5580560  (Average', '  1.36 Max', ' 5454 Sum', ' 7587686 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 257142  '],[' 9761    '],[' 235990  '],[' 75416   '],"[' 192682   (Atom=Atom', ' 54751 Body=Body', ' 35263 Other', ' 102668)']",[' Yes'],"[' 12412    (Eliminated', '    0 Frozen', ' 12412)']","[' 1376     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.09304'],[' 0'], ,[' 403.253'],[' 0'],[' 7.61914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.07869e+07'],[' 5.12867e+07'],[' 0'],[' 2.49809e+10'],[' 0'],[' 0'],[' 912 '],[' 1659 '],[' 2635 '],[' 2910 '],[' 3528 '],[' 3901 '],[' 4471 '],[' 5177 '],[' 5756 '],[' 6210 '],[' 10 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 2585+'],[' 1303'],"[' 604.386s (Solving', ' 591.98s 1st Model', ' 11.08s Unsat', ' 0.00s)']",[' 602.094s'], ,[' 44893888'],"[' 5366604  (Analyzed', ' 5240340)']","[' 13206    (Average', ' 396.82 Last', ' 7998)']",[' 4903.5  '],"[' 1303     (Average Length', ' 775.45 Splits', ' 0)']","[' 16349911 (Deleted', ' 16014177)']","[' 7        (Ratio', '   0.00%)']","[' 7146     (Ratio', '   0.04%)']","[' 5240340  (Average Length', '   17.2 Ratio', '  32.05%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11109571 (Average Length', '   14.3 Ratio', '  67.95%) ']","[' 5240340  (Average', '  1.40 Max', ' 6828 Sum', ' 7341983)']","[' 5240340  (Average', '  1.40 Max', ' 6828 Sum', ' 7341983 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 256132  '],[' 10057   '],[' 236675  '],[' 75059   '],"[' 197645   (Atom=Atom', ' 56138 Body=Body', ' 36151 Other', ' 105356)']",[' Yes'],"[' 12887    (Eliminated', '    0 Frozen', ' 12887)']","[' 1336     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.50763'],[' 0'], ,[' 385.936'],[' 0'],[' 7.79774'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.7589e+07'],[' 5.85638e+07'],[' 0'],[' 2.36039e+10'],[' 0'],[' 0'],[' 1221 '],[' 1741 '],[' 2307 '],[' 3308 '],[' 3638 '],[' 4068 '],[' 4585 '],[' 5160 '],[' 5688 '],[' 6238 '],[' 10 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 2691+'],[' 1356'],"[' 604.348s (Solving', ' 592.71s 1st Model', ' 9.82s Unsat', ' 0.00s)']",[' 603.328s'], ,[' 41105892'],"[' 5289252  (Analyzed', ' 5207825)']","[' 13134    (Average', ' 396.51 Last', ' 23166)']",[' 4291.5  '],"[' 1356     (Average Length', ' 794.16 Splits', ' 0)']","[' 15916409 (Deleted', ' 15587155)']","[' 8        (Ratio', '   0.00%)']","[' 6779     (Ratio', '   0.04%)']","[' 5207825  (Average Length', '   17.1 Ratio', '  32.72%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10708584 (Average Length', '   13.7 Ratio', '  67.28%) ']","[' 5207825  (Average', '  1.37 Max', ' 6308 Sum', ' 7137332)']","[' 5207825  (Average', '  1.37 Max', ' 6308 Sum', ' 7137332 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 257018  '],[' 9867    '],[' 236654  '],[' 75503   '],"[' 194984   (Atom=Atom', ' 55431 Body=Body', ' 35581 Other', ' 103972)']",[' Yes'],"[' 12747    (Eliminated', '    0 Frozen', ' 12747)']","[' 1312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22226'],[' 0'], ,[' 394.502'],[' 0'],[' 8.10212'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.10723e+07'],[' 5.40644e+07'],[' 0'],[' 2.46072e+10'],[' 0'],[' 0'],[' 938 '],[' 1631 '],[' 2267 '],[' 2809 '],[' 3391 '],[' 4037 '],[' 4644 '],[' 5213 '],[' 5864 '],[' 6485 '],[' 10 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 2867+'],[' 1444'],"[' 604.759s (Solving', ' 591.19s 1st Model', ' 11.34s Unsat', ' 0.00s)']",[' 602.859s'], ,[' 41340221'],"[' 5365096  (Analyzed', ' 5240501)']","[' 13465    (Average', ' 389.19 Last', ' 58479)']",[' 4983.4  '],"[' 1444     (Average Length', ' 835.23 Splits', ' 0)']","[' 15730474 (Deleted', ' 15412632)']","[' 9        (Ratio', '   0.00%)']","[' 6413     (Ratio', '   0.04%)']","[' 5240501  (Average Length', '   16.8 Ratio', '  33.31%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10489973 (Average Length', '   13.7 Ratio', '  66.69%) ']","[' 5240501  (Average', '  1.34 Max', ' 6283 Sum', ' 7045455)']","[' 5240501  (Average', '  1.34 Max', ' 6283 Sum', ' 7045455 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 258464  '],[' 9884    '],[' 237645  '],[' 76323   '],"[' 195506   (Atom=Atom', ' 55587 Body=Body', ' 35632 Other', ' 104287)']",[' Yes'],"[' 12856    (Eliminated', '    0 Frozen', ' 12856)']","[' 1275     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72255'],[' 0'], ,[' 392.316'],[' 0'],[' 8.32534'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.03063e+07'],[' 5.30203e+07'],[' 0'],[' 2.37124e+10'],[' 0'],[' 0'],[' 808 '],[' 1535 '],[' 2116 '],[' 2681 '],[' 3316 '],[' 3720 '],[' 4331 '],[' 4884 '],[' 5630 '],[' 5976 '],[' 10 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 2519+'],[' 1270'],"[' 604.231s (Solving', ' 592.62s 1st Model', ' 10.22s Unsat', ' 0.00s)']",[' 602.547s'], ,[' 43206643'],"[' 5510720  (Analyzed', ' 5412566)']","[' 13488    (Average', ' 401.29 Last', ' 43843)']",[' 4583.8  '],"[' 1270     (Average Length', ' 760.26 Splits', ' 0)']","[' 16445714 (Deleted', ' 16126712)']","[' 4        (Ratio', '   0.00%)']","[' 7543     (Ratio', '   0.05%)']","[' 5412566  (Average Length', '   17.8 Ratio', '  32.91%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11033148 (Average Length', '   14.8 Ratio', '  67.09%) ']","[' 5412566  (Average', '  1.38 Max', ' 5752 Sum', ' 7457257)']","[' 5412566  (Average', '  1.38 Max', ' 5752 Sum', ' 7457257 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 255983  '],[' 9832    '],[' 235833  '],[' 74857   '],"[' 194252   (Atom=Atom', ' 55205 Body=Body', ' 35476 Other', ' 103571)']",[' Yes'],"[' 12636    (Eliminated', '    0 Frozen', ' 12636)']","[' 1446     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30263'],[' 0'], ,[' 398.409'],[' 0'],[' 7.77342'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.2347e+07'],[' 5.38297e+07'],[' 0'],[' 2.45017e+10'],[' 0'],[' 0'],[' 1084 '],[' 1782 '],[' 2573 '],[' 2892 '],[' 3422 '],[' 4011 '],[' 4394 '],[' 5020 '],[' 5566 '],[' 6154 '],[' 10 '],[' 0 ']
