Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,TA61, , ,[' 2165'],[' 1089'],"[' 332.450s (Solving', ' 326.77s 1st Model', ' 4.62s Unsat', ' 4.97s)']",[' 331.953s'], ,[' 22662052'],"[' 10173769 (Analyzed', ' 10070197)']","[' 21432    (Average', ' 469.87 Last', ' 12334)']",[' 2575.5  '],"[' 1089     (Average Length', ' 515.84 Splits', ' 0)']","[' 10070197 (Deleted', ' 9903170)']","[' 16       (Ratio', '   0.00%)']","[' 3013     (Ratio', '   0.03%)']","[' 10070197 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10070197 (Average', '  2.00 Max', ' 3198 Sum', ' 20169271)']","[' 10069686 (Average', '  1.98 Max', ' 3198 Sum', ' 19959908 Ratio', '  98.96%)']","[' 511      (Average', ' 409.71 Max', ' 793 Sum', ' 209363 Ratio', '   1.04%)']", ,[' 102746  '],[' 5047    '],[' 102764  '],[' 57954   '],"[' 173858   (Atom=Atom', ' 53905 Body=Body', ' 30497 Other', ' 89456)']",[' Yes'],"[' 6065     (Eliminated', '    0 Frozen', ' 6065)']","[' 546      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44878'],[' 0'], ,[' 268.355'],[' 0'],[' 4.69667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.2661e+07'],[' 4.81405e+07'],[' 0'],[' 3.42761e+10'],[' 0'],[' 0'],[' 832 '],[' 1389 '],[' 2108 '],[' 2731 '],[' 3287 '],[' 3933 ']
Solving...,TA62, ,[' 1'],[' 2157+'],[' 1085'],"[' 385.105s (Solving', ' 379.11s 1st Model', ' 4.37s Unsat', ' 0.00s)']",[' 384.719s'], ,[' 24779897'],"[' 10647918 (Analyzed', ' 10537478)']","[' 21759    (Average', ' 484.28 Last', ' 32008)']",[' 2628.1  '],"[' 1085     (Average Length', ' 511.21 Splits', ' 0)']","[' 10537478 (Deleted', ' 10367239)']","[' 27       (Ratio', '   0.00%)']","[' 3738     (Ratio', '   0.04%)']","[' 10537478 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10537478 (Average', '  2.12 Max', ' 3269 Sum', ' 22303937)']","[' 10536906 (Average', '  2.09 Max', ' 3269 Sum', ' 22046879 Ratio', '  98.85%)']","[' 572      (Average', ' 449.40 Max', ' 764 Sum', ' 257058 Ratio', '   1.15%)']", ,[' 103751  '],[' 5170    '],[' 103762  '],[' 58849   '],"[' 176543   (Atom=Atom', ' 54677 Body=Body', ' 30620 Other', ' 91246)']",[' Yes'],"[' 6181     (Eliminated', '    0 Frozen', ' 6181)']","[' 578      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46771'],[' 0'], ,[' 315.515'],[' 0'],[' 5.22523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36418e+07'],[' 5.7274e+07'],[' 0'],[' 4.30121e+10'],[' 0'],[' 0'],[' 835 '],[' 1440 '],[' 2044 '],[' 2676 '],[' 3296 '],[' 3871 ']
Solving...,TA63, ,[' 1'],[' 2251+'],[' 1132'],"[' 324.331s (Solving', ' 318.91s 1st Model', ' 4.21s Unsat', ' 0.17s)']",[' 323.844s'], ,[' 22461507'],"[' 9008476  (Analyzed', ' 8882337)']","[' 18098    (Average', ' 490.79 Last', ' 88153)']",[' 2592.5  '],"[' 1132     (Average Length', ' 524.76 Splits', ' 0)']","[' 8882337  (Deleted', ' 8745630)']","[' 28       (Ratio', '   0.00%)']","[' 3257     (Ratio', '   0.04%)']","[' 8882337  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8882337  (Average', '  2.24 Max', ' 3394 Sum', ' 19899650)']","[' 8881942  (Average', '  2.22 Max', ' 3394 Sum', ' 19700167 Ratio', '  99.00%)']","[' 395      (Average', ' 505.02 Max', ' 853 Sum', ' 199483 Ratio', '   1.00%)']", ,[' 102931  '],[' 5106    '],[' 102969  '],[' 58934   '],"[' 176798   (Atom=Atom', ' 54826 Body=Body', ' 30556 Other', ' 91416)']",[' Yes'],"[' 6144     (Eliminated', '    0 Frozen', ' 6144)']","[' 544      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43932'],[' 0'], ,[' 264.322'],[' 0'],[' 4.60452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.33478e+07'],[' 5.11965e+07'],[' 0'],[' 3.74901e+10'],[' 0'],[' 0'],[' 863 '],[' 1413 '],[' 1907 '],[' 2475 '],[' 3312 '],[' 3947 ']
Solving...,TA64, ,[' 1'],[' 2209+'],[' 1111'],"[' 385.254s (Solving', ' 379.50s 1st Model', ' 3.76s Unsat', ' 0.00s)']",[' 384.391s'], ,[' 22861336'],"[' 10098329 (Analyzed', ' 9975496)']","[' 20950    (Average', ' 476.16 Last', ' 18256)']",[' 2602.7  '],"[' 1111     (Average Length', ' 529.87 Splits', ' 0)']","[' 9975496  (Deleted', ' 9825632)']","[' 9        (Ratio', '   0.00%)']","[' 3278     (Ratio', '   0.03%)']","[' 9975496  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9975496  (Average', '  2.04 Max', ' 3260 Sum', ' 20326337)']","[' 9975032  (Average', '  2.02 Max', ' 3260 Sum', ' 20105775 Ratio', '  98.91%)']","[' 464      (Average', ' 475.35 Max', ' 840 Sum', ' 220562 Ratio', '   1.09%)']", ,[' 102795  '],[' 5041    '],[' 102828  '],[' 57784   '],"[' 173348   (Atom=Atom', ' 53741 Body=Body', ' 30491 Other', ' 89116)']",[' Yes'],"[' 6074     (Eliminated', '    0 Frozen', ' 6074)']","[' 603      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46546'],[' 0'], ,[' 316.779'],[' 0'],[' 5.57785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.69603e+07'],[' 5.07971e+07'],[' 0'],[' 4.30016e+10'],[' 0'],[' 0'],[' 874 '],[' 1473 '],[' 2225 '],[' 2791 '],[' 3455 '],[' 4011 ']
Solving...,TA65, ,[' 1'],[' 1859+'],[' 936'],"[' 334.016s (Solving', ' 329.27s 1st Model', ' 3.18s Unsat', ' 12.25s)']",[' 333.391s'], ,[' 15938892'],"[' 6318126  (Analyzed', ' 6217194)']","[' 14191    (Average', ' 438.11 Last', ' 31626)']",[' 2421.4  '],"[' 936      (Average Length', ' 446.34 Splits', ' 0)']","[' 6217194  (Deleted', ' 6111194)']","[' 16       (Ratio', '   0.00%)']","[' 3205     (Ratio', '   0.05%)']","[' 6217194  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6217194  (Average', '  2.24 Max', ' 3392 Sum', ' 13941516)']","[' 6216814  (Average', '  2.22 Max', ' 3392 Sum', ' 13783887 Ratio', '  98.87%)']","[' 380      (Average', ' 414.81 Max', ' 733 Sum', ' 157629 Ratio', '   1.13%)']", ,[' 103017  '],[' 5115    '],[' 102902  '],[' 58113   '],"[' 174335   (Atom=Atom', ' 53996 Body=Body', ' 30565 Other', ' 89774)']",[' Yes'],"[' 6000     (Eliminated', '    0 Frozen', ' 6000)']","[' 456      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16293'],[' 0'], ,[' 288.932'],[' 0'],[' 4.28135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.62173e+07'],[' 4.03818e+07'],[' 0'],[' 4.1078e+10'],[' 0'],[' 0'],[' 610 '],[' 1206 '],[' 1937 '],[' 2754 '],[' 3414 '],[' 4095 ']
Solving...,TA66, ,[' 1'],[' 2323+'],[' 1168'],"[' 370.610s (Solving', ' 364.75s 1st Model', ' 7.70s Unsat', ' 48.71s)']",[' 370.188s'], ,[' 19889976'],"[' 8600588  (Analyzed', ' 8479498)']","[' 19324    (Average', ' 438.81 Last', ' 102903)']",[' 2595.5  '],"[' 1168     (Average Length', ' 557.46 Splits', ' 0)']","[' 8479498  (Deleted', ' 8332848)']","[' 26       (Ratio', '   0.00%)']","[' 3457     (Ratio', '   0.04%)']","[' 8479498  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8479498  (Average', '  2.05 Max', ' 3337 Sum', ' 17365228)']","[' 8479064  (Average', '  2.02 Max', ' 3337 Sum', ' 17129731 Ratio', '  98.64%)']","[' 434      (Average', ' 542.62 Max', ' 912 Sum', ' 235497 Ratio', '   1.36%)']", ,[' 104165  '],[' 5116    '],[' 104259  '],[' 59238   '],"[' 177710   (Atom=Atom', ' 55120 Body=Body', ' 30566 Other', ' 92024)']",[' Yes'],"[' 6210     (Eliminated', '    0 Frozen', ' 6210)']","[' 651      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46303'],[' 0'], ,[' 309.416'],[' 0'],[' 4.872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.84784e+07'],[' 4.71767e+07'],[' 0'],[' 4.27652e+10'],[' 0'],[' 0'],[' 675 '],[' 1290 '],[' 2005 '],[' 2749 '],[' 3326 '],[' 4179 ']
Solving...,TA67, ,[' 1'],[' 1977+'],[' 995'],"[' 385.242s (Solving', ' 379.83s 1st Model', ' 3.61s Unsat', ' 0.00s)']",[' 384.547s'], ,[' 24031826'],"[' 9435847  (Analyzed', ' 9353783)']","[' 18991    (Average', ' 492.54 Last', ' 255802)']",[' 2532.3  '],"[' 995      (Average Length', ' 477.64 Splits', ' 0)']","[' 9353783  (Deleted', ' 9233609)']","[' 8        (Ratio', '   0.00%)']","[' 3961     (Ratio', '   0.04%)']","[' 9353783  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9353783  (Average', '  2.32 Max', ' 3313 Sum', ' 21714246)']","[' 9353301  (Average', '  2.30 Max', ' 3313 Sum', ' 21557639 Ratio', '  99.28%)']","[' 482      (Average', ' 324.91 Max', ' 716 Sum', ' 156607 Ratio', '   0.72%)']", ,[' 102725  '],[' 5141    '],[' 102657  '],[' 57924   '],"[' 173768   (Atom=Atom', ' 53781 Body=Body', ' 30591 Other', ' 89396)']",[' Yes'],"[' 6073     (Eliminated', '    0 Frozen', ' 6073)']","[' 714      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36843'],[' 0'], ,[' 321.998'],[' 0'],[' 5.37336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.70094e+07'],[' 5.13339e+07'],[' 0'],[' 4.48982e+10'],[' 0'],[' 0'],[' 904 '],[' 1754 '],[' 2360 '],[' 3104 '],[' 3721 '],[' 4365 ']
Solving...,TA68, , ,[' 2061'],[' 1037'],"[' 212.050s (Solving', ' 206.72s 1st Model', ' 3.69s Unsat', ' 9.93s)']",[' 211.703s'], ,[' 12222904'],"[' 3727991  (Analyzed', ' 3637867)']","[' 8655     (Average', ' 420.32 Last', ' 42663)']",[' 2641.9  '],"[' 1037     (Average Length', ' 491.83 Splits', ' 0)']","[' 3637867  (Deleted', ' 3579081)']","[' 33       (Ratio', '   0.00%)']","[' 2385     (Ratio', '   0.07%)']","[' 3637867  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3637867  (Average', '  2.74 Max', ' 3425 Sum', ' 9956678)']","[' 3637449  (Average', '  2.68 Max', ' 3425 Sum', ' 9761636 Ratio', '  98.04%)']","[' 418      (Average', ' 466.61 Max', ' 752 Sum', ' 195042 Ratio', '   1.96%)']", ,[' 102940  '],[' 5073    '],[' 102909  '],[' 58668   '],"[' 176000   (Atom=Atom', ' 54593 Body=Body', ' 30523 Other', ' 90884)']",[' Yes'],"[' 6042     (Eliminated', '    0 Frozen', ' 6042)']","[' 293      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38249'],[' 0'], ,[' 179.918'],[' 0'],[' 2.74923'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.57737e+07'],[' 3.57479e+07'],[' 0'],[' 2.48993e+10'],[' 0'],[' 0'],[' 592 '],[' 1496 '],[' 2032 '],[' 2640 '],[' 3349 '],[' 3977 ']
Solving...,TA69, ,[' 1'],[' 2183+'],[' 1098'],"[' 385.029s (Solving', ' 379.31s 1st Model', ' 5.16s Unsat', ' 0.00s)']",[' 384.656s'], ,[' 21477588'],"[' 10061645 (Analyzed', ' 9948720)']","[' 21271    (Average', ' 467.71 Last', ' 12844)']",[' 2597.1  '],"[' 1098     (Average Length', ' 517.84 Splits', ' 0)']","[' 9948720  (Deleted', ' 9780964)']","[' 5        (Ratio', '   0.00%)']","[' 2924     (Ratio', '   0.03%)']","[' 9948720  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9948720  (Average', '  1.91 Max', ' 3317 Sum', ' 18964996)']","[' 9948310  (Average', '  1.89 Max', ' 3317 Sum', ' 18782623 Ratio', '  99.04%)']","[' 410      (Average', ' 444.81 Max', ' 824 Sum', ' 182373 Ratio', '   0.96%)']", ,[' 103138  '],[' 5067    '],[' 103168  '],[' 58201   '],"[' 174599   (Atom=Atom', ' 54132 Body=Body', ' 30517 Other', ' 89950)']",[' Yes'],"[' 6097     (Eliminated', '    0 Frozen', ' 6097)']","[' 499      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44245'],[' 0'], ,[' 317.572'],[' 0'],[' 5.16745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.32262e+07'],[' 4.80182e+07'],[' 0'],[' 4.28177e+10'],[' 0'],[' 0'],[' 789 '],[' 1430 '],[' 2212 '],[' 2881 '],[' 3392 '],[' 4110 ']
Solving...,TA70, ,[' 1'],[' 1803+'],[' 908'],"[' 356.395s (Solving', ' 351.61s 1st Model', ' 4.39s Unsat', ' 32.73s)']",[' 355.750s'], ,[' 20478795'],"[' 9141047  (Analyzed', ' 9059306)']","[' 18431    (Average', ' 491.53 Last', ' 14990)']",[' 2349.7  '],"[' 908      (Average Length', ' 438.68 Splits', ' 0)']","[' 9059306  (Deleted', ' 8930483)']","[' 29       (Ratio', '   0.00%)']","[' 3419     (Ratio', '   0.04%)']","[' 9059306  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9059306  (Average', '  2.05 Max', ' 3225 Sum', ' 18562932)']","[' 9058764  (Average', '  2.03 Max', ' 3225 Sum', ' 18362594 Ratio', '  98.92%)']","[' 542      (Average', ' 369.63 Max', ' 712 Sum', ' 200338 Ratio', '   1.08%)']", ,[' 102845  '],[' 5107    '],[' 102713  '],[' 57355   '],"[' 172061   (Atom=Atom', ' 53246 Body=Body', ' 30557 Other', ' 88258)']",[' Yes'],"[' 5975     (Eliminated', '    0 Frozen', ' 5975)']","[' 528      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.17257'],[' 0'], ,[' 296.986'],[' 0'],[' 4.9951'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.65918e+07'],[' 4.43216e+07'],[' 0'],[' 4.02026e+10'],[' 0'],[' 0'],[' 660 '],[' 1352 '],[' 2260 '],[' 2932 '],[' 3586 '],[' 4426 ']
