Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 2139'],[' 1077'],"[' 35.754s (Solving', ' 23.79s 1st Model', ' 7.22s Unsat', ' 1.79s)']",[' 35.359s'], ,[' 4192164 '],"[' 141542   (Analyzed', ' 35133)']","[' 321      (Average', ' 109.45 Last', ' 1096)']",[' 2490.7  '],"[' 1077     (Average Length', ' 510.52 Splits', ' 0)']","[' 35133    (Deleted', ' 20653)']","[' 54       (Ratio', '   0.15%)']","[' 693      (Ratio', '   1.97%)']","[' 35133    (Average Length', '    8.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35133    (Average', ' 57.01 Max', ' 3035 Sum', ' 2002971)']","[' 34997    (Average', ' 55.95 Max', ' 3035 Sum', ' 1965655 Ratio', '  98.14%)']","[' 136      (Average', ' 274.38 Max', ' 651 Sum', '  37316 Ratio', '   1.86%)']", ,[' 100109  '],[' 4269    '],[' 100099  '],[' 56513   '],"[' 169535   (Atom=Atom', ' 53242 Body=Body', ' 29719 Other', ' 86574)']",[' Yes'],"[' 5259     (Eliminated', '    0 Frozen', ' 5259)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.06317'],[' 0'], ,[' 10.0104'],[' 0'],[' 0.462167'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.78932e+07'],[' 2.65498e+07'],[' 0'],[' 3.12094e+08'],[' 0'],[' 0'],[' 1146 '],[' 1613 '],[' 2212 '],[' 2741 '],[' 3202 '],[' 3635 '],[' 4007 '],[' 1 '],[' 6 ']
Solving...,TA62, , ,[' 2321'],[' 1168'],"[' 95.425s (Solving', ' 84.14s 1st Model', ' 7.38s Unsat', ' 62.24s)']",[' 94.266s'], ,[' 5570609 '],"[' 994261   (Analyzed', ' 808891)']","[' 2391     (Average', ' 338.31 Last', ' 11535)']",[' 2161.6  '],"[' 1168     (Average Length', ' 540.47 Splits', ' 0)']","[' 808891   (Deleted', ' 783557)']","[' 91       (Ratio', '   0.01%)']","[' 1956     (Ratio', '   0.24%)']","[' 808891   (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 808891   (Average', '  4.47 Max', ' 2794 Sum', ' 3619216)']","[' 808596   (Average', '  4.30 Max', ' 2794 Sum', ' 3480486 Ratio', '  96.17%)']","[' 295      (Average', ' 470.27 Max', ' 2648 Sum', ' 138730 Ratio', '   3.83%)']", ,[' 99817   '],[' 4253    '],[' 99866   '],[' 56068   '],"[' 168200   (Atom=Atom', ' 52813 Body=Body', ' 29703 Other', ' 85684)']",[' Yes'],"[' 5302     (Eliminated', '    0 Frozen', ' 5302)']","[' 107      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.76132'],[' 0'], ,[' 60.1972'],[' 0'],[' 1.22136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09133e+07'],[' 2.69253e+07'],[' 0'],[' 4.23698e+09'],[' 0'],[' 0'],[' 650 '],[' 1124 '],[' 1647 '],[' 2120 '],[' 2632 '],[' 3122 '],[' 3503 '],[' 0 '],[' 7 ']
Solving...,TA63, , ,[' 2353'],[' 1184'],"[' 57.102s (Solving', ' 45.90s 1st Model', ' 5.29s Unsat', ' 0.85s)']",[' 56.219s'], ,[' 4128273 '],"[' 1263924  (Analyzed', ' 20272)']","[' 1094     (Average', ' 18.53 Last', ' 590)']",[' 2249.9  '],"[' 1184     (Average Length', ' 548.82 Splits', ' 0)']","[' 20272    (Deleted', ' 18311)']","[' 72       (Ratio', '   0.36%)']","[' 735      (Ratio', '   3.63%)']","[' 20272    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20272    (Average', ' 43.52 Max', ' 1327 Sum', ' 882270)']","[' 20198    (Average', ' 43.46 Max', ' 927 Sum', ' 881020 Ratio', '  99.86%)']","[' 74       (Average', ' 16.89 Max', ' 825 Sum', '   1250 Ratio', '   0.14%)']", ,[' 100500  '],[' 4296    '],[' 100572  '],[' 57309   '],"[' 171923   (Atom=Atom', ' 54011 Body=Body', ' 29746 Other', ' 88166)']",[' Yes'],"[' 5368     (Eliminated', '    0 Frozen', ' 5368)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.76007'],[' 0'], ,[' 31.6043'],[' 0'],[' 0.495746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.54909e+07'],[' 2.30744e+07'],[' 0'],[' 1.83104e+09'],[' 0'],[' 0'],[' 670 '],[' 1101 '],[' 1626 '],[' 2071 '],[' 2605 '],[' 3091 '],[' 3422 '],[' 0 '],[' 7 ']
Solving...,TA64, , ,[' 2401'],[' 1208'],"[' 122.003s (Solving', ' 109.27s 1st Model', ' 9.32s Unsat', ' 85.01s)']",[' 119.781s'], ,[' 8537003 '],"[' 2925618  (Analyzed', ' 2843507)']","[' 6244     (Average', ' 455.40 Last', ' 1715)']",[' 2304.2  '],"[' 1208     (Average Length', ' 554.50 Splits', ' 0)']","[' 2843507  (Deleted', ' 2774289)']","[' 117      (Ratio', '   0.00%)']","[' 1534     (Ratio', '   0.05%)']","[' 2843507  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2843507  (Average', '  2.23 Max', ' 2980 Sum', ' 6351236)']","[' 2843287  (Average', '  2.21 Max', ' 2980 Sum', ' 6289940 Ratio', '  99.03%)']","[' 220      (Average', ' 278.62 Max', ' 2495 Sum', '  61296 Ratio', '   0.97%)']", ,[' 100176  '],[' 4257    '],[' 100234  '],[' 56408   '],"[' 169220   (Atom=Atom', ' 53149 Body=Body', ' 29707 Other', ' 86364)']",[' Yes'],"[' 5315     (Eliminated', '    0 Frozen', ' 5315)']","[' 55       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.07977'],[' 0'], ,[' 62.0156'],[' 0'],[' 1.6554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.0709e+07'],[' 3.21519e+07'],[' 0'],[' 3.3547e+09'],[' 0'],[' 0'],[' 768 '],[' 1279 '],[' 1758 '],[' 2277 '],[' 2740 '],[' 3131 '],[' 3445 '],[' 0 '],[' 7 ']
Solving...,TA65, , ,[' 2457'],[' 1236'],"[' 50.699s (Solving', ' 37.79s 1st Model', ' 8.74s Unsat', ' 12.39s)']",[' 49.406s'], ,[' 4700354 '],"[' 280180   (Analyzed', ' 106526)']","[' 626      (Average', ' 170.17 Last', ' 1560)']",[' 2338.8  '],"[' 1236     (Average Length', ' 581.86 Splits', ' 0)']","[' 106526   (Deleted', ' 90877)']","[' 90       (Ratio', '   0.08%)']","[' 1233     (Ratio', '   1.16%)']","[' 106526   (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 106526   (Average', ' 22.88 Max', ' 2994 Sum', ' 2437733)']","[' 106301   (Average', ' 22.20 Max', ' 2994 Sum', ' 2364412 Ratio', '  96.99%)']","[' 225      (Average', ' 325.87 Max', ' 821 Sum', '  73321 Ratio', '   3.01%)']", ,[' 100253  '],[' 4289    '],[' 100379  '],[' 56522   '],"[' 169562   (Atom=Atom', ' 53231 Body=Body', ' 29739 Other', ' 86592)']",[' Yes'],"[' 5415     (Eliminated', '    0 Frozen', ' 5415)']","[' 60       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.21774'],[' 0'], ,[' 21.3978'],[' 0'],[' 0.644894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89013e+07'],[' 2.72202e+07'],[' 0'],[' 1.20996e+09'],[' 0'],[' 0'],[' 623 '],[' 1186 '],[' 1644 '],[' 2271 '],[' 2858 '],[' 3341 '],[' 3674 '],[' 0 '],[' 7 ']
Solving...,TA66, , ,[' 2459'],[' 1237'],"[' 37.755s (Solving', ' 25.71s 1st Model', ' 8.66s Unsat', ' 2.97s)']",[' 37.641s'], ,[' 4388329 '],"[' 130464   (Analyzed', ' 42250)']","[' 459      (Average', ' 92.05 Last', ' 1387)']",[' 2257.2  '],"[' 1237     (Average Length', ' 575.92 Splits', ' 0)']","[' 42250    (Deleted', ' 31142)']","[' 69       (Ratio', '   0.16%)']","[' 1023     (Ratio', '   2.42%)']","[' 42250    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 42250    (Average', ' 54.67 Max', ' 3013 Sum', ' 2309707)']","[' 42040    (Average', ' 52.79 Max', ' 3013 Sum', ' 2230173 Ratio', '  96.56%)']","[' 210      (Average', ' 378.73 Max', ' 999 Sum', '  79534 Ratio', '   3.44%)']", ,[' 100281  '],[' 4296    '],[' 100403  '],[' 56656   '],"[' 169964   (Atom=Atom', ' 53358 Body=Body', ' 29746 Other', ' 86860)']",[' Yes'],"[' 5418     (Eliminated', '    0 Frozen', ' 5418)']","[' 60       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.89918'],[' 0'], ,[' 11.5'],[' 0'],[' 0.492497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66101e+07'],[' 2.51965e+07'],[' 0'],[' 4.48035e+08'],[' 0'],[' 0'],[' 645 '],[' 1081 '],[' 1644 '],[' 2072 '],[' 2634 '],[' 3131 '],[' 3573 '],[' 0 '],[' 7 ']
Solving...,TA67, , ,[' 2659'],[' 1337'],"[' 45.943s (Solving', ' 32.94s 1st Model', ' 8.10s Unsat', ' 3.12s)']",[' 45.297s'], ,[' 4821280 '],"[' 613966   (Analyzed', ' 74620)']","[' 976      (Average', ' 76.45 Last', ' 7039)']",[' 2389.8  '],"[' 1337     (Average Length', ' 621.03 Splits', ' 0)']","[' 74620    (Deleted', ' 64782)']","[' 45       (Ratio', '   0.06%)']","[' 908      (Ratio', '   1.22%)']","[' 74620    (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 74620    (Average', ' 25.92 Max', ' 3131 Sum', ' 1934479)']","[' 74564    (Average', ' 25.74 Max', ' 3131 Sum', ' 1920371 Ratio', '  99.27%)']","[' 56       (Average', ' 251.93 Max', ' 894 Sum', '  14108 Ratio', '   0.73%)']", ,[' 100874  '],[' 4313    '],[' 101077  '],[' 57927   '],"[' 173777   (Atom=Atom', ' 54612 Body=Body', ' 29763 Other', ' 89402)']",[' Yes'],"[' 5516     (Eliminated', '    0 Frozen', ' 5516)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20858'],[' 0'], ,[' 16.2207'],[' 0'],[' 0.552425'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88627e+07'],[' 2.68657e+07'],[' 0'],[' 7.07513e+08'],[' 0'],[' 0'],[' 706 '],[' 1245 '],[' 1857 '],[' 2411 '],[' 2878 '],[' 3356 '],[' 3729 '],[' 0 '],[' 7 ']
Solving...,TA68, , ,[' 2409'],[' 1212'],"[' 36.261s (Solving', ' 23.98s 1st Model', ' 7.22s Unsat', ' 1.23s)']",[' 35.516s'], ,[' 4340777 '],"[' 268884   (Analyzed', ' 23189)']","[' 495      (Average', ' 46.85 Last', ' 495)']",[' 2325.1  '],"[' 1212     (Average Length', ' 564.48 Splits', ' 0)']","[' 23189    (Deleted', ' 12341)']","[' 76       (Ratio', '   0.33%)']","[' 707      (Ratio', '   3.05%)']","[' 23189    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23189    (Average', ' 86.64 Max', ' 3043 Sum', ' 2009013)']","[' 23068    (Average', ' 85.06 Max', ' 3043 Sum', ' 1972529 Ratio', '  98.18%)']","[' 121      (Average', ' 301.52 Max', ' 949 Sum', '  36484 Ratio', '   1.82%)']", ,[' 100144  '],[' 4227    '],[' 100236  '],[' 56878   '],"[' 170630   (Atom=Atom', ' 53649 Body=Body', ' 29677 Other', ' 87304)']",[' Yes'],"[' 5319     (Eliminated', '    0 Frozen', ' 5319)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.80971'],[' 0'], ,[' 10.246'],[' 0'],[' 0.434396'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.70823e+07'],[' 2.56229e+07'],[' 0'],[' 3.811e+08'],[' 0'],[' 0'],[' 583 '],[' 1154 '],[' 1640 '],[' 2093 '],[' 2536 '],[' 2981 '],[' 3370 '],[' 0 '],[' 7 ']
Solving...,TA69, , ,[' 2841'],[' 1428'],"[' 208.824s (Solving', ' 194.91s 1st Model', ' 10.52s Unsat', ' 26.28s)']",[' 205.672s'], ,[' 15545902'],"[' 6883171  (Analyzed', ' 6778388)']","[' 13844    (Average', ' 489.63 Last', ' 2476)']",[' 2191.5  '],"[' 1428     (Average Length', ' 650.40 Splits', ' 0)']","[' 6778388  (Deleted', ' 6659751)']","[' 105      (Ratio', '   0.00%)']","[' 2724     (Ratio', '   0.04%)']","[' 6778388  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6778388  (Average', '  1.95 Max', ' 2730 Sum', ' 13215253)']","[' 6778044  (Average', '  1.93 Max', ' 2730 Sum', ' 13057338 Ratio', '  98.81%)']","[' 344      (Average', ' 459.06 Max', ' 1109 Sum', ' 157915 Ratio', '   1.19%)']", ,[' 100352  '],[' 4327    '],[' 100599  '],[' 56242   '],"[' 168722   (Atom=Atom', ' 52913 Body=Body', ' 29777 Other', ' 86032)']",[' Yes'],"[' 5574     (Eliminated', '    0 Frozen', ' 5574)']","[' 411      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.37238'],[' 0'], ,[' 107.174'],[' 0'],[' 3.17229'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.25071e+07'],[' 4.40614e+07'],[' 0'],[' 4.45953e+09'],[' 0'],[' 0'],[' 760 '],[' 1287 '],[' 1781 '],[' 2339 '],[' 2803 '],[' 3289 '],[' 3650 '],[' 1 '],[' 6 ']
Solving...,TA70, , ,[' 2505'],[' 1260'],"[' 103.121s (Solving', ' 90.35s 1st Model', ' 8.17s Unsat', ' 67.05s)']",[' 101.500s'], ,[' 6080156 '],"[' 911922   (Analyzed', ' 812194)']","[' 2323     (Average', ' 349.63 Last', ' 480)']",[' 2324.2  '],"[' 1260     (Average Length', ' 592.57 Splits', ' 0)']","[' 812194   (Deleted', ' 786236)']","[' 94       (Ratio', '   0.01%)']","[' 1849     (Ratio', '   0.23%)']","[' 812194   (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 812194   (Average', '  4.75 Max', ' 2944 Sum', ' 3861038)']","[' 811980   (Average', '  4.67 Max', ' 2944 Sum', ' 3791423 Ratio', '  98.20%)']","[' 214      (Average', ' 325.30 Max', ' 828 Sum', '  69615 Ratio', '   1.80%)']", ,[' 100486  '],[' 4334    '],[' 100638  '],[' 56881   '],"[' 170639   (Atom=Atom', ' 53545 Body=Body', ' 29784 Other', ' 87310)']",[' Yes'],"[' 5486     (Eliminated', '    0 Frozen', ' 5486)']","[' 127      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.16865'],[' 0'], ,[' 63.273'],[' 0'],[' 1.39078'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.37254e+07'],[' 3.00353e+07'],[' 0'],[' 4.02599e+09'],[' 0'],[' 0'],[' 700 '],[' 1254 '],[' 1956 '],[' 2592 '],[' 3219 '],[' 3701 '],[' 4115 '],[' 0 '],[' 7 ']
