Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
,swv11,"[' 24136708 (Analyzed', ' 24131101)']","[' 49614    (Average', ' 486.38 Last', ' 29494)']",[' 1267.2  '],"[' 134      (Average Length', ' 60.63 Splits', ' 0)']","[' 24131101 (Deleted', ' 23807226)']","[' 25       (Ratio', '   0.00%)']","[' 2872     (Ratio', '   0.01%)']","[' 24131101 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24131101 (Average', '  1.28 Max', ' 1664 Sum', ' 30943674)']","[' 24130934 (Average', '  1.28 Max', ' 1664 Sum', ' 30935937 Ratio', '  99.97%)']","[' 167      (Average', ' 46.33 Max', '  86 Sum', '   7737 Ratio', '   0.03%)']", ,[' 67126   '],[' 2516    '],[' 66749   '],[' 36840   '],"[' 110516   (Atom=Atom', ' 34822 Body=Body', ' 15216 Other', ' 60478)']",[' Yes'],"[' 2639     (Eliminated', '    0 Frozen', ' 2639)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.229564'],[' 0'], ,[' 276.978'],[' 0'],[' 4.38469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.62106e+07'],[' 3.26408e+07'],[' 0'],[' 4.74325e+10'],[' 0'],[' 0'],[' 802 '],[' 1259 '],[' 1719 '],[' 2168 '],[' 2480 '],[' 2983 '],[' 3495 '],[' 3944 '],[' 4589 '],[' 5245 ']
,swv12,"[' 22186751 (Analyzed', ' 22178586)']","[' 45924    (Average', ' 482.94 Last', ' 23192)']",[' 1132.8  '],"[' 121      (Average Length', ' 54.70 Splits', ' 0)']","[' 22178586 (Deleted', ' 21898788)']","[' 20       (Ratio', '   0.00%)']","[' 3967     (Ratio', '   0.02%)']","[' 22178586 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22178586 (Average', '  1.39 Max', ' 1632 Sum', ' 30868485)']","[' 22178400 (Average', '  1.39 Max', ' 1632 Sum', ' 30858916 Ratio', '  99.97%)']","[' 186      (Average', ' 51.45 Max', ' 1339 Sum', '   9569 Ratio', '   0.03%)']", ,[' 67341   '],[' 2550    '],[' 66951   '],[' 36701   '],"[' 110099   (Atom=Atom', ' 34649 Body=Body', ' 15250 Other', ' 60200)']",[' Yes'],"[' 2660     (Eliminated', '    0 Frozen', ' 2660)']","[' 190      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.209211'],[' 0'], ,[' 287.743'],[' 0'],[' 4.52142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.62001e+07'],[' 3.60262e+07'],[' 0'],[' 4.7272e+10'],[' 0'],[' 0'],[' 711 '],[' 1175 '],[' 1757 '],[' 2615 '],[' 3049 '],[' 3309 '],[' 3856 '],[' 4602 '],[' 5268 '],[' 5869 ']
,swv13,"[' 25242350 (Analyzed', ' 25237831)']","[' 49655    (Average', ' 508.26 Last', ' 139838)']",[' 1266.8  '],"[' 139      (Average Length', ' 63.13 Splits', ' 0)']","[' 25237831 (Deleted', ' 24936171)']","[' 24       (Ratio', '   0.00%)']","[' 3777     (Ratio', '   0.01%)']","[' 25237831 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25237831 (Average', '  1.39 Max', ' 1590 Sum', ' 35140159)']","[' 25237665 (Average', '  1.39 Max', ' 1590 Sum', ' 35132681 Ratio', '  99.98%)']","[' 166      (Average', ' 45.05 Max', ' 104 Sum', '   7478 Ratio', '   0.02%)']", ,[' 68034   '],[' 2593    '],[' 67662   '],[' 37324   '],"[' 111968   (Atom=Atom', ' 35229 Body=Body', ' 15293 Other', ' 61446)']",[' Yes'],"[' 2721     (Eliminated', '    0 Frozen', ' 2721)']","[' 282      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.23503'],[' 0'], ,[' 273.458'],[' 0'],[' 4.40002'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01642e+08'],[' 4.52615e+07'],[' 0'],[' 4.13351e+10'],[' 0'],[' 0'],[' 492 '],[' 1281 '],[' 1914 '],[' 2807 '],[' 3123 '],[' 3420 '],[' 3846 '],[' 4503 '],[' 5318 '],[' 6126 ']
,swv14,"[' 21409469 (Analyzed', ' 21401444)']","[' 42832    (Average', ' 499.66 Last', ' 61874)']",[' 1239.8  '],"[' 133      (Average Length', ' 60.17 Splits', ' 0)']","[' 21401444 (Deleted', ' 21118408)']","[' 29       (Ratio', '   0.00%)']","[' 3992     (Ratio', '   0.02%)']","[' 21401444 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21401444 (Average', '  1.38 Max', ' 1584 Sum', ' 29453482)']","[' 21401280 (Average', '  1.38 Max', ' 1584 Sum', ' 29447596 Ratio', '  99.98%)']","[' 164      (Average', ' 35.89 Max', '  76 Sum', '   5886 Ratio', '   0.02%)']", ,[' 67456   '],[' 2588    '],[' 67078   '],[' 37063   '],"[' 111185   (Atom=Atom', ' 34973 Body=Body', ' 15288 Other', ' 60924)']",[' Yes'],"[' 2710     (Eliminated', '    0 Frozen', ' 2710)']","[' 249      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.246547'],[' 0'], ,[' 285.589'],[' 0'],[' 4.62128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31566e+07'],[' 3.54373e+07'],[' 0'],[' 3.95195e+10'],[' 0'],[' 0'],[' 616 '],[' 1261 '],[' 1977 '],[' 2540 '],[' 2968 '],[' 3240 '],[' 3852 '],[' 4432 '],[' 5068 '],[' 5671 ']
,swv15,"[' 17023437 (Analyzed', ' 17017835)']","[' 33307    (Average', ' 510.94 Last', ' 51165)']",[' 1198.2  '],"[' 115      (Average Length', ' 51.21 Splits', ' 0)']","[' 17017835 (Deleted', ' 16825841)']","[' 31       (Ratio', '   0.00%)']","[' 5180     (Ratio', '   0.03%)']","[' 17017835 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17017835 (Average', '  1.59 Max', ' 1636 Sum', ' 27021009)']","[' 17017661 (Average', '  1.59 Max', ' 1636 Sum', ' 27017524 Ratio', '  99.99%)']","[' 174      (Average', ' 20.03 Max', '  66 Sum', '   3485 Ratio', '   0.01%)']", ,[' 68334   '],[' 2656    '],[' 67938   '],[' 37249   '],"[' 111743   (Atom=Atom', ' 35091 Body=Body', ' 15356 Other', ' 61296)']",[' Yes'],"[' 2760     (Eliminated', '    0 Frozen', ' 2760)']","[' 337      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.228927'],[' 0'], ,[' 305.606'],[' 0'],[' 5.05385'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.722e+07'],[' 3.85613e+07'],[' 0'],[' 4.82887e+10'],[' 0'],[' 0'],[' 914 '],[' 1407 '],[' 2291 '],[' 2821 '],[' 3150 '],[' 3491 '],[' 4057 '],[' 4671 '],[' 5190 '],[' 5919 ']
,swv16,"[' 3610946  (Analyzed', ' 3609131)']","[' 8301     (Average', ' 434.78 Last', ' 87875)']",[' 808.4   '],"[' 97       (Average Length', ' 42.39 Splits', ' 0)']","[' 3609131  (Deleted', ' 3551296)']","[' 113      (Ratio', '   0.00%)']","[' 1302     (Ratio', '   0.04%)']","[' 3609131  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3609131  (Average', '  1.22 Max', ' 952 Sum', ' 4408741)']","[' 3609001  (Average', '  1.22 Max', ' 952 Sum', ' 4408370 Ratio', '  99.99%)']","[' 130      (Average', '  2.85 Max', '  46 Sum', '    371 Ratio', '   0.01%)']", ,[' 48357   '],[' 1688    '],[' 47943   '],[' 27627   '],"[' 82877    (Atom=Atom', ' 26437 Body=Body', ' 14388 Other', ' 42052)']",[' Yes'],"[' 1774     (Eliminated', '    0 Frozen', ' 1774)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.155877'],[' 0'], ,[' 31.956'],[' 0'],[' 0.861356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28856e+07'],[' 4.84961e+06'],[' 0'],[' 3.47965e+09'],[' 0'],[' 0'],[' 499 '],[' 896 '],[' 1513 '],[' 1591 '],[' 1936 '],[' 2366 '],[' 2765 '],[' 2934 '],[' 3248 '],[' 3511 ']
,swv17,"[' 5186996  (Analyzed', ' 5184828)']","[' 11920    (Average', ' 434.97 Last', ' 49461)']",[' 900.9   '],"[' 74       (Average Length', ' 29.92 Splits', ' 0)']","[' 5184828  (Deleted', ' 5097227)']","[' 102      (Ratio', '   0.00%)']","[' 1430     (Ratio', '   0.03%)']","[' 5184828  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5184828  (Average', '  1.23 Max', ' 967 Sum', ' 6398232)']","[' 5184698  (Average', '  1.23 Max', ' 967 Sum', ' 6397816 Ratio', '  99.99%)']","[' 130      (Average', '  3.20 Max', '  33 Sum', '    416 Ratio', '   0.01%)']", ,[' 48173   '],[' 1698    '],[' 47736   '],[' 27384   '],"[' 82148    (Atom=Atom', ' 26184 Body=Body', ' 14398 Other', ' 41566)']",[' Yes'],"[' 1761     (Eliminated', '    0 Frozen', ' 1761)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.149621'],[' 0'], ,[' 59.3942'],[' 0'],[' 1.24318'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8569e+07'],[' 7.05152e+06'],[' 0'],[' 8.30222e+09'],[' 0'],[' 0'],[' 478 '],[' 777 '],[' 1223 '],[' 1549 '],[' 1840 '],[' 2308 '],[' 2610 '],[' 2904 '],[' 3359 '],[' 3695 ']
,swv18,"[' 9227986  (Analyzed', ' 9226386)']","[' 21164    (Average', ' 435.95 Last', ' 86953)']",[' 813.3   '],"[' 86       (Average Length', ' 36.45 Splits', ' 0)']","[' 9226386  (Deleted', ' 9082279)']","[' 69       (Ratio', '   0.00%)']","[' 2287     (Ratio', '   0.02%)']","[' 9226386  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9226386  (Average', '  1.29 Max', ' 1063 Sum', ' 11935745)']","[' 9226287  (Average', '  1.29 Max', ' 1063 Sum', ' 11934541 Ratio', '  99.99%)']","[' 99       (Average', ' 12.16 Max', '  58 Sum', '   1204 Ratio', '   0.01%)']", ,[' 49529   '],[' 1784    '],[' 49103   '],[' 28370   '],"[' 85106    (Atom=Atom', ' 27084 Body=Body', ' 14484 Other', ' 43538)']",[' Yes'],"[' 1858     (Eliminated', '    0 Frozen', ' 1858)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.136247'],[' 0'], ,[' 206.533'],[' 0'],[' 4.03984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29706e+07'],[' 1.25215e+07'],[' 0'],[' 3.37092e+10'],[' 0'],[' 0'],[' 497 '],[' 837 '],[' 1197 '],[' 1638 '],[' 2116 '],[' 2257 '],[' 2628 '],[' 2993 '],[' 3273 '],[' 3677 ']
,swv19,"[' 8699533  (Analyzed', ' 8698146)']","[' 18439    (Average', ' 471.73 Last', ' 2895)']",[' 697.5   '],"[' 72       (Average Length', ' 30.65 Splits', ' 0)']","[' 8698146  (Deleted', ' 8578864)']","[' 60       (Ratio', '   0.00%)']","[' 1257     (Ratio', '   0.01%)']","[' 8698146  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8698146  (Average', '  1.24 Max', ' 1022 Sum', ' 10795979)']","[' 8698065  (Average', '  1.24 Max', ' 1022 Sum', ' 10795540 Ratio', ' 100.00%)']","[' 81       (Average', '  5.42 Max', '  47 Sum', '    439 Ratio', '   0.00%)']", ,[' 48995   '],[' 1717    '],[' 48556   '],[' 27625   '],"[' 82871    (Atom=Atom', ' 26406 Body=Body', ' 14417 Other', ' 42048)']",[' Yes'],"[' 1778     (Eliminated', '    0 Frozen', ' 1778)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.117202'],[' 0'], ,[' 106.978'],[' 0'],[' 2.22307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88305e+07'],[' 9.64028e+06'],[' 0'],[' 1.70713e+10'],[' 0'],[' 0'],[' 626 '],[' 1058 '],[' 1308 '],[' 1712 '],[' 2270 '],[' 2475 '],[' 2766 '],[' 3184 '],[' 3572 '],[' 3936 ']
,swv20,"[' 3296760  (Analyzed', ' 3294997)']","[' 7435     (Average', ' 443.17 Last', ' 21114)']",[' 732.8   '],"[' 93       (Average Length', ' 40.58 Splits', ' 0)']","[' 3294997  (Deleted', ' 3229420)']","[' 88       (Ratio', '   0.00%)']","[' 1094     (Ratio', '   0.03%)']","[' 3294997  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3294997  (Average', '  1.26 Max', ' 1049 Sum', ' 4146582)']","[' 3294897  (Average', '  1.26 Max', ' 1049 Sum', ' 4146052 Ratio', '  99.99%)']","[' 100      (Average', '  5.30 Max', '  58 Sum', '    530 Ratio', '   0.01%)']", ,[' 48303   '],[' 1696    '],[' 47884   '],[' 27539   '],"[' 82613    (Atom=Atom', ' 26341 Body=Body', ' 14396 Other', ' 41876)']",[' Yes'],"[' 1777     (Eliminated', '    0 Frozen', ' 1777)']","[' 48       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.128209'],[' 0'], ,[' 52.1126'],[' 0'],[' 0.915096'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21097e+07'],[' 4.79607e+06'],[' 0'],[' 9.44536e+09'],[' 0'],[' 0'],[' 432 '],[' 841 '],[' 1223 '],[' 1419 '],[' 1690 '],[' 2032 '],[' 2402 '],[' 2673 '],[' 3116 '],[' 3350 ']
