Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1197'],[' 607'],"[' 11.234s (Solving', ' 9.41s 1st Model', ' 0.92s Unsat', ' 2.89s)']",[' 11.078s'], ,[' 1430778 '],"[' 139866   (Analyzed', ' 110341)']","[' 508      (Average', ' 217.21 Last', ' 275)']",[' 1390.1  '],"[' 607      (Average Length', ' 366.54 Splits', ' 0)']","[' 110341   (Deleted', ' 97222)']","[' 28       (Ratio', '   0.03%)']","[' 613      (Ratio', '   0.56%)']","[' 110341   (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 110341   (Average', '  7.89 Max', ' 2273 Sum', ' 870505)']","[' 110080   (Average', '  7.12 Max', ' 1801 Sum', ' 785776 Ratio', '  90.27%)']","[' 261      (Average', ' 324.63 Max', ' 553 Sum', '  84729 Ratio', '   9.73%)']", ,[' 60674   '],[' 2127    '],[' 56390   '],[' 18744   '],"[' 49212    (Atom=Atom', ' 14468 Body=Body', ' 8645 Other', ' 26099)']",[' Yes'],"[' 3268     (Eliminated', '    0 Frozen', ' 3268)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.346099'],[' 0'], ,[' 2.88669'],[' 0'],[' 0.135003'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.76975e+06'],[' 2.13288e+06'],[' 0'],[' 1.88011e+08'],[' 0'],[' 0'],[' 609 '],[' 992 '],[' 1382 '],[' 1743 '],[' 2121 '],[' 2479 '],[' 2836 '],[' 3087 '],[' 0 '],[' 8 ']
Solving...,TA52, , , ,[' 1261'],[' 639'],"[' 22.349s (Solving', ' 20.51s 1st Model', ' 0.85s Unsat', ' 13.89s)']",[' 22.125s'], ,[' 3424036 '],"[' 1401293  (Analyzed', ' 1375602)']","[' 3421     (Average', ' 402.11 Last', ' 861)']",[' 1242.9  '],"[' 639      (Average Length', ' 373.22 Splits', ' 0)']","[' 1375602  (Deleted', ' 1331208)']","[' 35       (Ratio', '   0.00%)']","[' 938      (Ratio', '   0.07%)']","[' 1375602  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1375602  (Average', '  2.13 Max', ' 2081 Sum', ' 2933309)']","[' 1375259  (Average', '  2.05 Max', ' 1738 Sum', ' 2813747 Ratio', '  95.92%)']","[' 343      (Average', ' 348.58 Max', ' 589 Sum', ' 119562 Ratio', '   4.08%)']", ,[' 60515   '],[' 2137    '],[' 56329   '],[' 18669   '],"[' 49422    (Atom=Atom', ' 14540 Body=Body', ' 8675 Other', ' 26207)']",[' Yes'],"[' 3301     (Eliminated', '    0 Frozen', ' 3301)']","[' 101      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.337058'],[' 0'], ,[' 7.09882'],[' 0'],[' 0.282341'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38128e+06'],[' 4.87383e+06'],[' 0'],[' 3.56056e+08'],[' 0'],[' 0'],[' 595 '],[' 921 '],[' 1426 '],[' 1791 '],[' 2177 '],[' 2603 '],[' 2956 '],[' 3152 '],[' 0 '],[' 8 ']
Solving...,TA53, , , ,[' 1095'],[' 556'],"[' 52.006s (Solving', ' 50.28s 1st Model', ' 0.83s Unsat', ' 44.31s)']",[' 52.016s'], ,[' 8135224 '],"[' 4836228  (Analyzed', ' 4819291)']","[' 8438     (Average', ' 571.14 Last', ' 1152)']",[' 1321.5  '],"[' 556      (Average Length', ' 332.73 Splits', ' 0)']","[' 4819291  (Deleted', ' 4742650)']","[' 25       (Ratio', '   0.00%)']","[' 650      (Ratio', '   0.01%)']","[' 4819291  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4819291  (Average', '  1.57 Max', ' 2071 Sum', ' 7578291)']","[' 4818987  (Average', '  1.55 Max', ' 1791 Sum', ' 7487090 Ratio', '  98.80%)']","[' 304      (Average', ' 300.00 Max', ' 491 Sum', '  91201 Ratio', '   1.20%)']", ,[' 60752   '],[' 2137    '],[' 56397   '],[' 18754   '],"[' 49192    (Atom=Atom', ' 14457 Body=Body', ' 8675 Other', ' 26060)']",[' Yes'],"[' 3228     (Eliminated', '    0 Frozen', ' 3228)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.322277'],[' 0'], ,[' 18.6292'],[' 0'],[' 0.647942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03786e+07'],[' 9.41976e+06'],[' 0'],[' 1.0281e+09'],[' 0'],[' 0'],[' 523 '],[' 959 '],[' 1319 '],[' 1623 '],[' 1993 '],[' 2360 '],[' 2692 '],[' 2974 '],[' 0 '],[' 8 ']
Solving...,TA54, , , ,[' 1169'],[' 593'],"[' 9.135s (Solving', ' 7.25s 1st Model', ' 0.93s Unsat', ' 0.14s)']",[' 9.078s'], ,[' 1304248 '],"[' 72826    (Analyzed', ' 14869)']","[' 215      (Average', ' 69.16 Last', ' 203)']",[' 1430.8  '],"[' 593      (Average Length', ' 353.60 Splits', ' 0)']","[' 14869    (Deleted', ' 6132)']","[' 20       (Ratio', '   0.13%)']","[' 287      (Ratio', '   1.93%)']","[' 14869    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14869    (Average', ' 47.18 Max', ' 2141 Sum', ' 701572)']","[' 14598    (Average', ' 41.42 Max', ' 1760 Sum', ' 615904 Ratio', '  87.79%)']","[' 271      (Average', ' 316.12 Max', ' 526 Sum', '  85668 Ratio', '  12.21%)']", ,[' 60354   '],[' 2106    '],[' 56131   '],[' 18522   '],"[' 48853    (Atom=Atom', ' 14370 Body=Body', ' 8582 Other', ' 25901)']",[' Yes'],"[' 3230     (Eliminated', '    0 Frozen', ' 3230)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.380234'],[' 0'], ,[' 0.900184'],[' 0'],[' 0.0670545'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.47364e+06'],[' 2.0235e+06'],[' 0'],[' 2.96692e+07'],[' 0'],[' 0'],[' 656 '],[' 1056 '],[' 1328 '],[' 1695 '],[' 1983 '],[' 2313 '],[' 2632 '],[' 2910 '],[' 0 '],[' 8 ']
Solving...,TA55, , , ,[' 1429'],[' 723'],"[' 10.971s (Solving', ' 8.77s 1st Model', ' 1.23s Unsat', ' 0.58s)']",[' 10.859s'], ,[' 1547691 '],"[' 89245    (Analyzed', ' 62074)']","[' 355      (Average', ' 174.86 Last', ' 910)']",[' 1401.4  '],"[' 723      (Average Length', ' 414.34 Splits', ' 0)']","[' 62074    (Deleted', ' 48444)']","[' 23       (Ratio', '   0.04%)']","[' 547      (Ratio', '   0.88%)']","[' 62074    (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 62074    (Average', ' 14.52 Max', ' 2279 Sum', ' 901397)']","[' 61846    (Average', ' 13.09 Max', ' 1776 Sum', ' 812704 Ratio', '  90.16%)']","[' 228      (Average', ' 389.00 Max', ' 662 Sum', '  88693 Ratio', '   9.84%)']", ,[' 60797   '],[' 2120    '],[' 56568   '],[' 18873   '],"[' 49429    (Atom=Atom', ' 14556 Body=Body', ' 8624 Other', ' 26249)']",[' Yes'],"[' 3350     (Eliminated', '    0 Frozen', ' 3350)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.422156'],[' 0'], ,[' 1.0733'],[' 0'],[' 0.0859305'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.93743e+06'],[' 2.36403e+06'],[' 0'],[' 2.89145e+07'],[' 0'],[' 0'],[' 491 '],[' 882 '],[' 1253 '],[' 1667 '],[' 2057 '],[' 2433 '],[' 2736 '],[' 3025 '],[' 0 '],[' 8 ']
Solving...,TA56, , , ,[' 801'],[' 409'],"[' 81.189s (Solving', ' 79.79s 1st Model', ' 0.67s Unsat', ' 0.80s)']",[' 80.609s'], ,[' 6656218 '],"[' 3760374  (Analyzed', ' 3744567)']","[' 8290     (Average', ' 451.70 Last', ' 1466)']",[' 1231.5  '],"[' 409      (Average Length', ' 266.23 Splits', ' 0)']","[' 3744567  (Deleted', ' 3695425)']","[' 24       (Ratio', '   0.00%)']","[' 756      (Ratio', '   0.02%)']","[' 3744567  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3744567  (Average', '  1.67 Max', ' 1750 Sum', ' 6242646)']","[' 3744256  (Average', '  1.64 Max', ' 1684 Sum', ' 6157495 Ratio', '  98.64%)']","[' 311      (Average', ' 273.80 Max', ' 390 Sum', '  85151 Ratio', '   1.36%)']", ,[' 60076   '],[' 2105    '],[' 55728   '],[' 18299   '],"[' 48251    (Atom=Atom', ' 14182 Body=Body', ' 8579 Other', ' 25490)']",[' Yes'],"[' 3063     (Eliminated', '    0 Frozen', ' 3063)']","[' 80       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.249115'],[' 0'], ,[' 51.7868'],[' 0'],[' 1.12853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78508e+07'],[' 8.68542e+06'],[' 0'],[' 3.12949e+09'],[' 0'],[' 0'],[' 636 '],[' 1009 '],[' 1358 '],[' 1740 '],[' 2259 '],[' 2624 '],[' 2867 '],[' 3141 '],[' 1 '],[' 7 ']
Solving...,TA57, , , ,[' 927'],[' 472'],"[' 29.843s (Solving', ' 28.46s 1st Model', ' 0.60s Unsat', ' 23.66s)']",[' 29.734s'], ,[' 3753083 '],"[' 2007478  (Analyzed', ' 1963411)']","[' 4424     (Average', ' 443.81 Last', ' 35168)']",[' 1207.1  '],"[' 472      (Average Length', ' 298.33 Splits', ' 0)']","[' 1963411  (Deleted', ' 1929185)']","[' 24       (Ratio', '   0.00%)']","[' 689      (Ratio', '   0.04%)']","[' 1963411  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1963411  (Average', '  1.71 Max', ' 2048 Sum', ' 3351174)']","[' 1963084  (Average', '  1.66 Max', ' 1705 Sum', ' 3249487 Ratio', '  96.97%)']","[' 327      (Average', ' 310.97 Max', ' 472 Sum', ' 101687 Ratio', '   3.03%)']", ,[' 60595   '],[' 2133    '],[' 56133   '],[' 18651   '],"[' 48860    (Atom=Atom', ' 14353 Body=Body', ' 8661 Other', ' 25846)']",[' Yes'],"[' 3144     (Eliminated', '    0 Frozen', ' 3144)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.249557'],[' 0'], ,[' 13.0625'],[' 0'],[' 0.395698'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42271e+06'],[' 4.52284e+06'],[' 0'],[' 8.80089e+08'],[' 0'],[' 0'],[' 648 '],[' 1089 '],[' 1439 '],[' 1818 '],[' 2361 '],[' 2704 '],[' 3058 '],[' 3280 '],[' 0 '],[' 8 ']
Solving...,TA58, , , ,[' 1095'],[' 556'],"[' 11.116s (Solving', ' 9.41s 1st Model', ' 0.88s Unsat', ' 3.23s)']",[' 11.000s'], ,[' 1648535 '],"[' 329069   (Analyzed', ' 309820)']","[' 999      (Average', ' 310.13 Last', ' 2885)']",[' 1395.9  '],"[' 556      (Average Length', ' 339.19 Splits', ' 0)']","[' 309820   (Deleted', ' 291193)']","[' 24       (Ratio', '   0.01%)']","[' 685      (Ratio', '   0.22%)']","[' 309820   (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 309820   (Average', '  3.60 Max', ' 2224 Sum', ' 1116015)']","[' 309554   (Average', '  3.37 Max', ' 1811 Sum', ' 1043736 Ratio', '  93.52%)']","[' 266      (Average', ' 271.73 Max', ' 507 Sum', '  72279 Ratio', '   6.48%)']", ,[' 60810   '],[' 2133    '],[' 56406   '],[' 18805   '],"[' 49112    (Atom=Atom', ' 14439 Body=Body', ' 8662 Other', ' 26011)']",[' Yes'],"[' 3215     (Eliminated', '    0 Frozen', ' 3215)']","[' 30       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.339515'],[' 0'], ,[' 2.24408'],[' 0'],[' 0.107876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.5253e+06'],[' 2.40289e+06'],[' 0'],[' 1.09135e+08'],[' 0'],[' 0'],[' 544 '],[' 983 '],[' 1383 '],[' 1776 '],[' 2116 '],[' 2511 '],[' 2842 '],[' 3143 '],[' 0 '],[' 8 ']
Solving...,TA59, , , ,[' 1279'],[' 648'],"[' 9.012s (Solving', ' 7.15s 1st Model', ' 0.94s Unsat', ' 0.25s)']",[' 8.844s'], ,[' 1280630 '],"[' 44624    (Analyzed', ' 22133)']","[' 201      (Average', ' 110.11 Last', ' 123)']",[' 1339.6  '],"[' 648      (Average Length', ' 377.18 Splits', ' 0)']","[' 22133    (Deleted', ' 12190)']","[' 29       (Ratio', '   0.13%)']","[' 430      (Ratio', '   1.94%)']","[' 22133    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22133    (Average', ' 33.72 Max', ' 2116 Sum', ' 746271)']","[' 21835    (Average', ' 28.98 Max', ' 1728 Sum', ' 641422 Ratio', '  85.95%)']","[' 298      (Average', ' 351.84 Max', ' 603 Sum', ' 104849 Ratio', '  14.05%)']", ,[' 60529   '],[' 2088    '],[' 56244   '],[' 18652   '],"[' 48708    (Atom=Atom', ' 14353 Body=Body', ' 8528 Other', ' 25827)']",[' Yes'],"[' 3249     (Eliminated', '    0 Frozen', ' 3249)']","[' 26       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.366786'],[' 0'], ,[' 0.791727'],[' 0'],[' 0.0642797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46093e+06'],[' 2.01268e+06'],[' 0'],[' 1.97465e+07'],[' 0'],[' 0'],[' 516 '],[' 825 '],[' 1216 '],[' 1527 '],[' 1954 '],[' 2339 '],[' 2720 '],[' 3002 '],[' 0 '],[' 8 ']
Solving...,TA60, , , ,[' 1529'],[' 773'],"[' 10.994s (Solving', ' 8.90s 1st Model', ' 1.22s Unsat', ' 0.93s)']",[' 11.109s'], ,[' 1706641 '],"[' 130319   (Analyzed', ' 97530)']","[' 498      (Average', ' 195.84 Last', ' 1415)']",[' 1388.0  '],"[' 773      (Average Length', ' 435.13 Splits', ' 0)']","[' 97530    (Deleted', ' 82229)']","[' 20       (Ratio', '   0.02%)']","[' 728      (Ratio', '   0.75%)']","[' 97530    (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 97530    (Average', ' 10.65 Max', ' 2221 Sum', ' 1039049)']","[' 97320    (Average', '  9.65 Max', ' 1832 Sum', ' 940888 Ratio', '  90.55%)']","[' 210      (Average', ' 467.43 Max', ' 693 Sum', '  98161 Ratio', '   9.45%)']", ,[' 61187   '],[' 2129    '],[' 56918   '],[' 19083   '],"[' 49701    (Atom=Atom', ' 14642 Body=Body', ' 8651 Other', ' 26408)']",[' Yes'],"[' 3406     (Eliminated', '    0 Frozen', ' 3406)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.403559'],[' 0'], ,[' 1.25649'],[' 0'],[' 0.0877315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.32051e+06'],[' 2.58965e+06'],[' 0'],[' 4.15117e+07'],[' 0'],[' 0'],[' 535 '],[' 938 '],[' 1271 '],[' 1660 '],[' 2064 '],[' 2443 '],[' 2780 '],[' 3015 '],[' 0 '],[' 8 ']
