Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 2123'],[' 1068'],"[' 799.468s (Solving', ' 793.41s 1st Model', ' 4.19s Unsat', ' 122.97s)']",[' 798.000s'], ,[' 46837380'],"[' 23654607 (Analyzed', ' 23550444)']","[' 44351    (Average', ' 531.00 Last', ' 182970)']",[' 2578.2  '],"[' 1068     (Average Length', ' 512.57 Splits', ' 0)']","[' 23550444 (Deleted', ' 23236387)']","[' 37       (Ratio', '   0.00%)']","[' 3552     (Ratio', '   0.02%)']","[' 23550444 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23550444 (Average', '  1.87 Max', ' 3205 Sum', ' 43962686)']","[' 23549944 (Average', '  1.86 Max', ' 3205 Sum', ' 43769622 Ratio', '  99.56%)']","[' 500      (Average', ' 386.13 Max', ' 753 Sum', ' 193064 Ratio', '   0.44%)']", ,[' 102743  '],[' 5047    '],[' 102757  '],[' 57969   '],"[' 173903   (Atom=Atom', ' 53920 Body=Body', ' 30497 Other', ' 89486)']",[' Yes'],"[' 6061     (Eliminated', '    0 Frozen', ' 6061)']","[' 618      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48257'],[' 0'], ,[' 656.853'],[' 0'],[' 11.2333'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33317e+08'],[' 7.82278e+07'],[' 0'],[' 8.67089e+10'],[' 0'],[' 0'],[' 832 '],[' 1389 '],[' 2128 '],[' 2701 '],[' 3273 '],[' 3893 '],[' 4 '],[' 2 ']
Solving...,TA62, , ,[' 1'],[' 2165+'],[' 1089'],"[' 1001.283s (Solving', ' 995.17s 1st Model', ' 3.86s Unsat', ' 0.00s)']",[' 998.969s'], ,[' 49066303'],"[' 25076071 (Analyzed', ' 24954707)']","[' 47313    (Average', ' 527.44 Last', ' 7271)']",[' 2590.5  '],"[' 1089     (Average Length', ' 517.76 Splits', ' 0)']","[' 24954707 (Deleted', ' 24617597)']","[' 10       (Ratio', '   0.00%)']","[' 3862     (Ratio', '   0.02%)']","[' 24954707 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24954707 (Average', '  1.85 Max', ' 3355 Sum', ' 46143899)']","[' 24954226 (Average', '  1.84 Max', ' 3355 Sum', ' 45944826 Ratio', '  99.57%)']","[' 481      (Average', ' 413.87 Max', ' 825 Sum', ' 199073 Ratio', '   0.43%)']", ,[' 103698  '],[' 5170    '],[' 103724  '],[' 58739   '],"[' 176213   (Atom=Atom', ' 54567 Body=Body', ' 30620 Other', ' 91026)']",[' Yes'],"[' 6196     (Eliminated', '    0 Frozen', ' 6196)']","[' 578      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44989'],[' 0'], ,[' 843.934'],[' 0'],[' 13.3645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45987e+08'],[' 8.62274e+07'],[' 0'],[' 1.18289e+11'],[' 0'],[' 0'],[' 835 '],[' 1440 '],[' 2062 '],[' 2779 '],[' 3444 '],[' 4127 '],[' 6 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 2281+'],[' 1147'],"[' 837.572s (Solving', ' 831.60s 1st Model', ' 5.18s Unsat', ' 0.20s)']",[' 836.313s'], ,[' 47398566'],"[' 21970441 (Analyzed', ' 21851108)']","[' 39613    (Average', ' 551.61 Last', ' 21124)']",[' 2631.2  '],"[' 1147     (Average Length', ' 536.62 Splits', ' 0)']","[' 21851108 (Deleted', ' 21565095)']","[' 28       (Ratio', '   0.00%)']","[' 3690     (Ratio', '   0.02%)']","[' 21851108 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21851108 (Average', '  2.03 Max', ' 3398 Sum', ' 44371156)']","[' 21850758 (Average', '  2.02 Max', ' 3398 Sum', ' 44235777 Ratio', '  99.69%)']","[' 350      (Average', ' 386.80 Max', ' 855 Sum', ' 135379 Ratio', '   0.31%)']", ,[' 102836  '],[' 5106    '],[' 102898  '],[' 58729   '],"[' 176183   (Atom=Atom', ' 54621 Body=Body', ' 30556 Other', ' 91006)']",[' Yes'],"[' 6168     (Eliminated', '    0 Frozen', ' 6168)']","[' 636      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5266'],[' 0'], ,[' 697.478'],[' 0'],[' 11.3929'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39426e+08'],[' 8.72749e+07'],[' 0'],[' 9.68937e+10'],[' 0'],[' 0'],[' 863 '],[' 1413 '],[' 1903 '],[' 2449 '],[' 3274 '],[' 3990 '],[' 5 '],[' 1 ']
Solving...,TA64, , ,[' 1'],[' 2165+'],[' 1089'],"[' 902.136s (Solving', ' 896.49s 1st Model', ' 3.58s Unsat', ' 65.94s)']",[' 900.484s'], ,[' 44093099'],"[' 21916697 (Analyzed', ' 21796808)']","[' 40664    (Average', ' 536.02 Last', ' 78463)']",[' 2585.5  '],"[' 1089     (Average Length', ' 516.90 Splits', ' 0)']","[' 21796808 (Deleted', ' 21514937)']","[' 19       (Ratio', '   0.00%)']","[' 3619     (Ratio', '   0.02%)']","[' 21796808 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21796808 (Average', '  1.89 Max', ' 3251 Sum', ' 41201283)']","[' 21796374 (Average', '  1.88 Max', ' 3251 Sum', ' 40999227 Ratio', '  99.51%)']","[' 434      (Average', ' 465.57 Max', ' 819 Sum', ' 202056 Ratio', '   0.49%)']", ,[' 102911  '],[' 5041    '],[' 102919  '],[' 58038   '],"[' 174110   (Atom=Atom', ' 53995 Body=Body', ' 30491 Other', ' 89624)']",[' Yes'],"[' 6049     (Eliminated', '    0 Frozen', ' 6049)']","[' 598      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46673'],[' 0'], ,[' 765.558'],[' 0'],[' 12.3381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31723e+08'],[' 7.61942e+07'],[' 0'],[' 1.07126e+11'],[' 0'],[' 0'],[' 874 '],[' 1473 '],[' 2135 '],[' 2709 '],[' 3473 '],[' 4040 '],[' 5 '],[' 1 ']
Solving...,TA65, , , ,[' 2013'],[' 1013'],"[' 698.888s (Solving', ' 693.23s 1st Model', ' 4.15s Unsat', ' 24.41s)']",[' 698.375s'], ,[' 29402157'],"[' 12647591 (Analyzed', ' 12544918)']","[' 24257    (Average', ' 517.17 Last', ' 475678)']",[' 2477.2  '],"[' 1013     (Average Length', ' 482.55 Splits', ' 0)']","[' 12544918 (Deleted', ' 12341092)']","[' 23       (Ratio', '   0.00%)']","[' 3368     (Ratio', '   0.03%)']","[' 12544918 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12544918 (Average', '  2.16 Max', ' 3259 Sum', ' 27097606)']","[' 12544450 (Average', '  2.14 Max', ' 3259 Sum', ' 26893472 Ratio', '  99.25%)']","[' 468      (Average', ' 436.18 Max', ' 747 Sum', ' 204134 Ratio', '   0.75%)']", ,[' 102954  '],[' 5115    '],[' 102914  '],[' 57910   '],"[' 173726   (Atom=Atom', ' 53793 Body=Body', ' 30565 Other', ' 89368)']",[' Yes'],"[' 6075     (Eliminated', '    0 Frozen', ' 6075)']","[' 604      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.36173'],[' 0'], ,[' 612.949'],[' 0'],[' 9.7459'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.26527e+07'],[' 6.22099e+07'],[' 0'],[' 8.68171e+10'],[' 0'],[' 0'],[' 610 '],[' 1206 '],[' 1937 '],[' 2675 '],[' 3293 '],[' 3907 '],[' 4 '],[' 2 ']
Solving...,TA66, , ,[' 1'],[' 2219+'],[' 1116'],"[' 815.778s (Solving', ' 809.22s 1st Model', ' 8.59s Unsat', ' 143.16s)']",[' 812.766s'], ,[' 33578311'],"[' 16444202 (Analyzed', ' 16323675)']","[' 33644    (Average', ' 485.19 Last', ' 382439)']",[' 2502.9  '],"[' 1116     (Average Length', ' 531.79 Splits', ' 0)']","[' 16323675 (Deleted', ' 16067873)']","[' 33       (Ratio', '   0.00%)']","[' 3758     (Ratio', '   0.02%)']","[' 16323675 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16323675 (Average', '  1.90 Max', ' 3244 Sum', ' 31072355)']","[' 16323161 (Average', '  1.89 Max', ' 3244 Sum', ' 30788278 Ratio', '  99.09%)']","[' 514      (Average', ' 552.68 Max', ' 885 Sum', ' 284077 Ratio', '   0.91%)']", ,[' 103999  '],[' 5116    '],[' 104044  '],[' 58958   '],"[' 176870   (Atom=Atom', ' 54840 Body=Body', ' 30566 Other', ' 91464)']",[' Yes'],"[' 6161     (Eliminated', '    0 Frozen', ' 6161)']","[' 676      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58074'],[' 0'], ,[' 687.602'],[' 0'],[' 10.2928'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05919e+08'],[' 6.59674e+07'],[' 0'],[' 8.35797e+10'],[' 0'],[' 0'],[' 675 '],[' 1290 '],[' 2005 '],[' 2766 '],[' 3343 '],[' 4206 '],[' 4 '],[' 2 ']
Solving...,TA67, , ,[' 1'],[' 1945+'],[' 979'],"[' 1001.263s (Solving', ' 994.95s 1st Model', ' 3.96s Unsat', ' 0.00s)']",[' 998.969s'], ,[' 46515043'],"[' 20659575 (Analyzed', ' 20581224)']","[' 38436    (Average', ' 535.47 Last', ' 533354)']",[' 2437.5  '],"[' 979      (Average Length', ' 473.44 Splits', ' 0)']","[' 20581224 (Deleted', ' 20342540)']","[' 16       (Ratio', '   0.00%)']","[' 4457     (Ratio', '   0.02%)']","[' 20581224 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20581224 (Average', '  2.14 Max', ' 3170 Sum', ' 44003958)']","[' 20580652 (Average', '  2.13 Max', ' 3170 Sum', ' 43792220 Ratio', '  99.52%)']","[' 572      (Average', ' 370.17 Max', ' 772 Sum', ' 211738 Ratio', '   0.48%)']", ,[' 102646  '],[' 5141    '],[' 102575  '],[' 57782   '],"[' 173342   (Atom=Atom', ' 53639 Body=Body', ' 30591 Other', ' 89112)']",[' Yes'],"[' 6070     (Eliminated', '    0 Frozen', ' 6070)']","[' 838      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52309'],[' 0'], ,[' 833.215'],[' 0'],[' 13.2618'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35401e+08'],[' 8.02702e+07'],[' 0'],[' 9.95237e+10'],[' 0'],[' 0'],[' 904 '],[' 1754 '],[' 2411 '],[' 3203 '],[' 3796 '],[' 4500 '],[' 6 '],[' 0 ']
Solving...,TA68, , , ,[' 1991'],[' 1002'],"[' 515.879s (Solving', ' 509.47s 1st Model', ' 5.09s Unsat', ' 4.10s)']",[' 514.438s'], ,[' 20943481'],"[' 7889560  (Analyzed', ' 7801422)']","[' 15780    (Average', ' 494.39 Last', ' 122274)']",[' 2600.1  '],"[' 1002     (Average Length', ' 475.77 Splits', ' 0)']","[' 7801422  (Deleted', ' 7689339)']","[' 46       (Ratio', '   0.00%)']","[' 2753     (Ratio', '   0.04%)']","[' 7801422  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7801422  (Average', '  2.39 Max', ' 3330 Sum', ' 18614631)']","[' 7801016  (Average', '  2.37 Max', ' 3330 Sum', ' 18453284 Ratio', '  99.13%)']","[' 406      (Average', ' 397.41 Max', ' 725 Sum', ' 161347 Ratio', '   0.87%)']", ,[' 102735  '],[' 5073    '],[' 102672  '],[' 58293   '],"[' 174875   (Atom=Atom', ' 54218 Body=Body', ' 30523 Other', ' 90134)']",[' Yes'],"[' 6010     (Eliminated', '    0 Frozen', ' 6010)']","[' 423      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5542'],[' 0'], ,[' 444.12'],[' 0'],[' 6.75676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.63885e+07'],[' 4.62478e+07'],[' 0'],[' 5.74403e+10'],[' 0'],[' 0'],[' 592 '],[' 1496 '],[' 2032 '],[' 2683 '],[' 3366 '],[' 3955 '],[' 3 '],[' 3 ']
Solving...,TA69, , ,[' 1'],[' 2025+'],[' 1019'],"[' 1001.505s (Solving', ' 994.83s 1st Model', ' 4.44s Unsat', ' 0.00s)']",[' 998.016s'], ,[' 50456808'],"[' 27395968 (Analyzed', ' 27283576)']","[' 52283    (Average', ' 521.84 Last', ' 49699)']",[' 2503.0  '],"[' 1019     (Average Length', ' 489.19 Splits', ' 0)']","[' 27283576 (Deleted', ' 26891841)']","[' 17       (Ratio', '   0.00%)']","[' 3854     (Ratio', '   0.01%)']","[' 27283576 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27283576 (Average', '  1.75 Max', ' 3237 Sum', ' 47669338)']","[' 27283162 (Average', '  1.74 Max', ' 3237 Sum', ' 47481768 Ratio', '  99.61%)']","[' 414      (Average', ' 453.07 Max', ' 767 Sum', ' 187570 Ratio', '   0.39%)']", ,[' 103037  '],[' 5067    '],[' 103007  '],[' 58078   '],"[' 174230   (Atom=Atom', ' 54009 Body=Body', ' 30517 Other', ' 89704)']",[' Yes'],"[' 6037     (Eliminated', '    0 Frozen', ' 6037)']","[' 700      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.56749'],[' 0'], ,[' 798.36'],[' 0'],[' 13.035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4823e+08'],[' 8.07583e+07'],[' 0'],[' 9.37021e+10'],[' 0'],[' 0'],[' 789 '],[' 1430 '],[' 2200 '],[' 3045 '],[' 3530 '],[' 4285 '],[' 6 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 2071+'],[' 1042'],"[' 1001.490s (Solving', ' 994.44s 1st Model', ' 9.21s Unsat', ' 0.00s)']",[' 997.219s'], ,[' 41985987'],"[' 21177526 (Analyzed', ' 21092249)']","[' 40206    (Average', ' 524.60 Last', ' 105069)']",[' 2468.6  '],"[' 1042     (Average Length', ' 501.14 Splits', ' 0)']","[' 21092249 (Deleted', ' 20794679)']","[' 11       (Ratio', '   0.00%)']","[' 3736     (Ratio', '   0.02%)']","[' 21092249 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21092249 (Average', '  1.87 Max', ' 3276 Sum', ' 39352237)']","[' 21091762 (Average', '  1.86 Max', ' 3276 Sum', ' 39178250 Ratio', '  99.56%)']","[' 487      (Average', ' 357.26 Max', ' 792 Sum', ' 173987 Ratio', '   0.44%)']", ,[' 102871  '],[' 5107    '],[' 102859  '],[' 57273   '],"[' 171815   (Atom=Atom', ' 53164 Body=Body', ' 30557 Other', ' 88094)']",[' Yes'],"[' 6095     (Eliminated', '    0 Frozen', ' 6095)']","[' 600      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68778'],[' 0'], ,[' 825.542'],[' 0'],[' 12.9908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26008e+08'],[' 7.58255e+07'],[' 0'],[' 9.20264e+10'],[' 0'],[' 0'],[' 660 '],[' 1352 '],[' 2207 '],[' 2853 '],[' 3569 '],[' 4262 '],[' 6 '],[' 0 ']
