Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Total Completion Time
,TA61,[' 6753+'],[' 3379'],"[' 1806.526s (Solving', ' 1775.89s 1st Model', ' 1482.31s Unsat', ' 0.00s)']",[' 1800.969s'], ,[' 785840666'],"[' 7174226  (Analyzed', ' 4277009)']","[' 13892    (Average', ' 307.88 Last', ' 797356)']",[' 8627.7  '],"[' 3379     (Average Length', ' 1647.91 Splits', ' 0)']","[' 4277009  (Deleted', ' 4186225)']","[' 556      (Ratio', '   0.01%)']","[' 74987    (Ratio', '   1.75%)']","[' 4277009  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4277009  (Average', ' 177.55 Max', ' 9401 Sum', ' 759378220)']","[' 4276415  (Average', ' 177.31 Max', ' 7672 Sum', ' 758351194 Ratio', '  99.86%)']","[' 594      (Average', ' 1729.00 Max', ' 1729 Sum', ' 1027026 Ratio', '   0.14%)']", ,[' 126835  '],[' 13156   '],[' 129019  '],[' 78451   '],"[' 235349   (Atom=Atom', ' 66293 Body=Body', ' 38606 Other', ' 130450)']",[' Yes'],"[' 16340    (Eliminated', '    0 Frozen', ' 16340)']","[' 7844     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.27532'],[' 0'], ,[' 758.513'],[' 0'],[' 51.6139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.94473e+09'],[' 2.64838e+09'],[' 0'],[' 4.05399e+10'],[' 0'],[' 0'],[' 3536']
,TA62,[' 6933+'],[' 3469'],"[' 1804.784s (Solving', ' 1777.90s 1st Model', ' 1562.23s Unsat', ' 0.00s)']",[' 1801.063s'], ,[' 850855362'],"[' 6302795  (Analyzed', ' 3938181)']","[' 13027    (Average', ' 302.31 Last', ' 462491)']",[' 8449.2  '],"[' 3469     (Average Length', ' 1695.40 Splits', ' 0)']","[' 3938181  (Deleted', ' 3844903)']","[' 528      (Ratio', '   0.01%)']","[' 82817    (Ratio', '   2.10%)']","[' 3938181  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3938181  (Average', ' 209.58 Max', ' 9919 Sum', ' 825352646)']","[' 3937556  (Average', ' 209.26 Max', ' 8867 Sum', ' 824086396 Ratio', '  99.85%)']","[' 625      (Average', ' 2026.00 Max', ' 2026 Sum', ' 1266250 Ratio', '   0.15%)']", ,[' 127369  '],[' 13304   '],[' 129597  '],[' 79133   '],"[' 237395   (Atom=Atom', ' 66827 Body=Body', ' 38754 Other', ' 131814)']",[' Yes'],"[' 16532    (Eliminated', '    0 Frozen', ' 16532)']","[' 9115     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.55638'],[' 0'], ,[' 710.597'],[' 0'],[' 51.7679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62532e+09'],[' 3.30302e+09'],[' 0'],[' 3.81344e+10'],[' 0'],[' 0'],[' 3563']
,TA63,[' 6735+'],[' 3370'],"[' 1804.541s (Solving', ' 1778.11s 1st Model', ' 1522.55s Unsat', ' 0.00s)']",[' 1801.641s'], ,[' 842268637'],"[' 6923395  (Analyzed', ' 4382494)']","[' 13346    (Average', ' 328.38 Last', ' 408820)']",[' 8445.9  '],"[' 3370     (Average Length', ' 1647.45 Splits', ' 0)']","[' 4382494  (Deleted', ' 4291689)']","[' 563      (Ratio', '   0.01%)']","[' 75399    (Ratio', '   1.72%)']","[' 4382494  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4382494  (Average', ' 186.44 Max', ' 9803 Sum', ' 817092838)']","[' 4381855  (Average', ' 186.17 Max', ' 7939 Sum', ' 815901742 Ratio', '  99.85%)']","[' 639      (Average', ' 1864.00 Max', ' 1864 Sum', ' 1191096 Ratio', '   0.15%)']", ,[' 126646  '],[' 13096   '],[' 128779  '],[' 78202   '],"[' 234602   (Atom=Atom', ' 66104 Body=Body', ' 38546 Other', ' 129952)']",[' Yes'],"[' 16229    (Eliminated', '    0 Frozen', ' 16229)']","[' 8492     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.53587'],[' 0'], ,[' 752.604'],[' 0'],[' 52.0737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.46309e+09'],[' 3.13065e+09'],[' 0'],[' 4.26427e+10'],[' 0'],[' 0'],[' 3276']
,TA64,[' 6719+'],[' 3362'],"[' 1805.045s (Solving', ' 1776.29s 1st Model', ' 1587.63s Unsat', ' 0.00s)']",[' 1801.375s'], ,[' 852262611'],"[' 7918934  (Analyzed', ' 4424466)']","[' 14176    (Average', ' 312.11 Last', ' 369862)']",[' 8650.9  '],"[' 3362     (Average Length', ' 1640.09 Splits', ' 0)']","[' 4424466  (Deleted', ' 4333392)']","[' 590      (Ratio', '   0.01%)']","[' 78405    (Ratio', '   1.77%)']","[' 4424466  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4424466  (Average', ' 186.51 Max', ' 8918 Sum', ' 825222063)']","[' 4423852  (Average', ' 186.32 Max', ' 7596 Sum', ' 824350797 Ratio', '  99.89%)']","[' 614      (Average', ' 1419.00 Max', ' 1419 Sum', ' 871266 Ratio', '   0.11%)']", ,[' 126932  '],[' 13194   '],[' 129107  '],[' 78586   '],"[' 235754   (Atom=Atom', ' 66390 Body=Body', ' 38644 Other', ' 130720)']",[' Yes'],"[' 16369    (Eliminated', '    0 Frozen', ' 16369)']","[' 8845     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.09009'],[' 0'], ,[' 749.071'],[' 0'],[' 51.7517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47747e+09'],[' 3.14872e+09'],[' 0'],[' 4.2341e+10'],[' 0'],[' 0'],[' 3299']
,TA65,[' 7329+'],[' 3667'],"[' 1805.146s (Solving', ' 1775.43s 1st Model', ' 1547.76s Unsat', ' 0.00s)']",[' 1802.422s'], ,[' 841226368'],"[' 6590906  (Analyzed', ' 4040176)']","[' 13319    (Average', ' 303.34 Last', ' 610630)']",[' 8655.4  '],"[' 3667     (Average Length', ' 1793.20 Splits', ' 0)']","[' 4040176  (Deleted', ' 3945359)']","[' 568      (Ratio', '   0.01%)']","[' 83394    (Ratio', '   2.06%)']","[' 4040176  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4040176  (Average', ' 201.39 Max', ' 9706 Sum', ' 813668984)']","[' 4039596  (Average', ' 201.13 Max', ' 8702 Sum', ' 812587284 Ratio', '  99.87%)']","[' 580      (Average', ' 1865.00 Max', ' 1865 Sum', ' 1081700 Ratio', '   0.13%)']", ,[' 127375  '],[' 13240   '],[' 129799  '],[' 79075   '],"[' 237221   (Atom=Atom', ' 66833 Body=Body', ' 38690 Other', ' 131698)']",[' Yes'],"[' 16664    (Eliminated', '    0 Frozen', ' 16664)']","[' 9351     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.26777'],[' 0'], ,[' 723.859'],[' 0'],[' 51.6061'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.59617e+09'],[' 3.28095e+09'],[' 0'],[' 3.95015e+10'],[' 0'],[' 0'],[' 3371']
,TA66,[' 6849+'],[' 3427'],"[' 1805.528s (Solving', ' 1777.27s 1st Model', ' 1434.12s Unsat', ' 0.00s)']",[' 1802.719s'], ,[' 840337550'],"[' 6675812  (Analyzed', ' 4066290)']","[' 12983    (Average', ' 313.20 Last', ' 202656)']",[' 8517.6  '],"[' 3427     (Average Length', ' 1678.81 Splits', ' 0)']","[' 4066290  (Deleted', ' 3969242)']","[' 554      (Ratio', '   0.01%)']","[' 83656    (Ratio', '   2.06%)']","[' 4066290  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4066290  (Average', ' 200.30 Max', ' 9227 Sum', ' 814484644)']","[' 4065712  (Average', ' 200.05 Max', ' 7687 Sum', ' 813461006 Ratio', '  99.87%)']","[' 578      (Average', ' 1771.00 Max', ' 1771 Sum', ' 1023638 Ratio', '   0.13%)']", ,[' 127345  '],[' 13310   '],[' 129567  '],[' 79115   '],"[' 237341   (Atom=Atom', ' 66803 Body=Body', ' 38760 Other', ' 131778)']",[' Yes'],"[' 16532    (Eliminated', '    0 Frozen', ' 16532)']","[' 9352     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.77746'],[' 0'], ,[' 725.501'],[' 0'],[' 51.0956'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.5819e+09'],[' 3.26448e+09'],[' 0'],[' 4.0027e+10'],[' 0'],[' 0'],[' 3485']
,TA67,[' 7021+'],[' 3513'],"[' 1805.049s (Solving', ' 1776.74s 1st Model', ' 1636.64s Unsat', ' 0.00s)']",[' 1802.219s'], ,[' 847999896'],"[' 6929369  (Analyzed', ' 4240444)']","[' 14019    (Average', ' 302.48 Last', ' 729111)']",[' 8586.7  '],"[' 3513     (Average Length', ' 1722.93 Splits', ' 0)']","[' 4240444  (Deleted', ' 4147866)']","[' 617      (Ratio', '   0.01%)']","[' 80238    (Ratio', '   1.89%)']","[' 4240444  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4240444  (Average', ' 193.69 Max', ' 9654 Sum', ' 821332686)']","[' 4239818  (Average', ' 193.43 Max', ' 7904 Sum', ' 820237186 Ratio', '  99.87%)']","[' 626      (Average', ' 1750.00 Max', ' 1750 Sum', ' 1095500 Ratio', '   0.13%)']", ,[' 126975  '],[' 13158   '],[' 129285  '],[' 78593   '],"[' 235775   (Atom=Atom', ' 66433 Body=Body', ' 38608 Other', ' 130734)']",[' Yes'],"[' 16468    (Eliminated', '    0 Frozen', ' 16468)']","[' 9004     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.99688'],[' 0'], ,[' 737.409'],[' 0'],[' 51.1377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47939e+09'],[' 3.15632e+09'],[' 0'],[' 4.12967e+10'],[' 0'],[' 0'],[' 3504']
,TA68,[' 5803+'],[' 2904'],"[' 1803.850s (Solving', ' 1780.43s 1st Model', ' 1482.02s Unsat', ' 0.00s)']",[' 1800.531s'], ,[' 842934313'],"[' 6649126  (Analyzed', ' 4175853)']","[' 12948    (Average', ' 322.51 Last', ' 337761)']",[' 8261.6  '],"[' 2904     (Average Length', ' 1426.70 Splits', ' 0)']","[' 4175853  (Deleted', ' 4080199)']","[' 587      (Ratio', '   0.01%)']","[' 80436    (Ratio', '   1.93%)']","[' 4175853  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4175853  (Average', ' 196.53 Max', ' 9183 Sum', ' 820677043)']","[' 4175286  (Average', ' 196.33 Max', ' 7729 Sum', ' 819852625 Ratio', '  99.90%)']","[' 567      (Average', ' 1454.00 Max', ' 1454 Sum', ' 824418 Ratio', '   0.10%)']", ,[' 126564  '],[' 13224   '],[' 128355  '],[' 78248   '],"[' 234740   (Atom=Atom', ' 66022 Body=Body', ' 38674 Other', ' 130044)']",[' Yes'],"[' 16015    (Eliminated', '    0 Frozen', ' 16015)']","[' 8581     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.99446'],[' 0'], ,[' 735.041'],[' 0'],[' 51.7713'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52858e+09'],[' 3.20956e+09'],[' 0'],[' 4.18995e+10'],[' 0'],[' 0'],[' 3438']
,TA69,[' 6429+'],[' 3217'],"[' 1805.073s (Solving', ' 1777.71s 1st Model', ' 949.90s Unsat', ' 0.00s)']",[' 1800.938s'], ,[' 839416311'],"[' 7045658  (Analyzed', ' 4807911)']","[' 12699    (Average', ' 378.61 Last', ' 440329)']",[' 8559.0  '],"[' 3217     (Average Length', ' 1571.89 Splits', ' 0)']","[' 4807911  (Deleted', ' 4701738)']","[' 682      (Ratio', '   0.01%)']","[' 86578    (Ratio', '   1.80%)']","[' 4807911  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4807911  (Average', ' 169.46 Max', ' 9214 Sum', ' 814729852)']","[' 4807299  (Average', ' 169.27 Max', ' 8282 Sum', ' 813853468 Ratio', '  99.89%)']","[' 612      (Average', ' 1432.00 Max', ' 1432 Sum', ' 876384 Ratio', '   0.11%)']", ,[' 127051  '],[' 13282   '],[' 129079  '],[' 78793   '],"[' 236375   (Atom=Atom', ' 66509 Body=Body', ' 38732 Other', ' 131134)']",[' Yes'],"[' 16310    (Eliminated', '    0 Frozen', ' 16310)']","[' 9948     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.80585'],[' 0'], ,[' 746.299'],[' 0'],[' 51.1573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47167e+09'],[' 3.16541e+09'],[' 0'],[' 4.14421e+10'],[' 0'],[' 0'],[' 3732']
,TA70,[' 6701+'],[' 3353'],"[' 1805.499s (Solving', ' 1777.86s 1st Model', ' 924.71s Unsat', ' 0.00s)']",[' 1801.297s'], ,[' 823438208'],"[' 7241882  (Analyzed', ' 4943810)']","[' 12243    (Average', ' 403.81 Last', ' 866381)']",[' 8494.9  '],"[' 3353     (Average Length', ' 1644.90 Splits', ' 0)']","[' 4943810  (Deleted', ' 4834836)']","[' 691      (Ratio', '   0.01%)']","[' 87415    (Ratio', '   1.77%)']","[' 4943810  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4943810  (Average', ' 161.53 Max', ' 9147 Sum', ' 798551199)']","[' 4943221  (Average', ' 161.31 Max', ' 7946 Sum', ' 797504546 Ratio', '  99.87%)']","[' 589      (Average', ' 1777.00 Max', ' 1777 Sum', ' 1046653 Ratio', '   0.13%)']", ,[' 127361  '],[' 13340   '],[' 129522  '],[' 79161   '],"[' 237479   (Atom=Atom', ' 66819 Body=Body', ' 38790 Other', ' 131870)']",[' Yes'],"[' 16501    (Eliminated', '    0 Frozen', ' 16501)']","[' 9559     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.71849'],[' 0'], ,[' 753.886'],[' 0'],[' 50.3191'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38709e+09'],[' 3.07963e+09'],[' 0'],[' 4.2631e+10'],[' 0'],[' 0'],[' 3807']
