Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 1987+'],[' 1000'],"[' 610.327s (Solving', ' 605.88s 1st Model', ' 3.07s Unsat', ' 98.53s)']",[' 609.594s'], ,[' 47607481'],"[' 23015977 (Analyzed', ' 22957217)']","[' 42036    (Average', ' 546.13 Last', ' 61675)']",[' 2375.3  '],"[' 1000     (Average Length', ' 580.79 Splits', ' 0)']","[' 22957217 (Deleted', ' 22633349)']","[' 31       (Ratio', '   0.00%)']","[' 3466     (Ratio', '   0.02%)']","[' 22957217 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22957217 (Average', '  1.98 Max', ' 3516 Sum', ' 45507894)']","[' 22956537 (Average', '  1.97 Max', ' 2968 Sum', ' 45111863 Ratio', '  99.13%)']","[' 680      (Average', ' 582.40 Max', ' 814 Sum', ' 396031 Ratio', '   0.87%)']", ,[' 90332   '],[' 3981    '],[' 83219   '],[' 31282   '],"[' 83879    (Atom=Atom', ' 23780 Body=Body', ' 14882 Other', ' 45217)']",[' Yes'],"[' 5572     (Eliminated', '    0 Frozen', ' 5572)']","[' 539      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.899557'],[' 0'], ,[' 433.771'],[' 0'],[' 11.2686'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22535e+08'],[' 6.41888e+07'],[' 0'],[' 2.89542e+10'],[' 0'],[' 0'],[' 741 '],[' 1619 '],[' 2053 '],[' 2623 '],[' 3059 '],[' 3608 '],[' 3 '],[' 3 ']
Solving...,TA62, , , , ,[' 1'],[' 2453+'],[' 1233'],"[' 903.318s (Solving', ' 898.07s 1st Model', ' 3.68s Unsat', ' 64.56s)']",[' 902.453s'], ,[' 68243753'],"[' 36663286 (Analyzed', ' 36580124)']","[' 67106    (Average', ' 545.11 Last', ' 58755)']",[' 2539.9  '],"[' 1233     (Average Length', ' 669.30 Splits', ' 0)']","[' 36580124 (Deleted', ' 36175314)']","[' 14       (Ratio', '   0.00%)']","[' 3874     (Ratio', '   0.01%)']","[' 36580124 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36580124 (Average', '  1.79 Max', ' 3648 Sum', ' 65315836)']","[' 36579540 (Average', '  1.77 Max', ' 3164 Sum', ' 64880889 Ratio', '  99.33%)']","[' 584      (Average', ' 744.77 Max', ' 919 Sum', ' 434947 Ratio', '   0.67%)']", ,[' 91732   '],[' 4089    '],[' 84620   '],[' 32237   '],"[' 86247    (Atom=Atom', ' 24445 Body=Body', ' 15206 Other', ' 46596)']",[' Yes'],"[' 5866     (Eliminated', '    0 Frozen', ' 5866)']","[' 686      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11289'],[' 0'], ,[' 631.347'],[' 0'],[' 15.8034'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78328e+08'],[' 8.73997e+07'],[' 0'],[' 4.19998e+10'],[' 0'],[' 0'],[' 771 '],[' 1590 '],[' 1855 '],[' 2711 '],[' 3041 '],[' 3495 '],[' 5 '],[' 1 ']
Solving...,TA63, , , , ,[' 1'],[' 1909+'],[' 961'],"[' 850.917s (Solving', ' 846.50s 1st Model', ' 2.87s Unsat', ' 10.96s)']",[' 849.984s'], ,[' 69525876'],"[' 37623162 (Analyzed', ' 37557192)']","[' 69417    (Average', ' 541.04 Last', ' 21288)']",[' 2444.4  '],"[' 961      (Average Length', ' 553.35 Splits', ' 0)']","[' 37557192 (Deleted', ' 37147721)']","[' 14       (Ratio', '   0.00%)']","[' 3305     (Ratio', '   0.01%)']","[' 37557192 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37557192 (Average', '  1.78 Max', ' 3374 Sum', ' 66937143)']","[' 37556545 (Average', '  1.77 Max', ' 3062 Sum', ' 66569760 Ratio', '  99.45%)']","[' 647      (Average', ' 567.83 Max', ' 725 Sum', ' 367383 Ratio', '   0.55%)']", ,[' 90424   '],[' 4025    '],[' 83294   '],[' 31404   '],"[' 84403    (Atom=Atom', ' 23917 Body=Body', ' 15014 Other', ' 45472)']",[' Yes'],"[' 5581     (Eliminated', '    0 Frozen', ' 5581)']","[' 568      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.929015'],[' 0'], ,[' 595.653'],[' 0'],[' 15.254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75035e+08'],[' 8.10207e+07'],[' 0'],[' 3.91247e+10'],[' 0'],[' 0'],[' 935 '],[' 1614 '],[' 2123 '],[' 2630 '],[' 3067 '],[' 3559 '],[' 5 '],[' 1 ']
Solving...,TA64, , , , , ,[' 1985'],[' 999'],"[' 520.444s (Solving', ' 516.21s 1st Model', ' 2.82s Unsat', ' 7.04s)']",[' 519.828s'], ,[' 57366629'],"[' 23650717 (Analyzed', ' 23531029)']","[' 42699    (Average', ' 551.09 Last', ' 12379)']",[' 2432.3  '],"[' 999      (Average Length', ' 581.10 Splits', ' 0)']","[' 23531029 (Deleted', ' 23266908)']","[' 22       (Ratio', '   0.00%)']","[' 3366     (Ratio', '   0.01%)']","[' 23531029 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23531029 (Average', '  2.34 Max', ' 3776 Sum', ' 55037340)']","[' 23530425 (Average', '  2.32 Max', ' 3102 Sum', ' 54659662 Ratio', '  99.31%)']","[' 604      (Average', ' 625.29 Max', ' 828 Sum', ' 377678 Ratio', '   0.69%)']", ,[' 91467   '],[' 4090    '],[' 84197   '],[' 31949   '],"[' 85503    (Atom=Atom', ' 24215 Body=Body', ' 15209 Other', ' 46079)']",[' Yes'],"[' 5659     (Eliminated', '    0 Frozen', ' 5659)']","[' 580      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.877329'],[' 0'], ,[' 339.734'],[' 0'],[' 8.23307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45094e+08'],[' 7.90011e+07'],[' 0'],[' 2.14424e+10'],[' 0'],[' 0'],[' 975 '],[' 1515 '],[' 2024 '],[' 2471 '],[' 3243 '],[' 3463 '],[' 3 '],[' 3 ']
Solving...,TA65, , , , ,[' 1'],[' 2065+'],[' 1039'],"[' 838.530s (Solving', ' 834.09s 1st Model', ' 3.10s Unsat', ' 1.73s)']",[' 837.203s'], ,[' 53825413'],"[' 29266730 (Analyzed', ' 29158631)']","[' 53745    (Average', ' 542.54 Last', ' 77241)']",[' 2423.5  '],"[' 1039     (Average Length', ' 610.51 Splits', ' 0)']","[' 29158631 (Deleted', ' 28855589)']","[' 20       (Ratio', '   0.00%)']","[' 3694     (Ratio', '   0.01%)']","[' 29158631 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29158631 (Average', '  1.76 Max', ' 3651 Sum', ' 51357534)']","[' 29158059 (Average', '  1.75 Max', ' 3180 Sum', ' 50980901 Ratio', '  99.27%)']","[' 572      (Average', ' 658.45 Max', ' 862 Sum', ' 376633 Ratio', '   0.73%)']", ,[' 91525   '],[' 4050    '],[' 84160   '],[' 32015   '],"[' 85080    (Atom=Atom', ' 24095 Body=Body', ' 15089 Other', ' 45896)']",[' Yes'],"[' 5682     (Eliminated', '    0 Frozen', ' 5682)']","[' 501      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.932392'],[' 0'], ,[' 626.073'],[' 0'],[' 14.2558'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33671e+08'],[' 6.47677e+07'],[' 0'],[' 4.08827e+10'],[' 0'],[' 0'],[' 657 '],[' 1336 '],[' 1982 '],[' 2631 '],[' 3080 '],[' 3736 '],[' 5 '],[' 1 ']
Solving...,TA66, , , , , ,[' 2207'],[' 1110'],"[' 911.312s (Solving', ' 906.44s 1st Model', ' 3.51s Unsat', ' 234.01s)']",[' 909.984s'], ,[' 73976230'],"[' 37430351 (Analyzed', ' 37356991)']","[' 67173    (Average', ' 556.13 Last', ' 101578)']",[' 2341.9  '],"[' 1110     (Average Length', ' 623.97 Splits', ' 0)']","[' 37356991 (Deleted', ' 36921884)']","[' 39       (Ratio', '   0.00%)']","[' 4268     (Ratio', '   0.01%)']","[' 37356991 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37356991 (Average', '  1.91 Max', ' 3494 Sum', ' 71425570)']","[' 37356310 (Average', '  1.90 Max', ' 2971 Sum', ' 70970100 Ratio', '  99.36%)']","[' 681      (Average', ' 668.83 Max', ' 886 Sum', ' 455470 Ratio', '   0.64%)']", ,[' 91951   '],[' 4091    '],[' 84590   '],[' 32293   '],"[' 85871    (Atom=Atom', ' 24330 Body=Body', ' 15212 Other', ' 46329)']",[' Yes'],"[' 5777     (Eliminated', '    0 Frozen', ' 5777)']","[' 843      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04128'],[' 0'], ,[' 631.736'],[' 0'],[' 16.0238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8328e+08'],[' 9.32904e+07'],[' 0'],[' 4.01471e+10'],[' 0'],[' 0'],[' 797 '],[' 1485 '],[' 1820 '],[' 2518 '],[' 2959 '],[' 3560 '],[' 4 '],[' 2 ']
Solving...,TA67, , , , ,[' 1'],[' 2019+'],[' 1016'],"[' 907.907s (Solving', ' 903.42s 1st Model', ' 3.08s Unsat', ' 70.27s)']",[' 906.734s'], ,[' 67251196'],"[' 34226383 (Analyzed', ' 34134160)']","[' 61690    (Average', ' 553.32 Last', ' 18329)']",[' 2425.4  '],"[' 1016     (Average Length', ' 581.29 Splits', ' 0)']","[' 34134160 (Deleted', ' 33727583)']","[' 9        (Ratio', '   0.00%)']","[' 3597     (Ratio', '   0.01%)']","[' 34134160 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34134160 (Average', '  1.90 Max', ' 3490 Sum', ' 64731823)']","[' 34133545 (Average', '  1.88 Max', ' 3085 Sum', ' 64342743 Ratio', '  99.40%)']","[' 615      (Average', ' 632.65 Max', ' 820 Sum', ' 389080 Ratio', '   0.60%)']", ,[' 90699   '],[' 4040    '],[' 83640   '],[' 31524   '],"[' 84808    (Atom=Atom', ' 24032 Body=Body', ' 15059 Other', ' 45717)']",[' Yes'],"[' 5619     (Eliminated', '    0 Frozen', ' 5619)']","[' 635      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.932204'],[' 0'], ,[' 652.476'],[' 0'],[' 15.7721'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72789e+08'],[' 8.94348e+07'],[' 0'],[' 4.16282e+10'],[' 0'],[' 0'],[' 959 '],[' 1483 '],[' 2063 '],[' 2659 '],[' 3206 '],[' 3618 '],[' 5 '],[' 1 ']
Solving...,TA68, , , , , ,[' 2165'],[' 1089'],"[' 955.618s (Solving', ' 950.56s 1st Model', ' 3.59s Unsat', ' 275.94s)']",[' 954.625s'], ,[' 69755412'],"[' 37834830 (Analyzed', ' 37727149)']","[' 71266    (Average', ' 529.38 Last', ' 61468)']",[' 2518.9  '],"[' 1089     (Average Length', ' 610.73 Splits', ' 0)']","[' 37727149 (Deleted', ' 37282289)']","[' 25       (Ratio', '   0.00%)']","[' 3486     (Ratio', '   0.01%)']","[' 37727149 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37727149 (Average', '  1.77 Max', ' 3414 Sum', ' 66885069)']","[' 37726526 (Average', '  1.76 Max', ' 3052 Sum', ' 66519061 Ratio', '  99.45%)']","[' 623      (Average', ' 587.49 Max', ' 799 Sum', ' 366008 Ratio', '   0.55%)']", ,[' 90900   '],[' 3992    '],[' 83772   '],[' 31611   '],"[' 84300    (Atom=Atom', ' 23913 Body=Body', ' 14915 Other', ' 45472)']",[' Yes'],"[' 5659     (Eliminated', '    0 Frozen', ' 5659)']","[' 676      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08634'],[' 0'], ,[' 664.778'],[' 0'],[' 16.0115'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83815e+08'],[' 9.33549e+07'],[' 0'],[' 4.17552e+10'],[' 0'],[' 0'],[' 818 '],[' 1305 '],[' 1798 '],[' 2394 '],[' 2935 '],[' 3352 '],[' 4 '],[' 2 ']
Solving...,TA69, , , , ,[' 1'],[' 2297+'],[' 1155'],"[' 1001.583s (Solving', ' 996.38s 1st Model', ' 3.86s Unsat', ' 0.00s)']",[' 1000.531s'], ,[' 77907904'],"[' 41159751 (Analyzed', ' 41083052)']","[' 74459    (Average', ' 551.75 Last', ' 247630)']",[' 2475.1  '],"[' 1155     (Average Length', ' 644.09 Splits', ' 0)']","[' 41083052 (Deleted', ' 40605680)']","[' 14       (Ratio', '   0.00%)']","[' 3791     (Ratio', '   0.01%)']","[' 41083052 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 41083052 (Average', '  1.83 Max', ' 3713 Sum', ' 75057784)']","[' 41082395 (Average', '  1.82 Max', ' 3123 Sum', ' 74633223 Ratio', '  99.43%)']","[' 657      (Average', ' 646.21 Max', ' 1022 Sum', ' 424561 Ratio', '   0.57%)']", ,[' 91906   '],[' 4130    '],[' 84777   '],[' 32315   '],"[' 86593    (Atom=Atom', ' 24531 Body=Body', ' 15329 Other', ' 46733)']",[' Yes'],"[' 5857     (Eliminated', '    0 Frozen', ' 5857)']","[' 666      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12161'],[' 0'], ,[' 693.903'],[' 0'],[' 15.5459'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01222e+08'],[' 9.9021e+07'],[' 0'],[' 4.27973e+10'],[' 0'],[' 0'],[' 897 '],[' 1540 '],[' 1984 '],[' 2448 '],[' 3162 '],[' 3666 '],[' 6 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 1811+'],[' 912'],"[' 850.816s (Solving', ' 846.77s 1st Model', ' 2.83s Unsat', ' 13.80s)']",[' 849.672s'], ,[' 67159200'],"[' 32047287 (Analyzed', ' 31947199)']","[' 61301    (Average', ' 521.15 Last', ' 659)']",[' 2293.8  '],"[' 912      (Average Length', ' 534.98 Splits', ' 0)']","[' 31947199 (Deleted', ' 31603280)']","[' 36       (Ratio', '   0.00%)']","[' 4135     (Ratio', '   0.01%)']","[' 31947199 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31947199 (Average', '  2.03 Max', ' 3562 Sum', ' 64883135)']","[' 31946573 (Average', '  2.02 Max', ' 3142 Sum', ' 64483110 Ratio', '  99.38%)']","[' 626      (Average', ' 639.02 Max', ' 754 Sum', ' 400025 Ratio', '   0.62%)']", ,[' 91369   '],[' 4115    '],[' 83970   '],[' 31987   '],"[' 85721    (Atom=Atom', ' 24228 Body=Body', ' 15284 Other', ' 46209)']",[' Yes'],"[' 5638     (Eliminated', '    0 Frozen', ' 5638)']","[' 669      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.828051'],[' 0'], ,[' 617.146'],[' 0'],[' 14.6797'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65945e+08'],[' 8.97529e+07'],[' 0'],[' 4.14391e+10'],[' 0'],[' 0'],[' 705 '],[' 1351 '],[' 2209 '],[' 2755 '],[' 3491 '],[' 3973 '],[' 5 '],[' 1 ']
