Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 8049+'],[' 4027'],"[' 627.150s (Solving', ' 542.95s 1st Model', ' 177.69s Unsat', ' 0.00s)']",[' 624.156s'], ,[' 251934219'],"[' 4381200  (Analyzed', ' 88238)']","[' 2159     (Average', ' 40.87 Last', ' 4578)']",[' 19104.2 '],"[' 4027     (Average Length', ' 2078.47 Splits', ' 0)']","[' 88238    (Deleted', ' 66900)']","[' 48       (Ratio', '   0.05%)']","[' 11687    (Ratio', '  13.24%)']","[' 88238    (Average Length', '   35.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 88238    (Average', ' 2170.49 Max', ' 26954 Sum', ' 191519589)']","[' 83713    (Average', ' 2028.10 Max', ' 26954 Sum', ' 178955859 Ratio', '  93.44%)']","[' 4525     (Average', ' 2776.51 Max', ' 2802 Sum', ' 12563730 Ratio', '   6.56%)']", ,[' 459142  '],[' 33570   '],[' 419266  '],[' 202141  '],"[' 590985   (Atom=Atom', ' 149660 Body=Body', ' 106086 Other', ' 335239)']",[' Yes'],"[' 38007    (Eliminated', '    0 Frozen', ' 38007)']","[' 2590     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.0046'],[' 0'], ,[' 182.036'],[' 0'],[' 14.4891'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18904e+08'],[' 2.92283e+08'],[' 0'],[' 7.94428e+09'],[' 0'],[' 0'],[' 2771 '],[' 10283 '],[' 11019 '],[' 3 '],[' 0 ']
Solving...,TA72, , , , ,[' 8311+'],[' 4159'],"[' 629.021s (Solving', ' 544.83s 1st Model', ' 205.56s Unsat', ' 0.00s)']",[' 624.797s'], ,[' 256083403'],"[' 6038231  (Analyzed', ' 89973)']","[' 2308     (Average', ' 38.98 Last', ' 17503)']",[' 19276.3 '],"[' 4160     (Average Length', ' 2160.42 Splits', ' 0)']","[' 89973    (Deleted', ' 68128)']","[' 50       (Ratio', '   0.06%)']","[' 11285    (Ratio', '  12.54%)']","[' 89973    (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 89973    (Average', ' 2095.93 Max', ' 27156 Sum', ' 188576759)']","[' 86537    (Average', ' 1987.53 Max', ' 27156 Sum', ' 178823603 Ratio', '  94.83%)']","[' 3436     (Average', ' 2838.52 Max', ' 2871 Sum', ' 9753156 Ratio', '   5.17%)']", ,[' 457706  '],[' 33008   '],[' 418142  '],[' 199821  '],"[' 583122   (Atom=Atom', ' 147542 Body=Body', ' 104400 Other', ' 331180)']",[' Yes'],"[' 37554    (Eliminated', '    0 Frozen', ' 37554)']","[' 1651     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8813'],[' 0'], ,[' 188.576'],[' 0'],[' 14.1496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24939e+08'],[' 2.96456e+08'],[' 0'],[' 1.11505e+10'],[' 0'],[' 0'],[' 2319 '],[' 10373 '],[' 8302 '],[' 3 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 7859+'],[' 3932'],"[' 625.244s (Solving', ' 546.16s 1st Model', ' 219.15s Unsat', ' 0.00s)']",[' 623.438s'], ,[' 275143636'],"[' 6047262  (Analyzed', ' 114763)']","[' 2481     (Average', ' 46.26 Last', ' 38009)']",[' 19934.2 '],"[' 3932     (Average Length', ' 2056.93 Splits', ' 0)']","[' 114763   (Deleted', ' 87936)']","[' 37       (Ratio', '   0.03%)']","[' 14526    (Ratio', '  12.66%)']","[' 114763   (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 114763   (Average', ' 1810.29 Max', ' 26785 Sum', ' 207754302)']","[' 111118   (Average', ' 1731.22 Max', ' 26785 Sum', ' 198680367 Ratio', '  95.63%)']","[' 3645     (Average', ' 2489.42 Max', ' 2543 Sum', ' 9073935 Ratio', '   4.37%)']", ,[' 457184  '],[' 33207   '],[' 417223  '],[' 200580  '],"[' 585233   (Atom=Atom', ' 148113 Body=Body', ' 104997 Other', ' 332123)']",[' Yes'],"[' 37537    (Eliminated', '    0 Frozen', ' 37537)']","[' 2427     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4807'],[' 0'], ,[' 188.675'],[' 0'],[' 14.9349'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.61987e+08'],[' 3.30889e+08'],[' 0'],[' 1.07718e+10'],[' 0'],[' 0'],[' 2656 '],[' 8193 '],[' 9956 '],[' 3 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 7911+'],[' 3957'],"[' 628.544s (Solving', ' 548.57s 1st Model', ' 218.35s Unsat', ' 0.00s)']",[' 625.719s'], ,[' 266570920'],"[' 5917064  (Analyzed', ' 102808)']","[' 2344     (Average', ' 43.86 Last', ' 31866)']",[' 20042.4 '],"[' 3957     (Average Length', ' 2069.88 Splits', ' 0)']","[' 102808   (Deleted', ' 78229)']","[' 41       (Ratio', '   0.04%)']","[' 13509    (Ratio', '  13.14%)']","[' 102808   (Average Length', '   31.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 102808   (Average', ' 1902.50 Max', ' 28126 Sum', ' 195592539)']","[' 100472   (Average', ' 1842.64 Max', ' 28126 Sum', ' 189437935 Ratio', '  96.85%)']","[' 2336     (Average', ' 2634.68 Max', ' 2653 Sum', ' 6154604 Ratio', '   3.15%)']", ,[' 458503  '],[' 33085   '],[' 418749  '],[' 199989  '],"[' 583654   (Atom=Atom', ' 147651 Body=Body', ' 104631 Other', ' 331372)']",[' Yes'],"[' 37448    (Eliminated', '    0 Frozen', ' 37448)']","[' 729      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8801'],[' 0'], ,[' 195.008'],[' 0'],[' 14.6134'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.42607e+08'],[' 3.13077e+08'],[' 0'],[' 1.19117e+10'],[' 0'],[' 0'],[' 2315 '],[' 8384 '],[' 10371 '],[' 3 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 8361+'],[' 4183'],"[' 625.899s (Solving', ' 545.24s 1st Model', ' 211.95s Unsat', ' 0.00s)']",[' 623.391s'], ,[' 265730012'],"[' 6004887  (Analyzed', ' 98928)']","[' 2423     (Average', ' 40.83 Last', ' 15106)']",[' 19307.5 '],"[' 4183     (Average Length', ' 2148.30 Splits', ' 0)']","[' 98928    (Deleted', ' 72874)']","[' 38       (Ratio', '   0.04%)']","[' 12101    (Ratio', '  12.23%)']","[' 98928    (Average Length', '   35.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 98928    (Average', ' 2013.82 Max', ' 26801 Sum', ' 199222735)']","[' 94828    (Average', ' 1899.23 Max', ' 26801 Sum', ' 187887059 Ratio', '  94.31%)']","[' 4100     (Average', ' 2764.80 Max', ' 2794 Sum', ' 11335676 Ratio', '   5.69%)']", ,[' 458723  '],[' 33165   '],[' 418909  '],[' 200769  '],"[' 585511   (Atom=Atom', ' 148196 Body=Body', ' 104871 Other', ' 332444)']",[' Yes'],"[' 37623    (Eliminated', '    0 Frozen', ' 37623)']","[' 2232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6077'],[' 0'], ,[' 187.07'],[' 0'],[' 14.4986'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3899e+08'],[' 3.10013e+08'],[' 0'],[' 1.08919e+10'],[' 0'],[' 0'],[' 2579 '],[' 9532 '],[' 9919 '],[' 3 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 7981+'],[' 3994'],"[' 621.662s (Solving', ' 545.33s 1st Model', ' 216.79s Unsat', ' 0.00s)']",[' 618.109s'], ,[' 270543806'],"[' 6015013  (Analyzed', ' 101360)']","[' 2361     (Average', ' 42.93 Last', ' 19440)']",[' 19885.2 '],"[' 3994     (Average Length', ' 2083.74 Splits', ' 0)']","[' 101360   (Deleted', ' 77167)']","[' 43       (Ratio', '   0.04%)']","[' 13083    (Ratio', '  12.91%)']","[' 101360   (Average Length', '   32.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 101360   (Average', ' 1997.47 Max', ' 27046 Sum', ' 202463555)']","[' 97807    (Average', ' 1907.72 Max', ' 27046 Sum', ' 193366693 Ratio', '  95.51%)']","[' 3553     (Average', ' 2560.33 Max', ' 2614 Sum', ' 9096862 Ratio', '   4.49%)']", ,[' 458306  '],[' 33152   '],[' 418570  '],[' 200281  '],"[' 584786   (Atom=Atom', ' 147954 Body=Body', ' 104832 Other', ' 332000)']",[' Yes'],"[' 37556    (Eliminated', '    0 Frozen', ' 37556)']","[' 2320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5112'],[' 0'], ,[' 187.93'],[' 0'],[' 14.813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.48491e+08'],[' 3.1879e+08'],[' 0'],[' 1.0849e+10'],[' 0'],[' 0'],[' 2398 '],[' 9743 '],[' 8641 '],[' 3 '],[' 0 ']
Solving...,TA77, , , , ,[' 8625+'],[' 4315'],"[' 632.605s (Solving', ' 544.83s 1st Model', ' 185.60s Unsat', ' 0.00s)']",[' 629.594s'], ,[' 267193943'],"[' 5768608  (Analyzed', ' 92923)']","[' 2419     (Average', ' 38.41 Last', ' 12462)']",[' 19100.7 '],"[' 4316     (Average Length', ' 2232.85 Splits', ' 0)']","[' 92923    (Deleted', ' 68488)']","[' 41       (Ratio', '   0.04%)']","[' 11444    (Ratio', '  12.32%)']","[' 92923    (Average Length', '   30.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 92923    (Average', ' 2164.32 Max', ' 26609 Sum', ' 201115108)']","[' 88623    (Average', ' 2029.04 Max', ' 26609 Sum', ' 188544612 Ratio', '  93.75%)']","[' 4300     (Average', ' 2923.37 Max', ' 2989 Sum', ' 12570496 Ratio', '   6.25%)']", ,[' 457982  '],[' 32989   '],[' 418581  '],[' 199900  '],"[' 583311   (Atom=Atom', ' 147623 Body=Body', ' 104343 Other', ' 331345)']",[' Yes'],"[' 37682    (Eliminated', '    0 Frozen', ' 37682)']","[' 2485     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6151'],[' 0'], ,[' 183.345'],[' 0'],[' 14.7888'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34715e+08'],[' 3.07095e+08'],[' 0'],[' 1.03359e+10'],[' 0'],[' 0'],[' 2296 '],[' 10847 '],[' 9029 '],[' 3 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 7181+'],[' 3593'],"[' 625.964s (Solving', ' 544.16s 1st Model', ' 209.57s Unsat', ' 0.00s)']",[' 616.547s'], ,[' 226998906'],"[' 4970200  (Analyzed', ' 91602)']","[' 1933     (Average', ' 47.39 Last', ' 34235)']",[' 18482.1 '],"[' 3593     (Average Length', ' 1907.23 Splits', ' 0)']","[' 91602    (Deleted', ' 71609)']","[' 49       (Ratio', '   0.05%)']","[' 11301    (Ratio', '  12.34%)']","[' 91602    (Average Length', '   30.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 91602    (Average', ' 1887.41 Max', ' 26507 Sum', ' 172890549)']","[' 87484    (Average', ' 1772.67 Max', ' 26507 Sum', ' 162380491 Ratio', '  93.92%)']","[' 4118     (Average', ' 2552.22 Max', ' 2572 Sum', ' 10510058 Ratio', '   6.08%)']", ,[' 456437  '],[' 32875   '],[' 416404  '],[' 198737  '],"[' 579201   (Atom=Atom', ' 146446 Body=Body', ' 104001 Other', ' 328754)']",[' Yes'],"[' 36958    (Eliminated', '    0 Frozen', ' 36958)']","[' 2345     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8703'],[' 0'], ,[' 180.763'],[' 0'],[' 14.9233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90887e+08'],[' 2.65263e+08'],[' 0'],[' 8.68195e+09'],[' 0'],[' 0'],[' 2407 '],[' 9139 '],[' 10170 '],[' 3 '],[' 0 ']
Solving...,TA79, , , , ,[' 8031+'],[' 4018'],"[' 632.954s (Solving', ' 544.96s 1st Model', ' 181.44s Unsat', ' 0.00s)']",[' 626.281s'], ,[' 215911758'],"[' 6692296  (Analyzed', ' 53052)']","[' 2060     (Average', ' 25.75 Last', ' 8786)']",[' 20667.7 '],"[' 4019     (Average Length', ' 2072.56 Splits', ' 0)']","[' 53052    (Deleted', ' 37729)']","[' 28       (Ratio', '   0.05%)']","[' 6239     (Ratio', '  11.76%)']","[' 53052    (Average Length', '   36.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 53052    (Average', ' 2652.90 Max', ' 29253 Sum', ' 140741427)']","[' 50670    (Average', ' 2534.62 Max', ' 29253 Sum', ' 134466551 Ratio', '  95.54%)']","[' 2382     (Average', ' 2634.29 Max', ' 2638 Sum', ' 6274876 Ratio', '   4.46%)']", ,[' 459591  '],[' 33131   '],[' 419840  '],[' 200299  '],"[' 584340   (Atom=Atom', ' 147894 Body=Body', ' 104769 Other', ' 331677)']",[' Yes'],"[' 37508    (Eliminated', '    0 Frozen', ' 37508)']","[' 451      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8321'],[' 0'], ,[' 195.684'],[' 0'],[' 12.6086'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61147e+08'],[' 2.38099e+08'],[' 0'],[' 1.33998e+10'],[' 0'],[' 0'],[' 2395 '],[' 9169 '],[' 9688 '],[' 3 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 7969+'],[' 3987'],"[' 624.607s (Solving', ' 547.65s 1st Model', ' 199.99s Unsat', ' 0.00s)']",[' 621.156s'], ,[' 298633712'],"[' 5712197  (Analyzed', ' 130363)']","[' 2383     (Average', ' 54.71 Last', ' 15092)']",[' 19531.7 '],"[' 3987     (Average Length', ' 2078.12 Splits', ' 0)']","[' 130363   (Deleted', ' 102254)']","[' 45       (Ratio', '   0.03%)']","[' 17410    (Ratio', '  13.36%)']","[' 130363   (Average Length', '   31.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 130363   (Average', ' 1789.21 Max', ' 26274 Sum', ' 233246998)']","[' 126385   (Average', ' 1713.11 Max', ' 26274 Sum', ' 223325560 Ratio', '  95.75%)']","[' 3978     (Average', ' 2494.08 Max', ' 2578 Sum', ' 9921438 Ratio', '   4.25%)']", ,[' 458102  '],[' 33035   '],[' 418301  '],[' 199877  '],"[' 582912   (Atom=Atom', ' 147480 Body=Body', ' 104481 Other', ' 330951)']",[' Yes'],"[' 37394    (Eliminated', '    0 Frozen', ' 37394)']","[' 3683     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9032'],[' 0'], ,[' 184.414'],[' 0'],[' 15.499'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02225e+08'],[' 3.67951e+08'],[' 0'],[' 1.04716e+10'],[' 0'],[' 0'],[' 2411 '],[' 9128 '],[' 8028 '],[' 3 '],[' 0 ']
