Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 2137'],[' 1076'],"[' 41.578s (Solving', ' 37.12s 1st Model', ' 2.87s Unsat', ' 19.63s)']",[' 41.313s'], ,[' 5318773 '],"[' 1062044  (Analyzed', ' 977525)']","[' 2530     (Average', ' 386.37 Last', ' 54149)']",[' 2340.8  '],"[' 1076     (Average Length', ' 605.50 Splits', ' 0)']","[' 977525   (Deleted', ' 951371)']","[' 27       (Ratio', '   0.00%)']","[' 856      (Ratio', '   0.09%)']","[' 977525   (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 977525   (Average', '  3.59 Max', ' 3437 Sum', ' 3508945)']","[' 977242   (Average', '  3.43 Max', ' 2886 Sum', ' 3357058 Ratio', '  95.67%)']","[' 283      (Average', ' 536.70 Max', ' 829 Sum', ' 151887 Ratio', '   4.33%)']", ,[' 85415   '],[' 3270    '],[' 78982   '],[' 27997   '],"[' 73016    (Atom=Atom', ' 21172 Body=Body', ' 12790 Other', ' 39054)']",[' Yes'],"[' 4968     (Eliminated', '    0 Frozen', ' 4968)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.882102'],[' 0'], ,[' 15.7295'],[' 0'],[' 0.466994'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08438e+07'],[' 7.52498e+06'],[' 0'],[' 9.85593e+08'],[' 0'],[' 0'],[' 619 '],[' 1019 '],[' 1444 '],[' 1941 '],[' 2364 '],[' 2876 '],[' 3284 '],[' 0 '],[' 7 ']
Solving...,TA62, , , ,[' 2273'],[' 1144'],"[' 111.632s (Solving', ' 107.22s 1st Model', ' 3.29s Unsat', ' 4.28s)']",[' 111.359s'], ,[' 12878394'],"[' 5468744  (Analyzed', ' 5395850)']","[' 11182    (Average', ' 482.55 Last', ' 2895)']",[' 2321.1  '],"[' 1144     (Average Length', ' 640.01 Splits', ' 0)']","[' 5395850  (Deleted', ' 5303194)']","[' 22       (Ratio', '   0.00%)']","[' 1805     (Ratio', '   0.03%)']","[' 5395850  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5395850  (Average', '  2.04 Max', ' 3512 Sum', ' 10992557)']","[' 5395453  (Average', '  1.99 Max', ' 2675 Sum', ' 10760182 Ratio', '  97.89%)']","[' 397      (Average', ' 585.33 Max', ' 896 Sum', ' 232375 Ratio', '   2.11%)']", ,[' 85552   '],[' 3297    '],[' 79186   '],[' 28127   '],"[' 73700    (Atom=Atom', ' 21348 Body=Body', ' 12871 Other', ' 39481)']",[' Yes'],"[' 5063     (Eliminated', '    0 Frozen', ' 5063)']","[' 217      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.980451'],[' 0'], ,[' 56.5222'],[' 0'],[' 1.84157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47508e+07'],[' 2.03388e+07'],[' 0'],[' 3.98686e+09'],[' 0'],[' 0'],[' 632 '],[' 1135 '],[' 1665 '],[' 2075 '],[' 2558 '],[' 2995 '],[' 3470 '],[' 1 '],[' 6 ']
Solving...,TA63, , , ,[' 2311'],[' 1163'],"[' 31.766s (Solving', ' 27.40s 1st Model', ' 3.05s Unsat', ' 8.09s)']",[' 31.516s'], ,[' 5182479 '],"[' 834758   (Analyzed', ' 761226)']","[' 2133     (Average', ' 356.88 Last', ' 573)']",[' 2342.5  '],"[' 1163     (Average Length', ' 639.94 Splits', ' 0)']","[' 761226   (Deleted', ' 733263)']","[' 32       (Ratio', '   0.00%)']","[' 974      (Ratio', '   0.13%)']","[' 761226   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 761226   (Average', '  4.35 Max', ' 2889 Sum', ' 3310645)']","[' 760895   (Average', '  4.10 Max', ' 2773 Sum', ' 3123252 Ratio', '  94.34%)']","[' 331      (Average', ' 566.14 Max', ' 880 Sum', ' 187393 Ratio', '   5.66%)']", ,[' 85117   '],[' 3233    '],[' 78827   '],[' 27835   '],"[' 72762    (Atom=Atom', ' 21111 Body=Body', ' 12679 Other', ' 38972)']",[' Yes'],"[' 4993     (Eliminated', '    0 Frozen', ' 4993)']","[' 115      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.952534'],[' 0'], ,[' 6.37006'],[' 0'],[' 0.339011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07021e+07'],[' 7.85592e+06'],[' 0'],[' 2.75154e+08'],[' 0'],[' 0'],[' 576 '],[' 1074 '],[' 1454 '],[' 1859 '],[' 2324 '],[' 2685 '],[' 3114 '],[' 0 '],[' 7 ']
Solving...,TA64, , , ,[' 2363'],[' 1189'],"[' 109.167s (Solving', ' 105.01s 1st Model', ' 2.99s Unsat', ' 0.88s)']",[' 108.688s'], ,[' 13375583'],"[' 6718324  (Analyzed', ' 6659745)']","[' 12679    (Average', ' 525.26 Last', ' 104810)']",[' 2291.2  '],"[' 1189     (Average Length', ' 658.91 Splits', ' 0)']","[' 6659745  (Deleted', ' 6549785)']","[' 13       (Ratio', '   0.00%)']","[' 1091     (Ratio', '   0.02%)']","[' 6659745  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6659745  (Average', '  1.72 Max', ' 3492 Sum', ' 11467537)']","[' 6659321  (Average', '  1.69 Max', ' 3492 Sum', ' 11242142 Ratio', '  98.03%)']","[' 424      (Average', ' 531.59 Max', ' 945 Sum', ' 225395 Ratio', '   1.97%)']", ,[' 85309   '],[' 3306    '],[' 79188   '],[' 28013   '],"[' 73936    (Atom=Atom', ' 21429 Body=Body', ' 12898 Other', ' 39609)']",[' Yes'],"[' 5111     (Eliminated', '    0 Frozen', ' 5111)']","[' 160      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.960099'],[' 0'], ,[' 46.9699'],[' 0'],[' 1.64723'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52053e+07'],[' 1.82545e+07'],[' 0'],[' 2.41243e+09'],[' 0'],[' 0'],[' 624 '],[' 1192 '],[' 1574 '],[' 1956 '],[' 2331 '],[' 2883 '],[' 3212 '],[' 1 '],[' 6 ']
Solving...,TA65, , , ,[' 2355'],[' 1185'],"[' 43.416s (Solving', ' 38.69s 1st Model', ' 3.09s Unsat', ' 18.81s)']",[' 43.016s'], ,[' 6069714 '],"[' 1114178  (Analyzed', ' 1019660)']","[' 2638     (Average', ' 386.53 Last', ' 2455)']",[' 2428.1  '],"[' 1185     (Average Length', ' 659.29 Splits', ' 0)']","[' 1019660  (Deleted', ' 985331)']","[' 44       (Ratio', '   0.00%)']","[' 1379     (Ratio', '   0.14%)']","[' 1019660  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1019660  (Average', '  3.98 Max', ' 3159 Sum', ' 4058512)']","[' 1019320  (Average', '  3.79 Max', ' 2865 Sum', ' 3865352 Ratio', '  95.24%)']","[' 340      (Average', ' 568.12 Max', ' 913 Sum', ' 193160 Ratio', '   4.76%)']", ,[' 85823   '],[' 3314    '],[' 79453   '],[' 28319   '],"[' 74061    (Atom=Atom', ' 21457 Body=Body', ' 12922 Other', ' 39682)']",[' Yes'],"[' 5108     (Eliminated', '    0 Frozen', ' 5108)']","[' 125      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.989053'],[' 0'], ,[' 15.2444'],[' 0'],[' 0.46162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26416e+07'],[' 8.85117e+06'],[' 0'],[' 9.44159e+08'],[' 0'],[' 0'],[' 592 '],[' 1007 '],[' 1411 '],[' 1872 '],[' 2283 '],[' 2690 '],[' 3130 '],[' 0 '],[' 7 ']
Solving...,TA66, , , ,[' 2359'],[' 1187'],"[' 108.742s (Solving', ' 104.60s 1st Model', ' 3.12s Unsat', ' 0.14s)']",[' 108.188s'], ,[' 14409079'],"[' 6521281  (Analyzed', ' 6431905)']","[' 12494    (Average', ' 514.80 Last', ' 237)']",[' 2369.6  '],"[' 1187     (Average Length', ' 658.18 Splits', ' 0)']","[' 6431905  (Deleted', ' 6325439)']","[' 21       (Ratio', '   0.00%)']","[' 842      (Ratio', '   0.01%)']","[' 6431905  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6431905  (Average', '  1.92 Max', ' 3741 Sum', ' 12353303)']","[' 6431574  (Average', '  1.89 Max', ' 2859 Sum', ' 12154148 Ratio', '  98.39%)']","[' 331      (Average', ' 601.68 Max', ' 912 Sum', ' 199155 Ratio', '   1.61%)']", ,[' 85665   '],[' 3284    '],[' 79262   '],[' 28225   '],"[' 73615    (Atom=Atom', ' 21339 Body=Body', ' 12832 Other', ' 39444)']",[' Yes'],"[' 5086     (Eliminated', '    0 Frozen', ' 5086)']","[' 82       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.957433'],[' 0'], ,[' 49.1188'],[' 0'],[' 1.71709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.54625e+07'],[' 2.00443e+07'],[' 0'],[' 2.37724e+09'],[' 0'],[' 0'],[' 610 '],[' 1004 '],[' 1412 '],[' 1925 '],[' 2335 '],[' 2841 '],[' 3191 '],[' 1 '],[' 6 ']
Solving...,TA67, , , ,[' 2297'],[' 1156'],"[' 107.787s (Solving', ' 103.38s 1st Model', ' 3.18s Unsat', ' 0.48s)']",[' 107.391s'], ,[' 14091774'],"[' 6891945  (Analyzed', ' 6814770)']","[' 13400    (Average', ' 508.56 Last', ' 7622)']",[' 2295.6  '],"[' 1156     (Average Length', ' 639.53 Splits', ' 0)']","[' 6814770  (Deleted', ' 6693813)']","[' 9        (Ratio', '   0.00%)']","[' 985      (Ratio', '   0.01%)']","[' 6814770  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6814770  (Average', '  1.79 Max', ' 3156 Sum', ' 12213768)']","[' 6814326  (Average', '  1.75 Max', ' 2789 Sum', ' 11937298 Ratio', '  97.74%)']","[' 444      (Average', ' 622.68 Max', ' 907 Sum', ' 276470 Ratio', '   2.26%)']", ,[' 85965   '],[' 3366    '],[' 79531   '],[' 28475   '],"[' 74718    (Atom=Atom', ' 21636 Body=Body', ' 13078 Other', ' 40004)']",[' Yes'],"[' 5118     (Eliminated', '    0 Frozen', ' 5118)']","[' 125      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.918856'],[' 0'], ,[' 47.8112'],[' 0'],[' 1.65818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38146e+07'],[' 1.69603e+07'],[' 0'],[' 2.51528e+09'],[' 0'],[' 0'],[' 646 '],[' 1145 '],[' 1585 '],[' 2024 '],[' 2594 '],[' 3003 '],[' 3407 '],[' 1 '],[' 6 ']
Solving...,TA68, , , ,[' 2021'],[' 1018'],"[' 112.941s (Solving', ' 108.66s 1st Model', ' 2.33s Unsat', ' 7.20s)']",[' 112.719s'], ,[' 16693078'],"[' 8797538  (Analyzed', ' 8732123)']","[' 16940    (Average', ' 515.47 Last', ' 1007)']",[' 2209.4  '],"[' 1018     (Average Length', ' 575.92 Splits', ' 0)']","[' 8732123  (Deleted', ' 8601673)']","[' 26       (Ratio', '   0.00%)']","[' 1115     (Ratio', '   0.01%)']","[' 8732123  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8732123  (Average', '  1.71 Max', ' 3096 Sum', ' 14949927)']","[' 8731677  (Average', '  1.69 Max', ' 3096 Sum', ' 14740358 Ratio', '  98.60%)']","[' 446      (Average', ' 469.89 Max', ' 769 Sum', ' 209569 Ratio', '   1.40%)']", ,[' 85012   '],[' 3250    '],[' 78623   '],[' 27727   '],"[' 72563    (Atom=Atom', ' 21034 Body=Body', ' 12730 Other', ' 38799)']",[' Yes'],"[' 4881     (Eliminated', '    0 Frozen', ' 4881)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.840606'],[' 0'], ,[' 47.9696'],[' 0'],[' 1.52233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.14833e+07'],[' 2.09296e+07'],[' 0'],[' 2.75857e+09'],[' 0'],[' 0'],[' 601 '],[' 1056 '],[' 1521 '],[' 1854 '],[' 2308 '],[' 2818 '],[' 3237 '],[' 1 '],[' 6 ']
Solving...,TA69, , , ,[' 2167'],[' 1091'],"[' 106.376s (Solving', ' 102.23s 1st Model', ' 2.26s Unsat', ' 0.61s)']",[' 106.219s'], ,[' 13161679'],"[' 6895766  (Analyzed', ' 6830914)']","[' 12648    (Average', ' 540.08 Last', ' 144978)']",[' 2166.1  '],"[' 1091     (Average Length', ' 601.44 Splits', ' 0)']","[' 6830914  (Deleted', ' 6729993)']","[' 8        (Ratio', '   0.00%)']","[' 974      (Ratio', '   0.01%)']","[' 6830914  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6830914  (Average', '  1.68 Max', ' 3280 Sum', ' 11477874)']","[' 6830415  (Average', '  1.64 Max', ' 2663 Sum', ' 11198177 Ratio', '  97.56%)']","[' 499      (Average', ' 560.52 Max', ' 868 Sum', ' 279697 Ratio', '   2.44%)']", ,[' 84988   '],[' 3313    '],[' 78845   '],[' 27797   '],"[' 73731    (Atom=Atom', ' 21359 Body=Body', ' 12919 Other', ' 39453)']",[' Yes'],"[' 5007     (Eliminated', '    0 Frozen', ' 5007)']","[' 178      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.85844'],[' 0'], ,[' 50.9755'],[' 0'],[' 1.80955'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.19342e+07'],[' 1.54986e+07'],[' 0'],[' 2.72823e+09'],[' 0'],[' 0'],[' 817 '],[' 1170 '],[' 1689 '],[' 2159 '],[' 2640 '],[' 3038 '],[' 3447 '],[' 1 '],[' 6 ']
Solving...,TA70, , , ,[' 2445'],[' 1230'],"[' 110.640s (Solving', ' 106.57s 1st Model', ' 3.83s Unsat', ' 0.84s)']",[' 110.469s'], ,[' 15048102'],"[' 7005563  (Analyzed', ' 6936786)']","[' 12949    (Average', ' 535.70 Last', ' 4695)']",[' 2227.4  '],"[' 1230     (Average Length', ' 678.13 Splits', ' 0)']","[' 6936786  (Deleted', ' 6817374)']","[' 22       (Ratio', '   0.00%)']","[' 1719     (Ratio', '   0.02%)']","[' 6936786  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6936786  (Average', '  1.91 Max', ' 3145 Sum', ' 13264535)']","[' 6936232  (Average', '  1.86 Max', ' 3119 Sum', ' 12932974 Ratio', '  97.50%)']","[' 554      (Average', ' 598.49 Max', ' 965 Sum', ' 331561 Ratio', '   2.50%)']", ,[' 85026   '],[' 3351    '],[' 78925   '],[' 28052   '],"[' 74734    (Atom=Atom', ' 21650 Body=Body', ' 13033 Other', ' 40051)']",[' Yes'],"[' 5169     (Eliminated', '    0 Frozen', ' 5169)']","[' 312      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.988865'],[' 0'], ,[' 46.8155'],[' 0'],[' 1.77031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.91719e+07'],[' 2.11952e+07'],[' 0'],[' 2.56263e+09'],[' 0'],[' 0'],[' 689 '],[' 1194 '],[' 1654 '],[' 2273 '],[' 2759 '],[' 3190 '],[' 3581 '],[' 1 '],[' 6 ']
