Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA41, , , ,[' 933'],[' 473'],"[' 26.487s (Solving', ' 25.22s 1st Model', ' 0.58s Unsat', ' 21.89s)']",[' 26.297s'], ,[' 1782462 '],"[' 952974   (Analyzed', ' 787220)']","[' 2291     (Average', ' 343.61 Last', ' 183)']",[' 1040.9  '],"[' 473      (Average Length', ' 226.12 Splits', ' 0)']","[' 787220   (Deleted', ' 770143)']","[' 57       (Ratio', '   0.01%)']","[' 992      (Ratio', '   0.13%)']","[' 787220   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 787220   (Average', '  1.56 Max', ' 1370 Sum', ' 1226943)']","[' 787138   (Average', '  1.55 Max', ' 1370 Sum', ' 1217794 Ratio', '  99.25%)']","[' 82       (Average', ' 111.57 Max', ' 385 Sum', '   9149 Ratio', '   0.75%)']", ,[' 40883   '],[' 2080    '],[' 40732   '],[' 22163   '],"[' 66485    (Atom=Atom', ' 20681 Body=Body', ' 11350 Other', ' 34454)']",[' Yes'],"[' 2529     (Eliminated', '    0 Frozen', ' 2529)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.326423'],[' 0'], ,[' 18.8984'],[' 0'],[' 0.391188'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.44881e+06'],[' 5.21983e+06'],[' 0'],[' 2.51948e+09'],[' 0'],[' 0'],[' 491 '],[' 942 '],[' 1424 '],[' 2031 '],[' 2471 '],[' 3021 '],[' 0 '],[' 6 ']
Solving...,TA42, , , ,[' 797'],[' 405'],"[' 35.409s (Solving', ' 34.36s 1st Model', ' 0.73s Unsat', ' 31.41s)']",[' 35.344s'], ,[' 1409435 '],"[' 589169   (Analyzed', ' 520660)']","[' 1562     (Average', ' 333.33 Last', ' 2914)']",[' 1009.3  '],"[' 405      (Average Length', ' 195.83 Splits', ' 0)']","[' 520660   (Deleted', ' 506630)']","[' 65       (Ratio', '   0.01%)']","[' 919      (Ratio', '   0.18%)']","[' 520660   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 520660   (Average', '  1.94 Max', ' 1319 Sum', ' 1012364)']","[' 520569   (Average', '  1.93 Max', ' 1319 Sum', ' 1005310 Ratio', '  99.30%)']","[' 91       (Average', ' 77.52 Max', ' 331 Sum', '   7054 Ratio', '   0.70%)']", ,[' 40072   '],[' 2023    '],[' 39858   '],[' 21448   '],"[' 64340    (Atom=Atom', ' 20023 Body=Body', ' 11293 Other', ' 33024)']",[' Yes'],"[' 2409     (Eliminated', '    0 Frozen', ' 2409)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.297465'],[' 0'], ,[' 29.0899'],[' 0'],[' 0.552693'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.11554e+06'],[' 4.5954e+06'],[' 0'],[' 4.85065e+09'],[' 0'],[' 0'],[' 585 '],[' 1039 '],[' 1505 '],[' 2019 '],[' 2439 '],[' 3046 '],[' 0 '],[' 6 ']
Solving...,TA43, , , ,[' 1031'],[' 522'],"[' 26.734s (Solving', ' 25.31s 1st Model', ' 0.66s Unsat', ' 22.20s)']",[' 26.656s'], ,[' 2714207 '],"[' 1462989  (Analyzed', ' 1403559)']","[' 3353     (Average', ' 418.60 Last', ' 27278)']",[' 1086.5  '],"[' 522      (Average Length', ' 253.00 Splits', ' 0)']","[' 1403559  (Deleted', ' 1372287)']","[' 62       (Ratio', '   0.00%)']","[' 925      (Ratio', '   0.07%)']","[' 1403559  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1403559  (Average', '  1.57 Max', ' 1306 Sum', ' 2207010)']","[' 1403453  (Average', '  1.56 Max', ' 1306 Sum', ' 2192692 Ratio', '  99.35%)']","[' 106      (Average', ' 135.08 Max', ' 395 Sum', '  14318 Ratio', '   0.65%)']", ,[' 40879   '],[' 2054    '],[' 40783   '],[' 21968   '],"[' 65900    (Atom=Atom', ' 20512 Body=Body', ' 11324 Other', ' 34064)']",[' Yes'],"[' 2558     (Eliminated', '    0 Frozen', ' 2558)']","[' 32       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.375393'],[' 0'], ,[' 15.8361'],[' 0'],[' 0.31297'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04827e+07'],[' 6.8964e+06'],[' 0'],[' 1.82047e+09'],[' 0'],[' 0'],[' 535 '],[' 896 '],[' 1253 '],[' 1803 '],[' 2170 '],[' 2627 '],[' 0 '],[' 6 ']
Solving...,TA44, , , ,[' 967'],[' 490'],"[' 171.231s (Solving', ' 169.78s 1st Model', ' 0.52s Unsat', ' 0.70s)']",[' 170.984s'], ,[' 12215042'],"[' 6603922  (Analyzed', ' 6509451)']","[' 12677    (Average', ' 513.49 Last', ' 74025)']",[' 1065.5  '],"[' 490      (Average Length', ' 238.05 Splits', ' 0)']","[' 6509451  (Deleted', ' 6413398)']","[' 39       (Ratio', '   0.00%)']","[' 951      (Ratio', '   0.01%)']","[' 6509451  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6509451  (Average', '  1.78 Max', ' 1287 Sum', ' 11554555)']","[' 6509373  (Average', '  1.77 Max', ' 1287 Sum', ' 11543819 Ratio', '  99.91%)']","[' 78       (Average', ' 137.64 Max', ' 367 Sum', '  10736 Ratio', '   0.09%)']", ,[' 40576   '],[' 2035    '],[' 40445   '],[' 21731   '],"[' 65189    (Atom=Atom', ' 20294 Body=Body', ' 11305 Other', ' 33590)']",[' Yes'],"[' 2504     (Eliminated', '    0 Frozen', ' 2504)']","[' 95       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.349034'],[' 0'], ,[' 129.078'],[' 0'],[' 2.88855'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65383e+07'],[' 1.98362e+07'],[' 0'],[' 1.64156e+10'],[' 0'],[' 0'],[' 524 '],[' 1014 '],[' 1613 '],[' 2056 '],[' 2472 '],[' 2844 '],[' 1 '],[' 5 ']
Solving...,TA45, , , ,[' 809'],[' 411'],"[' 71.063s (Solving', ' 69.84s 1st Model', ' 0.34s Unsat', ' 66.84s)']",[' 70.953s'], ,[' 3668499 '],"[' 2084770  (Analyzed', ' 1937204)']","[' 4811     (Average', ' 402.66 Last', ' 4028)']",[' 1044.9  '],"[' 411      (Average Length', ' 199.98 Splits', ' 0)']","[' 1937204  (Deleted', ' 1888952)']","[' 68       (Ratio', '   0.00%)']","[' 1035     (Ratio', '   0.05%)']","[' 1937204  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1937204  (Average', '  1.62 Max', ' 1316 Sum', ' 3134080)']","[' 1937114  (Average', '  1.61 Max', ' 1316 Sum', ' 3128194 Ratio', '  99.81%)']","[' 90       (Average', ' 65.40 Max', ' 312 Sum', '   5886 Ratio', '   0.19%)']", ,[' 40482   '],[' 2036    '],[' 40277   '],[' 21793   '],"[' 65375    (Atom=Atom', ' 20355 Body=Body', ' 11306 Other', ' 33714)']",[' Yes'],"[' 2431     (Eliminated', '    0 Frozen', ' 2431)']","[' 49       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.31299'],[' 0'], ,[' 55.8166'],[' 0'],[' 1.08919'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37603e+07'],[' 8.96004e+06'],[' 0'],[' 8.14963e+09'],[' 0'],[' 0'],[' 571 '],[' 1082 '],[' 1534 '],[' 1991 '],[' 2514 '],[' 2945 '],[' 0 '],[' 6 ']
Solving...,TA46, , , ,[' 945'],[' 479'],"[' 175.650s (Solving', ' 174.19s 1st Model', ' 0.73s Unsat', ' 4.81s)']",[' 174.953s'], ,[' 13832767'],"[' 6600671  (Analyzed', ' 6503492)']","[' 12435    (Average', ' 523.00 Last', ' 909)']",[' 1150.9  '],"[' 479      (Average Length', ' 233.04 Splits', ' 0)']","[' 6503492  (Deleted', ' 6418796)']","[' 48       (Ratio', '   0.00%)']","[' 1650     (Ratio', '   0.03%)']","[' 6503492  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6503492  (Average', '  2.01 Max', ' 1325 Sum', ' 13098392)']","[' 6503415  (Average', '  2.01 Max', ' 1325 Sum', ' 13092957 Ratio', '  99.96%)']","[' 77       (Average', ' 70.58 Max', ' 255 Sum', '   5435 Ratio', '   0.04%)']", ,[' 41314   '],[' 2127    '],[' 41177   '],[' 22416   '],"[' 67244    (Atom=Atom', ' 20887 Body=Body', ' 11397 Other', ' 34960)']",[' Yes'],"[' 2590     (Eliminated', '    0 Frozen', ' 2590)']","[' 148      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.380284'],[' 0'], ,[' 134.66'],[' 0'],[' 3.09716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.35234e+07'],[' 2.76701e+07'],[' 0'],[' 1.7585e+10'],[' 0'],[' 0'],[' 581 '],[' 1110 '],[' 1809 '],[' 2120 '],[' 2610 '],[' 2991 '],[' 1 '],[' 5 ']
Solving...,TA47, , , ,[' 1027'],[' 520'],"[' 262.776s (Solving', ' 261.42s 1st Model', ' 0.64s Unsat', ' 92.17s)']",[' 262.453s'], ,[' 15309326'],"[' 9798043  (Analyzed', ' 9783657)']","[' 19316    (Average', ' 506.51 Last', ' 4294)']",[' 1025.1  '],"[' 520      (Average Length', ' 252.37 Splits', ' 0)']","[' 9783657  (Deleted', ' 9647872)']","[' 41       (Ratio', '   0.00%)']","[' 1137     (Ratio', '   0.01%)']","[' 9783657  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9783657  (Average', '  1.50 Max', ' 1311 Sum', ' 14629968)']","[' 9783558  (Average', '  1.49 Max', ' 1311 Sum', ' 14621276 Ratio', '  99.94%)']","[' 99       (Average', ' 87.80 Max', ' 131 Sum', '   8692 Ratio', '   0.06%)']", ,[' 40527   '],[' 2068    '],[' 40429   '],[' 21606   '],"[' 64814    (Atom=Atom', ' 20136 Body=Body', ' 11338 Other', ' 33340)']",[' Yes'],"[' 2570     (Eliminated', '    0 Frozen', ' 2570)']","[' 89       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.366269'],[' 0'], ,[' 203.725'],[' 0'],[' 4.26097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.4673e+07'],[' 2.11742e+07'],[' 0'],[' 2.60112e+10'],[' 0'],[' 0'],[' 436 '],[' 1103 '],[' 1428 '],[' 1829 '],[' 2308 '],[' 2870 '],[' 1 '],[' 5 ']
Solving...,TA48, , , ,[' 891'],[' 452'],"[' 5.297s (Solving', ' 3.98s 1st Model', ' 0.48s Unsat', ' 0.83s)']",[' 5.109s'], ,[' 749823  '],"[' 191084   (Analyzed', ' 64495)']","[' 523      (Average', ' 123.32 Last', ' 201)']",[' 1028.0  '],"[' 452      (Average Length', ' 216.78 Splits', ' 0)']","[' 64495    (Deleted', ' 58171)']","[' 60       (Ratio', '   0.09%)']","[' 536      (Ratio', '   0.83%)']","[' 64495    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 64495    (Average', '  4.10 Max', ' 1296 Sum', ' 264222)']","[' 64421    (Average', '  4.03 Max', ' 1296 Sum', ' 260217 Ratio', '  98.48%)']","[' 74       (Average', ' 54.12 Max', ' 260 Sum', '   4005 Ratio', '   1.52%)']", ,[' 40115   '],[' 1981    '],[' 39947   '],[' 21311   '],"[' 63929    (Atom=Atom', ' 19928 Body=Body', ' 11251 Other', ' 32750)']",[' Yes'],"[' 2413     (Eliminated', '    0 Frozen', ' 2413)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.332326'],[' 0'], ,[' 1.77457'],[' 0'],[' 0.0474002'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70284e+06'],[' 4.17275e+06'],[' 0'],[' 1.47565e+08'],[' 0'],[' 0'],[' 597 '],[' 1006 '],[' 1407 '],[' 1815 '],[' 2245 '],[' 2714 '],[' 0 '],[' 6 ']
Solving...,TA49, , , ,[' 1051'],[' 532'],"[' 10.471s (Solving', ' 8.97s 1st Model', ' 0.72s Unsat', ' 6.16s)']",[' 10.391s'], ,[' 990935  '],"[' 146724   (Analyzed', ' 123616)']","[' 517      (Average', ' 239.10 Last', ' 4807)']",[' 1098.0  '],"[' 532      (Average Length', ' 256.50 Splits', ' 0)']","[' 123616   (Deleted', ' 115184)']","[' 62       (Ratio', '   0.05%)']","[' 736      (Ratio', '   0.60%)']","[' 123616   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 123616   (Average', '  4.27 Max', ' 1353 Sum', ' 527700)']","[' 123531   (Average', '  4.23 Max', ' 1353 Sum', ' 522451 Ratio', '  99.01%)']","[' 85       (Average', ' 61.75 Max', ' 412 Sum', '   5249 Ratio', '   0.99%)']", ,[' 41022   '],[' 2060    '],[' 40931   '],[' 21946   '],"[' 65834    (Atom=Atom', ' 20484 Body=Body', ' 11330 Other', ' 34020)']",[' Yes'],"[' 2569     (Eliminated', '    0 Frozen', ' 2569)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.377119'],[' 0'], ,[' 6.19314'],[' 0'],[' 0.131903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.60652e+06'],[' 4.99151e+06'],[' 0'],[' 9.07522e+08'],[' 0'],[' 0'],[' 563 '],[' 978 '],[' 1403 '],[' 1830 '],[' 2298 '],[' 2789 '],[' 0 '],[' 6 ']
Solving...,TA50, , , ,[' 869'],[' 441'],"[' 158.078s (Solving', ' 156.94s 1st Model', ' 0.55s Unsat', ' 154.70s)']",[' 157.953s'], ,[' 4991304 '],"[' 2386067  (Analyzed', ' 2345147)']","[' 4701     (Average', ' 498.86 Last', ' 914)']",[' 938.8   '],"[' 441      (Average Length', ' 214.20 Splits', ' 0)']","[' 2345147  (Deleted', ' 2292279)']","[' 63       (Ratio', '   0.00%)']","[' 897      (Ratio', '   0.04%)']","[' 2345147  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2345147  (Average', '  1.96 Max', ' 1254 Sum', ' 4607449)']","[' 2345024  (Average', '  1.96 Max', ' 1254 Sum', ' 4587437 Ratio', '  99.57%)']","[' 123      (Average', ' 162.70 Max', ' 363 Sum', '  20012 Ratio', '   0.43%)']", ,[' 40156   '],[' 1999    '],[' 39979   '],[' 21332   '],"[' 63992    (Atom=Atom', ' 19931 Body=Body', ' 11269 Other', ' 32792)']",[' Yes'],"[' 2422     (Eliminated', '    0 Frozen', ' 2422)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.301745'],[' 0'], ,[' 138.945'],[' 0'],[' 2.58604'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43057e+07'],[' 8.85043e+06'],[' 0'],[' 2.42199e+10'],[' 0'],[' 0'],[' 464 '],[' 894 '],[' 1293 '],[' 1719 '],[' 2022 '],[' 2717 '],[' 0 '],[' 6 ']
