Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 755+'],[' 386'],"[' 527.132s (Solving', ' 525.76s 1st Model', ' 0.60s Unsat', ' 148.95s)']",[' 525.797s'], ,[' 50639165'],"[' 35332607 (Analyzed', ' 35319955)']","[' 65179    (Average', ' 541.89 Last', ' 276563)']",[' 1387.4  '],"[' 386      (Average Length', ' 255.21 Splits', ' 0)']","[' 35319955 (Deleted', ' 34885924)']","[' 22       (Ratio', '   0.00%)']","[' 2017     (Ratio', '   0.01%)']","[' 35319955 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35319955 (Average', '  1.40 Max', ' 2083 Sum', ' 49374626)']","[' 35319595 (Average', '  1.40 Max', ' 1772 Sum', ' 49292813 Ratio', '  99.83%)']","[' 360      (Average', ' 227.26 Max', ' 345 Sum', '  81813 Ratio', '   0.17%)']", ,[' 61945   '],[' 2296    '],[' 57267   '],[' 19434   '],"[' 51140    (Atom=Atom', ' 14930 Body=Body', ' 9155 Other', ' 27055)']",[' Yes'],"[' 3231     (Eliminated', '    0 Frozen', ' 3231)']","[' 216      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.253021'],[' 0'], ,[' 316.996'],[' 0'],[' 6.01916'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28845e+08'],[' 5.03732e+07'],[' 0'],[' 2.1018e+10'],[' 0'],[' 0'],[' 647 '],[' 1141 '],[' 1437 '],[' 1750 '],[' 2234 '],[' 2614 '],[' 3005 '],[' 3656 '],[' 3 '],[' 5 ']
Solving...,TA52, , , , ,[' 1'],[' 499+'],[' 258'],"[' 532.149s (Solving', ' 531.02s 1st Model', ' 0.49s Unsat', ' 30.22s)']",[' 530.422s'], ,[' 42172428'],"[' 28825496 (Analyzed', ' 28798937)']","[' 56391    (Average', ' 510.70 Last', ' 203839)']",[' 1452.3  '],"[' 258      (Average Length', ' 186.33 Splits', ' 0)']","[' 28798937 (Deleted', ' 28440514)']","[' 14       (Ratio', '   0.00%)']","[' 2224     (Ratio', '   0.01%)']","[' 28798937 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28798937 (Average', '  1.43 Max', ' 1901 Sum', ' 41073718)']","[' 28798619 (Average', '  1.42 Max', ' 1822 Sum', ' 41021163 Ratio', '  99.87%)']","[' 318      (Average', ' 165.27 Max', ' 261 Sum', '  52555 Ratio', '   0.13%)']", ,[' 61948   '],[' 2352    '],[' 57198   '],[' 19404   '],"[' 51621    (Atom=Atom', ' 15026 Body=Body', ' 9323 Other', ' 27272)']",[' Yes'],"[' 3165     (Eliminated', '    0 Frozen', ' 3165)']","[' 290      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.192363'],[' 0'], ,[' 364.921'],[' 0'],[' 8.49478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08729e+08'],[' 4.44978e+07'],[' 0'],[' 2.62917e+10'],[' 0'],[' 0'],[' 570 '],[' 1154 '],[' 1482 '],[' 1948 '],[' 2348 '],[' 2787 '],[' 3139 '],[' 3460 '],[' 4 '],[' 4 ']
Solving...,TA53, , , , , ,[' 709'],[' 363'],"[' 411.571s (Solving', ' 410.27s 1st Model', ' 0.59s Unsat', ' 32.13s)']",[' 410.594s'], ,[' 39298077'],"[' 27389427 (Analyzed', ' 27354952)']","[' 51776    (Average', ' 528.33 Last', ' 75020)']",[' 1354.6  '],"[' 363      (Average Length', ' 239.02 Splits', ' 0)']","[' 27354952 (Deleted', ' 27014363)']","[' 26       (Ratio', '   0.00%)']","[' 1639     (Ratio', '   0.01%)']","[' 27354952 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27354952 (Average', '  1.40 Max', ' 1738 Sum', ' 38208483)']","[' 27354587 (Average', '  1.39 Max', ' 1738 Sum', ' 38127257 Ratio', '  99.79%)']","[' 365      (Average', ' 222.54 Max', ' 317 Sum', '  81226 Ratio', '   0.21%)']", ,[' 61298   '],[' 2248    '],[' 56687   '],[' 19110   '],"[' 50290    (Atom=Atom', ' 14715 Body=Body', ' 9011 Other', ' 26564)']",[' Yes'],"[' 3161     (Eliminated', '    0 Frozen', ' 3161)']","[' 255      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.238952'],[' 0'], ,[' 252.561'],[' 0'],[' 5.25741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01127e+08'],[' 4.07646e+07'],[' 0'],[' 1.82037e+10'],[' 0'],[' 0'],[' 472 '],[' 1025 '],[' 1298 '],[' 1781 '],[' 2155 '],[' 2659 '],[' 2949 '],[' 3332 '],[' 3 '],[' 5 ']
Solving...,TA54, , , , , ,[' 725'],[' 371'],"[' 528.503s (Solving', ' 527.21s 1st Model', ' 0.51s Unsat', ' 24.97s)']",[' 526.844s'], ,[' 49421604'],"[' 35872139 (Analyzed', ' 35862449)']","[' 69092    (Average', ' 519.05 Last', ' 17447)']",[' 1247.6  '],"[' 371      (Average Length', ' 242.99 Splits', ' 0)']","[' 35862449 (Deleted', ' 35401925)']","[' 10       (Ratio', '   0.00%)']","[' 1788     (Ratio', '   0.00%)']","[' 35862449 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35862449 (Average', '  1.34 Max', ' 1858 Sum', ' 48214810)']","[' 35862050 (Average', '  1.34 Max', ' 1672 Sum', ' 48112024 Ratio', '  99.79%)']","[' 399      (Average', ' 257.61 Max', ' 381 Sum', ' 102786 Ratio', '   0.21%)']", ,[' 61908   '],[' 2288    '],[' 57191   '],[' 19421   '],"[' 51000    (Atom=Atom', ' 14883 Body=Body', ' 9131 Other', ' 26986)']",[' Yes'],"[' 3209     (Eliminated', '    0 Frozen', ' 3209)']","[' 241      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.224911'],[' 0'], ,[' 313.393'],[' 0'],[' 6.76552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28241e+08'],[' 4.64767e+07'],[' 0'],[' 2.11915e+10'],[' 0'],[' 0'],[' 533 '],[' 997 '],[' 1346 '],[' 1697 '],[' 2097 '],[' 2438 '],[' 3161 '],[' 3524 '],[' 4 '],[' 4 ']
Solving...,TA55, , , , , ,[' 471'],[' 244'],"[' 628.154s (Solving', ' 627.14s 1st Model', ' 0.41s Unsat', ' 0.78s)']",[' 626.813s'], ,[' 65752976'],"[' 46198270 (Analyzed', ' 46187705)']","[' 85739    (Average', ' 538.70 Last', ' 104919)']",[' 1202.9  '],"[' 244      (Average Length', ' 189.38 Splits', ' 0)']","[' 46187705 (Deleted', ' 45657955)']","[' 16       (Ratio', '   0.00%)']","[' 2387     (Ratio', '   0.01%)']","[' 46187705 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 46187705 (Average', '  1.39 Max', ' 1621 Sum', ' 64293813)']","[' 46187236 (Average', '  1.39 Max', ' 1621 Sum', ' 64206844 Ratio', '  99.86%)']","[' 469      (Average', ' 185.43 Max', ' 273 Sum', '  86969 Ratio', '   0.14%)']", ,[' 61173   '],[' 2273    '],[' 56462   '],[' 18965   '],"[' 50347    (Atom=Atom', ' 14696 Body=Body', ' 9086 Other', ' 26565)']",[' Yes'],"[' 3069     (Eliminated', '    0 Frozen', ' 3069)']","[' 447      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.168717'],[' 0'], ,[' 365.917'],[' 0'],[' 9.76569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67484e+08'],[' 6.26202e+07'],[' 0'],[' 2.52053e+10'],[' 0'],[' 0'],[' 682 '],[' 1186 '],[' 1557 '],[' 1942 '],[' 2383 '],[' 2598 '],[' 3052 '],[' 3373 '],[' 5 '],[' 3 ']
Solving...,TA56, , , , ,[' 1'],[' 629+'],[' 323'],"[' 503.203s (Solving', ' 502.03s 1st Model', ' 0.47s Unsat', ' 0.08s)']",[' 502.031s'], ,[' 44481786'],"[' 31839457 (Analyzed', ' 31820214)']","[' 59611    (Average', ' 533.80 Last', ' 239997)']",[' 1289.3  '],"[' 323      (Average Length', ' 235.02 Splits', ' 0)']","[' 31820214 (Deleted', ' 31429297)']","[' 5        (Ratio', '   0.00%)']","[' 1707     (Ratio', '   0.01%)']","[' 31820214 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31820214 (Average', '  1.36 Max', ' 1904 Sum', ' 43297405)']","[' 31819778 (Average', '  1.36 Max', ' 1705 Sum', ' 43200980 Ratio', '  99.78%)']","[' 436      (Average', ' 221.16 Max', ' 330 Sum', '  96425 Ratio', '   0.22%)']", ,[' 61371   '],[' 2351    '],[' 56931   '],[' 19161   '],"[' 51734    (Atom=Atom', ' 15079 Body=Body', ' 9312 Other', ' 27343)']",[' Yes'],"[' 3225     (Eliminated', '    0 Frozen', ' 3225)']","[' 242      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.200939'],[' 0'], ,[' 320.325'],[' 0'],[' 8.17389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12413e+08'],[' 4.05798e+07'],[' 0'],[' 2.34461e+10'],[' 0'],[' 0'],[' 788 '],[' 1157 '],[' 1486 '],[' 2299 '],[' 2424 '],[' 2915 '],[' 3093 '],[' 3643 '],[' 4 '],[' 4 ']
Solving...,TA57, , , , , ,[' 679'],[' 348'],"[' 421.098s (Solving', ' 419.77s 1st Model', ' 0.59s Unsat', ' 41.75s)']",[' 420.000s'], ,[' 43394981'],"[' 28616984 (Analyzed', ' 28591253)']","[' 54409    (Average', ' 525.49 Last', ' 21523)']",[' 1321.7  '],"[' 348      (Average Length', ' 236.96 Splits', ' 0)']","[' 28591253 (Deleted', ' 28281520)']","[' 20       (Ratio', '   0.00%)']","[' 2023     (Ratio', '   0.01%)']","[' 28591253 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28591253 (Average', '  1.48 Max', ' 1941 Sum', ' 42302615)']","[' 28590858 (Average', '  1.48 Max', ' 1707 Sum', ' 42216035 Ratio', '  99.80%)']","[' 395      (Average', ' 219.19 Max', ' 348 Sum', '  86580 Ratio', '   0.20%)']", ,[' 61685   '],[' 2275    '],[' 56966   '],[' 19284   '],"[' 50707    (Atom=Atom', ' 14808 Body=Body', ' 9092 Other', ' 26807)']",[' Yes'],"[' 3174     (Eliminated', '    0 Frozen', ' 3174)']","[' 299      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.237864'],[' 0'], ,[' 254.651'],[' 0'],[' 5.88551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0771e+08'],[' 4.28727e+07'],[' 0'],[' 1.85884e+10'],[' 0'],[' 0'],[' 522 '],[' 1233 '],[' 1582 '],[' 1981 '],[' 2259 '],[' 2733 '],[' 3382 '],[' 3606 '],[' 3 '],[' 5 ']
Solving...,TA58, , , , ,[' 1'],[' 629+'],[' 323'],"[' 422.177s (Solving', ' 420.96s 1st Model', ' 0.49s Unsat', ' 43.84s)']",[' 421.344s'], ,[' 32894317'],"[' 22636005 (Analyzed', ' 22621163)']","[' 44792    (Average', ' 505.03 Last', ' 14383)']",[' 1298.5  '],"[' 323      (Average Length', ' 227.71 Splits', ' 0)']","[' 22621163 (Deleted', ' 22275483)']","[' 16       (Ratio', '   0.00%)']","[' 1457     (Ratio', '   0.01%)']","[' 22621163 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22621163 (Average', '  1.42 Max', ' 2178 Sum', ' 32074905)']","[' 22620872 (Average', '  1.42 Max', ' 1909 Sum', ' 32009549 Ratio', '  99.80%)']","[' 291      (Average', ' 224.59 Max', ' 339 Sum', '  65356 Ratio', '   0.20%)']", ,[' 61966   '],[' 2287    '],[' 57116   '],[' 19465   '],"[' 50783    (Atom=Atom', ' 14831 Body=Body', ' 9128 Other', ' 26824)']",[' Yes'],"[' 3163     (Eliminated', '    0 Frozen', ' 3163)']","[' 96       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.200349'],[' 0'], ,[' 278.41'],[' 0'],[' 6.68682'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36644e+07'],[' 3.0824e+07'],[' 0'],[' 2.07955e+10'],[' 0'],[' 0'],[' 555 '],[' 915 '],[' 1481 '],[' 1832 '],[' 2086 '],[' 2635 '],[' 3217 '],[' 3739 '],[' 3 '],[' 5 ']
Solving...,TA59, , , , ,[' 1'],[' 593+'],[' 305'],"[' 673.998s (Solving', ' 672.83s 1st Model', ' 0.51s Unsat', ' 47.56s)']",[' 673.188s'], ,[' 57285955'],"[' 40302927 (Analyzed', ' 40294392)']","[' 77162    (Average', ' 522.21 Last', ' 88301)']",[' 1263.1  '],"[' 305      (Average Length', ' 207.47 Splits', ' 0)']","[' 40294392 (Deleted', ' 39809763)']","[' 6        (Ratio', '   0.00%)']","[' 2548     (Ratio', '   0.01%)']","[' 40294392 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 40294392 (Average', '  1.39 Max', ' 1734 Sum', ' 55977931)']","[' 40293965 (Average', '  1.39 Max', ' 1648 Sum', ' 55889352 Ratio', '  99.84%)']","[' 427      (Average', ' 207.44 Max', ' 281 Sum', '  88579 Ratio', '   0.16%)']", ,[' 61531   '],[' 2287    '],[' 56878   '],[' 19177   '],"[' 50721    (Atom=Atom', ' 14813 Body=Body', ' 9128 Other', ' 26780)']",[' Yes'],"[' 3146     (Eliminated', '    0 Frozen', ' 3146)']","[' 396      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.206254'],[' 0'], ,[' 437.075'],[' 0'],[' 10.9329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48718e+08'],[' 5.75381e+07'],[' 0'],[' 3.10654e+10'],[' 0'],[' 0'],[' 507 '],[' 1036 '],[' 1518 '],[' 1914 '],[' 2328 '],[' 2620 '],[' 3016 '],[' 3441 '],[' 5 '],[' 3 ']
Solving...,TA60, , , , , ,[' 719'],[' 368'],"[' 347.813s (Solving', ' 346.48s 1st Model', ' 0.64s Unsat', ' 93.26s)']",[' 347.406s'], ,[' 35557560'],"[' 24010887 (Analyzed', ' 23995001)']","[' 43215    (Average', ' 555.25 Last', ' 42618)']",[' 1372.8  '],"[' 368      (Average Length', ' 243.55 Splits', ' 0)']","[' 23995001 (Deleted', ' 23725123)']","[' 23       (Ratio', '   0.00%)']","[' 1613     (Ratio', '   0.01%)']","[' 23995001 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23995001 (Average', '  1.44 Max', ' 1911 Sum', ' 34655930)']","[' 23994611 (Average', '  1.44 Max', ' 1817 Sum', ' 34568332 Ratio', '  99.75%)']","[' 390      (Average', ' 224.61 Max', ' 355 Sum', '  87598 Ratio', '   0.25%)']", ,[' 61995   '],[' 2342    '],[' 57355   '],[' 19506   '],"[' 51769    (Atom=Atom', ' 15096 Body=Body', ' 9293 Other', ' 27380)']",[' Yes'],"[' 3259     (Eliminated', '    0 Frozen', ' 3259)']","[' 259      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.239944'],[' 0'], ,[' 199.735'],[' 0'],[' 5.70895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.12039e+07'],[' 3.80827e+07'],[' 0'],[' 1.3726e+10'],[' 0'],[' 0'],[' 576 '],[' 1014 '],[' 1378 '],[' 1778 '],[' 2060 '],[' 2420 '],[' 2980 '],[' 3327 '],[' 2 '],[' 6 ']
