Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv16, ,[' 1'],[' 4599+'],[' 2301'],"[' 510.308s (Solving', ' 491.42s 1st Model', ' 412.15s Unsat', ' 0.00s)']",[' 509.016s'], ,[' 403775390'],"[' 870043   (Analyzed', ' 528451)']","[' 3196     (Average', ' 165.35 Last', ' 43150)']",[' 12742.0 '],"[' 2301     (Average Length', ' 1150.00 Splits', ' 0)']","[' 528451   (Deleted', ' 469421)']","[' 142      (Ratio', '   0.03%)']","[' 55474    (Ratio', '  10.50%)']","[' 528451   (Average Length', '   40.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 528451   (Average', ' 712.68 Max', ' 12164 Sum', ' 376615453)']","[' 528451   (Average', ' 712.68 Max', ' 12164 Sum', ' 376615453 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 69520   '],[' 12750   '],[' 71319   '],[' 52250   '],"[' 156746   (Atom=Atom', ' 39998 Body=Body', ' 25450 Other', ' 91298)']",[' Yes'],"[' 15049    (Eliminated', '    0 Frozen', ' 15049)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95939'],[' 0'], ,[' 135.39'],[' 0'],[' 20.6013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.8699e+08'],[' 9.27014e+08'],[' 0'],[' 2.41491e+09'],[' 0'],[' 0'],3070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv17, ,[' 1'],[' 4123+'],[' 2063'],"[' 143.784s (Solving', ' 126.81s 1st Model', ' 48.84s Unsat', ' 0.00s)']",[' 143.266s'], ,[' 148254145'],"[' 499456   (Analyzed', ' 116043)']","[' 1747     (Average', ' 66.42 Last', ' 1413)']",[' 12861.9 '],"[' 2063     (Average Length', ' 1031.00 Splits', ' 0)']","[' 116043   (Deleted', ' 97577)']","[' 41       (Ratio', '   0.04%)']","[' 15975    (Ratio', '  13.77%)']","[' 116043   (Average Length', '   40.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 116043   (Average', ' 1063.77 Max', ' 12160 Sum', ' 123443000)']","[' 116042   (Average', ' 1063.77 Max', ' 12160 Sum', ' 123442889 Ratio', ' 100.00%)']","[' 1        (Average', ' 111.00 Max', ' 111 Sum', '    111 Ratio', '   0.00%)']", ,[' 69282   '],[' 12750   '],[' 70843   '],[' 52012   '],"[' 156032   (Atom=Atom', ' 39760 Body=Body', ' 25450 Other', ' 90822)']",[' Yes'],"[' 14811    (Eliminated', '    0 Frozen', ' 14811)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.64066'],[' 0'], ,[' 38.2456'],[' 0'],[' 6.69154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01064e+08'],[' 1.86727e+08'],[' 0'],[' 6.45966e+08'],[' 0'],[' 0'],3123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv18, ,[' 1'],[' 3371+'],[' 1687'],"[' 308.271s (Solving', ' 294.89s 1st Model', ' 221.64s Unsat', ' 0.00s)']",[' 307.078s'], ,[' 285825208'],"[' 610492   (Analyzed', ' 327774)']","[' 2263     (Average', ' 144.84 Last', ' 73304)']",[' 12736.6 '],"[' 1687     (Average Length', ' 843.00 Splits', ' 0)']","[' 327774   (Deleted', ' 284146)']","[' 91       (Ratio', '   0.03%)']","[' 39678    (Ratio', '  12.11%)']","[' 327774   (Average Length', '   39.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 327774   (Average', ' 809.69 Max', ' 12171 Sum', ' 265394601)']","[' 327774   (Average', ' 809.69 Max', ' 12171 Sum', ' 265394601 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68906   '],[' 12750   '],[' 70091   '],[' 51636   '],"[' 154904   (Atom=Atom', ' 39384 Body=Body', ' 25450 Other', ' 90070)']",[' Yes'],"[' 14435    (Eliminated', '    0 Frozen', ' 14435)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16689'],[' 0'], ,[' 83.2032'],[' 0'],[' 13.9573'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66815e+08'],[' 5.29991e+08'],[' 0'],[' 1.37631e+09'],[' 0'],[' 0'],3026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv19, ,[' 1'],[' 3749+'],[' 1876'],"[' 181.599s (Solving', ' 166.31s 1st Model', ' 90.61s Unsat', ' 0.00s)']",[' 180.875s'], ,[' 189101068'],"[' 469752   (Analyzed', ' 180882)']","[' 1898     (Average', ' 95.30 Last', ' 18535)']",[' 12764.9 '],"[' 1876     (Average Length', ' 937.50 Splits', ' 0)']","[' 180882   (Deleted', ' 153125)']","[' 62       (Ratio', '   0.03%)']","[' 23056    (Ratio', '  12.75%)']","[' 180882   (Average Length', '   40.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 180882   (Average', ' 920.95 Max', ' 12166 Sum', ' 166583922)']","[' 180882   (Average', ' 920.95 Max', ' 12166 Sum', ' 166583922 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 69095   '],[' 12750   '],[' 70469   '],[' 51825   '],"[' 155471   (Atom=Atom', ' 39573 Body=Body', ' 25450 Other', ' 90448)']",[' Yes'],"[' 14624    (Eliminated', '    0 Frozen', ' 14624)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.39422'],[' 0'], ,[' 49.3335'],[' 0'],[' 8.68035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8696e+08'],[' 2.66517e+08'],[' 0'],[' 8.46205e+08'],[' 0'],[' 0'],3234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv20, ,[' 1'],[' 3519+'],[' 1761'],"[' 201.436s (Solving', ' 187.26s 1st Model', ' 112.41s Unsat', ' 0.00s)']",[' 200.313s'], ,[' 213206756'],"[' 550029   (Analyzed', ' 200226)']","[' 1984     (Average', ' 100.92 Last', ' 27934)']",[' 12740.7 '],"[' 1761     (Average Length', ' 880.00 Splits', ' 0)']","[' 200226   (Deleted', ' 170866)']","[' 54       (Ratio', '   0.03%)']","[' 25675    (Ratio', '  12.82%)']","[' 200226   (Average Length', '   40.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 200226   (Average', ' 958.51 Max', ' 12164 Sum', ' 191918915)']","[' 200226   (Average', ' 958.51 Max', ' 12164 Sum', ' 191918915 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 68980   '],[' 12750   '],[' 70239   '],[' 51710   '],"[' 155126   (Atom=Atom', ' 39458 Body=Body', ' 25450 Other', ' 90218)']",[' Yes'],"[' 14509    (Eliminated', '    0 Frozen', ' 14509)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22956'],[' 0'], ,[' 55.1894'],[' 0'],[' 9.92742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3049e+08'],[' 3.0802e+08'],[' 0'],[' 9.39589e+08'],[' 0'],[' 0'],3040
