Optimal Found Or Timeout,Instances,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 2386,Completion Time for Window 2 is 4795
Models       ,swv11,"[' 627.777s (Solving', ' 620.97s 1st Model', ' 490.21s Unsat', ' 0.00s)']",[' 624.656s'], ,[' 286097279'],"[' 1857594  (Analyzed', ' 1243912)']","[' 4604     (Average', ' 270.18 Last', ' 98089)']",[' 5971.9  '],"[' 1272     (Average Length', ' 628.81 Splits', ' 0)']","[' 1243912  (Deleted', ' 1140577)']","[' 196      (Ratio', '   0.02%)']","[' 92314    (Ratio', '   7.42%)']","[' 1243912  (Average Length', '   36.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1243912  (Average', ' 224.15 Max', ' 6735 Sum', ' 278823866)']","[' 1243219  (Average', ' 223.81 Max', ' 6222 Sum', ' 278400308 Ratio', '  99.85%)']","[' 693      (Average', ' 611.19 Max', ' 4206 Sum', ' 423558 Ratio', '   0.15%)']", ,[' 75088   '],[' 10616   '],[' 75819   '],[' 54934   '],"[' 164798   (Atom=Atom', ' 44816 Body=Body', ' 23316 Other', ' 96666)']",[' Yes'],"[' 11847    (Eliminated', '    0 Frozen', ' 11847)']","[' 7255     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.37642'],[' 0'], ,[' 199.86'],[' 0'],[' 17.652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32869e+09'],[' 1.26018e+09'],[' 0'],[' 8.56722e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv12,"[' 408.969s (Solving', ' 402.61s 1st Model', ' 270.83s Unsat', ' 0.00s)']",[' 406.469s'], ,[' 217738328'],"[' 1686332  (Analyzed', ' 892091)']","[' 3442     (Average', ' 259.18 Last', ' 92165)']",[' 6148.3  '],"[' 1036     (Average Length', ' 510.29 Splits', ' 0)']","[' 892091   (Deleted', ' 812518)']","[' 156      (Ratio', '   0.02%)']","[' 69263    (Ratio', '   7.76%)']","[' 892091   (Average Length', '   37.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 892091   (Average', ' 236.82 Max', ' 6989 Sum', ' 211261805)']","[' 891408   (Average', ' 236.44 Max', ' 6499 Sum', ' 210927135 Ratio', '  99.84%)']","[' 683      (Average', ' 490.00 Max', ' 490 Sum', ' 334670 Ratio', '   0.16%)']", ,[' 74348   '],[' 10448   '],[' 74847   '],[' 54026   '],"[' 162074   (Atom=Atom', ' 44076 Body=Body', ' 23148 Other', ' 94850)']",[' Yes'],"[' 11447    (Eliminated', '    0 Frozen', ' 11447)']","[' 5129     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21577'],[' 0'], ,[' 136.581'],[' 0'],[' 13.2779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.17629e+08'],[' 7.70098e+08'],[' 0'],[' 5.90146e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv13,"[' 231.125s (Solving', ' 225.01s 1st Model', ' 94.84s Unsat', ' 0.00s)']",[' 230.750s'], ,[' 167390186'],"[' 1347924  (Analyzed', ' 643049)']","[' 2582     (Average', ' 249.05 Last', ' 58497)']",[' 6091.7  '],"[' 998      (Average Length', ' 495.85 Splits', ' 0)']","[' 643049   (Deleted', ' 578270)']","[' 188      (Ratio', '   0.03%)']","[' 55823    (Ratio', '   8.68%)']","[' 643049   (Average Length', '   38.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 643049   (Average', ' 250.78 Max', ' 6547 Sum', ' 161263772)']","[' 642415   (Average', ' 250.33 Max', ' 6086 Sum', ' 160971498 Ratio', '  99.82%)']","[' 634      (Average', ' 461.00 Max', ' 461 Sum', ' 292274 Ratio', '   0.18%)']", ,[' 74322   '],[' 10452   '],[' 74800   '],[' 54004   '],"[' 162008   (Atom=Atom', ' 44050 Body=Body', ' 23152 Other', ' 94806)']",[' Yes'],"[' 11430    (Eliminated', '    0 Frozen', ' 11430)']","[' 5672     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.10472'],[' 0'], ,[' 77.0916'],[' 0'],[' 8.94678'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85905e+08'],[' 4.55623e+08'],[' 0'],[' 3.42799e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv14,"[' 490.501s (Solving', ' 484.54s 1st Model', ' 354.54s Unsat', ' 0.00s)']",[' 489.625s'], ,[' 261379633'],"[' 1675717  (Analyzed', ' 1126050)']","[' 3950     (Average', ' 285.08 Last', ' 97822)']",[' 5715.2  '],"[' 1101     (Average Length', ' 544.31 Splits', ' 0)']","[' 1126050  (Deleted', ' 1029516)']","[' 183      (Ratio', '   0.02%)']","[' 86471    (Ratio', '   7.68%)']","[' 1126050  (Average Length', '   36.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1126050  (Average', ' 226.69 Max', ' 6500 Sum', ' 255261499)']","[' 1125474  (Average', ' 226.38 Max', ' 6177 Sum', ' 254920517 Ratio', '  99.87%)']","[' 576      (Average', ' 591.98 Max', ' 3457 Sum', ' 340982 Ratio', '   0.13%)']", ,[' 74245   '],[' 10392   '],[' 74816   '],[' 53867   '],"[' 161597   (Atom=Atom', ' 43973 Body=Body', ' 23092 Other', ' 94532)']",[' Yes'],"[' 11463    (Eliminated', '    0 Frozen', ' 11463)']","[' 7640     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16301'],[' 0'], ,[' 155.438'],[' 0'],[' 15.3057'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13107e+09'],[' 1.07054e+09'],[' 0'],[' 6.81879e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv15,"[' 365.273s (Solving', ' 352.54s 1st Model', ' 211.36s Unsat', ' 0.00s)']",[' 357.188s'], ,[' 157906025'],"[' 963462   (Analyzed', ' 451907)']","[' 2409     (Average', ' 187.59 Last', ' 35556)']",[' 5967.8  '],"[' 1093     (Average Length', ' 537.82 Splits', ' 0)']","[' 451907   (Deleted', ' 393442)']","[' 121      (Ratio', '   0.03%)']","[' 49814    (Ratio', '  11.02%)']","[' 451907   (Average Length', '   36.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 451907   (Average', ' 335.70 Max', ' 6656 Sum', ' 151706977)']","[' 451199   (Average', ' 334.87 Max', ' 6441 Sum', ' 151328905 Ratio', '  99.75%)']","[' 708      (Average', ' 534.00 Max', ' 534 Sum', ' 378072 Ratio', '   0.25%)']", ,[' 74909   '],[' 10616   '],[' 75456   '],[' 54755   '],"[' 164261   (Atom=Atom', ' 44637 Body=Body', ' 23316 Other', ' 96308)']",[' Yes'],"[' 11663    (Eliminated', '    0 Frozen', ' 11663)']","[' 6957     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.65353'],[' 0'], ,[' 113.296'],[' 0'],[' 14.0986'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.5283e+08'],[' 4.27518e+08'],[' 0'],[' 2.00668e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv16,"[' 455.334s (Solving', ' 442.02s 1st Model', ' 292.36s Unsat', ' 0.00s)']",[' 437.750s'], ,[' 90839401'],"[' 1352572  (Analyzed', ' 736863)']","[' 3032     (Average', ' 243.03 Last', ' 61062)']",[' 4177.5  '],"[' 1260     (Average Length', ' 619.17 Splits', ' 0)']","[' 736863   (Deleted', ' 695769)']","[' 99       (Ratio', '   0.01%)']","[' 31209    (Ratio', '   4.24%)']","[' 736863   (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 736863   (Average', ' 116.56 Max', ' 4603 Sum', ' 85892010)']","[' 736367   (Average', ' 116.19 Max', ' 4042 Sum', ' 85613754 Ratio', '  99.68%)']","[' 496      (Average', ' 561.00 Max', ' 561 Sum', ' 278256 Ratio', '   0.32%)']", ,[' 62884   '],[' 6552    '],[' 63584   '],[' 38666   '],"[' 115994   (Atom=Atom', ' 32612 Body=Body', ' 19252 Other', ' 64130)']",[' Yes'],"[' 7752     (Eliminated', '    0 Frozen', ' 7752)']","[' 2482     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.16084'],[' 0'], ,[' 202.373'],[' 0'],[' 14.0944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74611e+08'],[' 2.46789e+08'],[' 0'],[' 4.64345e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv17,"[' 170.223s (Solving', ' 163.33s 1st Model', ' 27.06s Unsat', ' 0.00s)']",[' 166.891s'], ,[' 71187168'],"[' 1420921  (Analyzed', ' 694981)']","[' 2395     (Average', ' 290.18 Last', ' 20201)']",[' 4315.3  '],"[' 1026     (Average Length', ' 509.51 Splits', ' 0)']","[' 694981   (Deleted', ' 658327)']","[' 111      (Ratio', '   0.02%)']","[' 25458    (Ratio', '   3.66%)']","[' 694981   (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 694981   (Average', ' 95.96 Max', ' 4758 Sum', ' 66692857)']","[' 694488   (Average', ' 95.63 Max', ' 4285 Sum', ' 66459668 Ratio', '  99.65%)']","[' 493      (Average', ' 473.00 Max', ' 473 Sum', ' 233189 Ratio', '   0.35%)']", ,[' 62944   '],[' 6650    '],[' 63446   '],[' 38824   '],"[' 116468   (Atom=Atom', ' 32672 Body=Body', ' 19350 Other', ' 64446)']",[' Yes'],"[' 7652     (Eliminated', '    0 Frozen', ' 7652)']","[' 2161     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6572'],[' 0'], ,[' 78.4097'],[' 0'],[' 5.82349'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76934e+08'],[' 1.58055e+08'],[' 0'],[' 4.16035e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv18,"[' 157.601s (Solving', ' 153.17s 1st Model', ' 24.64s Unsat', ' 0.00s)']",[' 157.359s'], ,[' 98136034'],"[' 1429997  (Analyzed', ' 904281)']","[' 2748     (Average', ' 329.07 Last', ' 39607)']",[' 4186.2  '],"[' 1060     (Average Length', ' 520.44 Splits', ' 0)']","[' 904281   (Deleted', ' 854744)']","[' 137      (Ratio', '   0.02%)']","[' 35509    (Ratio', '   3.93%)']","[' 904281   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 904281   (Average', ' 103.56 Max', ' 4144 Sum', ' 93645481)']","[' 903834   (Average', ' 103.29 Max', ' 3608 Sum', ' 93404938 Ratio', '  99.74%)']","[' 447      (Average', ' 538.13 Max', ' 1487 Sum', ' 240543 Ratio', '   0.26%)']", ,[' 63044   '],[' 6672    '],[' 63559   '],[' 38946   '],"[' 116834   (Atom=Atom', ' 32772 Body=Body', ' 19372 Other', ' 64690)']",[' Yes'],"[' 7687     (Eliminated', '    0 Frozen', ' 7687)']","[' 3868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.926315'],[' 0'], ,[' 67.6728'],[' 0'],[' 5.09025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.94095e+08'],[' 2.63744e+08'],[' 0'],[' 4.35906e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv19,"[' 156.994s (Solving', ' 152.33s 1st Model', ' 23.55s Unsat', ' 0.00s)']",[' 156.641s'], ,[' 98600774'],"[' 1403782  (Analyzed', ' 904121)']","[' 2997     (Average', ' 301.68 Last', ' 31471)']",[' 3956.7  '],"[' 1163     (Average Length', ' 574.41 Splits', ' 0)']","[' 904121   (Deleted', ' 857379)']","[' 156      (Ratio', '   0.02%)']","[' 34782    (Ratio', '   3.85%)']","[' 904121   (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 904121   (Average', ' 104.31 Max', ' 4383 Sum', ' 94304740)']","[' 903688   (Average', ' 104.01 Max', ' 3808 Sum', ' 94035918 Ratio', '  99.71%)']","[' 433      (Average', ' 620.84 Max', ' 2278 Sum', ' 268822 Ratio', '   0.29%)']", ,[' 62925   '],[' 6598    '],[' 63549   '],[' 38753   '],"[' 116255   (Atom=Atom', ' 32653 Body=Body', ' 19298 Other', ' 64304)']",[' Yes'],"[' 7722     (Eliminated', '    0 Frozen', ' 7722)']","[' 4127     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.983185'],[' 0'], ,[' 67.8808'],[' 0'],[' 5.01189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89448e+08'],[' 2.59444e+08'],[' 0'],[' 4.39813e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,swv20,"[' 152.078s (Solving', ' 147.48s 1st Model', ' 20.30s Unsat', ' 0.00s)']",[' 151.766s'], ,[' 95940154'],"[' 1232920  (Analyzed', ' 892273)']","[' 2868     (Average', ' 311.11 Last', ' 10694)']",[' 3876.5  '],"[' 1119     (Average Length', ' 552.64 Splits', ' 0)']","[' 892273   (Deleted', ' 847377)']","[' 142      (Ratio', '   0.02%)']","[' 33657    (Ratio', '   3.77%)']","[' 892273   (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 892273   (Average', ' 103.11 Max', ' 4172 Sum', ' 92000706)']","[' 891865   (Average', ' 102.85 Max', ' 4024 Sum', ' 91767738 Ratio', '  99.75%)']","[' 408      (Average', ' 571.00 Max', ' 571 Sum', ' 232968 Ratio', '   0.25%)']", ,[' 62737   '],[' 6550    '],[' 63308   '],[' 38517   '],"[' 115547   (Atom=Atom', ' 32465 Body=Body', ' 19250 Other', ' 63832)']",[' Yes'],"[' 7621     (Eliminated', '    0 Frozen', ' 7621)']","[' 4028     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.974754'],[' 0'], ,[' 66.2562'],[' 0'],[' 4.98476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.84158e+08'],[' 2.55864e+08'],[' 0'],[' 4.20595e+09'],[' 0'],[' 0'], ,[' '],[' ']
