Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 
Solving...,TA31, , ,[' 1161'],[' 585'],"[' 72.261s (Solving', ' 70.86s 1st Model', ' 0.86s Unsat', ' 13.45s)']",[' 72.109s'], ,[' 9031268 '],"[' 5380265  (Analyzed', ' 5318707)']","[' 10711    (Average', ' 496.56 Last', ' 484)']",[' 1212.5  '],"[' 585      (Average Length', ' 280.43 Splits', ' 0)']","[' 5318707  (Deleted', ' 5222979)']","[' 28       (Ratio', '   0.00%)']","[' 1227     (Ratio', '   0.02%)']","[' 5318707  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5318707  (Average', '  1.56 Max', ' 1414 Sum', ' 8282931)']","[' 5318603  (Average', '  1.55 Max', ' 1414 Sum', ' 8263890 Ratio', '  99.77%)']","[' 104      (Average', ' 183.09 Max', ' 414 Sum', '  19041 Ratio', '   0.23%)']", ,[' 32249   '],[' 2080    '],[' 32349   '],[' 17578   '],"[' 52730    (Atom=Atom', ' 15946 Body=Body', ' 9025 Other', ' 27759)']",[' Yes'],"[' 2630     (Eliminated', '    0 Frozen', ' 2630)']","[' 51       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.310651'],[' 0'], ,[' 42.7804'],[' 0'],[' 1.28151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58002e+07'],[' 1.36422e+07'],[' 0'],[' 3.99913e+09'],[' 0'],[' 0'],[' 714 '],[' 1195 '],[' 1748 '],[' 2270 ']
Solving...,TA32, , ,[' 971'],[' 490'],"[' 114.029s (Solving', ' 112.95s 1st Model', ' 0.79s Unsat', ' 1.91s)']",[' 113.844s'], ,[' 9048750 '],"[' 3981840  (Analyzed', ' 3870597)']","[' 8534     (Average', ' 453.55 Last', ' 6636)']",[' 1213.6  '],"[' 490      (Average Length', ' 240.51 Splits', ' 0)']","[' 3870597  (Deleted', ' 3795162)']","[' 21       (Ratio', '   0.00%)']","[' 1663     (Ratio', '   0.04%)']","[' 3870597  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3870597  (Average', '  2.16 Max', ' 1385 Sum', ' 8358949)']","[' 3870459  (Average', '  2.15 Max', ' 1385 Sum', ' 8326282 Ratio', '  99.61%)']","[' 138      (Average', ' 236.72 Max', ' 322 Sum', '  32667 Ratio', '   0.39%)']", ,[' 32693   '],[' 2136    '],[' 32719   '],[' 17911   '],"[' 53729    (Atom=Atom', ' 16223 Body=Body', ' 9081 Other', ' 28425)']",[' Yes'],"[' 2612     (Eliminated', '    0 Frozen', ' 2612)']","[' 263      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.279375'],[' 0'], ,[' 90.6112'],[' 0'],[' 1.82533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61942e+07'],[' 1.55854e+07'],[' 0'],[' 1.07606e+10'],[' 0'],[' 0'],[' 625 '],[' 1273 '],[' 2047 '],[' 2617 ']
Solving...,TA33, , ,[' 1047'],[' 528'],"[' 115.736s (Solving', ' 114.62s 1st Model', ' 0.59s Unsat', ' 57.80s)']",[' 115.422s'], ,[' 9086793 '],"[' 4204330  (Analyzed', ' 4162189)']","[' 8962     (Average', ' 464.43 Last', ' 177)']",[' 1120.6  '],"[' 528      (Average Length', ' 257.47 Splits', ' 0)']","[' 4162189  (Deleted', ' 4097089)']","[' 43       (Ratio', '   0.00%)']","[' 2327     (Ratio', '   0.06%)']","[' 4162189  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4162189  (Average', '  2.04 Max', ' 1306 Sum', ' 8497699)']","[' 4161988  (Average', '  2.03 Max', ' 1306 Sum', ' 8459110 Ratio', '  99.55%)']","[' 201      (Average', ' 191.99 Max', ' 361 Sum', '  38589 Ratio', '   0.45%)']", ,[' 32180   '],[' 2095    '],[' 32237   '],[' 17394   '],"[' 52178    (Atom=Atom', ' 15747 Body=Body', ' 9040 Other', ' 27391)']",[' Yes'],"[' 2602     (Eliminated', '    0 Frozen', ' 2602)']","[' 410      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.279442'],[' 0'], ,[' 89.7681'],[' 0'],[' 1.7888'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66444e+07'],[' 1.60912e+07'],[' 0'],[' 1.07853e+10'],[' 0'],[' 0'],[' 635 '],[' 1448 '],[' 2000 '],[' 2666 ']
Solving...,TA34, ,[' 1'],[' 1023+'],[' 516'],"[' 118.276s (Solving', ' 117.12s 1st Model', ' 0.81s Unsat', ' 6.47s)']",[' 118.125s'], ,[' 10754450'],"[' 6394142  (Analyzed', ' 6353257)']","[' 12347    (Average', ' 514.56 Last', ' 3022)']",[' 1149.1  '],"[' 516      (Average Length', ' 249.86 Splits', ' 0)']","[' 6353257  (Deleted', ' 6252451)']","[' 33       (Ratio', '   0.00%)']","[' 1425     (Ratio', '   0.02%)']","[' 6353257  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6353257  (Average', '  1.59 Max', ' 1294 Sum', ' 10120012)']","[' 6353068  (Average', '  1.59 Max', ' 1294 Sum', ' 10089807 Ratio', '  99.70%)']","[' 189      (Average', ' 159.81 Max', ' 346 Sum', '  30205 Ratio', '   0.30%)']", ,[' 31889   '],[' 2054    '],[' 31933   '],[' 17095   '],"[' 51281    (Atom=Atom', ' 15489 Body=Body', ' 8999 Other', ' 26793)']",[' Yes'],"[' 2548     (Eliminated', '    0 Frozen', ' 2548)']","[' 160      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.296698'],[' 0'], ,[' 81.717'],[' 0'],[' 1.70004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24563e+07'],[' 1.68893e+07'],[' 0'],[' 1.00313e+10'],[' 0'],[' 0'],[' 712 '],[' 1248 '],[' 1773 '],[' 2454 ']
Solving...,TA35, ,[' 1'],[' 893+'],[' 451'],"[' 180.981s (Solving', ' 180.01s 1st Model', ' 0.72s Unsat', ' 15.22s)']",[' 180.844s'], ,[' 13360759'],"[' 8492982  (Analyzed', ' 8462449)']","[' 17725    (Average', ' 477.43 Last', ' 19533)']",[' 1098.9  '],"[' 451      (Average Length', ' 219.47 Splits', ' 0)']","[' 8462449  (Deleted', ' 8312269)']","[' 22       (Ratio', '   0.00%)']","[' 1601     (Ratio', '   0.02%)']","[' 8462449  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8462449  (Average', '  1.50 Max', ' 1341 Sum', ' 12735347)']","[' 8462323  (Average', '  1.50 Max', ' 1341 Sum', ' 12717725 Ratio', '  99.86%)']","[' 126      (Average', ' 139.86 Max', ' 334 Sum', '  17622 Ratio', '   0.14%)']", ,[' 31984   '],[' 2045    '],[' 31968   '],[' 17057   '],"[' 51167    (Atom=Atom', ' 15460 Body=Body', ' 8990 Other', ' 26717)']",[' Yes'],"[' 2479     (Eliminated', '    0 Frozen', ' 2479)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.248894'],[' 0'], ,[' 131.944'],[' 0'],[' 2.70129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.89446e+07'],[' 1.88831e+07'],[' 0'],[' 1.64118e+10'],[' 0'],[' 0'],[' 604 '],[' 1185 '],[' 1716 '],[' 2551 ']
Solving...,TA36, , ,[' 985'],[' 497'],"[' 116.368s (Solving', ' 115.15s 1st Model', ' 0.73s Unsat', ' 4.05s)']",[' 116.281s'], ,[' 10516676'],"[' 6800450  (Analyzed', ' 6764954)']","[' 14076    (Average', ' 480.60 Last', ' 247)']",[' 1084.1  '],"[' 497      (Average Length', ' 236.61 Splits', ' 0)']","[' 6764954  (Deleted', ' 6638209)']","[' 26       (Ratio', '   0.00%)']","[' 1393     (Ratio', '   0.02%)']","[' 6764954  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6764954  (Average', '  1.46 Max', ' 1320 Sum', ' 9891941)']","[' 6764818  (Average', '  1.46 Max', ' 1320 Sum', ' 9871913 Ratio', '  99.80%)']","[' 136      (Average', ' 147.26 Max', ' 349 Sum', '  20028 Ratio', '   0.20%)']", ,[' 31950   '],[' 2030    '],[' 31968   '],[' 17032   '],"[' 51092    (Atom=Atom', ' 15450 Body=Body', ' 8975 Other', ' 26667)']",[' Yes'],"[' 2498     (Eliminated', '    0 Frozen', ' 2498)']","[' 82       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.261597'],[' 0'], ,[' 77.882'],[' 0'],[' 1.78031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.19571e+07'],[' 1.61629e+07'],[' 0'],[' 8.53121e+09'],[' 0'],[' 0'],[' 715 '],[' 1220 '],[' 1924 '],[' 2540 ']
Solving...,TA37, ,[' 1'],[' 1097+'],[' 553'],"[' 115.593s (Solving', ' 114.37s 1st Model', ' 0.65s Unsat', ' 3.98s)']",[' 115.313s'], ,[' 5386072 '],"[' 2863485  (Analyzed', ' 2807460)']","[' 6537     (Average', ' 429.47 Last', ' 13519)']",[' 1157.7  '],"[' 553      (Average Length', ' 269.22 Splits', ' 0)']","[' 2807460  (Deleted', ' 2746571)']","[' 30       (Ratio', '   0.00%)']","[' 1295     (Ratio', '   0.05%)']","[' 2807460  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2807460  (Average', '  1.70 Max', ' 1370 Sum', ' 4786459)']","[' 2807349  (Average', '  1.70 Max', ' 1370 Sum', ' 4761246 Ratio', '  99.47%)']","[' 111      (Average', ' 227.14 Max', ' 413 Sum', '  25213 Ratio', '   0.53%)']", ,[' 31960   '],[' 2041    '],[' 32040   '],[' 17313   '],"[' 51935    (Atom=Atom', ' 15720 Body=Body', ' 8986 Other', ' 27229)']",[' Yes'],"[' 2571     (Eliminated', '    0 Frozen', ' 2571)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.29701'],[' 0'], ,[' 96.6224'],[' 0'],[' 1.67598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66887e+07'],[' 9.65072e+06'],[' 0'],[' 1.38408e+10'],[' 0'],[' 0'],[' 563 '],[' 1106 '],[' 1663 '],[' 2295 ']
Solving...,TA38, , ,[' 981'],[' 495'],"[' 93.852s (Solving', ' 93.02s 1st Model', ' 0.69s Unsat', ' 36.54s)']",[' 93.656s'], ,[' 6163770 '],"[' 3681348  (Analyzed', ' 3648981)']","[' 8293     (Average', ' 440.01 Last', ' 810)']",[' 1050.3  '],"[' 495      (Average Length', ' 239.81 Splits', ' 0)']","[' 3648981  (Deleted', ' 3581011)']","[' 44       (Ratio', '   0.00%)']","[' 1430     (Ratio', '   0.04%)']","[' 3648981  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3648981  (Average', '  1.56 Max', ' 1210 Sum', ' 5689128)']","[' 3648744  (Average', '  1.54 Max', ' 1210 Sum', ' 5636680 Ratio', '  99.08%)']","[' 237      (Average', ' 221.30 Max', ' 369 Sum', '  52448 Ratio', '   0.92%)']", ,[' 31691   '],[' 2024    '],[' 31716   '],[' 17014   '],"[' 51038    (Atom=Atom', ' 15438 Body=Body', ' 8969 Other', ' 26631)']",[' Yes'],"[' 2499     (Eliminated', '    0 Frozen', ' 2499)']","[' 158      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.253782'],[' 0'], ,[' 70.9242'],[' 0'],[' 1.29938'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90768e+07'],[' 1.03424e+07'],[' 0'],[' 8.35443e+09'],[' 0'],[' 0'],[' 667 '],[' 1200 '],[' 1777 '],[' 2366 ']
Solving...,TA39, , ,[' 867'],[' 438'],"[' 189.520s (Solving', ' 188.61s 1st Model', ' 0.67s Unsat', ' 23.17s)']",[' 189.391s'], ,[' 18192826'],"[' 9714249  (Analyzed', ' 9678184)']","[' 19372    (Average', ' 499.60 Last', ' 6552)']",[' 1054.5  '],"[' 438      (Average Length', ' 213.65 Splits', ' 0)']","[' 9678184  (Deleted', ' 9538873)']","[' 19       (Ratio', '   0.00%)']","[' 2270     (Ratio', '   0.02%)']","[' 9678184  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9678184  (Average', '  1.81 Max', ' 1240 Sum', ' 17511003)']","[' 9677973  (Average', '  1.81 Max', ' 1240 Sum', ' 17472421 Ratio', '  99.78%)']","[' 211      (Average', ' 182.85 Max', ' 312 Sum', '  38582 Ratio', '   0.22%)']", ,[' 32139   '],[' 2092    '],[' 32106   '],[' 17313   '],"[' 51935    (Atom=Atom', ' 15669 Body=Body', ' 9037 Other', ' 27229)']",[' Yes'],"[' 2509     (Eliminated', '    0 Frozen', ' 2509)']","[' 359      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.239029'],[' 0'], ,[' 137.658'],[' 0'],[' 2.95501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.06014e+07'],[' 2.64021e+07'],[' 0'],[' 1.60221e+10'],[' 0'],[' 0'],[' 840 '],[' 1513 '],[' 2226 '],[' 2689 ']
Solving...,TA40, , ,[' 1059'],[' 534'],"[' 24.906s (Solving', ' 23.57s 1st Model', ' 0.70s Unsat', ' 21.04s)']",[' 24.672s'], ,[' 1733751 '],"[' 510116   (Analyzed', ' 474793)']","[' 1598     (Average', ' 297.12 Last', ' 904)']",[' 1153.0  '],"[' 534      (Average Length', ' 257.66 Splits', ' 0)']","[' 474793   (Deleted', ' 459263)']","[' 40       (Ratio', '   0.01%)']","[' 1083     (Ratio', '   0.23%)']","[' 474793   (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 474793   (Average', '  2.59 Max', ' 1380 Sum', ' 1230032)']","[' 474667   (Average', '  2.55 Max', ' 1380 Sum', ' 1213039 Ratio', '  98.62%)']","[' 126      (Average', ' 134.87 Max', ' 248 Sum', '  16993 Ratio', '   1.38%)']", ,[' 31911   '],[' 2016    '],[' 31973   '],[' 17049   '],"[' 51143    (Atom=Atom', ' 15481 Body=Body', ' 8961 Other', ' 26701)']",[' Yes'],"[' 2528     (Eliminated', '    0 Frozen', ' 2528)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.309694'],[' 0'], ,[' 18.9733'],[' 0'],[' 0.342869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.25894e+06'],[' 4.81021e+06'],[' 0'],[' 2.80123e+09'],[' 0'],[' 0'],[' 525 '],[' 1104 '],[' 1676 '],[' 2310 ']
