Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 7885+'],[' 3948'],"[' 1016.024s (Solving', ' 952.11s 1st Model', ' 365.15s Unsat', ' 0.02s)']",[' 1011.141s'], ,[' 450250686'],"[' 5087749  (Analyzed', ' 3950597)']","[' 9930     (Average', ' 397.84 Last', ' 77327)']",[' 8778.2  '],"[' 3948     (Average Length', ' 1793.69 Splits', ' 0)']","[' 3950597  (Deleted', ' 3830483)']","[' 199      (Ratio', '   0.01%)']","[' 78695    (Ratio', '   1.99%)']","[' 3950597  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3950597  (Average', ' 107.58 Max', ' 10405 Sum', ' 424993103)']","[' 3948231  (Average', ' 106.51 Max', ' 10405 Sum', ' 420770773 Ratio', '  99.01%)']","[' 2366     (Average', ' 1784.59 Max', ' 3923 Sum', ' 4222330 Ratio', '   0.99%)']", ,[' 274857  '],[' 21444   '],[' 276232  '],[' 165175  '],"[' 495521   (Atom=Atom', ' 145729 Body=Body', ' 122344 Other', ' 227448)']",[' Yes'],"[' 24819    (Eliminated', '    0 Frozen', ' 24819)']","[' 14144    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8788'],[' 0'], ,[' 532.839'],[' 0'],[' 26.9388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06774e+09'],[' 9.44172e+08'],[' 0'],[' 3.96823e+10'],[' 0'],[' 0'],[' 1621 '],[' 3076 '],[' 4377 '],[' 5665 '],[' 6723 '],[' 5 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 8645+'],[' 4328'],"[' 1018.021s (Solving', ' 948.15s 1st Model', ' 670.79s Unsat', ' 0.00s)']",[' 1013.844s'], ,[' 507115669'],"[' 3527599  (Analyzed', ' 2757019)']","[' 8833     (Average', ' 312.13 Last', ' 76455)']",[' 8269.7  '],"[' 4328     (Average Length', ' 1942.13 Splits', ' 0)']","[' 2757019  (Deleted', ' 2636711)']","[' 135      (Ratio', '   0.00%)']","[' 90234    (Ratio', '   3.27%)']","[' 2757019  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2757019  (Average', ' 175.16 Max', ' 9299 Sum', ' 482920157)']","[' 2754778  (Average', ' 173.56 Max', ' 9299 Sum', ' 478506818 Ratio', '  99.09%)']","[' 2241     (Average', ' 1969.36 Max', ' 2984 Sum', ' 4413339 Ratio', '   0.91%)']", ,[' 274357  '],[' 21231   '],[' 275940  '],[' 164916  '],"[' 494744   (Atom=Atom', ' 145683 Body=Body', ' 122131 Other', ' 226930)']",[' Yes'],"[' 24814    (Eliminated', '    0 Frozen', ' 24814)']","[' 16082    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8756'],[' 0'], ,[' 449.946'],[' 0'],[' 29.0392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36511e+09'],[' 1.21369e+09'],[' 0'],[' 2.91101e+10'],[' 0'],[' 0'],[' 1314 '],[' 2527 '],[' 3616 '],[' 4776 '],[' 5781 '],[' 5 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 8517+'],[' 4264'],"[' 1024.001s (Solving', ' 945.46s 1st Model', ' 622.34s Unsat', ' 0.00s)']",[' 1017.688s'], ,[' 478252488'],"[' 4180236  (Analyzed', ' 3044016)']","[' 9438     (Average', ' 322.53 Last', ' 156834)']",[' 8492.8  '],"[' 4264     (Average Length', ' 1889.91 Splits', ' 0)']","[' 3044016  (Deleted', ' 2930900)']","[' 178      (Ratio', '   0.01%)']","[' 83612    (Ratio', '   2.75%)']","[' 3044016  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3044016  (Average', ' 148.68 Max', ' 9855 Sum', ' 452596631)']","[' 3041780  (Average', ' 147.27 Max', ' 9855 Sum', ' 448297056 Ratio', '  99.05%)']","[' 2236     (Average', ' 1922.89 Max', ' 2902 Sum', ' 4299575 Ratio', '   0.95%)']", ,[' 274670  '],[' 21335   '],[' 276176  '],[' 165164  '],"[' 495488   (Atom=Atom', ' 145827 Body=Body', ' 122235 Other', ' 227426)']",[' Yes'],"[' 24841    (Eliminated', '    0 Frozen', ' 24841)']","[' 14851    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3832'],[' 0'], ,[' 470.887'],[' 0'],[' 28.9257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20965e+09'],[' 1.06981e+09'],[' 0'],[' 2.93002e+10'],[' 0'],[' 0'],[' 1610 '],[' 2776 '],[' 4016 '],[' 5229 '],[' 6249 '],[' 5 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8471+'],[' 4241'],"[' 1022.561s (Solving', ' 949.40s 1st Model', ' 529.11s Unsat', ' 0.00s)']",[' 1016.547s'], ,[' 470755784'],"[' 3553357  (Analyzed', ' 2680951)']","[' 8930     (Average', ' 300.22 Last', ' 86347)']",[' 8577.3  '],"[' 4241     (Average Length', ' 1903.06 Splits', ' 0)']","[' 2680951  (Deleted', ' 2562746)']","[' 168      (Ratio', '   0.01%)']","[' 79252    (Ratio', '   2.96%)']","[' 2680951  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2680951  (Average', ' 166.19 Max', ' 10298 Sum', ' 445559614)']","[' 2678649  (Average', ' 164.50 Max', ' 10298 Sum', ' 441020938 Ratio', '  98.98%)']","[' 2302     (Average', ' 1971.62 Max', ' 2913 Sum', ' 4538676 Ratio', '   1.02%)']", ,[' 274551  '],[' 21304   '],[' 276128  '],[' 165048  '],"[' 495140   (Atom=Atom', ' 145742 Body=Body', ' 122204 Other', ' 227194)']",[' Yes'],"[' 24881    (Eliminated', '    0 Frozen', ' 24881)']","[' 13903    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.243'],[' 0'], ,[' 499.181'],[' 0'],[' 27.9224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21062e+09'],[' 1.07743e+09'],[' 0'],[' 3.53578e+10'],[' 0'],[' 0'],[' 1370 '],[' 2483 '],[' 3881 '],[' 5224 '],[' 6283 '],[' 5 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 9135+'],[' 4573'],"[' 1018.156s (Solving', ' 944.93s 1st Model', ' 664.81s Unsat', ' 0.00s)']",[' 1012.516s'], ,[' 488293069'],"[' 3004169  (Analyzed', ' 2060309)']","[' 8069     (Average', ' 255.34 Last', ' 89713)']",[' 8389.8  '],"[' 4573     (Average Length', ' 2018.52 Splits', ' 0)']","[' 2060309  (Deleted', ' 1946852)']","[' 167      (Ratio', '   0.01%)']","[' 87788    (Ratio', '   4.26%)']","[' 2060309  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2060309  (Average', ' 224.49 Max', ' 9607 Sum', ' 462512031)']","[' 2058068  (Average', ' 222.22 Max', ' 9607 Sum', ' 457839311 Ratio', '  98.99%)']","[' 2241     (Average', ' 2085.10 Max', ' 3062 Sum', ' 4672720 Ratio', '   1.01%)']", ,[' 275351  '],[' 21408   '],[' 277052  '],[' 165692  '],"[' 497072   (Atom=Atom', ' 146282 Body=Body', ' 122308 Other', ' 228482)']",[' Yes'],"[' 25109    (Eliminated', '    0 Frozen', ' 25109)']","[' 15494    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.242'],[' 0'], ,[' 455.867'],[' 0'],[' 29.0226'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32364e+09'],[' 1.18128e+09'],[' 0'],[' 3.06577e+10'],[' 0'],[' 0'],[' 1400 '],[' 2610 '],[' 3861 '],[' 5025 '],[' 5980 '],[' 5 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 7927+'],[' 3969'],"[' 1022.890s (Solving', ' 951.92s 1st Model', ' 628.50s Unsat', ' 0.00s)']",[' 1018.328s'], ,[' 481602871'],"[' 4649612  (Analyzed', ' 3853981)']","[' 9798     (Average', ' 393.34 Last', ' 154452)']",[' 8254.2  '],"[' 3969     (Average Length', ' 1790.70 Splits', ' 0)']","[' 3853981  (Deleted', ' 3718157)']","[' 161      (Ratio', '   0.00%)']","[' 86851    (Ratio', '   2.25%)']","[' 3853981  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3853981  (Average', ' 119.05 Max', ' 9608 Sum', ' 458823883)']","[' 3851646  (Average', ' 117.97 Max', ' 9608 Sum', ' 454670756 Ratio', '  99.09%)']","[' 2335     (Average', ' 1778.64 Max', ' 2733 Sum', ' 4153127 Ratio', '   0.91%)']", ,[' 274229  '],[' 21323   '],[' 275628  '],[' 164833  '],"[' 494495   (Atom=Atom', ' 145508 Body=Body', ' 122223 Other', ' 226764)']",[' Yes'],"[' 24722    (Eliminated', '    0 Frozen', ' 24722)']","[' 15850    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8841'],[' 0'], ,[' 487.442'],[' 0'],[' 29.215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22646e+09'],[' 1.0873e+09'],[' 0'],[' 3.26793e+10'],[' 0'],[' 0'],[' 1424 '],[' 2693 '],[' 3922 '],[' 5069 '],[' 6132 '],[' 5 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8165+'],[' 4088'],"[' 1015.167s (Solving', ' 952.12s 1st Model', ' 610.68s Unsat', ' 0.00s)']",[' 1010.875s'], ,[' 475903445'],"[' 6142724  (Analyzed', ' 4875140)']","[' 11725    (Average', ' 415.79 Last', ' 115606)']",[' 8565.8  '],"[' 4088     (Average Length', ' 1829.23 Splits', ' 0)']","[' 4875140  (Deleted', ' 4743238)']","[' 106      (Ratio', '   0.00%)']","[' 80938    (Ratio', '   1.66%)']","[' 4875140  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4875140  (Average', ' 92.44 Max', ' 9830 Sum', ' 450655171)']","[' 4872812  (Average', ' 91.54 Max', ' 9830 Sum', ' 446259454 Ratio', '  99.02%)']","[' 2328     (Average', ' 1888.19 Max', ' 2855 Sum', ' 4395717 Ratio', '   0.98%)']", ,[' 274335  '],[' 21242   '],[' 275756  '],[' 164709  '],"[' 494123   (Atom=Atom', ' 145465 Body=Body', ' 122142 Other', ' 226516)']",[' Yes'],"[' 24663    (Eliminated', '    0 Frozen', ' 24663)']","[' 14252    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6214'],[' 0'], ,[' 511.279'],[' 0'],[' 28.6787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13099e+09'],[' 9.94513e+08'],[' 0'],[' 3.52613e+10'],[' 0'],[' 0'],[' 1577 '],[' 2755 '],[' 3940 '],[' 5186 '],[' 6206 '],[' 5 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 8315+'],[' 4163'],"[' 1017.067s (Solving', ' 949.66s 1st Model', ' 554.47s Unsat', ' 0.00s)']",[' 1011.813s'], ,[' 482857362'],"[' 3459576  (Analyzed', ' 2672833)']","[' 8042     (Average', ' 332.36 Last', ' 95347)']",[' 8275.0  '],"[' 4163     (Average Length', ' 1855.43 Splits', ' 0)']","[' 2672833  (Deleted', ' 2548094)']","[' 179      (Ratio', '   0.01%)']","[' 88722    (Ratio', '   3.32%)']","[' 2672833  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2672833  (Average', ' 171.97 Max', ' 9406 Sum', ' 459650369)']","[' 2670357  (Average', ' 170.23 Max', ' 9406 Sum', ' 454994907 Ratio', '  98.99%)']","[' 2476     (Average', ' 1880.24 Max', ' 2757 Sum', ' 4655462 Ratio', '   1.01%)']", ,[' 274776  '],[' 21400   '],[' 276254  '],[' 165258  '],"[' 495770   (Atom=Atom', ' 145856 Body=Body', ' 122300 Other', ' 227614)']",[' Yes'],"[' 24878    (Eliminated', '    0 Frozen', ' 24878)']","[' 16039    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4025'],[' 0'], ,[' 479.76'],[' 0'],[' 28.5393'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25475e+09'],[' 1.11623e+09'],[' 0'],[' 3.29459e+10'],[' 0'],[' 0'],[' 1433 '],[' 2661 '],[' 3894 '],[' 5030 '],[' 6027 '],[' 5 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 9031+'],[' 4521'],"[' 1017.886s (Solving', ' 944.45s 1st Model', ' 676.14s Unsat', ' 0.00s)']",[' 1012.875s'], ,[' 499237750'],"[' 2942973  (Analyzed', ' 2076857)']","[' 7808     (Average', ' 265.99 Last', ' 101969)']",[' 8457.2  '],"[' 4521     (Average Length', ' 2025.77 Splits', ' 0)']","[' 2076857  (Deleted', ' 1959361)']","[' 152      (Ratio', '   0.01%)']","[' 90083    (Ratio', '   4.34%)']","[' 2076857  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2076857  (Average', ' 227.96 Max', ' 9471 Sum', ' 473450493)']","[' 2074611  (Average', ' 225.79 Max', ' 9471 Sum', ' 468936911 Ratio', '  99.05%)']","[' 2246     (Average', ' 2009.61 Max', ' 3037 Sum', ' 4513582 Ratio', '   0.95%)']", ,[' 275436  '],[' 21432   '],[' 277265  '],[' 165712  '],"[' 497132   (Atom=Atom', ' 146278 Body=Body', ' 122332 Other', ' 228522)']",[' Yes'],"[' 25261    (Eliminated', '    0 Frozen', ' 25261)']","[' 16016    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5925'],[' 0'], ,[' 448.938'],[' 0'],[' 28.4781'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34616e+09'],[' 1.20776e+09'],[' 0'],[' 2.9457e+10'],[' 0'],[' 0'],[' 1358 '],[' 2575 '],[' 3804 '],[' 5006 '],[' 6022 '],[' 5 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 7849+'],[' 3930'],"[' 1015.305s (Solving', ' 953.57s 1st Model', ' 552.72s Unsat', ' 0.00s)']",[' 1010.672s'], ,[' 478091127'],"[' 3474910  (Analyzed', ' 2614742)']","[' 8061     (Average', ' 324.37 Last', ' 204563)']",[' 8194.4  '],"[' 3930     (Average Length', ' 1765.64 Splits', ' 0)']","[' 2614742  (Deleted', ' 2493253)']","[' 159      (Ratio', '   0.01%)']","[' 89460    (Ratio', '   3.42%)']","[' 2614742  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2614742  (Average', ' 174.26 Max', ' 9734 Sum', ' 455644904)']","[' 2612482  (Average', ' 172.70 Max', ' 9734 Sum', ' 451556778 Ratio', '  99.10%)']","[' 2260     (Average', ' 1808.91 Max', ' 2754 Sum', ' 4088126 Ratio', '   0.90%)']", ,[' 274904  '],[' 21450   '],[' 276206  '],[' 165175  '],"[' 495521   (Atom=Atom', ' 145723 Body=Body', ' 122350 Other', ' 227448)']",[' Yes'],"[' 24752    (Eliminated', '    0 Frozen', ' 24752)']","[' 15627    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3951'],[' 0'], ,[' 483.48'],[' 0'],[' 28.103'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24849e+09'],[' 1.10596e+09'],[' 0'],[' 3.32473e+10'],[' 0'],[' 0'],[' 1372 '],[' 2627 '],[' 3785 '],[' 4937 '],[' 5904 '],[' 5 '],[' 0 ']
