Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 5243+'],[' 2629'],"[' 1018.516s (Solving', ' 986.56s 1st Model', ' 42.14s Unsat', ' 0.00s)']",[' 997.063s'], ,[' 168630439'],"[' 17342573 (Analyzed', ' 16946241)']","[' 32147    (Average', ' 527.15 Last', ' 175897)']",[' 6565.1  '],"[' 2629     (Average Length', ' 1394.59 Splits', ' 0)']","[' 16946241 (Deleted', ' 16757999)']","[' 57       (Ratio', '   0.00%)']","[' 22801    (Ratio', '   0.13%)']","[' 16946241 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16946241 (Average', '  9.27 Max', ' 9542 Sum', ' 157139520)']","[' 16943882 (Average', '  9.07 Max', ' 9542 Sum', ' 153782976 Ratio', '  97.86%)']","[' 2359     (Average', ' 1422.87 Max', ' 2009 Sum', ' 3356544 Ratio', '   2.14%)']", ,[' 294550  '],[' 13710   '],[' 268116  '],[' 99735   '],"[' 259124   (Atom=Atom', ' 71484 Body=Body', ' 46967 Other', ' 140673)']",[' Yes'],"[' 17440    (Eliminated', '    0 Frozen', ' 17440)']","[' 4453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.17394'],[' 0'], ,[' 656.43'],[' 0'],[' 19.4474'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08115e+08'],[' 2.37368e+08'],[' 0'],[' 3.52628e+10'],[' 0'],[' 0'],[' 1187 '],[' 2244 '],[' 3143 '],[' 4093 '],[' 4544 '],[' 5275 '],[' 5948 '],[' 7 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 5483+'],[' 2749'],"[' 1009.704s (Solving', ' 977.93s 1st Model', ' 48.53s Unsat', ' 0.00s)']",[' 1000.297s'], ,[' 163939362'],"[' 16529413 (Analyzed', ' 16234588)']","[' 34698    (Average', ' 467.88 Last', ' 110874)']",[' 6384.6  '],"[' 2749     (Average Length', ' 1409.80 Splits', ' 0)']","[' 16234588 (Deleted', ' 16037575)']","[' 76       (Ratio', '   0.00%)']","[' 22873    (Ratio', '   0.14%)']","[' 16234588 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16234588 (Average', '  9.41 Max', ' 9830 Sum', ' 152848359)']","[' 16232227 (Average', '  9.19 Max', ' 8802 Sum', ' 149218734 Ratio', '  97.63%)']","[' 2361     (Average', ' 1537.33 Max', ' 2047 Sum', ' 3629625 Ratio', '   2.37%)']", ,[' 297446  '],[' 13558   '],[' 269223  '],[' 101317  '],"[' 257066   (Atom=Atom', ' 70996 Body=Body', ' 46511 Other', ' 139559)']",[' Yes'],"[' 17349    (Eliminated', '    0 Frozen', ' 17349)']","[' 4525     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.3031'],[' 0'], ,[' 653.359'],[' 0'],[' 20.1653'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17607e+08'],[' 2.46751e+08'],[' 0'],[' 3.60117e+10'],[' 0'],[' 0'],[' 1006 '],[' 1819 '],[' 2575 '],[' 3304 '],[' 4160 '],[' 4927 '],[' 5508 '],[' 7 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 5409+'],[' 2712'],"[' 1010.408s (Solving', ' 975.27s 1st Model', ' 116.15s Unsat', ' 0.00s)']",[' 997.359s'], ,[' 186873099'],"[' 15544652 (Analyzed', ' 15137869)']","[' 31708    (Average', ' 477.41 Last', ' 112469)']",[' 6330.2  '],"[' 2712     (Average Length', ' 1418.12 Splits', ' 0)']","[' 15137869 (Deleted', ' 14956665)']","[' 64       (Ratio', '   0.00%)']","[' 28235    (Ratio', '   0.19%)']","[' 15137869 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15137869 (Average', ' 11.61 Max', ' 8938 Sum', ' 175698782)']","[' 15135598 (Average', ' 11.38 Max', ' 8316 Sum', ' 172330627 Ratio', '  98.08%)']","[' 2271     (Average', ' 1483.12 Max', ' 2061 Sum', ' 3368155 Ratio', '   1.92%)']", ,[' 295850  '],[' 13672   '],[' 268822  '],[' 100381  '],"[' 258703   (Atom=Atom', ' 71415 Body=Body', ' 46853 Other', ' 140435)']",[' Yes'],"[' 17434    (Eliminated', '    0 Frozen', ' 17434)']","[' 5907     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.09236'],[' 0'], ,[' 605.253'],[' 0'],[' 20.537'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.02117e+08'],[' 3.14328e+08'],[' 0'],[' 2.98577e+10'],[' 0'],[' 0'],[' 1246 '],[' 2121 '],[' 2838 '],[' 3640 '],[' 4435 '],[' 5229 '],[' 5845 '],[' 7 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 5249+'],[' 2632'],"[' 1009.608s (Solving', ' 977.90s 1st Model', ' 43.30s Unsat', ' 0.00s)']",[' 1003.078s'], ,[' 130897468'],"[' 17676000 (Analyzed', ' 17306035)']","[' 35519    (Average', ' 487.23 Last', ' 121722)']",[' 6855.2  '],"[' 2632     (Average Length', ' 1362.79 Splits', ' 0)']","[' 17306035 (Deleted', ' 17103489)']","[' 52       (Ratio', '   0.00%)']","[' 15971    (Ratio', '   0.09%)']","[' 17306035 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17306035 (Average', '  6.83 Max', ' 11094 Sum', ' 118207531)']","[' 17303985 (Average', '  6.66 Max', ' 9800 Sum', ' 115280440 Ratio', '  97.52%)']","[' 2050     (Average', ' 1427.85 Max', ' 1952 Sum', ' 2927091 Ratio', '   2.48%)']", ,[' 297411  '],[' 13627   '],[' 269424  '],[' 101147  '],"[' 257753   (Atom=Atom', ' 71155 Body=Body', ' 46718 Other', ' 139880)']",[' Yes'],"[' 17342    (Eliminated', '    0 Frozen', ' 17342)']","[' 3111     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.36674'],[' 0'], ,[' 671.142'],[' 0'],[' 18.437'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.34727e+08'],[' 1.73327e+08'],[' 0'],[' 3.48672e+10'],[' 0'],[' 0'],[' 1107 '],[' 1933 '],[' 2724 '],[' 3487 '],[' 4255 '],[' 5071 '],[' 5691 '],[' 7 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 5857+'],[' 2936'],"[' 1010.906s (Solving', ' 974.57s 1st Model', ' 57.10s Unsat', ' 0.00s)']",[' 1004.953s'], ,[' 196559880'],"[' 14444715 (Analyzed', ' 14121848)']","[' 28500    (Average', ' 495.50 Last', ' 96507)']",[' 5992.6  '],"[' 2936     (Average Length', ' 1496.67 Splits', ' 0)']","[' 14121848 (Deleted', ' 13950377)']","[' 111      (Ratio', '   0.00%)']","[' 35550    (Ratio', '   0.25%)']","[' 14121848 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14121848 (Average', ' 13.18 Max', ' 9184 Sum', ' 186109310)']","[' 14119485 (Average', ' 12.91 Max', ' 7886 Sum', ' 182303796 Ratio', '  97.96%)']","[' 2363     (Average', ' 1610.46 Max', ' 2125 Sum', ' 3805514 Ratio', '   2.04%)']", ,[' 296973  '],[' 13823   '],[' 269929  '],[' 101334  '],"[' 261737   (Atom=Atom', ' 72243 Body=Body', ' 47306 Other', ' 142188)']",[' Yes'],"[' 17713    (Eliminated', '    0 Frozen', ' 17713)']","[' 7180     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.30785'],[' 0'], ,[' 590.386'],[' 0'],[' 21.011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.27049e+08'],[' 3.45131e+08'],[' 0'],[' 2.905e+10'],[' 0'],[' 0'],[' 1157 '],[' 2021 '],[' 2847 '],[' 3684 '],[' 4413 '],[' 5128 '],[' 5736 '],[' 7 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 5759+'],[' 2887'],"[' 1009.330s (Solving', ' 978.51s 1st Model', ' 56.03s Unsat', ' 0.00s)']",[' 1004.469s'], ,[' 201259967'],"[' 15622224 (Analyzed', ' 15142551)']","[' 31420    (Average', ' 481.94 Last', ' 49191)']",[' 5861.6  '],"[' 2887     (Average Length', ' 1485.33 Splits', ' 0)']","[' 15142551 (Deleted', ' 14963701)']","[' 87       (Ratio', '   0.00%)']","[' 32376    (Ratio', '   0.21%)']","[' 15142551 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15142551 (Average', ' 12.62 Max', ' 9009 Sum', ' 191061641)']","[' 15140350 (Average', ' 12.37 Max', ' 7923 Sum', ' 187347617 Ratio', '  98.06%)']","[' 2201     (Average', ' 1687.43 Max', ' 2195 Sum', ' 3714024 Ratio', '   1.94%)']", ,[' 296309  '],[' 13587   '],[' 268997  '],[' 100691  '],"[' 257925   (Atom=Atom', ' 71250 Body=Body', ' 46598 Other', ' 140077)']",[' Yes'],"[' 17489    (Eliminated', '    0 Frozen', ' 17489)']","[' 6623     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.195'],[' 0'], ,[' 631.797'],[' 0'],[' 21.6869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08167e+08'],[' 3.24935e+08'],[' 0'],[' 3.46734e+10'],[' 0'],[' 0'],[' 1032 '],[' 1853 '],[' 2698 '],[' 3537 '],[' 4290 '],[' 5005 '],[' 5733 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 5747+'],[' 2881'],"[' 1009.311s (Solving', ' 978.39s 1st Model', ' 152.16s Unsat', ' 0.00s)']",[' 1005.813s'], ,[' 258476144'],"[' 17699143 (Analyzed', ' 17125287)']","[' 34192    (Average', ' 500.86 Last', ' 641412)']",[' 6277.3  '],"[' 2881     (Average Length', ' 1457.36 Splits', ' 0)']","[' 17125287 (Deleted', ' 16917029)']","[' 67       (Ratio', '   0.00%)']","[' 36773    (Ratio', '   0.21%)']","[' 17125287 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17125287 (Average', ' 14.39 Max', ' 8228 Sum', ' 246488474)']","[' 17123115 (Average', ' 14.20 Max', ' 8228 Sum', ' 243189336 Ratio', '  98.66%)']","[' 2172     (Average', ' 1518.94 Max', ' 2098 Sum', ' 3299138 Ratio', '   1.34%)']", ,[' 296498  '],[' 13593   '],[' 269252  '],[' 100645  '],"[' 258065   (Atom=Atom', ' 71268 Body=Body', ' 46616 Other', ' 140181)']",[' Yes'],"[' 17461    (Eliminated', '    0 Frozen', ' 17461)']","[' 6888     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.17053'],[' 0'], ,[' 598.543'],[' 0'],[' 23.2503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.09649e+08'],[' 4.12275e+08'],[' 0'],[' 3.22827e+10'],[' 0'],[' 0'],[' 1216 '],[' 1979 '],[' 2571 '],[' 3384 '],[' 4162 '],[' 5034 '],[' 5630 '],[' 7 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 5357+'],[' 2686'],"[' 1009.059s (Solving', ' 979.96s 1st Model', ' 41.77s Unsat', ' 0.00s)']",[' 1005.984s'], ,[' 205162571'],"[' 19969262 (Analyzed', ' 19595954)']","[' 38499    (Average', ' 509.00 Last', ' 27811)']",[' 6247.1  '],"[' 2686     (Average Length', ' 1406.66 Splits', ' 0)']","[' 19595954 (Deleted', ' 19371659)']","[' 74       (Ratio', '   0.00%)']","[' 26296    (Ratio', '   0.13%)']","[' 19595954 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19595954 (Average', '  9.91 Max', ' 9357 Sum', ' 194270000)']","[' 19593664 (Average', '  9.74 Max', ' 8581 Sum', ' 190808643 Ratio', '  98.22%)']","[' 2290     (Average', ' 1511.51 Max', ' 2073 Sum', ' 3461357 Ratio', '   1.78%)']", ,[' 296378  '],[' 13691   '],[' 268982  '],[' 100774  '],"[' 258918   (Atom=Atom', ' 71465 Body=Body', ' 46910 Other', ' 140543)']",[' Yes'],"[' 17418    (Eliminated', '    0 Frozen', ' 17418)']","[' 5097     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.74048'],[' 0'], ,[' 639.044'],[' 0'],[' 18.9928'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77817e+08'],[' 2.93406e+08'],[' 0'],[' 3.60378e+10'],[' 0'],[' 0'],[' 1194 '],[' 2009 '],[' 2801 '],[' 3514 '],[' 4298 '],[' 5046 '],[' 5729 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 5857+'],[' 2936'],"[' 1009.538s (Solving', ' 977.45s 1st Model', ' 48.65s Unsat', ' 0.00s)']",[' 1006.063s'], ,[' 222439764'],"[' 17158496 (Analyzed', ' 16836893)']","[' 33935    (Average', ' 496.15 Last', ' 58907)']",[' 5931.3  '],"[' 2936     (Average Length', ' 1505.67 Splits', ' 0)']","[' 16836893 (Deleted', ' 16626997)']","[' 86       (Ratio', '   0.00%)']","[' 37005    (Ratio', '   0.22%)']","[' 16836893 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16836893 (Average', ' 12.59 Max', ' 8465 Sum', ' 212032684)']","[' 16834570 (Average', ' 12.37 Max', ' 8465 Sum', ' 208279053 Ratio', '  98.23%)']","[' 2323     (Average', ' 1615.85 Max', ' 2181 Sum', ' 3753631 Ratio', '   1.77%)']", ,[' 297888  '],[' 13736   '],[' 270444  '],[' 101565  '],"[' 260430   (Atom=Atom', ' 71895 Body=Body', ' 47045 Other', ' 141490)']",[' Yes'],"[' 17704    (Eliminated', '    0 Frozen', ' 17704)']","[' 7312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.46341'],[' 0'], ,[' 605.089'],[' 0'],[' 19.4529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20385e+08'],[' 4.16088e+08'],[' 0'],[' 3.37767e+10'],[' 0'],[' 0'],[' 1051 '],[' 1828 '],[' 2549 '],[' 3494 '],[' 4233 '],[' 5011 '],[' 5684 '],[' 7 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 5291+'],[' 2653'],"[' 1009.747s (Solving', ' 977.34s 1st Model', ' 50.88s Unsat', ' 0.00s)']",[' 1001.734s'], ,[' 168183244'],"[' 14798514 (Analyzed', ' 14475177)']","[' 29342    (Average', ' 493.33 Last', ' 21940)']",[' 6284.3  '],"[' 2653     (Average Length', ' 1383.70 Splits', ' 0)']","[' 14475177 (Deleted', ' 14296204)']","[' 90       (Ratio', '   0.00%)']","[' 27405    (Ratio', '   0.19%)']","[' 14475177 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14475177 (Average', ' 10.92 Max', ' 8889 Sum', ' 158031365)']","[' 14472696 (Average', ' 10.65 Max', ' 8889 Sum', ' 154151520 Ratio', '  97.54%)']","[' 2481     (Average', ' 1563.82 Max', ' 1981 Sum', ' 3879845 Ratio', '   2.46%)']", ,[' 296309  '],[' 13793   '],[' 269272  '],[' 100718  '],"[' 260410   (Atom=Atom', ' 71840 Body=Body', ' 47216 Other', ' 141354)']",[' Yes'],"[' 17514    (Eliminated', '    0 Frozen', ' 17514)']","[' 5452     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.51556'],[' 0'], ,[' 637.146'],[' 0'],[' 19.6172'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31569e+08'],[' 2.61498e+08'],[' 0'],[' 3.12266e+10'],[' 0'],[' 0'],[' 1047 '],[' 2000 '],[' 2762 '],[' 3475 '],[' 4188 '],[' 5008 '],[' 5542 '],[' 7 '],[' 0 ']
