Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 4761+'],[' 2383'],"[' 1004.032s (Solving', ' 988.71s 1st Model', ' 819.45s Unsat', ' 0.00s)']",[' 1000.406s'], ,[' 439571810'],"[' 4151783  (Analyzed', ' 2997199)']","[' 9880     (Average', ' 303.36 Last', ' 214727)']",[' 6160.6  '],"[' 2383     (Average Length', ' 1164.54 Splits', ' 0)']","[' 2997199  (Deleted', ' 2916638)']","[' 408      (Ratio', '   0.01%)']","[' 65638    (Ratio', '   2.19%)']","[' 2997199  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2997199  (Average', ' 142.32 Max', ' 6687 Sum', ' 426571447)']","[' 2996690  (Average', ' 142.13 Max', ' 5523 Sum', ' 425978971 Ratio', '  99.86%)']","[' 509      (Average', ' 1164.00 Max', ' 1164 Sum', ' 592476 Ratio', '   0.14%)']", ,[' 110293  '],[' 9050    '],[' 108015  '],[' 49896   '],"[' 179998   (Atom=Atom', ' 51293 Body=Body', ' 29055 Other', ' 99650)']",[' Yes'],"[' 11296    (Eliminated', '    0 Frozen', ' 11296)']","[' 6857     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.14322'],[' 0'], ,[' 334.513'],[' 0'],[' 29.3238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73158e+09'],[' 1.55373e+09'],[' 0'],[' 1.07173e+10'],[' 0'],[' 0'],[' 1634 '],[' 3070 '],[' 2 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 4209+'],[' 2107'],"[' 1003.632s (Solving', ' 989.74s 1st Model', ' 636.83s Unsat', ' 0.00s)']",[' 999.906s'], ,[' 436921730'],"[' 4717110  (Analyzed', ' 3467993)']","[' 10325    (Average', ' 335.88 Last', ' 203467)']",[' 6197.7  '],"[' 2107     (Average Length', ' 1037.13 Splits', ' 0)']","[' 3467993  (Deleted', ' 3385252)']","[' 445      (Ratio', '   0.01%)']","[' 66715    (Ratio', '   1.92%)']","[' 3467993  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3467993  (Average', ' 122.43 Max', ' 6578 Sum', ' 424574413)']","[' 3467460  (Average', ' 122.27 Max', ' 5586 Sum', ' 424045677 Ratio', '  99.88%)']","[' 533      (Average', ' 992.00 Max', ' 992 Sum', ' 528736 Ratio', '   0.12%)']", ,[' 110316  '],[' 9096    '],[' 107787  '],[' 49850   '],"[' 179814   (Atom=Atom', ' 51155 Body=Body', ' 29193 Other', ' 99466)']",[' Yes'],"[' 11114    (Eliminated', '    0 Frozen', ' 11114)']","[' 6956     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.94997'],[' 0'], ,[' 344.81'],[' 0'],[' 29.1221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67744e+09'],[' 1.4977e+09'],[' 0'],[' 1.16426e+10'],[' 0'],[' 0'],[' 1764 '],[' 3150 '],[' 2 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 4623+'],[' 2314'],"[' 1003.933s (Solving', ' 988.76s 1st Model', ' 782.21s Unsat', ' 0.00s)']",[' 1000.359s'], ,[' 433017303'],"[' 4312200  (Analyzed', ' 2962830)']","[' 9572     (Average', ' 309.53 Last', ' 285928)']",[' 6214.8  '],"[' 2314     (Average Length', ' 1132.14 Splits', ' 0)']","[' 2962830  (Deleted', ' 2884333)']","[' 397      (Ratio', '   0.01%)']","[' 65105    (Ratio', '   2.20%)']","[' 2962830  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2962830  (Average', ' 141.75 Max', ' 6661 Sum', ' 419991946)']","[' 2962305  (Average', ' 141.56 Max', ' 5556 Sum', ' 419411821 Ratio', '  99.86%)']","[' 525      (Average', ' 1105.00 Max', ' 1105 Sum', ' 580125 Ratio', '   0.14%)']", ,[' 110887  '],[' 9152    '],[' 108495  '],[' 50337   '],"[' 181219   (Atom=Atom', ' 51530 Body=Body', ' 29361 Other', ' 100328)']",[' Yes'],"[' 11335    (Eliminated', '    0 Frozen', ' 11335)']","[' 7093     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.18653'],[' 0'], ,[' 335.207'],[' 0'],[' 29.2429'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73894e+09'],[' 1.56215e+09'],[' 0'],[' 1.07935e+10'],[' 0'],[' 0'],[' 1558 '],[' 3039 '],[' 2 '],[' 0 ']
Solving...,TA54, , , , ,[' 1'],[' 4539+'],[' 2272'],"[' 1003.867s (Solving', ' 989.08s 1st Model', ' 910.08s Unsat', ' 0.00s)']",[' 1000.234s'], ,[' 433864318'],"[' 4080423  (Analyzed', ' 2953376)']","[' 10035    (Average', ' 294.31 Last', ' 190775)']",[' 6078.4  '],"[' 2272     (Average Length', ' 1103.45 Splits', ' 0)']","[' 2953376  (Deleted', ' 2873678)']","[' 419      (Ratio', '   0.01%)']","[' 67190    (Ratio', '   2.28%)']","[' 2953376  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2953376  (Average', ' 142.70 Max', ' 6828 Sum', ' 421457159)']","[' 2952869  (Average', ' 142.52 Max', ' 5740 Sum', ' 420905543 Ratio', '  99.87%)']","[' 507      (Average', ' 1088.00 Max', ' 1088 Sum', ' 551616 Ratio', '   0.13%)']", ,[' 110572  '],[' 9110    '],[' 108131  '],[' 50085   '],"[' 180505   (Atom=Atom', ' 51362 Body=Body', ' 29235 Other', ' 99908)']",[' Yes'],"[' 11223    (Eliminated', '    0 Frozen', ' 11223)']","[' 7464     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05006'],[' 0'], ,[' 332.262'],[' 0'],[' 29.2582'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72028e+09'],[' 1.54451e+09'],[' 0'],[' 1.06687e+10'],[' 0'],[' 0'],[' 1731 '],[' 3066 '],[' 2 '],[' 0 ']
Solving...,TA55, , , , ,[' 1'],[' 4531+'],[' 2268'],"[' 1003.914s (Solving', ' 989.34s 1st Model', ' 899.90s Unsat', ' 0.00s)']",[' 997.938s'], ,[' 406583949'],"[' 3991259  (Analyzed', ' 2739584)']","[' 9533     (Average', ' 287.38 Last', ' 184281)']",[' 5983.5  '],"[' 2268     (Average Length', ' 1106.73 Splits', ' 0)']","[' 2739584  (Deleted', ' 2661841)']","[' 422      (Ratio', '   0.02%)']","[' 65622    (Ratio', '   2.40%)']","[' 2739584  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2739584  (Average', ' 143.93 Max', ' 6593 Sum', ' 394306975)']","[' 2739128  (Average', ' 143.74 Max', ' 5456 Sum', ' 393788503 Ratio', '  99.87%)']","[' 456      (Average', ' 1137.00 Max', ' 1137 Sum', ' 518472 Ratio', '   0.13%)']", ,[' 110126  '],[' 9042    '],[' 107739  '],[' 49741   '],"[' 179541   (Atom=Atom', ' 51154 Body=Body', ' 29031 Other', ' 99356)']",[' Yes'],"[' 11175    (Eliminated', '    0 Frozen', ' 11175)']","[' 6811     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.02635'],[' 0'], ,[' 331.606'],[' 0'],[' 28.4252'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61348e+09'],[' 1.45077e+09'],[' 0'],[' 9.94218e+09'],[' 0'],[' 0'],[' 1616 '],[' 3099 '],[' 2 '],[' 0 ']
Solving...,TA56, , , , ,[' 1'],[' 4765+'],[' 2385'],"[' 1004.693s (Solving', ' 987.63s 1st Model', ' 867.66s Unsat', ' 0.00s)']",[' 1000.797s'], ,[' 411735845'],"[' 4104333  (Analyzed', ' 2910188)']","[' 9714     (Average', ' 299.59 Last', ' 318554)']",[' 6181.7  '],"[' 2385     (Average Length', ' 1163.11 Splits', ' 0)']","[' 2910188  (Deleted', ' 2832435)']","[' 419      (Ratio', '   0.01%)']","[' 61588    (Ratio', '   2.12%)']","[' 2910188  (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2910188  (Average', ' 136.99 Max', ' 6688 Sum', ' 398671038)']","[' 2909663  (Average', ' 136.78 Max', ' 5636 Sum', ' 398044185 Ratio', '  99.84%)']","[' 525      (Average', ' 1194.01 Max', ' 3817 Sum', ' 626853 Ratio', '   0.16%)']", ,[' 110347  '],[' 9058    '],[' 108071  '],[' 49938   '],"[' 180116   (Atom=Atom', ' 51319 Body=Body', ' 29079 Other', ' 99718)']",[' Yes'],"[' 11310    (Eliminated', '    0 Frozen', ' 11310)']","[' 6394     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.57433'],[' 0'], ,[' 336.559'],[' 0'],[' 29.0324'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56722e+09'],[' 1.40332e+09'],[' 0'],[' 9.78924e+09'],[' 0'],[' 0'],[' 1697 '],[' 3092 '],[' 2 '],[' 0 ']
Solving...,TA57, , , , ,[' 1'],[' 4995+'],[' 2500'],"[' 1004.762s (Solving', ' 987.62s 1st Model', ' 878.79s Unsat', ' 0.00s)']",[' 999.266s'], ,[' 406359603'],"[' 3755071  (Analyzed', ' 2663107)']","[' 9480     (Average', ' 280.92 Last', ' 202849)']",[' 6174.3  '],"[' 2500     (Average Length', ' 1219.17 Splits', ' 0)']","[' 2663107  (Deleted', ' 2583848)']","[' 428      (Ratio', '   0.02%)']","[' 65639    (Ratio', '   2.46%)']","[' 2663107  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2663107  (Average', ' 147.58 Max', ' 6995 Sum', ' 393024975)']","[' 2662572  (Average', ' 147.33 Max', ' 5746 Sum', ' 392356760 Ratio', '  99.83%)']","[' 535      (Average', ' 1249.00 Max', ' 1249 Sum', ' 668215 Ratio', '   0.17%)']", ,[' 110917  '],[' 9128    '],[' 108720  '],[' 50403   '],"[' 181441   (Atom=Atom', ' 51644 Body=Body', ' 29289 Other', ' 100508)']",[' Yes'],"[' 11494    (Eliminated', '    0 Frozen', ' 11494)']","[' 7547     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.51638'],[' 0'], ,[' 330.173'],[' 0'],[' 28.5452'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60875e+09'],[' 1.45074e+09'],[' 0'],[' 9.80739e+09'],[' 0'],[' 0'],[' 1796 '],[' 3247 '],[' 2 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 4927+'],[' 2466'],"[' 1004.305s (Solving', ' 988.45s 1st Model', ' 857.60s Unsat', ' 0.00s)']",[' 999.031s'], ,[' 424175692'],"[' 3931859  (Analyzed', ' 2721220)']","[' 9390     (Average', ' 289.80 Last', ' 214869)']",[' 6123.0  '],"[' 2466     (Average Length', ' 1206.54 Splits', ' 0)']","[' 2721220  (Deleted', ' 2642051)']","[' 387      (Ratio', '   0.01%)']","[' 63843    (Ratio', '   2.35%)']","[' 2721220  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2721220  (Average', ' 151.04 Max', ' 6996 Sum', ' 411011715)']","[' 2720713  (Average', ' 150.80 Max', ' 5684 Sum', ' 410346531 Ratio', '  99.84%)']","[' 507      (Average', ' 1312.00 Max', ' 1312 Sum', ' 665184 Ratio', '   0.16%)']", ,[' 110610  '],[' 9086    '],[' 108376  '],[' 50159   '],"[' 180751   (Atom=Atom', ' 51484 Body=Body', ' 29163 Other', ' 100104)']",[' Yes'],"[' 11394    (Eliminated', '    0 Frozen', ' 11394)']","[' 6548     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.30909'],[' 0'], ,[' 328.327'],[' 0'],[' 29.2815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67386e+09'],[' 1.50677e+09'],[' 0'],[' 1.00457e+10'],[' 0'],[' 0'],[' 1678 '],[' 3166 '],[' 2 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 4165+'],[' 2085'],"[' 1003.753s (Solving', ' 989.94s 1st Model', ' 910.67s Unsat', ' 0.00s)']",[' 998.234s'], ,[' 417552196'],"[' 3828575  (Analyzed', ' 2803678)']","[' 9561     (Average', ' 293.24 Last', ' 216606)']",[' 5966.8  '],"[' 2085     (Average Length', ' 1021.90 Splits', ' 0)']","[' 2803678  (Deleted', ' 2727336)']","[' 384      (Ratio', '   0.01%)']","[' 65823    (Ratio', '   2.35%)']","[' 2803678  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2803678  (Average', ' 144.89 Max', ' 6656 Sum', ' 406211269)']","[' 2803196  (Average', ' 144.72 Max', ' 5668 Sum', ' 405735053 Ratio', '  99.88%)']","[' 482      (Average', ' 988.00 Max', ' 988 Sum', ' 476216 Ratio', '   0.12%)']", ,[' 109969  '],[' 9046    '],[' 107416  '],[' 49578   '],"[' 179048   (Atom=Atom', ' 50983 Body=Body', ' 29043 Other', ' 99022)']",[' Yes'],"[' 11015    (Eliminated', '    0 Frozen', ' 11015)']","[' 6745     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.8416'],[' 0'], ,[' 332.383'],[' 0'],[' 29.0535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6648e+09'],[' 1.49639e+09'],[' 0'],[' 9.7635e+09'],[' 0'],[' 0'],[' 1504 '],[' 3044 '],[' 2 '],[' 0 ']
Solving...,TA60, , , , ,[' 1'],[' 4693+'],[' 2349'],"[' 1004.453s (Solving', ' 987.44s 1st Model', ' 915.90s Unsat', ' 0.00s)']",[' 980.375s'], ,[' 384323751'],"[' 3575788  (Analyzed', ' 2515821)']","[' 9026     (Average', ' 278.73 Last', ' 247797)']",[' 6106.2  '],"[' 2349     (Average Length', ' 1149.26 Splits', ' 0)']","[' 2515821  (Deleted', ' 2443740)']","[' 353      (Ratio', '   0.01%)']","[' 59691    (Ratio', '   2.37%)']","[' 2515821  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2515821  (Average', ' 147.73 Max', ' 6849 Sum', ' 371665381)']","[' 2515394  (Average', ' 147.54 Max', ' 5704 Sum', ' 371176466 Ratio', '  99.87%)']","[' 427      (Average', ' 1145.00 Max', ' 1145 Sum', ' 488915 Ratio', '   0.13%)']", ,[' 110428  '],[' 9076    '],[' 108114  '],[' 49992   '],"[' 180260   (Atom=Atom', ' 51337 Body=Body', ' 29133 Other', ' 99790)']",[' Yes'],"[' 11299    (Eliminated', '    0 Frozen', ' 11299)']","[' 6087     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55678'],[' 0'], ,[' 334.804'],[' 0'],[' 29.1641'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45771e+09'],[' 1.3035e+09'],[' 0'],[' 8.94818e+09'],[' 0'],[' 0'],[' 1661 '],[' 3085 '],[' 2 '],[' 0 ']
