Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 8481+'],[' 4246'],"[' 1017.093s (Solving', ' 957.29s 1st Model', ' 175.30s Unsat', ' 0.00s)']",[' 1014.063s'], ,[' 337899071'],"[' 3265909  (Analyzed', ' 2259960)']","[' 6859     (Average', ' 329.49 Last', ' 51891)']",[' 9670.3  '],"[' 4246     (Average Length', ' 2138.29 Splits', ' 0)']","[' 9524704  (Deleted', ' 9307629)']","[' 126      (Ratio', '   0.00%)']","[' 62027    (Ratio', '   0.65%)']","[' 2259960  (Average Length', '   26.5 Ratio', '  23.73%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7264744  (Average Length', '   23.4 Ratio', '  76.27%) ']","[' 2259960  (Average', '  4.31 Max', ' 9704 Sum', ' 9736163)']","[' 2259960  (Average', '  4.31 Max', ' 9704 Sum', ' 9736163 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 346848  '],[' 19452   '],[' 314655  '],[' 132621  '],"[' 356036   (Atom=Atom', ' 95266 Body=Body', ' 64036 Other', ' 196734)']",[' Yes'],"[' 24324    (Eliminated', '    0 Frozen', ' 24324)']","[' 9842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5325'],[' 0'], ,[' 456.496'],[' 0'],[' 27.553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.83587e+08'],[' 5.90953e+08'],[' 0'],[' 2.53543e+10'],[' 0'],[' 0'],[' 1412 '],[' 3049 '],[' 4089 '],[' 5031 '],[' 6098 '],[' 5 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 9263+'],[' 4637'],"[' 1019.227s (Solving', ' 952.66s 1st Model', ' 366.20s Unsat', ' 0.00s)']",[' 1014.641s'], ,[' 398329885'],"[' 3192981  (Analyzed', ' 1472509)']","[' 5467     (Average', ' 269.34 Last', ' 25425)']",[' 9377.2  '],"[' 4637     (Average Length', ' 2277.73 Splits', ' 0)']","[' 6569193  (Deleted', ' 6301046)']","[' 125      (Ratio', '   0.00%)']","[' 79632    (Ratio', '   1.21%)']","[' 1472509  (Average Length', '   21.2 Ratio', '  22.42%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5096684  (Average Length', '   18.5 Ratio', '  77.58%) ']","[' 1472509  (Average', '  6.36 Max', ' 8453 Sum', ' 9365862)']","[' 1472509  (Average', '  6.36 Max', ' 8453 Sum', ' 9365862 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 350195  '],[' 19221   '],[' 316313  '],[' 134156  '],"[' 353567   (Atom=Atom', ' 94733 Body=Body', ' 63343 Other', ' 195491)']",[' Yes'],"[' 24274    (Eliminated', '    0 Frozen', ' 24274)']","[' 14186    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8657'],[' 0'], ,[' 350.788'],[' 0'],[' 28.8525'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42908e+08'],[' 8.25429e+08'],[' 0'],[' 1.43275e+10'],[' 0'],[' 0'],[' 1255 '],[' 2300 '],[' 3377 '],[' 4402 '],[' 5531 '],[' 5 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 8819+'],[' 4415'],"[' 1019.453s (Solving', ' 955.27s 1st Model', ' 510.49s Unsat', ' 0.00s)']",[' 1018.188s'], ,[' 385956290'],"[' 2773475  (Analyzed', ' 1094954)']","[' 4600     (Average', ' 238.03 Last', ' 44522)']",[' 9256.3  '],"[' 4415     (Average Length', ' 2178.54 Splits', ' 0)']","[' 5378337  (Deleted', ' 5144898)']","[' 129      (Ratio', '   0.00%)']","[' 78609    (Ratio', '   1.46%)']","[' 1094954  (Average Length', '   26.8 Ratio', '  20.36%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4283383  (Average Length', '   23.0 Ratio', '  79.64%) ']","[' 1094954  (Average', '  8.07 Max', ' 9121 Sum', ' 8831310)']","[' 1094954  (Average', '  8.07 Max', ' 9121 Sum', ' 8831310 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 347835  '],[' 19371   '],[' 314981  '],[' 133053  '],"[' 355130   (Atom=Atom', ' 95111 Body=Body', ' 63793 Other', ' 196226)']",[' Yes'],"[' 24134    (Eliminated', '    0 Frozen', ' 24134)']","[' 13822    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8075'],[' 0'], ,[' 342.067'],[' 0'],[' 30.1675'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.80703e+08'],[' 7.72734e+08'],[' 0'],[' 1.24605e+10'],[' 0'],[' 0'],[' 1580 '],[' 2611 '],[' 3698 '],[' 4783 '],[' 5863 '],[' 5 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 9331+'],[' 4671'],"[' 1018.428s (Solving', ' 957.69s 1st Model', ' 463.34s Unsat', ' 0.00s)']",[' 1014.781s'], ,[' 433741948'],"[' 2590536  (Analyzed', ' 1224458)']","[' 4969     (Average', ' 246.42 Last', ' 15188)']",[' 8816.0  '],"[' 4671     (Average Length', ' 2272.56 Splits', ' 0)']","[' 5451582  (Deleted', ' 5236129)']","[' 137      (Ratio', '   0.00%)']","[' 90453    (Ratio', '   1.66%)']","[' 1224458  (Average Length', '   20.9 Ratio', '  22.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4227124  (Average Length', '   18.0 Ratio', '  77.54%) ']","[' 1224458  (Average', '  7.98 Max', ' 8592 Sum', ' 9766145)']","[' 1224458  (Average', '  7.98 Max', ' 8592 Sum', ' 9766145 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 350974  '],[' 19356   '],[' 317156  '],[' 134599  '],"[' 355662   (Atom=Atom', ' 95307 Body=Body', ' 63748 Other', ' 196607)']",[' Yes'],"[' 24321    (Eliminated', '    0 Frozen', ' 24321)']","[' 14426    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.8467'],[' 0'], ,[' 339.001'],[' 0'],[' 30.9093'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05709e+09'],[' 9.3171e+08'],[' 0'],[' 1.35891e+10'],[' 0'],[' 0'],[' 1303 '],[' 2419 '],[' 3492 '],[' 4567 '],[' 5644 '],[' 5 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 8845+'],[' 4428'],"[' 1016.880s (Solving', ' 959.69s 1st Model', ' 436.56s Unsat', ' 0.00s)']",[' 1013.328s'], ,[' 456273503'],"[' 1947000  (Analyzed', ' 800798)']","[' 4036     (Average', ' 198.41 Last', ' 24972)']",[' 8685.9  '],"[' 4428     (Average Length', ' 2198.29 Splits', ' 0)']","[' 4335498  (Deleted', ' 4114844)']","[' 283      (Ratio', '   0.01%)']","[' 95151    (Ratio', '   2.19%)']","[' 800798   (Average Length', '   25.0 Ratio', '  18.47%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3534700  (Average Length', '   20.2 Ratio', '  81.53%) ']","[' 800798   (Average', ' 11.67 Max', ' 8737 Sum', ' 9342397)']","[' 800798   (Average', ' 11.67 Max', ' 8737 Sum', ' 9342397 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 351234  '],[' 19482   '],[' 317150  '],[' 135138  '],"[' 356872   (Atom=Atom', ' 95568 Body=Body', ' 64126 Other', ' 197178)']",[' Yes'],"[' 24420    (Eliminated', '    0 Frozen', ' 24420)']","[' 16539    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0533'],[' 0'], ,[' 344.313'],[' 0'],[' 32.0839'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16486e+09'],[' 1.02994e+09'],[' 0'],[' 1.49855e+10'],[' 0'],[' 0'],[' 1324 '],[' 2419 '],[' 3673 '],[' 4704 '],[' 5796 '],[' 5 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 9437+'],[' 4724'],"[' 1018.282s (Solving', ' 954.54s 1st Model', ' 385.53s Unsat', ' 0.00s)']",[' 1013.500s'], ,[' 443874324'],"[' 1830168  (Analyzed', ' 822291)']","[' 4038     (Average', ' 203.64 Last', ' 55142)']",[' 8645.6  '],"[' 4724     (Average Length', ' 2271.48 Splits', ' 0)']","[' 4148701  (Deleted', ' 3888264)']","[' 161      (Ratio', '   0.00%)']","[' 90310    (Ratio', '   2.18%)']","[' 822291   (Average Length', '   25.5 Ratio', '  19.82%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3326410  (Average Length', '   20.9 Ratio', '  80.18%) ']","[' 822291   (Average', ' 11.67 Max', ' 8674 Sum', ' 9599248)']","[' 822291   (Average', ' 11.67 Max', ' 8674 Sum', ' 9599248 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 350781  '],[' 19294   '],[' 316897  '],[' 134582  '],"[' 354893   (Atom=Atom', ' 95112 Body=Body', ' 63562 Other', ' 196219)']",[' Yes'],"[' 24345    (Eliminated', '    0 Frozen', ' 24345)']","[' 16033    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.3837'],[' 0'], ,[' 320.963'],[' 0'],[' 31.0962'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11062e+09'],[' 9.85456e+08'],[' 0'],[' 1.24958e+10'],[' 0'],[' 0'],[' 1331 '],[' 2517 '],[' 3491 '],[' 4569 '],[' 5651 '],[' 5 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 9841+'],[' 4926'],"[' 1020.289s (Solving', ' 950.14s 1st Model', ' 359.75s Unsat', ' 0.00s)']",[' 1012.891s'], ,[' 391454090'],"[' 2506186  (Analyzed', ' 1221852)']","[' 5086     (Average', ' 240.24 Last', ' 24768)']",[' 9261.6  '],"[' 4926     (Average Length', ' 2424.29 Splits', ' 0)']","[' 5510368  (Deleted', ' 5264179)']","[' 124      (Ratio', '   0.00%)']","[' 77598    (Ratio', '   1.41%)']","[' 1221852  (Average Length', '   23.7 Ratio', '  22.17%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4288516  (Average Length', '   20.5 Ratio', '  77.83%) ']","[' 1221852  (Average', '  7.43 Max', ' 9317 Sum', ' 9072841)']","[' 1221852  (Average', '  7.43 Max', ' 9317 Sum', ' 9072841 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 349922  '],[' 19231   '],[' 316564  '],[' 134095  '],"[' 354550   (Atom=Atom', ' 95062 Body=Body', ' 63373 Other', ' 196115)']",[' Yes'],"[' 24425    (Eliminated', '    0 Frozen', ' 24425)']","[' 13288    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5478'],[' 0'], ,[' 344.377'],[' 0'],[' 29.6257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.50232e+08'],[' 7.44894e+08'],[' 0'],[' 1.35477e+10'],[' 0'],[' 0'],[' 1267 '],[' 2531 '],[' 3564 '],[' 4624 '],[' 5659 '],[' 5 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 7989+'],[' 4000'],"[' 1017.035s (Solving', ' 957.74s 1st Model', ' 378.06s Unsat', ' 0.00s)']",[' 1006.484s'], ,[' 366951039'],"[' 2652516  (Analyzed', ' 1413133)']","[' 4971     (Average', ' 284.28 Last', ' 73499)']",[' 8867.9  '],"[' 4000     (Average Length', ' 2040.84 Splits', ' 0)']","[' 6379665  (Deleted', ' 6151658)']","[' 143      (Ratio', '   0.00%)']","[' 72790    (Ratio', '   1.14%)']","[' 1413133  (Average Length', '   25.1 Ratio', '  22.15%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4966532  (Average Length', '   22.2 Ratio', '  77.85%) ']","[' 1413133  (Average', '  6.37 Max', ' 9425 Sum', ' 8994816)']","[' 1413133  (Average', '  6.37 Max', ' 9425 Sum', ' 8994816 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 350265  '],[' 19471   '],[' 316326  '],[' 134201  '],"[' 355360   (Atom=Atom', ' 95096 Body=Body', ' 64093 Other', ' 196171)']",[' Yes'],"[' 24119    (Eliminated', '    0 Frozen', ' 24119)']","[' 13607    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6382'],[' 0'], ,[' 392.599'],[' 0'],[' 28.7721'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.69811e+08'],[' 7.62392e+08'],[' 0'],[' 1.81569e+10'],[' 0'],[' 0'],[' 1451 '],[' 2467 '],[' 3490 '],[' 4763 '],[' 5825 '],[' 5 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 9393+'],[' 4702'],"[' 1018.872s (Solving', ' 954.04s 1st Model', ' 364.50s Unsat', ' 0.00s)']",[' 1007.391s'], ,[' 435350863'],"[' 2026404  (Analyzed', ' 547432)']","[' 3512     (Average', ' 155.87 Last', ' 5893)']",[' 8815.2  '],"[' 4702     (Average Length', ' 2282.69 Splits', ' 0)']","[' 3027086  (Deleted', ' 2817616)']","[' 118      (Ratio', '   0.00%)']","[' 91462    (Ratio', '   3.02%)']","[' 547432   (Average Length', '   25.6 Ratio', '  18.08%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2479654  (Average Length', '   20.2 Ratio', '  81.92%) ']","[' 547432   (Average', ' 16.44 Max', ' 7624 Sum', ' 8998170)']","[' 547432   (Average', ' 16.44 Max', ' 7624 Sum', ' 8998170 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 352077  '],[' 19418   '],[' 317876  '],[' 135353  '],"[' 356689   (Atom=Atom', ' 95586 Body=Body', ' 63934 Other', ' 197169)']",[' Yes'],"[' 24458    (Eliminated', '    0 Frozen', ' 24458)']","[' 15632    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5633'],[' 0'], ,[' 313.866'],[' 0'],[' 30.805'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06771e+09'],[' 9.46839e+08'],[' 0'],[' 1.13976e+10'],[' 0'],[' 0'],[' 1306 '],[' 2396 '],[' 3479 '],[' 4568 '],[' 5598 '],[' 5 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 9183+'],[' 4597'],"[' 1018.239s (Solving', ' 955.57s 1st Model', ' 429.20s Unsat', ' 0.00s)']",[' 1014.234s'], ,[' 435722893'],"[' 1961678  (Analyzed', ' 895860)']","[' 4261     (Average', ' 210.25 Last', ' 16819)']",[' 8991.3  '],"[' 4597     (Average Length', ' 2275.36 Splits', ' 0)']","[' 4611313  (Deleted', ' 4361259)']","[' 140      (Ratio', '   0.00%)']","[' 91506    (Ratio', '   1.98%)']","[' 895860   (Average Length', '   23.9 Ratio', '  19.43%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3715453  (Average Length', '   20.1 Ratio', '  80.57%) ']","[' 895860   (Average', ' 10.56 Max', ' 8729 Sum', ' 9461008)']","[' 895860   (Average', ' 10.56 Max', ' 8729 Sum', ' 9461008 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 350379  '],[' 19469   '],[' 317030  '],[' 134486  '],"[' 357205   (Atom=Atom', ' 95685 Body=Body', ' 64087 Other', ' 197433)']",[' Yes'],"[' 24455    (Eliminated', '    0 Frozen', ' 24455)']","[' 16395    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.979'],[' 0'], ,[' 328.233'],[' 0'],[' 30.6005'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07841e+09'],[' 9.53713e+08'],[' 0'],[' 1.28549e+10'],[' 0'],[' 0'],[' 1284 '],[' 2500 '],[' 3508 '],[' 4499 '],[' 5589 '],[' 5 '],[' 0 ']
