Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA71, ,[' 1'],[' 2613+'],[' 1316'],"[' 675.284s (Solving', ' 627.78s 1st Model', ' 37.39s Unsat', ' 0.00s)']",[' 668.359s'], ,[' 58733165'],"[' 9171236  (Analyzed', ' 9014472)']","[' 18618    (Average', ' 484.18 Last', ' 19855)']",[' 6192.3  '],"[' 1316     (Average Length', ' 647.80 Splits', ' 0)']","[' 9014472  (Deleted', ' 8886273)']","[' 13       (Ratio', '   0.00%)']","[' 7733     (Ratio', '   0.09%)']","[' 9014472  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9014472  (Average', '  5.72 Max', ' 8721 Sum', ' 51590342)']","[' 9013115  (Average', '  5.64 Max', ' 8721 Sum', ' 50858714 Ratio', '  98.58%)']","[' 1357     (Average', ' 539.15 Max', ' 1023 Sum', ' 731628 Ratio', '   1.42%)']", ,[' 368665  '],[' 13061   '],[' 367950  '],[' 216060  '],"[' 648176   (Atom=Atom', ' 204997 Body=Body', ' 113961 Other', ' 329218)']",[' Yes'],"[' 14346    (Eliminated', '    0 Frozen', ' 14346)']","[' 1464     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2503'],[' 0'], ,[' 518.968'],[' 0'],[' 9.38232'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.68809e+08'],[' 2.40706e+08'],[' 0'],[' 4.79891e+10'],[' 0'],[' 0'],[' 1001 '],[' 1990 '],[' 3052 '],[' 3827 '],[' 4711 '],[' 6067 '],[' 6759 '],[' 7655 '],[' 8370 ']
Solving...,TA72, ,[' 1'],[' 3241+'],[' 1630'],"[' 646.134s (Solving', ' 607.79s 1st Model', ' 31.44s Unsat', ' 0.00s)']",[' 640.828s'], ,[' 35001777'],"[' 4010965  (Analyzed', ' 3873614)']","[' 9329     (Average', ' 415.22 Last', ' 31209)']",[' 5802.1  '],"[' 1630     (Average Length', ' 793.60 Splits', ' 0)']","[' 3873614  (Deleted', ' 3792939)']","[' 18       (Ratio', '   0.00%)']","[' 5960     (Ratio', '   0.15%)']","[' 3873614  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3873614  (Average', '  7.06 Max', ' 8872 Sum', ' 27342349)']","[' 3872402  (Average', '  6.85 Max', ' 8872 Sum', ' 26538005 Ratio', '  97.06%)']","[' 1212     (Average', ' 663.65 Max', ' 1347 Sum', ' 804344 Ratio', '   2.94%)']", ,[' 364986  '],[' 12974   '],[' 364569  '],[' 214595  '],"[' 643781   (Atom=Atom', ' 203619 Body=Body', ' 113874 Other', ' 326288)']",[' Yes'],"[' 14557    (Eliminated', '    0 Frozen', ' 14557)']","[' 1224     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.94461'],[' 0'], ,[' 523.536'],[' 0'],[' 7.9315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00864e+08'],[' 1.87787e+08'],[' 0'],[' 5.7052e+10'],[' 0'],[' 0'],[' 711 '],[' 1711 '],[' 2426 '],[' 3323 '],[' 4199 '],[' 4983 '],[' 5852 '],[' 6554 '],[' 7491 ']
Solving...,TA73, ,[' 1'],[' 2917+'],[' 1468'],"[' 609.601s (Solving', ' 584.54s 1st Model', ' 22.57s Unsat', ' 0.00s)']",[' 608.813s'], ,[' 48849864'],"[' 8648145  (Analyzed', ' 8482641)']","[' 16993    (Average', ' 499.18 Last', ' 200362)']",[' 6399.9  '],"[' 1468     (Average Length', ' 709.82 Splits', ' 0)']","[' 8482641  (Deleted', ' 8368373)']","[' 17       (Ratio', '   0.00%)']","[' 6634     (Ratio', '   0.08%)']","[' 8482641  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8482641  (Average', '  4.78 Max', ' 9146 Sum', ' 40508216)']","[' 8481621  (Average', '  4.71 Max', ' 9146 Sum', ' 39959937 Ratio', '  98.65%)']","[' 1020     (Average', ' 537.53 Max', ' 1183 Sum', ' 548279 Ratio', '   1.35%)']", ,[' 367478  '],[' 13038   '],[' 366898  '],[' 217523  '],"[' 652565   (Atom=Atom', ' 206483 Body=Body', ' 113938 Other', ' 332144)']",[' Yes'],"[' 14458    (Eliminated', '    0 Frozen', ' 14458)']","[' 1259     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.23321'],[' 0'], ,[' 515.406'],[' 0'],[' 7.27742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31629e+08'],[' 2.0599e+08'],[' 0'],[' 8.00552e+10'],[' 0'],[' 0'],[' 1054 '],[' 2016 '],[' 2880 '],[' 3680 '],[' 4468 '],[' 5166 '],[' 6145 '],[' 7010 '],[' 7894 ']
Solving...,TA74, ,[' 1'],[' 2867+'],[' 1443'],"[' 607.012s (Solving', ' 583.07s 1st Model', ' 21.55s Unsat', ' 0.00s)']",[' 605.750s'], ,[' 48995760'],"[' 8988345  (Analyzed', ' 8775721)']","[' 18502    (Average', ' 474.31 Last', ' 42036)']",[' 6187.7  '],"[' 1443     (Average Length', ' 703.68 Splits', ' 0)']","[' 8775721  (Deleted', ' 8639341)']","[' 6        (Ratio', '   0.00%)']","[' 7204     (Ratio', '   0.08%)']","[' 8775721  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8775721  (Average', '  4.67 Max', ' 9157 Sum', ' 41012751)']","[' 8774799  (Average', '  4.62 Max', ' 9157 Sum', ' 40501784 Ratio', '  98.75%)']","[' 922      (Average', ' 554.19 Max', ' 1119 Sum', ' 510967 Ratio', '   1.25%)']", ,[' 365412  '],[' 12998   '],[' 364822  '],[' 218350  '],"[' 655046   (Atom=Atom', ' 207350 Body=Body', ' 113898 Other', ' 333798)']",[' Yes'],"[' 14408    (Eliminated', '    0 Frozen', ' 14408)']","[' 1607     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.98628'],[' 0'], ,[' 511.733'],[' 0'],[' 7.4847'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26336e+08'],[' 2.00901e+08'],[' 0'],[' 7.87534e+10'],[' 0'],[' 0'],[' 885 '],[' 1763 '],[' 2706 '],[' 3584 '],[' 4338 '],[' 5340 '],[' 6118 '],[' 7141 '],[' 7923 ']
Solving...,TA75, ,[' 1'],[' 2929+'],[' 1474'],"[' 609.303s (Solving', ' 584.96s 1st Model', ' 22.61s Unsat', ' 0.00s)']",[' 608.047s'], ,[' 51638081'],"[' 9638195  (Analyzed', ' 9443622)']","[' 19883    (Average', ' 474.96 Last', ' 59441)']",[' 6104.6  '],"[' 1474     (Average Length', ' 720.39 Splits', ' 0)']","[' 9443622  (Deleted', ' 9305672)']","[' 12       (Ratio', '   0.00%)']","[' 6213     (Ratio', '   0.07%)']","[' 9443622  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9443622  (Average', '  4.64 Max', ' 9011 Sum', ' 43786461)']","[' 9442359  (Average', '  4.57 Max', ' 9011 Sum', ' 43112585 Ratio', '  98.46%)']","[' 1263     (Average', ' 533.55 Max', ' 1182 Sum', ' 673876 Ratio', '   1.54%)']", ,[' 367193  '],[' 13248   '],[' 366628  '],[' 216793  '],"[' 650375   (Atom=Atom', ' 205543 Body=Body', ' 114148 Other', ' 330684)']",[' Yes'],"[' 14683    (Eliminated', '    0 Frozen', ' 14683)']","[' 1129     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.09882'],[' 0'], ,[' 509.798'],[' 0'],[' 7.52251'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35822e+08'],[' 2.05655e+08'],[' 0'],[' 7.98652e+10'],[' 0'],[' 0'],[' 994 '],[' 1753 '],[' 2682 '],[' 3667 '],[' 4470 '],[' 5166 '],[' 5964 '],[' 7072 '],[' 7785 ']
Solving...,TA76, ,[' 1'],[' 2837+'],[' 1428'],"[' 604.519s (Solving', ' 580.94s 1st Model', ' 20.19s Unsat', ' 0.00s)']",[' 603.609s'], ,[' 46395710'],"[' 8344285  (Analyzed', ' 8149702)']","[' 17298    (Average', ' 471.14 Last', ' 15264)']",[' 6105.6  '],"[' 1428     (Average Length', ' 694.19 Splits', ' 0)']","[' 8149702  (Deleted', ' 8019758)']","[' 12       (Ratio', '   0.00%)']","[' 6383     (Ratio', '   0.08%)']","[' 8149702  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8149702  (Average', '  4.75 Max', ' 9043 Sum', ' 38726071)']","[' 8148648  (Average', '  4.68 Max', ' 9043 Sum', ' 38111861 Ratio', '  98.41%)']","[' 1054     (Average', ' 582.74 Max', ' 1172 Sum', ' 614210 Ratio', '   1.59%)']", ,[' 365614  '],[' 13001   '],[' 364993  '],[' 216482  '],"[' 649442   (Atom=Atom', ' 205479 Body=Body', ' 113901 Other', ' 330062)']",[' Yes'],"[' 14380    (Eliminated', '    0 Frozen', ' 14380)']","[' 1240     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.85585'],[' 0'], ,[' 514.61'],[' 0'],[' 7.33657'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12297e+08'],[' 1.87595e+08'],[' 0'],[' 8.10361e+10'],[' 0'],[' 0'],[' 1052 '],[' 1886 '],[' 2754 '],[' 3462 '],[' 4198 '],[' 5177 '],[' 5852 '],[' 6737 '],[' 7594 ']
Solving...,TA77, ,[' 1'],[' 3007+'],[' 1513'],"[' 608.068s (Solving', ' 583.02s 1st Model', ' 20.48s Unsat', ' 0.00s)']",[' 606.766s'], ,[' 42285808'],"[' 8405125  (Analyzed', ' 8201734)']","[' 17142    (Average', ' 478.46 Last', ' 112873)']",[' 5904.8  '],"[' 1513     (Average Length', ' 729.89 Splits', ' 0)']","[' 8201734  (Deleted', ' 8084371)']","[' 13       (Ratio', '   0.00%)']","[' 5653     (Ratio', '   0.07%)']","[' 8201734  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8201734  (Average', '  4.20 Max', ' 9193 Sum', ' 34457095)']","[' 8200806  (Average', '  4.14 Max', ' 9193 Sum', ' 33926616 Ratio', '  98.46%)']","[' 928      (Average', ' 571.64 Max', ' 1257 Sum', ' 530479 Ratio', '   1.54%)']", ,[' 364399  '],[' 12889   '],[' 363853  '],[' 216105  '],"[' 648311   (Atom=Atom', ' 205214 Body=Body', ' 113789 Other', ' 329308)']",[' Yes'],"[' 14343    (Eliminated', '    0 Frozen', ' 14343)']","[' 1006     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.26894'],[' 0'], ,[' 515.265'],[' 0'],[' 7.23334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02976e+08'],[' 1.79415e+08'],[' 0'],[' 7.48591e+10'],[' 0'],[' 0'],[' 941 '],[' 1689 '],[' 2496 '],[' 3358 '],[' 4259 '],[' 5016 '],[' 5793 '],[' 6601 '],[' 7458 ']
Solving...,TA78, ,[' 1'],[' 3215+'],[' 1617'],"[' 621.330s (Solving', ' 591.71s 1st Model', ' 24.25s Unsat', ' 0.00s)']",[' 619.281s'], ,[' 44181584'],"[' 7827620  (Analyzed', ' 7605859)']","[' 16003    (Average', ' 475.28 Last', ' 33341)']",[' 6023.0  '],"[' 1617     (Average Length', ' 780.07 Splits', ' 0)']","[' 7605859  (Deleted', ' 7481061)']","[' 18       (Ratio', '   0.00%)']","[' 6455     (Ratio', '   0.08%)']","[' 7605859  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7605859  (Average', '  4.71 Max', ' 9085 Sum', ' 35842327)']","[' 7604837  (Average', '  4.62 Max', ' 9085 Sum', ' 35175255 Ratio', '  98.14%)']","[' 1022     (Average', ' 652.71 Max', ' 1285 Sum', ' 667072 Ratio', '   1.86%)']", ,[' 365152  '],[' 12936   '],[' 364709  '],[' 216106  '],"[' 648314   (Atom=Atom', ' 205168 Body=Body', ' 113836 Other', ' 329310)']",[' Yes'],"[' 14493    (Eliminated', '    0 Frozen', ' 14493)']","[' 1118     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.04805'],[' 0'], ,[' 513.074'],[' 0'],[' 7.68925'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16878e+08'],[' 1.93861e+08'],[' 0'],[' 7.0541e+10'],[' 0'],[' 0'],[' 913 '],[' 1857 '],[' 2648 '],[' 3464 '],[' 4301 '],[' 5173 '],[' 5986 '],[' 6876 '],[' 7676 ']
Solving...,TA79, ,[' 1'],[' 2925+'],[' 1472'],"[' 616.538s (Solving', ' 588.72s 1st Model', ' 24.21s Unsat', ' 0.00s)']",[' 614.891s'], ,[' 46412230'],"[' 6608647  (Analyzed', ' 6459974)']","[' 13834    (Average', ' 466.96 Last', ' 33677)']",[' 6036.5  '],"[' 1472     (Average Length', ' 711.90 Splits', ' 0)']","[' 6459974  (Deleted', ' 6352726)']","[' 14       (Ratio', '   0.00%)']","[' 7273     (Ratio', '   0.11%)']","[' 6459974  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6459974  (Average', '  6.00 Max', ' 9018 Sum', ' 38789864)']","[' 6458916  (Average', '  5.90 Max', ' 9018 Sum', ' 38134377 Ratio', '  98.31%)']","[' 1058     (Average', ' 619.55 Max', ' 1166 Sum', ' 655487 Ratio', '   1.69%)']", ,[' 366459  '],[' 12994   '],[' 365879  '],[' 217123  '],"[' 651365   (Atom=Atom', ' 206127 Body=Body', ' 113894 Other', ' 331344)']",[' Yes'],"[' 14414    (Eliminated', '    0 Frozen', ' 14414)']","[' 1456     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.68172'],[' 0'], ,[' 515.798'],[' 0'],[' 8.1359'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18647e+08'],[' 1.97197e+08'],[' 0'],[' 7.18269e+10'],[' 0'],[' 0'],[' 830 '],[' 1894 '],[' 2572 '],[' 3417 '],[' 4148 '],[' 4938 '],[' 5832 '],[' 6685 '],[' 7352 ']
Solving...,TA80, ,[' 1'],[' 3337+'],[' 1678'],"[' 625.503s (Solving', ' 594.96s 1st Model', ' 26.43s Unsat', ' 0.00s)']",[' 623.250s'], ,[' 45673900'],"[' 6486281  (Analyzed', ' 6202165)']","[' 13651    (Average', ' 454.34 Last', ' 27275)']",[' 6252.9  '],"[' 1678     (Average Length', ' 799.79 Splits', ' 0)']","[' 6202165  (Deleted', ' 6092467)']","[' 16       (Ratio', '   0.00%)']","[' 5908     (Ratio', '   0.10%)']","[' 6202165  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6202165  (Average', '  5.92 Max', ' 9433 Sum', ' 36716998)']","[' 6201116  (Average', '  5.80 Max', ' 9433 Sum', ' 35961131 Ratio', '  97.94%)']","[' 1049     (Average', ' 720.56 Max', ' 1359 Sum', ' 755867 Ratio', '   2.06%)']", ,[' 369933  '],[' 13304   '],[' 369527  '],[' 222099  '],"[' 666293   (Atom=Atom', ' 210793 Body=Body', ' 114204 Other', ' 341296)']",[' Yes'],"[' 14898    (Eliminated', '    0 Frozen', ' 14898)']","[' 1085     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.34188'],[' 0'], ,[' 521.731'],[' 0'],[' 8.1467'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24739e+08'],[' 2.04382e+08'],[' 0'],[' 7.04911e+10'],[' 0'],[' 0'],[' 1061 '],[' 1687 '],[' 2646 '],[' 3361 '],[' 4189 '],[' 5065 '],[' 5824 '],[' 6600 '],[' 7471 ']
