Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 4567+'],[' 2291'],"[' 1009.009s (Solving', ' 979.41s 1st Model', ' 37.71s Unsat', ' 0.00s)']",[' 1003.203s'], ,[' 171803861'],"[' 15978582 (Analyzed', ' 15716210)']","[' 30786    (Average', ' 510.50 Last', ' 25784)']",[' 6979.9  '],"[' 2291     (Average Length', ' 1242.38 Splits', ' 0)']","[' 15716210 (Deleted', ' 15550527)']","[' 49       (Ratio', '   0.00%)']","[' 20450    (Ratio', '   0.13%)']","[' 15716210 (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15716210 (Average', ' 10.22 Max', ' 9868 Sum', ' 160608085)']","[' 15713794 (Average', ' 10.02 Max', ' 9868 Sum', ' 157514375 Ratio', '  98.07%)']","[' 2416     (Average', ' 1280.51 Max', ' 1746 Sum', ' 3093710 Ratio', '   1.93%)']", ,[' 295724  '],[' 14305   '],[' 269730  '],[' 100926  '],"[' 267342   (Atom=Atom', ' 73533 Body=Body', ' 48755 Other', ' 145054)']",[' Yes'],"[' 17825    (Eliminated', '    0 Frozen', ' 17825)']","[' 4050     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.75784'],[' 0'], ,[' 658.683'],[' 0'],[' 20.5268'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08413e+08'],[' 2.4271e+08'],[' 0'],[' 3.42754e+10'],[' 0'],[' 0'],[' 1380 '],[' 2552 '],[' 3430 '],[' 4192 '],[' 4922 '],[' 5830 '],[' 6482 '],[' 7 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 4623+'],[' 2319'],"[' 1009.357s (Solving', ' 979.16s 1st Model', ' 37.04s Unsat', ' 0.00s)']",[' 1001.125s'], ,[' 136865176'],"[' 15877904 (Analyzed', ' 15553840)']","[' 31066    (Average', ' 500.67 Last', ' 33927)']",[' 6927.5  '],"[' 2319     (Average Length', ' 1264.89 Splits', ' 0)']","[' 15553840 (Deleted', ' 15386473)']","[' 54       (Ratio', '   0.00%)']","[' 16159    (Ratio', '   0.10%)']","[' 15553840 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15553840 (Average', '  8.07 Max', ' 10148 Sum', ' 125531777)']","[' 15551736 (Average', '  7.88 Max', ' 10148 Sum', ' 122601500 Ratio', '  97.67%)']","[' 2104     (Average', ' 1392.72 Max', ' 1836 Sum', ' 2930277 Ratio', '   2.33%)']", ,[' 296924  '],[' 13961   '],[' 269527  '],[' 101236  '],"[' 262009   (Atom=Atom', ' 72185 Body=Body', ' 47723 Other', ' 142101)']",[' Yes'],"[' 17478    (Eliminated', '    0 Frozen', ' 17478)']","[' 3135     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.91919'],[' 0'], ,[' 668.813'],[' 0'],[' 19.9069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41118e+08'],[' 1.81839e+08'],[' 0'],[' 3.25073e+10'],[' 0'],[' 0'],[' 1087 '],[' 2073 '],[' 2927 '],[' 3839 '],[' 4445 '],[' 5349 '],[' 6136 '],[' 7 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 4223+'],[' 2119'],"[' 1009.901s (Solving', ' 979.57s 1st Model', ' 38.09s Unsat', ' 0.00s)']",[' 999.969s'], ,[' 128367290'],"[' 16711372 (Analyzed', ' 16276392)']","[' 32291    (Average', ' 504.05 Last', ' 67338)']",[' 7469.7  '],"[' 2119     (Average Length', ' 1187.12 Splits', ' 0)']","[' 16276392 (Deleted', ' 16106021)']","[' 23       (Ratio', '   0.00%)']","[' 10976    (Ratio', '   0.07%)']","[' 16276392 (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16276392 (Average', '  7.18 Max', ' 12083 Sum', ' 116800383)']","[' 16273951 (Average', '  6.99 Max', ' 10759 Sum', ' 113824468 Ratio', '  97.45%)']","[' 2441     (Average', ' 1219.14 Max', ' 1708 Sum', ' 2975915 Ratio', '   2.55%)']", ,[' 295878  '],[' 14120   '],[' 269149  '],[' 100689  '],"[' 263893   (Atom=Atom', ' 72621 Body=Body', ' 48200 Other', ' 143072)']",[' Yes'],"[' 17474    (Eliminated', '    0 Frozen', ' 17474)']","[' 2034     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.83198'],[' 0'], ,[' 671.057'],[' 0'],[' 18.9363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00415e+08'],[' 1.4741e+08'],[' 0'],[' 3.25118e+10'],[' 0'],[' 0'],[' 1512 '],[' 2485 '],[' 3327 '],[' 4008 '],[' 4782 '],[' 5582 '],[' 6451 '],[' 7 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 4083+'],[' 2049'],"[' 1009.021s (Solving', ' 980.84s 1st Model', ' 33.86s Unsat', ' 0.00s)']",[' 1005.750s'], ,[' 143553882'],"[' 15376376 (Analyzed', ' 15008849)']","[' 28430    (Average', ' 527.92 Last', ' 452051)']",[' 6875.4  '],"[' 2049     (Average Length', ' 1160.94 Splits', ' 0)']","[' 15008849 (Deleted', ' 14853218)']","[' 23       (Ratio', '   0.00%)']","[' 17569    (Ratio', '   0.12%)']","[' 15008849 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15008849 (Average', '  8.93 Max', ' 9745 Sum', ' 134009399)']","[' 15006131 (Average', '  8.71 Max', ' 9745 Sum', ' 130707554 Ratio', '  97.54%)']","[' 2718     (Average', ' 1214.81 Max', ' 1650 Sum', ' 3301845 Ratio', '   2.46%)']", ,[' 297530  '],[' 14134   '],[' 270142  '],[' 101469  '],"[' 263845   (Atom=Atom', ' 72607 Body=Body', ' 48242 Other', ' 142996)']",[' Yes'],"[' 17434    (Eliminated', '    0 Frozen', ' 17434)']","[' 3453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.45368'],[' 0'], ,[' 685.352'],[' 0'],[' 21.4659'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35069e+08'],[' 1.81063e+08'],[' 0'],[' 3.50282e+10'],[' 0'],[' 0'],[' 1200 '],[' 2130 '],[' 2983 '],[' 3915 '],[' 4814 '],[' 5316 '],[' 6055 '],[' 7 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 3753+'],[' 1884'],"[' 883.732s (Solving', ' 855.31s 1st Model', ' 32.48s Unsat', ' 0.00s)']",[' 871.438s'], ,[' 116839649'],"[' 12661035 (Analyzed', ' 12379101)']","[' 23987    (Average', ' 516.08 Last', ' 81527)']",[' 6716.9  '],"[' 1883     (Average Length', ' 1046.34 Splits', ' 0)']","[' 12379101 (Deleted', ' 12244784)']","[' 22       (Ratio', '   0.00%)']","[' 13022    (Ratio', '   0.11%)']","[' 12379101 (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12379101 (Average', '  8.76 Max', ' 10230 Sum', ' 108419879)']","[' 12376327 (Average', '  8.50 Max', ' 10230 Sum', ' 105215165 Ratio', '  97.04%)']","[' 2774     (Average', ' 1155.27 Max', ' 1500 Sum', ' 3204714 Ratio', '   2.96%)']", ,[' 296913  '],[' 14339   '],[' 269718  '],[' 101597  '],"[' 266530   (Atom=Atom', ' 73262 Body=Body', ' 48857 Other', ' 144411)']",[' Yes'],"[' 17491    (Eliminated', '    0 Frozen', ' 17491)']","[' 2356     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.17765'],[' 0'], ,[' 554.964'],[' 0'],[' 15.7623'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02911e+08'],[' 1.57174e+08'],[' 0'],[' 2.43548e+10'],[' 0'],[' 0'],[' 1330 '],[' 2774 '],[' 3431 '],[' 3859 '],[' 5361 '],[' 6054 '],[' 6740 '],[' 7 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 3995+'],[' 2005'],"[' 1008.550s (Solving', ' 982.32s 1st Model', ' 31.78s Unsat', ' 0.00s)']",[' 1002.531s'], ,[' 143742039'],"[' 17794514 (Analyzed', ' 17376074)']","[' 34210    (Average', ' 507.92 Last', ' 33517)']",[' 7052.1  '],"[' 2005     (Average Length', ' 1135.13 Splits', ' 0)']","[' 17376074 (Deleted', ' 17195932)']","[' 15       (Ratio', '   0.00%)']","[' 13528    (Ratio', '   0.08%)']","[' 17376074 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17376074 (Average', '  7.69 Max', ' 10717 Sum', ' 133591411)']","[' 17373582 (Average', '  7.52 Max', ' 10391 Sum', ' 130598690 Ratio', '  97.76%)']","[' 2492     (Average', ' 1200.93 Max', ' 1653 Sum', ' 2992721 Ratio', '   2.24%)']", ,[' 297621  '],[' 14099   '],[' 269913  '],[' 101549  '],"[' 263159   (Atom=Atom', ' 72423 Body=Body', ' 48137 Other', ' 142599)']",[' Yes'],"[' 17347    (Eliminated', '    0 Frozen', ' 17347)']","[' 2572     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.97276'],[' 0'], ,[' 678.534'],[' 0'],[' 18.6727'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29811e+08'],[' 1.73026e+08'],[' 0'],[' 3.37688e+10'],[' 0'],[' 0'],[' 1218 '],[' 2142 '],[' 3110 '],[' 3893 '],[' 4663 '],[' 5560 '],[' 6316 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 4079+'],[' 2047'],"[' 1008.142s (Solving', ' 982.38s 1st Model', ' 29.94s Unsat', ' 0.00s)']",[' 1005.094s'], ,[' 149755599'],"[' 18873297 (Analyzed', ' 18324264)']","[' 35406    (Average', ' 517.55 Last', ' 143831)']",[' 7512.8  '],"[' 2047     (Average Length', ' 1154.66 Splits', ' 0)']","[' 18324264 (Deleted', ' 18150479)']","[' 22       (Ratio', '   0.00%)']","[' 13860    (Ratio', '   0.08%)']","[' 18324264 (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18324264 (Average', '  7.55 Max', ' 10449 Sum', ' 138307229)']","[' 18321618 (Average', '  7.38 Max', ' 10449 Sum', ' 135278719 Ratio', '  97.81%)']","[' 2646     (Average', ' 1144.56 Max', ' 7039 Sum', ' 3028510 Ratio', '   2.19%)']", ,[' 296194  '],[' 14140   '],[' 269357  '],[' 100747  '],"[' 263868   (Atom=Atom', ' 72629 Body=Body', ' 48260 Other', ' 142979)']",[' Yes'],"[' 17419    (Eliminated', '    0 Frozen', ' 17419)']","[' 2407     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.9453'],[' 0'], ,[' 699.158'],[' 0'],[' 19.634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.40257e+08'],[' 1.7612e+08'],[' 0'],[' 3.9255e+10'],[' 0'],[' 0'],[' 1535 '],[' 2341 '],[' 3324 '],[' 3915 '],[' 4811 '],[' 5766 '],[' 6227 '],[' 7 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 4329+'],[' 2172'],"[' 1008.602s (Solving', ' 982.15s 1st Model', ' 34.02s Unsat', ' 0.00s)']",[' 1001.359s'], ,[' 163272214'],"[' 16724701 (Analyzed', ' 16428067)']","[' 30950    (Average', ' 530.79 Last', ' 185179)']",[' 6288.6  '],"[' 2172     (Average Length', ' 1192.02 Splits', ' 0)']","[' 16428067 (Deleted', ' 16254451)']","[' 28       (Ratio', '   0.00%)']","[' 17981    (Ratio', '   0.11%)']","[' 16428067 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16428067 (Average', '  9.41 Max', ' 10595 Sum', ' 154668626)']","[' 16425421 (Average', '  9.19 Max', ' 9611 Sum', ' 151014151 Ratio', '  97.64%)']","[' 2646     (Average', ' 1381.13 Max', ' 1810 Sum', ' 3654475 Ratio', '   2.36%)']", ,[' 297892  '],[' 14099   '],[' 270163  '],[' 101871  '],"[' 263669   (Atom=Atom', ' 72590 Body=Body', ' 48137 Other', ' 142942)']",[' Yes'],"[' 17480    (Eliminated', '    0 Frozen', ' 17480)']","[' 3452     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.01112'],[' 0'], ,[' 682.59'],[' 0'],[' 21.5886'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7431e+08'],[' 2.12576e+08'],[' 0'],[' 3.53424e+10'],[' 0'],[' 0'],[' 1147 '],[' 2086 '],[' 2971 '],[' 3754 '],[' 4666 '],[' 5737 '],[' 6518 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 4691+'],[' 2353'],"[' 1011.968s (Solving', ' 974.41s 1st Model', ' 41.94s Unsat', ' 0.00s)']",[' 988.391s'], ,[' 114859034'],"[' 14110929 (Analyzed', ' 13727783)']","[' 27741    (Average', ' 494.86 Last', ' 105351)']",[' 6917.0  '],"[' 2353     (Average Length', ' 1262.18 Splits', ' 0)']","[' 13727783 (Deleted', ' 13564938)']","[' 24       (Ratio', '   0.00%)']","[' 15091    (Ratio', '   0.11%)']","[' 13727783 (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13727783 (Average', '  7.55 Max', ' 10075 Sum', ' 103698320)']","[' 13725310 (Average', '  7.32 Max', ' 9916 Sum', ' 100473371 Ratio', '  96.89%)']","[' 2473     (Average', ' 1304.06 Max', ' 1794 Sum', ' 3224949 Ratio', '   3.11%)']", ,[' 298829  '],[' 14046   '],[' 271002  '],[' 102150  '],"[' 263473   (Atom=Atom', ' 72559 Body=Body', ' 47978 Other', ' 142936)']",[' Yes'],"[' 17585    (Eliminated', '    0 Frozen', ' 17585)']","[' 2996     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.17719'],[' 0'], ,[' 651.968'],[' 0'],[' 18.8688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94961e+08'],[' 1.46165e+08'],[' 0'],[' 2.85934e+10'],[' 0'],[' 0'],[' 1071 '],[' 1980 '],[' 2893 '],[' 3741 '],[' 4460 '],[' 5294 '],[' 5964 '],[' 7 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 4543+'],[' 2279'],"[' 1008.985s (Solving', ' 980.70s 1st Model', ' 36.25s Unsat', ' 0.00s)']",[' 1007.141s'], ,[' 152363069'],"[' 15207308 (Analyzed', ' 14831516)']","[' 28689    (Average', ' 516.98 Last', ' 18920)']",[' 6939.1  '],"[' 2279     (Average Length', ' 1218.50 Splits', ' 0)']","[' 14831516 (Deleted', ' 14672924)']","[' 32       (Ratio', '   0.00%)']","[' 21390    (Ratio', '   0.14%)']","[' 14831516 (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14831516 (Average', '  9.53 Max', ' 9844 Sum', ' 141406319)']","[' 14828980 (Average', '  9.31 Max', ' 9844 Sum', ' 138118869 Ratio', '  97.68%)']","[' 2536     (Average', ' 1296.31 Max', ' 1769 Sum', ' 3287450 Ratio', '   2.32%)']", ,[' 296605  '],[' 14307   '],[' 270329  '],[' 101224  '],"[' 266994   (Atom=Atom', ' 73529 Body=Body', ' 48761 Other', ' 144704)']",[' Yes'],"[' 17692    (Eliminated', '    0 Frozen', ' 17692)']","[' 4383     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51987'],[' 0'], ,[' 666.625'],[' 0'],[' 19.7701'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6754e+08'],[' 2.077e+08'],[' 0'],[' 3.50122e+10'],[' 0'],[' 0'],[' 1458 '],[' 2413 '],[' 3012 '],[' 3763 '],[' 4417 '],[' 5325 '],[' 6153 '],[' 7 '],[' 0 ']
