Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1831'],[' 923'],"[' 748.336s (Solving', ' 743.04s 1st Model', ' 3.40s Unsat', ' 25.45s)']",[' 747.641s'], ,[' 42953367'],"[' 25303654 (Analyzed', ' 25246161)']","[' 48179    (Average', ' 524.01 Last', ' 161913)']",[' 2282.2  '],"[' 923      (Average Length', ' 436.79 Splits', ' 0)']","[' 25246161 (Deleted', ' 24891707)']","[' 19       (Ratio', '   0.00%)']","[' 2917     (Ratio', '   0.01%)']","[' 25246161 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25246161 (Average', '  1.61 Max', ' 2842 Sum', ' 40595985)']","[' 25245840 (Average', '  1.60 Max', ' 2842 Sum', ' 40502849 Ratio', '  99.77%)']","[' 321      (Average', ' 290.14 Max', ' 557 Sum', '  93136 Ratio', '   0.23%)']", ,[' 100728  '],[' 4495    '],[' 100594  '],[' 56955   '],"[' 170861   (Atom=Atom', ' 53458 Body=Body', ' 29945 Other', ' 87458)']",[' Yes'],"[' 5361     (Eliminated', '    0 Frozen', ' 5361)']","[' 447      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32187'],[' 0'], ,[' 593.886'],[' 0'],[' 10.8237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30882e+08'],[' 7.19894e+07'],[' 0'],[' 7.67801e+10'],[' 0'],[' 0'],[' 666 '],[' 1207 '],[' 1853 '],[' 2280 '],[' 3075 '],[' 3543 '],[' 4040 '],[' 5 '],[' 2 ']
Solving...,TA62, , ,[' 1'],[' 1819+'],[' 917'],"[' 801.115s (Solving', ' 796.32s 1st Model', ' 2.97s Unsat', ' 82.00s)']",[' 800.250s'], ,[' 46788769'],"[' 26619737 (Analyzed', ' 26557219)']","[' 50597    (Average', ' 524.88 Last', ' 113575)']",[' 2182.7  '],"[' 917      (Average Length', ' 441.48 Splits', ' 0)']","[' 26557219 (Deleted', ' 26163660)']","[' 29       (Ratio', '   0.00%)']","[' 3007     (Ratio', '   0.01%)']","[' 26557219 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26557219 (Average', '  1.68 Max', ' 2794 Sum', ' 44587520)']","[' 26556781 (Average', '  1.67 Max', ' 2794 Sum', ' 44404501 Ratio', '  99.59%)']","[' 438      (Average', ' 417.85 Max', ' 732 Sum', ' 183019 Ratio', '   0.41%)']", ,[' 101828  '],[' 4531    '],[' 101703  '],[' 57545   '],"[' 172631   (Atom=Atom', ' 54012 Body=Body', ' 29981 Other', ' 88638)']",[' Yes'],"[' 5406     (Eliminated', '    0 Frozen', ' 5406)']","[' 395      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20649'],[' 0'], ,[' 640.399'],[' 0'],[' 10.4555'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40307e+08'],[' 7.75663e+07'],[' 0'],[' 8.65317e+10'],[' 0'],[' 0'],[' 751 '],[' 1381 '],[' 1904 '],[' 2430 '],[' 2941 '],[' 3536 '],[' 4185 '],[' 5 '],[' 2 ']
Solving...,TA63, , , ,[' 1499'],[' 757'],"[' 612.456s (Solving', ' 608.44s 1st Model', ' 2.78s Unsat', ' 34.27s)']",[' 611.234s'], ,[' 38249269'],"[' 20988235 (Analyzed', ' 20930655)']","[' 39645    (Average', ' 527.95 Last', ' 25568)']",[' 2147.5  '],"[' 757      (Average Length', ' 365.68 Splits', ' 0)']","[' 20930655 (Deleted', ' 20660005)']","[' 30       (Ratio', '   0.00%)']","[' 2971     (Ratio', '   0.01%)']","[' 20930655 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20930655 (Average', '  1.73 Max', ' 2894 Sum', ' 36251680)']","[' 20930373 (Average', '  1.73 Max', ' 2894 Sum', ' 36175560 Ratio', '  99.79%)']","[' 282      (Average', ' 269.93 Max', ' 597 Sum', '  76120 Ratio', '   0.21%)']", ,[' 100695  '],[' 4474    '],[' 100422  '],[' 56852   '],"[' 170552   (Atom=Atom', ' 53376 Body=Body', ' 29924 Other', ' 87252)']",[' Yes'],"[' 5201     (Eliminated', '    0 Frozen', ' 5201)']","[' 394      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03158'],[' 0'], ,[' 492.887'],[' 0'],[' 8.50353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10108e+08'],[' 6.21927e+07'],[' 0'],[' 7.00018e+10'],[' 0'],[' 0'],[' 833 '],[' 1319 '],[' 1983 '],[' 2459 '],[' 3109 '],[' 3785 '],[' 4316 '],[' 4 '],[' 3 ']
Solving...,TA64, , , ,[' 1673'],[' 844'],"[' 446.086s (Solving', ' 441.35s 1st Model', ' 4.29s Unsat', ' 5.77s)']",[' 445.828s'], ,[' 30760750'],"[' 18928198 (Analyzed', ' 18881516)']","[' 35700    (Average', ' 528.89 Last', ' 18066)']",[' 2344.5  '],"[' 844      (Average Length', ' 402.77 Splits', ' 0)']","[' 18881516 (Deleted', ' 18612026)']","[' 51       (Ratio', '   0.00%)']","[' 1923     (Ratio', '   0.01%)']","[' 18881516 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18881516 (Average', '  1.52 Max', ' 3016 Sum', ' 28631807)']","[' 18881269 (Average', '  1.51 Max', ' 3016 Sum', ' 28590536 Ratio', '  99.86%)']","[' 247      (Average', ' 167.09 Max', ' 496 Sum', '  41271 Ratio', '   0.14%)']", ,[' 101049  '],[' 4467    '],[' 100843  '],[' 57104   '],"[' 171308   (Atom=Atom', ' 53635 Body=Body', ' 29917 Other', ' 87756)']",[' Yes'],"[' 5261     (Eliminated', '    0 Frozen', ' 5261)']","[' 228      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23'],[' 0'], ,[' 330.937'],[' 0'],[' 7.60225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.50232e+07'],[' 5.06772e+07'],[' 0'],[' 3.82061e+10'],[' 0'],[' 0'],[' 731 '],[' 1339 '],[' 1830 '],[' 2270 '],[' 2857 '],[' 3399 '],[' 3838 '],[' 3 '],[' 4 ']
Solving...,TA65, , , ,[' 1803'],[' 909'],"[' 576.607s (Solving', ' 571.68s 1st Model', ' 2.67s Unsat', ' 139.41s)']",[' 575.484s'], ,[' 21484247'],"[' 11581094 (Analyzed', ' 11364744)']","[' 24027    (Average', ' 473.00 Last', ' 188)']",[' 2154.6  '],"[' 909      (Average Length', ' 428.30 Splits', ' 0)']","[' 11364744 (Deleted', ' 11170948)']","[' 39       (Ratio', '   0.00%)']","[' 2248     (Ratio', '   0.02%)']","[' 11364744 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11364744 (Average', '  1.71 Max', ' 3076 Sum', ' 19478315)']","[' 11364516 (Average', '  1.71 Max', ' 3076 Sum', ' 19408663 Ratio', '  99.64%)']","[' 228      (Average', ' 305.49 Max', ' 715 Sum', '  69652 Ratio', '   0.36%)']", ,[' 100980  '],[' 4505    '],[' 100826  '],[' 57257   '],"[' 171767   (Atom=Atom', ' 53750 Body=Body', ' 29955 Other', ' 88062)']",[' Yes'],"[' 5351     (Eliminated', '    0 Frozen', ' 5351)']","[' 227      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14069'],[' 0'], ,[' 498.945'],[' 0'],[' 8.06488'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.84174e+07'],[' 4.06703e+07'],[' 0'],[' 7.17895e+10'],[' 0'],[' 0'],[' 592 '],[' 1094 '],[' 1617 '],[' 2238 '],[' 2779 '],[' 3304 '],[' 3862 '],[' 3 '],[' 4 ']
Solving...,TA66, , , ,[' 1705'],[' 860'],"[' 651.809s (Solving', ' 647.27s 1st Model', ' 3.04s Unsat', ' 71.68s)']",[' 651.094s'], ,[' 32547029'],"[' 19055990 (Analyzed', ' 18995925)']","[' 37537    (Average', ' 506.06 Last', ' 57797)']",[' 2207.7  '],"[' 860      (Average Length', ' 413.29 Splits', ' 0)']","[' 18995925 (Deleted', ' 18728695)']","[' 50       (Ratio', '   0.00%)']","[' 3113     (Ratio', '   0.02%)']","[' 18995925 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18995925 (Average', '  1.61 Max', ' 2969 Sum', ' 30509072)']","[' 18995660 (Average', '  1.60 Max', ' 2969 Sum', ' 30413914 Ratio', '  99.69%)']","[' 265      (Average', ' 359.09 Max', ' 686 Sum', '  95158 Ratio', '   0.31%)']", ,[' 101785  '],[' 4464    '],[' 101598  '],[' 57435   '],"[' 172301   (Atom=Atom', ' 53969 Body=Body', ' 29914 Other', ' 88418)']",[' Yes'],"[' 5277     (Eliminated', '    0 Frozen', ' 5277)']","[' 497      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18377'],[' 0'], ,[' 537.534'],[' 0'],[' 9.20097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01573e+08'],[' 5.60871e+07'],[' 0'],[' 6.94106e+10'],[' 0'],[' 0'],[' 675 '],[' 1241 '],[' 1879 '],[' 2503 '],[' 3153 '],[' 3611 '],[' 4353 '],[' 4 '],[' 3 ']
Solving...,TA67, , , ,[' 1441'],[' 728'],"[' 579.138s (Solving', ' 575.31s 1st Model', ' 2.33s Unsat', ' 283.91s)']",[' 577.703s'], ,[' 33642874'],"[' 21421053 (Analyzed', ' 21354625)']","[' 42545    (Average', ' 501.93 Last', ' 12747)']",[' 2227.6  '],"[' 728      (Average Length', ' 354.40 Splits', ' 0)']","[' 21354625 (Deleted', ' 21055407)']","[' 75       (Ratio', '   0.00%)']","[' 2562     (Ratio', '   0.01%)']","[' 21354625 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21354625 (Average', '  1.48 Max', ' 3117 Sum', ' 31675811)']","[' 21354391 (Average', '  1.48 Max', ' 3117 Sum', ' 31630503 Ratio', '  99.86%)']","[' 234      (Average', ' 193.62 Max', ' 562 Sum', '  45308 Ratio', '   0.14%)']", ,[' 101463  '],[' 4506    '],[' 101166  '],[' 57779   '],"[' 173333   (Atom=Atom', ' 54271 Body=Body', ' 29956 Other', ' 89106)']",[' Yes'],"[' 5209     (Eliminated', '    0 Frozen', ' 5209)']","[' 186      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01124'],[' 0'], ,[' 454.327'],[' 0'],[' 8.46186'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.59265e+07'],[' 4.63024e+07'],[' 0'],[' 6.01971e+10'],[' 0'],[' 0'],[' 719 '],[' 1275 '],[' 1928 '],[' 2553 '],[' 3244 '],[' 3838 '],[' 4402 '],[' 2 '],[' 5 ']
Solving...,TA68, , , ,[' 1697'],[' 856'],"[' 759.399s (Solving', ' 754.70s 1st Model', ' 2.52s Unsat', ' 320.97s)']",[' 758.141s'], ,[' 36671366'],"[' 23092022 (Analyzed', ' 23041409)']","[' 44117    (Average', ' 522.28 Last', ' 42410)']",[' 2205.0  '],"[' 856      (Average Length', ' 414.11 Splits', ' 0)']","[' 23041409 (Deleted', ' 22709812)']","[' 51       (Ratio', '   0.00%)']","[' 2623     (Ratio', '   0.01%)']","[' 23041409 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23041409 (Average', '  1.50 Max', ' 2976 Sum', ' 34579528)']","[' 23041169 (Average', '  1.50 Max', ' 2976 Sum', ' 34516719 Ratio', '  99.82%)']","[' 240      (Average', ' 261.70 Max', ' 653 Sum', '  62809 Ratio', '   0.18%)']", ,[' 100192  '],[' 4408    '],[' 100016  '],[' 56689   '],"[' 170063   (Atom=Atom', ' 53279 Body=Body', ' 29858 Other', ' 86926)']",[' Yes'],"[' 5232     (Eliminated', '    0 Frozen', ' 5232)']","[' 270      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1706'],[' 0'], ,[' 617.421'],[' 0'],[' 11.3183'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10273e+08'],[' 5.59774e+07'],[' 0'],[' 8.49785e+10'],[' 0'],[' 0'],[' 500 '],[' 1216 '],[' 1676 '],[' 2313 '],[' 2961 '],[' 3477 '],[' 3984 '],[' 3 '],[' 4 ']
Solving...,TA69, , ,[' 1'],[' 1549+'],[' 782'],"[' 685.538s (Solving', ' 680.96s 1st Model', ' 2.47s Unsat', ' 109.38s)']",[' 685.141s'], ,[' 28601196'],"[' 18510113 (Analyzed', ' 18461054)']","[' 36039    (Average', ' 512.25 Last', ' 243010)']",[' 2231.6  '],"[' 782      (Average Length', ' 374.29 Splits', ' 0)']","[' 18461054 (Deleted', ' 18180656)']","[' 47       (Ratio', '   0.00%)']","[' 2266     (Ratio', '   0.01%)']","[' 18461054 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18461054 (Average', '  1.45 Max', ' 3015 Sum', ' 26707999)']","[' 18460755 (Average', '  1.44 Max', ' 3015 Sum', ' 26639422 Ratio', '  99.74%)']","[' 299      (Average', ' 229.35 Max', ' 575 Sum', '  68577 Ratio', '   0.26%)']", ,[' 101004  '],[' 4491    '],[' 100751  '],[' 56790   '],"[' 170366   (Atom=Atom', ' 53297 Body=Body', ' 29941 Other', ' 87128)']",[' Yes'],"[' 5238     (Eliminated', '    0 Frozen', ' 5238)']","[' 250      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09617'],[' 0'], ,[' 571.299'],[' 0'],[' 9.71119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.81421e+07'],[' 4.54699e+07'],[' 0'],[' 8.28027e+10'],[' 0'],[' 0'],[' 711 '],[' 1337 '],[' 1839 '],[' 2427 '],[' 3023 '],[' 3524 '],[' 4207 '],[' 4 '],[' 3 ']
Solving...,TA70, , ,[' 1'],[' 1633+'],[' 824'],"[' 827.521s (Solving', ' 823.13s 1st Model', ' 3.17s Unsat', ' 109.18s)']",[' 826.984s'], ,[' 40976514'],"[' 24252452 (Analyzed', ' 24186997)']","[' 45370    (Average', ' 533.11 Last', ' 194603)']",[' 2158.1  '],"[' 824      (Average Length', ' 398.31 Splits', ' 0)']","[' 24186997 (Deleted', ' 23831250)']","[' 31       (Ratio', '   0.00%)']","[' 2834     (Ratio', '   0.01%)']","[' 24186997 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24186997 (Average', '  1.61 Max', ' 3043 Sum', ' 38921496)']","[' 24186761 (Average', '  1.61 Max', ' 3043 Sum', ' 38860238 Ratio', '  99.84%)']","[' 236      (Average', ' 259.57 Max', ' 623 Sum', '  61258 Ratio', '   0.16%)']", ,[' 101244  '],[' 4512    '],[' 101041  '],[' 56887   '],"[' 170657   (Atom=Atom', ' 53373 Body=Body', ' 29962 Other', ' 87322)']",[' Yes'],"[' 5309     (Eliminated', '    0 Frozen', ' 5309)']","[' 380      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09934'],[' 0'], ,[' 677.711'],[' 0'],[' 11.0358'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22991e+08'],[' 6.7338e+07'],[' 0'],[' 9.77026e+10'],[' 0'],[' 0'],[' 592 '],[' 1215 '],[' 1753 '],[' 2503 '],[' 3023 '],[' 3593 '],[' 4254 '],[' 5 '],[' 2 ']
