Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 7573+'],[' 3796'],"[' 614.454s (Solving', ' 566.98s 1st Model', ' 59.46s Unsat', ' 0.00s)']",[' 609.938s'], ,[' 127540696'],"[' 11293974 (Analyzed', ' 11114333)']","[' 22794    (Average', ' 487.60 Last', ' 168181)']",[' 8241.2  '],"[' 3797     (Average Length', ' 1865.61 Splits', ' 0)']","[' 11114333 (Deleted', ' 10965569)']","[' 449      (Ratio', '   0.00%)']","[' 17549    (Ratio', '   0.16%)']","[' 11114333 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11114333 (Average', '  9.54 Max', ' 10576 Sum', ' 105993861)']","[' 11111903 (Average', '  9.24 Max', ' 10576 Sum', ' 102683892 Ratio', '  96.88%)']","[' 2430     (Average', ' 1362.13 Max', ' 2607 Sum', ' 3309969 Ratio', '   3.12%)']", ,[' 312154  '],[' 14682   '],[' 287783  '],[' 121293  '],"[' 288029   (Atom=Atom', ' 81086 Body=Body', ' 54672 Other', ' 152271)']",[' Yes'],"[' 19372    (Eliminated', '    0 Frozen', ' 19372)']","[' 3322     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.95341'],[' 0'], ,[' 278.414'],[' 0'],[' 11.146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18484e+08'],[' 1.75157e+08'],[' 0'],[' 1.59304e+10'],[' 0'],[' 0'],[' 972 '],[' 1494 '],[' 2275 '],[' 3165 '],[' 3565 '],[' 4011 '],[' 4622 '],[' 5201 '],[' 5790 '],[' 9 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 7719+'],[' 3869'],"[' 613.118s (Solving', ' 566.27s 1st Model', ' 61.45s Unsat', ' 0.00s)']",[' 607.594s'], ,[' 134895556'],"[' 11070990 (Analyzed', ' 10857915)']","[' 22979    (Average', ' 472.51 Last', ' 28639)']",[' 8123.4  '],"[' 3869     (Average Length', ' 1906.99 Splits', ' 0)']","[' 10857915 (Deleted', ' 10703752)']","[' 447      (Ratio', '   0.00%)']","[' 17678    (Ratio', '   0.16%)']","[' 10857915 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10857915 (Average', ' 10.47 Max', ' 10667 Sum', ' 113637042)']","[' 10855585 (Average', ' 10.15 Max', ' 10667 Sum', ' 110170063 Ratio', '  96.95%)']","[' 2330     (Average', ' 1487.97 Max', ' 2761 Sum', ' 3466979 Ratio', '   3.05%)']", ,[' 311319  '],[' 14476   '],[' 286711  '],[' 120509  '],"[' 285772   (Atom=Atom', ' 80528 Body=Body', ' 54124 Other', ' 151120)']",[' Yes'],"[' 19283    (Eliminated', '    0 Frozen', ' 19283)']","[' 3170     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.08814'],[' 0'], ,[' 266.726'],[' 0'],[' 11.6809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.21689e+08'],[' 1.79192e+08'],[' 0'],[' 1.45582e+10'],[' 0'],[' 0'],[' 735 '],[' 1432 '],[' 1958 '],[' 2539 '],[' 3192 '],[' 3736 '],[' 4315 '],[' 4897 '],[' 5463 '],[' 9 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7851+'],[' 3935'],"[' 612.751s (Solving', ' 564.25s 1st Model', ' 86.90s Unsat', ' 0.00s)']",[' 607.547s'], ,[' 143760824'],"[' 9417909  (Analyzed', ' 9216005)']","[' 21100    (Average', ' 436.78 Last', ' 153102)']",[' 7987.5  '],"[' 3935     (Average Length', ' 1940.10 Splits', ' 0)']","[' 9216005  (Deleted', ' 9075304)']","[' 459      (Ratio', '   0.00%)']","[' 22765    (Ratio', '   0.25%)']","[' 9216005  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9216005  (Average', ' 13.40 Max', ' 10482 Sum', ' 123486251)']","[' 9213395  (Average', ' 12.95 Max', ' 10482 Sum', ' 119305075 Ratio', '  96.61%)']","[' 2610     (Average', ' 1601.98 Max', ' 2864 Sum', ' 4181176 Ratio', '   3.39%)']", ,[' 312756  '],[' 14814   '],[' 288726  '],[' 122056  '],"[' 288888   (Atom=Atom', ' 81337 Body=Body', ' 54801 Other', ' 152750)']",[' Yes'],"[' 19525    (Eliminated', '    0 Frozen', ' 19525)']","[' 3957     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.33087'],[' 0'], ,[' 259.809'],[' 0'],[' 11.6854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46447e+08'],[' 2.01965e+08'],[' 0'],[' 1.33594e+10'],[' 0'],[' 0'],[' 1006 '],[' 1673 '],[' 2304 '],[' 2774 '],[' 3442 '],[' 4066 '],[' 4663 '],[' 5291 '],[' 5853 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 7935+'],[' 3977'],"[' 612.114s (Solving', ' 568.77s 1st Model', ' 68.59s Unsat', ' 0.00s)']",[' 610.359s'], ,[' 159333597'],"[' 9896075  (Analyzed', ' 9695891)']","[' 22102    (Average', ' 438.69 Last', ' 42273)']",[' 7127.0  '],"[' 3977     (Average Length', ' 1949.14 Splits', ' 0)']","[' 9695891  (Deleted', ' 9538906)']","[' 533      (Ratio', '   0.01%)']","[' 29501    (Ratio', '   0.30%)']","[' 9695891  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9695891  (Average', ' 14.64 Max', ' 9981 Sum', ' 141925372)']","[' 9693360  (Average', ' 14.24 Max', ' 9981 Sum', ' 138049394 Ratio', '  97.27%)']","[' 2531     (Average', ' 1531.40 Max', ' 5474 Sum', ' 3875978 Ratio', '   2.73%)']", ,[' 312403  '],[' 14497   '],[' 287436  '],[' 121221  '],"[' 286930   (Atom=Atom', ' 80831 Body=Body', ' 54346 Other', ' 151753)']",[' Yes'],"[' 19397    (Eliminated', '    0 Frozen', ' 19397)']","[' 5402     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.55065'],[' 0'], ,[' 266.763'],[' 0'],[' 11.9938'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.0182e+08'],[' 2.46481e+08'],[' 0'],[' 1.49322e+10'],[' 0'],[' 0'],[' 860 '],[' 1396 '],[' 1964 '],[' 2530 '],[' 3139 '],[' 3770 '],[' 4330 '],[' 4928 '],[' 5482 '],[' 9 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7973+'],[' 3996'],"[' 614.721s (Solving', ' 563.17s 1st Model', ' 89.96s Unsat', ' 0.00s)']",[' 609.953s'], ,[' 133502185'],"[' 7835110  (Analyzed', ' 7609892)']","[' 17743    (Average', ' 428.90 Last', ' 32482)']",[' 7343.6  '],"[' 3996     (Average Length', ' 1950.67 Splits', ' 0)']","[' 7609892  (Deleted', ' 7479784)']","[' 475      (Ratio', '   0.01%)']","[' 24923    (Ratio', '   0.33%)']","[' 7609892  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7609892  (Average', ' 15.22 Max', ' 9747 Sum', ' 115793121)']","[' 7607232  (Average', ' 14.64 Max', ' 9747 Sum', ' 111389830 Ratio', '  96.20%)']","[' 2660     (Average', ' 1655.37 Max', ' 2902 Sum', ' 4403291 Ratio', '   3.80%)']", ,[' 312248  '],[' 14739   '],[' 288141  '],[' 121512  '],"[' 288889   (Atom=Atom', ' 81343 Body=Body', ' 54754 Other', ' 152792)']",[' Yes'],"[' 19539    (Eliminated', '    0 Frozen', ' 19539)']","[' 4584     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.86493'],[' 0'], ,[' 240.865'],[' 0'],[' 12.0369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45183e+08'],[' 2.04089e+08'],[' 0'],[' 1.12138e+10'],[' 0'],[' 0'],[' 915 '],[' 1506 '],[' 2042 '],[' 2684 '],[' 3210 '],[' 3910 '],[' 4502 '],[' 5088 '],[' 5687 '],[' 9 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 7229+'],[' 3624'],"[' 612.233s (Solving', ' 569.20s 1st Model', ' 72.75s Unsat', ' 0.00s)']",[' 609.063s'], ,[' 135233012'],"[' 9810065  (Analyzed', ' 9513935)']","[' 21326    (Average', ' 446.12 Last', ' 74644)']",[' 7508.7  '],"[' 3624     (Average Length', ' 1795.28 Splits', ' 0)']","[' 9513935  (Deleted', ' 9356791)']","[' 450      (Ratio', '   0.00%)']","[' 23387    (Ratio', '   0.25%)']","[' 9513935  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9513935  (Average', ' 12.31 Max', ' 9936 Sum', ' 117138730)']","[' 9511579  (Average', ' 11.96 Max', ' 9936 Sum', ' 113820267 Ratio', '  97.17%)']","[' 2356     (Average', ' 1408.52 Max', ' 2639 Sum', ' 3318463 Ratio', '   2.83%)']", ,[' 309866  '],[' 14453   '],[' 285445  '],[' 119409  '],"[' 285681   (Atom=Atom', ' 80442 Body=Body', ' 54349 Other', ' 150890)']",[' Yes'],"[' 19119    (Eliminated', '    0 Frozen', ' 19119)']","[' 4288     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.44446'],[' 0'], ,[' 276.396'],[' 0'],[' 11.6624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36071e+08'],[' 1.91634e+08'],[' 0'],[' 1.4138e+10'],[' 0'],[' 0'],[' 896 '],[' 1429 '],[' 2062 '],[' 2632 '],[' 3257 '],[' 3744 '],[' 4364 '],[' 5022 '],[' 5537 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 7863+'],[' 3941'],"[' 613.328s (Solving', ' 566.72s 1st Model', ' 73.53s Unsat', ' 0.00s)']",[' 609.656s'], ,[' 135118394'],"[' 10271843 (Analyzed', ' 10009016)']","[' 22445    (Average', ' 445.94 Last', ' 38285)']",[' 7863.8  '],"[' 3941     (Average Length', ' 1918.62 Splits', ' 0)']","[' 10009016 (Deleted', ' 9865984)']","[' 463      (Ratio', '   0.00%)']","[' 19711    (Ratio', '   0.20%)']","[' 10009016 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10009016 (Average', ' 11.49 Max', ' 11025 Sum', ' 115045653)']","[' 10006453 (Average', ' 11.09 Max', ' 11025 Sum', ' 111000391 Ratio', '  96.48%)']","[' 2563     (Average', ' 1578.33 Max', ' 2841 Sum', ' 4045262 Ratio', '   3.52%)']", ,[' 310364  '],[' 14372   '],[' 285745  '],[' 119687  '],"[' 286694   (Atom=Atom', ' 80788 Body=Body', ' 54310 Other', ' 151596)']",[' Yes'],"[' 19295    (Eliminated', '    0 Frozen', ' 19295)']","[' 3299     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.17798'],[' 0'], ,[' 267.316'],[' 0'],[' 11.6045'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19484e+08'],[' 1.76806e+08'],[' 0'],[' 1.38852e+10'],[' 0'],[' 0'],[' 806 '],[' 1365 '],[' 2013 '],[' 2677 '],[' 3223 '],[' 3795 '],[' 4409 '],[' 5031 '],[' 5577 '],[' 9 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 6785+'],[' 3402'],"[' 612.489s (Solving', ' 568.80s 1st Model', ' 57.62s Unsat', ' 0.00s)']",[' 607.484s'], ,[' 118538369'],"[' 10794123 (Analyzed', ' 10523167)']","[' 22744    (Average', ' 462.68 Last', ' 38162)']",[' 8144.1  '],"[' 3402     (Average Length', ' 1726.32 Splits', ' 0)']","[' 10523167 (Deleted', ' 10382181)']","[' 454      (Ratio', '   0.00%)']","[' 15200    (Ratio', '   0.14%)']","[' 10523167 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10523167 (Average', '  9.44 Max', ' 11088 Sum', ' 99324349)']","[' 10520688 (Average', '  9.12 Max', ' 11088 Sum', ' 95936366 Ratio', '  96.59%)']","[' 2479     (Average', ' 1366.67 Max', ' 2492 Sum', ' 3387983 Ratio', '   3.41%)']", ,[' 311483  '],[' 14599   '],[' 286581  '],[' 120631  '],"[' 286783   (Atom=Atom', ' 80677 Body=Body', ' 54664 Other', ' 151442)']",[' Yes'],"[' 19127    (Eliminated', '    0 Frozen', ' 19127)']","[' 2710     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.36888'],[' 0'], ,[' 291.656'],[' 0'],[' 11.1852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94092e+08'],[' 1.53747e+08'],[' 0'],[' 1.51961e+10'],[' 0'],[' 0'],[' 946 '],[' 1549 '],[' 2023 '],[' 2696 '],[' 3290 '],[' 3865 '],[' 4695 '],[' 5151 '],[' 5709 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 7509+'],[' 3764'],"[' 613.327s (Solving', ' 568.21s 1st Model', ' 54.78s Unsat', ' 0.00s)']",[' 607.938s'], ,[' 136746910'],"[' 9649024  (Analyzed', ' 9332413)']","[' 20342    (Average', ' 458.78 Last', ' 6891)']",[' 7479.4  '],"[' 3764     (Average Length', ' 1877.17 Splits', ' 0)']","[' 9332413  (Deleted', ' 9195230)']","[' 543      (Ratio', '   0.01%)']","[' 22578    (Ratio', '   0.24%)']","[' 9332413  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9332413  (Average', ' 12.77 Max', ' 10009 Sum', ' 119163805)']","[' 9329653  (Average', ' 12.31 Max', ' 10009 Sum', ' 114926868 Ratio', '  96.44%)']","[' 2760     (Average', ' 1535.12 Max', ' 2759 Sum', ' 4236937 Ratio', '   3.56%)']", ,[' 311674  '],[' 14571   '],[' 286957  '],[' 120828  '],"[' 287221   (Atom=Atom', ' 80854 Body=Body', ' 54543 Other', ' 151824)']",[' Yes'],"[' 19395    (Eliminated', '    0 Frozen', ' 19395)']","[' 4335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.6608'],[' 0'], ,[' 276.473'],[' 0'],[' 11.6173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.42328e+08'],[' 1.9718e+08'],[' 0'],[' 1.45224e+10'],[' 0'],[' 0'],[' 870 '],[' 1459 '],[' 1994 '],[' 2541 '],[' 3143 '],[' 3788 '],[' 4383 '],[' 4932 '],[' 5546 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 7803+'],[' 3911'],"[' 612.793s (Solving', ' 567.44s 1st Model', ' 70.34s Unsat', ' 0.00s)']",[' 607.922s'], ,[' 145511268'],"[' 9695384  (Analyzed', ' 9333274)']","[' 21250    (Average', ' 439.21 Last', ' 40716)']",[' 7521.5  '],"[' 3911     (Average Length', ' 1947.40 Splits', ' 0)']","[' 9333274  (Deleted', ' 9188952)']","[' 461      (Ratio', '   0.00%)']","[' 28089    (Ratio', '   0.30%)']","[' 9333274  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9333274  (Average', ' 13.57 Max', ' 10086 Sum', ' 126678880)']","[' 9330777  (Average', ' 13.17 Max', ' 10086 Sum', ' 122883696 Ratio', '  97.00%)']","[' 2497     (Average', ' 1519.90 Max', ' 2854 Sum', ' 3795184 Ratio', '   3.00%)']", ,[' 311534  '],[' 14608   '],[' 287073  '],[' 120747  '],"[' 289891   (Atom=Atom', ' 81623 Body=Body', ' 55051 Other', ' 153217)']",[' Yes'],"[' 19601    (Eliminated', '    0 Frozen', ' 19601)']","[' 5308     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.97006'],[' 0'], ,[' 267.917'],[' 0'],[' 11.7073'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74045e+08'],[' 2.24522e+08'],[' 0'],[' 1.43773e+10'],[' 0'],[' 0'],[' 810 '],[' 1381 '],[' 2110 '],[' 2648 '],[' 3220 '],[' 3774 '],[' 4419 '],[' 4986 '],[' 5548 '],[' 9 '],[' 0 ']
