Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of interrupted calls ,Number of non-interrupted calls 
Solving...,TA71, , ,[' 1'],[' 8393+'],[' 4201'],"[' 1019.279s (Solving', ' 936.45s 1st Model', ' 413.23s Unsat', ' 0.00s)']",[' 1013.797s'], ,[' 572501181'],"[' 3786204  (Analyzed', ' 1366235)']","[' 5263     (Average', ' 259.59 Last', ' 28125)']",[' 12200.6 '],"[' 4201     (Average Length', ' 1950.89 Splits', ' 0)']","[' 1366235  (Deleted', ' 1264052)']","[' 133      (Ratio', '   0.01%)']","[' 79822    (Ratio', '   5.84%)']","[' 1366235  (Average Length', '   30.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1366235  (Average', ' 389.35 Max', ' 14481 Sum', ' 531947861)']","[' 1363306  (Average', ' 385.18 Max', ' 14481 Sum', ' 526251901 Ratio', '  98.93%)']","[' 2929     (Average', ' 1944.68 Max', ' 2874 Sum', ' 5695960 Ratio', '   1.07%)']", ,[' 308075  '],[' 27209   '],[' 309742  '],[' 182724  '],"[' 548168   (Atom=Atom', ' 157513 Body=Body', ' 128109 Other', ' 262546)']",[' Yes'],"[' 30876    (Eliminated', '    0 Frozen', ' 30876)']","[' 14694    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.542'],[' 0'], ,[' 410.963'],[' 0'],[' 34.2769'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22546e+09'],[' 1.11821e+09'],[' 0'],[' 1.81202e+10'],[' 0'],[' 0'],[' 2286 '],[' 4058 '],[' 5697 '],[' 7333 '],[' 4 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 9263+'],[' 4636'],"[' 1022.485s (Solving', ' 925.51s 1st Model', ' 390.46s Unsat', ' 0.00s)']",[' 1014.813s'], ,[' 522633477'],"[' 4158766  (Analyzed', ' 2054403)']","[' 6383     (Average', ' 321.86 Last', ' 19624)']",[' 13022.0 '],"[' 4636     (Average Length', ' 2137.79 Splits', ' 0)']","[' 2054403  (Deleted', ' 1966056)']","[' 138      (Ratio', '   0.01%)']","[' 62155    (Ratio', '   3.03%)']","[' 2054403  (Average Length', '   28.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2054403  (Average', ' 231.79 Max', ' 15278 Sum', ' 476193405)']","[' 2051096  (Average', ' 228.59 Max', ' 15278 Sum', ' 469623048 Ratio', '  98.62%)']","[' 3307     (Average', ' 1986.80 Max', ' 3089 Sum', ' 6570357 Ratio', '   1.38%)']", ,[' 306860  '],[' 26823   '],[' 308858  '],[' 182001  '],"[' 545999   (Atom=Atom', ' 157176 Body=Body', ' 127723 Other', ' 261100)']",[' Yes'],"[' 30821    (Eliminated', '    0 Frozen', ' 30821)']","[' 11161    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.9992'],[' 0'], ,[' 449.553'],[' 0'],[' 33.3233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01164e+09'],[' 9.18555e+08'],[' 0'],[' 2.09638e+10'],[' 0'],[' 0'],[' 1934 '],[' 3892 '],[' 5421 '],[' 6902 '],[' 4 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 9645+'],[' 4827'],"[' 1022.247s (Solving', ' 929.12s 1st Model', ' 459.45s Unsat', ' 0.00s)']",[' 1015.656s'], ,[' 521060882'],"[' 5594223  (Analyzed', ' 2242141)']","[' 6987     (Average', ' 320.90 Last', ' 24932)']",[' 12363.4 '],"[' 4827     (Average Length', ' 2182.68 Splits', ' 0)']","[' 2242141  (Deleted', ' 2158099)']","[' 106      (Ratio', '   0.00%)']","[' 61517    (Ratio', '   2.74%)']","[' 2242141  (Average Length', '   29.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2242141  (Average', ' 211.19 Max', ' 15175 Sum', ' 473523180)']","[' 2239610  (Average', ' 208.62 Max', ' 15175 Sum', ' 467756767 Ratio', '  98.78%)']","[' 2531     (Average', ' 2278.31 Max', ' 3304 Sum', ' 5766413 Ratio', '   1.22%)']", ,[' 307657  '],[' 26769   '],[' 309712  '],[' 182030  '],"[' 546086   (Atom=Atom', ' 157259 Body=Body', ' 127669 Other', ' 261158)']",[' Yes'],"[' 30824    (Eliminated', '    0 Frozen', ' 30824)']","[' 10574    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.139'],[' 0'], ,[' 446.561'],[' 0'],[' 34.1479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.82523e+08'],[' 8.89596e+08'],[' 0'],[' 2.18487e+10'],[' 0'],[' 0'],[' 2247 '],[' 3895 '],[' 5380 '],[' 7086 '],[' 4 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 8803+'],[' 4406'],"[' 1020.909s (Solving', ' 934.35s 1st Model', ' 583.91s Unsat', ' 0.00s)']",[' 1015.125s'], ,[' 520295955'],"[' 2584525  (Analyzed', ' 962116)']","[' 5020     (Average', ' 191.66 Last', ' 60762)']",[' 11879.2 '],"[' 4406     (Average Length', ' 2044.17 Splits', ' 0)']","[' 962116   (Deleted', ' 873545)']","[' 96       (Ratio', '   0.01%)']","[' 68425    (Ratio', '   7.11%)']","[' 962116   (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 962116   (Average', ' 500.65 Max', ' 15009 Sum', ' 481684152)']","[' 959102   (Average', ' 493.71 Max', ' 15009 Sum', ' 475008630 Ratio', '  98.61%)']","[' 3014     (Average', ' 2214.84 Max', ' 2893 Sum', ' 6675522 Ratio', '   1.39%)']", ,[' 306850  '],[' 26867   '],[' 308717  '],[' 181903  '],"[' 545705   (Atom=Atom', ' 157034 Body=Body', ' 127767 Other', ' 260904)']",[' Yes'],"[' 30734    (Eliminated', '    0 Frozen', ' 30734)']","[' 12178    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7428'],[' 0'], ,[' 417.429'],[' 0'],[' 32.6432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12123e+09'],[' 1.02987e+09'],[' 0'],[' 1.88104e+10'],[' 0'],[' 0'],[' 1666 '],[' 3333 '],[' 5260 '],[' 6723 '],[' 4 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7987+'],[' 3998'],"[' 1019.535s (Solving', ' 942.91s 1st Model', ' 359.79s Unsat', ' 0.00s)']",[' 1015.125s'], ,[' 486923163'],"[' 3323793  (Analyzed', ' 1171078)']","[' 4841     (Average', ' 241.91 Last', ' 66524)']",[' 11447.8 '],"[' 3998     (Average Length', ' 1864.32 Splits', ' 0)']","[' 1171078  (Deleted', ' 1080376)']","[' 99       (Ratio', '   0.01%)']","[' 64972    (Ratio', '   5.55%)']","[' 1171078  (Average Length', '   27.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1171078  (Average', ' 387.25 Max', ' 14816 Sum', ' 453495090)']","[' 1167739  (Average', ' 380.89 Max', ' 14816 Sum', ' 446048989 Ratio', '  98.36%)']","[' 3339     (Average', ' 2230.04 Max', ' 2795 Sum', ' 7446101 Ratio', '   1.64%)']", ,[' 307442  '],[' 26913   '],[' 308961  '],[' 181633  '],"[' 544895   (Atom=Atom', ' 156718 Body=Body', ' 127813 Other', ' 260364)']",[' Yes'],"[' 30432    (Eliminated', '    0 Frozen', ' 30432)']","[' 11183    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.165'],[' 0'], ,[' 465.621'],[' 0'],[' 31.3263'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02869e+09'],[' 9.43183e+08'],[' 0'],[' 2.50983e+10'],[' 0'],[' 0'],[' 1920 '],[' 3499 '],[' 5612 '],[' 7294 '],[' 4 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 9855+'],[' 4932'],"[' 1022.568s (Solving', ' 927.48s 1st Model', ' 609.86s Unsat', ' 0.00s)']",[' 1014.813s'], ,[' 492110782'],"[' 3387727  (Analyzed', ' 930504)']","[' 5215     (Average', ' 178.43 Last', ' 146805)']",[' 11937.0 '],"[' 4932     (Average Length', ' 2276.92 Splits', ' 0)']","[' 930504   (Deleted', ' 840774)']","[' 91       (Ratio', '   0.01%)']","[' 66179    (Ratio', '   7.11%)']","[' 930504   (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 930504   (Average', ' 482.39 Max', ' 14624 Sum', ' 448861193)']","[' 927645   (Average', ' 474.72 Max', ' 14624 Sum', ' 441729241 Ratio', '  98.41%)']","[' 2859     (Average', ' 2494.56 Max', ' 3407 Sum', ' 7131952 Ratio', '   1.59%)']", ,[' 307404  '],[' 26816   '],[' 309693  '],[' 182276  '],"[' 546824   (Atom=Atom', ' 157458 Body=Body', ' 127716 Other', ' 261650)']",[' Yes'],"[' 31105    (Eliminated', '    0 Frozen', ' 31105)']","[' 12723    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.3218'],[' 0'], ,[' 430.052'],[' 0'],[' 31.3581'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06628e+09'],[' 9.77801e+08'],[' 0'],[' 2.10803e+10'],[' 0'],[' 0'],[' 1786 '],[' 3454 '],[' 5047 '],[' 7079 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8827+'],[' 4418'],"[' 1020.744s (Solving', ' 934.83s 1st Model', ' 423.70s Unsat', ' 0.00s)']",[' 1013.656s'], ,[' 506463017'],"[' 4037304  (Analyzed', ' 1755858)']","[' 6066     (Average', ' 289.46 Last', ' 42001)']",[' 11983.8 '],"[' 4418     (Average Length', ' 2053.01 Splits', ' 0)']","[' 1755858  (Deleted', ' 1658148)']","[' 138      (Ratio', '   0.01%)']","[' 68035    (Ratio', '   3.87%)']","[' 1755858  (Average Length', '   28.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1755858  (Average', ' 265.70 Max', ' 14463 Sum', ' 466531880)']","[' 1752696  (Average', ' 261.88 Max', ' 14463 Sum', ' 459817601 Ratio', '  98.56%)']","[' 3162     (Average', ' 2123.43 Max', ' 3112 Sum', ' 6714279 Ratio', '   1.44%)']", ,[' 306649  '],[' 26687   '],[' 308517  '],[' 181375  '],"[' 544121   (Atom=Atom', ' 156686 Body=Body', ' 127587 Other', ' 259848)']",[' Yes'],"[' 30555    (Eliminated', '    0 Frozen', ' 30555)']","[' 12536    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8021'],[' 0'], ,[' 453.212'],[' 0'],[' 32.2811'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0189e+09'],[' 9.22048e+08'],[' 0'],[' 2.31378e+10'],[' 0'],[' 0'],[' 2052 '],[' 3685 '],[' 5412 '],[' 7158 '],[' 4 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 9567+'],[' 4788'],"[' 1021.208s (Solving', ' 930.43s 1st Model', ' 446.94s Unsat', ' 0.00s)']",[' 1016.766s'], ,[' 526222205'],"[' 3227149  (Analyzed', ' 1251620)']","[' 5601     (Average', ' 223.46 Last', ' 81710)']",[' 12212.0 '],"[' 4788     (Average Length', ' 2207.95 Splits', ' 0)']","[' 1251620  (Deleted', ' 1158529)']","[' 115      (Ratio', '   0.01%)']","[' 70509    (Ratio', '   5.63%)']","[' 1251620  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1251620  (Average', ' 385.41 Max', ' 14835 Sum', ' 482391441)']","[' 1248698  (Average', ' 379.93 Max', ' 14835 Sum', ' 475533555 Ratio', '  98.58%)']","[' 2922     (Average', ' 2346.98 Max', ' 3235 Sum', ' 6857886 Ratio', '   1.42%)']", ,[' 307150  '],[' 26708   '],[' 309268  '],[' 181808  '],"[' 545420   (Atom=Atom', ' 157098 Body=Body', ' 127608 Other', ' 260714)']",[' Yes'],"[' 30826    (Eliminated', '    0 Frozen', ' 30826)']","[' 12616    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.8241'],[' 0'], ,[' 433.721'],[' 0'],[' 31.7345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15168e+09'],[' 1.05071e+09'],[' 0'],[' 2.28182e+10'],[' 0'],[' 0'],[' 1841 '],[' 3504 '],[' 5138 '],[' 6639 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8545+'],[' 4277'],"[' 1019.772s (Solving', ' 938.58s 1st Model', ' 603.33s Unsat', ' 0.00s)']",[' 1017.125s'], ,[' 583942060'],"[' 2503746  (Analyzed', ' 984518)']","[' 5009     (Average', ' 196.55 Last', ' 121212)']",[' 11711.6 '],"[' 4277     (Average Length', ' 1983.01 Splits', ' 0)']","[' 984518   (Deleted', ' 885057)']","[' 83       (Ratio', '   0.01%)']","[' 79296    (Ratio', '   8.05%)']","[' 984518   (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 984518   (Average', ' 554.87 Max', ' 14010 Sum', ' 546279471)']","[' 981645   (Average', ' 549.06 Max', ' 14010 Sum', ' 540557471 Ratio', '  98.95%)']","[' 2873     (Average', ' 1991.65 Max', ' 2814 Sum', ' 5722000 Ratio', '   1.05%)']", ,[' 307091  '],[' 26855   '],[' 308840  '],[' 181738  '],"[' 545210   (Atom=Atom', ' 156881 Body=Body', ' 127755 Other', ' 260574)']",[' Yes'],"[' 30604    (Eliminated', '    0 Frozen', ' 30604)']","[' 14604    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1835'],[' 0'], ,[' 394.282'],[' 0'],[' 33.4231'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32542e+09'],[' 1.22055e+09'],[' 0'],[' 1.8014e+10'],[' 0'],[' 0'],[' 1637 '],[' 3220 '],[' 4962 '],[' 6589 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 9171+'],[' 4590'],"[' 1020.829s (Solving', ' 938.06s 1st Model', ' 512.55s Unsat', ' 0.00s)']",[' 1018.031s'], ,[' 581818592'],"[' 3739514  (Analyzed', ' 1249847)']","[' 5264     (Average', ' 237.43 Last', ' 104649)']",[' 11966.2 '],"[' 4590     (Average Length', ' 2098.59 Splits', ' 0)']","[' 1249847  (Deleted', ' 1147602)']","[' 120      (Ratio', '   0.01%)']","[' 80063    (Ratio', '   6.41%)']","[' 1249847  (Average Length', '   28.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1249847  (Average', ' 431.19 Max', ' 15306 Sum', ' 538920371)']","[' 1247617  (Average', ' 426.98 Max', ' 15306 Sum', ' 533657176 Ratio', '  99.02%)']","[' 2230     (Average', ' 2360.18 Max', ' 3190 Sum', ' 5263195 Ratio', '   0.98%)']", ,[' 307172  '],[' 26856   '],[' 309054  '],[' 182054  '],"[' 546158   (Atom=Atom', ' 157196 Body=Body', ' 127756 Other', ' 261206)']",[' Yes'],"[' 30738    (Eliminated', '    0 Frozen', ' 30738)']","[' 11397    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2077'],[' 0'], ,[' 397.887'],[' 0'],[' 33.6105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24882e+09'],[' 1.14187e+09'],[' 0'],[' 1.87732e+10'],[' 0'],[' 0'],[' 2062 '],[' 3545 '],[' 5191 '],[' 6607 '],[' 4 '],[' 0 ']
