Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 7587+'],[' 3799'],"[' 1017.012s (Solving', ' 957.92s 1st Model', ' 328.09s Unsat', ' 0.00s)']",[' 1004.328s'], ,[' 445290281'],"[' 4117291  (Analyzed', ' 3190782)']","[' 8427     (Average', ' 378.64 Last', ' 42776)']",[' 8489.0  '],"[' 3799     (Average Length', ' 1916.69 Splits', ' 0)']","[' 3190782  (Deleted', ' 3071114)']","[' 143      (Ratio', '   0.00%)']","[' 80196    (Ratio', '   2.51%)']","[' 3190782  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3190782  (Average', ' 132.99 Max', ' 10109 Sum', ' 424326888)']","[' 3188264  (Average', ' 131.31 Max', ' 10109 Sum', ' 418969690 Ratio', '  98.74%)']","[' 2518     (Average', ' 2127.56 Max', ' 2588 Sum', ' 5357198 Ratio', '   1.26%)']", ,[' 347211  '],[' 19424   '],[' 314050  '],[' 132579  '],"[' 354168   (Atom=Atom', ' 94707 Body=Body', ' 63952 Other', ' 195509)']",[' Yes'],"[' 23773    (Eliminated', '    0 Frozen', ' 23773)']","[' 14642    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2677'],[' 0'], ,[' 327.584'],[' 0'],[' 30.4946'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.89378e+08'],[' 8.7396e+08'],[' 0'],[' 9.66863e+09'],[' 0'],[' 0'],[' 1621 '],[' 2972 '],[' 3980 '],[' 5002 '],[' 5982 '],[' 5 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 8113+'],[' 4062'],"[' 1016.974s (Solving', ' 957.69s 1st Model', ' 545.66s Unsat', ' 0.00s)']",[' 1008.969s'], ,[' 461486300'],"[' 3289129  (Analyzed', ' 2300978)']","[' 7877     (Average', ' 292.11 Last', ' 272445)']",[' 8412.7  '],"[' 4062     (Average Length', ' 2029.79 Splits', ' 0)']","[' 2300978  (Deleted', ' 2180200)']","[' 140      (Ratio', '   0.01%)']","[' 86124    (Ratio', '   3.74%)']","[' 2300978  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2300978  (Average', ' 190.81 Max', ' 12002 Sum', ' 439039597)']","[' 2298652  (Average', ' 188.65 Max', ' 9505 Sum', ' 434090329 Ratio', '  98.87%)']","[' 2326     (Average', ' 2127.80 Max', ' 2753 Sum', ' 4949268 Ratio', '   1.13%)']", ,[' 349499  '],[' 19299   '],[' 315469  '],[' 133542  '],"[' 353040   (Atom=Atom', ' 94470 Body=Body', ' 63577 Other', ' 194993)']",[' Yes'],"[' 23849    (Eliminated', '    0 Frozen', ' 23849)']","[' 15361    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.2788'],[' 0'], ,[' 302.093'],[' 0'],[' 30.4586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11243e+09'],[' 9.83112e+08'],[' 0'],[' 8.70296e+09'],[' 0'],[' 0'],[' 1314 '],[' 2464 '],[' 3433 '],[' 4518 '],[' 5469 '],[' 5 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 7967+'],[' 3989'],"[' 1017.186s (Solving', ' 956.73s 1st Model', ' 427.17s Unsat', ' 0.00s)']",[' 1013.563s'], ,[' 454539179'],"[' 4382478  (Analyzed', ' 3492216)']","[' 9621     (Average', ' 362.98 Last', ' 75375)']",[' 8852.4  '],"[' 3989     (Average Length', ' 2016.04 Splits', ' 0)']","[' 3492216  (Deleted', ' 3375588)']","[' 131      (Ratio', '   0.00%)']","[' 80536    (Ratio', '   2.31%)']","[' 3492216  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3492216  (Average', ' 123.28 Max', ' 10135 Sum', ' 430503780)']","[' 3489951  (Average', ' 121.94 Max', ' 9932 Sum', ' 425836685 Ratio', '  98.92%)']","[' 2265     (Average', ' 2060.53 Max', ' 3688 Sum', ' 4667095 Ratio', '   1.08%)']", ,[' 348806  '],[' 19349   '],[' 314978  '],[' 133335  '],"[' 353619   (Atom=Atom', ' 94597 Body=Body', ' 63727 Other', ' 195295)']",[' Yes'],"[' 23847    (Eliminated', '    0 Frozen', ' 23847)']","[' 14284    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.6257'],[' 0'], ,[' 324.328'],[' 0'],[' 31.2108'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03046e+09'],[' 9.0448e+08'],[' 0'],[' 9.83894e+09'],[' 0'],[' 0'],[' 1610 '],[' 2656 '],[' 3826 '],[' 4910 '],[' 5864 '],[' 5 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 8137+'],[' 4074'],"[' 1015.833s (Solving', ' 960.55s 1st Model', ' 613.20s Unsat', ' 0.00s)']",[' 1011.734s'], ,[' 506578724'],"[' 3278663  (Analyzed', ' 2361228)']","[' 8397     (Average', ' 281.20 Last', ' 113611)']",[' 8409.6  '],"[' 4074     (Average Length', ' 2043.10 Splits', ' 0)']","[' 2361228  (Deleted', ' 2237779)']","[' 129      (Ratio', '   0.01%)']","[' 91424    (Ratio', '   3.87%)']","[' 2361228  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2361228  (Average', ' 204.99 Max', ' 9524 Sum', ' 484018989)']","[' 2358938  (Average', ' 202.88 Max', ' 9524 Sum', ' 479041250 Ratio', '  98.97%)']","[' 2290     (Average', ' 2173.69 Max', ' 2739 Sum', ' 4977739 Ratio', '   1.03%)']", ,[' 350523  '],[' 19322   '],[' 316204  '],[' 134067  '],"[' 353344   (Atom=Atom', ' 94574 Body=Body', ' 63646 Other', ' 195124)']",[' Yes'],"[' 23925    (Eliminated', '    0 Frozen', ' 23925)']","[' 15896    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5305'],[' 0'], ,[' 306.079'],[' 0'],[' 31.8795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.257e+09'],[' 1.11232e+09'],[' 0'],[' 9.6981e+09'],[' 0'],[' 0'],[' 1370 '],[' 2489 '],[' 3545 '],[' 4628 '],[' 5624 '],[' 5 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 8367+'],[' 4189'],"[' 1015.341s (Solving', ' 960.42s 1st Model', ' 682.07s Unsat', ' 0.00s)']",[' 1010.266s'], ,[' 528653281'],"[' 2939165  (Analyzed', ' 2204452)']","[' 8143     (Average', ' 270.72 Last', ' 94123)']",[' 8330.1  '],"[' 4189     (Average Length', ' 2095.00 Splits', ' 0)']","[' 2204452  (Deleted', ' 2081837)']","[' 168      (Ratio', '   0.01%)']","[' 95982    (Ratio', '   4.35%)']","[' 2204452  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2204452  (Average', ' 229.77 Max', ' 9259 Sum', ' 506506657)']","[' 2202183  (Average', ' 227.44 Max', ' 9259 Sum', ' 501378248 Ratio', '  98.99%)']","[' 2269     (Average', ' 2260.21 Max', ' 2882 Sum', ' 5128409 Ratio', '   1.01%)']", ,[' 350164  '],[' 19466   '],[' 316322  '],[' 134351  '],"[' 355964   (Atom=Atom', ' 95265 Body=Body', ' 64078 Other', ' 196621)']",[' Yes'],"[' 24203    (Eliminated', '    0 Frozen', ' 24203)']","[' 16476    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4581'],[' 0'], ,[' 295.872'],[' 0'],[' 31.3992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37745e+09'],[' 1.22539e+09'],[' 0'],[' 9.48673e+09'],[' 0'],[' 0'],[' 1403 '],[' 2572 '],[' 3713 '],[' 4775 '],[' 5704 '],[' 5 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 7469+'],[' 3740'],"[' 1014.452s (Solving', ' 963.97s 1st Model', ' 487.17s Unsat', ' 0.00s)']",[' 1010.156s'], ,[' 521459308'],"[' 4733938  (Analyzed', ' 3899295)']","[' 10490    (Average', ' 371.72 Last', ' 135869)']",[' 8424.7  '],"[' 3740     (Average Length', ' 1931.31 Splits', ' 0)']","[' 3899295  (Deleted', ' 3763696)']","[' 144      (Ratio', '   0.00%)']","[' 90915    (Ratio', '   2.33%)']","[' 3899295  (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3899295  (Average', ' 128.27 Max', ' 9488 Sum', ' 500146025)']","[' 3897004  (Average', ' 127.13 Max', ' 9378 Sum', ' 495701330 Ratio', '  99.11%)']","[' 2291     (Average', ' 1940.07 Max', ' 2601 Sum', ' 4444695 Ratio', '   0.89%)']", ,[' 348491  '],[' 19260   '],[' 314309  '],[' 132971  '],"[' 351422   (Atom=Atom', ' 93992 Body=Body', ' 63460 Other', ' 193970)']",[' Yes'],"[' 23605    (Eliminated', '    0 Frozen', ' 23605)']","[' 15987    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.52589'],[' 0'], ,[' 332.099'],[' 0'],[' 31.6833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2917e+09'],[' 1.13686e+09'],[' 0'],[' 1.16999e+10'],[' 0'],[' 0'],[' 1424 '],[' 2557 '],[' 3656 '],[' 4708 '],[' 5742 '],[' 5 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 7795+'],[' 3903'],"[' 1014.597s (Solving', ' 962.43s 1st Model', ' 315.24s Unsat', ' 0.00s)']",[' 1009.125s'], ,[' 519011962'],"[' 6458099  (Analyzed', ' 5353923)']","[' 12991    (Average', ' 412.13 Last', ' 88467)']",[' 8864.2  '],"[' 3903     (Average Length', ' 1993.27 Splits', ' 0)']","[' 5353923  (Deleted', ' 5219692)']","[' 117      (Ratio', '   0.00%)']","[' 82627    (Ratio', '   1.54%)']","[' 5353923  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5353923  (Average', ' 92.46 Max', ' 10156 Sum', ' 495015050)']","[' 5351676  (Average', ' 91.57 Max', ' 10156 Sum', ' 490275468 Ratio', '  99.04%)']","[' 2247     (Average', ' 2109.29 Max', ' 2651 Sum', ' 4739582 Ratio', '   0.96%)']", ,[' 347295  '],[' 19251   '],[' 314032  '],[' 132261  '],"[' 351780   (Atom=Atom', ' 94119 Body=Body', ' 63433 Other', ' 194228)']",[' Yes'],"[' 23736    (Eliminated', '    0 Frozen', ' 23736)']","[' 14450    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0774'],[' 0'], ,[' 357.749'],[' 0'],[' 31.189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17592e+09'],[' 1.03321e+09'],[' 0'],[' 1.38118e+10'],[' 0'],[' 0'],[' 1577 '],[' 2642 '],[' 3708 '],[' 4790 '],[' 5697 '],[' 5 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 7873+'],[' 3942'],"[' 1014.968s (Solving', ' 961.40s 1st Model', ' 485.68s Unsat', ' 0.00s)']",[' 1010.719s'], ,[' 513063422'],"[' 3761375  (Analyzed', ' 2901601)']","[' 9190     (Average', ' 315.73 Last', ' 251887)']",[' 8449.8  '],"[' 3942     (Average Length', ' 2013.15 Splits', ' 0)']","[' 2901601  (Deleted', ' 2777963)']","[' 175      (Ratio', '   0.01%)']","[' 89800    (Ratio', '   3.09%)']","[' 2901601  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2901601  (Average', ' 169.25 Max', ' 9308 Sum', ' 491092468)']","[' 2899278  (Average', ' 167.63 Max', ' 9308 Sum', ' 486391189 Ratio', '  99.04%)']","[' 2323     (Average', ' 2023.80 Max', ' 2683 Sum', ' 4701279 Ratio', '   0.96%)']", ,[' 350227  '],[' 19378   '],[' 315734  '],[' 134190  '],"[' 353833   (Atom=Atom', ' 94666 Body=Body', ' 63814 Other', ' 195353)']",[' Yes'],"[' 23915    (Eliminated', '    0 Frozen', ' 23915)']","[' 16969    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1508'],[' 0'], ,[' 326.466'],[' 0'],[' 31.02'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30495e+09'],[' 1.15713e+09'],[' 0'],[' 1.23914e+10'],[' 0'],[' 0'],[' 1433 '],[' 2527 '],[' 3715 '],[' 4734 '],[' 5695 '],[' 5 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 8063+'],[' 4037'],"[' 1016.328s (Solving', ' 957.61s 1st Model', ' 649.90s Unsat', ' 0.00s)']",[' 1012.109s'], ,[' 521395458'],"[' 2919799  (Analyzed', ' 2072684)']","[' 7483     (Average', ' 276.99 Last', ' 161041)']",[' 8366.9  '],"[' 4037     (Average Length', ' 2045.70 Splits', ' 0)']","[' 2072684  (Deleted', ' 1945434)']","[' 121      (Ratio', '   0.01%)']","[' 95708    (Ratio', '   4.62%)']","[' 2072684  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2072684  (Average', ' 240.72 Max', ' 9099 Sum', ' 498932993)']","[' 2070548  (Average', ' 238.66 Max', ' 9099 Sum', ' 494668952 Ratio', '  99.15%)']","[' 2136     (Average', ' 1996.27 Max', ' 2694 Sum', ' 4264041 Ratio', '   0.85%)']", ,[' 351658  '],[' 19458   '],[' 317088  '],[' 134834  '],"[' 355372   (Atom=Atom', ' 95081 Body=Body', ' 64054 Other', ' 196237)']",[' Yes'],"[' 24112    (Eliminated', '    0 Frozen', ' 24112)']","[' 16711    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9941'],[' 0'], ,[' 283.479'],[' 0'],[' 30.8796'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38397e+09'],[' 1.23356e+09'],[' 0'],[' 8.66711e+09'],[' 0'],[' 0'],[' 1358 '],[' 2431 '],[' 3476 '],[' 4616 '],[' 5622 '],[' 5 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 7641+'],[' 3826'],"[' 1015.642s (Solving', ' 961.12s 1st Model', ' 631.15s Unsat', ' 0.00s)']",[' 1009.688s'], ,[' 488995637'],"[' 3405405  (Analyzed', ' 2381461)']","[' 8575     (Average', ' 277.72 Last', ' 136084)']",[' 8438.9  '],"[' 3826     (Average Length', ' 1958.26 Splits', ' 0)']","[' 2381461  (Deleted', ' 2258505)']","[' 138      (Ratio', '   0.01%)']","[' 91872    (Ratio', '   3.86%)']","[' 2381461  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2381461  (Average', ' 196.30 Max', ' 9487 Sum', ' 467475450)']","[' 2379128  (Average', ' 194.26 Max', ' 9487 Sum', ' 462630601 Ratio', '  98.96%)']","[' 2333     (Average', ' 2076.66 Max', ' 2676 Sum', ' 4844849 Ratio', '   1.04%)']", ,[' 349165  '],[' 19461   '],[' 315297  '],[' 133592  '],"[' 354739   (Atom=Atom', ' 94882 Body=Body', ' 64063 Other', ' 195794)']",[' Yes'],"[' 23860    (Eliminated', '    0 Frozen', ' 23860)']","[' 16282    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4054'],[' 0'], ,[' 305.843'],[' 0'],[' 31.0458'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20874e+09'],[' 1.06755e+09'],[' 0'],[' 9.19584e+09'],[' 0'],[' 0'],[' 1372 '],[' 2578 '],[' 3616 '],[' 4661 '],[' 5622 '],[' 5 '],[' 0 ']
