Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
,TA61,"[' 2024823  (Analyzed', ' 2009801)']","[' 5356     (Average', ' 375.24 Last', ' 29061)']",[' 1487.6  '],"[' 395      (Average Length', ' 191.65 Splits', ' 0)']","[' 2009801  (Deleted', ' 1966629)']","[' 97       (Ratio', '   0.00%)']","[' 1607     (Ratio', '   0.08%)']","[' 2009801  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2009801  (Average', '  1.53 Max', ' 2164 Sum', ' 3071018)']","[' 2009664  (Average', '  1.52 Max', ' 2164 Sum', ' 3061667 Ratio', '  99.70%)']","[' 137      (Average', ' 68.26 Max', ' 331 Sum', '   9351 Ratio', '   0.30%)']", ,[' 97092   '],[' 3379    '],[' 96474   '],[' 55174   '],"[' 165518   (Atom=Atom', ' 52793 Body=Body', ' 28829 Other', ' 83896)']",[' Yes'],"[' 3761     (Eliminated', '    0 Frozen', ' 3761)']","[' 134      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.60343'],[' 0'], ,[' 74.4876'],[' 0'],[' 1.29105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66001e+07'],[' 1.1696e+07'],[' 0'],[' 1.19874e+10'],[' 0'],[' 0'],[' 525 '],[' 995 '],[' 1407 '],[' 1855 '],[' 2265 '],[' 2604 '],[' 3184 '],[' 3372 '],[' 3989 '],[' 4433 ']
,TA62,"[' 1885442  (Analyzed', ' 1834169)']","[' 4814     (Average', ' 381.01 Last', ' 9324)']",[' 1628.5  '],"[' 458      (Average Length', ' 222.05 Splits', ' 0)']","[' 1834169  (Deleted', ' 1791627)']","[' 82       (Ratio', '   0.00%)']","[' 1873     (Ratio', '   0.10%)']","[' 1834169  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1834169  (Average', '  2.05 Max', ' 2244 Sum', ' 3759460)']","[' 1834036  (Average', '  2.04 Max', ' 2244 Sum', ' 3749929 Ratio', '  99.75%)']","[' 133      (Average', ' 71.66 Max', ' 368 Sum', '   9531 Ratio', '   0.25%)']", ,[' 99078   '],[' 3498    '],[' 98522   '],[' 56864   '],"[' 170588   (Atom=Atom', ' 54364 Body=Body', ' 28948 Other', ' 87276)']",[' Yes'],"[' 3942     (Eliminated', '    0 Frozen', ' 3942)']","[' 91       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.728048'],[' 0'], ,[' 51.8415'],[' 0'],[' 0.981967'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11826e+07'],[' 1.65471e+07'],[' 0'],[' 7.69995e+09'],[' 0'],[' 0'],[' 526 '],[' 947 '],[' 1481 '],[' 1957 '],[' 2214 '],[' 2586 '],[' 2935 '],[' 3318 '],[' 3882 '],[' 4356 ']
,TA63,"[' 1418854  (Analyzed', ' 1368287)']","[' 3881     (Average', ' 352.56 Last', ' 5865)']",[' 1627.3  '],"[' 417      (Average Length', ' 201.81 Splits', ' 0)']","[' 1368287  (Deleted', ' 1334711)']","[' 76       (Ratio', '   0.01%)']","[' 1705     (Ratio', '   0.12%)']","[' 1368287  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1368287  (Average', '  1.77 Max', ' 2256 Sum', ' 2423949)']","[' 1368146  (Average', '  1.76 Max', ' 2256 Sum', ' 2408376 Ratio', '  99.36%)']","[' 141      (Average', ' 110.45 Max', ' 354 Sum', '  15573 Ratio', '   0.64%)']", ,[' 97613   '],[' 3486    '],[' 97016   '],[' 56193   '],"[' 168575   (Atom=Atom', ' 53705 Body=Body', ' 28936 Other', ' 85934)']",[' Yes'],"[' 3889     (Eliminated', '    0 Frozen', ' 3889)']","[' 131      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.672885'],[' 0'], ,[' 76.6771'],[' 0'],[' 1.19119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62064e+07'],[' 1.26841e+07'],[' 0'],[' 1.32305e+10'],[' 0'],[' 0'],[' 574 '],[' 913 '],[' 1445 '],[' 1890 '],[' 2158 '],[' 2590 '],[' 3040 '],[' 3686 '],[' 4368 '],[' 4764 ']
,TA64,"[' 2856900  (Analyzed', ' 2828607)']","[' 7188     (Average', ' 393.52 Last', ' 767)']",[' 1695.7  '],"[' 481      (Average Length', ' 230.93 Splits', ' 0)']","[' 2828607  (Deleted', ' 2771666)']","[' 96       (Ratio', '   0.00%)']","[' 1747     (Ratio', '   0.06%)']","[' 2828607  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2828607  (Average', '  1.49 Max', ' 2175 Sum', ' 4223455)']","[' 2828439  (Average', '  1.49 Max', ' 2175 Sum', ' 4208061 Ratio', '  99.64%)']","[' 168      (Average', ' 91.63 Max', ' 372 Sum', '  15394 Ratio', '   0.36%)']", ,[' 97739   '],[' 3412    '],[' 97200   '],[' 55869   '],"[' 167603   (Atom=Atom', ' 53455 Body=Body', ' 28862 Other', ' 85286)']",[' Yes'],"[' 3873     (Eliminated', '    0 Frozen', ' 3873)']","[' 108      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.787732'],[' 0'], ,[' 83.9539'],[' 0'],[' 1.52301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32038e+07'],[' 1.63566e+07'],[' 0'],[' 1.25161e+10'],[' 0'],[' 0'],[' 556 '],[' 942 '],[' 1364 '],[' 1752 '],[' 2185 '],[' 2641 '],[' 2911 '],[' 3400 '],[' 3771 '],[' 4143 ']
,TA65,"[' 1047701  (Analyzed', ' 919267)']","[' 2840     (Average', ' 323.69 Last', ' 2365)']",[' 1525.4  '],"[' 381      (Average Length', ' 182.55 Splits', ' 0)']","[' 919267   (Deleted', ' 895108)']","[' 99       (Ratio', '   0.01%)']","[' 1510     (Ratio', '   0.16%)']","[' 919267   (Average Length', '    9.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 919267   (Average', '  1.67 Max', ' 2200 Sum', ' 1532386)']","[' 919139   (Average', '  1.66 Max', ' 2200 Sum', ' 1524393 Ratio', '  99.48%)']","[' 128      (Average', ' 62.45 Max', ' 303 Sum', '   7993 Ratio', '   0.52%)']", ,[' 96395   '],[' 3384    '],[' 95759   '],[' 55083   '],"[' 165245   (Atom=Atom', ' 52697 Body=Body', ' 28834 Other', ' 83714)']",[' Yes'],"[' 3748     (Eliminated', '    0 Frozen', ' 3748)']","[' 37       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.590863'],[' 0'], ,[' 47.6196'],[' 0'],[' 0.80605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2474e+07'],[' 9.94518e+06'],[' 0'],[' 8.0049e+09'],[' 0'],[' 0'],[' 467 '],[' 935 '],[' 1367 '],[' 1677 '],[' 2180 '],[' 2630 '],[' 3005 '],[' 3512 '],[' 4023 '],[' 4406 ']
,TA66,"[' 1555876  (Analyzed', ' 1460595)']","[' 4200     (Average', ' 347.76 Last', ' 11967)']",[' 1556.6  '],"[' 464      (Average Length', ' 225.66 Splits', ' 0)']","[' 1460595  (Deleted', ' 1424874)']","[' 62       (Ratio', '   0.00%)']","[' 1417     (Ratio', '   0.10%)']","[' 1460595  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1460595  (Average', '  1.58 Max', ' 2187 Sum', ' 2308317)']","[' 1460459  (Average', '  1.57 Max', ' 2187 Sum', ' 2288541 Ratio', '  99.14%)']","[' 136      (Average', ' 145.41 Max', ' 367 Sum', '  19776 Ratio', '   0.86%)']", ,[' 98155   '],[' 3439    '],[' 97605   '],[' 55583   '],"[' 166745   (Atom=Atom', ' 53142 Body=Body', ' 28889 Other', ' 84714)']",[' Yes'],"[' 3889     (Eliminated', '    0 Frozen', ' 3889)']","[' 151      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.685316'],[' 0'], ,[' 86.2825'],[' 0'],[' 1.4194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62002e+07'],[' 1.24349e+07'],[' 0'],[' 1.40134e+10'],[' 0'],[' 0'],[' 454 '],[' 893 '],[' 1173 '],[' 1680 '],[' 2024 '],[' 2560 '],[' 2968 '],[' 3333 '],[' 3873 '],[' 4380 ']
,TA67,"[' 3792093  (Analyzed', ' 3779798)']","[' 8492     (Average', ' 445.10 Last', ' 35898)']",[' 1600.5  '],"[' 463      (Average Length', ' 221.13 Splits', ' 0)']","[' 3779798  (Deleted', ' 3720240)']","[' 76       (Ratio', '   0.00%)']","[' 1504     (Ratio', '   0.04%)']","[' 3779798  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3779798  (Average', '  1.45 Max', ' 2260 Sum', ' 5496901)']","[' 3779666  (Average', '  1.45 Max', ' 2260 Sum', ' 5487814 Ratio', '  99.83%)']","[' 132      (Average', ' 68.84 Max', ' 285 Sum', '   9087 Ratio', '   0.17%)']", ,[' 98356   '],[' 3468    '],[' 97798   '],[' 56355   '],"[' 169061   (Atom=Atom', ' 53885 Body=Body', ' 28918 Other', ' 86258)']",[' Yes'],"[' 3910     (Eliminated', '    0 Frozen', ' 3910)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.726218'],[' 0'], ,[' 61.5459'],[' 0'],[' 1.4364'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46908e+07'],[' 1.5728e+07'],[' 0'],[' 7.85891e+09'],[' 0'],[' 0'],[' 683 '],[' 1014 '],[' 1502 '],[' 1889 '],[' 2278 '],[' 2749 '],[' 3325 '],[' 3770 '],[' 4175 '],[' 4530 ']
,TA68,"[' 725178   (Analyzed', ' 694686)']","[' 2105     (Average', ' 330.02 Last', ' 15807)']",[' 1635.6  '],"[' 436      (Average Length', ' 208.79 Splits', ' 0)']","[' 694686   (Deleted', ' 671802)']","[' 112      (Ratio', '   0.02%)']","[' 1415     (Ratio', '   0.20%)']","[' 694686   (Average Length', '    9.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 694686   (Average', '  2.10 Max', ' 2203 Sum', ' 1461367)']","[' 694542   (Average', '  2.09 Max', ' 2203 Sum', ' 1453619 Ratio', '  99.47%)']","[' 144      (Average', ' 53.81 Max', ' 346 Sum', '   7748 Ratio', '   0.53%)']", ,[' 96669   '],[' 3371    '],[' 96085   '],[' 54905   '],"[' 164711   (Atom=Atom', ' 52532 Body=Body', ' 28821 Other', ' 83358)']",[' Yes'],"[' 3787     (Eliminated', '    0 Frozen', ' 3787)']","[' 73       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.70861'],[' 0'], ,[' 31.7986'],[' 0'],[' 0.585095'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41535e+07'],[' 1.21693e+07'],[' 0'],[' 5.03499e+09'],[' 0'],[' 0'],[' 412 '],[' 838 '],[' 1235 '],[' 1617 '],[' 2105 '],[' 2492 '],[' 2879 '],[' 3294 '],[' 3605 '],[' 4053 ']
,TA69,"[' 521758   (Analyzed', ' 479708)']","[' 1519     (Average', ' 315.81 Last', ' 15542)']",[' 1635.7  '],"[' 405      (Average Length', ' 194.85 Splits', ' 0)']","[' 479708   (Deleted', ' 461479)']","[' 92       (Ratio', '   0.02%)']","[' 1074     (Ratio', '   0.22%)']","[' 479708   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 479708   (Average', '  2.24 Max', ' 2202 Sum', ' 1072154)']","[' 479553   (Average', '  2.21 Max', ' 2202 Sum', ' 1060983 Ratio', '  98.96%)']","[' 155      (Average', ' 72.07 Max', ' 193 Sum', '  11171 Ratio', '   1.04%)']", ,[' 96555   '],[' 3384    '],[' 95946   '],[' 54677   '],"[' 164027   (Atom=Atom', ' 52291 Body=Body', ' 28834 Other', ' 82902)']",[' Yes'],"[' 3775     (Eliminated', '    0 Frozen', ' 3775)']","[' 50       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.694259'],[' 0'], ,[' 28.8704'],[' 0'],[' 0.511492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2639e+07'],[' 1.11336e+07'],[' 0'],[' 4.60315e+09'],[' 0'],[' 0'],[' 548 '],[' 976 '],[' 1408 '],[' 1774 '],[' 2202 '],[' 2772 '],[' 3165 '],[' 3512 '],[' 3981 '],[' 4411 ']
,TA70,"[' 3076691  (Analyzed', ' 3053537)']","[' 7788     (Average', ' 392.08 Last', ' 6997)']",[' 1478.9  '],"[' 328      (Average Length', ' 158.43 Splits', ' 0)']","[' 3053537  (Deleted', ' 2988562)']","[' 64       (Ratio', '   0.00%)']","[' 2174     (Ratio', '   0.07%)']","[' 3053537  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3053537  (Average', '  1.54 Max', ' 2238 Sum', ' 4713155)']","[' 3053414  (Average', '  1.54 Max', ' 2238 Sum', ' 4704125 Ratio', '  99.81%)']","[' 123      (Average', ' 73.41 Max', ' 230 Sum', '   9030 Ratio', '   0.19%)']", ,[' 97684   '],[' 3531    '],[' 97000   '],[' 56183   '],"[' 168545   (Atom=Atom', ' 53650 Body=Body', ' 28981 Other', ' 85914)']",[' Yes'],"[' 3847     (Eliminated', '    0 Frozen', ' 3847)']","[' 200      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.524639'],[' 0'], ,[' 122.768'],[' 0'],[' 2.10152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95648e+07'],[' 1.23802e+07'],[' 0'],[' 1.93205e+10'],[' 0'],[' 0'],[' 499 '],[' 1018 '],[' 1398 '],[' 1871 '],[' 2499 '],[' 3016 '],[' 3257 '],[' 3749 '],[' 4075 '],[' 4666 ']
