Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 3823'],[' 1917'],"[' 511.198s (Solving', ' 471.12s 1st Model', ' 15.50s Unsat', ' 11.13s)']",[' 459.609s'], ,[' 65496687'],"[' 14296221 (Analyzed', ' 14063661)']","[' 28711    (Average', ' 489.84 Last', ' 9973)']",[' 3499.0  '],"[' 1917     (Average Length', ' 1041.14 Splits', ' 0)']","[' 14063661 (Deleted', ' 13862735)']","[' 125      (Ratio', '   0.00%)']","[' 9869     (Ratio', '   0.07%)']","[' 14063661 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14063661 (Average', '  4.32 Max', ' 4651 Sum', ' 60783340)']","[' 14062947 (Average', '  4.27 Max', ' 4651 Sum', ' 60107572 Ratio', '  98.89%)']","[' 714      (Average', ' 946.45 Max', ' 1412 Sum', ' 675768 Ratio', '   1.11%)']", ,[' 106163  '],[' 5464    '],[' 98440   '],[' 43504   '],"[' 112898   (Atom=Atom', ' 31411 Body=Body', ' 20414 Other', ' 61073)']",[' Yes'],"[' 7846     (Eliminated', '    0 Frozen', ' 7846)']","[' 1830     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.82681'],[' 0'], ,[' 291.497'],[' 0'],[' 9.23923'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38647e+08'],[' 9.20146e+07'],[' 0'],[' 1.49712e+10'],[' 0'],[' 0'],[' 761 '],[' 1380 '],[' 2024 '],[' 2737 '],[' 3250 '],[' 4 '],[' 1 ']
Solving...,TA62, , ,[' 1'],[' 4189+'],[' 2100'],"[' 524.622s (Solving', ' 506.65s 1st Model', ' 125.06s Unsat', ' 35.83s)']",[' 472.125s'], ,[' 82410002'],"[' 9948517  (Analyzed', ' 9674771)']","[' 21589    (Average', ' 448.13 Last', ' 1430731)']",[' 3510.6  '],"[' 2100     (Average Length', ' 1106.87 Splits', ' 0)']","[' 9674771  (Deleted', ' 9534808)']","[' 171      (Ratio', '   0.00%)']","[' 13656    (Ratio', '   0.14%)']","[' 9674771  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9674771  (Average', '  8.00 Max', ' 3435 Sum', ' 77374874)']","[' 9674047  (Average', '  7.93 Max', ' 3435 Sum', ' 76675417 Ratio', '  99.10%)']","[' 724      (Average', ' 966.10 Max', ' 1429 Sum', ' 699457 Ratio', '   0.90%)']", ,[' 107029  '],[' 5544    '],[' 99385   '],[' 44208   '],"[' 114560   (Atom=Atom', ' 31883 Body=Body', ' 20587 Other', ' 62090)']",[' Yes'],"[' 8027     (Eliminated', '    0 Frozen', ' 8027)']","[' 2687     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.16009'],[' 0'], ,[' 321.091'],[' 0'],[' 10.8283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0952e+08'],[' 1.52218e+08'],[' 0'],[' 1.51281e+10'],[' 0'],[' 0'],[' 724 '],[' 1420 '],[' 2107 '],[' 2624 '],[' 3277 '],[' 4 '],[' 1 ']
Solving...,TA63, , ,[' 1'],[' 4031+'],[' 2021'],"[' 307.576s (Solving', ' 297.06s 1st Model', ' 34.93s Unsat', ' 11.42s)']",[' 305.859s'], ,[' 43381865'],"[' 9209639  (Analyzed', ' 8997445)']","[' 18305    (Average', ' 491.53 Last', ' 302733)']",[' 3636.4  '],"[' 2021     (Average Length', ' 1063.72 Splits', ' 0)']","[' 8997445  (Deleted', ' 8849404)']","[' 130      (Ratio', '   0.00%)']","[' 8017     (Ratio', '   0.09%)']","[' 8997445  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8997445  (Average', '  4.25 Max', ' 4434 Sum', ' 38214949)']","[' 8996832  (Average', '  4.19 Max', ' 4434 Sum', ' 37710516 Ratio', '  98.68%)']","[' 613      (Average', ' 822.89 Max', ' 1462 Sum', ' 504433 Ratio', '   1.32%)']", ,[' 106184  '],[' 5470    '],[' 98425   '],[' 43598   '],"[' 113124   (Atom=Atom', ' 31500 Body=Body', ' 20387 Other', ' 61237)']",[' Yes'],"[' 7886     (Eliminated', '    0 Frozen', ' 7886)']","[' 1109     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37463'],[' 0'], ,[' 183.807'],[' 0'],[' 6.44671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0215e+08'],[' 6.97007e+07'],[' 0'],[' 1.01748e+10'],[' 0'],[' 0'],[' 826 '],[' 1273 '],[' 1892 '],[' 2506 '],[' 3025 '],[' 2 '],[' 3 ']
Solving...,TA64, , ,[' 1'],[' 4243+'],[' 2127'],"[' 561.199s (Solving', ' 550.12s 1st Model', ' 30.59s Unsat', ' 64.84s)']",[' 559.000s'], ,[' 80849787'],"[' 18471750 (Analyzed', ' 18184550)']","[' 36187    (Average', ' 502.52 Last', ' 65092)']",[' 3493.4  '],"[' 2127     (Average Length', ' 1106.06 Splits', ' 0)']","[' 18184550 (Deleted', ' 17941164)']","[' 173      (Ratio', '   0.00%)']","[' 13353    (Ratio', '   0.07%)']","[' 18184550 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18184550 (Average', '  4.16 Max', ' 4047 Sum', ' 75563440)']","[' 18183836 (Average', '  4.12 Max', ' 4047 Sum', ' 74890335 Ratio', '  99.11%)']","[' 714      (Average', ' 942.72 Max', ' 1401 Sum', ' 673105 Ratio', '   0.89%)']", ,[' 106262  '],[' 5476    '],[' 98608   '],[' 43619   '],"[' 113639   (Atom=Atom', ' 31659 Body=Body', ' 20403 Other', ' 61577)']",[' Yes'],"[' 7936     (Eliminated', '    0 Frozen', ' 7936)']","[' 2174     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52906'],[' 0'], ,[' 360.284'],[' 0'],[' 10.9567'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90732e+08'],[' 1.26615e+08'],[' 0'],[' 2.13851e+10'],[' 0'],[' 0'],[' 811 '],[' 1441 '],[' 1948 '],[' 2534 '],[' 3038 '],[' 4 '],[' 1 ']
Solving...,TA65, , ,[' 1'],[' 4465+'],[' 2238'],"[' 603.055s (Solving', ' 591.13s 1st Model', ' 18.95s Unsat', ' 0.00s)']",[' 601.563s'], ,[' 89364515'],"[' 17775613 (Analyzed', ' 17585058)']","[' 34337    (Average', ' 512.13 Last', ' 15700)']",[' 3389.0  '],"[' 2238     (Average Length', ' 1179.18 Splits', ' 0)']","[' 17585058 (Deleted', ' 17339920)']","[' 163      (Ratio', '   0.00%)']","[' 14385    (Ratio', '   0.08%)']","[' 17585058 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17585058 (Average', '  4.80 Max', ' 3502 Sum', ' 84450519)']","[' 17584344 (Average', '  4.76 Max', ' 3502 Sum', ' 83719606 Ratio', '  99.13%)']","[' 714      (Average', ' 1023.69 Max', ' 1589 Sum', ' 730913 Ratio', '   0.87%)']", ,[' 106057  '],[' 5435    '],[' 98476   '],[' 43493   '],"[' 113424   (Atom=Atom', ' 31618 Body=Body', ' 20304 Other', ' 61502)']",[' Yes'],"[' 8032     (Eliminated', '    0 Frozen', ' 8032)']","[' 2454     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.64673'],[' 0'], ,[' 386.13'],[' 0'],[' 12.6161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11349e+08'],[' 1.44353e+08'],[' 0'],[' 2.19682e+10'],[' 0'],[' 0'],[' 720 '],[' 1241 '],[' 1818 '],[' 2479 '],[' 3047 '],[' 5 '],[' 0 ']
Solving...,TA66, , , ,[' 3815'],[' 1913'],"[' 403.708s (Solving', ' 393.47s 1st Model', ' 72.31s Unsat', ' 3.49s)']",[' 399.406s'], ,[' 64007694'],"[' 13039048 (Analyzed', ' 12802602)']","[' 26049    (Average', ' 491.48 Last', ' 844427)']",[' 3384.6  '],"[' 1913     (Average Length', ' 1018.57 Splits', ' 0)']","[' 12802602 (Deleted', ' 12632632)']","[' 191      (Ratio', '   0.00%)']","[' 9595     (Ratio', '   0.07%)']","[' 12802602 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12802602 (Average', '  4.64 Max', ' 4503 Sum', ' 59410273)']","[' 12801917 (Average', '  4.59 Max', ' 4503 Sum', ' 58827899 Ratio', '  99.02%)']","[' 685      (Average', ' 850.18 Max', ' 1337 Sum', ' 582374 Ratio', '   0.98%)']", ,[' 106139  '],[' 5488    '],[' 98351   '],[' 43435   '],"[' 113244   (Atom=Atom', ' 31480 Body=Body', ' 20451 Other', ' 61313)']",[' Yes'],"[' 7836     (Eliminated', '    0 Frozen', ' 7836)']","[' 1600     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27243'],[' 0'], ,[' 233.372'],[' 0'],[' 7.64387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74907e+08'],[' 1.18694e+08'],[' 0'],[' 1.10675e+10'],[' 0'],[' 0'],[' 761 '],[' 1248 '],[' 1859 '],[' 2573 '],[' 3145 '],[' 3 '],[' 2 ']
Solving...,TA67, , ,[' 1'],[' 4089+'],[' 2050'],"[' 602.842s (Solving', ' 591.95s 1st Model', ' 26.81s Unsat', ' 0.00s)']",[' 600.781s'], ,[' 99339599'],"[' 16555541 (Analyzed', ' 16311589)']","[' 30966    (Average', ' 526.76 Last', ' 112484)']",[' 3444.4  '],"[' 2050     (Average Length', ' 1088.05 Splits', ' 0)']","[' 16311589 (Deleted', ' 16126902)']","[' 209      (Ratio', '   0.00%)']","[' 13998    (Ratio', '   0.09%)']","[' 16311589 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16311589 (Average', '  5.79 Max', ' 3920 Sum', ' 94416331)']","[' 16310872 (Average', '  5.75 Max', ' 3920 Sum', ' 93726603 Ratio', '  99.27%)']","[' 717      (Average', ' 961.96 Max', ' 1465 Sum', ' 689728 Ratio', '   0.73%)']", ,[' 107336  '],[' 5589    '],[' 99601   '],[' 44384   '],"[' 114887   (Atom=Atom', ' 31962 Body=Body', ' 20696 Other', ' 62229)']",[' Yes'],"[' 8030     (Eliminated', '    0 Frozen', ' 8030)']","[' 2527     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.41874'],[' 0'], ,[' 389.538'],[' 0'],[' 13.0957'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.40431e+08'],[' 1.69956e+08'],[' 0'],[' 2.1632e+10'],[' 0'],[' 0'],[' 851 '],[' 1377 '],[' 2040 '],[' 2697 '],[' 3228 '],[' 5 '],[' 0 ']
Solving...,TA68, , , ,[' 3945'],[' 1978'],"[' 467.915s (Solving', ' 457.12s 1st Model', ' 57.78s Unsat', ' 26.76s)']",[' 465.438s'], ,[' 57335873'],"[' 14958060 (Analyzed', ' 14768110)']","[' 29469    (Average', ' 501.14 Last', ' 372669)']",[' 3487.7  '],"[' 1978     (Average Length', ' 1037.58 Splits', ' 0)']","[' 14768110 (Deleted', ' 14559567)']","[' 283      (Ratio', '   0.00%)']","[' 11151    (Ratio', '   0.08%)']","[' 14768110 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14768110 (Average', '  3.56 Max', ' 3621 Sum', ' 52644351)']","[' 14767215 (Average', '  3.51 Max', ' 3621 Sum', ' 51889036 Ratio', '  98.57%)']","[' 895      (Average', ' 843.93 Max', ' 1701 Sum', ' 755315 Ratio', '   1.43%)']", ,[' 105682  '],[' 5410    '],[' 97896   '],[' 43191   '],"[' 112234   (Atom=Atom', ' 31259 Body=Body', ' 20222 Other', ' 60753)']",[' Yes'],"[' 7768     (Eliminated', '    0 Frozen', ' 7768)']","[' 1625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.4007'],[' 0'], ,[' 285.4'],[' 0'],[' 8.47879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31396e+08'],[' 8.38535e+07'],[' 0'],[' 1.55102e+10'],[' 0'],[' 0'],[' 687 '],[' 1329 '],[' 1894 '],[' 2482 '],[' 3049 '],[' 3 '],[' 2 ']
Solving...,TA69, , , ,[' 3671'],[' 1841'],"[' 505.057s (Solving', ' 495.49s 1st Model', ' 14.83s Unsat', ' 0.29s)']",[' 503.172s'], ,[' 71476032'],"[' 17723771 (Analyzed', ' 17643349)']","[' 34189    (Average', ' 516.05 Last', ' 60021)']",[' 3548.9  '],"[' 1841     (Average Length', ' 981.22 Splits', ' 0)']","[' 17643349 (Deleted', ' 17429484)']","[' 139      (Ratio', '   0.00%)']","[' 10116    (Ratio', '   0.06%)']","[' 17643349 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17643349 (Average', '  3.79 Max', ' 4212 Sum', ' 66794869)']","[' 17642576 (Average', '  3.75 Max', ' 4212 Sum', ' 66159677 Ratio', '  99.05%)']","[' 773      (Average', ' 821.72 Max', ' 1220 Sum', ' 635192 Ratio', '   0.95%)']", ,[' 105937  '],[' 5518    '],[' 98422   '],[' 43441   '],"[' 113377   (Atom=Atom', ' 31518 Body=Body', ' 20534 Other', ' 61325)']",[' Yes'],"[' 7791     (Eliminated', '    0 Frozen', ' 7791)']","[' 1737     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16482'],[' 0'], ,[' 321.187'],[' 0'],[' 9.51083'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.632e+08'],[' 1.0621e+08'],[' 0'],[' 1.89783e+10'],[' 0'],[' 0'],[' 915 '],[' 1635 '],[' 2152 '],[' 2717 '],[' 3314 '],[' 4 '],[' 1 ']
Solving...,TA70, , , ,[' 4343'],[' 2177'],"[' 421.937s (Solving', ' 411.02s 1st Model', ' 41.79s Unsat', ' 14.69s)']",[' 420.875s'], ,[' 94262747'],"[' 11748593 (Analyzed', ' 11577434)']","[' 22606    (Average', ' 512.14 Last', ' 321216)']",[' 3427.2  '],"[' 2177     (Average Length', ' 1153.27 Splits', ' 0)']","[' 11577434 (Deleted', ' 11451215)']","[' 289      (Ratio', '   0.00%)']","[' 13589    (Ratio', '   0.12%)']","[' 11577434 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11577434 (Average', '  7.72 Max', ' 3882 Sum', ' 89343502)']","[' 11576744 (Average', '  7.66 Max', ' 3882 Sum', ' 88686313 Ratio', '  99.26%)']","[' 690      (Average', ' 952.45 Max', ' 1572 Sum', ' 657189 Ratio', '   0.74%)']", ,[' 106633  '],[' 5521    '],[' 99136   '],[' 44019   '],"[' 114470   (Atom=Atom', ' 31869 Body=Body', ' 20554 Other', ' 62047)']",[' Yes'],"[' 8083     (Eliminated', '    0 Frozen', ' 8083)']","[' 2387     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45219'],[' 0'], ,[' 233.056'],[' 0'],[' 9.13322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7003e+08'],[' 1.94754e+08'],[' 0'],[' 1.18334e+10'],[' 0'],[' 0'],[' 830 '],[' 1416 '],[' 2326 '],[' 2792 '],[' 3362 '],[' 3 '],[' 2 ']
