Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
,TA31,"[' 7130     (Analyzed', ' 5857)']","[' 42       (Average', ' 139.45 Last', ' 45)']",[' 391.4   '],"[' 131      (Average Length', ' 59.95 Splits', ' 0)']","[' 5857     (Deleted', ' 1010)']","[' 71       (Ratio', '   1.21%)']","[' 346      (Ratio', '   5.91%)']","[' 5857     (Average Length', '    6.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5857     (Average', '  6.48 Max', ' 526 Sum', '  37981)']","[' 5755     (Average', '  6.27 Max', ' 526 Sum', '  36705 Ratio', '  96.64%)']","[' 102      (Average', ' 12.51 Max', '  90 Sum', '   1276 Ratio', '   3.36%)']", ,[' 28256   '],[' 1074    '],[' 27926   '],[' 14676   '],"[' 44024    (Atom=Atom', ' 14050 Body=Body', ' 8019 Other', ' 21955)']",[' Yes'],"[' 1194     (Eliminated', '    0 Frozen', ' 1194)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0946255'],[' 0'], ,[' 0.172367'],[' 0'],[' 0.0053263'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 914393'],[' 854720'],[' 0'],[' 9.91219e+06'],[' 0'],[' 0'],[' 280 '],[' 571 '],[' 775 '],[' 1059 '],[' 1255 '],[' 1633 '],[' 1875 '],[' 2136 '],[' 2378 '],[' 2576 ']
,TA32,"[' 8407     (Analyzed', ' 6787)']","[' 52       (Average', ' 130.52 Last', ' 78)']",[' 437.1   '],"[' 98       (Average Length', ' 43.31 Splits', ' 0)']","[' 6787     (Deleted', ' 1233)']","[' 64       (Ratio', '   0.94%)']","[' 312      (Ratio', '   4.60%)']","[' 6787     (Average Length', '    6.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6787     (Average', '  5.45 Max', ' 630 Sum', '  36966)']","[' 6701     (Average', '  5.38 Max', ' 630 Sum', '  36536 Ratio', '  98.84%)']","[' 86       (Average', '  5.00 Max', '  52 Sum', '    430 Ratio', '   1.16%)']", ,[' 29146   '],[' 1134    '],[' 28783   '],[' 15379   '],"[' 46133    (Atom=Atom', ' 14693 Body=Body', ' 8079 Other', ' 23361)']",[' Yes'],"[' 1221     (Eliminated', '    0 Frozen', ' 1221)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0915331'],[' 0'], ,[' 0.219716'],[' 0'],[' 0.0061949'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 745486'],[' 694772'],[' 0'],[' 1.99385e+07'],[' 0'],[' 0'],[' 335 '],[' 541 '],[' 876 '],[' 1203 '],[' 1469 '],[' 1652 '],[' 1934 '],[' 2281 '],[' 2522 '],[' 2814 ']
,TA33,"[' 93927    (Analyzed', ' 92983)']","[' 302      (Average', ' 307.89 Last', ' 56)']",[' 368.1   '],"[' 98       (Average Length', ' 43.91 Splits', ' 0)']","[' 92983    (Deleted', ' 85025)']","[' 58       (Ratio', '   0.06%)']","[' 322      (Ratio', '   0.35%)']","[' 92983    (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 92983    (Average', '  1.50 Max', ' 461 Sum', ' 139413)']","[' 92902    (Average', '  1.50 Max', ' 461 Sum', ' 139106 Ratio', '  99.78%)']","[' 81       (Average', '  3.79 Max', '  37 Sum', '    307 Ratio', '   0.22%)']", ,[' 28677   '],[' 1094    '],[' 28314   '],[' 14879   '],"[' 44633    (Atom=Atom', ' 14233 Body=Body', ' 8039 Other', ' 22361)']",[' Yes'],"[' 1181     (Eliminated', '    0 Frozen', ' 1181)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0821103'],[' 0'], ,[' 1.58549'],[' 0'],[' 0.0379647'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 920227'],[' 674880'],[' 0'],[' 2.3128e+08'],[' 0'],[' 0'],[' 352 '],[' 494 '],[' 798 '],[' 984 '],[' 1401 '],[' 1553 '],[' 1846 '],[' 2108 '],[' 2408 '],[' 2631 ']
,TA34,"[' 5312     (Analyzed', ' 4062)']","[' 30       (Average', ' 135.40 Last', ' 51)']",[' 412.4   '],"[' 93       (Average Length', ' 40.74 Splits', ' 0)']","[' 4062     (Deleted', ' 1279)']","[' 72       (Ratio', '   1.77%)']","[' 250      (Ratio', '   6.15%)']","[' 4062     (Average Length', '    6.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4062     (Average', '  7.18 Max', ' 560 Sum', '  29184)']","[' 3976     (Average', '  7.11 Max', ' 560 Sum', '  28867 Ratio', '  98.91%)']","[' 86       (Average', '  3.69 Max', '  36 Sum', '    317 Ratio', '   1.09%)']", ,[' 28503   '],[' 1078    '],[' 28134   '],[' 14862   '],"[' 44582    (Atom=Atom', ' 14232 Body=Body', ' 8023 Other', ' 22327)']",[' Yes'],"[' 1159     (Eliminated', '    0 Frozen', ' 1159)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0866947'],[' 0'], ,[' 0.162481'],[' 0'],[' 0.0046514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 683376'],[' 640917'],[' 0'],[' 1.48397e+07'],[' 0'],[' 0'],[' 371 '],[' 545 '],[' 922 '],[' 1128 '],[' 1372 '],[' 1584 '],[' 1969 '],[' 2133 '],[' 2446 '],[' 2772 ']
,TA35,"[' 23561    (Analyzed', ' 22634)']","[' 113      (Average', ' 200.30 Last', ' 254)']",[' 413.9   '],"[' 70       (Average Length', ' 29.07 Splits', ' 0)']","[' 22634    (Deleted', ' 16838)']","[' 85       (Ratio', '   0.38%)']","[' 378      (Ratio', '   1.67%)']","[' 22634    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22634    (Average', '  2.24 Max', ' 496 Sum', '  50811)']","[' 22522    (Average', '  2.22 Max', ' 496 Sum', '  50316 Ratio', '  99.03%)']","[' 112      (Average', '  4.42 Max', '  41 Sum', '    495 Ratio', '   0.97%)']", ,[' 28378   '],[' 1088    '],[' 27987   '],[' 14669   '],"[' 44003    (Atom=Atom', ' 14029 Body=Body', ' 8033 Other', ' 21941)']",[' Yes'],"[' 1147     (Eliminated', '    0 Frozen', ' 1147)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0729529'],[' 0'], ,[' 0.698798'],[' 0'],[' 0.0147852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 613147'],[' 535017'],[' 0'],[' 1.14931e+08'],[' 0'],[' 0'],[' 298 '],[' 561 '],[' 790 '],[' 1120 '],[' 1289 '],[' 1626 '],[' 1747 '],[' 2140 '],[' 2525 '],[' 2794 ']
,TA36,"[' 7384     (Analyzed', ' 5062)']","[' 51       (Average', ' 99.25 Last', ' 39)']",[' 385.8   '],"[' 83       (Average Length', ' 35.96 Splits', ' 0)']","[' 5062     (Deleted', ' 948)']","[' 60       (Ratio', '   1.19%)']","[' 269      (Ratio', '   5.31%)']","[' 5062     (Average Length', '    6.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5062     (Average', '  4.05 Max', ' 551 Sum', '  20510)']","[' 4978     (Average', '  3.93 Max', ' 551 Sum', '  19911 Ratio', '  97.08%)']","[' 84       (Average', '  7.13 Max', '  45 Sum', '    599 Ratio', '   2.92%)']", ,[' 28490   '],[' 1084    '],[' 28112   '],[' 14788   '],"[' 44360    (Atom=Atom', ' 14152 Body=Body', ' 8029 Other', ' 22179)']",[' Yes'],"[' 1156     (Eliminated', '    0 Frozen', ' 1156)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0782239'],[' 0'], ,[' 0.121289'],[' 0'],[' 0.0032389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 568290'],[' 525766'],[' 0'],[' 8.50534e+06'],[' 0'],[' 0'],[' 437 '],[' 796 '],[' 946 '],[' 1188 '],[' 1339 '],[' 1592 '],[' 1938 '],[' 2261 '],[' 2510 '],[' 2761 ']
,TA37,"[' 3758     (Analyzed', ' 2933)']","[' 20       (Average', ' 146.65 Last', ' 251)']",[' 387.8   '],"[' 72       (Average Length', ' 29.79 Splits', ' 0)']","[' 2933     (Deleted', ' 957)']","[' 36       (Ratio', '   1.23%)']","[' 171      (Ratio', '   5.83%)']","[' 2933     (Average Length', '    6.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2933     (Average', '  6.76 Max', ' 535 Sum', '  19817)']","[' 2874     (Average', '  6.67 Max', ' 535 Sum', '  19572 Ratio', '  98.76%)']","[' 59       (Average', '  4.15 Max', '  29 Sum', '    245 Ratio', '   1.24%)']", ,[' 28066   '],[' 1082    '],[' 27676   '],[' 14471   '],"[' 43409    (Atom=Atom', ' 13837 Body=Body', ' 8027 Other', ' 21545)']",[' Yes'],"[' 1142     (Eliminated', '    0 Frozen', ' 1142)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0708224'],[' 0'], ,[' 0.112936'],[' 0'],[' 0.0033589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 487324'],[' 454564'],[' 0'],[' 9.66878e+06'],[' 0'],[' 0'],[' 317 '],[' 561 '],[' 727 '],[' 954 '],[' 1143 '],[' 1483 '],[' 1650 '],[' 1918 '],[' 2216 '],[' 2527 ']
,TA38,"[' 14991    (Analyzed', ' 13158)']","[' 80       (Average', ' 164.47 Last', ' 177)']",[' 470.2   '],"[' 125      (Average Length', ' 56.08 Splits', ' 0)']","[' 13158    (Deleted', ' 6986)']","[' 53       (Ratio', '   0.40%)']","[' 374      (Ratio', '   2.84%)']","[' 13158    (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13158    (Average', '  3.97 Max', ' 585 Sum', '  52209)']","[' 13074    (Average', '  3.93 Max', ' 585 Sum', '  51648 Ratio', '  98.93%)']","[' 84       (Average', '  6.68 Max', '  78 Sum', '    561 Ratio', '   1.07%)']", ,[' 28730   '],[' 1119    '],[' 28394   '],[' 15031   '],"[' 45089    (Atom=Atom', ' 14360 Body=Body', ' 8064 Other', ' 22665)']",[' Yes'],"[' 1233     (Eliminated', '    0 Frozen', ' 1233)']","[' 21       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.113203'],[' 0'], ,[' 0.412809'],[' 0'],[' 0.0103113'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07658e+06'],[' 999622'],[' 0'],[' 4.19934e+07'],[' 0'],[' 0'],[' 494 '],[' 753 '],[' 1108 '],[' 1321 '],[' 1531 '],[' 1752 '],[' 1943 '],[' 2224 '],[' 2449 '],[' 2743 ']
,TA39,"[' 54482    (Analyzed', ' 53389)']","[' 218      (Average', ' 244.90 Last', ' 1917)']",[' 394.6   '],"[' 82       (Average Length', ' 35.07 Splits', ' 0)']","[' 53389    (Deleted', ' 43218)']","[' 59       (Ratio', '   0.11%)']","[' 368      (Ratio', '   0.69%)']","[' 53389    (Average Length', '    8.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 53389    (Average', '  1.56 Max', ' 538 Sum', '  83230)']","[' 53285    (Average', '  1.55 Max', ' 538 Sum', '  82841 Ratio', '  99.53%)']","[' 104      (Average', '  3.74 Max', '  42 Sum', '    389 Ratio', '   0.47%)']", ,[' 28521   '],[' 1099    '],[' 28142   '],[' 14436   '],"[' 43304    (Atom=Atom', ' 13785 Body=Body', ' 8044 Other', ' 21475)']",[' Yes'],"[' 1170     (Eliminated', '    0 Frozen', ' 1170)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0829306'],[' 0'], ,[' 0.266263'],[' 0'],[' 0.0089063'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 766891'],[' 616049'],[' 0'],[' 1.46625e+07'],[' 0'],[' 0'],[' 465 '],[' 741 '],[' 911 '],[' 1282 '],[' 1487 '],[' 1834 '],[' 2010 '],[' 2285 '],[' 2450 '],[' 2674 ']
,TA40,"[' 2871     (Analyzed', ' 1654)']","[' 19       (Average', ' 87.05 Last', ' 80)']",[' 378.1   '],"[' 104      (Average Length', ' 46.82 Splits', ' 0)']","[' 1654     (Deleted', ' 0)']","[' 53       (Ratio', '   3.20%)']","[' 190      (Ratio', '  11.49%)']","[' 1654     (Average Length', '    5.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1654     (Average', ' 13.95 Max', ' 569 Sum', '  23080)']","[' 1583     (Average', ' 13.80 Max', ' 569 Sum', '  22823 Ratio', '  98.89%)']","[' 71       (Average', '  3.62 Max', '  15 Sum', '    257 Ratio', '   1.11%)']", ,[' 28159   '],[' 1085    '],[' 27802   '],[' 14816   '],"[' 44444    (Atom=Atom', ' 14179 Body=Body', ' 8030 Other', ' 22235)']",[' Yes'],"[' 1178     (Eliminated', '    0 Frozen', ' 1178)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0825323'],[' 0'], ,[' 0.107875'],[' 0'],[' 0.0032827'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 634677'],[' 595974'],[' 0'],[' 3.22519e+06'],[' 0'],[' 0'],[' 342 '],[' 620 '],[' 759 '],[' 1016 '],[' 1232 '],[' 1448 '],[' 1699 '],[' 1867 '],[' 2209 '],[' 2510 ']
