Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 6917+'],[' 3464'],"[' 1014.973s (Solving', ' 964.66s 1st Model', ' 85.32s Unsat', ' 0.00s)']",[' 1008.313s'], ,[' 357246305'],"[' 10848599 (Analyzed', ' 9702366)']","[' 19693    (Average', ' 492.68 Last', ' 7754)']",[' 10302.4 '],"[' 3464     (Average Length', ' 1825.18 Splits', ' 0)']","[' 9702366  (Deleted', ' 9576450)']","[' 90       (Ratio', '   0.00%)']","[' 43110    (Ratio', '   0.44%)']","[' 9702366  (Average Length', '   29.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9702366  (Average', ' 34.11 Max', ' 13938 Sum', ' 330965458)']","[' 9699588  (Average', ' 33.59 Max', ' 13334 Sum', ' 325903876 Ratio', '  98.47%)']","[' 2778     (Average', ' 1822.02 Max', ' 2314 Sum', ' 5061582 Ratio', '   1.53%)']", ,[' 350661  '],[' 20053   '],[' 317551  '],[' 134737  '],"[' 362858   (Atom=Atom', ' 96888 Body=Body', ' 65839 Other', ' 200131)']",[' Yes'],"[' 24314    (Eliminated', '    0 Frozen', ' 24314)']","[' 8313     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.34512'],[' 0'], ,[' 514.156'],[' 0'],[' 26.4551'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.27838e+08'],[' 5.41555e+08'],[' 0'],[' 2.83508e+10'],[' 0'],[' 0'],[' 1694 '],[' 3036 '],[' 4111 '],[' 5408 '],[' 6525 '],[' 5 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 6231+'],[' 3121'],"[' 1011.910s (Solving', ' 969.88s 1st Model', ' 137.36s Unsat', ' 0.00s)']",[' 1009.000s'], ,[' 428852244'],"[' 11929526 (Analyzed', ' 10383144)']","[' 20144    (Average', ' 515.45 Last', ' 52707)']",[' 10318.1 '],"[' 3121     (Average Length', ' 1660.11 Splits', ' 0)']","[' 10383144 (Deleted', ' 10257907)']","[' 79       (Ratio', '   0.00%)']","[' 42547    (Ratio', '   0.41%)']","[' 10383144 (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10383144 (Average', ' 39.01 Max', ' 13265 Sum', ' 405074360)']","[' 10379816 (Average', ' 38.47 Max', ' 13265 Sum', ' 399409230 Ratio', '  98.60%)']","[' 3328     (Average', ' 1702.26 Max', ' 2066 Sum', ' 5665130 Ratio', '   1.40%)']", ,[' 349835  '],[' 19860   '],[' 315715  '],[' 134246  '],"[' 358885   (Atom=Atom', ' 95773 Body=Body', ' 65260 Other', ' 197852)']",[' Yes'],"[' 23833    (Eliminated', '    0 Frozen', ' 23833)']","[' 6363     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.00914'],[' 0'], ,[' 530.326'],[' 0'],[' 30.4869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56394e+08'],[' 5.66894e+08'],[' 0'],[' 2.9886e+10'],[' 0'],[' 0'],[' 1430 '],[' 2770 '],[' 3948 '],[' 5231 '],[' 6206 '],[' 5 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 6751+'],[' 3381'],"[' 1014.705s (Solving', ' 964.26s 1st Model', ' 103.13s Unsat', ' 0.00s)']",[' 1011.188s'], ,[' 398257448'],"[' 8400613  (Analyzed', ' 6908580)']","[' 15001    (Average', ' 460.54 Last', ' 17211)']",[' 10080.2 '],"[' 3381     (Average Length', ' 1800.77 Splits', ' 0)']","[' 6908580  (Deleted', ' 6791537)']","[' 75       (Ratio', '   0.00%)']","[' 47329    (Ratio', '   0.69%)']","[' 6908580  (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6908580  (Average', ' 53.97 Max', ' 12766 Sum', ' 372861537)']","[' 6905829  (Average', ' 53.27 Max', ' 12766 Sum', ' 368036666 Ratio', '  98.71%)']","[' 2751     (Average', ' 1753.86 Max', ' 2347 Sum', ' 4824871 Ratio', '   1.29%)']", ,[' 348601  '],[' 19935   '],[' 315766  '],[' 133652  '],"[' 360849   (Atom=Atom', ' 96333 Body=Body', ' 65485 Other', ' 199031)']",[' Yes'],"[' 24112    (Eliminated', '    0 Frozen', ' 24112)']","[' 8929     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.45521'],[' 0'], ,[' 480.262'],[' 0'],[' 29.9663'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.71549e+08'],[' 5.8674e+08'],[' 0'],[' 2.30608e+10'],[' 0'],[' 0'],[' 1763 '],[' 3031 '],[' 4081 '],[' 5474 '],[' 6576 '],[' 5 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 6639+'],[' 3325'],"[' 1014.335s (Solving', ' 963.45s 1st Model', ' 140.57s Unsat', ' 0.00s)']",[' 1007.172s'], ,[' 385511025'],"[' 5520763  (Analyzed', ' 4856452)']","[' 11345    (Average', ' 428.07 Last', ' 33075)']",[' 9465.6  '],"[' 3325     (Average Length', ' 1745.29 Splits', ' 0)']","[' 4856452  (Deleted', ' 4750981)']","[' 90       (Ratio', '   0.00%)']","[' 57568    (Ratio', '   1.19%)']","[' 4856452  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4856452  (Average', ' 74.96 Max', ' 13837 Sum', ' 364024571)']","[' 4853612  (Average', ' 73.86 Max', ' 12386 Sum', ' 358685238 Ratio', '  98.53%)']","[' 2840     (Average', ' 1880.05 Max', ' 2286 Sum', ' 5339333 Ratio', '   1.47%)']", ,[' 351563  '],[' 19875   '],[' 317028  '],[' 135153  '],"[' 359679   (Atom=Atom', ' 96037 Body=Body', ' 65305 Other', ' 198337)']",[' Yes'],"[' 23987    (Eliminated', '    0 Frozen', ' 23987)']","[' 9716     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.4652'],[' 0'], ,[' 437.122'],[' 0'],[' 30.2406'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.58177e+08'],[' 6.73045e+08'],[' 0'],[' 1.84538e+10'],[' 0'],[' 0'],[' 1322 '],[' 2758 '],[' 3963 '],[' 5137 '],[' 6038 '],[' 5 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 7403+'],[' 3707'],"[' 1016.492s (Solving', ' 958.85s 1st Model', ' 130.64s Unsat', ' 0.00s)']",[' 1012.688s'], ,[' 441400974'],"[' 4358491  (Analyzed', ' 3574963)']","[' 8786     (Average', ' 406.89 Last', ' 56817)']",[' 9240.5  '],"[' 3707     (Average Length', ' 1898.26 Splits', ' 0)']","[' 3574963  (Deleted', ' 3459396)']","[' 86       (Ratio', '   0.00%)']","[' 74097    (Ratio', '   2.07%)']","[' 3574963  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3574963  (Average', ' 116.92 Max', ' 10965 Sum', ' 417971636)']","[' 3572355  (Average', ' 115.50 Max', ' 10965 Sum', ' 412906231 Ratio', '  98.79%)']","[' 2608     (Average', ' 1942.26 Max', ' 2447 Sum', ' 5065405 Ratio', '   1.21%)']", ,[' 354210  '],[' 20148   '],[' 319778  '],[' 136952  '],"[' 365030   (Atom=Atom', ' 97511 Body=Body', ' 66124 Other', ' 201395)']",[' Yes'],"[' 24545    (Eliminated', '    0 Frozen', ' 24545)']","[' 14015    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4706'],[' 0'], ,[' 358.275'],[' 0'],[' 31.3385'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.45958e+08'],[' 8.45655e+08'],[' 0'],[' 1.27866e+10'],[' 0'],[' 0'],[' 1332 '],[' 2825 '],[' 3791 '],[' 4942 '],[' 6256 '],[' 5 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 6829+'],[' 3420'],"[' 1015.514s (Solving', ' 961.59s 1st Model', ' 105.06s Unsat', ' 0.00s)']",[' 1010.875s'], ,[' 388191442'],"[' 5841713  (Analyzed', ' 5102809)']","[' 11823    (Average', ' 431.60 Last', ' 45150)']",[' 9528.4  '],"[' 3420     (Average Length', ' 1830.16 Splits', ' 0)']","[' 5102809  (Deleted', ' 4983770)']","[' 80       (Ratio', '   0.00%)']","[' 57603    (Ratio', '   1.13%)']","[' 5102809  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5102809  (Average', ' 71.68 Max', ' 11284 Sum', ' 365771702)']","[' 5099886  (Average', ' 70.65 Max', ' 11284 Sum', ' 360533209 Ratio', '  98.57%)']","[' 2923     (Average', ' 1792.16 Max', ' 2371 Sum', ' 5238493 Ratio', '   1.43%)']", ,[' 351077  '],[' 19680   '],[' 316760  '],[' 134465  '],"[' 357054   (Atom=Atom', ' 95352 Body=Body', ' 64720 Other', ' 196982)']",[' Yes'],"[' 23917    (Eliminated', '    0 Frozen', ' 23917)']","[' 11115    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.89897'],[' 0'], ,[' 430.976'],[' 0'],[' 29.8837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.96773e+08'],[' 7.04592e+08'],[' 0'],[' 1.88363e+10'],[' 0'],[' 0'],[' 1390 '],[' 2707 '],[' 3922 '],[' 4832 '],[' 6277 '],[' 5 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 7351+'],[' 3681'],"[' 1014.997s (Solving', ' 960.84s 1st Model', ' 90.94s Unsat', ' 0.00s)']",[' 1010.031s'], ,[' 356529316'],"[' 10565541 (Analyzed', ' 8862686)']","[' 18875    (Average', ' 469.55 Last', ' 3362)']",[' 10490.4 '],"[' 3681     (Average Length', ' 1927.27 Splits', ' 0)']","[' 8862686  (Deleted', ' 8749908)']","[' 55       (Ratio', '   0.00%)']","[' 35534    (Ratio', '   0.40%)']","[' 8862686  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8862686  (Average', ' 37.10 Max', ' 13718 Sum', ' 328829977)']","[' 8859383  (Average', ' 36.39 Max', ' 13208 Sum', ' 322507509 Ratio', '  98.08%)']","[' 3303     (Average', ' 1914.16 Max', ' 2595 Sum', ' 6322468 Ratio', '   1.92%)']", ,[' 351333  '],[' 19798   '],[' 317351  '],[' 134986  '],"[' 359484   (Atom=Atom', ' 96085 Body=Body', ' 65074 Other', ' 198325)']",[' Yes'],"[' 24192    (Eliminated', '    0 Frozen', ' 24192)']","[' 6350     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.1465'],[' 0'], ,[' 513.042'],[' 0'],[' 27.7651'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.34574e+08'],[' 4.6144e+08'],[' 0'],[' 2.61958e+10'],[' 0'],[' 0'],[' 1509 '],[' 2760 '],[' 4002 '],[' 5175 '],[' 6441 '],[' 5 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 7175+'],[' 3593'],"[' 1014.208s (Solving', ' 962.23s 1st Model', ' 83.19s Unsat', ' 0.00s)']",[' 1009.250s'], ,[' 342377070'],"[' 11334279 (Analyzed', ' 10140875)']","[' 20512    (Average', ' 494.39 Last', ' 7491)']",[' 10602.9 '],"[' 3593     (Average Length', ' 1845.72 Splits', ' 0)']","[' 10140875 (Deleted', ' 10016382)']","[' 78       (Ratio', '   0.00%)']","[' 35643    (Ratio', '   0.35%)']","[' 10140875 (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10140875 (Average', ' 31.04 Max', ' 13403 Sum', ' 314739825)']","[' 10137524 (Average', ' 30.44 Max', ' 13403 Sum', ' 308728726 Ratio', '  98.09%)']","[' 3351     (Average', ' 1793.82 Max', ' 2293 Sum', ' 6011099 Ratio', '   1.91%)']", ,[' 349545  '],[' 19732   '],[' 316002  '],[' 134026  '],"[' 358275   (Atom=Atom', ' 95733 Body=Body', ' 64876 Other', ' 197666)']",[' Yes'],"[' 24049    (Eliminated', '    0 Frozen', ' 24049)']","[' 6028     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.87996'],[' 0'], ,[' 526.132'],[' 0'],[' 26.3126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.4888e+08'],[' 4.68103e+08'],[' 0'],[' 2.73838e+10'],[' 0'],[' 0'],[' 1565 '],[' 2979 '],[' 3915 '],[' 5188 '],[' 6271 '],[' 5 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 7429+'],[' 3720'],"[' 1014.330s (Solving', ' 964.67s 1st Model', ' 91.40s Unsat', ' 0.00s)']",[' 1011.953s'], ,[' 412617194'],"[' 7708655  (Analyzed', ' 6752879)']","[' 15033    (Average', ' 449.20 Last', ' 30930)']",[' 9532.8  '],"[' 3720     (Average Length', ' 1944.36 Splits', ' 0)']","[' 6752879  (Deleted', ' 6625170)']","[' 91       (Ratio', '   0.00%)']","[' 58103    (Ratio', '   0.86%)']","[' 6752879  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6752879  (Average', ' 57.50 Max', ' 13037 Sum', ' 388292785)']","[' 6750124  (Average', ' 56.69 Max', ' 12156 Sum', ' 382814724 Ratio', '  98.59%)']","[' 2755     (Average', ' 1988.41 Max', ' 2557 Sum', ' 5478061 Ratio', '   1.41%)']", ,[' 353621  '],[' 19813   '],[' 318657  '],[' 136154  '],"[' 359807   (Atom=Atom', ' 96184 Body=Body', ' 65119 Other', ' 198504)']",[' Yes'],"[' 24231    (Eliminated', '    0 Frozen', ' 24231)']","[' 10302    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.45657'],[' 0'], ,[' 466.238'],[' 0'],[' 29.2532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36684e+08'],[' 7.34955e+08'],[' 0'],[' 2.3872e+10'],[' 0'],[' 0'],[' 1421 '],[' 2503 '],[' 3681 '],[' 4856 '],[' 6028 '],[' 5 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 7039+'],[' 3525'],"[' 1014.428s (Solving', ' 966.06s 1st Model', ' 110.88s Unsat', ' 0.00s)']",[' 1012.484s'], ,[' 431965727'],"[' 8590326  (Analyzed', ' 7288300)']","[' 15331    (Average', ' 475.40 Last', ' 8105)']",[' 9624.8  '],"[' 3525     (Average Length', ' 1824.20 Splits', ' 0)']","[' 7288300  (Deleted', ' 7162319)']","[' 105      (Ratio', '   0.00%)']","[' 60820    (Ratio', '   0.83%)']","[' 7288300  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7288300  (Average', ' 55.95 Max', ' 13288 Sum', ' 407786952)']","[' 7285352  (Average', ' 55.19 Max', ' 12146 Sum', ' 402228227 Ratio', '  98.64%)']","[' 2948     (Average', ' 1885.59 Max', ' 2333 Sum', ' 5558725 Ratio', '   1.36%)']", ,[' 351123  '],[' 19841   '],[' 316907  '],[' 134975  '],"[' 359550   (Atom=Atom', ' 96101 Body=Body', ' 65203 Other', ' 198246)']",[' Yes'],"[' 24008    (Eliminated', '    0 Frozen', ' 24008)']","[' 10113    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.93717'],[' 0'], ,[' 467.741'],[' 0'],[' 30.1789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.30432e+08'],[' 7.30305e+08'],[' 0'],[' 2.35047e+10'],[' 0'],[' 0'],[' 1562 '],[' 2740 '],[' 3711 '],[' 4944 '],[' 5879 '],[' 5 '],[' 0 ']
