Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1181'],[' 599'],"[' 420.373s (Solving', ' 417.60s 1st Model', ' 1.31s Unsat', ' 112.11s)']",[' 419.344s'], ,[' 33856651'],"[' 21381983 (Analyzed', ' 21349709)']","[' 42580    (Average', ' 501.40 Last', ' 2040)']",[' 1844.7  '],"[' 599      (Average Length', ' 375.95 Splits', ' 0)']","[' 21349709 (Deleted', ' 21053711)']","[' 17       (Ratio', '   0.00%)']","[' 2530     (Ratio', '   0.01%)']","[' 21349709 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21349709 (Average', '  1.52 Max', ' 2317 Sum', ' 32549582)']","[' 21349222 (Average', '  1.52 Max', ' 2244 Sum', ' 32370606 Ratio', '  99.45%)']","[' 487      (Average', ' 367.51 Max', ' 518 Sum', ' 178976 Ratio', '   0.55%)']", ,[' 82137   '],[' 3014    '],[' 75995   '],[' 25728   '],"[' 67669    (Atom=Atom', ' 19789 Body=Body', ' 12057 Other', ' 35823)']",[' Yes'],"[' 4335     (Eliminated', '    0 Frozen', ' 4335)']","[' 416      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.566034'],[' 0'], ,[' 271.719'],[' 0'],[' 5.91434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.54888e+07'],[' 3.71828e+07'],[' 0'],[' 1.72148e+10'],[' 0'],[' 0'],[' 527 '],[' 1070 '],[' 1617 '],[' 2085 '],[' 2341 '],[' 2975 '],[' 3338 '],[' 3614 '],[' 4 '],[' 4 ']
Solving...,TA62, , , , ,[' 1399'],[' 708'],"[' 171.707s (Solving', ' 168.38s 1st Model', ' 2.02s Unsat', ' 7.02s)']",[' 170.953s'], ,[' 21161753'],"[' 11154861 (Analyzed', ' 11118140)']","[' 21237    (Average', ' 523.53 Last', ' 7397)']",[' 1999.8  '],"[' 708      (Average Length', ' 427.67 Splits', ' 0)']","[' 11118140 (Deleted', ' 10963010)']","[' 12       (Ratio', '   0.00%)']","[' 1956     (Ratio', '   0.02%)']","[' 11118140 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11118140 (Average', '  1.78 Max', ' 3126 Sum', ' 19805975)']","[' 11117782 (Average', '  1.77 Max', ' 2571 Sum', ' 19675162 Ratio', '  99.34%)']","[' 358      (Average', ' 365.40 Max', ' 598 Sum', ' 130813 Ratio', '   0.66%)']", ,[' 83451   '],[' 3100    '],[' 77205   '],[' 26478   '],"[' 69362    (Atom=Atom', ' 20238 Body=Body', ' 12313 Other', ' 36811)']",[' Yes'],"[' 4529     (Eliminated', '    0 Frozen', ' 4529)']","[' 181      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.68391'],[' 0'], ,[' 88.6739'],[' 0'],[' 2.5356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02559e+07'],[' 2.44218e+07'],[' 0'],[' 5.06478e+09'],[' 0'],[' 0'],[' 662 '],[' 1111 '],[' 1519 '],[' 1877 '],[' 2293 '],[' 2699 '],[' 3229 '],[' 3638 '],[' 2 '],[' 6 ']
Solving...,TA63, , , , ,[' 1155'],[' 586'],"[' 115.502s (Solving', ' 112.65s 1st Model', ' 1.52s Unsat', ' 27.40s)']",[' 115.344s'], ,[' 13139859'],"[' 8206899  (Analyzed', ' 8183627)']","[' 16876    (Average', ' 484.93 Last', ' 56762)']",[' 1994.1  '],"[' 586      (Average Length', ' 364.04 Splits', ' 0)']","[' 8183627  (Deleted', ' 8041010)']","[' 19       (Ratio', '   0.00%)']","[' 1281     (Ratio', '   0.02%)']","[' 8183627  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8183627  (Average', '  1.48 Max', ' 2507 Sum', ' 12088298)']","[' 8183203  (Average', '  1.46 Max', ' 2462 Sum', ' 11956356 Ratio', '  98.91%)']","[' 424      (Average', ' 311.18 Max', ' 489 Sum', ' 131942 Ratio', '   1.09%)']", ,[' 82165   '],[' 3010    '],[' 76075   '],[' 25679   '],"[' 67535    (Atom=Atom', ' 19760 Body=Body', ' 12045 Other', ' 35730)']",[' Yes'],"[' 4320     (Eliminated', '    0 Frozen', ' 4320)']","[' 155      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.597554'],[' 0'], ,[' 52.431'],[' 0'],[' 1.50943'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3773e+07'],[' 1.41511e+07'],[' 0'],[' 2.79094e+09'],[' 0'],[' 0'],[' 678 '],[' 1099 '],[' 1554 '],[' 1803 '],[' 2179 '],[' 2667 '],[' 3107 '],[' 3512 '],[' 1 '],[' 7 ']
Solving...,TA64, , , , ,[' 1335'],[' 676'],"[' 166.654s (Solving', ' 163.56s 1st Model', ' 1.48s Unsat', ' 3.35s)']",[' 166.063s'], ,[' 17320494'],"[' 11571969 (Analyzed', ' 11541708)']","[' 22916    (Average', ' 503.65 Last', ' 3356)']",[' 1957.4  '],"[' 676      (Average Length', ' 411.32 Splits', ' 0)']","[' 11541708 (Deleted', ' 11356367)']","[' 28       (Ratio', '   0.00%)']","[' 1187     (Ratio', '   0.01%)']","[' 11541708 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11541708 (Average', '  1.40 Max', ' 2645 Sum', ' 16118355)']","[' 11541183 (Average', '  1.38 Max', ' 2437 Sum', ' 15948430 Ratio', '  98.95%)']","[' 525      (Average', ' 323.67 Max', ' 558 Sum', ' 169925 Ratio', '   1.05%)']", ,[' 82342   '],[' 3024    '],[' 76310   '],[' 25841   '],"[' 68045    (Atom=Atom', ' 19904 Body=Body', ' 12086 Other', ' 36055)']",[' Yes'],"[' 4398     (Eliminated', '    0 Frozen', ' 4398)']","[' 170      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.643737'],[' 0'], ,[' 81.3431'],[' 0'],[' 2.24383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.43608e+07'],[' 1.7478e+07'],[' 0'],[' 4.52826e+09'],[' 0'],[' 0'],[' 718 '],[' 1244 '],[' 1545 '],[' 1946 '],[' 2223 '],[' 2557 '],[' 3076 '],[' 3379 '],[' 2 '],[' 6 ']
Solving...,TA65, , , , ,[' 1333'],[' 675'],"[' 236.360s (Solving', ' 233.36s 1st Model', ' 1.62s Unsat', ' 2.21s)']",[' 235.891s'], ,[' 13508561'],"[' 8623609  (Analyzed', ' 8540367)']","[' 18938    (Average', ' 450.96 Last', ' 1261)']",[' 1954.3  '],"[' 675      (Average Length', ' 413.91 Splits', ' 0)']","[' 8540367  (Deleted', ' 8401363)']","[' 26       (Ratio', '   0.00%)']","[' 1418     (Ratio', '   0.02%)']","[' 8540367  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8540367  (Average', '  1.45 Max', ' 2904 Sum', ' 12363425)']","[' 8539901  (Average', '  1.43 Max', ' 2497 Sum', ' 12179076 Ratio', '  98.51%)']","[' 466      (Average', ' 395.60 Max', ' 575 Sum', ' 184349 Ratio', '   1.49%)']", ,[' 82895   '],[' 3104    '],[' 76844   '],[' 26224   '],"[' 69184    (Atom=Atom', ' 20223 Body=Body', ' 12326 Other', ' 36635)']",[' Yes'],"[' 4495     (Eliminated', '    0 Frozen', ' 4495)']","[' 193      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.610377'],[' 0'], ,[' 165.742'],[' 0'],[' 3.13443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.44894e+07'],[' 1.47504e+07'],[' 0'],[' 1.05033e+10'],[' 0'],[' 0'],[' 499 '],[' 937 '],[' 1300 '],[' 1832 '],[' 2286 '],[' 2795 '],[' 3063 '],[' 3510 '],[' 3 '],[' 5 ']
Solving...,TA66, , , , ,[' 1299'],[' 658'],"[' 227.008s (Solving', ' 224.00s 1st Model', ' 1.64s Unsat', ' 65.85s)']",[' 226.672s'], ,[' 18813552'],"[' 11290433 (Analyzed', ' 11225348)']","[' 21913    (Average', ' 512.27 Last', ' 12986)']",[' 1919.8  '],"[' 658      (Average Length', ' 407.62 Splits', ' 0)']","[' 11225348 (Deleted', ' 11088321)']","[' 33       (Ratio', '   0.00%)']","[' 1709     (Ratio', '   0.02%)']","[' 11225348 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11225348 (Average', '  1.57 Max', ' 2707 Sum', ' 17663289)']","[' 11224887 (Average', '  1.56 Max', ' 2446 Sum', ' 17491159 Ratio', '  99.03%)']","[' 461      (Average', ' 373.38 Max', ' 581 Sum', ' 172130 Ratio', '   0.97%)']", ,[' 83254   '],[' 3064    '],[' 76917   '],[' 26369   '],"[' 68679    (Atom=Atom', ' 20048 Body=Body', ' 12207 Other', ' 36424)']",[' Yes'],"[' 4435     (Eliminated', '    0 Frozen', ' 4435)']","[' 217      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.61644'],[' 0'], ,[' 143.829'],[' 0'],[' 2.92113'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74188e+07'],[' 2.158e+07'],[' 0'],[' 9.26715e+09'],[' 0'],[' 0'],[' 588 '],[' 1135 '],[' 1378 '],[' 1783 '],[' 2220 '],[' 2699 '],[' 3081 '],[' 3616 '],[' 2 '],[' 6 ']
Solving...,TA67, , , , ,[' 1161'],[' 589'],"[' 370.137s (Solving', ' 367.43s 1st Model', ' 1.44s Unsat', ' 135.13s)']",[' 369.547s'], ,[' 28833778'],"[' 18319029 (Analyzed', ' 18287198)']","[' 38474    (Average', ' 475.31 Last', ' 25012)']",[' 1840.3  '],"[' 589      (Average Length', ' 375.93 Splits', ' 0)']","[' 18287198 (Deleted', ' 18033339)']","[' 16       (Ratio', '   0.00%)']","[' 2364     (Ratio', '   0.01%)']","[' 18287198 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18287198 (Average', '  1.51 Max', ' 2480 Sum', ' 27643024)']","[' 18286647 (Average', '  1.50 Max', ' 2337 Sum', ' 27448694 Ratio', '  99.30%)']","[' 551      (Average', ' 352.69 Max', ' 492 Sum', ' 194330 Ratio', '   0.70%)']", ,[' 81957   '],[' 3071    '],[' 76037   '],[' 25655   '],"[' 68501    (Atom=Atom', ' 20007 Body=Body', ' 12228 Other', ' 36266)']",[' Yes'],"[' 4384     (Eliminated', '    0 Frozen', ' 4384)']","[' 308      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.549954'],[' 0'], ,[' 240.42'],[' 0'],[' 5.98506'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53763e+07'],[' 3.30285e+07'],[' 0'],[' 1.49704e+10'],[' 0'],[' 0'],[' 683 '],[' 1192 '],[' 1664 '],[' 2090 '],[' 2497 '],[' 2896 '],[' 3312 '],[' 3631 '],[' 3 '],[' 5 ']
Solving...,TA68, , , , ,[' 1185'],[' 601'],"[' 238.666s (Solving', ' 235.86s 1st Model', ' 1.36s Unsat', ' 3.17s)']",[' 238.328s'], ,[' 19862857'],"[' 13051617 (Analyzed', ' 13040613)']","[' 26711    (Average', ' 488.21 Last', ' 202567)']",[' 1878.3  '],"[' 601      (Average Length', ' 378.89 Splits', ' 0)']","[' 13040613 (Deleted', ' 12855818)']","[' 20       (Ratio', '   0.00%)']","[' 1300     (Ratio', '   0.01%)']","[' 13040613 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13040613 (Average', '  1.44 Max', ' 2708 Sum', ' 18755441)']","[' 13040160 (Average', '  1.43 Max', ' 2434 Sum', ' 18598482 Ratio', '  99.16%)']","[' 453      (Average', ' 346.49 Max', ' 523 Sum', ' 156959 Ratio', '   0.84%)']", ,[' 82490   '],[' 3021    '],[' 76328   '],[' 25920   '],"[' 67732    (Atom=Atom', ' 19819 Body=Body', ' 12078 Other', ' 35835)']",[' Yes'],"[' 4351     (Eliminated', '    0 Frozen', ' 4351)']","[' 177      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.57481'],[' 0'], ,[' 143.986'],[' 0'],[' 3.0372'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.99897e+07'],[' 2.01879e+07'],[' 0'],[' 9.5141e+09'],[' 0'],[' 0'],[' 432 '],[' 1066 '],[' 1513 '],[' 1839 '],[' 2313 '],[' 2627 '],[' 3048 '],[' 3470 '],[' 3 '],[' 5 ']
Solving...,TA69, , , , ,[' 1209'],[' 613'],"[' 307.417s (Solving', ' 304.32s 1st Model', ' 1.56s Unsat', ' 71.33s)']",[' 306.438s'], ,[' 24658646'],"[' 16643398 (Analyzed', ' 16619801)']","[' 33613    (Average', ' 494.45 Last', ' 14211)']",[' 1957.5  '],"[' 613      (Average Length', ' 381.41 Splits', ' 0)']","[' 16619801 (Deleted', ' 16387710)']","[' 32       (Ratio', '   0.00%)']","[' 1764     (Ratio', '   0.01%)']","[' 16619801 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16619801 (Average', '  1.41 Max', ' 2474 Sum', ' 23423682)']","[' 16619337 (Average', '  1.40 Max', ' 2413 Sum', ' 23267192 Ratio', '  99.33%)']","[' 464      (Average', ' 337.26 Max', ' 498 Sum', ' 156490 Ratio', '   0.67%)']", ,[' 82431   '],[' 3023    '],[' 76315   '],[' 25852   '],"[' 67825    (Atom=Atom', ' 19839 Body=Body', ' 12084 Other', ' 35902)']",[' Yes'],"[' 4361     (Eliminated', '    0 Frozen', ' 4361)']","[' 258      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.653438'],[' 0'], ,[' 183.013'],[' 0'],[' 4.06028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51268e+07'],[' 2.60242e+07'],[' 0'],[' 1.1011e+10'],[' 0'],[' 0'],[' 622 '],[' 1214 '],[' 1626 '],[' 2146 '],[' 2449 '],[' 2754 '],[' 3196 '],[' 3691 '],[' 3 '],[' 5 ']
Solving...,TA70, , , ,[' 1'],[' 1139+'],[' 578'],"[' 330.175s (Solving', ' 327.65s 1st Model', ' 1.31s Unsat', ' 24.09s)']",[' 329.250s'], ,[' 20375014'],"[' 12778525 (Analyzed', ' 12705914)']","[' 25795    (Average', ' 492.57 Last', ' 102535)']",[' 1679.9  '],"[' 578      (Average Length', ' 362.69 Splits', ' 0)']","[' 12705914 (Deleted', ' 12544138)']","[' 18       (Ratio', '   0.00%)']","[' 2047     (Ratio', '   0.02%)']","[' 12705914 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12705914 (Average', '  1.53 Max', ' 2415 Sum', ' 19409576)']","[' 12705407 (Average', '  1.51 Max', ' 2339 Sum', ' 19199109 Ratio', '  98.92%)']","[' 507      (Average', ' 415.12 Max', ' 550 Sum', ' 210467 Ratio', '   1.08%)']", ,[' 82509   '],[' 3070    '],[' 76422   '],[' 25938   '],"[' 68451    (Atom=Atom', ' 19992 Body=Body', ' 12225 Other', ' 36234)']",[' Yes'],"[' 4376     (Eliminated', '    0 Frozen', ' 4376)']","[' 293      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.492843'],[' 0'], ,[' 238.578'],[' 0'],[' 5.6689'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.26455e+07'],[' 2.36504e+07'],[' 0'],[' 1.53619e+10'],[' 0'],[' 0'],[' 523 '],[' 962 '],[' 1398 '],[' 2092 '],[' 2445 '],[' 2954 '],[' 3184 '],[' 3775 '],[' 4 '],[' 4 ']
