Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA61,[' 2715+'],[' 1363'],"[' 1001.808s (Solving', ' 992.76s 1st Model', ' 7.63s Unsat', ' 0.00s)']",[' 998.047s'], ,[' 53867896'],"[' 19739484 (Analyzed', ' 19585743)']","[' 35998    (Average', ' 544.08 Last', ' 9383)']",[' 2820.1  '],"[' 1363     (Average Length', ' 645.13 Splits', ' 0)']","[' 19585743 (Deleted', ' 19351736)']","[' 34       (Ratio', '   0.00%)']","[' 6113     (Ratio', '   0.03%)']","[' 19585743 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19585743 (Average', '  2.58 Max', ' 3554 Sum', ' 50446694)']","[' 19585109 (Average', '  2.56 Max', ' 3554 Sum', ' 50071926 Ratio', '  99.26%)']","[' 634      (Average', ' 591.12 Max', ' 1032 Sum', ' 374768 Ratio', '   0.74%)']", ,[' 104872  '],[' 5824    '],[' 105142  '],[' 58882   '],"[' 176642   (Atom=Atom', ' 54056 Body=Body', ' 31274 Other', ' 91312)']",[' Yes'],"[' 7094     (Eliminated', '    0 Frozen', ' 7094)']","[' 1111     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2059'],[' 0'], ,[' 811.951'],[' 0'],[' 12.8621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5953e+08'],[' 1.05311e+08'],[' 0'],[' 8.33119e+10'],[' 0'],[' 0'],[' 861 '],[' 1693 '],[' 2398 '],[' 3169 '],[' 4051 '],[' 5 '],[' 0 ']
UNKNOWN,TA62,[' 2803+'],[' 1407'],"[' 928.463s (Solving', ' 918.27s 1st Model', ' 9.44s Unsat', ' 121.00s)']",[' 925.422s'], ,[' 69659633'],"[' 17228838 (Analyzed', ' 17105744)']","[' 32444    (Average', ' 527.24 Last', ' 16074)']",[' 2910.6  '],"[' 1407     (Average Length', ' 660.92 Splits', ' 0)']","[' 17105744 (Deleted', ' 16879575)']","[' 94       (Ratio', '   0.00%)']","[' 11205    (Ratio', '   0.07%)']","[' 17105744 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17105744 (Average', '  3.86 Max', ' 3450 Sum', ' 66056518)']","[' 17105117 (Average', '  3.84 Max', ' 3450 Sum', ' 65708647 Ratio', '  99.47%)']","[' 627      (Average', ' 554.82 Max', ' 945 Sum', ' 347871 Ratio', '   0.53%)']", ,[' 106394  '],[' 5950    '],[' 106682  '],[' 60456   '],"[' 181364   (Atom=Atom', ' 55504 Body=Body', ' 31400 Other', ' 94460)']",[' Yes'],"[' 7238     (Eliminated', '    0 Frozen', ' 7238)']","[' 1877     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.40839'],[' 0'], ,[' 746.97'],[' 0'],[' 13.144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13233e+08'],[' 1.55466e+08'],[' 0'],[' 7.68205e+10'],[' 0'],[' 0'],[' 865 '],[' 1826 '],[' 2428 '],[' 3180 '],[' 3955 '],[' 4 '],[' 1 ']
UNKNOWN,TA63,[' 2347+'],[' 1179'],"[' 1001.749s (Solving', ' 993.87s 1st Model', ' 7.83s Unsat', ' 0.00s)']",[' 998.406s'], ,[' 62063443'],"[' 22755930 (Analyzed', ' 22586895)']","[' 39634    (Average', ' 569.89 Last', ' 6736)']",[' 2884.7  '],"[' 1179     (Average Length', ' 555.41 Splits', ' 0)']","[' 22586895 (Deleted', ' 22333959)']","[' 19       (Ratio', '   0.00%)']","[' 5931     (Ratio', '   0.03%)']","[' 22586895 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22586895 (Average', '  2.60 Max', ' 3740 Sum', ' 58621808)']","[' 22586249 (Average', '  2.58 Max', ' 3740 Sum', ' 58341594 Ratio', '  99.52%)']","[' 646      (Average', ' 433.77 Max', ' 824 Sum', ' 280214 Ratio', '   0.48%)']", ,[' 105040  '],[' 5931    '],[' 105138  '],[' 59231   '],"[' 177689   (Atom=Atom', ' 54298 Body=Body', ' 31381 Other', ' 92010)']",[' Yes'],"[' 7029     (Eliminated', '    0 Frozen', ' 7029)']","[' 952      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86068'],[' 0'], ,[' 813.045'],[' 0'],[' 13.2691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68677e+08'],[' 1.09376e+08'],[' 0'],[' 9.12721e+10'],[' 0'],[' 0'],[' 913 '],[' 1675 '],[' 2336 '],[' 3327 '],[' 4295 '],[' 5 '],[' 0 ']
Solving...,TA64, ,[' 2649'],[' 1330'],"[' 823.843s (Solving', ' 814.72s 1st Model', ' 7.55s Unsat', ' 9.41s)']",[' 821.328s'], ,[' 52745330'],"[' 18160269 (Analyzed', ' 17988344)']","[' 32270    (Average', ' 557.43 Last', ' 92567)']",[' 2940.3  '],"[' 1330     (Average Length', ' 631.36 Splits', ' 0)']","[' 17988344 (Deleted', ' 17778492)']","[' 43       (Ratio', '   0.00%)']","[' 6322     (Ratio', '   0.04%)']","[' 17988344 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17988344 (Average', '  2.74 Max', ' 3378 Sum', ' 49307567)']","[' 17987546 (Average', '  2.72 Max', ' 3378 Sum', ' 48869945 Ratio', '  99.11%)']","[' 798      (Average', ' 548.40 Max', ' 878 Sum', ' 437622 Ratio', '   0.89%)']", ,[' 105189  '],[' 5890    '],[' 105426  '],[' 59153   '],"[' 177455   (Atom=Atom', ' 54261 Body=Body', ' 31340 Other', ' 91854)']",[' Yes'],"[' 7127     (Eliminated', '    0 Frozen', ' 7127)']","[' 1302     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15171'],[' 0'], ,[' 662.792'],[' 0'],[' 11.7178'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56293e+08'],[' 1.04202e+08'],[' 0'],[' 6.92084e+10'],[' 0'],[' 0'],[' 874 '],[' 1636 '],[' 2356 '],[' 3350 '],[' 3929 '],[' 4 '],[' 1 ']
UNKNOWN,TA65,[' 2539+'],[' 1275'],"[' 1001.538s (Solving', ' 993.51s 1st Model', ' 6.74s Unsat', ' 0.00s)']",[' 998.828s'], ,[' 52013181'],"[' 20159278 (Analyzed', ' 19995237)']","[' 37372    (Average', ' 535.03 Last', ' 123396)']",[' 2843.5  '],"[' 1275     (Average Length', ' 609.03 Splits', ' 0)']","[' 19995237 (Deleted', ' 19711744)']","[' 22       (Ratio', '   0.00%)']","[' 5540     (Ratio', '   0.03%)']","[' 19995237 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19995237 (Average', '  2.44 Max', ' 3545 Sum', ' 48843408)']","[' 19994458 (Average', '  2.42 Max', ' 3545 Sum', ' 48367354 Ratio', '  99.03%)']","[' 779      (Average', ' 611.11 Max', ' 920 Sum', ' 476054 Ratio', '   0.97%)']", ,[' 104945  '],[' 5804    '],[' 105140  '],[' 58698   '],"[' 176090   (Atom=Atom', ' 53892 Body=Body', ' 31254 Other', ' 90944)']",[' Yes'],"[' 6999     (Eliminated', '    0 Frozen', ' 6999)']","[' 793      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.94642'],[' 0'], ,[' 828.175'],[' 0'],[' 14.0307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54266e+08'],[' 1.03854e+08'],[' 0'],[' 9.35366e+10'],[' 0'],[' 0'],[' 734 '],[' 1411 '],[' 2298 '],[' 3104 '],[' 3805 '],[' 5 '],[' 0 ']
UNKNOWN,TA66,[' 2831+'],[' 1421'],"[' 1001.339s (Solving', ' 993.56s 1st Model', ' 6.30s Unsat', ' 0.00s)']",[' 999.797s'], ,[' 70401856'],"[' 22614955 (Analyzed', ' 22484892)']","[' 40795    (Average', ' 551.17 Last', ' 58798)']",[' 2810.5  '],"[' 1421     (Average Length', ' 668.83 Splits', ' 0)']","[' 22484892 (Deleted', ' 22224430)']","[' 57       (Ratio', '   0.00%)']","[' 8627     (Ratio', '   0.04%)']","[' 22484892 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22484892 (Average', '  2.98 Max', ' 3374 Sum', ' 66911874)']","[' 22484163 (Average', '  2.96 Max', ' 3374 Sum', ' 66448491 Ratio', '  99.31%)']","[' 729      (Average', ' 635.64 Max', ' 1052 Sum', ' 463383 Ratio', '   0.69%)']", ,[' 106044  '],[' 5962    '],[' 106356  '],[' 59744   '],"[' 179228   (Atom=Atom', ' 54780 Body=Body', ' 31412 Other', ' 93036)']",[' Yes'],"[' 7274     (Eliminated', '    0 Frozen', ' 7274)']","[' 1625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91494'],[' 0'], ,[' 835.715'],[' 0'],[' 13.7952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07632e+08'],[' 1.42815e+08'],[' 0'],[' 1.08022e+11'],[' 0'],[' 0'],[' 822 '],[' 1604 '],[' 2434 '],[' 3127 '],[' 4077 '],[' 5 '],[' 0 ']
UNKNOWN,TA67,[' 2563+'],[' 1287'],"[' 1001.344s (Solving', ' 994.12s 1st Model', ' 5.64s Unsat', ' 0.00s)']",[' 1000.172s'], ,[' 63375634'],"[' 22394253 (Analyzed', ' 22252687)']","[' 38623    (Average', ' 576.15 Last', ' 150466)']",[' 2878.0  '],"[' 1287     (Average Length', ' 607.89 Splits', ' 0)']","[' 22252687 (Deleted', ' 21996842)']","[' 30       (Ratio', '   0.00%)']","[' 6033     (Ratio', '   0.03%)']","[' 22252687 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22252687 (Average', '  2.69 Max', ' 3598 Sum', ' 59950387)']","[' 22251957 (Average', '  2.68 Max', ' 3598 Sum', ' 59547911 Ratio', '  99.33%)']","[' 730      (Average', ' 551.34 Max', ' 908 Sum', ' 402476 Ratio', '   0.67%)']", ,[' 105167  '],[' 5882    '],[' 105352  '],[' 59172   '],"[' 177512   (Atom=Atom', ' 54288 Body=Body', ' 31332 Other', ' 91892)']",[' Yes'],"[' 7067     (Eliminated', '    0 Frozen', ' 7067)']","[' 1152     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.74581'],[' 0'], ,[' 849.83'],[' 0'],[' 13.1406'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73869e+08'],[' 1.10649e+08'],[' 0'],[' 1.11343e+11'],[' 0'],[' 0'],[' 1014 '],[' 1839 '],[' 2607 '],[' 3388 '],[' 4115 '],[' 5 '],[' 0 ']
UNKNOWN,TA68,[' 2949+'],[' 1480'],"[' 1001.455s (Solving', ' 993.06s 1st Model', ' 6.82s Unsat', ' 0.00s)']",[' 1000.594s'], ,[' 71682885'],"[' 30461382 (Analyzed', ' 30297309)']","[' 56551    (Average', ' 535.75 Last', ' 245352)']",[' 2979.4  '],"[' 1480     (Average Length', ' 704.06 Splits', ' 0)']","[' 30297309 (Deleted', ' 29882670)']","[' 33       (Ratio', '   0.00%)']","[' 5960     (Ratio', '   0.02%)']","[' 30297309 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30297309 (Average', '  2.23 Max', ' 3568 Sum', ' 67694654)']","[' 30296531 (Average', '  2.22 Max', ' 3568 Sum', ' 67249600 Ratio', '  99.34%)']","[' 778      (Average', ' 572.05 Max', ' 1066 Sum', ' 445054 Ratio', '   0.66%)']", ,[' 104672  '],[' 5804    '],[' 105047  '],[' 58205   '],"[' 174611   (Atom=Atom', ' 53399 Body=Body', ' 31254 Other', ' 89958)']",[' Yes'],"[' 7179     (Eliminated', '    0 Frozen', ' 7179)']","[' 734      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.997'],[' 0'], ,[' 800.776'],[' 0'],[' 12.3816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15844e+08'],[' 1.38668e+08'],[' 0'],[' 1.01553e+11'],[' 0'],[' 0'],[' 809 '],[' 1553 '],[' 2314 '],[' 3141 '],[' 3855 '],[' 5 '],[' 0 ']
UNKNOWN,TA69,[' 2655+'],[' 1333'],"[' 1001.585s (Solving', ' 994.00s 1st Model', ' 6.47s Unsat', ' 0.00s)']",[' 1000.250s'], ,[' 58824237'],"[' 24359390 (Analyzed', ' 24186825)']","[' 43357    (Average', ' 557.85 Last', ' 34334)']",[' 2898.3  '],"[' 1333     (Average Length', ' 626.97 Splits', ' 0)']","[' 24186825 (Deleted', ' 23866480)']","[' 20       (Ratio', '   0.00%)']","[' 5060     (Ratio', '   0.02%)']","[' 24186825 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24186825 (Average', '  2.28 Max', ' 3619 Sum', ' 55214865)']","[' 24186151 (Average', '  2.27 Max', ' 3619 Sum', ' 54836069 Ratio', '  99.31%)']","[' 674      (Average', ' 562.01 Max', ' 965 Sum', ' 378796 Ratio', '   0.69%)']", ,[' 105229  '],[' 5814    '],[' 105460  '],[' 58842   '],"[' 176522   (Atom=Atom', ' 54026 Body=Body', ' 31264 Other', ' 91232)']",[' Yes'],"[' 7045     (Eliminated', '    0 Frozen', ' 7045)']","[' 905      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78223'],[' 0'], ,[' 842.589'],[' 0'],[' 13.8856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70229e+08'],[' 1.06851e+08'],[' 0'],[' 1.08125e+11'],[' 0'],[' 0'],[' 905 '],[' 1666 '],[' 2437 '],[' 3127 '],[' 3937 '],[' 5 '],[' 0 ']
UNKNOWN,TA70,[' 2455+'],[' 1233'],"[' 1001.586s (Solving', ' 994.19s 1st Model', ' 7.90s Unsat', ' 0.00s)']",[' 1000.344s'], ,[' 74694765'],"[' 22096142 (Analyzed', ' 21987504)']","[' 38630    (Average', ' 569.18 Last', ' 8794)']",[' 2858.6  '],"[' 1233     (Average Length', ' 597.79 Splits', ' 0)']","[' 21987504 (Deleted', ' 21725331)']","[' 54       (Ratio', '   0.00%)']","[' 9005     (Ratio', '   0.04%)']","[' 21987504 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21987504 (Average', '  3.25 Max', ' 3494 Sum', ' 71381675)']","[' 21986829 (Average', '  3.23 Max', ' 3494 Sum', ' 71010265 Ratio', '  99.48%)']","[' 675      (Average', ' 550.24 Max', ' 894 Sum', ' 371410 Ratio', '   0.52%)']", ,[' 105536  '],[' 5905    '],[' 105711  '],[' 59335   '],"[' 178001   (Atom=Atom', ' 54428 Body=Body', ' 31355 Other', ' 92218)']",[' Yes'],"[' 7080     (Eliminated', '    0 Frozen', ' 7080)']","[' 1441     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.72602'],[' 0'], ,[' 839.682'],[' 0'],[' 14.5892'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27306e+08'],[' 1.58719e+08'],[' 0'],[' 1.08737e+11'],[' 0'],[' 0'],[' 791 '],[' 1618 '],[' 2428 '],[' 3195 '],[' 4044 '],[' 5 '],[' 0 ']
