Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 6751+'],[' 3378'],"[' 1007.783s (Solving', ' 976.24s 1st Model', ' 749.68s Unsat', ' 0.00s)']",[' 998.484s'], ,[' 448214084'],"[' 5214779  (Analyzed', ' 1739937)']","[' 7601     (Average', ' 228.91 Last', ' 140719)']",[' 8917.2  '],"[' 3378     (Average Length', ' 1648.17 Splits', ' 0)']","[' 1739937  (Deleted', ' 1672380)']","[' 301      (Ratio', '   0.02%)']","[' 58143    (Ratio', '   3.34%)']","[' 1739937  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1739937  (Average', ' 241.68 Max', ' 9758 Sum', ' 420500834)']","[' 1739304  (Average', ' 241.11 Max', ' 8344 Sum', ' 419508923 Ratio', '  99.76%)']","[' 633      (Average', ' 1567.00 Max', ' 1567 Sum', ' 991911 Ratio', '   0.24%)']", ,[' 147482  '],[' 12096   '],[' 144620  '],[' 66876   '],"[' 241012   (Atom=Atom', ' 68681 Body=Body', ' 38828 Other', ' 133503)']",[' Yes'],"[' 15281    (Eliminated', '    0 Frozen', ' 15281)']","[' 6450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.72071'],[' 0'], ,[' 351.749'],[' 0'],[' 30.9514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30145e+09'],[' 1.16239e+09'],[' 0'],[' 1.077e+10'],[' 0'],[' 0'],[' 1877 '],[' 3519 '],[' 2 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 7213+'],[' 3609'],"[' 1007.778s (Solving', ' 976.86s 1st Model', ' 808.01s Unsat', ' 0.00s)']",[' 987.531s'], ,[' 418251010'],"[' 5104735  (Analyzed', ' 1389091)']","[' 6648     (Average', ' 208.95 Last', ' 105573)']",[' 8775.4  '],"[' 3609     (Average Length', ' 1764.72 Splits', ' 0)']","[' 1389091  (Deleted', ' 1324764)']","[' 254      (Ratio', '   0.02%)']","[' 58145    (Ratio', '   4.19%)']","[' 1389091  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1389091  (Average', ' 280.83 Max', ' 9744 Sum', ' 390101474)']","[' 1388424  (Average', ' 279.89 Max', ' 8788 Sum', ' 388794154 Ratio', '  99.66%)']","[' 667      (Average', ' 1960.00 Max', ' 1960 Sum', ' 1307320 Ratio', '   0.34%)']", ,[' 148142  '],[' 12162   '],[' 145431  '],[' 67437   '],"[' 242629   (Atom=Atom', ' 69110 Body=Body', ' 39026 Other', ' 134493)']",[' Yes'],"[' 15531    (Eliminated', '    0 Frozen', ' 15531)']","[' 6308     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.60016'],[' 0'], ,[' 350.586'],[' 0'],[' 30.2185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18177e+09'],[' 1.06315e+09'],[' 0'],[' 1.02668e+10'],[' 0'],[' 0'],[' 1881 '],[' 3517 '],[' 2 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 6669+'],[' 3337'],"[' 1007.279s (Solving', ' 978.75s 1st Model', ' 762.88s Unsat', ' 0.00s)']",[' 1002.313s'], ,[' 464991926'],"[' 5075330  (Analyzed', ' 1835967)']","[' 7620     (Average', ' 240.94 Last', ' 98308)']",[' 8625.8  '],"[' 3337     (Average Length', ' 1628.74 Splits', ' 0)']","[' 1835967  (Deleted', ' 1764279)']","[' 337      (Ratio', '   0.02%)']","[' 61589    (Ratio', '   3.35%)']","[' 1835967  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1835967  (Average', ' 239.10 Max', ' 8891 Sum', ' 438987198)']","[' 1835321  (Average', ' 238.48 Max', ' 7925 Sum', ' 437834734 Ratio', '  99.74%)']","[' 646      (Average', ' 1784.00 Max', ' 1784 Sum', ' 1152464 Ratio', '   0.26%)']", ,[' 147428  '],[' 12094   '],[' 144500  '],[' 66825   '],"[' 240861   (Atom=Atom', ' 68634 Body=Body', ' 38822 Other', ' 133405)']",[' Yes'],"[' 15212    (Eliminated', '    0 Frozen', ' 15212)']","[' 6829     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.07183'],[' 0'], ,[' 350.731'],[' 0'],[' 30.9492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40326e+09'],[' 1.25768e+09'],[' 0'],[' 1.11366e+10'],[' 0'],[' 0'],[' 1803 '],[' 3358 '],[' 2 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 6417+'],[' 3211'],"[' 1006.872s (Solving', ' 979.34s 1st Model', ' 746.44s Unsat', ' 0.00s)']",[' 999.375s'], ,[' 467146024'],"[' 4782745  (Analyzed', ' 1856063)']","[' 7786     (Average', ' 238.38 Last', ' 141323)']",[' 8473.5  '],"[' 3211     (Average Length', ' 1570.48 Splits', ' 0)']","[' 1856063  (Deleted', ' 1783859)']","[' 322      (Ratio', '   0.02%)']","[' 60729    (Ratio', '   3.27%)']","[' 1856063  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1856063  (Average', ' 238.45 Max', ' 9338 Sum', ' 442582152)']","[' 1855460  (Average', ' 237.91 Max', ' 8768 Sum', ' 441582378 Ratio', '  99.77%)']","[' 603      (Average', ' 1658.00 Max', ' 1658 Sum', ' 999774 Ratio', '   0.23%)']", ,[' 147341  '],[' 12100   '],[' 144330  '],[' 66729   '],"[' 240567   (Atom=Atom', ' 68526 Body=Body', ' 38840 Other', ' 133201)']",[' Yes'],"[' 15138    (Eliminated', '    0 Frozen', ' 15138)']","[' 6853     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.82778'],[' 0'], ,[' 346.703'],[' 0'],[' 31.0136'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41506e+09'],[' 1.26909e+09'],[' 0'],[' 1.04919e+10'],[' 0'],[' 0'],[' 1809 '],[' 3242 '],[' 2 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 6447+'],[' 3226'],"[' 1007.772s (Solving', ' 977.87s 1st Model', ' 814.19s Unsat', ' 0.00s)']",[' 999.172s'], ,[' 455340066'],"[' 4521867  (Analyzed', ' 1698006)']","[' 7253     (Average', ' 234.11 Last', ' 163800)']",[' 8531.3  '],"[' 3226     (Average Length', ' 1586.31 Splits', ' 0)']","[' 1698006  (Deleted', ' 1625766)']","[' 290      (Ratio', '   0.02%)']","[' 61618    (Ratio', '   3.63%)']","[' 1698006  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1698006  (Average', ' 253.63 Max', ' 9537 Sum', ' 430666563)']","[' 1697382  (Average', ' 253.01 Max', ' 8108 Sum', ' 429608259 Ratio', '  99.75%)']","[' 624      (Average', ' 1696.00 Max', ' 1696 Sum', ' 1058304 Ratio', '   0.25%)']", ,[' 147421  '],[' 12110   '],[' 144426  '],[' 66794   '],"[' 240752   (Atom=Atom', ' 68571 Body=Body', ' 38870 Other', ' 133311)']",[' Yes'],"[' 15169    (Eliminated', '    0 Frozen', ' 15169)']","[' 6540     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.35545'],[' 0'], ,[' 341.175'],[' 0'],[' 31.0208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38275e+09'],[' 1.24423e+09'],[' 0'],[' 1.0411e+10'],[' 0'],[' 0'],[' 1747 '],[' 3366 '],[' 2 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 6887+'],[' 3446'],"[' 1007.636s (Solving', ' 976.56s 1st Model', ' 803.09s Unsat', ' 0.00s)']",[' 999.766s'], ,[' 455810958'],"[' 5189684  (Analyzed', ' 1742788)']","[' 7454     (Average', ' 233.81 Last', ' 287078)']",[' 8819.9  '],"[' 3446     (Average Length', ' 1687.67 Splits', ' 0)']","[' 1742788  (Deleted', ' 1671627)']","[' 283      (Ratio', '   0.02%)']","[' 59719    (Ratio', '   3.43%)']","[' 1742788  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1742788  (Average', ' 245.71 Max', ' 9135 Sum', ' 428221558)']","[' 1742217  (Average', ' 245.18 Max', ' 7769 Sum', ' 427305103 Ratio', '  99.79%)']","[' 571      (Average', ' 1605.00 Max', ' 1605 Sum', ' 916455 Ratio', '   0.21%)']", ,[' 147927  '],[' 12154   '],[' 145098  '],[' 67234   '],"[' 242028   (Atom=Atom', ' 68923 Body=Body', ' 39002 Other', ' 134103)']",[' Yes'],"[' 15401    (Eliminated', '    0 Frozen', ' 15401)']","[' 6342     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.55119'],[' 0'], ,[' 343.319'],[' 0'],[' 30.0915'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3638e+09'],[' 1.22074e+09'],[' 0'],[' 1.0866e+10'],[' 0'],[' 0'],[' 1782 '],[' 3395 '],[' 2 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 3891+'],[' 1947'],"[' 60252.206s (Solving', ' 60216.77s 1st Model', ' 60116.59s Unsat', ' 0.00s)']",[' 505.281s'], ,[' 210693982'],"[' 1017516  (Analyzed', ' 793261)']","[' 3416     (Average', ' 232.22 Last', ' 95044)']",[' 11093.2 '],"[' 1947     (Average Length', ' 966.30 Splits', ' 0)']","[' 793261   (Deleted', ' 762691)']","[' 146      (Ratio', '   0.02%)']","[' 24947    (Ratio', '   3.14%)']","[' 793261   (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 793261   (Average', ' 240.55 Max', ' 10649 Sum', ' 190822701)']","[' 791898   (Average', ' 240.31 Max', ' 10649 Sum', ' 190627792 Ratio', '  99.90%)']","[' 1363     (Average', ' 143.00 Max', ' 143 Sum', ' 194909 Ratio', '   0.10%)']", ,[' 146091  '],[' 12102   '],[' 141978  '],[' 65476   '],"[' 236806   (Atom=Atom', ' 67269 Body=Body', ' 38846 Other', ' 130691)']",[' Yes'],"[' 14039    (Eliminated', '    0 Frozen', ' 14039)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51792'],[' 0'], ,[' 59903.7'],[' 0'],[' 15.8182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20505e+08'],[' 4.63548e+08'],[' 0'],[' 4.76894e+09'],[' 0'],[' 0'],[' 11901 '],[' 3719 '],[' 2 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 6851+'],[' 3428'],"[' 1007.430s (Solving', ' 977.12s 1st Model', ' 737.27s Unsat', ' 0.00s)']",[' 995.188s'], ,[' 443603473'],"[' 5054046  (Analyzed', ' 1664533)']","[' 7349     (Average', ' 226.50 Last', ' 192535)']",[' 8777.2  '],"[' 3428     (Average Length', ' 1668.53 Splits', ' 0)']","[' 1664533  (Deleted', ' 1600670)']","[' 273      (Ratio', '   0.02%)']","[' 57418    (Ratio', '   3.45%)']","[' 1664533  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1664533  (Average', ' 250.16 Max', ' 8819 Sum', ' 416399019)']","[' 1663895  (Average', ' 249.52 Max', ' 8157 Sum', ' 415330369 Ratio', '  99.74%)']","[' 638      (Average', ' 1675.00 Max', ' 1675 Sum', ' 1068650 Ratio', '   0.26%)']", ,[' 147441  '],[' 12082   '],[' 144641  '],[' 66856   '],"[' 240966   (Atom=Atom', ' 68689 Body=Body', ' 38786 Other', ' 133491)']",[' Yes'],"[' 15322    (Eliminated', '    0 Frozen', ' 15322)']","[' 6365     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.4633'],[' 0'], ,[' 347.449'],[' 0'],[' 30.7204'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3093e+09'],[' 1.17183e+09'],[' 0'],[' 1.08484e+10'],[' 0'],[' 0'],[' 1820 '],[' 3343 '],[' 2 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 6935+'],[' 3470'],"[' 1007.610s (Solving', ' 976.94s 1st Model', ' 811.73s Unsat', ' 0.00s)']",[' 1000.469s'], ,[' 445027582'],"[' 4854990  (Analyzed', ' 1620271)']","[' 7279     (Average', ' 222.60 Last', ' 217319)']",[' 8764.6  '],"[' 3470     (Average Length', ' 1688.53 Splits', ' 0)']","[' 1620271  (Deleted', ' 1550410)']","[' 323      (Ratio', '   0.02%)']","[' 62617    (Ratio', '   3.86%)']","[' 1620271  (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1620271  (Average', ' 257.82 Max', ' 9703 Sum', ' 417733954)']","[' 1619628  (Average', ' 257.15 Max', ' 8031 Sum', ' 416658858 Ratio', '  99.74%)']","[' 643      (Average', ' 1672.00 Max', ' 1672 Sum', ' 1075096 Ratio', '   0.26%)']", ,[' 147873  '],[' 12142   '],[' 145088  '],[' 67198   '],"[' 241932   (Atom=Atom', ' 68911 Body=Body', ' 38966 Other', ' 134055)']",[' Yes'],"[' 15427    (Eliminated', '    0 Frozen', ' 15427)']","[' 7068     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.56172'],[' 0'], ,[' 339.612'],[' 0'],[' 30.8194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31087e+09'],[' 1.18122e+09'],[' 0'],[' 1.04846e+10'],[' 0'],[' 0'],[' 1949 '],[' 3641 '],[' 2 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 6801+'],[' 3403'],"[' 1007.907s (Solving', ' 976.56s 1st Model', ' 810.13s Unsat', ' 0.00s)']",[' 998.875s'], ,[' 449685295'],"[' 4760722  (Analyzed', ' 1780435)']","[' 7589     (Average', ' 234.61 Last', ' 137634)']",[' 8751.7  '],"[' 3403     (Average Length', ' 1658.89 Splits', ' 0)']","[' 1780435  (Deleted', ' 1708880)']","[' 350      (Ratio', '   0.02%)']","[' 61184    (Ratio', '   3.44%)']","[' 1780435  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1780435  (Average', ' 237.57 Max', ' 9655 Sum', ' 422975679)']","[' 1779870  (Average', ' 237.05 Max', ' 8336 Sum', ' 422055859 Ratio', '  99.78%)']","[' 565      (Average', ' 1628.00 Max', ' 1628 Sum', ' 919820 Ratio', '   0.22%)']", ,[' 147975  '],[' 12168   '],[' 145094  '],[' 67261   '],"[' 242095   (Atom=Atom', ' 68922 Body=Body', ' 39044 Other', ' 134129)']",[' Yes'],"[' 15370    (Eliminated', '    0 Frozen', ' 15370)']","[' 6385     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.66026'],[' 0'], ,[' 341.316'],[' 0'],[' 30.7843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35903e+09'],[' 1.22106e+09'],[' 0'],[' 1.05102e+10'],[' 0'],[' 0'],[' 1945 '],[' 3663 '],[' 2 '],[' 0 ']
