Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Total Completion Time
,TA51,[' 4419+'],[' 2212'],"[' 1804.112s (Solving', ' 1785.24s 1st Model', ' 1073.14s Unsat', ' 0.00s)']",[' 1796.531s'], ,[' 506678196'],"[' 5055851  (Analyzed', ' 4195636)']","[' 11159    (Average', ' 375.99 Last', ' 436064)']",[' 6072.9  '],"[' 2212     (Average Length', ' 1082.19 Splits', ' 0)']","[' 4195636  (Deleted', ' 4097734)']","[' 555      (Ratio', '   0.01%)']","[' 75181    (Ratio', '   1.79%)']","[' 4195636  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4195636  (Average', ' 117.94 Max', ' 6803 Sum', ' 494825624)']","[' 4195136  (Average', ' 117.80 Max', ' 5639 Sum', ' 494243624 Ratio', '  99.88%)']","[' 500      (Average', ' 1164.00 Max', ' 1164 Sum', ' 582000 Ratio', '   0.12%)']", ,[' 95376   '],[' 10062   '],[' 96723   '],[' 59283   '],"[' 177845   (Atom=Atom', ' 49969 Body=Body', ' 29137 Other', ' 98739)']",[' Yes'],"[' 12159    (Eliminated', '    0 Frozen', ' 12159)']","[' 8267     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.58629'],[' 0'], ,[' 786.798'],[' 0'],[' 42.7271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25343e+09'],[' 2.04974e+09'],[' 0'],[' 3.51604e+10'],[' 0'],[' 0'],[' 3422']
,TA52,[' 3809+'],[' 1907'],"[' 1804.007s (Solving', ' 1786.61s 1st Model', ' 96.08s Unsat', ' 0.00s)']",[' 1797.172s'], ,[' 542279418'],"[' 7384732  (Analyzed', ' 6015221)']","[' 11999    (Average', ' 501.31 Last', ' 120213)']",[' 6228.7  '],"[' 1907     (Average Length', ' 939.14 Splits', ' 0)']","[' 6015221  (Deleted', ' 5898756)']","[' 596      (Ratio', '   0.01%)']","[' 76792    (Ratio', '   1.28%)']","[' 6015221  (Average Length', '   28.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6015221  (Average', ' 88.22 Max', ' 6426 Sum', ' 530674175)']","[' 6014704  (Average', ' 88.14 Max', ' 5511 Sum', ' 530201120 Ratio', '  99.91%)']","[' 517      (Average', ' 915.00 Max', ' 915 Sum', ' 473055 Ratio', '   0.09%)']", ,[' 95257   '],[' 10124   '],[' 96346   '],[' 59226   '],"[' 177674   (Atom=Atom', ' 49850 Body=Body', ' 29199 Other', ' 98625)']",[' Yes'],"[' 11963    (Eliminated', '    0 Frozen', ' 11963)']","[' 8202     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.38347'],[' 0'], ,[' 803.102'],[' 0'],[' 44.1789'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20863e+09'],[' 1.99481e+09'],[' 0'],[' 3.69605e+10'],[' 0'],[' 0'],[' 3750']
,TA53,[' 4483+'],[' 2244'],"[' 1804.089s (Solving', ' 1786.14s 1st Model', ' 838.05s Unsat', ' 0.00s)']",[' 1797.375s'], ,[' 586525751'],"[' 5842602  (Analyzed', ' 4737631)']","[' 11785    (Average', ' 402.01 Last', ' 949501)']",[' 6046.0  '],"[' 2244     (Average Length', ' 1107.83 Splits', ' 0)']","[' 4737631  (Deleted', ' 4648382)']","[' 578      (Ratio', '   0.01%)']","[' 72793    (Ratio', '   1.54%)']","[' 4737631  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4737631  (Average', ' 121.23 Max', ' 6710 Sum', ' 574323102)']","[' 4737139  (Average', ' 121.10 Max', ' 5506 Sum', ' 573730734 Ratio', '  99.90%)']","[' 492      (Average', ' 1204.00 Max', ' 1204 Sum', ' 592368 Ratio', '   0.10%)']", ,[' 94862   '],[' 9880    '],[' 96262   '],[' 58587   '],"[' 175757   (Atom=Atom', ' 49455 Body=Body', ' 28955 Other', ' 97347)']",[' Yes'],"[' 12030    (Eliminated', '    0 Frozen', ' 12030)']","[' 7874     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29256'],[' 0'], ,[' 757.207'],[' 0'],[' 44.0596'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74526e+09'],[' 2.49261e+09'],[' 0'],[' 3.60791e+10'],[' 0'],[' 0'],[' 3256']
,TA54,[' 4755+'],[' 2380'],"[' 1804.216s (Solving', ' 1784.27s 1st Model', ' 628.06s Unsat', ' 0.00s)']",[' 1795.891s'], ,[' 557478427'],"[' 5822376  (Analyzed', ' 4845166)']","[' 11888    (Average', ' 407.57 Last', ' 209401)']",[' 6206.8  '],"[' 2380     (Average Length', ' 1159.74 Splits', ' 0)']","[' 4845166  (Deleted', ' 4742727)']","[' 538      (Ratio', '   0.01%)']","[' 76909    (Ratio', '   1.59%)']","[' 4845166  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4845166  (Average', ' 112.36 Max', ' 6601 Sum', ' 544389107)']","[' 4844678  (Average', ' 112.24 Max', ' 5417 Sum', ' 543811315 Ratio', '  99.89%)']","[' 488      (Average', ' 1184.00 Max', ' 1184 Sum', ' 577792 Ratio', '   0.11%)']", ,[' 95394   '],[' 10012   '],[' 96898   '],[' 59251   '],"[' 177749   (Atom=Atom', ' 49987 Body=Body', ' 29087 Other', ' 98675)']",[' Yes'],"[' 12266    (Eliminated', '    0 Frozen', ' 12266)']","[' 8827     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.63395'],[' 0'], ,[' 801.591'],[' 0'],[' 42.6773'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51956e+09'],[' 2.29898e+09'],[' 0'],[' 4.04312e+10'],[' 0'],[' 0'],[' 3489']
,TA55,[' 4181+'],[' 2093'],"[' 1803.574s (Solving', ' 1787.93s 1st Model', ' 425.95s Unsat', ' 0.00s)']",[' 1797.656s'], ,[' 591794376'],"[' 6949454  (Analyzed', ' 5962720)']","[' 13045    (Average', ' 457.09 Last', ' 285225)']",[' 6112.6  '],"[' 2093     (Average Length', ' 1029.90 Splits', ' 0)']","[' 5962720  (Deleted', ' 5856858)']","[' 712      (Ratio', '   0.01%)']","[' 78503    (Ratio', '   1.32%)']","[' 5962720  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5962720  (Average', ' 97.28 Max', ' 6653 Sum', ' 580059701)']","[' 5962215  (Average', ' 97.19 Max', ' 5558 Sum', ' 579506726 Ratio', '  99.90%)']","[' 505      (Average', ' 1095.00 Max', ' 1095 Sum', ' 552975 Ratio', '   0.10%)']", ,[' 95149   '],[' 10026   '],[' 96393   '],[' 59020   '],"[' 177056   (Atom=Atom', ' 49742 Body=Body', ' 29101 Other', ' 98213)']",[' Yes'],"[' 12020    (Eliminated', '    0 Frozen', ' 12020)']","[' 8448     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.97207'],[' 0'], ,[' 779.015'],[' 0'],[' 43.3247'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73112e+09'],[' 2.472e+09'],[' 0'],[' 4.22323e+10'],[' 0'],[' 0'],[' 3439']
,TA56,[' 4499+'],[' 2252'],"[' 1803.890s (Solving', ' 1786.59s 1st Model', ' 726.06s Unsat', ' 0.00s)']",[' 1796.359s'], ,[' 605076763'],"[' 9689101  (Analyzed', ' 8554541)']","[' 17274    (Average', ' 495.23 Last', ' 210738)']",[' 6123.3  '],"[' 2252     (Average Length', ' 1107.67 Splits', ' 0)']","[' 8554541  (Deleted', ' 8432301)']","[' 680      (Ratio', '   0.01%)']","[' 74320    (Ratio', '   0.87%)']","[' 8554541  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8554541  (Average', ' 69.24 Max', ' 6686 Sum', ' 592289296)']","[' 8554071  (Average', ' 69.18 Max', ' 6148 Sum', ' 591778876 Ratio', '  99.91%)']","[' 470      (Average', ' 1086.00 Max', ' 1086 Sum', ' 510420 Ratio', '   0.09%)']", ,[' 94936   '],[' 9902    '],[' 96320   '],[' 58683   '],"[' 176045   (Atom=Atom', ' 49529 Body=Body', ' 28977 Other', ' 97539)']",[' Yes'],"[' 12036    (Eliminated', '    0 Frozen', ' 12036)']","[' 7835     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.3104'],[' 0'], ,[' 799.342'],[' 0'],[' 44.6142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53443e+09'],[' 2.2695e+09'],[' 0'],[' 3.99465e+10'],[' 0'],[' 0'],[' 3488']
,TA57,[' 3811+'],[' 1908'],"[' 1803.262s (Solving', ' 1788.83s 1st Model', ' 70.61s Unsat', ' 0.00s)']",[' 1793.031s'], ,[' 589711235'],"[' 7552555  (Analyzed', ' 6441510)']","[' 12460    (Average', ' 516.98 Last', ' 86087)']",[' 6244.3  '],"[' 1908     (Average Length', ' 938.88 Splits', ' 0)']","[' 6441510  (Deleted', ' 6324306)']","[' 727      (Ratio', '   0.01%)']","[' 78885    (Ratio', '   1.22%)']","[' 6441510  (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6441510  (Average', ' 89.74 Max', ' 6040 Sum', ' 578029669)']","[' 6441032  (Average', ' 89.67 Max', ' 5998 Sum', ' 577589431 Ratio', '  99.92%)']","[' 478      (Average', ' 921.00 Max', ' 921 Sum', ' 440238 Ratio', '   0.08%)']", ,[' 94880   '],[' 9998    '],[' 95969   '],[' 58723   '],"[' 176165   (Atom=Atom', ' 49473 Body=Body', ' 29073 Other', ' 97619)']",[' Yes'],"[' 11837    (Eliminated', '    0 Frozen', ' 11837)']","[' 8644     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.93541'],[' 0'], ,[' 807.695'],[' 0'],[' 43.9688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61939e+09'],[' 2.38699e+09'],[' 0'],[' 4.43606e+10'],[' 0'],[' 0'],[' 3779']
,TA58,[' 4511+'],[' 2258'],"[' 1803.577s (Solving', ' 1787.74s 1st Model', ' 122.69s Unsat', ' 0.00s)']",[' 1795.766s'], ,[' 623410622'],"[' 6857798  (Analyzed', ' 5857171)']","[' 12419    (Average', ' 471.63 Last', ' 211914)']",[' 6146.4  '],"[' 2258     (Average Length', ' 1106.76 Splits', ' 0)']","[' 5857171  (Deleted', ' 5738163)']","[' 727      (Ratio', '   0.01%)']","[' 83784    (Ratio', '   1.43%)']","[' 5857171  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5857171  (Average', ' 104.32 Max', ' 6685 Sum', ' 611006743)']","[' 5856644  (Average', ' 104.21 Max', ' 5481 Sum', ' 610372235 Ratio', '  99.90%)']","[' 527      (Average', ' 1204.00 Max', ' 1204 Sum', ' 634508 Ratio', '   0.10%)']", ,[' 95494   '],[' 10086   '],[' 96875   '],[' 59425   '],"[' 178271   (Atom=Atom', ' 50087 Body=Body', ' 29161 Other', ' 99023)']",[' Yes'],"[' 12217    (Eliminated', '    0 Frozen', ' 12217)']","[' 8287     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.13647'],[' 0'], ,[' 756.516'],[' 0'],[' 45.1244'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88469e+09'],[' 2.62434e+09'],[' 0'],[' 3.99521e+10'],[' 0'],[' 0'],[' 3777']
,TA59,[' 4453+'],[' 2229'],"[' 1803.825s (Solving', ' 1786.49s 1st Model', ' 416.67s Unsat', ' 0.00s)']",[' 1797.828s'], ,[' 584229422'],"[' 6658557  (Analyzed', ' 5517056)']","[' 12488    (Average', ' 441.79 Last', ' 104712)']",[' 6088.8  '],"[' 2229     (Average Length', ' 1092.36 Splits', ' 0)']","[' 5517056  (Deleted', ' 5405209)']","[' 657      (Ratio', '   0.01%)']","[' 81553    (Ratio', '   1.48%)']","[' 5517056  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5517056  (Average', ' 103.64 Max', ' 6437 Sum', ' 571806282)']","[' 5516555  (Average', ' 103.55 Max', ' 5392 Sum', ' 571279488 Ratio', '  99.91%)']","[' 501      (Average', ' 1051.49 Max', ' 4294 Sum', ' 526794 Ratio', '   0.09%)']", ,[' 95021   '],[' 9938    '],[' 96370   '],[' 58804   '],"[' 176408   (Atom=Atom', ' 49614 Body=Body', ' 29013 Other', ' 97781)']",[' Yes'],"[' 12037    (Eliminated', '    0 Frozen', ' 12037)']","[' 8952     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.39705'],[' 0'], ,[' 740.651'],[' 0'],[' 43.7175'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.75703e+09'],[' 2.50385e+09'],[' 0'],[' 3.71158e+10'],[' 0'],[' 0'],[' 3384']
,TA60,[' 4631+'],[' 2318'],"[' 1803.949s (Solving', ' 1786.38s 1st Model', ' 1287.48s Unsat', ' 0.00s)']",[' 1798.516s'], ,[' 604116695'],"[' 5645569  (Analyzed', ' 4601236)']","[' 12287    (Average', ' 374.48 Last', ' 723915)']",[' 6088.7  '],"[' 2318     (Average Length', ' 1133.61 Splits', ' 0)']","[' 4601236  (Deleted', ' 4505759)']","[' 540      (Ratio', '   0.01%)']","[' 77595    (Ratio', '   1.69%)']","[' 4601236  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4601236  (Average', ' 128.56 Max', ' 6596 Sum', ' 591528513)']","[' 4600739  (Average', ' 128.43 Max', ' 5385 Sum', ' 590926646 Ratio', '  99.90%)']","[' 497      (Average', ' 1211.00 Max', ' 1211 Sum', ' 601867 Ratio', '   0.10%)']", ,[' 95062   '],[' 9922    '],[' 96495   '],[' 58829   '],"[' 176483   (Atom=Atom', ' 49655 Body=Body', ' 28997 Other', ' 97831)']",[' Yes'],"[' 12105    (Eliminated', '    0 Frozen', ' 12105)']","[' 8572     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.34069'],[' 0'], ,[' 710.975'],[' 0'],[' 44.2757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.91545e+09'],[' 2.64465e+09'],[' 0'],[' 3.32411e+10'],[' 0'],[' 0'],[' 3225']
