Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 
Solving...,TA71, ,[' 1'],[' 10301+'],[' 5154'],"[' 1515.419s (Solving', ' 1412.40s 1st Model', ' 383.61s Unsat', ' 0.00s)']",[' 1511.500s'], ,[' 836122682'],"[' 2059417  (Analyzed', ' 1512528)']","[' 6662     (Average', ' 227.04 Last', ' 25273)']",[' 18619.4 '],"[' 5154     (Average Length', ' 2473.89 Splits', ' 0)']","[' 1512528  (Deleted', ' 1402922)']","[' 1310     (Ratio', '   0.09%)']","[' 79578    (Ratio', '   5.26%)']","[' 1512528  (Average Length', '   52.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1512528  (Average', ' 503.27 Max', ' 25557 Sum', ' 761211850)']","[' 1509590  (Average', ' 497.23 Max', ' 25557 Sum', ' 752080876 Ratio', '  98.80%)']","[' 2938     (Average', ' 3107.89 Max', ' 4464 Sum', ' 9130974 Ratio', '   1.20%)']", ,[' 414095  '],[' 44390   '],[' 412495  '],[' 288703  '],"[' 866105   (Atom=Atom', ' 250655 Body=Body', ' 140946 Other', ' 474504)']",[' Yes'],"[' 44790    (Eliminated', '    0 Frozen', ' 44790)']","[' 13840    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.9477'],[' 0'], ,[' 733.573'],[' 0'],[' 47.6351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94108e+09'],[' 1.80925e+09'],[' 0'],[' 4.60229e+10'],[' 0'],[' 0'],[' 2712 '],[' 5007 '],[' 12137 ']
Solving...,TA72, ,[' 1'],[' 13103+'],[' 6555'],"[' 1526.148s (Solving', ' 1368.93s 1st Model', ' 1187.54s Unsat', ' 0.00s)']",[' 1521.750s'], ,[' 1016907605'],"[' 1334118  (Analyzed', ' 718722)']","[' 5780     (Average', ' 124.35 Last', ' 62798)']",[' 20962.4 '],"[' 6555     (Average Length', ' 3053.96 Splits', ' 0)']","[' 718722   (Deleted', ' 621467)']","[' 1210     (Ratio', '   0.17%)']","[' 80444    (Ratio', '  11.19%)']","[' 718722   (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 718722   (Average', ' 1261.73 Max', ' 25740 Sum', ' 906833255)']","[' 716322   (Average', ' 1250.43 Max', ' 25740 Sum', ' 898709809 Ratio', '  99.10%)']","[' 2400     (Average', ' 3384.77 Max', ' 5661 Sum', ' 8123446 Ratio', '   0.90%)']", ,[' 412350  '],[' 43779   '],[' 411851  '],[' 290452  '],"[' 871352   (Atom=Atom', ' 252834 Body=Body', ' 140516 Other', ' 478002)']",[' Yes'],"[' 45280    (Eliminated', '    0 Frozen', ' 45280)']","[' 12233    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.3095'],[' 0'], ,[' 473.567'],[' 0'],[' 61.5099'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53947e+09'],[' 2.40356e+09'],[' 0'],[' 9.94101e+09'],[' 0'],[' 0'],[' 2218 '],[' 4296 '],[' 6538 ']
Solving...,TA73, ,[' 1'],[' 11533+'],[' 5770'],"[' 1523.926s (Solving', ' 1378.81s 1st Model', ' 1041.98s Unsat', ' 0.00s)']",[' 1516.344s'], ,[' 969725186'],"[' 1268911  (Analyzed', ' 698791)']","[' 5057     (Average', ' 138.18 Last', ' 128456)']",[' 20587.9 '],"[' 5770     (Average Length', ' 2694.04 Splits', ' 0)']","[' 698791   (Deleted', ' 602594)']","[' 1117     (Ratio', '   0.16%)']","[' 77680    (Ratio', '  11.12%)']","[' 698791   (Average Length', '   34.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 698791   (Average', ' 1250.70 Max', ' 25112 Sum', ' 873978752)']","[' 695850   (Average', ' 1238.92 Max', ' 25112 Sum', ' 865747442 Ratio', '  99.06%)']","[' 2941     (Average', ' 2798.81 Max', ' 5073 Sum', ' 8231310 Ratio', '   0.94%)']", ,[' 414479  '],[' 44160   '],[' 412956  '],[' 287476  '],"[' 862424   (Atom=Atom', ' 249909 Body=Body', ' 140465 Other', ' 472050)']",[' Yes'],"[' 44637    (Eliminated', '    0 Frozen', ' 44637)']","[' 13664    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.004'],[' 0'], ,[' 496.667'],[' 0'],[' 62.5922'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.34122e+09'],[' 2.21396e+09'],[' 0'],[' 1.09582e+10'],[' 0'],[' 0'],[' 2537 '],[' 4625 '],[' 6987 ']
Solving...,TA74, ,[' 1'],[' 11633+'],[' 5820'],"[' 1520.399s (Solving', ' 1392.85s 1st Model', ' 1180.21s Unsat', ' 0.00s)']",[' 1515.359s'], ,[' 938176474'],"[' 1527431  (Analyzed', ' 942880)']","[' 6295     (Average', ' 149.78 Last', ' 62512)']",[' 19976.0 '],"[' 5820     (Average Length', ' 2731.03 Splits', ' 0)']","[' 942880   (Deleted', ' 856271)']","[' 1323     (Ratio', '   0.14%)']","[' 68684    (Ratio', '   7.28%)']","[' 942880   (Average Length', '   39.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 942880   (Average', ' 897.37 Max', ' 26206 Sum', ' 846109328)']","[' 940145   (Average', ' 887.68 Max', ' 26206 Sum', ' 836975104 Ratio', '  98.92%)']","[' 2735     (Average', ' 3339.75 Max', ' 5098 Sum', ' 9134224 Ratio', '   1.08%)']", ,[' 411366  '],[' 43653   '],[' 410040  '],[' 287688  '],"[' 863060   (Atom=Atom', ' 250457 Body=Body', ' 140129 Other', ' 472474)']",[' Yes'],"[' 44326    (Eliminated', '    0 Frozen', ' 44326)']","[' 10394    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.8128'],[' 0'], ,[' 554.661'],[' 0'],[' 61.4847'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24133e+09'],[' 2.12542e+09'],[' 0'],[' 1.67138e+10'],[' 0'],[' 0'],[' 2099 '],[' 4294 '],[' 6389 ']
Solving...,TA75, ,[' 1'],[' 13389+'],[' 6698'],"[' 1526.250s (Solving', ' 1370.91s 1st Model', ' 1198.34s Unsat', ' 0.00s)']",[' 1521.797s'], ,[' 986007693'],"[' 1580991  (Analyzed', ' 760205)']","[' 6271     (Average', ' 121.23 Last', ' 86379)']",[' 20983.2 '],"[' 6698     (Average Length', ' 3143.85 Splits', ' 0)']","[' 760205   (Deleted', ' 668263)']","[' 1295     (Ratio', '   0.17%)']","[' 72856    (Ratio', '   9.58%)']","[' 760205   (Average Length', '   37.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 760205   (Average', ' 1150.37 Max', ' 26013 Sum', ' 874518753)']","[' 757520   (Average', ' 1138.48 Max', ' 26013 Sum', ' 865480769 Ratio', '  98.97%)']","[' 2685     (Average', ' 3366.10 Max', ' 5847 Sum', ' 9037984 Ratio', '   1.03%)']", ,[' 415561  '],[' 44284   '],[' 415180  '],[' 290998  '],"[' 872990   (Atom=Atom', ' 252995 Body=Body', ' 140901 Other', ' 479094)']",[' Yes'],"[' 45903    (Eliminated', '    0 Frozen', ' 45903)']","[' 12064    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.4949'],[' 0'], ,[' 493.481'],[' 0'],[' 62.8667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36172e+09'],[' 2.24081e+09'],[' 0'],[' 1.06308e+10'],[' 0'],[' 0'],[' 2314 '],[' 4475 '],[' 6770 ']
Solving...,TA76, ,[' 1'],[' 10219+'],[' 5113'],"[' 1521.358s (Solving', ' 1383.92s 1st Model', ' 1117.90s Unsat', ' 0.00s)']",[' 1512.641s'], ,[' 670243108'],"[' 2018938  (Analyzed', ' 1589272)']","[' 6517     (Average', ' 243.87 Last', ' 98417)']",[' 21614.8 '],"[' 5113     (Average Length', ' 2486.51 Splits', ' 0)']","[' 1589272  (Deleted', ' 1516975)']","[' 341      (Ratio', '   0.02%)']","[' 49216    (Ratio', '   3.10%)']","[' 1589272  (Average Length', '   47.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1589272  (Average', ' 361.85 Max', ' 29166 Sum', ' 575071794)']","[' 1587759  (Average', ' 359.77 Max', ' 29166 Sum', ' 571771847 Ratio', '  99.43%)']","[' 1513     (Average', ' 2181.06 Max', ' 3024 Sum', ' 3299947 Ratio', '   0.57%)']", ,[' 407102  '],[' 44121   '],[' 403710  '],[' 282162  '],"[' 846482   (Atom=Atom', ' 246176 Body=Body', ' 138884 Other', ' 461422)']",[' Yes'],"[' 42729    (Eliminated', '    0 Frozen', ' 42729)']","[' 8710     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.1255'],[' 0'], ,[' 725.286'],[' 0'],[' 51.8817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55484e+09'],[' 1.46807e+09'],[' 0'],[' 2.93964e+10'],[' 0'],[' 0'],[' 2322 '],[' 8795 '],[' 10413 ']
Solving...,TA77, ,[' 1'],[' 13561+'],[' 6784'],"[' 1540.091s (Solving', ' 1329.49s 1st Model', ' 806.73s Unsat', ' 0.00s)']",[' 1532.875s'], ,[' 665604514'],"[' 1545059  (Analyzed', ' 833584)']","[' 5936     (Average', ' 140.43 Last', ' 420524)']",[' 22434.2 '],"[' 6784     (Average Length', ' 3180.02 Splits', ' 0)']","[' 833584   (Deleted', ' 769711)']","[' 904      (Ratio', '   0.11%)']","[' 39110    (Ratio', '   4.69%)']","[' 833584   (Average Length', '   39.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 833584   (Average', ' 652.85 Max', ' 28644 Sum', ' 544201233)']","[' 830478   (Average', ' 640.77 Max', ' 28644 Sum', ' 534136250 Ratio', '  98.15%)']","[' 3106     (Average', ' 3240.50 Max', ' 5921 Sum', ' 10064983 Ratio', '   1.85%)']", ,[' 411427  '],[' 43667   '],[' 411050  '],[' 287449  '],"[' 862343   (Atom=Atom', ' 250077 Body=Body', ' 140270 Other', ' 471996)']",[' Yes'],"[' 45290    (Eliminated', '    0 Frozen', ' 45290)']","[' 6762     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 35.0104'],[' 0'], ,[' 590.44'],[' 0'],[' 58.655'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44636e+09'],[' 1.37287e+09'],[' 0'],[' 1.58068e+10'],[' 0'],[' 0'],[' 2332 '],[' 4597 '],[' 6896 ']
Solving...,TA78, ,[' 1'],[' 11243+'],[' 5625'],"[' 1521.199s (Solving', ' 1383.73s 1st Model', ' 1056.79s Unsat', ' 0.00s)']",[' 1518.078s'], ,[' 932985822'],"[' 1181097  (Analyzed', ' 630702)']","[' 5121     (Average', ' 123.16 Last', ' 95608)']",[' 19634.7 '],"[' 5625     (Average Length', ' 2678.02 Splits', ' 0)']","[' 630702   (Deleted', ' 538723)']","[' 1343     (Ratio', '   0.21%)']","[' 71907    (Ratio', '  11.40%)']","[' 630702   (Average Length', '   33.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 630702   (Average', ' 1342.66 Max', ' 24864 Sum', ' 846818842)']","[' 627433   (Average', ' 1326.91 Max', ' 24864 Sum', ' 836884147 Ratio', '  98.83%)']","[' 3269     (Average', ' 3039.06 Max', ' 5003 Sum', ' 9934695 Ratio', '   1.17%)']", ,[' 408779  '],[' 43820   '],[' 407086  '],[' 284913  '],"[' 854735   (Atom=Atom', ' 247844 Body=Body', ' 139967 Other', ' 466924)']",[' Yes'],"[' 44124    (Eliminated', '    0 Frozen', ' 44124)']","[' 12708    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.3224'],[' 0'], ,[' 500.684'],[' 0'],[' 63.9522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20742e+09'],[' 2.09366e+09'],[' 0'],[' 1.00275e+10'],[' 0'],[' 0'],[' 2266 '],[' 4370 '],[' 6616 ']
Solving...,TA79, ,[' 1'],[' 12879+'],[' 6443'],"[' 1524.507s (Solving', ' 1373.29s 1st Model', ' 1130.96s Unsat', ' 0.00s)']",[' 1520.391s'], ,[' 960127269'],"[' 1206400  (Analyzed', ' 594151)']","[' 5364     (Average', ' 110.77 Last', ' 85440)']",[' 20057.9 '],"[' 6443     (Average Length', ' 3019.86 Splits', ' 0)']","[' 594151   (Deleted', ' 509295)']","[' 1038     (Ratio', '   0.17%)']","[' 70419    (Ratio', '  11.85%)']","[' 594151   (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 594151   (Average', ' 1447.27 Max', ' 25177 Sum', ' 859896663)']","[' 591089   (Average', ' 1429.91 Max', ' 25177 Sum', ' 849580228 Ratio', '  98.80%)']","[' 3062     (Average', ' 3369.18 Max', ' 5662 Sum', ' 10316435 Ratio', '   1.20%)']", ,[' 410080  '],[' 43944   '],[' 409126  '],[' 286919  '],"[' 860753   (Atom=Atom', ' 249588 Body=Body', ' 140229 Other', ' 470936)']",[' Yes'],"[' 44990    (Eliminated', '    0 Frozen', ' 44990)']","[' 12831    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.6182'],[' 0'], ,[' 491.348'],[' 0'],[' 62.0737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24909e+09'],[' 2.13542e+09'],[' 0'],[' 9.94492e+09'],[' 0'],[' 0'],[' 2188 '],[' 4282 '],[' 6484 ']
Solving...,TA80, ,[' 1'],[' 11617+'],[' 5812'],"[' 1521.259s (Solving', ' 1381.65s 1st Model', ' 1149.86s Unsat', ' 0.00s)']",[' 1518.375s'], ,[' 995238131'],"[' 1433629  (Analyzed', ' 691656)']","[' 5323     (Average', ' 129.94 Last', ' 95262)']",[' 20661.3 '],"[' 5812     (Average Length', ' 2729.56 Splits', ' 0)']","[' 691656   (Deleted', ' 600047)']","[' 1270     (Ratio', '   0.18%)']","[' 74807    (Ratio', '  10.82%)']","[' 691656   (Average Length', '   34.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 691656   (Average', ' 1300.56 Max', ' 25769 Sum', ' 899541056)']","[' 688478   (Average', ' 1286.93 Max', ' 25769 Sum', ' 890110475 Ratio', '  98.95%)']","[' 3178     (Average', ' 2967.46 Max', ' 5084 Sum', ' 9430581 Ratio', '   1.05%)']", ,[' 413778  '],[' 44050   '],[' 412742  '],[' 289594  '],"[' 868778   (Atom=Atom', ' 251681 Body=Body', ' 140811 Other', ' 476286)']",[' Yes'],"[' 45005    (Eliminated', '    0 Frozen', ' 45005)']","[' 12985    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2509'],[' 0'], ,[' 502.366'],[' 0'],[' 62.8381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39508e+09'],[' 2.27419e+09'],[' 0'],[' 1.14152e+10'],[' 0'],[' 0'],[' 2329 '],[' 4429 '],[' 6446 ']
