Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 6677+'],[' 3341'],"[' 605.992s (Solving', ' 580.32s 1st Model', ' 431.75s Unsat', ' 0.00s)']",[' 603.703s'], ,[' 343203703'],"[' 5206825  (Analyzed', ' 1172527)']","[' 6134     (Average', ' 191.15 Last', ' 89071)']",[' 8910.6  '],"[' 3341     (Average Length', ' 1636.08 Splits', ' 0)']","[' 1172527  (Deleted', ' 1115526)']","[' 228      (Ratio', '   0.02%)']","[' 49189    (Ratio', '   4.20%)']","[' 1172527  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1172527  (Average', ' 269.07 Max', ' 8711 Sum', ' 315496759)']","[' 1171877  (Average', ' 268.21 Max', ' 8711 Sum', ' 314482759 Ratio', '  99.68%)']","[' 650      (Average', ' 1560.00 Max', ' 1560 Sum', ' 1014000 Ratio', '   0.32%)']", ,[' 147445  '],[' 12096   '],[' 144557  '],[' 66839   '],"[' 240901   (Atom=Atom', ' 68644 Body=Body', ' 38828 Other', ' 133429)']",[' Yes'],"[' 15255    (Eliminated', '    0 Frozen', ' 15255)']","[' 5901     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.59196'],[' 0'], ,[' 217.626'],[' 0'],[' 19.6241'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.82835e+08'],[' 7.86307e+08'],[' 0'],[' 9.17071e+09'],[' 0'],[' 0'],[' 1886 '],[' 3480 '],[' 2 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 7459+'],[' 3732'],"[' 606.597s (Solving', ' 578.56s 1st Model', ' 424.09s Unsat', ' 0.00s)']",[' 604.406s'], ,[' 348162183'],"[' 4573344  (Analyzed', ' 1043285)']","[' 5803     (Average', ' 179.78 Last', ' 90586)']",[' 8927.6  '],"[' 3732     (Average Length', ' 1819.09 Splits', ' 0)']","[' 1043285  (Deleted', ' 986106)']","[' 187      (Ratio', '   0.02%)']","[' 50617    (Ratio', '   4.85%)']","[' 1043285  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1043285  (Average', ' 305.78 Max', ' 9773 Sum', ' 319017800)']","[' 1042614  (Average', ' 304.53 Max', ' 8252 Sum', ' 317707337 Ratio', '  99.59%)']","[' 671      (Average', ' 1953.00 Max', ' 1953 Sum', ' 1310463 Ratio', '   0.41%)']", ,[' 148265  '],[' 12162   '],[' 145657  '],[' 67560   '],"[' 242998   (Atom=Atom', ' 69233 Body=Body', ' 39026 Other', ' 134739)']",[' Yes'],"[' 15634    (Eliminated', '    0 Frozen', ' 15634)']","[' 6073     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.11847'],[' 0'], ,[' 207.795'],[' 0'],[' 19.5633'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.91969e+08'],[' 8.00339e+08'],[' 0'],[' 8.10938e+09'],[' 0'],[' 0'],[' 1889 '],[' 3578 '],[' 2 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 6409+'],[' 3207'],"[' 605.619s (Solving', ' 582.50s 1st Model', ' 456.12s Unsat', ' 0.00s)']",[' 602.813s'], ,[' 353189528'],"[' 4162831  (Analyzed', ' 1221366)']","[' 5874     (Average', ' 207.93 Last', ' 98308)']",[' 8495.1  '],"[' 3207     (Average Length', ' 1572.74 Splits', ' 0)']","[' 1221366  (Deleted', ' 1161016)']","[' 248      (Ratio', '   0.02%)']","[' 51642    (Ratio', '   4.23%)']","[' 1221366  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1221366  (Average', ' 269.26 Max', ' 8895 Sum', ' 328860085)']","[' 1220721  (Average', ' 268.32 Max', ' 7839 Sum', ' 327711985 Ratio', '  99.65%)']","[' 645      (Average', ' 1780.00 Max', ' 1780 Sum', ' 1148100 Ratio', '   0.35%)']", ,[' 147298  '],[' 12094   '],[' 144285  '],[' 66695   '],"[' 240471   (Atom=Atom', ' 68504 Body=Body', ' 38822 Other', ' 133145)']",[' Yes'],"[' 15127    (Eliminated', '    0 Frozen', ' 15127)']","[' 6000     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.949'],[' 0'], ,[' 212.516'],[' 0'],[' 20.0704'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.27236e+08'],[' 8.28094e+08'],[' 0'],[' 8.22594e+09'],[' 0'],[' 0'],[' 1807 '],[' 3250 '],[' 2 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 6525+'],[' 3265'],"[' 605.765s (Solving', ' 581.33s 1st Model', ' 424.53s Unsat', ' 0.00s)']",[' 604.031s'], ,[' 347989921'],"[' 4638005  (Analyzed', ' 1171713)']","[' 5977     (Average', ' 196.04 Last', ' 91446)']",[' 8655.4  '],"[' 3265     (Average Length', ' 1596.32 Splits', ' 0)']","[' 1171713  (Deleted', ' 1113313)']","[' 213      (Ratio', '   0.02%)']","[' 50181    (Ratio', '   4.28%)']","[' 1171713  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1171713  (Average', ' 274.90 Max', ' 9557 Sum', ' 322099396)']","[' 1171114  (Average', ' 274.05 Max', ' 8103 Sum', ' 321112244 Ratio', '  99.69%)']","[' 599      (Average', ' 1648.00 Max', ' 1648 Sum', ' 987152 Ratio', '   0.31%)']", ,[' 147395  '],[' 12100   '],[' 144420  '],[' 66783   '],"[' 240729   (Atom=Atom', ' 68580 Body=Body', ' 38840 Other', ' 133309)']",[' Yes'],"[' 15174    (Eliminated', '    0 Frozen', ' 15174)']","[' 5788     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.31044'],[' 0'], ,[' 215.354'],[' 0'],[' 19.9034'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.94093e+08'],[' 7.98001e+08'],[' 0'],[' 8.5591e+09'],[' 0'],[' 0'],[' 1819 '],[' 3284 '],[' 2 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 6793+'],[' 3399'],"[' 606.297s (Solving', ' 580.41s 1st Model', ' 464.33s Unsat', ' 0.00s)']",[' 604.219s'], ,[' 352417640'],"[' 3991790  (Analyzed', ' 1125284)']","[' 5705     (Average', ' 197.25 Last', ' 163800)']",[' 8715.3  '],"[' 3399     (Average Length', ' 1666.23 Splits', ' 0)']","[' 1125284  (Deleted', ' 1063549)']","[' 234      (Ratio', '   0.02%)']","[' 51810    (Ratio', '   4.60%)']","[' 1125284  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1125284  (Average', ' 289.92 Max', ' 9252 Sum', ' 326241451)']","[' 1124679  (Average', ' 289.01 Max', ' 8169 Sum', ' 325219001 Ratio', '  99.69%)']","[' 605      (Average', ' 1690.00 Max', ' 1690 Sum', ' 1022450 Ratio', '   0.31%)']", ,[' 147594  '],[' 12110   '],[' 144742  '],[' 66967   '],"[' 241271   (Atom=Atom', ' 68744 Body=Body', ' 38870 Other', ' 133657)']",[' Yes'],"[' 15312    (Eliminated', '    0 Frozen', ' 15312)']","[' 5884     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.56375'],[' 0'], ,[' 203.27'],[' 0'],[' 20.0155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28437e+08'],[' 8.34034e+08'],[' 0'],[' 7.54445e+09'],[' 0'],[' 0'],[' 1753 '],[' 3421 '],[' 2 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 6907+'],[' 3456'],"[' 606.525s (Solving', ' 578.80s 1st Model', ' 421.71s Unsat', ' 0.00s)']",[' 603.078s'], ,[' 330834837'],"[' 4787261  (Analyzed', ' 1047028)']","[' 5779     (Average', ' 181.18 Last', ' 96321)']",[' 8997.6  '],"[' 3456     (Average Length', ' 1690.66 Splits', ' 0)']","[' 1047028  (Deleted', ' 990483)']","[' 189      (Ratio', '   0.02%)']","[' 47995    (Ratio', '   4.58%)']","[' 1047028  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1047028  (Average', ' 288.80 Max', ' 9226 Sum', ' 302380026)']","[' 1046381  (Average', ' 287.81 Max', ' 8401 Sum', ' 301346767 Ratio', '  99.66%)']","[' 647      (Average', ' 1597.00 Max', ' 1597 Sum', ' 1033259 Ratio', '   0.34%)']", ,[' 147937  '],[' 12154   '],[' 145130  '],[' 67244   '],"[' 242058   (Atom=Atom', ' 68933 Body=Body', ' 39002 Other', ' 134123)']",[' Yes'],"[' 15423    (Eliminated', '    0 Frozen', ' 15423)']","[' 5662     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.05546'],[' 0'], ,[' 211.694'],[' 0'],[' 19.6735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.30256e+08'],[' 7.41535e+08'],[' 0'],[' 8.44294e+09'],[' 0'],[' 0'],[' 1790 '],[' 3361 '],[' 2 '],[' 0 ']
Solving...,TA67, , ,[' 1'],[' 6067+'],[' 3036'],"[' 605.557s (Solving', ' 582.03s 1st Model', ' 432.88s Unsat', ' 0.00s)']",[' 603.359s'], ,[' 351459986'],"[' 4815146  (Analyzed', ' 1191097)']","[' 5933     (Average', ' 200.76 Last', ' 93155)']",[' 8746.3  '],"[' 3036     (Average Length', ' 1492.89 Splits', ' 0)']","[' 1191097  (Deleted', ' 1132222)']","[' 229      (Ratio', '   0.02%)']","[' 50615    (Ratio', '   4.25%)']","[' 1191097  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1191097  (Average', ' 273.99 Max', ' 9205 Sum', ' 326349854)']","[' 1190473  (Average', ' 273.26 Max', ' 8371 Sum', ' 325476878 Ratio', '  99.73%)']","[' 624      (Average', ' 1399.00 Max', ' 1399 Sum', ' 872976 Ratio', '   0.27%)']", ,[' 147179  '],[' 12102   '],[' 144033  '],[' 66564   '],"[' 240070   (Atom=Atom', ' 68357 Body=Body', ' 38846 Other', ' 132867)']",[' Yes'],"[' 15006    (Eliminated', '    0 Frozen', ' 15006)']","[' 5807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.07777'],[' 0'], ,[' 214.424'],[' 0'],[' 19.8874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.10369e+08'],[' 8.12822e+08'],[' 0'],[' 8.76225e+09'],[' 0'],[' 0'],[' 1913 '],[' 3394 '],[' 2 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 6955+'],[' 3480'],"[' 606.229s (Solving', ' 579.97s 1st Model', ' 458.78s Unsat', ' 0.00s)']",[' 603.203s'], ,[' 359124346'],"[' 3922072  (Analyzed', ' 1138748)']","[' 6113     (Average', ' 186.28 Last', ' 87289)']",[' 8849.1  '],"[' 3480     (Average Length', ' 1686.17 Splits', ' 0)']","[' 1138748  (Deleted', ' 1080183)']","[' 216      (Ratio', '   0.02%)']","[' 50209    (Ratio', '   4.41%)']","[' 1138748  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1138748  (Average', ' 291.61 Max', ' 9512 Sum', ' 332067238)']","[' 1138104  (Average', ' 290.66 Max', ' 8812 Sum', ' 330989182 Ratio', '  99.68%)']","[' 644      (Average', ' 1674.00 Max', ' 1674 Sum', ' 1078056 Ratio', '   0.32%)']", ,[' 147493  '],[' 12082   '],[' 144712  '],[' 66908   '],"[' 241122   (Atom=Atom', ' 68741 Body=Body', ' 38786 Other', ' 133595)']",[' Yes'],"[' 15341    (Eliminated', '    0 Frozen', ' 15341)']","[' 5570     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.6916'],[' 0'], ,[' 200.817'],[' 0'],[' 20.5699'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28833e+08'],[' 8.31791e+08'],[' 0'],[' 7.63366e+09'],[' 0'],[' 0'],[' 1821 '],[' 3427 '],[' 2 '],[' 0 ']
Solving...,TA69, , ,[' 1'],[' 6897+'],[' 3451'],"[' 606.239s (Solving', ' 579.78s 1st Model', ' 385.19s Unsat', ' 0.00s)']",[' 604.125s'], ,[' 347613831'],"[' 4556204  (Analyzed', ' 1155795)']","[' 5929     (Average', ' 194.94 Last', ' 95970)']",[' 8845.5  '],"[' 3451     (Average Length', ' 1680.68 Splits', ' 0)']","[' 1155795  (Deleted', ' 1094372)']","[' 250      (Ratio', '   0.02%)']","[' 52754    (Ratio', '   4.56%)']","[' 1155795  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1155795  (Average', ' 276.98 Max', ' 9119 Sum', ' 320130116)']","[' 1155105  (Average', ' 275.98 Max', ' 8573 Sum', ' 318977126 Ratio', '  99.64%)']","[' 690      (Average', ' 1671.00 Max', ' 1671 Sum', ' 1152990 Ratio', '   0.36%)']", ,[' 147854  '],[' 12142   '],[' 145055  '],[' 67179   '],"[' 241875   (Atom=Atom', ' 68892 Body=Body', ' 38966 Other', ' 134017)']",[' Yes'],"[' 15413    (Eliminated', '    0 Frozen', ' 15413)']","[' 6358     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.76547'],[' 0'], ,[' 207.998'],[' 0'],[' 19.6351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.08428e+08'],[' 8.14625e+08'],[' 0'],[' 8.70516e+09'],[' 0'],[' 0'],[' 1950 '],[' 3571 '],[' 2 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 6203+'],[' 3104'],"[' 606.552s (Solving', ' 579.34s 1st Model', ' 397.87s Unsat', ' 0.00s)']",[' 599.547s'], ,[' 281983489'],"[' 4254762  (Analyzed', ' 884128)']","[' 4849     (Average', ' 182.33 Last', ' 92152)']",[' 8654.3  '],"[' 3104     (Average Length', ' 1523.84 Splits', ' 0)']","[' 884128   (Deleted', ' 834053)']","[' 205      (Ratio', '   0.02%)']","[' 43604    (Ratio', '   4.93%)']","[' 884128   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 884128   (Average', ' 290.89 Max', ' 9566 Sum', ' 257184006)']","[' 883503   (Average', ' 289.74 Max', ' 9566 Sum', ' 256169006 Ratio', '  99.61%)']","[' 625      (Average', ' 1624.00 Max', ' 1624 Sum', ' 1015000 Ratio', '   0.39%)']", ,[' 147676  '],[' 12168   '],[' 144553  '],[' 66962   '],"[' 241198   (Atom=Atom', ' 68623 Body=Body', ' 39044 Other', ' 133531)']",[' Yes'],"[' 15128    (Eliminated', '    0 Frozen', ' 15128)']","[' 5649     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.80225'],[' 0'], ,[' 224.766'],[' 0'],[' 18.5369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.81828e+08'],[' 6.08976e+08'],[' 0'],[' 7.2507e+09'],[' 0'],[' 0'],[' 1949 '],[' 3798 '],[' 2 '],[' 0 ']
