Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 
Solving...,TA71, ,[' 1'],[' 6613+'],[' 3312'],"[' 779.923s (Solving', ' 713.87s 1st Model', ' 98.52s Unsat', ' 0.00s)']",[' 777.313s'], ,[' 284948308'],"[' 4684923  (Analyzed', ' 3532411)']","[' 8506     (Average', ' 415.28 Last', ' 7227)']",[' 10039.8 '],"[' 3312     (Average Length', ' 1539.96 Splits', ' 0)']","[' 3532411  (Deleted', ' 3440141)']","[' 75       (Ratio', '   0.00%)']","[' 39851    (Ratio', '   1.13%)']","[' 3532411  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3532411  (Average', ' 73.46 Max', ' 13055 Sum', ' 259492661)']","[' 3529364  (Average', ' 72.20 Max', ' 13055 Sum', ' 255053325 Ratio', '  98.29%)']","[' 3047     (Average', ' 1456.95 Max', ' 2248 Sum', ' 4439336 Ratio', '   1.71%)']", ,[' 397312  '],[' 22053   '],[' 398297  '],[' 234816  '],"[' 704444   (Atom=Atom', ' 214761 Body=Body', ' 122953 Other', ' 366730)']",[' Yes'],"[' 25038    (Eliminated', '    0 Frozen', ' 25038)']","[' 7877     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5875'],[' 0'], ,[' 485.089'],[' 0'],[' 19.4864'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.07929e+08'],[' 8.46571e+08'],[' 0'],[' 4.47002e+10'],[' 0'],[' 0'],[' 1694 '],[' 3169 '],[' 4589 '],[' 6093 '],[' 7551 ']
Solving...,TA72, ,[' 1'],[' 6931+'],[' 3471'],"[' 781.218s (Solving', ' 711.75s 1st Model', ' 160.37s Unsat', ' 0.00s)']",[' 778.266s'], ,[' 280232512'],"[' 6459844  (Analyzed', ' 4869044)']","[' 10983    (Average', ' 443.33 Last', ' 25784)']",[' 10032.5 '],"[' 3471     (Average Length', ' 1588.40 Splits', ' 0)']","[' 4869044  (Deleted', ' 4786070)']","[' 57       (Ratio', '   0.00%)']","[' 34882    (Ratio', '   0.72%)']","[' 4869044  (Average Length', '   24.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4869044  (Average', ' 52.10 Max', ' 12855 Sum', ' 253659593)']","[' 4865784  (Average', ' 51.10 Max', ' 12855 Sum', ' 248796125 Ratio', '  98.08%)']","[' 3260     (Average', ' 1491.86 Max', ' 2335 Sum', ' 4863468 Ratio', '   1.92%)']", ,[' 394103  '],[' 21860   '],[' 395161  '],[' 232584  '],"[' 697748   (Atom=Atom', ' 212722 Body=Body', ' 122760 Other', ' 362266)']",[' Yes'],"[' 24918    (Eliminated', '    0 Frozen', ' 24918)']","[' 6354     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.9453'],[' 0'], ,[' 482.727'],[' 0'],[' 20.1198'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.32239e+08'],[' 7.74178e+08'],[' 0'],[' 4.06096e+10'],[' 0'],[' 0'],[' 1430 '],[' 2874 '],[' 4314 '],[' 5675 '],[' 6952 ']
Solving...,TA73, ,[' 1'],[' 7471+'],[' 3741'],"[' 782.419s (Solving', ' 708.82s 1st Model', ' 135.92s Unsat', ' 0.00s)']",[' 779.984s'], ,[' 286216738'],"[' 5745900  (Analyzed', ' 4407445)']","[' 9599     (Average', ' 459.16 Last', ' 6649)']",[' 10022.8 '],"[' 3741     (Average Length', ' 1723.51 Splits', ' 0)']","[' 4407445  (Deleted', ' 4325693)']","[' 54       (Ratio', '   0.00%)']","[' 36001    (Ratio', '   0.82%)']","[' 4407445  (Average Length', '   28.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4407445  (Average', ' 58.90 Max', ' 12838 Sum', ' 259598454)']","[' 4403776  (Average', ' 57.47 Max', ' 12838 Sum', ' 253312478 Ratio', '  97.58%)']","[' 3669     (Average', ' 1713.27 Max', ' 2605 Sum', ' 6285976 Ratio', '   2.42%)']", ,[' 395951  '],[' 21935   '],[' 397243  '],[' 232797  '],"[' 698387   (Atom=Atom', ' 212860 Body=Body', ' 122835 Other', ' 362692)']",[' Yes'],"[' 25227    (Eliminated', '    0 Frozen', ' 25227)']","[' 6347     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5716'],[' 0'], ,[' 478.589'],[' 0'],[' 19.8822'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.4823e+08'],[' 7.88779e+08'],[' 0'],[' 4.23663e+10'],[' 0'],[' 0'],[' 1763 '],[' 3329 '],[' 4646 '],[' 6139 '],[' 7427 ']
Solving...,TA74, ,[' 1'],[' 6537+'],[' 3274'],"[' 779.907s (Solving', ' 716.90s 1st Model', ' 130.60s Unsat', ' 0.00s)']",[' 778.359s'], ,[' 264535098'],"[' 3007275  (Analyzed', ' 2300545)']","[' 6515     (Average', ' 353.12 Last', ' 37452)']",[' 9599.8  '],"[' 3274     (Average Length', ' 1542.79 Splits', ' 0)']","[' 2300545  (Deleted', ' 2224597)']","[' 67       (Ratio', '   0.00%)']","[' 42773    (Ratio', '   1.86%)']","[' 2300545  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2300545  (Average', ' 104.97 Max', ' 13078 Sum', ' 241493922)']","[' 2297660  (Average', ' 103.07 Max', ' 13078 Sum', ' 237116157 Ratio', '  98.19%)']","[' 2885     (Average', ' 1517.42 Max', ' 2298 Sum', ' 4377765 Ratio', '   1.81%)']", ,[' 394350  '],[' 21875   '],[' 395342  '],[' 233390  '],"[' 700166   (Atom=Atom', ' 213513 Body=Body', ' 122775 Other', ' 363878)']",[' Yes'],"[' 24867    (Eliminated', '    0 Frozen', ' 24867)']","[' 7955     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.7786'],[' 0'], ,[' 473.495'],[' 0'],[' 18.536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.22487e+08'],[' 8.57973e+08'],[' 0'],[' 4.33174e+10'],[' 0'],[' 0'],[' 1322 '],[' 2933 '],[' 4461 '],[' 5885 '],[' 7196 ']
Solving...,TA75, ,[' 1'],[' 6325+'],[' 3168'],"[' 779.690s (Solving', ' 717.56s 1st Model', ' 141.53s Unsat', ' 0.00s)']",[' 777.578s'], ,[' 275050534'],"[' 3203743  (Analyzed', ' 2706709)']","[' 6882     (Average', ' 393.30 Last', ' 7459)']",[' 9448.6  '],"[' 3168     (Average Length', ' 1475.10 Splits', ' 0)']","[' 2706709  (Deleted', ' 2618469)']","[' 86       (Ratio', '   0.00%)']","[' 45843    (Ratio', '   1.69%)']","[' 2706709  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2706709  (Average', ' 93.73 Max', ' 12726 Sum', ' 253692298)']","[' 2703497  (Average', ' 92.00 Max', ' 12726 Sum', ' 249030007 Ratio', '  98.16%)']","[' 3212     (Average', ' 1451.52 Max', ' 2233 Sum', ' 4662291 Ratio', '   1.84%)']", ,[' 396197  '],[' 22148   '],[' 397053  '],[' 234127  '],"[' 702377   (Atom=Atom', ' 213977 Body=Body', ' 123048 Other', ' 365352)']",[' Yes'],"[' 25004    (Eliminated', '    0 Frozen', ' 25004)']","[' 8425     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5275'],[' 0'], ,[' 469.523'],[' 0'],[' 19.1058'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.41215e+08'],[' 8.7813e+08'],[' 0'],[' 4.22678e+10'],[' 0'],[' 0'],[' 1332 '],[' 2961 '],[' 4382 '],[' 5662 '],[' 7190 ']
Solving...,TA76, ,[' 1'],[' 6755+'],[' 3383'],"[' 781.391s (Solving', ' 714.25s 1st Model', ' 126.79s Unsat', ' 0.00s)']",[' 778.984s'], ,[' 278725758'],"[' 3306891  (Analyzed', ' 2609395)']","[' 7021     (Average', ' 371.66 Last', ' 24790)']",[' 9636.9  '],"[' 3383     (Average Length', ' 1587.66 Splits', ' 0)']","[' 2609395  (Deleted', ' 2521434)']","[' 69       (Ratio', '   0.00%)']","[' 47506    (Ratio', '   1.82%)']","[' 2609395  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2609395  (Average', ' 97.31 Max', ' 12546 Sum', ' 253922063)']","[' 2607071  (Average', ' 95.96 Max', ' 12546 Sum', ' 250391706 Ratio', '  98.61%)']","[' 2324     (Average', ' 1519.09 Max', ' 2422 Sum', ' 3530357 Ratio', '   1.39%)']", ,[' 394990  '],[' 21680   '],[' 396044  '],[' 233918  '],"[' 701750   (Atom=Atom', ' 214236 Body=Body', ' 122580 Other', ' 364934)']",[' Yes'],"[' 24734    (Eliminated', '    0 Frozen', ' 24734)']","[' 9069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.6378'],[' 0'], ,[' 454.026'],[' 0'],[' 19.2924'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.80548e+08'],[' 9.10815e+08'],[' 0'],[' 4.04899e+10'],[' 0'],[' 0'],[' 1390 '],[' 2738 '],[' 4216 '],[' 5468 '],[' 6934 ']
Solving...,TA77, ,[' 1'],[' 7147+'],[' 3579'],"[' 781.273s (Solving', ' 707.93s 1st Model', ' 119.11s Unsat', ' 0.00s)']",[' 778.953s'], ,[' 268327334'],"[' 6108079  (Analyzed', ' 4630341)']","[' 10393    (Average', ' 445.52 Last', ' 5455)']",[' 10170.3 '],"[' 3579     (Average Length', ' 1665.89 Splits', ' 0)']","[' 4630341  (Deleted', ' 4547370)']","[' 62       (Ratio', '   0.00%)']","[' 31551    (Ratio', '   0.68%)']","[' 4630341  (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4630341  (Average', ' 52.07 Max', ' 13052 Sum', ' 241107087)']","[' 4626983  (Average', ' 50.95 Max', ' 13052 Sum', ' 235920961 Ratio', '  97.85%)']","[' 3358     (Average', ' 1544.41 Max', ' 2584 Sum', ' 5186126 Ratio', '   2.15%)']", ,[' 393419  '],[' 21798   '],[' 394608  '],[' 231588  '],"[' 694760   (Atom=Atom', ' 211788 Body=Body', ' 122698 Other', ' 360274)']",[' Yes'],"[' 24987    (Eliminated', '    0 Frozen', ' 24987)']","[' 6104     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6676'],[' 0'], ,[' 486.273'],[' 0'],[' 19.61'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.93236e+08'],[' 7.38675e+08'],[' 0'],[' 3.97865e+10'],[' 0'],[' 0'],[' 1509 '],[' 3000 '],[' 4542 '],[' 5888 '],[' 7425 ']
Solving...,TA78, ,[' 1'],[' 6795+'],[' 3403'],"[' 781.201s (Solving', ' 714.27s 1st Model', ' 111.34s Unsat', ' 0.00s)']",[' 778.797s'], ,[' 260203724'],"[' 5562538  (Analyzed', ' 4374656)']","[' 10044    (Average', ' 435.55 Last', ' 7345)']",[' 10220.5 '],"[' 3403     (Average Length', ' 1583.75 Splits', ' 0)']","[' 4374656  (Deleted', ' 4292237)']","[' 72       (Ratio', '   0.00%)']","[' 32361    (Ratio', '   0.74%)']","[' 4374656  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4374656  (Average', ' 53.45 Max', ' 13351 Sum', ' 233841071)']","[' 4371686  (Average', ' 52.37 Max', ' 13351 Sum', ' 229081144 Ratio', '  97.96%)']","[' 2970     (Average', ' 1602.67 Max', ' 2375 Sum', ' 4759927 Ratio', '   2.04%)']", ,[' 394524  '],[' 21732   '],[' 395601  '],[' 232856  '],"[' 698564   (Atom=Atom', ' 213122 Body=Body', ' 122632 Other', ' 362810)']",[' Yes'],"[' 24809    (Eliminated', '    0 Frozen', ' 24809)']","[' 5890     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5612'],[' 0'], ,[' 501.731'],[' 0'],[' 19.0558'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.97174e+08'],[' 7.41008e+08'],[' 0'],[' 4.57038e+10'],[' 0'],[' 0'],[' 1565 '],[' 3063 '],[' 4330 '],[' 5812 '],[' 7169 ']
Solving...,TA79, ,[' 1'],[' 6797+'],[' 3404'],"[' 781.064s (Solving', ' 715.62s 1st Model', ' 124.11s Unsat', ' 0.00s)']",[' 778.516s'], ,[' 288976316'],"[' 3828477  (Analyzed', ' 2810816)']","[' 7432     (Average', ' 378.20 Last', ' 7916)']",[' 9112.6  '],"[' 3404     (Average Length', ' 1554.81 Splits', ' 0)']","[' 2810816  (Deleted', ' 2718690)']","[' 82       (Ratio', '   0.00%)']","[' 49107    (Ratio', '   1.75%)']","[' 2810816  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2810816  (Average', ' 94.57 Max', ' 12373 Sum', ' 265817427)']","[' 2808256  (Average', ' 93.18 Max', ' 12373 Sum', ' 261903536 Ratio', '  98.53%)']","[' 2560     (Average', ' 1528.86 Max', ' 2412 Sum', ' 3913891 Ratio', '   1.47%)']", ,[' 395308  '],[' 21813   '],[' 396295  '],[' 233818  '],"[' 701450   (Atom=Atom', ' 214003 Body=Body', ' 122713 Other', ' 364734)']",[' Yes'],"[' 24800    (Eliminated', '    0 Frozen', ' 24800)']","[' 9806     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.313'],[' 0'], ,[' 452.864'],[' 0'],[' 19.6006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.68013e+08'],[' 8.95208e+08'],[' 0'],[' 4.08476e+10'],[' 0'],[' 0'],[' 1421 '],[' 2607 '],[' 3930 '],[' 5267 '],[' 6611 ']
Solving...,TA80, ,[' 1'],[' 7125+'],[' 3568'],"[' 780.393s (Solving', ' 710.72s 1st Model', ' 163.88s Unsat', ' 0.00s)']",[' 778.891s'], ,[' 311439126'],"[' 4318744  (Analyzed', ' 3069271)']","[' 7958     (Average', ' 385.68 Last', ' 14999)']",[' 9369.5  '],"[' 3568     (Average Length', ' 1621.98 Splits', ' 0)']","[' 3069271  (Deleted', ' 2974583)']","[' 82       (Ratio', '   0.00%)']","[' 52355    (Ratio', '   1.71%)']","[' 3069271  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3069271  (Average', ' 93.37 Max', ' 11954 Sum', ' 286570572)']","[' 3066417  (Average', ' 91.85 Max', ' 11954 Sum', ' 281907081 Ratio', '  98.37%)']","[' 2854     (Average', ' 1634.02 Max', ' 2386 Sum', ' 4663491 Ratio', '   1.63%)']", ,[' 395501  '],[' 21841   '],[' 396601  '],[' 233870  '],"[' 701606   (Atom=Atom', ' 214027 Body=Body', ' 122741 Other', ' 364838)']",[' Yes'],"[' 24941    (Eliminated', '    0 Frozen', ' 24941)']","[' 9671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.2769'],[' 0'], ,[' 435.17'],[' 0'],[' 21.1056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04455e+09'],[' 9.71708e+08'],[' 0'],[' 3.60115e+10'],[' 0'],[' 0'],[' 1562 '],[' 2841 '],[' 4103 '],[' 5424 '],[' 6669 ']
