Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 779+'],[' 398'],"[' 320.863s (Solving', ' 319.34s 1st Model', ' 0.72s Unsat', ' 17.39s)']",[' 319.641s'], ,[' 28051632'],"[' 18554199 (Analyzed', ' 18540264)']","[' 37071    (Average', ' 500.13 Last', ' 18407)']",[' 1393.3  '],"[' 398      (Average Length', ' 257.86 Splits', ' 0)']","[' 18540264 (Deleted', ' 18283432)']","[' 2        (Ratio', '   0.00%)']","[' 2101     (Ratio', '   0.01%)']","[' 18540264 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18540264 (Average', '  1.46 Max', ' 1789 Sum', ' 27150722)']","[' 18539907 (Average', '  1.46 Max', ' 1789 Sum', ' 27066809 Ratio', '  99.69%)']","[' 357      (Average', ' 235.05 Max', ' 349 Sum', '  83913 Ratio', '   0.31%)']", ,[' 62008   '],[' 2296    '],[' 57308   '],[' 19480   '],"[' 51176    (Atom=Atom', ' 14942 Body=Body', ' 9155 Other', ' 27079)']",[' Yes'],"[' 3241     (Eliminated', '    0 Frozen', ' 3241)']","[' 257      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.282723'],[' 0'], ,[' 202.322'],[' 0'],[' 5.9105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.12251e+07'],[' 3.02053e+07'],[' 0'],[' 1.30642e+10'],[' 0'],[' 0'],[' 647 '],[' 1141 '],[' 1420 '],[' 1803 '],[' 2266 '],[' 2596 '],[' 2908 '],[' 3516 '],[' 4 '],[' 4 ']
Solving...,TA52, , , ,[' 1'],[' 533+'],[' 275'],"[' 328.792s (Solving', ' 327.58s 1st Model', ' 0.58s Unsat', ' 26.72s)']",[' 327.750s'], ,[' 24836787'],"[' 16850861 (Analyzed', ' 16823746)']","[' 34730    (Average', ' 484.42 Last', ' 64631)']",[' 1443.7  '],"[' 275      (Average Length', ' 200.20 Splits', ' 0)']","[' 16823746 (Deleted', ' 16606800)']","[' 15       (Ratio', '   0.00%)']","[' 2259     (Ratio', '   0.01%)']","[' 16823746 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16823746 (Average', '  1.43 Max', ' 1827 Sum', ' 24068180)']","[' 16823360 (Average', '  1.43 Max', ' 1827 Sum', ' 23998037 Ratio', '  99.71%)']","[' 386      (Average', ' 181.72 Max', ' 264 Sum', '  70143 Ratio', '   0.29%)']", ,[' 61948   '],[' 2352    '],[' 57218   '],[' 19414   '],"[' 51672    (Atom=Atom', ' 15043 Body=Body', ' 9323 Other', ' 27306)']",[' Yes'],"[' 3182     (Eliminated', '    0 Frozen', ' 3182)']","[' 281      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.215758'],[' 0'], ,[' 223.745'],[' 0'],[' 5.42281'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.50432e+07'],[' 2.72134e+07'],[' 0'],[' 1.51903e+10'],[' 0'],[' 0'],[' 570 '],[' 1154 '],[' 1482 '],[' 1948 '],[' 2348 '],[' 2648 '],[' 3104 '],[' 3509 '],[' 4 '],[' 4 ']
Solving...,TA53, , , , ,[' 643'],[' 330'],"[' 185.449s (Solving', ' 184.20s 1st Model', ' 0.50s Unsat', ' 31.15s)']",[' 184.891s'], ,[' 17360941'],"[' 12168717 (Analyzed', ' 12134364)']","[' 24782    (Average', ' 489.64 Last', ' 94675)']",[' 1278.2  '],"[' 330      (Average Length', ' 227.28 Splits', ' 0)']","[' 12134364 (Deleted', ' 11961489)']","[' 30       (Ratio', '   0.00%)']","[' 1312     (Ratio', '   0.01%)']","[' 12134364 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12134364 (Average', '  1.38 Max', ' 1880 Sum', ' 16739472)']","[' 12134003 (Average', '  1.37 Max', ' 1780 Sum', ' 16660834 Ratio', '  99.53%)']","[' 361      (Average', ' 217.83 Max', ' 316 Sum', '  78638 Ratio', '   0.47%)']", ,[' 61432   '],[' 2248    '],[' 56727   '],[' 19161   '],"[' 50191    (Atom=Atom', ' 14682 Body=Body', ' 9011 Other', ' 26498)']",[' Yes'],"[' 3129     (Eliminated', '    0 Frozen', ' 3129)']","[' 196      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.219354'],[' 0'], ,[' 108.544'],[' 0'],[' 2.39165'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.57631e+07'],[' 1.86905e+07'],[' 0'],[' 7.13328e+09'],[' 0'],[' 0'],[' 472 '],[' 1025 '],[' 1298 '],[' 1709 '],[' 2126 '],[' 2601 '],[' 2932 '],[' 3417 '],[' 2 '],[' 6 ']
Solving...,TA54, , , , ,[' 703'],[' 360'],"[' 327.719s (Solving', ' 326.37s 1st Model', ' 0.64s Unsat', ' 24.13s)']",[' 326.516s'], ,[' 29020175'],"[' 21016418 (Analyzed', ' 21003995)']","[' 42550    (Average', ' 493.63 Last', ' 60551)']",[' 1264.6  '],"[' 360      (Average Length', ' 235.34 Splits', ' 0)']","[' 21003995 (Deleted', ' 20718586)']","[' 18       (Ratio', '   0.00%)']","[' 1764     (Ratio', '   0.01%)']","[' 21003995 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21003995 (Average', '  1.34 Max', ' 1848 Sum', ' 28140850)']","[' 21003625 (Average', '  1.34 Max', ' 1668 Sum', ' 28052896 Ratio', '  99.69%)']","[' 370      (Average', ' 237.71 Max', ' 355 Sum', '  87954 Ratio', '   0.31%)']", ,[' 62108   '],[' 2288    '],[' 57291   '],[' 19517   '],"[' 50967    (Atom=Atom', ' 14872 Body=Body', ' 9131 Other', ' 26964)']",[' Yes'],"[' 3196     (Eliminated', '    0 Frozen', ' 3196)']","[' 217      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.242241'],[' 0'], ,[' 196.747'],[' 0'],[' 4.38546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.37264e+07'],[' 2.63832e+07'],[' 0'],[' 1.24259e+10'],[' 0'],[' 0'],[' 533 '],[' 997 '],[' 1346 '],[' 1831 '],[' 2080 '],[' 2313 '],[' 3091 '],[' 3387 '],[' 4 '],[' 4 ']
Solving...,TA55, , , , ,[' 447'],[' 232'],"[' 378.695s (Solving', ' 377.59s 1st Model', ' 0.47s Unsat', ' 0.96s)']",[' 377.313s'], ,[' 34074476'],"[' 23564740 (Analyzed', ' 23554138)']","[' 46591    (Average', ' 505.55 Last', ' 158063)']",[' 1292.1  '],"[' 232      (Average Length', ' 181.97 Splits', ' 0)']","[' 23554138 (Deleted', ' 23273429)']","[' 12       (Ratio', '   0.00%)']","[' 2378     (Ratio', '   0.01%)']","[' 23554138 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23554138 (Average', '  1.41 Max', ' 1810 Sum', ' 33183327)']","[' 23553717 (Average', '  1.41 Max', ' 1628 Sum', ' 33111553 Ratio', '  99.78%)']","[' 421      (Average', ' 170.48 Max', ' 247 Sum', '  71774 Ratio', '   0.22%)']", ,[' 61303   '],[' 2273    '],[' 56584   '],[' 18993   '],"[' 50311    (Atom=Atom', ' 14684 Body=Body', ' 9086 Other', ' 26541)']",[' Yes'],"[' 3059     (Eliminated', '    0 Frozen', ' 3059)']","[' 415      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.184229'],[' 0'], ,[' 235.129'],[' 0'],[' 6.32196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.63013e+07'],[' 3.27429e+07'],[' 0'],[' 1.46864e+10'],[' 0'],[' 0'],[' 682 '],[' 1186 '],[' 1557 '],[' 2047 '],[' 2315 '],[' 2535 '],[' 2935 '],[' 3424 '],[' 5 '],[' 3 ']
Solving...,TA56, , , ,[' 1'],[' 607+'],[' 312'],"[' 331.775s (Solving', ' 330.52s 1st Model', ' 0.51s Unsat', ' 28.50s)']",[' 330.656s'], ,[' 27064324'],"[' 19380123 (Analyzed', ' 19363690)']","[' 38701    (Average', ' 500.34 Last', ' 30959)']",[' 1283.2  '],"[' 312      (Average Length', ' 228.61 Splits', ' 0)']","[' 19363690 (Deleted', ' 19110703)']","[' 8        (Ratio', '   0.00%)']","[' 1799     (Ratio', '   0.01%)']","[' 19363690 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19363690 (Average', '  1.36 Max', ' 1982 Sum', ' 26253645)']","[' 19363221 (Average', '  1.35 Max', ' 1722 Sum', ' 26149249 Ratio', '  99.60%)']","[' 469      (Average', ' 222.59 Max', ' 328 Sum', ' 104396 Ratio', '   0.40%)']", ,[' 61322   '],[' 2351    '],[' 56904   '],[' 19112   '],"[' 51701    (Atom=Atom', ' 15068 Body=Body', ' 9312 Other', ' 27321)']",[' Yes'],"[' 3213     (Eliminated', '    0 Frozen', ' 3213)']","[' 240      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.219424'],[' 0'], ,[' 213.131'],[' 0'],[' 5.42035'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.85471e+07'],[' 2.50057e+07'],[' 0'],[' 1.37435e+10'],[' 0'],[' 0'],[' 788 '],[' 1157 '],[' 1532 '],[' 2296 '],[' 2407 '],[' 2898 '],[' 3076 '],[' 3627 '],[' 4 '],[' 4 ']
Solving...,TA57, , , , ,[' 595'],[' 306'],"[' 347.255s (Solving', ' 345.93s 1st Model', ' 0.60s Unsat', ' 44.11s)']",[' 346.547s'], ,[' 29007914'],"[' 20089876 (Analyzed', ' 20064189)']","[' 39448    (Average', ' 508.62 Last', ' 231645)']",[' 1283.6  '],"[' 306      (Average Length', ' 216.40 Splits', ' 0)']","[' 20064189 (Deleted', ' 19817638)']","[' 21       (Ratio', '   0.00%)']","[' 2322     (Ratio', '   0.01%)']","[' 20064189 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20064189 (Average', '  1.41 Max', ' 1750 Sum', ' 28224145)']","[' 20063790 (Average', '  1.40 Max', ' 1665 Sum', ' 28141544 Ratio', '  99.71%)']","[' 399      (Average', ' 207.02 Max', ' 303 Sum', '  82601 Ratio', '   0.29%)']", ,[' 61588   '],[' 2275    '],[' 56890   '],[' 19180   '],"[' 50581    (Atom=Atom', ' 14766 Body=Body', ' 9092 Other', ' 26723)']",[' Yes'],"[' 3135     (Eliminated', '    0 Frozen', ' 3135)']","[' 406      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.236885'],[' 0'], ,[' 218.54'],[' 0'],[' 5.30937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.66936e+07'],[' 3.09563e+07'],[' 0'],[' 1.42049e+10'],[' 0'],[' 0'],[' 522 '],[' 1233 '],[' 1582 '],[' 2009 '],[' 2378 '],[' 2722 '],[' 3149 '],[' 3497 '],[' 4 '],[' 4 ']
Solving...,TA58, , , , ,[' 691'],[' 354'],"[' 209.130s (Solving', ' 207.72s 1st Model', ' 0.64s Unsat', ' 54.23s)']",[' 208.609s'], ,[' 17225950'],"[' 12406184 (Analyzed', ' 12389523)']","[' 26197    (Average', ' 472.94 Last', ' 17050)']",[' 1396.4  '],"[' 354      (Average Length', ' 236.08 Splits', ' 0)']","[' 12389523 (Deleted', ' 12200785)']","[' 25       (Ratio', '   0.00%)']","[' 1231     (Ratio', '   0.01%)']","[' 12389523 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12389523 (Average', '  1.34 Max', ' 2146 Sum', ' 16566615)']","[' 12389230 (Average', '  1.33 Max', ' 1882 Sum', ' 16503369 Ratio', '  99.62%)']","[' 293      (Average', ' 215.86 Max', ' 346 Sum', '  63246 Ratio', '   0.38%)']", ,[' 61933   '],[' 2287    '],[' 57158   '],[' 19457   '],"[' 50876    (Atom=Atom', ' 14862 Body=Body', ' 9128 Other', ' 26886)']",[' Yes'],"[' 3193     (Eliminated', '    0 Frozen', ' 3193)']","[' 125      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.249267'],[' 0'], ,[' 124.637'],[' 0'],[' 2.2007'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.41416e+07'],[' 1.61433e+07'],[' 0'],[' 7.86501e+09'],[' 0'],[' 0'],[' 555 '],[' 915 '],[' 1481 '],[' 1832 '],[' 2086 '],[' 2646 '],[' 3203 '],[' 3515 '],[' 2 '],[' 6 ']
Solving...,TA59, , , ,[' 1'],[' 675+'],[' 346'],"[' 407.159s (Solving', ' 405.71s 1st Model', ' 0.64s Unsat', ' 103.81s)']",[' 405.969s'], ,[' 31811011'],"[' 21984727 (Analyzed', ' 21976631)']","[' 44373    (Average', ' 495.27 Last', ' 104851)']",[' 1333.7  '],"[' 346      (Average Length', ' 233.45 Splits', ' 0)']","[' 21976631 (Deleted', ' 21673014)']","[' 5        (Ratio', '   0.00%)']","[' 2592     (Ratio', '   0.01%)']","[' 21976631 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21976631 (Average', '  1.41 Max', ' 1779 Sum', ' 30925337)']","[' 21976245 (Average', '  1.40 Max', ' 1666 Sum', ' 30844999 Ratio', '  99.74%)']","[' 386      (Average', ' 208.13 Max', ' 308 Sum', '  80338 Ratio', '   0.26%)']", ,[' 61667   '],[' 2287    '],[' 57023   '],[' 19263   '],"[' 50844    (Atom=Atom', ' 14854 Body=Body', ' 9128 Other', ' 26862)']",[' Yes'],"[' 3186     (Eliminated', '    0 Frozen', ' 3186)']","[' 367      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.268167'],[' 0'], ,[' 262.508'],[' 0'],[' 6.74791'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.44344e+07'],[' 3.48492e+07'],[' 0'],[' 1.64984e+10'],[' 0'],[' 0'],[' 507 '],[' 1036 '],[' 1460 '],[' 1879 '],[' 2202 '],[' 2496 '],[' 2845 '],[' 3343 '],[' 4 '],[' 4 ']
Solving...,TA60, , , , ,[' 661'],[' 339'],"[' 309.896s (Solving', ' 308.42s 1st Model', ' 0.71s Unsat', ' 5.66s)']",[' 309.359s'], ,[' 27151678'],"[' 19166264 (Analyzed', ' 19153132)']","[' 37700    (Average', ' 508.04 Last', ' 15901)']",[' 1397.1  '],"[' 339      (Average Length', ' 228.92 Splits', ' 0)']","[' 19153132 (Deleted', ' 18900124)']","[' 16       (Ratio', '   0.00%)']","[' 2045     (Ratio', '   0.01%)']","[' 19153132 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19153132 (Average', '  1.37 Max', ' 1957 Sum', ' 26327495)']","[' 19152766 (Average', '  1.37 Max', ' 1957 Sum', ' 26252387 Ratio', '  99.71%)']","[' 366      (Average', ' 205.21 Max', ' 317 Sum', '  75108 Ratio', '   0.29%)']", ,[' 62110   '],[' 2342    '],[' 57417   '],[' 19527   '],"[' 51682    (Atom=Atom', ' 15067 Body=Body', ' 9293 Other', ' 27322)']",[' Yes'],"[' 3236     (Eliminated', '    0 Frozen', ' 3236)']","[' 239      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.26349'],[' 0'], ,[' 183.94'],[' 0'],[' 4.16123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.085e+07'],[' 2.79327e+07'],[' 0'],[' 1.11193e+10'],[' 0'],[' 0'],[' 576 '],[' 1014 '],[' 1378 '],[' 1759 '],[' 2291 '],[' 2420 '],[' 2956 '],[' 3392 '],[' 4 '],[' 4 ']
