Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 2407+'],[' 1214'],"[' 1004.322s (Solving', ' 992.64s 1st Model', ' 10.48s Unsat', ' 0.00s)']",[' 997.344s'], ,[' 79160005'],"[' 28661940 (Analyzed', ' 28545956)']","[' 57279    (Average', ' 498.37 Last', ' 117535)']",[' 4455.4  '],"[' 1214     (Average Length', ' 717.10 Splits', ' 0)']","[' 28545956 (Deleted', ' 28209189)']","[' 10       (Ratio', '   0.00%)']","[' 7483     (Ratio', '   0.03%)']","[' 28545956 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28545956 (Average', '  2.62 Max', ' 7413 Sum', ' 74913003)']","[' 28544126 (Average', '  2.57 Max', ' 7413 Sum', ' 73426854 Ratio', '  98.02%)']","[' 1830     (Average', ' 812.10 Max', ' 1099 Sum', ' 1486149 Ratio', '   1.98%)']", ,[' 256840  '],[' 9967    '],[' 236685  '],[' 75284   '],"[' 196253   (Atom=Atom', ' 55689 Body=Body', ' 35881 Other', ' 104683)']",[' Yes'],"[' 12709    (Eliminated', '    0 Frozen', ' 12709)']","[' 1282     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.19613'],[' 0'], ,[' 749.818'],[' 0'],[' 15.153'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61079e+08'],[' 8.89589e+07'],[' 0'],[' 4.44288e+10'],[' 0'],[' 0'],[' 949 '],[' 1871 '],[' 2559 '],[' 3283 '],[' 3644 '],[' 4302 '],[' 4857 '],[' 5425 '],[' 5876 '],[' 6315 '],[' 10 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 2977+'],[' 1499'],"[' 1004.842s (Solving', ' 990.55s 1st Model', ' 11.96s Unsat', ' 0.00s)']",[' 999.141s'], ,[' 72823310'],"[' 27055208 (Analyzed', ' 26899310)']","[' 53902    (Average', ' 499.04 Last', ' 221154)']",[' 4823.9  '],"[' 1499     (Average Length', ' 860.66 Splits', ' 0)']","[' 26899310 (Deleted', ' 26572457)']","[' 8        (Ratio', '   0.00%)']","[' 6537     (Ratio', '   0.02%)']","[' 26899310 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26899310 (Average', '  2.50 Max', ' 8646 Sum', ' 67289637)']","[' 26897632 (Average', '  2.45 Max', ' 7363 Sum', ' 65776447 Ratio', '  97.75%)']","[' 1678     (Average', ' 901.78 Max', ' 1326 Sum', ' 1513190 Ratio', '   2.25%)']", ,[' 256595  '],[' 9720    '],[' 236279  '],[' 75192   '],"[' 193144   (Atom=Atom', ' 54986 Body=Body', ' 35140 Other', ' 103018)']",[' Yes'],"[' 12723    (Eliminated', '    0 Frozen', ' 12723)']","[' 1127     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.83861'],[' 0'], ,[' 739.734'],[' 0'],[' 15.6996'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50855e+08'],[' 8.26793e+07'],[' 0'],[' 4.46385e+10'],[' 0'],[' 0'],[' 886 '],[' 1509 '],[' 2303 '],[' 2563 '],[' 3397 '],[' 3755 '],[' 4357 '],[' 4862 '],[' 5448 '],[' 5914 '],[' 10 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 2101+'],[' 1061'],"[' 1004.176s (Solving', ' 992.80s 1st Model', ' 9.99s Unsat', ' 0.00s)']",[' 997.188s'], ,[' 86872178'],"[' 30441433 (Analyzed', ' 30351251)']","[' 59307    (Average', ' 511.77 Last', ' 60870)']",[' 4795.3  '],"[' 1061     (Average Length', ' 649.30 Splits', ' 0)']","[' 30351251 (Deleted', ' 30023669)']","[' 15       (Ratio', '   0.00%)']","[' 9329     (Ratio', '   0.03%)']","[' 30351251 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30351251 (Average', '  2.72 Max', ' 7359 Sum', ' 82463388)']","[' 30349335 (Average', '  2.67 Max', ' 7359 Sum', ' 81173048 Ratio', '  98.44%)']","[' 1916     (Average', ' 673.46 Max', ' 971 Sum', ' 1290340 Ratio', '   1.56%)']", ,[' 255845  '],[' 9987    '],[' 235872  '],[' 74856   '],"[' 195845   (Atom=Atom', ' 55616 Body=Body', ' 35941 Other', ' 104288)']",[' Yes'],"[' 12599    (Eliminated', '    0 Frozen', ' 12599)']","[' 1799     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17412'],[' 0'], ,[' 749.997'],[' 0'],[' 15.57'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7704e+08'],[' 9.87961e+07'],[' 0'],[' 4.73634e+10'],[' 0'],[' 0'],[' 1247 '],[' 1958 '],[' 2826 '],[' 3094 '],[' 3660 '],[' 4288 '],[' 4816 '],[' 5236 '],[' 6019 '],[' 6437 '],[' 10 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 2103+'],[' 1062'],"[' 1004.669s (Solving', ' 993.22s 1st Model', ' 8.74s Unsat', ' 0.00s)']",[' 998.344s'], ,[' 82481590'],"[' 27276365 (Analyzed', ' 27185784)']","[' 52898    (Average', ' 513.93 Last', ' 272207)']",[' 4294.8  '],"[' 1062     (Average Length', ' 653.15 Splits', ' 0)']","[' 27185784 (Deleted', ' 26886929)']","[' 9        (Ratio', '   0.00%)']","[' 8831     (Ratio', '   0.03%)']","[' 27185784 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27185784 (Average', '  2.90 Max', ' 7052 Sum', ' 78967519)']","[' 27183791 (Average', '  2.85 Max', ' 7052 Sum', ' 77486006 Ratio', '  98.12%)']","[' 1993     (Average', ' 743.36 Max', ' 1049 Sum', ' 1481513 Ratio', '   1.88%)']", ,[' 257730  '],[' 9909    '],[' 236696  '],[' 75815   '],"[' 194709   (Atom=Atom', ' 55305 Body=Body', ' 35707 Other', ' 103697)']",[' Yes'],"[' 12510    (Eliminated', '    0 Frozen', ' 12510)']","[' 1700     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.0489'],[' 0'], ,[' 741.065'],[' 0'],[' 15.0673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66457e+08'],[' 9.76698e+07'],[' 0'],[' 4.23299e+10'],[' 0'],[' 0'],[' 934 '],[' 1716 '],[' 2103 '],[' 2855 '],[' 3577 '],[' 4107 '],[' 4731 '],[' 5117 '],[' 5809 '],[' 6093 '],[' 10 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 2097+'],[' 1059'],"[' 1003.918s (Solving', ' 994.14s 1st Model', ' 7.29s Unsat', ' 0.00s)']",[' 1000.719s'], ,[' 96508619'],"[' 31212536 (Analyzed', ' 31138393)']","[' 58873    (Average', ' 528.91 Last', ' 203029)']",[' 4077.5  '],"[' 1059     (Average Length', ' 636.29 Splits', ' 0)']","[' 31138393 (Deleted', ' 30820030)']","[' 30       (Ratio', '   0.00%)']","[' 9978     (Ratio', '   0.03%)']","[' 31138393 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31138393 (Average', '  2.99 Max', ' 7193 Sum', ' 92967458)']","[' 31136516 (Average', '  2.94 Max', ' 7193 Sum', ' 91539737 Ratio', '  98.46%)']","[' 1877     (Average', ' 760.64 Max', ' 1049 Sum', ' 1427721 Ratio', '   1.54%)']", ,[' 257481  '],[' 10027   '],[' 236804  '],[' 75833   '],"[' 196587   (Atom=Atom', ' 55774 Body=Body', ' 36061 Other', ' 104752)']",[' Yes'],"[' 12636    (Eliminated', '    0 Frozen', ' 12636)']","[' 1969     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76281'],[' 0'], ,[' 746.93'],[' 0'],[' 15.0396'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92589e+08'],[' 1.12671e+08'],[' 0'],[' 4.90833e+10'],[' 0'],[' 0'],[' 911 '],[' 1865 '],[' 2575 '],[' 2841 '],[' 3879 '],[' 4314 '],[' 4647 '],[' 5429 '],[' 6217 '],[' 6787 '],[' 10 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 2139+'],[' 1080'],"[' 904.741s (Solving', ' 894.92s 1st Model', ' 7.41s Unsat', ' 0.00s)']",[' 901.203s'], ,[' 82500067'],"[' 30719324 (Analyzed', ' 30634687)']","[' 57863    (Average', ' 529.43 Last', ' 571848)']",[' 4638.8  '],"[' 1079     (Average Length', ' 649.95 Splits', ' 0)']","[' 30634687 (Deleted', ' 30310585)']","[' 9        (Ratio', '   0.00%)']","[' 7909     (Ratio', '   0.03%)']","[' 30634687 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30634687 (Average', '  2.55 Max', ' 7281 Sum', ' 78191428)']","[' 30632948 (Average', '  2.51 Max', ' 7281 Sum', ' 76957495 Ratio', '  98.42%)']","[' 1739     (Average', ' 709.56 Max', ' 995 Sum', ' 1233933 Ratio', '   1.58%)']", ,[' 256111  '],[' 9761    '],[' 235374  '],[' 74875   '],"[' 192622   (Atom=Atom', ' 54731 Body=Body', ' 35263 Other', ' 102628)']",[' Yes'],"[' 12386    (Eliminated', '    0 Frozen', ' 12386)']","[' 1423     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.87171'],[' 0'], ,[' 676.669'],[' 0'],[' 11.6536'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72187e+08'],[' 9.54418e+07'],[' 0'],[' 4.48173e+10'],[' 0'],[' 0'],[' 912 '],[' 1634 '],[' 2549 '],[' 3563 '],[' 3556 '],[' 4006 '],[' 4551 '],[' 5252 '],[' 5729 '],[' 6238 '],[' 10 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 2467+'],[' 1244'],"[' 1003.952s (Solving', ' 992.63s 1st Model', ' 9.37s Unsat', ' 0.00s)']",[' 1001.375s'], ,[' 96642283'],"[' 34596224 (Analyzed', ' 34454144)']","[' 66504    (Average', ' 518.08 Last', ' 153523)']",[' 4880.7  '],"[' 1244     (Average Length', ' 751.60 Splits', ' 0)']","[' 34454144 (Deleted', ' 34073540)']","[' 8        (Ratio', '   0.00%)']","[' 8516     (Ratio', '   0.02%)']","[' 34454144 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34454144 (Average', '  2.66 Max', ' 8514 Sum', ' 91480394)']","[' 34452288 (Average', '  2.61 Max', ' 7469 Sum', ' 90088898 Ratio', '  98.48%)']","[' 1856     (Average', ' 749.73 Max', ' 1181 Sum', ' 1391496 Ratio', '   1.52%)']", ,[' 256874  '],[' 10057   '],[' 236945  '],[' 75476   '],"[' 197468   (Atom=Atom', ' 56079 Body=Body', ' 36151 Other', ' 105238)']",[' Yes'],"[' 12847    (Eliminated', '    0 Frozen', ' 12847)']","[' 1682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15394'],[' 0'], ,[' 739.3'],[' 0'],[' 14.9033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96644e+08'],[' 1.08527e+08'],[' 0'],[' 5.10711e+10'],[' 0'],[' 0'],[' 1221 '],[' 1741 '],[' 2569 '],[' 3054 '],[' 3461 '],[' 4003 '],[' 4755 '],[' 5102 '],[' 5739 '],[' 6183 '],[' 10 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 2445+'],[' 1233'],"[' 1003.778s (Solving', ' 993.63s 1st Model', ' 8.08s Unsat', ' 0.00s)']",[' 1000.672s'], ,[' 83113458'],"[' 35046058 (Analyzed', ' 34934478)']","[' 68887    (Average', ' 507.13 Last', ' 243094)']",[' 4358.2  '],"[' 1233     (Average Length', ' 733.44 Splits', ' 0)']","[' 34934478 (Deleted', ' 34522211)']","[' 12       (Ratio', '   0.00%)']","[' 6075     (Ratio', '   0.02%)']","[' 34934478 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34934478 (Average', '  2.26 Max', ' 8539 Sum', ' 78852713)']","[' 34932727 (Average', '  2.21 Max', ' 7446 Sum', ' 77339012 Ratio', '  98.08%)']","[' 1751     (Average', ' 864.48 Max', ' 1206 Sum', ' 1513701 Ratio', '   1.92%)']", ,[' 257613  '],[' 9867    '],[' 236883  '],[' 75740   '],"[' 194615   (Atom=Atom', ' 55308 Body=Body', ' 35581 Other', ' 103726)']",[' Yes'],"[' 12639    (Eliminated', '    0 Frozen', ' 12639)']","[' 1125     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.84876'],[' 0'], ,[' 751.491'],[' 0'],[' 13.8575'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72382e+08'],[' 8.75716e+07'],[' 0'],[' 5.10548e+10'],[' 0'],[' 0'],[' 938 '],[' 1471 '],[' 2236 '],[' 2787 '],[' 3297 '],[' 3980 '],[' 4537 '],[' 5130 '],[' 5910 '],[' 6288 '],[' 10 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 2473+'],[' 1247'],"[' 1023.975s (Solving', ' 992.86s 1st Model', ' 9.28s Unsat', ' 0.00s)']",[' 1001.297s'], ,[' 88911548'],"[' 33444058 (Analyzed', ' 33345483)']","[' 64226    (Average', ' 519.19 Last', ' 125412)']",[' 4774.4  '],"[' 1247     (Average Length', ' 741.43 Splits', ' 0)']","[' 33345483 (Deleted', ' 33000750)']","[' 7        (Ratio', '   0.00%)']","[' 7488     (Ratio', '   0.02%)']","[' 33345483 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33345483 (Average', '  2.52 Max', ' 7741 Sum', ' 84022491)']","[' 33343677 (Average', '  2.48 Max', ' 7377 Sum', ' 82614678 Ratio', '  98.32%)']","[' 1806     (Average', ' 779.52 Max', ' 1141 Sum', ' 1407813 Ratio', '   1.68%)']", ,[' 258408  '],[' 9884    '],[' 237412  '],[' 76133   '],"[' 194915   (Atom=Atom', ' 55390 Body=Body', ' 35632 Other', ' 103893)']",[' Yes'],"[' 12668    (Eliminated', '    0 Frozen', ' 12668)']","[' 1404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.09989'],[' 0'], ,[' 752.988'],[' 0'],[' 15.414'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84646e+08'],[' 1.01771e+08'],[' 0'],[' 5.2024e+10'],[' 0'],[' 0'],[' 808 '],[' 1595 '],[' 2136 '],[' 2731 '],[' 3222 '],[' 3760 '],[' 4442 '],[' 4866 '],[' 5523 '],[' 6027 '],[' 10 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 2211+'],[' 1116'],"[' 1003.678s (Solving', ' 993.66s 1st Model', ' 7.64s Unsat', ' 0.00s)']",[' 1001.859s'], ,[' 83555495'],"[' 32583788 (Analyzed', ' 32489104)']","[' 62552    (Average', ' 519.39 Last', ' 49025)']",[' 4536.0  '],"[' 1116     (Average Length', ' 689.32 Splits', ' 0)']","[' 32489104 (Deleted', ' 32136324)']","[' 12       (Ratio', '   0.00%)']","[' 7990     (Ratio', '   0.02%)']","[' 32489104 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32489104 (Average', '  2.44 Max', ' 7224 Sum', ' 79400703)']","[' 32487227 (Average', '  2.40 Max', ' 7182 Sum', ' 78031861 Ratio', '  98.28%)']","[' 1877     (Average', ' 729.27 Max', ' 2148 Sum', ' 1368842 Ratio', '   1.72%)']", ,[' 255433  '],[' 9832    '],[' 235345  '],[' 74463   '],"[' 193790   (Atom=Atom', ' 55051 Body=Body', ' 35476 Other', ' 103263)']",[' Yes'],"[' 12492    (Eliminated', '    0 Frozen', ' 12492)']","[' 1541     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.89006'],[' 0'], ,[' 762.069'],[' 0'],[' 15.3446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74351e+08'],[' 9.48624e+07'],[' 0'],[' 5.2779e+10'],[' 0'],[' 0'],[' 1084 '],[' 1782 '],[' 2456 '],[' 2898 '],[' 3358 '],[' 3885 '],[' 4366 '],[' 5019 '],[' 5542 '],[' 6184 '],[' 10 '],[' 0 ']
