Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1563'],[' 789'],"[' 864.379s (Solving', ' 859.32s 1st Model', ' 2.56s Unsat', ' 2.02s)']",[' 863.266s'], ,[' 40174933'],"[' 24598355 (Analyzed', ' 24530846)']","[' 47250    (Average', ' 519.17 Last', ' 137338)']",[' 2139.4  '],"[' 789      (Average Length', ' 378.25 Splits', ' 0)']","[' 24530846 (Deleted', ' 24180766)']","[' 16       (Ratio', '   0.00%)']","[' 2602     (Ratio', '   0.01%)']","[' 24530846 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24530846 (Average', '  1.56 Max', ' 2820 Sum', ' 38165506)']","[' 24530433 (Average', '  1.55 Max', ' 2820 Sum', ' 38016880 Ratio', '  99.61%)']","[' 413      (Average', ' 359.87 Max', ' 607 Sum', ' 148626 Ratio', '   0.39%)']", ,[' 101017  '],[' 4515    '],[' 100769  '],[' 57143   '],"[' 171425   (Atom=Atom', ' 53626 Body=Body', ' 29965 Other', ' 87834)']",[' Yes'],"[' 5267     (Eliminated', '    0 Frozen', ' 5267)']","[' 499      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24436'],[' 0'], ,[' 712.669'],[' 0'],[' 12.6867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16854e+08'],[' 6.12081e+07'],[' 0'],[' 9.41363e+10'],[' 0'],[' 0'],[' 666 '],[' 1251 '],[' 2022 '],[' 2659 '],[' 3275 '],[' 3788 '],[' 4396 '],[' 6 '],[' 1 ']
Solving...,TA62, , ,[' 1695'],[' 855'],"[' 641.647s (Solving', ' 636.22s 1st Model', ' 4.41s Unsat', ' 59.78s)']",[' 640.859s'], ,[' 37935950'],"[' 21792768 (Analyzed', ' 21745478)']","[' 41046    (Average', ' 529.78 Last', ' 130391)']",[' 2306.7  '],"[' 855      (Average Length', ' 409.23 Splits', ' 0)']","[' 21745478 (Deleted', ' 21451901)']","[' 46       (Ratio', '   0.00%)']","[' 3016     (Ratio', '   0.01%)']","[' 21745478 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21745478 (Average', '  1.64 Max', ' 2965 Sum', ' 35700905)']","[' 21745150 (Average', '  1.64 Max', ' 2965 Sum', ' 35623179 Ratio', '  99.78%)']","[' 328      (Average', ' 236.97 Max', ' 637 Sum', '  77726 Ratio', '   0.22%)']", ,[' 102083  '],[' 4566    '],[' 101895  '],[' 57596   '],"[' 172784   (Atom=Atom', ' 54028 Body=Body', ' 30016 Other', ' 88740)']",[' Yes'],"[' 5378     (Eliminated', '    0 Frozen', ' 5378)']","[' 391      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44181'],[' 0'], ,[' 507.785'],[' 0'],[' 9.69213'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1099e+08'],[' 5.9334e+07'],[' 0'],[' 6.16058e+10'],[' 0'],[' 0'],[' 751 '],[' 1493 '],[' 2074 '],[' 2579 '],[' 3178 '],[' 3707 '],[' 4267 '],[' 4 '],[' 3 ']
Solving...,TA63, , ,[' 1817'],[' 916'],"[' 442.732s (Solving', ' 436.38s 1st Model', ' 4.01s Unsat', ' 0.67s)']",[' 441.344s'], ,[' 30196834'],"[' 15532447 (Analyzed', ' 15474491)']","[' 28030    (Average', ' 552.07 Last', ' 142818)']",[' 2357.5  '],"[' 916      (Average Length', ' 433.38 Splits', ' 0)']","[' 15474491 (Deleted', ' 15250120)']","[' 79       (Ratio', '   0.00%)']","[' 1871     (Ratio', '   0.01%)']","[' 15474491 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15474491 (Average', '  1.81 Max', ' 2970 Sum', ' 28011712)']","[' 15474171 (Average', '  1.80 Max', ' 2970 Sum', ' 27929713 Ratio', '  99.71%)']","[' 320      (Average', ' 256.25 Max', ' 659 Sum', '  81999 Ratio', '   0.29%)']", ,[' 100612  '],[' 4422    '],[' 100476  '],[' 56893   '],"[' 170675   (Atom=Atom', ' 53469 Body=Body', ' 29872 Other', ' 87334)']",[' Yes'],"[' 5286     (Eliminated', '    0 Frozen', ' 5286)']","[' 264      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6715'],[' 0'], ,[' 339.463'],[' 0'],[' 6.21166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.09483e+07'],[' 5.56158e+07'],[' 0'],[' 4.34984e+10'],[' 0'],[' 0'],[' 833 '],[' 1314 '],[' 1775 '],[' 2393 '],[' 2856 '],[' 3485 '],[' 3979 '],[' 3 '],[' 4 ']
Solving...,TA64, ,[' 1'],[' 1525+'],[' 770'],"[' 860.734s (Solving', ' 855.35s 1st Model', ' 2.71s Unsat', ' 0.60s)']",[' 858.250s'], ,[' 39039112'],"[' 22547045 (Analyzed', ' 22486858)']","[' 42884    (Average', ' 524.36 Last', ' 41037)']",[' 2197.6  '],"[' 770      (Average Length', ' 366.49 Splits', ' 0)']","[' 22486858 (Deleted', ' 22185977)']","[' 20       (Ratio', '   0.00%)']","[' 3031     (Ratio', '   0.01%)']","[' 22486858 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22486858 (Average', '  1.65 Max', ' 2980 Sum', ' 37011926)']","[' 22486601 (Average', '  1.64 Max', ' 2980 Sum', ' 36931013 Ratio', '  99.78%)']","[' 257      (Average', ' 314.84 Max', ' 548 Sum', '  80913 Ratio', '   0.22%)']", ,[' 101382  '],[' 4505    '],[' 101113  '],[' 57334   '],"[' 171998   (Atom=Atom', ' 53827 Body=Body', ' 29955 Other', ' 88216)']",[' Yes'],"[' 5236     (Eliminated', '    0 Frozen', ' 5236)']","[' 455      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32631'],[' 0'], ,[' 707.699'],[' 0'],[' 11.7031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16095e+08'],[' 6.35465e+07'],[' 0'],[' 9.47331e+10'],[' 0'],[' 0'],[' 731 '],[' 1342 '],[' 1756 '],[' 2373 '],[' 3008 '],[' 3836 '],[' 4346 '],[' 6 '],[' 1 ']
Solving...,TA65, , ,[' 1583'],[' 799'],"[' 582.235s (Solving', ' 576.82s 1st Model', ' 2.61s Unsat', ' 2.48s)']",[' 580.047s'], ,[' 21852185'],"[' 13650991 (Analyzed', ' 13510069)']","[' 28346    (Average', ' 476.61 Last', ' 9554)']",[' 2309.6  '],"[' 799      (Average Length', ' 389.44 Splits', ' 0)']","[' 13510069 (Deleted', ' 13307688)']","[' 32       (Ratio', '   0.00%)']","[' 1861     (Ratio', '   0.01%)']","[' 13510069 (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13510069 (Average', '  1.47 Max', ' 3050 Sum', ' 19918271)']","[' 13509866 (Average', '  1.47 Max', ' 3050 Sum', ' 19844647 Ratio', '  99.63%)']","[' 203      (Average', ' 362.68 Max', ' 600 Sum', '  73624 Ratio', '   0.37%)']", ,[' 101001  '],[' 4465    '],[' 100771  '],[' 57629   '],"[' 172883   (Atom=Atom', ' 54162 Body=Body', ' 29915 Other', ' 88806)']",[' Yes'],"[' 5235     (Eliminated', '    0 Frozen', ' 5235)']","[' 274      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.31092'],[' 0'], ,[' 488.304'],[' 0'],[' 7.90163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.12496e+07'],[' 3.98087e+07'],[' 0'],[' 6.44421e+10'],[' 0'],[' 0'],[' 592 '],[' 1170 '],[' 1864 '],[' 2335 '],[' 2944 '],[' 3651 '],[' 4175 '],[' 4 '],[' 3 ']
Solving...,TA66, , ,[' 1643'],[' 829'],"[' 514.550s (Solving', ' 509.28s 1st Model', ' 3.22s Unsat', ' 77.31s)']",[' 513.109s'], ,[' 23346835'],"[' 15311739 (Analyzed', ' 15243056)']","[' 32299    (Average', ' 471.94 Last', ' 57797)']",[' 2150.4  '],"[' 829      (Average Length', ' 391.57 Splits', ' 0)']","[' 15243056 (Deleted', ' 15004164)']","[' 54       (Ratio', '   0.00%)']","[' 2338     (Ratio', '   0.02%)']","[' 15243056 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15243056 (Average', '  1.41 Max', ' 3060 Sum', ' 21497774)']","[' 15242841 (Average', '  1.41 Max', ' 3060 Sum', ' 21438708 Ratio', '  99.73%)']","[' 215      (Average', ' 274.73 Max', ' 647 Sum', '  59066 Ratio', '   0.27%)']", ,[' 101433  '],[' 4506    '],[' 101217  '],[' 57696   '],"[' 173084   (Atom=Atom', ' 54188 Body=Body', ' 29956 Other', ' 88940)']",[' Yes'],"[' 5290     (Eliminated', '    0 Frozen', ' 5290)']","[' 198      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23995'],[' 0'], ,[' 410.071'],[' 0'],[' 6.16419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.49945e+07'],[' 3.97432e+07'],[' 0'],[' 5.9181e+10'],[' 0'],[' 0'],[' 675 '],[' 1103 '],[' 1616 '],[' 2163 '],[' 2866 '],[' 3488 '],[' 4164 '],[' 3 '],[' 4 ']
Solving...,TA67, , ,[' 1575'],[' 795'],"[' 863.616s (Solving', ' 858.54s 1st Model', ' 2.48s Unsat', ' 0.43s)']",[' 862.281s'], ,[' 36147805'],"[' 23929118 (Analyzed', ' 23861919)']","[' 46209    (Average', ' 516.39 Last', ' 189682)']",[' 2234.7  '],"[' 795      (Average Length', ' 383.87 Splits', ' 0)']","[' 23861919 (Deleted', ' 23533482)']","[' 25       (Ratio', '   0.00%)']","[' 2261     (Ratio', '   0.01%)']","[' 23861919 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23861919 (Average', '  1.43 Max', ' 2839 Sum', ' 34036735)']","[' 23861585 (Average', '  1.42 Max', ' 2839 Sum', ' 33932445 Ratio', '  99.69%)']","[' 334      (Average', ' 312.25 Max', ' 582 Sum', ' 104290 Ratio', '   0.31%)']", ,[' 100556  '],[' 4421    '],[' 100318  '],[' 56415   '],"[' 169241   (Atom=Atom', ' 52992 Body=Body', ' 29871 Other', ' 86378)']",[' Yes'],"[' 5183     (Eliminated', '    0 Frozen', ' 5183)']","[' 409      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33749'],[' 0'], ,[' 716.616'],[' 0'],[' 12.9647'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05722e+08'],[' 5.10272e+07'],[' 0'],[' 9.59223e+10'],[' 0'],[' 0'],[' 719 '],[' 1281 '],[' 1831 '],[' 2502 '],[' 3022 '],[' 3698 '],[' 4180 '],[' 6 '],[' 1 ']
Solving...,TA68, ,[' 1'],[' 1515+'],[' 765'],"[' 694.771s (Solving', ' 690.07s 1st Model', ' 2.43s Unsat', ' 260.63s)']",[' 693.469s'], ,[' 30309015'],"[' 18840113 (Analyzed', ' 18790599)']","[' 35756    (Average', ' 525.52 Last', ' 51923)']",[' 2203.5  '],"[' 765      (Average Length', ' 375.76 Splits', ' 0)']","[' 18790599 (Deleted', ' 18527699)']","[' 45       (Ratio', '   0.00%)']","[' 2388     (Ratio', '   0.01%)']","[' 18790599 (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18790599 (Average', '  1.51 Max', ' 3049 Sum', ' 28425948)']","[' 18790439 (Average', '  1.51 Max', ' 3049 Sum', ' 28390178 Ratio', '  99.87%)']","[' 160      (Average', ' 223.56 Max', ' 586 Sum', '  35770 Ratio', '   0.13%)']", ,[' 100389  '],[' 4372    '],[' 100137  '],[' 56734   '],"[' 170198   (Atom=Atom', ' 53360 Body=Body', ' 29822 Other', ' 87016)']",[' Yes'],"[' 5120     (Eliminated', '    0 Frozen', ' 5120)']","[' 244      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.1924'],[' 0'], ,[' 572.168'],[' 0'],[' 9.32655'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.34347e+07'],[' 4.93225e+07'],[' 0'],[' 8.25444e+10'],[' 0'],[' 0'],[' 500 '],[' 1266 '],[' 1808 '],[' 2334 '],[' 2912 '],[' 3523 '],[' 4183 '],[' 3 '],[' 4 ']
Solving...,TA69, , ,[' 1677'],[' 846'],"[' 702.217s (Solving', ' 696.83s 1st Model', ' 3.10s Unsat', ' 122.98s)']",[' 700.609s'], ,[' 25193186'],"[' 17054581 (Analyzed', ' 16996049)']","[' 34928    (Average', ' 486.60 Last', ' 243010)']",[' 2296.0  '],"[' 846      (Average Length', ' 407.00 Splits', ' 0)']","[' 16996049 (Deleted', ' 16722228)']","[' 37       (Ratio', '   0.00%)']","[' 2186     (Ratio', '   0.01%)']","[' 16996049 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16996049 (Average', '  1.36 Max', ' 3019 Sum', ' 23181418)']","[' 16995794 (Average', '  1.36 Max', ' 3019 Sum', ' 23111997 Ratio', '  99.70%)']","[' 255      (Average', ' 272.24 Max', ' 615 Sum', '  69421 Ratio', '   0.30%)']", ,[' 100966  '],[' 4460    '],[' 100777  '],[' 56705   '],"[' 170111   (Atom=Atom', ' 53243 Body=Body', ' 29910 Other', ' 86958)']",[' Yes'],"[' 5271     (Eliminated', '    0 Frozen', ' 5271)']","[' 271      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38145'],[' 0'], ,[' 588.099'],[' 0'],[' 9.83645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.14116e+07'],[' 4.25214e+07'],[' 0'],[' 8.18275e+10'],[' 0'],[' 0'],[' 711 '],[' 1200 '],[' 1931 '],[' 2479 '],[' 3136 '],[' 3746 '],[' 4344 '],[' 4 '],[' 3 ']
Solving...,TA70, ,[' 1'],[' 1543+'],[' 779'],"[' 911.522s (Solving', ' 906.51s 1st Model', ' 2.61s Unsat', ' 192.79s)']",[' 910.438s'], ,[' 40873921'],"[' 24839547 (Analyzed', ' 24790309)']","[' 46604    (Average', ' 531.94 Last', ' 286523)']",[' 2140.5  '],"[' 779      (Average Length', ' 381.98 Splits', ' 0)']","[' 24790309 (Deleted', ' 24453943)']","[' 35       (Ratio', '   0.00%)']","[' 3491     (Ratio', '   0.01%)']","[' 24790309 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24790309 (Average', '  1.57 Max', ' 2882 Sum', ' 38873842)']","[' 24790042 (Average', '  1.57 Max', ' 2882 Sum', ' 38810949 Ratio', '  99.84%)']","[' 267      (Average', ' 235.55 Max', ' 602 Sum', '  62893 Ratio', '   0.16%)']", ,[' 100798  '],[' 4456    '],[' 100558  '],[' 56254   '],"[' 168758   (Atom=Atom', ' 52796 Body=Body', ' 29906 Other', ' 86056)']",[' Yes'],"[' 5216     (Eliminated', '    0 Frozen', ' 5216)']","[' 434      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22894'],[' 0'], ,[' 752.578'],[' 0'],[' 12.1056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21943e+08'],[' 6.4707e+07'],[' 0'],[' 1.03382e+11'],[' 0'],[' 0'],[' 592 '],[' 1171 '],[' 1828 '],[' 2567 '],[' 3090 '],[' 3736 '],[' 4442 '],[' 5 '],[' 2 ']
