Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51_Clus(01), , , , , , , , , ,[' 1'],[' 5879+'],[' 2943'],"[' 604.319s (Solving', ' 587.41s 1st Model', ' 472.08s Unsat', ' 0.00s)']",[' 601.359s'], ,[' 256166654'],"[' 6583939  (Analyzed', ' 5810569)']","[' 17049    (Average', ' 340.82 Last', ' 913679)']",[' 5585.5  '],"[' 2943     (Average Length', ' 1564.96 Splits', ' 0)']","[' 5810569  (Deleted', ' 5752792)']","[' 666      (Ratio', '   0.01%)']","[' 31488    (Ratio', '   0.54%)']","[' 5810569  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5810569  (Average', ' 41.95 Max', ' 5796 Sum', ' 243756059)']","[' 5810163  (Average', ' 41.84 Max', ' 5796 Sum', ' 243096454 Ratio', '  99.73%)']","[' 406      (Average', ' 1624.64 Max', ' 1984 Sum', ' 659605 Ratio', '   0.27%)']", ,[' 112544  '],[' 8578    '],[' 108891  '],[' 58535   '],"[' 165169   (Atom=Atom', ' 43666 Body=Body', ' 30780 Other', ' 90723)']",[' Yes'],"[' 11477    (Eliminated', '    0 Frozen', ' 11477)']","[' 3730     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.28103'],[' 0'], ,[' 256.168'],[' 0'],[' 18.1321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.27284e+08'],[' 7.06261e+08'],[' 0'],[' 9.05558e+09'],[' 0'],[' 0'],[' 1118 '],[' 2175 '],[' 3243 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(02), , , , , , , , , ,[' 1'],[' 5115+'],[' 2561'],"[' 603.763s (Solving', ' 589.11s 1st Model', ' 301.20s Unsat', ' 0.00s)']",[' 599.734s'], ,[' 255775704'],"[' 5685813  (Analyzed', ' 5224839)']","[' 13959    (Average', ' 374.30 Last', ' 414598)']",[' 5259.2  '],"[' 2561     (Average Length', ' 1381.62 Splits', ' 0)']","[' 5224839  (Deleted', ' 5164000)']","[' 606      (Ratio', '   0.01%)']","[' 36680    (Ratio', '   0.70%)']","[' 5224839  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5224839  (Average', ' 47.01 Max', ' 5479 Sum', ' 245641938)']","[' 5224360  (Average', ' 46.89 Max', ' 5479 Sum', ' 244967191 Ratio', '  99.73%)']","[' 479      (Average', ' 1408.66 Max', ' 2139 Sum', ' 674747 Ratio', '   0.27%)']", ,[' 112182  '],[' 8618    '],[' 108273  '],[' 58230   '],"[' 164634   (Atom=Atom', ' 43488 Body=Body', ' 30926 Other', ' 90220)']",[' Yes'],"[' 11200    (Eliminated', '    0 Frozen', ' 11200)']","[' 4728     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.89844'],[' 0'], ,[' 252.251'],[' 0'],[' 18.3652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.27709e+08'],[' 7.17124e+08'],[' 0'],[' 8.82802e+09'],[' 0'],[' 0'],[' 1118 '],[' 2215 '],[' 3407 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(03), , , , , , , , , ,[' 1'],[' 5839+'],[' 2923'],"[' 604.491s (Solving', ' 587.49s 1st Model', ' 530.65s Unsat', ' 0.00s)']",[' 601.578s'], ,[' 245370124'],"[' 6687214  (Analyzed', ' 6027286)']","[' 15762    (Average', ' 382.39 Last', ' 3188921)']",[' 5588.0  '],"[' 2923     (Average Length', ' 1544.88 Splits', ' 0)']","[' 6027286  (Deleted', ' 5971844)']","[' 638      (Ratio', '   0.01%)']","[' 30237    (Ratio', '   0.50%)']","[' 6027286  (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6027286  (Average', ' 38.67 Max', ' 5820 Sum', ' 233091847)']","[' 6026917  (Average', ' 38.57 Max', ' 5820 Sum', ' 232483732 Ratio', '  99.74%)']","[' 369      (Average', ' 1648.01 Max', ' 3600 Sum', ' 608115 Ratio', '   0.26%)']", ,[' 112353  '],[' 8590    '],[' 108845  '],[' 58474   '],"[' 164179   (Atom=Atom', ' 43474 Body=Body', ' 30610 Other', ' 90095)']",[' Yes'],"[' 11433    (Eliminated', '    0 Frozen', ' 11433)']","[' 3294     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.34859'],[' 0'], ,[' 260.047'],[' 0'],[' 18.162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.73631e+08'],[' 6.56079e+08'],[' 0'],[' 9.01232e+09'],[' 0'],[' 0'],[' 1114 '],[' 2156 '],[' 3171 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(04), , , , , , , , , ,[' 1'],[' 4979+'],[' 2493'],"[' 603.625s (Solving', ' 589.55s 1st Model', ' 289.09s Unsat', ' 0.00s)']",[' 600.984s'], ,[' 259294102'],"[' 5193621  (Analyzed', ' 4897868)']","[' 12806    (Average', ' 382.47 Last', ' 457830)']",[' 5155.2  '],"[' 2493     (Average Length', ' 1338.38 Splits', ' 0)']","[' 4897868  (Deleted', ' 4830197)']","[' 543      (Ratio', '   0.01%)']","[' 40614    (Ratio', '   0.83%)']","[' 4897868  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4897868  (Average', ' 50.98 Max', ' 5311 Sum', ' 249687466)']","[' 4897439  (Average', ' 50.86 Max', ' 5311 Sum', ' 249095378 Ratio', '  99.76%)']","[' 429      (Average', ' 1380.16 Max', ' 2695 Sum', ' 592088 Ratio', '   0.24%)']", ,[' 112064  '],[' 8608    '],[' 108061  '],[' 58081   '],"[' 165027   (Atom=Atom', ' 43572 Body=Body', ' 31023 Other', ' 90432)']",[' Yes'],"[' 11159    (Eliminated', '    0 Frozen', ' 11159)']","[' 4549     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.80551'],[' 0'], ,[' 246.245'],[' 0'],[' 18.5476'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.40576e+08'],[' 7.28679e+08'],[' 0'],[' 8.62568e+09'],[' 0'],[' 0'],[' 1099 '],[' 2213 '],[' 3376 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(05), , , , , , , , , , ,[' 5249+'],[' 2628'],"[' 604.420s (Solving', ' 587.68s 1st Model', ' 363.48s Unsat', ' 0.00s)']",[' 597.344s'], ,[' 232492270'],"[' 5735120  (Analyzed', ' 5359922)']","[' 14707    (Average', ' 364.45 Last', ' 906042)']",[' 5548.6  '],"[' 2629     (Average Length', ' 1383.37 Splits', ' 0)']","[' 5359922  (Deleted', ' 5301120)']","[' 699      (Ratio', '   0.01%)']","[' 31781    (Ratio', '   0.59%)']","[' 5359922  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5359922  (Average', ' 41.29 Max', ' 5788 Sum', ' 221311005)']","[' 5359537  (Average', ' 41.19 Max', ' 5788 Sum', ' 220800009 Ratio', '  99.77%)']","[' 385      (Average', ' 1327.26 Max', ' 1567 Sum', ' 510996 Ratio', '   0.23%)']", ,[' 112159  '],[' 8595    '],[' 108299  '],[' 58254   '],"[' 163831   (Atom=Atom', ' 43284 Body=Body', ' 30733 Other', ' 89814)']",[' Yes'],"[' 11157    (Eliminated', '    0 Frozen', ' 11157)']","[' 3293     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.2542'],[' 0'], ,[' 257.755'],[' 0'],[' 17.8604'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.99566e+08'],[' 5.9727e+08'],[' 0'],[' 7.95748e+09'],[' 0'],[' 0'],[' 1128 '],[' 2189 '],[' 3266 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(06), , , , , , , , , ,[' 1'],[' 5279+'],[' 2643'],"[' 604.621s (Solving', ' 587.12s 1st Model', ' 182.61s Unsat', ' 0.00s)']",[' 601.297s'], ,[' 238037321'],"[' 5006787  (Analyzed', ' 4465356)']","[' 11312    (Average', ' 394.75 Last', ' 762903)']",[' 5380.0  '],"[' 2643     (Average Length', ' 1421.05 Splits', ' 0)']","[' 4465356  (Deleted', ' 4399927)']","[' 524      (Ratio', '   0.01%)']","[' 38489    (Ratio', '   0.86%)']","[' 4465356  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4465356  (Average', ' 50.93 Max', ' 5464 Sum', ' 227420783)']","[' 4464847  (Average', ' 50.76 Max', ' 5464 Sum', ' 226677677 Ratio', '  99.67%)']","[' 509      (Average', ' 1459.93 Max', ' 1880 Sum', ' 743106 Ratio', '   0.33%)']", ,[' 112427  '],[' 8643    '],[' 108577  '],[' 58421   '],"[' 165698   (Atom=Atom', ' 43767 Body=Body', ' 31091 Other', ' 90840)']",[' Yes'],"[' 11325    (Eliminated', '    0 Frozen', ' 11325)']","[' 4619     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.41023'],[' 0'], ,[' 246.587'],[' 0'],[' 18.1548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.38522e+08'],[' 6.39306e+08'],[' 0'],[' 8.10035e+09'],[' 0'],[' 0'],[' 1111 '],[' 2274 '],[' 3534 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(07), , , , , , , , , ,[' 1'],[' 5423+'],[' 2715'],"[' 604.140s (Solving', ' 587.77s 1st Model', ' 187.77s Unsat', ' 0.00s)']",[' 600.234s'], ,[' 254219684'],"[' 5313953  (Analyzed', ' 4650690)']","[' 11464    (Average', ' 405.68 Last', ' 165337)']",[' 5365.1  '],"[' 2715     (Average Length', ' 1457.35 Splits', ' 0)']","[' 4650690  (Deleted', ' 4576632)']","[' 638      (Ratio', '   0.01%)']","[' 42296    (Ratio', '   0.91%)']","[' 4650690  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4650690  (Average', ' 52.32 Max', ' 5309 Sum', ' 243321450)']","[' 4650168  (Average', ' 52.16 Max', ' 5309 Sum', ' 242576966 Ratio', '  99.69%)']","[' 522      (Average', ' 1426.21 Max', ' 1792 Sum', ' 744484 Ratio', '   0.31%)']", ,[' 112481  '],[' 8638    '],[' 108682  '],[' 58479   '],"[' 166086   (Atom=Atom', ' 43877 Body=Body', ' 31188 Other', ' 91021)']",[' Yes'],"[' 11378    (Eliminated', '    0 Frozen', ' 11378)']","[' 4985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.20033'],[' 0'], ,[' 240.801'],[' 0'],[' 18.3495'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.12537e+08'],[' 7.10239e+08'],[' 0'],[' 8.6136e+09'],[' 0'],[' 0'],[' 1239 '],[' 2283 '],[' 3517 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(08), , , , , , , , , ,[' 1'],[' 4581+'],[' 2294'],"[' 603.505s (Solving', ' 590.41s 1st Model', ' 32.55s Unsat', ' 0.00s)']",[' 601.906s'], ,[' 263047495'],"[' 6663027  (Analyzed', ' 6359617)']","[' 13380    (Average', ' 475.31 Last', ' 15550)']",[' 5036.3  '],"[' 2294     (Average Length', ' 1256.70 Splits', ' 0)']","[' 6359617  (Deleted', ' 6261739)']","[' 624      (Ratio', '   0.01%)']","[' 45995    (Ratio', '   0.72%)']","[' 6359617  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6359617  (Average', ' 39.99 Max', ' 5195 Sum', ' 254329731)']","[' 6359093  (Average', ' 39.89 Max', ' 5195 Sum', ' 253669511 Ratio', '  99.74%)']","[' 524      (Average', ' 1259.96 Max', ' 1538 Sum', ' 660220 Ratio', '   0.26%)']", ,[' 111484  '],[' 8593    '],[' 107301  '],[' 57547   '],"[' 164951   (Atom=Atom', ' 43512 Body=Body', ' 31151 Other', ' 90288)']",[' Yes'],"[' 11012    (Eliminated', '    0 Frozen', ' 11012)']","[' 5569     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.60236'],[' 0'], ,[' 255.825'],[' 0'],[' 18.3559'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.82301e+08'],[' 6.78073e+08'],[' 0'],[' 9.9196e+09'],[' 0'],[' 0'],[' 1243 '],[' 2419 '],[' 3676 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(09), , , , , , , , , ,[' 1'],[' 5507+'],[' 2757'],"[' 604.619s (Solving', ' 586.53s 1st Model', ' 280.92s Unsat', ' 0.00s)']",[' 600.406s'], ,[' 250361379'],"[' 4501937  (Analyzed', ' 4035066)']","[' 9966     (Average', ' 404.88 Last', ' 85620)']",[' 5245.3  '],"[' 2757     (Average Length', ' 1455.49 Splits', ' 0)']","[' 4035066  (Deleted', ' 3966261)']","[' 518      (Ratio', '   0.01%)']","[' 43657    (Ratio', '   1.08%)']","[' 4035066  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4035066  (Average', ' 59.45 Max', ' 5174 Sum', ' 239884530)']","[' 4034515  (Average', ' 59.26 Max', ' 5174 Sum', ' 239115498 Ratio', '  99.68%)']","[' 551      (Average', ' 1395.70 Max', ' 1703 Sum', ' 769032 Ratio', '   0.32%)']", ,[' 112569  '],[' 8641    '],[' 108807  '],[' 58565   '],"[' 165181   (Atom=Atom', ' 43637 Body=Body', ' 30970 Other', ' 90574)']",[' Yes'],"[' 11337    (Eliminated', '    0 Frozen', ' 11337)']","[' 5420     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.54845'],[' 0'], ,[' 223.067'],[' 0'],[' 17.9506'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.33337e+08'],[' 7.27446e+08'],[' 0'],[' 7.11679e+09'],[' 0'],[' 0'],[' 1158 '],[' 2147 '],[' 3267 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(10), , , , , , , , , ,[' 1'],[' 5041+'],[' 2524'],"[' 603.852s (Solving', ' 588.92s 1st Model', ' 255.47s Unsat', ' 0.00s)']",[' 597.625s'], ,[' 236724604'],"[' 4261176  (Analyzed', ' 3891088)']","[' 10532    (Average', ' 369.45 Last', ' 194946)']",[' 5048.3  '],"[' 2524     (Average Length', ' 1348.45 Splits', ' 0)']","[' 3891088  (Deleted', ' 3828590)']","[' 489      (Ratio', '   0.01%)']","[' 39100    (Ratio', '   1.00%)']","[' 3891088  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3891088  (Average', ' 58.40 Max', ' 5268 Sum', ' 227248185)']","[' 3890649  (Average', ' 58.25 Max', ' 5268 Sum', ' 226675169 Ratio', '  99.75%)']","[' 439      (Average', ' 1305.28 Max', ' 1663 Sum', ' 573016 Ratio', '   0.25%)']", ,[' 110875  '],[' 8481    '],[' 106913  '],[' 57135   '],"[' 164108   (Atom=Atom', ' 43340 Body=Body', ' 30863 Other', ' 89905)']",[' Yes'],"[' 11106    (Eliminated', '    0 Frozen', ' 11106)']","[' 4451     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.96651'],[' 0'], ,[' 231.481'],[' 0'],[' 18.4264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.85822e+08'],[' 6.8171e+08'],[' 0'],[' 6.40105e+09'],[' 0'],[' 0'],[' 1100 '],[' 2157 '],[' 3322 '],[' 3 '],[' 0 ']
