Optimal Found Or Timeout,Instances,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1977,Completion Time for Window 2 is 3550,Completion Time for Window 3 is 5782,Completion Time for Window 4 is 7544
Time         ,TA71, ,[' 399519113'],"[' 4102112  (Analyzed', ' 675479)']","[' 4122     (Average', ' 163.87 Last', ' 44964)']",[' 12954.8 '],"[' 4244     (Average Length', ' 1970.82 Splits', ' 0)']","[' 675479   (Deleted', ' 603695)']","[' 64       (Ratio', '   0.01%)']","[' 50828    (Ratio', '   7.52%)']","[' 675479   (Average Length', '   28.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 675479   (Average', ' 525.80 Max', ' 15983 Sum', ' 355168416)']","[' 672245   (Average', ' 516.60 Max', ' 15983 Sum', ' 348953423 Ratio', '  98.25%)']","[' 3234     (Average', ' 1921.77 Max', ' 2705 Sum', ' 6214993 Ratio', '   1.75%)']", ,[' 414892  '],[' 27173   '],[' 416672  '],[' 249427  '],"[' 748277   (Atom=Atom', ' 224252 Body=Body', ' 128073 Other', ' 395952)']",[' Yes'],"[' 30953    (Eliminated', '    0 Frozen', ' 30953)']","[' 10029    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.0975'],[' 0'], ,[' 367.208'],[' 0'],[' 28.5735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16711e+09'],[' 1.09968e+09'],[' 0'],[' 1.90299e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA72, ,[' 342235751'],"[' 3448746  (Analyzed', ' 616220)']","[' 3665     (Average', ' 168.14 Last', ' 34917)']",[' 12954.8 '],"[' 4350     (Average Length', ' 2021.04 Splits', ' 0)']","[' 616220   (Deleted', ' 556524)']","[' 63       (Ratio', '   0.01%)']","[' 38064    (Ratio', '   6.18%)']","[' 616220   (Average Length', '   27.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 616220   (Average', ' 484.33 Max', ' 16833 Sum', ' 298456472)']","[' 612767   (Average', ' 473.26 Max', ' 16833 Sum', ' 291629264 Ratio', '  97.71%)']","[' 3453     (Average', ' 1977.18 Max', ' 2889 Sum', ' 6827208 Ratio', '   2.29%)']", ,[' 410856  '],[' 26611   '],[' 412720  '],[' 245599  '],"[' 736793   (Atom=Atom', ' 220986 Body=Body', ' 127511 Other', ' 388296)']",[' Yes'],"[' 30475    (Eliminated', '    0 Frozen', ' 30475)']","[' 6918     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.5664'],[' 0'], ,[' 329.05'],[' 0'],[' 25.5556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.89939e+08'],[' 9.40951e+08'],[' 0'],[' 2.24049e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA73, ,[' 519593792'],"[' 4575008  (Analyzed', ' 1027689)']","[' 4810     (Average', ' 213.66 Last', ' 60118)']",[' 12918.3 '],"[' 4706     (Average Length', ' 2149.65 Splits', ' 0)']","[' 1027689  (Deleted', ' 940844)']","[' 90       (Ratio', '   0.01%)']","[' 65936    (Ratio', '   6.42%)']","[' 1027689  (Average Length', '   27.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1027689  (Average', ' 458.35 Max', ' 14806 Sum', ' 471038791)']","[' 1024702  (Average', ' 452.40 Max', ' 14806 Sum', ' 464921869 Ratio', '  98.70%)']","[' 2987     (Average', ' 2047.85 Max', ' 3116 Sum', ' 6116922 Ratio', '   1.30%)']", ,[' 414186  '],[' 26875   '],[' 416221  '],[' 248461  '],"[' 745379   (Atom=Atom', ' 223584 Body=Body', ' 127775 Other', ' 394020)']",[' Yes'],"[' 30910    (Eliminated', '    0 Frozen', ' 30910)']","[' 12543    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.2117'],[' 0'], ,[' 388.575'],[' 0'],[' 28.8039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49767e+09'],[' 1.41086e+09'],[' 0'],[' 2.67064e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA74, ,[' 511693870'],"[' 2697031  (Analyzed', ' 881144)']","[' 4614     (Average', ' 190.97 Last', ' 104625)']",[' 11862.3 '],"[' 4512     (Average Length', ' 2108.51 Splits', ' 0)']","[' 881144   (Deleted', ' 785737)']","[' 105      (Ratio', '   0.01%)']","[' 70703    (Ratio', '   8.02%)']","[' 881144   (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 881144   (Average', ' 535.62 Max', ' 14442 Sum', ' 471960242)']","[' 878206   (Average', ' 528.39 Max', ' 14442 Sum', ' 465589951 Ratio', '  98.65%)']","[' 2938     (Average', ' 2168.24 Max', ' 3057 Sum', ' 6370291 Ratio', '   1.35%)']", ,[' 411815  '],[' 26672   '],[' 413804  '],[' 246718  '],"[' 740150   (Atom=Atom', ' 222044 Body=Body', ' 127572 Other', ' 390534)']",[' Yes'],"[' 30661    (Eliminated', '    0 Frozen', ' 30661)']","[' 13220    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.0861'],[' 0'], ,[' 345.892'],[' 0'],[' 28.7033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60329e+09'],[' 1.50677e+09'],[' 0'],[' 2.11976e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA75, ,[' 339965104'],"[' 3290286  (Analyzed', ' 587645)']","[' 3394     (Average', ' 173.14 Last', ' 13439)']",[' 13311.2 '],"[' 4237     (Average Length', ' 1979.30 Splits', ' 0)']","[' 587645   (Deleted', ' 523118)']","[' 64       (Ratio', '   0.01%)']","[' 37905    (Ratio', '   6.45%)']","[' 587645   (Average Length', '   28.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 587645   (Average', ' 504.04 Max', ' 16802 Sum', ' 296194030)']","[' 583973   (Average', ' 491.59 Max', ' 16802 Sum', ' 288882931 Ratio', '  97.53%)']","[' 3672     (Average', ' 1991.04 Max', ' 2771 Sum', ' 7311099 Ratio', '   2.47%)']", ,[' 413569  '],[' 26926   '],[' 415369  '],[' 247855  '],"[' 743561   (Atom=Atom', ' 222927 Body=Body', ' 127826 Other', ' 392808)']",[' Yes'],"[' 30726    (Eliminated', '    0 Frozen', ' 30726)']","[' 6881     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.604'],[' 0'], ,[' 268.432'],[' 0'],[' 19.3017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.71144e+08'],[' 9.22603e+08'],[' 0'],[' 1.84202e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA76, ,[' 482722862'],"[' 3138157  (Analyzed', ' 865858)']","[' 4796     (Average', ' 180.54 Last', ' 42091)']",[' 12062.1 '],"[' 4511     (Average Length', ' 2097.80 Splits', ' 0)']","[' 865858   (Deleted', ' 776943)']","[' 84       (Ratio', '   0.01%)']","[' 66557    (Ratio', '   7.69%)']","[' 865858   (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 865858   (Average', ' 509.96 Max', ' 14554 Sum', ' 441552837)']","[' 862878   (Average', ' 502.62 Max', ' 14554 Sum', ' 435196472 Ratio', '  98.56%)']","[' 2980     (Average', ' 2133.01 Max', ' 2971 Sum', ' 6356365 Ratio', '   1.44%)']", ,[' 412080  '],[' 26610   '],[' 414078  '],[' 246517  '],"[' 739547   (Atom=Atom', ' 221905 Body=Body', ' 127510 Other', ' 390132)']",[' Yes'],"[' 30608    (Eliminated', '    0 Frozen', ' 30608)']","[' 13013    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4771'],[' 0'], ,[' 344.186'],[' 0'],[' 27.2077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50597e+09'],[' 1.41202e+09'],[' 0'],[' 2.10978e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA77, ,[' 536466200'],"[' 3858630  (Analyzed', ' 931408)']","[' 4658     (Average', ' 199.96 Last', ' 52145)']",[' 13011.7 '],"[' 4474     (Average Length', ' 2068.53 Splits', ' 0)']","[' 931408   (Deleted', ' 850189)']","[' 84       (Ratio', '   0.01%)']","[' 64358    (Ratio', '   6.91%)']","[' 931408   (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 931408   (Average', ' 526.34 Max', ' 14870 Sum', ' 490240174)']","[' 928205   (Average', ' 519.93 Max', ' 14870 Sum', ' 484264610 Ratio', '  98.78%)']","[' 3203     (Average', ' 1865.61 Max', ' 2788 Sum', ' 5975564 Ratio', '   1.22%)']", ,[' 411259  '],[' 26630   '],[' 413170  '],[' 246652  '],"[' 739952   (Atom=Atom', ' 222020 Body=Body', ' 127530 Other', ' 390402)']",[' Yes'],"[' 30541    (Eliminated', '    0 Frozen', ' 30541)']","[' 11239    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.2791'],[' 0'], ,[' 440.653'],[' 0'],[' 31.1766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58892e+09'],[' 1.50205e+09'],[' 0'],[' 3.22722e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA78, ,[' 430319625'],"[' 3551357  (Analyzed', ' 656420)']","[' 4107     (Average', ' 159.83 Last', ' 19278)']",[' 13244.6 '],"[' 4914     (Average Length', ' 2258.23 Splits', ' 0)']","[' 656420   (Deleted', ' 589545)']","[' 77       (Ratio', '   0.01%)']","[' 49223    (Ratio', '   7.50%)']","[' 656420   (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 656420   (Average', ' 580.56 Max', ' 15910 Sum', ' 381089029)']","[' 652779   (Average', ' 568.39 Max', ' 15910 Sum', ' 373099879 Ratio', '  97.90%)']","[' 3641     (Average', ' 2194.22 Max', ' 3107 Sum', ' 7989150 Ratio', '   2.10%)']", ,[' 412026  '],[' 26796   '],[' 414307  '],[' 246868  '],"[' 740600   (Atom=Atom', ' 222070 Body=Body', ' 127696 Other', ' 390834)']",[' Yes'],"[' 31077    (Eliminated', '    0 Frozen', ' 31077)']","[' 7821     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6523'],[' 0'], ,[' 332.485'],[' 0'],[' 24.6329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2484e+09'],[' 1.18446e+09'],[' 0'],[' 2.23732e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA79, ,[' 438553790'],"[' 2972726  (Analyzed', ' 628206)']","[' 4223     (Average', ' 148.76 Last', ' 31070)']",[' 12611.6 '],"[' 4785     (Average Length', ' 2190.21 Splits', ' 0)']","[' 628206   (Deleted', ' 551103)']","[' 54       (Ratio', '   0.01%)']","[' 55100    (Ratio', '   8.77%)']","[' 628206   (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 628206   (Average', ' 625.88 Max', ' 14924 Sum', ' 393181151)']","[' 624953   (Average', ' 614.60 Max', ' 14924 Sum', ' 386097511 Ratio', '  98.20%)']","[' 3253     (Average', ' 2177.57 Max', ' 3041 Sum', ' 7083640 Ratio', '   1.80%)']", ,[' 413285  '],[' 26761   '],[' 415465  '],[' 247548  '],"[' 742640   (Atom=Atom', ' 222785 Body=Body', ' 127661 Other', ' 392194)']",[' Yes'],"[' 30941    (Eliminated', '    0 Frozen', ' 30941)']","[' 10531    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.7908'],[' 0'], ,[' 313.921'],[' 0'],[' 24.8214'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27774e+09'],[' 1.20924e+09'],[' 0'],[' 1.97323e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
Time         ,TA80, ,[' 494223196'],"[' 3694918  (Analyzed', ' 689407)']","[' 4255     (Average', ' 162.02 Last', ' 35151)']",[' 12871.6 '],"[' 4801     (Average Length', ' 2195.92 Splits', ' 0)']","[' 689407   (Deleted', ' 608276)']","[' 93       (Ratio', '   0.01%)']","[' 62048    (Ratio', '   9.00%)']","[' 689407   (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 689407   (Average', ' 647.98 Max', ' 15393 Sum', ' 446723548)']","[' 686081   (Average', ' 637.79 Max', ' 15393 Sum', ' 439696814 Ratio', '  98.43%)']","[' 3326     (Average', ' 2112.67 Max', ' 3076 Sum', ' 7026734 Ratio', '   1.57%)']", ,[' 413247  '],[' 26988   '],[' 415386  '],[' 247971  '],"[' 743909   (Atom=Atom', ' 222981 Body=Body', ' 127888 Other', ' 393040)']",[' Yes'],"[' 31127    (Eliminated', '    0 Frozen', ' 31127)']","[' 10234    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.9181'],[' 0'], ,[' 369.107'],[' 0'],[' 28.1985'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42571e+09'],[' 1.35024e+09'],[' 0'],[' 2.44696e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' ']
