Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 2751+'],[' 1379'],"[' 1001.839s (Solving', ' 995.18s 1st Model', ' 11.84s Unsat', ' 0.00s)']",[' 1000.547s'], ,[' 241814970'],"[' 19122015 (Analyzed', ' 18768044)']","[' 33536    (Average', ' 559.64 Last', ' 12291)']",[' 3458.9  '],"[' 1379     (Average Length', ' 751.58 Splits', ' 0)']","[' 18768044 (Deleted', ' 18603766)']","[' 208      (Ratio', '   0.00%)']","[' 29279    (Ratio', '   0.16%)']","[' 18768044 (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18768044 (Average', ' 12.63 Max', ' 3624 Sum', ' 237101185)']","[' 18767511 (Average', ' 12.61 Max', ' 3624 Sum', ' 236656326 Ratio', '  99.81%)']","[' 533      (Average', ' 834.63 Max', ' 947 Sum', ' 444859 Ratio', '   0.19%)']", ,[' 93267   '],[' 6166    '],[' 86552   '],[' 39589   '],"[' 116593   (Atom=Atom', ' 30302 Body=Body', ' 20528 Other', ' 65763)']",[' Yes'],"[' 7677     (Eliminated', '    0 Frozen', ' 7677)']","[' 4321     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48412'],[' 0'], ,[' 640.15'],[' 0'],[' 25.9556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.15612e+08'],[' 4.92098e+08'],[' 0'],[' 3.59005e+10'],[' 0'],[' 0'],[' 1325 '],[' 2471 '],[' 3785 '],[' 3 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 3323+'],[' 1665'],"[' 1002.344s (Solving', ' 993.70s 1st Model', ' 16.93s Unsat', ' 0.00s)']",[' 999.547s'], ,[' 270975329'],"[' 16601100 (Analyzed', ' 16259730)']","[' 27878    (Average', ' 583.25 Last', ' 23659)']",[' 3563.7  '],"[' 1665     (Average Length', ' 870.98 Splits', ' 0)']","[' 16259730 (Deleted', ' 16109110)']","[' 296      (Ratio', '   0.00%)']","[' 36480    (Ratio', '   0.22%)']","[' 16259730 (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16259730 (Average', ' 16.34 Max', ' 3406 Sum', ' 265721957)']","[' 16259162 (Average', ' 16.31 Max', ' 3326 Sum', ' 265197406 Ratio', '  99.80%)']","[' 568      (Average', ' 923.51 Max', ' 2911 Sum', ' 524551 Ratio', '   0.20%)']", ,[' 93742   '],[' 6253    '],[' 87271   '],[' 40233   '],"[' 118803   (Atom=Atom', ' 30936 Body=Body', ' 20789 Other', ' 67078)']",[' Yes'],"[' 8043     (Eliminated', '    0 Frozen', ' 8043)']","[' 5789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.85812'],[' 0'], ,[' 559.57'],[' 0'],[' 25.0009'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.96867e+08'],[' 6.53823e+08'],[' 0'],[' 2.89781e+10'],[' 0'],[' 0'],[' 1344 '],[' 2440 '],[' 3404 '],[' 3 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 3061+'],[' 1534'],"[' 1002.009s (Solving', ' 994.61s 1st Model', ' 12.63s Unsat', ' 0.00s)']",[' 1000.703s'], ,[' 241871650'],"[' 20652779 (Analyzed', ' 20360453)']","[' 35717    (Average', ' 570.05 Last', ' 110381)']",[' 3410.0  '],"[' 1534     (Average Length', ' 818.52 Splits', ' 0)']","[' 20360453 (Deleted', ' 20165476)']","[' 225      (Ratio', '   0.00%)']","[' 28034    (Ratio', '   0.14%)']","[' 20360453 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20360453 (Average', ' 11.64 Max', ' 3527 Sum', ' 237027642)']","[' 20359902 (Average', ' 11.62 Max', ' 3278 Sum', ' 236509319 Ratio', '  99.78%)']","[' 551      (Average', ' 940.70 Max', ' 1037 Sum', ' 518323 Ratio', '   0.22%)']", ,[' 92195   '],[' 6009    '],[' 85700   '],[' 38962   '],"[' 114676   (Atom=Atom', ' 29829 Body=Body', ' 20057 Other', ' 64790)']",[' Yes'],"[' 7672     (Eliminated', '    0 Frozen', ' 7672)']","[' 5103     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.59572'],[' 0'], ,[' 615.079'],[' 0'],[' 25.7308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.83216e+08'],[' 5.45458e+08'],[' 0'],[' 3.50605e+10'],[' 0'],[' 0'],[' 1161 '],[' 2195 '],[' 3274 '],[' 3 '],[' 0 ']
Solving...,TA54, , , , ,[' 1'],[' 2943+'],[' 1475'],"[' 1001.995s (Solving', ' 994.49s 1st Model', ' 11.44s Unsat', ' 0.00s)']",[' 1000.484s'], ,[' 236180286'],"[' 19772643 (Analyzed', ' 19352630)']","[' 34653    (Average', ' 558.47 Last', ' 9939)']",[' 3659.7  '],"[' 1475     (Average Length', ' 798.16 Splits', ' 0)']","[' 19352630 (Deleted', ' 19178802)']","[' 228      (Ratio', '   0.00%)']","[' 30684    (Ratio', '   0.16%)']","[' 19352630 (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19352630 (Average', ' 11.93 Max', ' 3556 Sum', ' 230912031)']","[' 19351990 (Average', ' 11.90 Max', ' 3556 Sum', ' 230363688 Ratio', '  99.76%)']","[' 640      (Average', ' 856.79 Max', ' 962 Sum', ' 548343 Ratio', '   0.24%)']", ,[' 93290   '],[' 6200    '],[' 86660   '],[' 39792   '],"[' 117361   (Atom=Atom', ' 30534 Body=Body', ' 20630 Other', ' 66197)']",[' Yes'],"[' 7813     (Eliminated', '    0 Frozen', ' 7813)']","[' 4624     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65876'],[' 0'], ,[' 629.026'],[' 0'],[' 24.9075'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.86786e+08'],[' 4.67098e+08'],[' 0'],[' 3.40053e+10'],[' 0'],[' 0'],[' 1355 '],[' 2440 '],[' 3376 '],[' 3 '],[' 0 ']
Solving...,TA55, , , , ,[' 1'],[' 2999+'],[' 1503'],"[' 1002.275s (Solving', ' 994.24s 1st Model', ' 16.04s Unsat', ' 0.00s)']",[' 997.797s'], ,[' 243653771'],"[' 14869927 (Analyzed', ' 14646221)']","[' 25316    (Average', ' 578.54 Last', ' 10083)']",[' 3361.1  '],"[' 1503     (Average Length', ' 804.80 Splits', ' 0)']","[' 14646221 (Deleted', ' 14506507)']","[' 302      (Ratio', '   0.00%)']","[' 34558    (Ratio', '   0.24%)']","[' 14646221 (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14646221 (Average', ' 16.33 Max', ' 3459 Sum', ' 239244277)']","[' 14645677 (Average', ' 16.30 Max', ' 3459 Sum', ' 238712034 Ratio', '  99.78%)']","[' 544      (Average', ' 978.39 Max', ' 1072 Sum', ' 532243 Ratio', '   0.22%)']", ,[' 93497   '],[' 6162    '],[' 86908   '],[' 39736   '],"[' 116949   (Atom=Atom', ' 30410 Body=Body', ' 20516 Other', ' 66023)']",[' Yes'],"[' 7808     (Eliminated', '    0 Frozen', ' 7808)']","[' 5245     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76464'],[' 0'], ,[' 587.727'],[' 0'],[' 25.569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.28929e+08'],[' 6.02553e+08'],[' 0'],[' 2.91804e+10'],[' 0'],[' 0'],[' 1150 '],[' 2373 '],[' 3578 '],[' 3 '],[' 0 ']
Solving...,TA56, , , , ,[' 1'],[' 2807+'],[' 1407'],"[' 1002.640s (Solving', ' 993.02s 1st Model', ' 13.38s Unsat', ' 0.00s)']",[' 994.188s'], ,[' 209353417'],"[' 19175400 (Analyzed', ' 18824807)']","[' 33482    (Average', ' 562.24 Last', ' 14102)']",[' 3728.5  '],"[' 1407     (Average Length', ' 748.94 Splits', ' 0)']","[' 18824807 (Deleted', ' 18669820)']","[' 217      (Ratio', '   0.00%)']","[' 24309    (Ratio', '   0.13%)']","[' 18824807 (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18824807 (Average', ' 10.85 Max', ' 3842 Sum', ' 204245721)']","[' 18824154 (Average', ' 10.82 Max', ' 3842 Sum', ' 203725469 Ratio', '  99.75%)']","[' 653      (Average', ' 796.71 Max', ' 850 Sum', ' 520252 Ratio', '   0.25%)']", ,[' 92009   '],[' 6068    '],[' 85344   '],[' 39094   '],"[' 115175   (Atom=Atom', ' 29938 Body=Body', ' 20234 Other', ' 65003)']",[' Yes'],"[' 7619     (Eliminated', '    0 Frozen', ' 7619)']","[' 3086     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06337'],[' 0'], ,[' 637.255'],[' 0'],[' 24.8792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.55491e+08'],[' 3.54527e+08'],[' 0'],[' 3.18605e+10'],[' 0'],[' 0'],[' 1524 '],[' 2721 '],[' 3442 '],[' 3 '],[' 0 ']
Solving...,TA57, , , , ,[' 1'],[' 2935+'],[' 1471'],"[' 1004.375s (Solving', ' 988.11s 1st Model', ' 36.02s Unsat', ' 0.00s)']",[' 950.219s'], ,[' 151082189'],"[' 11985496 (Analyzed', ' 11623659)']","[' 21831    (Average', ' 532.44 Last', ' 140586)']",[' 3541.7  '],"[' 1471     (Average Length', ' 812.83 Splits', ' 0)']","[' 11623659 (Deleted', ' 11491383)']","[' 175      (Ratio', '   0.00%)']","[' 25840    (Ratio', '   0.22%)']","[' 11623659 (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11623659 (Average', ' 12.61 Max', ' 3480 Sum', ' 146528334)']","[' 11623064 (Average', ' 12.56 Max', ' 3480 Sum', ' 146037528 Ratio', '  99.67%)']","[' 595      (Average', ' 824.88 Max', ' 978 Sum', ' 490806 Ratio', '   0.33%)']", ,[' 92603   '],[' 6063    '],[' 86037   '],[' 39184   '],"[' 115289   (Atom=Atom', ' 29982 Body=Body', ' 20219 Other', ' 65088)']",[' Yes'],"[' 7682     (Eliminated', '    0 Frozen', ' 7682)']","[' 4449     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29431'],[' 0'], ,[' 581.882'],[' 0'],[' 23.1727'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.91291e+08'],[' 3.14241e+08'],[' 0'],[' 2.15614e+10'],[' 0'],[' 0'],[' 1312 '],[' 2410 '],[' 3519 '],[' 3 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 1735+'],[' 871'],"[' 71.318s (Solving', ' 55.49s 1st Model', ' 14.94s Unsat', ' 0.00s)']",[' 56.719s'], ,[' 5884192 '],"[' 29908    (Analyzed', ' 4279)']","[' 122      (Average', ' 35.07 Last', ' 300)']",[' 3643.9  '],"[' 869      (Average Length', ' 488.87 Splits', ' 0)']","[' 4279     (Deleted', ' 0)']","[' 8        (Ratio', '   0.19%)']","[' 227      (Ratio', '   5.30%)']","[' 4279     (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4279     (Average', ' 817.58 Max', ' 5430 Sum', ' 3498433)']","[' 3742     (Average', ' 729.44 Max', ' 5430 Sum', ' 3121280 Ratio', '  89.22%)']","[' 537      (Average', ' 702.33 Max', ' 737 Sum', ' 377153 Ratio', '  10.78%)']", ,[' 92219   '],[' 6136    '],[' 85101   '],[' 38863   '],"[' 114556   (Atom=Atom', ' 29674 Body=Body', ' 20438 Other', ' 64444)']",[' Yes'],"[' 7225     (Eliminated', '    0 Frozen', ' 7225)']","[' 16       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.95209'],[' 0'], ,[' 7.68999'],[' 0'],[' 0.838176'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43361e+06'],[' 6.65522e+06'],[' 0'],[' 2.14571e+07'],[' 0'],[' 0'],[' 1863 '],[' 4301 '],[' 5332 '],[' 3 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 2953+'],[' 1480'],"[' 1003.637s (Solving', ' 991.16s 1st Model', ' 16.93s Unsat', ' 0.00s)']",[' 959.750s'], ,[' 169407974'],"[' 11008294 (Analyzed', ' 10532924)']","[' 19881    (Average', ' 529.80 Last', ' 61956)']",[' 3579.7  '],"[' 1480     (Average Length', ' 802.31 Splits', ' 0)']","[' 10532924 (Deleted', ' 10429515)']","[' 252      (Ratio', '   0.00%)']","[' 29015    (Ratio', '   0.28%)']","[' 10532924 (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10532924 (Average', ' 15.63 Max', ' 3368 Sum', ' 164584529)']","[' 10532354 (Average', ' 15.58 Max', ' 3368 Sum', ' 164092544 Ratio', '  99.70%)']","[' 570      (Average', ' 863.13 Max', ' 2790 Sum', ' 491985 Ratio', '   0.30%)']", ,[' 92706   '],[' 6097    '],[' 86140   '],[' 39271   '],"[' 115806   (Atom=Atom', ' 30127 Body=Body', ' 20321 Other', ' 65358)']",[' Yes'],"[' 7696     (Eliminated', '    0 Frozen', ' 7696)']","[' 4797     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.64235'],[' 0'], ,[' 588.892'],[' 0'],[' 25.0312'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44744e+08'],[' 3.63764e+08'],[' 0'],[' 2.45068e+10'],[' 0'],[' 0'],[' 1251 '],[' 2234 '],[' 3292 '],[' 3 '],[' 0 ']
Solving...,TA60, , , , ,[' 1'],[' 3399+'],[' 1703'],"[' 1003.747s (Solving', ' 990.58s 1st Model', ' 37.94s Unsat', ' 0.00s)']",[' 990.766s'], ,[' 274116052'],"[' 9833473  (Analyzed', ' 9598628)']","[' 17478    (Average', ' 549.18 Last', ' 80682)']",[' 3475.0  '],"[' 1703     (Average Length', ' 892.54 Splits', ' 0)']","[' 9598628  (Deleted', ' 9488372)']","[' 337      (Ratio', '   0.00%)']","[' 41869    (Ratio', '   0.44%)']","[' 9598628  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9598628  (Average', ' 28.06 Max', ' 3341 Sum', ' 269373703)']","[' 9598035  (Average', ' 28.00 Max', ' 3177 Sum', ' 268808414 Ratio', '  99.79%)']","[' 593      (Average', ' 953.27 Max', ' 1069 Sum', ' 565289 Ratio', '   0.21%)']", ,[' 93426   '],[' 6160    '],[' 87038   '],[' 39815   '],"[' 117443   (Atom=Atom', ' 30602 Body=Body', ' 20510 Other', ' 66331)']",[' Yes'],"[' 7967     (Eliminated', '    0 Frozen', ' 7967)']","[' 6209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.74058'],[' 0'], ,[' 482.449'],[' 0'],[' 26.7182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.38703e+08'],[' 7.93169e+08'],[' 0'],[' 2.01688e+10'],[' 0'],[' 0'],[' 1182 '],[' 2285 '],[' 3246 '],[' 3 '],[' 0 ']
