Optimal Found Or Timeout,Instances,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 11459+'],[' 5734'],"[' 1033.964s (Solving', ' 913.25s 1st Model', ' 377.11s Unsat', ' 0.00s)']",[' 1027.281s'], ,[' 487996170'],"[' 1742956  (Analyzed', ' 859183)']","[' 4755     (Average', ' 180.69 Last', ' 97273)']",[' 17312.1 '],"[' 5735     (Average Length', ' 3021.96 Splits', ' 0)']","[' 859183   (Deleted', ' 776670)']","[' 554      (Ratio', '   0.06%)']","[' 47827    (Ratio', '   5.57%)']","[' 859183   (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 859183   (Average', ' 479.77 Max', ' 23924 Sum', ' 412211257)']","[' 856280   (Average', ' 471.36 Max', ' 23924 Sum', ' 404984989 Ratio', '  98.25%)']","[' 2903     (Average', ' 2489.24 Max', ' 4018 Sum', ' 7226268 Ratio', '   1.75%)']", ,[' 462977  '],[' 32676   '],[' 425437  '],[' 223146  '],"[' 594651   (Atom=Atom', ' 157104 Body=Body', ' 113382 Other', ' 324165)']",[' Yes'],"[' 38876    (Eliminated', '    0 Frozen', ' 38876)']","[' 8118     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9739'],[' 0'], ,[' 228.771'],[' 0'],[' 31.453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.54731e+08'],[' 7.84505e+08'],[' 0'],[' 3.63612e+09'],[' 0'],[' 0'],[' 2286 '],[' 3927 '],[' 5604 '],[' 9415 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 12295+'],[' 6152'],"[' 1034.272s (Solving', ' 910.64s 1st Model', ' 293.15s Unsat', ' 0.00s)']",[' 1027.875s'], ,[' 496247575'],"[' 2476676  (Analyzed', ' 1664523)']","[' 6421     (Average', ' 259.23 Last', ' 25859)']",[' 17339.1 '],"[' 6152     (Average Length', ' 3221.15 Splits', ' 0)']","[' 1664523  (Deleted', ' 1572989)']","[' 498      (Ratio', '   0.03%)']","[' 46652    (Ratio', '   2.80%)']","[' 1664523  (Average Length', '   29.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1664523  (Average', ' 248.90 Max', ' 24079 Sum', ' 414301396)']","[' 1662075  (Average', ' 245.36 Max', ' 24079 Sum', ' 408409505 Ratio', '  98.58%)']","[' 2448     (Average', ' 2406.82 Max', ' 4375 Sum', ' 5891891 Ratio', '   1.42%)']", ,[' 460183  '],[' 32261   '],[' 423137  '],[' 221396  '],"[' 589047   (Atom=Atom', ' 155711 Body=Body', ' 112030 Other', ' 321306)']",[' Yes'],"[' 38770    (Eliminated', '    0 Frozen', ' 38770)']","[' 8706     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.7005'],[' 0'], ,[' 245.096'],[' 0'],[' 30.8794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.34775e+08'],[' 7.56613e+08'],[' 0'],[' 4.74543e+09'],[' 0'],[' 0'],[' 1934 '],[' 3683 '],[' 5477 '],[' 7140 '],[' 4 '],[' 0 ']
Solving...,TA73, , ,[' 10955+'],[' 5482'],"[' 1032.098s (Solving', ' 916.95s 1st Model', ' 362.68s Unsat', ' 0.00s)']",[' 1025.219s'], ,[' 514084297'],"[' 3571424  (Analyzed', ' 2145917)']","[' 7174     (Average', ' 299.12 Last', ' 30201)']",[' 17891.5 '],"[' 5483     (Average Length', ' 2962.16 Splits', ' 0)']","[' 2145917  (Deleted', ' 2068307)']","[' 551      (Ratio', '   0.03%)']","[' 42952    (Ratio', '   2.00%)']","[' 2145917  (Average Length', '   31.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2145917  (Average', ' 203.85 Max', ' 23853 Sum', ' 437450629)']","[' 2142903  (Average', ' 200.60 Max', ' 23853 Sum', ' 430472138 Ratio', '  98.40%)']","[' 3014     (Average', ' 2315.36 Max', ' 3861 Sum', ' 6978491 Ratio', '   1.60%)']", ,[' 459404  '],[' 32269   '],[' 421936  '],[' 220381  '],"[' 587985   (Atom=Atom', ' 155249 Body=Body', ' 112225 Other', ' 320511)']",[' Yes'],"[' 38416    (Eliminated', '    0 Frozen', ' 38416)']","[' 7510     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.1946'],[' 0'], ,[' 266.011'],[' 0'],[' 32.4547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.03317e+08'],[' 7.29416e+08'],[' 0'],[' 6.26977e+09'],[' 0'],[' 0'],[' 2247 '],[' 3842 '],[' 5710 '],[' 9535 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 10817+'],[' 5413'],"[' 1030.464s (Solving', ' 922.23s 1st Model', ' 482.60s Unsat', ' 0.00s)']",[' 1024.625s'], ,[' 544374541'],"[' 1522019  (Analyzed', ' 641776)']","[' 4852     (Average', ' 132.27 Last', ' 88470)']",[' 16276.8 '],"[' 5413     (Average Length', ' 2858.89 Splits', ' 0)']","[' 641776   (Deleted', ' 563003)']","[' 517      (Ratio', '   0.08%)']","[' 55326    (Ratio', '   8.62%)']","[' 641776   (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 641776   (Average', ' 748.09 Max', ' 21975 Sum', ' 480107797)']","[' 638282   (Average', ' 733.42 Max', ' 21975 Sum', ' 470693685 Ratio', '  98.04%)']","[' 3494     (Average', ' 2694.37 Max', ' 3769 Sum', ' 9414112 Ratio', '   1.96%)']", ,[' 460269  '],[' 32300   '],[' 422582  '],[' 221255  '],"[' 586788   (Atom=Atom', ' 154926 Body=Body', ' 112000 Other', ' 319862)']",[' Yes'],"[' 38142    (Eliminated', '    0 Frozen', ' 38142)']","[' 10115    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.2077'],[' 0'], ,[' 230.396'],[' 0'],[' 33.1966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02289e+09'],[' 9.429e+08'],[' 0'],[' 3.40828e+09'],[' 0'],[' 0'],[' 1686 '],[' 3569 '],[' 5245 '],[' 6943 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 10109+'],[' 5059'],"[' 1032.088s (Solving', ' 910.39s 1st Model', ' 335.02s Unsat', ' 0.00s)']",[' 1016.688s'], ,[' 414417432'],"[' 1528406  (Analyzed', ' 516840)']","[' 3711     (Average', ' 139.27 Last', ' 6591)']",[' 17732.1 '],"[' 5059     (Average Length', ' 2750.50 Splits', ' 0)']","[' 516840   (Deleted', ' 456954)']","[' 440      (Ratio', '   0.09%)']","[' 38488    (Ratio', '   7.45%)']","[' 516840   (Average Length', '   27.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 516840   (Average', ' 661.64 Max', ' 25964 Sum', ' 341961881)']","[' 514766   (Average', ' 652.92 Max', ' 25964 Sum', ' 337453714 Ratio', '  98.68%)']","[' 2074     (Average', ' 2173.66 Max', ' 3023 Sum', ' 4508167 Ratio', '   1.32%)']", ,[' 462763  '],[' 32641   '],[' 424741  '],[' 222972  '],"[' 590283   (Atom=Atom', ' 155815 Body=Body', ' 113056 Other', ' 321412)']",[' Yes'],"[' 38250    (Eliminated', '    0 Frozen', ' 38250)']","[' 6481     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.707'],[' 0'], ,[' 221.678'],[' 0'],[' 30.5634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.18573e+08'],[' 6.6272e+08'],[' 0'],[' 2.88607e+09'],[' 0'],[' 0'],[' 1920 '],[' 3588 '],[' 7253 '],[' 7716 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 13055+'],[' 6531'],"[' 1035.609s (Solving', ' 911.84s 1st Model', ' 541.77s Unsat', ' 0.00s)']",[' 1028.125s'], ,[' 519291977'],"[' 1805227  (Analyzed', ' 610839)']","[' 5189     (Average', ' 117.72 Last', ' 112419)']",[' 17168.4 '],"[' 6531     (Average Length', ' 3388.30 Splits', ' 0)']","[' 610839   (Deleted', ' 522779)']","[' 529      (Ratio', '   0.09%)']","[' 52255    (Ratio', '   8.55%)']","[' 610839   (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 610839   (Average', ' 710.87 Max', ' 23770 Sum', ' 434225475)']","[' 608304   (Average', ' 700.47 Max', ' 23770 Sum', ' 427871468 Ratio', '  98.54%)']","[' 2535     (Average', ' 2506.51 Max', ' 3468 Sum', ' 6354007 Ratio', '   1.46%)']", ,[' 461081  '],[' 32409   '],[' 424409  '],[' 222189  '],"[' 592972   (Atom=Atom', ' 156883 Body=Body', ' 112627 Other', ' 323462)']",[' Yes'],"[' 39289    (Eliminated', '    0 Frozen', ' 39289)']","[' 9348     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.7963'],[' 0'], ,[' 215.56'],[' 0'],[' 29.7511'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00847e+09'],[' 9.28783e+08'],[' 0'],[' 3.58633e+09'],[' 0'],[' 0'],[' 1794 '],[' 3371 '],[' 5465 '],[' 7788 '],[' 4 '],[' 0 ']
Solving...,TA77, , ,[' 11249+'],[' 5629'],"[' 799.531s (Solving', ' 692.03s 1st Model', ' 277.31s Unsat', ' 0.00s)']",[' 794.422s'], ,[' 346314959'],"[' 6195615  (Analyzed', ' 83401)']","[' 3311     (Average', ' 25.19 Last', ' 3828)']",[' 20605.3 '],"[' 5629     (Average Length', ' 2989.78 Splits', ' 0)']","[' 83401    (Deleted', ' 52000)']","[' 375      (Ratio', '   0.45%)']","[' 10151    (Ratio', '  12.17%)']","[' 83401    (Average Length', '   37.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 83401    (Average', ' 3002.80 Max', ' 26646 Sum', ' 250436341)']","[' 80340    (Average', ' 2890.24 Max', ' 26646 Sum', ' 241049284 Ratio', '  96.25%)']","[' 3061     (Average', ' 3066.66 Max', ' 3929 Sum', ' 9387057 Ratio', '   3.75%)']", ,[' 458892  '],[' 32159   '],[' 421514  '],[' 220014  '],"[' 586334   (Atom=Atom', ' 154843 Body=Body', ' 111889 Other', ' 319602)']",[' Yes'],"[' 38407    (Eliminated', '    0 Frozen', ' 38407)']","[' 1721     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.1413'],[' 0'], ,[' 222.85'],[' 0'],[' 20.5956'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.26435e+08'],[' 3.99403e+08'],[' 0'],[' 9.43885e+09'],[' 0'],[' 0'],[' 3882 '],[' 5654 '],[' 7374 '],[' 12495 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 12570+'],[' 6289'],"[' 1034.872s (Solving', ' 915.19s 1st Model', ' 322.66s Unsat', ' 0.00s)']",[' 1029.438s'], ,[' 508655262'],"[' 2838636  (Analyzed', ' 931746)']","[' 5240     (Average', ' 177.81 Last', ' 6806)']",[' 17051.0 '],"[' 6289     (Average Length', ' 3297.22 Splits', ' 0)']","[' 931746   (Deleted', ' 855318)']","[' 577      (Ratio', '   0.06%)']","[' 50118    (Ratio', '   5.38%)']","[' 931746   (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 931746   (Average', ' 457.89 Max', ' 23338 Sum', ' 426639099)']","[' 929034   (Average', ' 450.69 Max', ' 23338 Sum', ' 419928132 Ratio', '  98.43%)']","[' 2712     (Average', ' 2474.55 Max', ' 4456 Sum', ' 6710967 Ratio', '   1.57%)']", ,[' 459707  '],[' 32155   '],[' 422831  '],[' 220904  '],"[' 588607   (Atom=Atom', ' 155641 Body=Body', ' 111829 Other', ' 321137)']",[' Yes'],"[' 38885    (Eliminated', '    0 Frozen', ' 38885)']","[' 9069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.7024'],[' 0'], ,[' 229.163'],[' 0'],[' 29.546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.73644e+08'],[' 8.91384e+08'],[' 0'],[' 4.99588e+09'],[' 0'],[' 0'],[' 1841 '],[' 3443 '],[' 5327 '],[' 8681 '],[' 4 '],[' 0 ']
Solving...,TA79, , ,[' 13101+'],[' 6555'],"[' 1036.127s (Solving', ' 911.68s 1st Model', ' 547.44s Unsat', ' 0.00s)']",[' 1029.688s'], ,[' 514306667'],"[' 1690485  (Analyzed', ' 598084)']","[' 5240     (Average', ' 114.14 Last', ' 227908)']",[' 17167.0 '],"[' 6556     (Average Length', ' 3429.09 Splits', ' 0)']","[' 598084   (Deleted', ' 513000)']","[' 413      (Ratio', '   0.07%)']","[' 50671    (Ratio', '   8.47%)']","[' 598084   (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 598084   (Average', ' 716.90 Max', ' 23769 Sum', ' 428766417)']","[' 595799   (Average', ' 707.18 Max', ' 23769 Sum', ' 422952502 Ratio', '  98.64%)']","[' 2285     (Average', ' 2544.38 Max', ' 4705 Sum', ' 5813915 Ratio', '   1.36%)']", ,[' 460464  '],[' 32255   '],[' 423872  '],[' 221458  '],"[' 590755   (Atom=Atom', ' 156222 Body=Body', ' 112075 Other', ' 322458)']",[' Yes'],"[' 39214    (Eliminated', '    0 Frozen', ' 39214)']","[' 8776     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.3275'],[' 0'], ,[' 213.294'],[' 0'],[' 29.6865'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00894e+09'],[' 9.3049e+08'],[' 0'],[' 3.43812e+09'],[' 0'],[' 0'],[' 1626 '],[' 3254 '],[' 5323 '],[' 8318 '],[' 4 '],[' 0 ']
Solving...,TA80, , ,[' 12695+'],[' 6351'],"[' 1035.171s (Solving', ' 912.35s 1st Model', ' 354.63s Unsat', ' 0.00s)']",[' 1028.359s'], ,[' 510783404'],"[' 1861030  (Analyzed', ' 952105)']","[' 5699     (Average', ' 167.07 Last', ' 36237)']",[' 17569.2 '],"[' 6352     (Average Length', ' 3335.99 Splits', ' 0)']","[' 952105   (Deleted', ' 862737)']","[' 494      (Ratio', '   0.05%)']","[' 53479    (Ratio', '   5.62%)']","[' 952105   (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 952105   (Average', ' 446.02 Max', ' 23834 Sum', ' 424655590)']","[' 949837   (Average', ' 440.38 Max', ' 23834 Sum', ' 419287550 Ratio', '  98.74%)']","[' 2268     (Average', ' 2366.86 Max', ' 3308 Sum', ' 5368040 Ratio', '   1.26%)']", ,[' 460989  '],[' 32365   '],[' 424169  '],[' 221891  '],"[' 591559   (Atom=Atom', ' 156503 Body=Body', ' 112386 Other', ' 322670)']",[' Yes'],"[' 39187    (Eliminated', '    0 Frozen', ' 39187)']","[' 9516     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.3348'],[' 0'], ,[' 221.827'],[' 0'],[' 29.7604'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.66863e+08'],[' 8.83733e+08'],[' 0'],[' 3.9121e+09'],[' 0'],[' 0'],[' 2062 '],[' 3489 '],[' 5316 '],[' 10225 '],[' 4 '],[' 0 ']
