Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 390,Completion Time for Window 2 is 818,Completion Time for Window 3 is 1166,Completion Time for Window 4 is 1536,Completion Time for Window 5 is 1968,Completion Time for Window 6 is 2331,Completion Time for Window 7 is 2759
Solving...,TA41, , ,[' 911'],[' 463'],"[' 5.294s (Solving', ' 4.03s 1st Model', ' 0.44s Unsat', ' 1.60s)']",[' 5.203s'], ,[' 698147  '],"[' 116728   (Analyzed', ' 93876)']","[' 364      (Average', ' 257.90 Last', ' 217)']",[' 914.9   '],"[' 463      (Average Length', ' 222.72 Splits', ' 0)']","[' 93876    (Deleted', ' 87237)']","[' 72       (Ratio', '   0.08%)']","[' 497      (Ratio', '   0.53%)']","[' 93876    (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 93876    (Average', '  3.83 Max', ' 1187 Sum', ' 359576)']","[' 93797    (Average', '  3.81 Max', ' 1187 Sum', ' 357748 Ratio', '  99.49%)']","[' 79       (Average', ' 23.14 Max', ' 1008 Sum', '   1828 Ratio', '   0.51%)']", ,[' 40415   '],[' 1853    '],[' 40248   '],[' 21649   '],"[' 64943    (Atom=Atom', ' 20394 Body=Body', ' 11123 Other', ' 33426)']",[' Yes'],"[' 2286     (Eliminated', '    0 Frozen', ' 2286)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.331753'],[' 0'], ,[' 1.75392'],[' 0'],[' 0.0546927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36208e+06'],[' 3.90023e+06'],[' 0'],[' 1.42365e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA42, , ,[' 721'],[' 368'],"[' 3.750s (Solving', ' 2.81s 1st Model', ' 0.46s Unsat', ' 0.30s)']",[' 3.625s'], ,[' 458434  '],"[' 100494   (Analyzed', ' 12699)']","[' 426      (Average', ' 29.81 Last', ' 137)']",[' 833.6   '],"[' 368      (Average Length', ' 176.09 Splits', ' 0)']","[' 12699    (Deleted', ' 4123)']","[' 49       (Ratio', '   0.39%)']","[' 369      (Ratio', '   2.91%)']","[' 12699    (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12699    (Average', ' 10.98 Max', ' 836 Sum', ' 139455)']","[' 12629    (Average', ' 10.47 Max', ' 836 Sum', ' 132959 Ratio', '  95.34%)']","[' 70       (Average', ' 92.80 Max', ' 307 Sum', '   6496 Ratio', '   4.66%)']", ,[' 39419   '],[' 1817    '],[' 39168   '],[' 21044   '],"[' 63128    (Atom=Atom', ' 19825 Body=Body', ' 11087 Other', ' 32216)']",[' Yes'],"[' 2166     (Eliminated', '    0 Frozen', ' 2166)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.269203'],[' 0'], ,[' 1.31981'],[' 0'],[' 0.0296249'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11561e+06'],[' 2.80914e+06'],[' 0'],[' 1.36088e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA43, , ,[' 777'],[' 396'],"[' 6.879s (Solving', ' 5.77s 1st Model', ' 0.39s Unsat', ' 2.55s)']",[' 6.766s'], ,[' 678966  '],"[' 287604   (Analyzed', ' 106552)']","[' 767      (Average', ' 138.92 Last', ' 761)']",[' 903.0   '],"[' 396      (Average Length', ' 193.34 Splits', ' 0)']","[' 106552   (Deleted', ' 99113)']","[' 58       (Ratio', '   0.05%)']","[' 622      (Ratio', '   0.58%)']","[' 106552   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 106552   (Average', '  2.06 Max', ' 519 Sum', ' 219439)']","[' 106491   (Average', '  2.04 Max', ' 344 Sum', ' 217152 Ratio', '  98.96%)']","[' 61       (Average', ' 37.49 Max', ' 319 Sum', '   2287 Ratio', '   1.04%)']", ,[' 40279   '],[' 1862    '],[' 40060   '],[' 21689   '],"[' 65063    (Atom=Atom', ' 20425 Body=Body', ' 11132 Other', ' 33506)']",[' Yes'],"[' 2243     (Eliminated', '    0 Frozen', ' 2243)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.292487'],[' 0'], ,[' 3.62099'],[' 0'],[' 0.0720445'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.26595e+06'],[' 3.638e+06'],[' 0'],[' 4.24495e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA44, , ,[' 657'],[' 336'],"[' 7.630s (Solving', ' 6.84s 1st Model', ' 0.33s Unsat', ' 4.66s)']",[' 7.516s'], ,[' 650657  '],"[' 241948   (Analyzed', ' 177763)']","[' 697      (Average', ' 255.04 Last', ' 1264)']",[' 866.0   '],"[' 336      (Average Length', ' 161.93 Splits', ' 0)']","[' 177763   (Deleted', ' 169090)']","[' 55       (Ratio', '   0.03%)']","[' 513      (Ratio', '   0.29%)']","[' 177763   (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 177763   (Average', '  2.00 Max', ' 1144 Sum', ' 355174)']","[' 177691   (Average', '  1.97 Max', ' 1144 Sum', ' 350100 Ratio', '  98.57%)']","[' 72       (Average', ' 70.47 Max', ' 255 Sum', '   5074 Ratio', '   1.43%)']", ,[' 40080   '],[' 1811    '],[' 39799   '],[' 21230   '],"[' 63686    (Atom=Atom', ' 20017 Body=Body', ' 11081 Other', ' 32588)']",[' Yes'],"[' 2130     (Eliminated', '    0 Frozen', ' 2130)']","[' 2        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.253638'],[' 0'], ,[' 4.37257'],[' 0'],[' 0.109941'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.90697e+06'],[' 3.2566e+06'],[' 0'],[' 5.5226e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA45, , ,[' 711'],[' 363'],"[' 4.023s (Solving', ' 3.03s 1st Model', ' 0.42s Unsat', ' 0.70s)']",[' 3.922s'], ,[' 588315  '],"[' 113290   (Analyzed', ' 71622)']","[' 394      (Average', ' 181.78 Last', ' 157)']",[' 944.2   '],"[' 363      (Average Length', ' 175.66 Splits', ' 0)']","[' 71622    (Deleted', ' 61556)']","[' 72       (Ratio', '   0.10%)']","[' 455      (Ratio', '   0.64%)']","[' 71622    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71622    (Average', '  3.83 Max', ' 1178 Sum', ' 274044)']","[' 71538    (Average', '  3.79 Max', ' 1178 Sum', ' 271607 Ratio', '  99.11%)']","[' 84       (Average', ' 29.01 Max', ' 232 Sum', '   2437 Ratio', '   0.89%)']", ,[' 40165   '],[' 1857    '],[' 39909   '],[' 21703   '],"[' 65105    (Atom=Atom', ' 20444 Body=Body', ' 11127 Other', ' 33534)']",[' Yes'],"[' 2201     (Eliminated', '    0 Frozen', ' 2201)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.29878'],[' 0'], ,[' 1.03537'],[' 0'],[' 0.0366092'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87362e+06'],[' 3.47566e+06'],[' 0'],[' 5.72818e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA46, , ,[' 557'],[' 286'],"[' 22.124s (Solving', ' 21.27s 1st Model', ' 0.26s Unsat', ' 18.53s)']",[' 22.000s'], ,[' 2997151 '],"[' 1934645  (Analyzed', ' 1782018)']","[' 4540     (Average', ' 392.51 Last', ' 5954)']",[' 935.6   '],"[' 286      (Average Length', ' 139.00 Splits', ' 0)']","[' 1782018  (Deleted', ' 1748042)']","[' 68       (Ratio', '   0.00%)']","[' 866      (Ratio', '   0.05%)']","[' 1782018  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1782018  (Average', '  1.45 Max', ' 451 Sum', ' 2579850)']","[' 1781937  (Average', '  1.45 Max', ' 368 Sum', ' 2577236 Ratio', '  99.90%)']","[' 81       (Average', ' 32.27 Max', ' 222 Sum', '   2614 Ratio', '   0.10%)']", ,[' 40651   '],[' 1911    '],[' 40328   '],[' 21968   '],"[' 65900    (Atom=Atom', ' 20655 Body=Body', ' 11181 Other', ' 34064)']",[' Yes'],"[' 2188     (Eliminated', '    0 Frozen', ' 2188)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.247105'],[' 0'], ,[' 10.6986'],[' 0'],[' 0.331301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05118e+07'],[' 5.69828e+06'],[' 0'],[' 8.12023e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA47, , ,[' 859'],[' 437'],"[' 4.736s (Solving', ' 3.22s 1st Model', ' 0.44s Unsat', ' 0.96s)']",[' 4.656s'], ,[' 653422  '],"[' 92547    (Analyzed', ' 45925)']","[' 328      (Average', ' 140.02 Last', ' 691)']",[' 953.7   '],"[' 437      (Average Length', ' 208.47 Splits', ' 0)']","[' 45925    (Deleted', ' 40156)']","[' 63       (Ratio', '   0.14%)']","[' 500      (Ratio', '   1.09%)']","[' 45925    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45925    (Average', '  6.30 Max', ' 1210 Sum', ' 289326)']","[' 45851    (Average', '  6.21 Max', ' 1210 Sum', ' 285277 Ratio', '  98.60%)']","[' 74       (Average', ' 54.72 Max', ' 283 Sum', '   4049 Ratio', '   1.40%)']", ,[' 40219   '],[' 1872    '],[' 40033   '],[' 21566   '],"[' 64694    (Atom=Atom', ' 20292 Body=Body', ' 11142 Other', ' 33260)']",[' Yes'],"[' 2286     (Eliminated', '    0 Frozen', ' 2286)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.332254'],[' 0'], ,[' 1.52451'],[' 0'],[' 0.0454248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44619e+06'],[' 4.06109e+06'],[' 0'],[' 1.42004e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA48, , ,[' 671'],[' 343'],"[' 4.473s (Solving', ' 3.49s 1st Model', ' 0.47s Unsat', ' 1.12s)']",[' 4.359s'], ,[' 527549  '],"[' 158655   (Analyzed', ' 60767)']","[' 516      (Average', ' 117.77 Last', ' 571)']",[' 881.6   '],"[' 343      (Average Length', ' 166.33 Splits', ' 0)']","[' 60767    (Deleted', ' 52324)']","[' 63       (Ratio', '   0.10%)']","[' 571      (Ratio', '   0.94%)']","[' 60767    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 60767    (Average', '  3.11 Max', ' 1173 Sum', ' 188929)']","[' 60694    (Average', '  3.07 Max', ' 1173 Sum', ' 186714 Ratio', '  98.83%)']","[' 73       (Average', ' 30.34 Max', ' 236 Sum', '   2215 Ratio', '   1.17%)']", ,[' 39737   '],[' 1833    '],[' 39466   '],[' 21277   '],"[' 63827    (Atom=Atom', ' 20042 Body=Body', ' 11103 Other', ' 32682)']",[' Yes'],"[' 2162     (Eliminated', '    0 Frozen', ' 2162)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.277709'],[' 0'], ,[' 1.7874'],[' 0'],[' 0.0434216'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.48424e+06'],[' 3.07037e+06'],[' 0'],[' 1.79026e+08'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA49, , ,[' 757'],[' 386'],"[' 3.512s (Solving', ' 2.26s 1st Model', ' 0.47s Unsat', ' 0.28s)']",[' 3.391s'], ,[' 532151  '],"[' 45320    (Analyzed', ' 16933)']","[' 178      (Average', ' 95.13 Last', ' 100)']",[' 933.8   '],"[' 386      (Average Length', ' 186.15 Splits', ' 0)']","[' 16933    (Deleted', ' 8354)']","[' 53       (Ratio', '   0.31%)']","[' 341      (Ratio', '   2.01%)']","[' 16933    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16933    (Average', ' 13.24 Max', ' 1183 Sum', ' 224241)']","[' 16857    (Average', ' 13.00 Max', ' 1183 Sum', ' 220129 Ratio', '  98.17%)']","[' 76       (Average', ' 54.11 Max', ' 312 Sum', '   4112 Ratio', '   1.83%)']", ,[' 40345   '],[' 1862    '],[' 40114   '],[' 21523   '],"[' 64565    (Atom=Atom', ' 20259 Body=Body', ' 11132 Other', ' 33174)']",[' Yes'],"[' 2231     (Eliminated', '    0 Frozen', ' 2231)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.297674'],[' 0'], ,[' 0.804464'],[' 0'],[' 0.0297457'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.73994e+06'],[' 3.466e+06'],[' 0'],[' 4.71135e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA50, , ,[' 695'],[' 355'],"[' 3.182s (Solving', ' 2.12s 1st Model', ' 0.18s Unsat', ' 0.28s)']",[' 3.141s'], ,[' 400975  '],"[' 71273    (Analyzed', ' 11673)']","[' 151      (Average', ' 77.30 Last', ' 226)']",[' 759.9   '],"[' 355      (Average Length', ' 169.75 Splits', ' 0)']","[' 11673    (Deleted', ' 7965)']","[' 68       (Ratio', '   0.58%)']","[' 383      (Ratio', '   3.28%)']","[' 11673    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11673    (Average', ' 11.74 Max', ' 800 Sum', ' 136986)']","[' 11601    (Average', ' 11.62 Max', ' 800 Sum', ' 135591 Ratio', '  98.98%)']","[' 72       (Average', ' 19.38 Max', ' 307 Sum', '   1395 Ratio', '   1.02%)']", ,[' 39476   '],[' 1816    '],[' 39210   '],[' 21148   '],"[' 63440    (Atom=Atom', ' 19930 Body=Body', ' 11086 Other', ' 32424)']",[' Yes'],"[' 2150     (Eliminated', '    0 Frozen', ' 2150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.239823'],[' 0'], ,[' 1.04849'],[' 0'],[' 0.0246173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56475e+06'],[' 2.31792e+06'],[' 0'],[' 9.88044e+07'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
