Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA51, , ,[' 459'],[' 239'],"[' 146.681s (Solving', ' 145.04s 1st Model', ' 0.45s Unsat', ' 22.74s)']",[' 146.281s'], ,[' 4816902 '],"[' 2412512  (Analyzed', ' 2347139)']","[' 5947     (Average', ' 394.68 Last', ' 1118)']",[' 1280.7  '],"[' 239      (Average Length', ' 114.54 Splits', ' 0)']","[' 2347139  (Deleted', ' 2305344)']","[' 75       (Ratio', '   0.00%)']","[' 2066     (Ratio', '   0.09%)']","[' 2347139  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2347139  (Average', '  1.87 Max', ' 1853 Sum', ' 4398741)']","[' 2346993  (Average', '  1.87 Max', ' 1853 Sum', ' 4388684 Ratio', '  99.77%)']","[' 146      (Average', ' 68.88 Max', ' 183 Sum', '  10057 Ratio', '   0.23%)']", ,[' 74152   '],[' 2827    '],[' 73631   '],[' 42644   '],"[' 127928   (Atom=Atom', ' 40565 Body=Body', ' 21902 Other', ' 65461)']",[' Yes'],"[' 3056     (Eliminated', '    0 Frozen', ' 3056)']","[' 172      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.378079'],[' 0'], ,[' 128.5'],[' 0'],[' 2.17436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70361e+07'],[' 1.14348e+07'],[' 0'],[' 2.1886e+10'],[' 0'],[' 0'],[' 494 '],[' 956 '],[' 1453 '],[' 1761 '],[' 2414 '],[' 2866 '],[' 3275 '],[' 3828 '],[' 4294 ']
Solving...,TA52, , ,[' 363'],[' 191'],"[' 210.686s (Solving', ' 209.37s 1st Model', ' 0.47s Unsat', ' 87.88s)']",[' 210.344s'], ,[' 9768376 '],"[' 6559221  (Analyzed', ' 6556163)']","[' 14574    (Average', ' 449.85 Last', ' 6051)']",[' 1199.5  '],"[' 191      (Average Length', ' 90.62 Splits', ' 0)']","[' 6556163  (Deleted', ' 6465753)']","[' 103      (Ratio', '   0.00%)']","[' 2381     (Ratio', '   0.04%)']","[' 6556163  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6556163  (Average', '  1.43 Max', ' 1750 Sum', ' 9362545)']","[' 6555961  (Average', '  1.43 Max', ' 1750 Sum', ' 9353107 Ratio', '  99.90%)']","[' 202      (Average', ' 46.72 Max', ' 150 Sum', '   9438 Ratio', '   0.10%)']", ,[' 74755   '],[' 2790    '],[' 74186   '],[' 42197   '],"[' 126587   (Atom=Atom', ' 40155 Body=Body', ' 21865 Other', ' 64567)']",[' Yes'],"[' 2971     (Eliminated', '    0 Frozen', ' 2971)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.323997'],[' 0'], ,[' 170.303'],[' 0'],[' 3.01048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88558e+07'],[' 1.38372e+07'],[' 0'],[' 2.64882e+10'],[' 0'],[' 0'],[' 557 '],[' 1093 '],[' 1406 '],[' 1871 '],[' 2264 '],[' 2675 '],[' 3168 '],[' 3826 '],[' 4167 ']
Solving...,TA53, , ,[' 497'],[' 258'],"[' 125.555s (Solving', ' 123.90s 1st Model', ' 0.58s Unsat', ' 1.84s)']",[' 125.234s'], ,[' 7519737 '],"[' 4853672  (Analyzed', ' 4840803)']","[' 10235    (Average', ' 472.97 Last', ' 85199)']",[' 1195.6  '],"[' 258      (Average Length', ' 123.54 Splits', ' 0)']","[' 4840803  (Deleted', ' 4757280)']","[' 92       (Ratio', '   0.00%)']","[' 1426     (Ratio', '   0.03%)']","[' 4840803  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4840803  (Average', '  1.47 Max', ' 1719 Sum', ' 7117969)']","[' 4840633  (Average', '  1.47 Max', ' 1719 Sum', ' 7108771 Ratio', '  99.87%)']","[' 170      (Average', ' 54.11 Max', ' 189 Sum', '   9198 Ratio', '   0.13%)']", ,[' 73104   '],[' 2699    '],[' 72601   '],[' 40951   '],"[' 122849   (Atom=Atom', ' 39000 Body=Body', ' 21774 Other', ' 62075)']",[' Yes'],"[' 2946     (Eliminated', '    0 Frozen', ' 2946)']","[' 106      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.380711'],[' 0'], ,[' 92.7853'],[' 0'],[' 1.75993'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3466e+07'],[' 1.25744e+07'],[' 0'],[' 1.31131e+10'],[' 0'],[' 0'],[' 423 '],[' 1030 '],[' 1377 '],[' 1683 '],[' 2079 '],[' 2548 '],[' 2930 '],[' 3490 '],[' 3920 ']
Solving...,TA54, , ,[' 433'],[' 226'],"[' 151.665s (Solving', ' 150.08s 1st Model', ' 0.43s Unsat', ' 27.92s)']",[' 150.250s'], ,[' 5519260 '],"[' 3790507  (Analyzed', ' 3725079)']","[' 9184     (Average', ' 405.61 Last', ' 11117)']",[' 1125.3  '],"[' 226      (Average Length', ' 108.73 Splits', ' 0)']","[' 3725079  (Deleted', ' 3664349)']","[' 80       (Ratio', '   0.00%)']","[' 1688     (Ratio', '   0.05%)']","[' 3725079  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3725079  (Average', '  1.38 Max', ' 1857 Sum', ' 5136133)']","[' 3724949  (Average', '  1.38 Max', ' 1857 Sum', ' 5130093 Ratio', '  99.88%)']","[' 130      (Average', ' 46.46 Max', ' 169 Sum', '   6040 Ratio', '   0.12%)']", ,[' 75159   '],[' 2812    '],[' 74625   '],[' 42502   '],"[' 127502   (Atom=Atom', ' 40438 Body=Body', ' 21887 Other', ' 65177)']",[' Yes'],"[' 3028     (Eliminated', '    0 Frozen', ' 3028)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.358978'],[' 0'], ,[' 123.405'],[' 0'],[' 2.41778'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77366e+07'],[' 9.23535e+06'],[' 0'],[' 1.71475e+10'],[' 0'],[' 0'],[' 485 '],[' 879 '],[' 1252 '],[' 1743 '],[' 2102 '],[' 2520 '],[' 3163 '],[' 3570 '],[' 3978 ']
Solving...,TA55, , ,[' 505'],[' 262'],"[' 140.239s (Solving', ' 138.66s 1st Model', ' 0.47s Unsat', ' 16.84s)']",[' 139.625s'], ,[' 10025711'],"[' 7164037  (Analyzed', ' 7152539)']","[' 14916    (Average', ' 479.52 Last', ' 28076)']",[' 1138.5  '],"[' 262      (Average Length', ' 125.00 Splits', ' 0)']","[' 7152539  (Deleted', ' 7045241)']","[' 90       (Ratio', '   0.00%)']","[' 1938     (Ratio', '   0.03%)']","[' 7152539  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7152539  (Average', '  1.34 Max', ' 1784 Sum', ' 9566962)']","[' 7152358  (Average', '  1.34 Max', ' 1784 Sum', ' 9548997 Ratio', '  99.81%)']","[' 181      (Average', ' 99.25 Max', ' 227 Sum', '  17965 Ratio', '   0.19%)']", ,[' 74690   '],[' 2835    '],[' 74187   '],[' 43055   '],"[' 129161   (Atom=Atom', ' 40968 Body=Body', ' 21910 Other', ' 66283)']",[' Yes'],"[' 3082     (Eliminated', '    0 Frozen', ' 3082)']","[' 115      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.358158'],[' 0'], ,[' 96.5251'],[' 0'],[' 2.07699'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.97227e+07'],[' 1.37429e+07'],[' 0'],[' 1.28709e+10'],[' 0'],[' 0'],[' 682 '],[' 920 '],[' 1467 '],[' 1900 '],[' 2308 '],[' 2773 '],[' 3187 '],[' 3840 '],[' 4262 ']
Solving...,TA56, ,[' 1'],[' 471+'],[' 245'],"[' 168.996s (Solving', ' 167.35s 1st Model', ' 0.55s Unsat', ' 45.40s)']",[' 168.531s'], ,[' 10319338'],"[' 7469133  (Analyzed', ' 7457666)']","[' 15444    (Average', ' 482.88 Last', ' 60098)']",[' 1273.1  '],"[' 245      (Average Length', ' 117.29 Splits', ' 0)']","[' 7457666  (Deleted', ' 7353049)']","[' 86       (Ratio', '   0.00%)']","[' 1864     (Ratio', '   0.02%)']","[' 7457666  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7457666  (Average', '  1.32 Max', ' 1848 Sum', ' 9832475)']","[' 7457544  (Average', '  1.32 Max', ' 1848 Sum', ' 9830672 Ratio', '  99.98%)']","[' 122      (Average', ' 14.78 Max', ' 496 Sum', '   1803 Ratio', '   0.02%)']", ,[' 74437   '],[' 2787    '],[' 73921   '],[' 42432   '],"[' 127292   (Atom=Atom', ' 40393 Body=Body', ' 21862 Other', ' 65037)']",[' Yes'],"[' 3021     (Eliminated', '    0 Frozen', ' 3021)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.387426'],[' 0'], ,[' 121.986'],[' 0'],[' 2.37089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09271e+07'],[' 1.40388e+07'],[' 0'],[' 1.74068e+10'],[' 0'],[' 0'],[' 748 '],[' 1157 '],[' 1585 '],[' 2212 '],[' 2590 '],[' 3038 '],[' 3413 '],[' 3795 '],[' 4297 ']
Solving...,TA57, , ,[' 501'],[' 260'],"[' 209.504s (Solving', ' 207.75s 1st Model', ' 0.71s Unsat', ' 25.42s)']",[' 208.938s'], ,[' 10052706'],"[' 6260783  (Analyzed', ' 6240616)']","[' 14373    (Average', ' 434.19 Last', ' 7860)']",[' 1314.9  '],"[' 260      (Average Length', ' 124.06 Splits', ' 0)']","[' 6240616  (Deleted', ' 6134908)']","[' 70       (Ratio', '   0.00%)']","[' 1909     (Ratio', '   0.03%)']","[' 6240616  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6240616  (Average', '  1.53 Max', ' 1787 Sum', ' 9553271)']","[' 6240467  (Average', '  1.53 Max', ' 1787 Sum', ' 9541699 Ratio', '  99.88%)']","[' 149      (Average', ' 77.66 Max', ' 186 Sum', '  11572 Ratio', '   0.12%)']", ,[' 74404   '],[' 2791    '],[' 73903   '],[' 42177   '],"[' 126527   (Atom=Atom', ' 40134 Body=Body', ' 21866 Other', ' 64527)']",[' Yes'],"[' 3040     (Eliminated', '    0 Frozen', ' 3040)']","[' 185      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.421784'],[' 0'], ,[' 167.781'],[' 0'],[' 2.82738'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24853e+07'],[' 1.7698e+07'],[' 0'],[' 2.42365e+10'],[' 0'],[' 0'],[' 522 '],[' 1097 '],[' 1408 '],[' 1820 '],[' 2231 '],[' 2567 '],[' 3135 '],[' 3804 '],[' 4205 ']
Solving...,TA58, , ,[' 499'],[' 259'],"[' 75.498s (Solving', ' 73.79s 1st Model', ' 0.62s Unsat', ' 11.68s)']",[' 75.188s'], ,[' 2820740 '],"[' 1737294  (Analyzed', ' 1727768)']","[' 4479     (Average', ' 385.75 Last', ' 1604)']",[' 1333.7  '],"[' 259      (Average Length', ' 123.64 Splits', ' 0)']","[' 1727768  (Deleted', ' 1690424)']","[' 105      (Ratio', '   0.01%)']","[' 1248     (Ratio', '   0.07%)']","[' 1727768  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1727768  (Average', '  1.43 Max', ' 1935 Sum', ' 2475623)']","[' 1727622  (Average', '  1.43 Max', ' 1935 Sum', ' 2470490 Ratio', '  99.79%)']","[' 146      (Average', ' 35.16 Max', ' 218 Sum', '   5133 Ratio', '   0.21%)']", ,[' 74398   '],[' 2836    '],[' 73896   '],[' 42475   '],"[' 127421   (Atom=Atom', ' 40387 Body=Body', ' 21911 Other', ' 65123)']",[' Yes'],"[' 3084     (Eliminated', '    0 Frozen', ' 3084)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.401064'],[' 0'], ,[' 61.3142'],[' 0'],[' 1.03649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10381e+07'],[' 6.88637e+06'],[' 0'],[' 1.01038e+10'],[' 0'],[' 0'],[' 555 '],[' 1040 '],[' 1494 '],[' 1854 '],[' 2274 '],[' 2664 '],[' 3252 '],[' 3656 '],[' 4167 ']
Solving...,TA59, ,[' 1'],[' 427+'],[' 223'],"[' 245.765s (Solving', ' 244.19s 1st Model', ' 0.49s Unsat', ' 2.36s)']",[' 245.234s'], ,[' 13124590'],"[' 9354868  (Analyzed', ' 9344375)']","[' 20150    (Average', ' 463.74 Last', ' 201061)']",[' 1268.7  '],"[' 223      (Average Length', ' 106.24 Splits', ' 0)']","[' 9344375  (Deleted', ' 9202846)']","[' 61       (Ratio', '   0.00%)']","[' 2136     (Ratio', '   0.02%)']","[' 9344375  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9344375  (Average', '  1.35 Max', ' 1727 Sum', ' 12603233)']","[' 9344239  (Average', '  1.35 Max', ' 1727 Sum', ' 12595924 Ratio', '  99.94%)']","[' 136      (Average', ' 53.74 Max', ' 158 Sum', '   7309 Ratio', '   0.06%)']", ,[' 73806   '],[' 2751    '],[' 73269   '],[' 41552   '],"[' 124652   (Atom=Atom', ' 39549 Body=Body', ' 21826 Other', ' 63277)']",[' Yes'],"[' 2964     (Eliminated', '    0 Frozen', ' 2964)']","[' 120      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.374233'],[' 0'], ,[' 188.437'],[' 0'],[' 2.88896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01118e+07'],[' 1.88343e+07'],[' 0'],[' 2.38045e+10'],[' 0'],[' 0'],[' 470 '],[' 998 '],[' 1346 '],[' 1725 '],[' 2229 '],[' 2695 '],[' 3228 '],[' 3592 '],[' 4149 ']
