Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , , ,[' 2221'],[' 1116'],"[' 539.037s (Solving', ' 534.79s 1st Model', ' 5.78s Unsat', ' 121.95s)']",[' 535.375s'], ,[' 60383104'],"[' 26126327 (Analyzed', ' 26013338)']","[' 47550    (Average', ' 547.07 Last', ' 104458)']",[' 2177.4  '],"[' 1116     (Average Length', ' 616.39 Splits', ' 0)']","[' 26013338 (Deleted', ' 25653405)']","[' 51       (Ratio', '   0.00%)']","[' 4461     (Ratio', '   0.02%)']","[' 26013338 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26013338 (Average', '  2.24 Max', ' 2840 Sum', ' 58205738)']","[' 26012799 (Average', '  2.22 Max', ' 2840 Sum', ' 57870109 Ratio', '  99.42%)']","[' 539      (Average', ' 622.69 Max', ' 845 Sum', ' 335629 Ratio', '   0.58%)']", ,[' 73063   '],[' 3526    '],[' 67211   '],[' 26913   '],"[' 72480    (Atom=Atom', ' 20177 Body=Body', ' 12738 Other', ' 39565)']",[' Yes'],"[' 4975     (Eliminated', '    0 Frozen', ' 4975)']","[' 905      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.902997'],[' 0'], ,[' 326.697'],[' 0'],[' 8.46042'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42562e+08'],[' 7.08303e+07'],[' 0'],[' 1.85094e+10'],[' 0'],[' 0'],[' 828 '],[' 1362 '],[' 1999 '],[' 2558 '],[' 3027 '],[' 2 '],[' 3 ']
Solving...,TA52, , , , ,[' 1'],[' 1975+'],[' 993'],"[' 887.258s (Solving', ' 883.57s 1st Model', ' 3.02s Unsat', ' 82.54s)']",[' 883.656s'], ,[' 85892482'],"[' 40086913 (Analyzed', ' 40004402)']","[' 72074    (Average', ' 555.05 Last', ' 7940)']",[' 1981.4  '],"[' 993      (Average Length', ' 563.09 Splits', ' 0)']","[' 40004402 (Deleted', ' 39588946)']","[' 50       (Ratio', '   0.00%)']","[' 6000     (Ratio', '   0.01%)']","[' 40004402 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 40004402 (Average', '  2.09 Max', ' 2887 Sum', ' 83685098)']","[' 40003851 (Average', '  2.08 Max', ' 2564 Sum', ' 83335852 Ratio', '  99.58%)']","[' 551      (Average', ' 633.84 Max', ' 785 Sum', ' 349246 Ratio', '   0.42%)']", ,[' 72821   '],[' 3551    '],[' 66894   '],[' 26841   '],"[' 72511    (Atom=Atom', ' 20154 Body=Body', ' 12813 Other', ' 39544)']",[' Yes'],"[' 4919     (Eliminated', '    0 Frozen', ' 4919)']","[' 1208     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.761982'],[' 0'], ,[' 584.743'],[' 0'],[' 13.4619'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27718e+08'],[' 1.22002e+08'],[' 0'],[' 3.63617e+10'],[' 0'],[' 0'],[' 807 '],[' 1391 '],[' 2197 '],[' 2776 '],[' 3173 '],[' 4 '],[' 1 ']
Solving...,TA53, , , , , ,[' 2125'],[' 1068'],"[' 271.014s (Solving', ' 267.34s 1st Model', ' 3.29s Unsat', ' 54.61s)']",[' 269.391s'], ,[' 35537636'],"[' 16460841 (Analyzed', ' 16380203)']","[' 29236    (Average', ' 560.28 Last', ' 58448)']",[' 2121.9  '],"[' 1068     (Average Length', ' 589.33 Splits', ' 0)']","[' 16380203 (Deleted', ' 16227730)']","[' 24       (Ratio', '   0.00%)']","[' 3990     (Ratio', '   0.02%)']","[' 16380203 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16380203 (Average', '  2.05 Max', ' 2950 Sum', ' 33639663)']","[' 16379787 (Average', '  2.04 Max', ' 2950 Sum', ' 33390627 Ratio', '  99.26%)']","[' 416      (Average', ' 598.64 Max', ' 816 Sum', ' 249036 Ratio', '   0.74%)']", ,[' 72970   '],[' 3529    '],[' 67158   '],[' 26810   '],"[' 72398    (Atom=Atom', ' 20141 Body=Body', ' 12747 Other', ' 39510)']",[' Yes'],"[' 4941     (Eliminated', '    0 Frozen', ' 4941)']","[' 682      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.776519'],[' 0'], ,[' 130.953'],[' 0'],[' 3.93121'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.60247e+07'],[' 4.46769e+07'],[' 0'],[' 8.02387e+09'],[' 0'],[' 0'],[' 742 '],[' 1374 '],[' 1834 '],[' 2474 '],[' 2945 '],[' 1 '],[' 4 ']
Solving...,TA54, , , , ,[' 1'],[' 2195+'],[' 1103'],"[' 640.099s (Solving', ' 635.82s 1st Model', ' 3.55s Unsat', ' 227.51s)']",[' 637.125s'], ,[' 57530050'],"[' 29651688 (Analyzed', ' 29560576)']","[' 54266    (Average', ' 544.73 Last', ' 44674)']",[' 2237.9  '],"[' 1103     (Average Length', ' 599.99 Splits', ' 0)']","[' 29560576 (Deleted', ' 29079313)']","[' 31       (Ratio', '   0.00%)']","[' 3243     (Ratio', '   0.01%)']","[' 29560576 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29560576 (Average', '  1.87 Max', ' 2874 Sum', ' 55286178)']","[' 29560032 (Average', '  1.86 Max', ' 2639 Sum', ' 54972980 Ratio', '  99.43%)']","[' 544      (Average', ' 575.73 Max', ' 787 Sum', ' 313198 Ratio', '   0.57%)']", ,[' 72917   '],[' 3532    '],[' 67108   '],[' 26855   '],"[' 72558    (Atom=Atom', ' 20188 Body=Body', ' 12756 Other', ' 39614)']",[' Yes'],"[' 4965     (Eliminated', '    0 Frozen', ' 4965)']","[' 564      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.907589'],[' 0'], ,[' 405.335'],[' 0'],[' 10.3905'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46499e+08'],[' 7.3019e+07'],[' 0'],[' 2.55278e+10'],[' 0'],[' 0'],[' 812 '],[' 1390 '],[' 1920 '],[' 2399 '],[' 2918 '],[' 2 '],[' 3 ']
Solving...,TA55, , , , , ,[' 2289'],[' 1150'],"[' 621.659s (Solving', ' 617.44s 1st Model', ' 6.56s Unsat', ' 203.41s)']",[' 618.875s'], ,[' 64300498'],"[' 26646607 (Analyzed', ' 26539091)']","[' 48308    (Average', ' 549.37 Last', ' 78753)']",[' 2119.4  '],"[' 1150     (Average Length', ' 631.29 Splits', ' 0)']","[' 26539091 (Deleted', ' 26156129)']","[' 69       (Ratio', '   0.00%)']","[' 5213     (Ratio', '   0.02%)']","[' 26539091 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26539091 (Average', '  2.34 Max', ' 2681 Sum', ' 62110973)']","[' 26538643 (Average', '  2.33 Max', ' 2681 Sum', ' 61827822 Ratio', '  99.54%)']","[' 448      (Average', ' 632.03 Max', ' 864 Sum', ' 283151 Ratio', '   0.46%)']", ,[' 72925   '],[' 3474    '],[' 67059   '],[' 26815   '],"[' 71821    (Atom=Atom', ' 20003 Body=Body', ' 12582 Other', ' 39236)']",[' Yes'],"[' 4956     (Eliminated', '    0 Frozen', ' 4956)']","[' 918      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.883961'],[' 0'], ,[' 399.515'],[' 0'],[' 10.1755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70214e+08'],[' 9.5534e+07'],[' 0'],[' 2.24422e+10'],[' 0'],[' 0'],[' 734 '],[' 1263 '],[' 1844 '],[' 2501 '],[' 2975 '],[' 2 '],[' 3 ']
Solving...,TA56, , , , ,[' 1'],[' 1775+'],[' 893'],"[' 690.081s (Solving', ' 686.62s 1st Model', ' 3.15s Unsat', ' 82.32s)']",[' 686.750s'], ,[' 62924873'],"[' 33863633 (Analyzed', ' 33787446)']","[' 62892    (Average', ' 537.23 Last', ' 74946)']",[' 2167.3  '],"[' 893      (Average Length', ' 510.96 Splits', ' 0)']","[' 33787446 (Deleted', ' 33346769)']","[' 18       (Ratio', '   0.00%)']","[' 3437     (Ratio', '   0.01%)']","[' 33787446 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33787446 (Average', '  1.80 Max', ' 2740 Sum', ' 60680045)']","[' 33786995 (Average', '  1.79 Max', ' 2661 Sum', ' 60442677 Ratio', '  99.61%)']","[' 451      (Average', ' 526.31 Max', ' 664 Sum', ' 237368 Ratio', '   0.39%)']", ,[' 72523   '],[' 3489    '],[' 66501   '],[' 26533   '],"[' 71281    (Atom=Atom', ' 19806 Body=Body', ' 12627 Other', ' 38848)']",[' Yes'],"[' 4766     (Eliminated', '    0 Frozen', ' 4766)']","[' 519      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.738666'],[' 0'], ,[' 446.276'],[' 0'],[' 10.3427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65091e+08'],[' 8.05909e+07'],[' 0'],[' 2.65435e+10'],[' 0'],[' 0'],[' 810 '],[' 1440 '],[' 2154 '],[' 2653 '],[' 3126 '],[' 3 '],[' 2 ']
Solving...,TA57, , , , ,[' 1'],[' 1781+'],[' 896'],"[' 1001.247s (Solving', ' 997.65s 1st Model', ' 2.83s Unsat', ' 0.00s)']",[' 993.422s'], ,[' 86414323'],"[' 44896033 (Analyzed', ' 44812104)']","[' 81096    (Average', ' 552.58 Last', ' 25343)']",[' 2076.7  '],"[' 896      (Average Length', ' 510.91 Splits', ' 0)']","[' 44812104 (Deleted', ' 44284596)']","[' 19       (Ratio', '   0.00%)']","[' 4459     (Ratio', '   0.01%)']","[' 44812104 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44812104 (Average', '  1.88 Max', ' 2733 Sum', ' 84152491)']","[' 44811506 (Average', '  1.87 Max', ' 2439 Sum', ' 83833185 Ratio', '  99.62%)']","[' 598      (Average', ' 533.96 Max', ' 673 Sum', ' 319306 Ratio', '   0.38%)']", ,[' 72752   '],[' 3567    '],[' 66790   '],[' 26760   '],"[' 72455    (Atom=Atom', ' 20121 Body=Body', ' 12861 Other', ' 39473)']",[' Yes'],"[' 4854     (Eliminated', '    0 Frozen', ' 4854)']","[' 857      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.743321'],[' 0'], ,[' 636.436'],[' 0'],[' 14.2386'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24138e+08'],[' 1.10644e+08'],[' 0'],[' 3.64874e+10'],[' 0'],[' 0'],[' 895 '],[' 1478 '],[' 2279 '],[' 2814 '],[' 3263 '],[' 5 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 1961+'],[' 986'],"[' 805.887s (Solving', ' 801.81s 1st Model', ' 3.72s Unsat', ' 0.30s)']",[' 797.563s'], ,[' 72920158'],"[' 31322062 (Analyzed', ' 31251750)']","[' 55341    (Average', ' 564.71 Last', ' 25028)']",[' 2165.4  '],"[' 986      (Average Length', ' 562.70 Splits', ' 0)']","[' 31251750 (Deleted', ' 30935602)']","[' 28       (Ratio', '   0.00%)']","[' 5740     (Ratio', '   0.02%)']","[' 31251750 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31251750 (Average', '  2.26 Max', ' 2810 Sum', ' 70696665)']","[' 31251209 (Average', '  2.25 Max', ' 2810 Sum', ' 70402396 Ratio', '  99.58%)']","[' 541      (Average', ' 543.94 Max', ' 756 Sum', ' 294269 Ratio', '   0.42%)']", ,[' 72733   '],[' 3536    '],[' 66895   '],[' 26710   '],"[' 72272    (Atom=Atom', ' 20087 Body=Body', ' 12768 Other', ' 39417)']",[' Yes'],"[' 4885     (Eliminated', '    0 Frozen', ' 4885)']","[' 821      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.871495'],[' 0'], ,[' 528.546'],[' 0'],[' 13.8196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87005e+08'],[' 9.96194e+07'],[' 0'],[' 2.9572e+10'],[' 0'],[' 0'],[' 825 '],[' 1535 '],[' 2110 '],[' 2663 '],[' 3177 '],[' 4 '],[' 1 ']
Solving...,TA59, , , , ,[' 1'],[' 2153+'],[' 1082'],"[' 616.513s (Solving', ' 612.02s 1st Model', ' 5.36s Unsat', ' 4.49s)']",[' 611.406s'], ,[' 63495481'],"[' 24139028 (Analyzed', ' 24058670)']","[' 41208    (Average', ' 583.83 Last', ' 97954)']",[' 2100.7  '],"[' 1082     (Average Length', ' 597.04 Splits', ' 0)']","[' 24058670 (Deleted', ' 23776889)']","[' 67       (Ratio', '   0.00%)']","[' 6046     (Ratio', '   0.03%)']","[' 24058670 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24058670 (Average', '  2.55 Max', ' 2818 Sum', ' 61343708)']","[' 24058287 (Average', '  2.54 Max', ' 2428 Sum', ' 61144776 Ratio', '  99.68%)']","[' 383      (Average', ' 519.40 Max', ' 790 Sum', ' 198932 Ratio', '   0.32%)']", ,[' 72760   '],[' 3496    '],[' 66961   '],[' 26694   '],"[' 71950    (Atom=Atom', ' 20023 Body=Body', ' 12648 Other', ' 39279)']",[' Yes'],"[' 4936     (Eliminated', '    0 Frozen', ' 4936)']","[' 1082     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.968755'],[' 0'], ,[' 399.07'],[' 0'],[' 11.7039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74202e+08'],[' 1.02074e+08'],[' 0'],[' 2.15443e+10'],[' 0'],[' 0'],[' 765 '],[' 1254 '],[' 1780 '],[' 2431 '],[' 2949 '],[' 3 '],[' 2 ']
Solving...,TA60, , , , , ,[' 2231'],[' 1121'],"[' 804.064s (Solving', ' 799.56s 1st Model', ' 5.21s Unsat', ' 192.97s)']",[' 796.359s'], ,[' 83707785'],"[' 36682800 (Analyzed', ' 36592929)']","[' 65707    (Average', ' 556.91 Last', ' 141692)']",[' 1960.3  '],"[' 1121     (Average Length', ' 613.09 Splits', ' 0)']","[' 36592929 (Deleted', ' 36203344)']","[' 74       (Ratio', '   0.00%)']","[' 7412     (Ratio', '   0.02%)']","[' 36592929 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36592929 (Average', '  2.23 Max', ' 2894 Sum', ' 81517790)']","[' 36592374 (Average', '  2.22 Max', ' 2136 Sum', ' 81158193 Ratio', '  99.56%)']","[' 555      (Average', ' 647.92 Max', ' 856 Sum', ' 359597 Ratio', '   0.44%)']", ,[' 73144   '],[' 3518    '],[' 67246   '],[' 26961   '],"[' 72409    (Atom=Atom', ' 20150 Body=Body', ' 12714 Other', ' 39545)']",[' Yes'],"[' 4981     (Eliminated', '    0 Frozen', ' 4981)']","[' 1341     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.949424'],[' 0'], ,[' 492.189'],[' 0'],[' 12.4307'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.261e+08'],[' 1.23383e+08'],[' 0'],[' 2.70633e+10'],[' 0'],[' 0'],[' 723 '],[' 1330 '],[' 1957 '],[' 2518 '],[' 2990 '],[' 3 '],[' 2 ']
