Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 5029+'],[' 2524'],"[' 614.644s (Solving', ' 571.85s 1st Model', ' 46.92s Unsat', ' 0.00s)']",[' 606.969s'], ,[' 82509694'],"[' 9736548  (Analyzed', ' 9460447)']","[' 20501    (Average', ' 461.46 Last', ' 11971)']",[' 6746.1  '],"[' 2525     (Average Length', ' 1338.11 Splits', ' 0)']","[' 9460447  (Deleted', ' 9337115)']","[' 214      (Ratio', '   0.00%)']","[' 13932    (Ratio', '   0.15%)']","[' 9460447  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9460447  (Average', '  7.48 Max', ' 8681 Sum', ' 70765281)']","[' 9458152  (Average', '  7.21 Max', ' 8681 Sum', ' 68175329 Ratio', '  96.34%)']","[' 2295     (Average', ' 1128.52 Max', ' 1820 Sum', ' 2589952 Ratio', '   3.66%)']", ,[' 288629  '],[' 12569   '],[' 265953  '],[' 101078  '],"[' 246597   (Atom=Atom', ' 69445 Body=Body', ' 46116 Other', ' 131036)']",[' Yes'],"[' 16443    (Eliminated', '    0 Frozen', ' 16443)']","[' 2633     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.77434'],[' 0'], ,[' 309.73'],[' 0'],[' 9.90105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46245e+08'],[' 1.12228e+08'],[' 0'],[' 1.33093e+10'],[' 0'],[' 0'],[' 972 '],[' 1494 '],[' 2409 '],[' 3195 '],[' 3702 '],[' 4204 '],[' 4897 '],[' 5372 '],[' 5980 '],[' 9 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 5487+'],[' 2753'],"[' 561.924s (Solving', ' 524.45s 1st Model', ' 46.28s Unsat', ' 0.00s)']",[' 555.906s'], ,[' 79733434'],"[' 8403958  (Analyzed', ' 8127481)']","[' 18715    (Average', ' 434.28 Last', ' 16601)']",[' 6650.1  '],"[' 2752     (Average Length', ' 1448.80 Splits', ' 0)']","[' 8127481  (Deleted', ' 8002409)']","[' 179      (Ratio', '   0.00%)']","[' 11125    (Ratio', '   0.14%)']","[' 8127481  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8127481  (Average', '  8.32 Max', ' 8915 Sum', ' 67584414)']","[' 8125385  (Average', '  7.97 Max', ' 8915 Sum', ' 64800925 Ratio', '  95.88%)']","[' 2096     (Average', ' 1328.00 Max', ' 2181 Sum', ' 2783489 Ratio', '   4.12%)']", ,[' 290332  '],[' 12374   '],[' 266577  '],[' 101753  '],"[' 244952   (Atom=Atom', ' 69078 Body=Body', ' 45610 Other', ' 130264)']",[' Yes'],"[' 16434    (Eliminated', '    0 Frozen', ' 16434)']","[' 1999     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.326'],[' 0'], ,[' 267.584'],[' 0'],[' 9.8887'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32284e+08'],[' 1.03042e+08'],[' 0'],[' 1.15467e+10'],[' 0'],[' 0'],[' 735 '],[' 1432 '],[' 1958 '],[' 2576 '],[' 3175 '],[' 3661 '],[' 4307 '],[' 5704 '],[' 5645 '],[' 9 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 5551+'],[' 2785'],"[' 613.054s (Solving', ' 570.52s 1st Model', ' 58.98s Unsat', ' 0.00s)']",[' 607.734s'], ,[' 81691187'],"[' 8384726  (Analyzed', ' 8140140)']","[' 18358    (Average', ' 443.41 Last', ' 115993)']",[' 7062.4  '],"[' 2785     (Average Length', ' 1448.77 Splits', ' 0)']","[' 8140140  (Deleted', ' 8009072)']","[' 223      (Ratio', '   0.00%)']","[' 12105    (Ratio', '   0.15%)']","[' 8140140  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8140140  (Average', '  8.35 Max', ' 9902 Sum', ' 67962019)']","[' 8137979  (Average', '  8.04 Max', ' 9902 Sum', ' 65469140 Ratio', '  96.33%)']","[' 2161     (Average', ' 1153.58 Max', ' 2069 Sum', ' 2492879 Ratio', '   3.67%)']", ,[' 291454  '],[' 12628   '],[' 268160  '],[' 102948  '],"[' 247392   (Atom=Atom', ' 69708 Body=Body', ' 46106 Other', ' 131578)']",[' Yes'],"[' 16575    (Eliminated', '    0 Frozen', ' 16575)']","[' 2080     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.1535'],[' 0'], ,[' 301.08'],[' 0'],[' 10.1741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37088e+08'],[' 1.07401e+08'],[' 0'],[' 1.24975e+10'],[' 0'],[' 0'],[' 1006 '],[' 1673 '],[' 2319 '],[' 2774 '],[' 3457 '],[' 4081 '],[' 4662 '],[' 5264 '],[' 5839 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 6361+'],[' 3190'],"[' 613.274s (Solving', ' 567.99s 1st Model', ' 60.49s Unsat', ' 0.00s)']",[' 608.484s'], ,[' 83583443'],"[' 8316960  (Analyzed', ' 8067602)']","[' 18188    (Average', ' 443.57 Last', ' 72426)']",[' 6867.6  '],"[' 3190     (Average Length', ' 1574.95 Splits', ' 0)']","[' 8067602  (Deleted', ' 7949020)']","[' 285      (Ratio', '   0.00%)']","[' 13054    (Ratio', '   0.16%)']","[' 8067602  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8067602  (Average', '  8.56 Max', ' 9267 Sum', ' 69032742)']","[' 8065327  (Average', '  8.19 Max', ' 9267 Sum', ' 66107436 Ratio', '  95.76%)']","[' 2275     (Average', ' 1285.85 Max', ' 2268 Sum', ' 2925306 Ratio', '   4.24%)']", ,[' 292510  '],[' 12430   '],[' 268337  '],[' 103235  '],"[' 247323   (Atom=Atom', ' 69800 Body=Body', ' 45808 Other', ' 131715)']",[' Yes'],"[' 16747    (Eliminated', '    0 Frozen', ' 16747)']","[' 2384     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.87976'],[' 0'], ,[' 282.166'],[' 0'],[' 9.96007'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4148e+08'],[' 1.10671e+08'],[' 0'],[' 1.20755e+10'],[' 0'],[' 0'],[' 860 '],[' 1396 '],[' 1962 '],[' 2609 '],[' 3143 '],[' 3770 '],[' 4353 '],[' 4920 '],[' 5505 '],[' 9 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 6573+'],[' 3296'],"[' 611.889s (Solving', ' 573.51s 1st Model', ' 54.20s Unsat', ' 0.00s)']",[' 608.578s'], ,[' 105764788'],"[' 8773585  (Analyzed', ' 8522802)']","[' 19572    (Average', ' 435.46 Last', ' 54812)']",[' 6239.1  '],"[' 3296     (Average Length', ' 1655.87 Splits', ' 0)']","[' 8522802  (Deleted', ' 8387925)']","[' 264      (Ratio', '   0.00%)']","[' 19783    (Ratio', '   0.23%)']","[' 8522802  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8522802  (Average', ' 10.98 Max', ' 9105 Sum', ' 93541121)']","[' 8520490  (Average', ' 10.56 Max', ' 9105 Sum', ' 90038204 Ratio', '  96.26%)']","[' 2312     (Average', ' 1515.10 Max', ' 2519 Sum', ' 3502917 Ratio', '   3.74%)']", ,[' 291162  '],[' 12608   '],[' 268298  '],[' 102682  '],"[' 249868   (Atom=Atom', ' 70479 Body=Body', ' 46313 Other', ' 133076)']",[' Yes'],"[' 17024    (Eliminated', '    0 Frozen', ' 17024)']","[' 3830     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.55724'],[' 0'], ,[' 301.896'],[' 0'],[' 10.8104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.955e+08'],[' 1.56292e+08'],[' 0'],[' 1.48964e+10'],[' 0'],[' 0'],[' 915 '],[' 1506 '],[' 2054 '],[' 2689 '],[' 3292 '],[' 3993 '],[' 4532 '],[' 5174 '],[' 5763 '],[' 9 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 5447+'],[' 2733'],"[' 608.454s (Solving', ' 579.01s 1st Model', ' 33.84s Unsat', ' 0.00s)']",[' 606.641s'], ,[' 96422682'],"[' 12778239 (Analyzed', ' 12472375)']","[' 27490    (Average', ' 453.71 Last', ' 87576)']",[' 6541.8  '],"[' 2733     (Average Length', ' 1431.35 Splits', ' 0)']","[' 12472375 (Deleted', ' 12302749)']","[' 220      (Ratio', '   0.00%)']","[' 14511    (Ratio', '   0.12%)']","[' 12472375 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12472375 (Average', '  6.77 Max', ' 9495 Sum', ' 84453413)']","[' 12470182 (Average', '  6.55 Max', ' 9495 Sum', ' 81659681 Ratio', '  96.69%)']","[' 2193     (Average', ' 1273.93 Max', ' 2083 Sum', ' 2793732 Ratio', '   3.31%)']", ,[' 289544  '],[' 12353   '],[' 265845  '],[' 101172  '],"[' 245255   (Atom=Atom', ' 69157 Body=Body', ' 45708 Other', ' 130390)']",[' Yes'],"[' 16463    (Eliminated', '    0 Frozen', ' 16463)']","[' 2782     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.97573'],[' 0'], ,[' 352.513'],[' 0'],[' 11.0867'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69016e+08'],[' 1.26792e+08'],[' 0'],[' 2.01066e+10'],[' 0'],[' 0'],[' 896 '],[' 1429 '],[' 2062 '],[' 2641 '],[' 3249 '],[' 3835 '],[' 4424 '],[' 5092 '],[' 5643 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 5879+'],[' 2949'],"[' 609.341s (Solving', ' 578.67s 1st Model', ' 37.49s Unsat', ' 0.00s)']",[' 607.672s'], ,[' 86149689'],"[' 13403582 (Analyzed', ' 13126154)']","[' 29139    (Average', ' 450.47 Last', ' 42441)']",[' 6959.5  '],"[' 2949     (Average Length', ' 1506.22 Splits', ' 0)']","[' 13126154 (Deleted', ' 12955706)']","[' 257      (Ratio', '   0.00%)']","[' 10607    (Ratio', '   0.08%)']","[' 13126154 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13126154 (Average', '  5.49 Max', ' 9038 Sum', ' 72077806)']","[' 13123975 (Average', '  5.28 Max', ' 9038 Sum', ' 69285184 Ratio', '  96.13%)']","[' 2179     (Average', ' 1281.61 Max', ' 2185 Sum', ' 2792622 Ratio', '   3.87%)']", ,[' 290576  '],[' 12360   '],[' 266715  '],[' 101802  '],"[' 245962   (Atom=Atom', ' 69392 Body=Body', ' 45698 Other', ' 130872)']",[' Yes'],"[' 16610    (Eliminated', '    0 Frozen', ' 16610)']","[' 1952     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.33956'],[' 0'], ,[' 350.698'],[' 0'],[' 9.60671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49811e+08'],[' 1.08873e+08'],[' 0'],[' 1.96366e+10'],[' 0'],[' 0'],[' 806 '],[' 1365 '],[' 2004 '],[' 2657 '],[' 3214 '],[' 3833 '],[' 4452 '],[' 5088 '],[' 5641 '],[' 9 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 5799+'],[' 2909'],"[' 609.182s (Solving', ' 576.44s 1st Model', ' 36.25s Unsat', ' 0.00s)']",[' 607.250s'], ,[' 93756360'],"[' 12885566 (Analyzed', ' 12652624)']","[' 26866    (Average', ' 470.95 Last', ' 104368)']",[' 7189.1  '],"[' 2909     (Average Length', ' 1505.83 Splits', ' 0)']","[' 12652624 (Deleted', ' 12492147)']","[' 189      (Ratio', '   0.00%)']","[' 12833    (Ratio', '   0.10%)']","[' 12652624 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12652624 (Average', '  6.26 Max', ' 9036 Sum', ' 79159441)']","[' 12650430 (Average', '  6.04 Max', ' 9036 Sum', ' 76467022 Ratio', '  96.60%)']","[' 2194     (Average', ' 1227.17 Max', ' 2096 Sum', ' 2692419 Ratio', '   3.40%)']", ,[' 290925  '],[' 12490   '],[' 267366  '],[' 102281  '],"[' 247170   (Atom=Atom', ' 69680 Body=Body', ' 45959 Other', ' 131531)']",[' Yes'],"[' 16704    (Eliminated', '    0 Frozen', ' 16704)']","[' 2191     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.58077'],[' 0'], ,[' 341.576'],[' 0'],[' 10.3522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65152e+08'],[' 1.22305e+08'],[' 0'],[' 1.99787e+10'],[' 0'],[' 0'],[' 946 '],[' 1549 '],[' 2071 '],[' 2696 '],[' 3276 '],[' 3845 '],[' 4675 '],[' 5112 '],[' 5682 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 6141+'],[' 3080'],"[' 609.559s (Solving', ' 576.57s 1st Model', ' 40.04s Unsat', ' 0.00s)']",[' 607.750s'], ,[' 95462915'],"[' 12553894 (Analyzed', ' 12226445)']","[' 27152    (Average', ' 450.30 Last', ' 33205)']",[' 6792.2  '],"[' 3080     (Average Length', ' 1540.43 Splits', ' 0)']","[' 12226445 (Deleted', ' 12044003)']","[' 298      (Ratio', '   0.00%)']","[' 12998    (Ratio', '   0.11%)']","[' 12226445 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12226445 (Average', '  6.68 Max', ' 9211 Sum', ' 81637456)']","[' 12224097 (Average', '  6.42 Max', ' 9211 Sum', ' 78479770 Ratio', '  96.13%)']","[' 2348     (Average', ' 1344.84 Max', ' 2248 Sum', ' 3157686 Ratio', '   3.87%)']", ,[' 292182  '],[' 12518   '],[' 268253  '],[' 103108  '],"[' 248190   (Atom=Atom', ' 69991 Body=Body', ' 46100 Other', ' 132099)']",[' Yes'],"[' 16771    (Eliminated', '    0 Frozen', ' 16771)']","[' 2575     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.72974'],[' 0'], ,[' 332.55'],[' 0'],[' 10.0174'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63826e+08'],[' 1.23314e+08'],[' 0'],[' 1.86351e+10'],[' 0'],[' 0'],[' 870 '],[' 1459 '],[' 2024 '],[' 2564 '],[' 3171 '],[' 3812 '],[' 4388 '],[' 4951 '],[' 5529 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 5957+'],[' 2988'],"[' 609.417s (Solving', ' 575.65s 1st Model', ' 56.17s Unsat', ' 0.00s)']",[' 607.938s'], ,[' 101892789'],"[' 12617889 (Analyzed', ' 12349757)']","[' 27311    (Average', ' 452.19 Last', ' 51035)']",[' 6589.7  '],"[' 2988     (Average Length', ' 1518.70 Splits', ' 0)']","[' 12349757 (Deleted', ' 12179306)']","[' 263      (Ratio', '   0.00%)']","[' 17907    (Ratio', '   0.14%)']","[' 12349757 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12349757 (Average', '  7.20 Max', ' 9133 Sum', ' 88879978)']","[' 12347450 (Average', '  6.96 Max', ' 9133 Sum', ' 85941977 Ratio', '  96.69%)']","[' 2307     (Average', ' 1273.52 Max', ' 2182 Sum', ' 2938001 Ratio', '   3.31%)']", ,[' 291594  '],[' 12534   '],[' 267860  '],[' 102709  '],"[' 248754   (Atom=Atom', ' 70141 Body=Body', ' 46269 Other', ' 132344)']",[' Yes'],"[' 16773    (Eliminated', '    0 Frozen', ' 16773)']","[' 3299     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.01376'],[' 0'], ,[' 322.89'],[' 0'],[' 10.3989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82938e+08'],[' 1.38456e+08'],[' 0'],[' 1.75792e+10'],[' 0'],[' 0'],[' 810 '],[' 1381 '],[' 2110 '],[' 2658 '],[' 3216 '],[' 3755 '],[' 4400 '],[' 4964 '],[' 5531 '],[' 9 '],[' 0 ']
