Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv16, , ,[' 203'],[' 110'],"[' 250.207s (Solving', ' 249.43s 1st Model', ' 0.17s Unsat', ' 69.00s)']",[' 249.328s'], ,[' 20650232'],"[' 15743353 (Analyzed', ' 15729767)']","[' 31999    (Average', ' 491.57 Last', ' 71243)']",[' 1104.0  '],"[' 110      (Average Length', ' 49.66 Splits', ' 0)']","[' 15729767 (Deleted', ' 15515774)']","[' 73       (Ratio', '   0.00%)']","[' 1937     (Ratio', '   0.01%)']","[' 15729767 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15729767 (Average', '  1.28 Max', ' 1335 Sum', ' 20096006)']","[' 15729664 (Average', '  1.28 Max', ' 1335 Sum', ' 20094770 Ratio', '  99.99%)']","[' 103      (Average', ' 12.00 Max', '  81 Sum', '   1236 Ratio', '   0.01%)']", ,[' 49844   '],[' 2013    '],[' 49445   '],[' 28723   '],"[' 86165    (Atom=Atom', ' 27208 Body=Body', ' 14713 Other', ' 44244)']",[' Yes'],"[' 2114     (Eliminated', '    0 Frozen', ' 2114)']","[' 66       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.177319'],[' 0'], ,[' 160.168'],[' 0'],[' 3.24793'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.53322e+07'],[' 2.05968e+07'],[' 0'],[' 2.00299e+10'],[' 0'],[' 0'],725,1326,1591,1983,2634,2891,3325,3751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv17, , ,[' 253'],[' 135'],"[' 212.987s (Solving', ' 212.31s 1st Model', ' 0.21s Unsat', ' 31.99s)']",[' 212.406s'], ,[' 12242370'],"[' 8501306  (Analyzed', ' 8492453)']","[' 19290    (Average', ' 440.25 Last', ' 9211)']",[' 903.1   '],"[' 135      (Average Length', ' 62.91 Splits', ' 0)']","[' 8492453  (Deleted', ' 8366839)']","[' 68       (Ratio', '   0.00%)']","[' 2251     (Ratio', '   0.03%)']","[' 8492453  (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8492453  (Average', '  1.40 Max', ' 1326 Sum', ' 11868380)']","[' 8492327  (Average', '  1.40 Max', ' 1326 Sum', ' 11863546 Ratio', '  99.96%)']","[' 126      (Average', ' 38.37 Max', '  95 Sum', '   4834 Ratio', '   0.04%)']", ,[' 50074   '],[' 2031    '],[' 49699   '],[' 28778   '],"[' 86330    (Atom=Atom', ' 27245 Body=Body', ' 14731 Other', ' 44354)']",[' Yes'],"[' 2156     (Eliminated', '    0 Frozen', ' 2156)']","[' 131      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.170171'],[' 0'], ,[' 162.316'],[' 0'],[' 2.80365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.45569e+07'],[' 1.56542e+07'],[' 0'],[' 2.41189e+10'],[' 0'],[' 0'],478,996,1375,1858,2421,2734,3311,3737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv18, , ,[' 241'],[' 129'],"[' 229.648s (Solving', ' 228.71s 1st Model', ' 0.23s Unsat', ' 48.25s)']",[' 228.938s'], ,[' 12606386'],"[' 9493304  (Analyzed', ' 9479096)']","[' 21250    (Average', ' 446.08 Last', ' 84658)']",[' 1055.4  '],"[' 129      (Average Length', ' 59.45 Splits', ' 0)']","[' 9479096  (Deleted', ' 9341769)']","[' 83       (Ratio', '   0.00%)']","[' 1992     (Ratio', '   0.02%)']","[' 9479096  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9479096  (Average', '  1.29 Max', ' 1338 Sum', ' 12229644)']","[' 9478972  (Average', '  1.29 Max', ' 1338 Sum', ' 12227693 Ratio', '  99.98%)']","[' 124      (Average', ' 15.73 Max', '  82 Sum', '   1951 Ratio', '   0.02%)']", ,[' 50729   '],[' 2045    '],[' 50349   '],[' 28874   '],"[' 86618    (Atom=Atom', ' 27327 Body=Body', ' 14745 Other', ' 44546)']",[' Yes'],"[' 2165     (Eliminated', '    0 Frozen', ' 2165)']","[' 42       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.206413'],[' 0'], ,[' 169.131'],[' 0'],[' 3.49532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50933e+07'],[' 1.39957e+07'],[' 0'],[' 2.42179e+10'],[' 0'],[' 0'],579,1137,1525,2178,2629,2998,3328,3732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv19, ,[' 1'],[' 223+'],[' 120'],"[' 249.146s (Solving', ' 248.41s 1st Model', ' 0.24s Unsat', ' 8.23s)']",[' 248.469s'], ,[' 15871082'],"[' 11758383 (Analyzed', ' 11744924)']","[' 24748    (Average', ' 474.58 Last', ' 28476)']",[' 948.2   '],"[' 120      (Average Length', ' 55.38 Splits', ' 0)']","[' 11744924 (Deleted', ' 11579344)']","[' 50       (Ratio', '   0.00%)']","[' 2070     (Ratio', '   0.02%)']","[' 11744924 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11744924 (Average', '  1.31 Max', ' 1276 Sum', ' 15394135)']","[' 11744826 (Average', '  1.31 Max', ' 1276 Sum', ' 15391845 Ratio', '  99.99%)']","[' 98       (Average', ' 23.37 Max', '  97 Sum', '   2290 Ratio', '   0.01%)']", ,[' 50347   '],[' 2050    '],[' 49958   '],[' 28698   '],"[' 86090    (Atom=Atom', ' 27146 Body=Body', ' 14750 Other', ' 44194)']",[' Yes'],"[' 2161     (Eliminated', '    0 Frozen', ' 2161)']","[' 72       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.17537'],[' 0'], ,[' 178.209'],[' 0'],[' 3.65189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.31012e+07'],[' 1.66893e+07'],[' 0'],[' 2.54875e+10'],[' 0'],[' 0'],719,1080,1607,2314,2733,3112,3495,4085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,swv20, , ,[' 251'],[' 134'],"[' 120.160s (Solving', ' 119.43s 1st Model', ' 0.18s Unsat', ' 58.53s)']",[' 119.594s'], ,[' 4037220 '],"[' 3083746  (Analyzed', ' 3004875)']","[' 7684     (Average', ' 391.06 Last', ' 1582)']",[' 892.3   '],"[' 134      (Average Length', ' 62.90 Splits', ' 0)']","[' 3004875  (Deleted', ' 2952101)']","[' 115      (Ratio', '   0.00%)']","[' 1688     (Ratio', '   0.06%)']","[' 3004875  (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3004875  (Average', '  1.26 Max', ' 1202 Sum', ' 3782045)']","[' 3004760  (Average', '  1.26 Max', ' 1202 Sum', ' 3781868 Ratio', ' 100.00%)']","[' 115      (Average', '  1.54 Max', '  63 Sum', '    177 Ratio', '   0.00%)']", ,[' 49650   '],[' 1974    '],[' 49275   '],[' 28332   '],"[' 84992    (Atom=Atom', ' 26856 Body=Body', ' 14674 Other', ' 43462)']",[' Yes'],"[' 2099     (Eliminated', '    0 Frozen', ' 2099)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.168977'],[' 0'], ,[' 98.4483'],[' 0'],[' 1.72192'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20774e+07'],[' 5.17492e+06'],[' 0'],[' 1.60176e+10'],[' 0'],[' 0'],500,992,1409,1800,2242,2627,3239,3570
