Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 1915+'],[' 962'],"[' 601.183s (Solving', ' 597.32s 1st Model', ' 3.81s Unsat', ' 0.00s)']",[' 599.375s'], ,[' 99849728'],"[' 20876145 (Analyzed', ' 20766144)']","[' 36677    (Average', ' 566.19 Last', ' 210286)']",[' 2533.6  '],"[' 962      (Average Length', ' 552.50 Splits', ' 0)']","[' 20766144 (Deleted', ' 20589776)']","[' 90       (Ratio', '   0.00%)']","[' 13709    (Ratio', '   0.07%)']","[' 20766144 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20766144 (Average', '  4.69 Max', ' 2937 Sum', ' 97325316)']","[' 20765469 (Average', '  4.67 Max', ' 2937 Sum', ' 96901907 Ratio', '  99.56%)']","[' 675      (Average', ' 627.27 Max', ' 702 Sum', ' 423409 Ratio', '   0.44%)']", ,[' 81305   '],[' 4630    '],[' 74659   '],[' 32061   '],"[' 89784    (Atom=Atom', ' 24188 Body=Body', ' 16003 Other', ' 49593)']",[' Yes'],"[' 5905     (Eliminated', '    0 Frozen', ' 5905)']","[' 1974     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.804285'],[' 0'], ,[' 415.7'],[' 0'],[' 13.0643'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23952e+08'],[' 1.50678e+08'],[' 0'],[' 2.71483e+10'],[' 0'],[' 0'],[' 1042 '],[' 2056 '],[' 2674 '],[' 3625 '],[' 4 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 2037+'],[' 1023'],"[' 601.218s (Solving', ' 597.09s 1st Model', ' 4.51s Unsat', ' 0.00s)']",[' 600.000s'], ,[' 104697390'],"[' 24072481 (Analyzed', ' 23837816)']","[' 41360    (Average', ' 576.35 Last', ' 307636)']",[' 2685.8  '],"[' 1023     (Average Length', ' 580.73 Splits', ' 0)']","[' 23837816 (Deleted', ' 23637913)']","[' 44       (Ratio', '   0.00%)']","[' 12175    (Ratio', '   0.05%)']","[' 23837816 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23837816 (Average', '  4.27 Max', ' 3239 Sum', ' 101701106)']","[' 23837140 (Average', '  4.25 Max', ' 3239 Sum', ' 101279258 Ratio', '  99.59%)']","[' 676      (Average', ' 624.04 Max', ' 726 Sum', ' 421848 Ratio', '   0.41%)']", ,[' 81642   '],[' 4679    '],[' 75031   '],[' 32280   '],"[' 90815    (Atom=Atom', ' 24445 Body=Body', ' 16150 Other', ' 50220)']",[' Yes'],"[' 5989     (Eliminated', '    0 Frozen', ' 5989)']","[' 2165     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.849024'],[' 0'], ,[' 405.859'],[' 0'],[' 11.5273'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15818e+08'],[' 1.4235e+08'],[' 0'],[' 2.58134e+10'],[' 0'],[' 0'],[' 1229 '],[' 1943 '],[' 2889 '],[' 3541 '],[' 4 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 2439+'],[' 1224'],"[' 601.322s (Solving', ' 596.65s 1st Model', ' 5.16s Unsat', ' 0.00s)']",[' 600.266s'], ,[' 85866057'],"[' 21690905 (Analyzed', ' 21523760)']","[' 38622    (Average', ' 557.29 Last', ' 19242)']",[' 2544.7  '],"[' 1224     (Average Length', ' 669.47 Splits', ' 0)']","[' 21523760 (Deleted', ' 21336010)']","[' 63       (Ratio', '   0.00%)']","[' 10844    (Ratio', '   0.05%)']","[' 21523760 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21523760 (Average', '  3.86 Max', ' 3332 Sum', ' 83041866)']","[' 21523150 (Average', '  3.84 Max', ' 2868 Sum', ' 82571472 Ratio', '  99.43%)']","[' 610      (Average', ' 771.14 Max', ' 890 Sum', ' 470394 Ratio', '   0.57%)']", ,[' 80944   '],[' 4537    '],[' 74484   '],[' 31960   '],"[' 89134    (Atom=Atom', ' 24078 Body=Body', ' 15724 Other', ' 49332)']",[' Yes'],"[' 6028     (Eliminated', '    0 Frozen', ' 6028)']","[' 2164     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00651'],[' 0'], ,[' 414.379'],[' 0'],[' 12.4611'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04713e+08'],[' 1.35684e+08'],[' 0'],[' 2.67057e+10'],[' 0'],[' 0'],[' 942 '],[' 1675 '],[' 2565 '],[' 3313 '],[' 4 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 1945+'],[' 977'],"[' 601.325s (Solving', ' 596.91s 1st Model', ' 4.49s Unsat', ' 0.00s)']",[' 596.188s'], ,[' 75494253'],"[' 22593572 (Analyzed', ' 22383490)']","[' 41861    (Average', ' 534.71 Last', ' 201252)']",[' 2721.7  '],"[' 977      (Average Length', ' 566.36 Splits', ' 0)']","[' 22383490 (Deleted', ' 22155143)']","[' 47       (Ratio', '   0.00%)']","[' 9838     (Ratio', '   0.04%)']","[' 22383490 (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22383490 (Average', '  3.24 Max', ' 3239 Sum', ' 72624031)']","[' 22382810 (Average', '  3.23 Max', ' 3045 Sum', ' 72239474 Ratio', '  99.47%)']","[' 680      (Average', ' 565.52 Max', ' 674 Sum', ' 384557 Ratio', '   0.53%)']", ,[' 80461   '],[' 4599    '],[' 74074   '],[' 31619   '],"[' 89293    (Atom=Atom', ' 24079 Body=Body', ' 15910 Other', ' 49304)']",[' Yes'],"[' 5889     (Eliminated', '    0 Frozen', ' 5889)']","[' 1929     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.943577'],[' 0'], ,[' 397.551'],[' 0'],[' 10.3053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7264e+08'],[' 1.06906e+08'],[' 0'],[' 2.3718e+10'],[' 0'],[' 0'],[' 1166 '],[' 1847 '],[' 2761 '],[' 3341 '],[' 4 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 1953+'],[' 981'],"[' 601.213s (Solving', ' 597.35s 1st Model', ' 3.75s Unsat', ' 0.00s)']",[' 599.031s'], ,[' 94775876'],"[' 20639742 (Analyzed', ' 20534757)']","[' 36613    (Average', ' 560.86 Last', ' 15757)']",[' 2366.1  '],"[' 981      (Average Length', ' 561.57 Splits', ' 0)']","[' 20534757 (Deleted', ' 20336834)']","[' 70       (Ratio', '   0.00%)']","[' 13415    (Ratio', '   0.07%)']","[' 20534757 (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20534757 (Average', '  4.50 Max', ' 3024 Sum', ' 92490113)']","[' 20534036 (Average', '  4.48 Max', ' 2903 Sum', ' 91986440 Ratio', '  99.46%)']","[' 721      (Average', ' 698.58 Max', ' 787 Sum', ' 503673 Ratio', '   0.54%)']", ,[' 81708   '],[' 4672    '],[' 74860   '],[' 32489   '],"[' 90592    (Atom=Atom', ' 24375 Body=Body', ' 16129 Other', ' 50088)']",[' Yes'],"[' 5967     (Eliminated', '    0 Frozen', ' 5967)']","[' 2320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.785617'],[' 0'], ,[' 408.023'],[' 0'],[' 11.9288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07227e+08'],[' 1.40769e+08'],[' 0'],[' 2.39025e+10'],[' 0'],[' 0'],[' 905 '],[' 2048 '],[' 2725 '],[' 3630 '],[' 4 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 2301+'],[' 1155'],"[' 601.404s (Solving', ' 596.56s 1st Model', ' 5.47s Unsat', ' 0.00s)']",[' 599.734s'], ,[' 61806452'],"[' 22277644 (Analyzed', ' 22130039)']","[' 41800    (Average', ' 529.43 Last', ' 70989)']",[' 2742.8  '],"[' 1155     (Average Length', ' 629.59 Splits', ' 0)']","[' 22130039 (Deleted', ' 21876468)']","[' 61       (Ratio', '   0.00%)']","[' 6569     (Ratio', '   0.03%)']","[' 22130039 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22130039 (Average', '  2.66 Max', ' 3178 Sum', ' 58891289)']","[' 22129346 (Average', '  2.64 Max', ' 3178 Sum', ' 58426646 Ratio', '  99.21%)']","[' 693      (Average', ' 670.48 Max', ' 763 Sum', ' 464643 Ratio', '   0.79%)']", ,[' 80590   '],[' 4519    '],[' 74113   '],[' 31742   '],"[' 88668    (Atom=Atom', ' 23937 Body=Body', ' 15670 Other', ' 49061)']",[' Yes'],"[' 5947     (Eliminated', '    0 Frozen', ' 5947)']","[' 1116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03032'],[' 0'], ,[' 426.202'],[' 0'],[' 11.9118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39317e+08'],[' 7.87273e+07'],[' 0'],[' 2.60859e+10'],[' 0'],[' 0'],[' 1078 '],[' 2024 '],[' 2763 '],[' 3291 '],[' 4 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 2115+'],[' 1062'],"[' 601.314s (Solving', ' 596.67s 1st Model', ' 9.36s Unsat', ' 0.00s)']",[' 599.828s'], ,[' 77437279'],"[' 22269580 (Analyzed', ' 22122852)']","[' 39517    (Average', ' 559.83 Last', ' 62784)']",[' 2765.7  '],"[' 1062     (Average Length', ' 598.40 Splits', ' 0)']","[' 22122852 (Deleted', ' 21903117)']","[' 30       (Ratio', '   0.00%)']","[' 8487     (Ratio', '   0.04%)']","[' 22122852 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22122852 (Average', '  3.37 Max', ' 3280 Sum', ' 74594588)']","[' 22122213 (Average', '  3.35 Max', ' 3278 Sum', ' 74187036 Ratio', '  99.45%)']","[' 639      (Average', ' 637.80 Max', ' 739 Sum', ' 407552 Ratio', '   0.55%)']", ,[' 81418   '],[' 4594    '],[' 74663   '],[' 32225   '],"[' 89600    (Atom=Atom', ' 24144 Body=Body', ' 15895 Other', ' 49561)']",[' Yes'],"[' 5956     (Eliminated', '    0 Frozen', ' 5956)']","[' 1263     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00086'],[' 0'], ,[' 412.644'],[' 0'],[' 11.8471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71187e+08'],[' 1.06704e+08'],[' 0'],[' 2.45075e+10'],[' 0'],[' 0'],[' 984 '],[' 2050 '],[' 2863 '],[' 3488 '],[' 4 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 2101+'],[' 1055'],"[' 601.306s (Solving', ' 597.05s 1st Model', ' 4.68s Unsat', ' 0.00s)']",[' 598.969s'], ,[' 94855165'],"[' 21053433 (Analyzed', ' 20935896)']","[' 38019    (Average', ' 550.67 Last', ' 50123)']",[' 2509.1  '],"[' 1055     (Average Length', ' 582.48 Splits', ' 0)']","[' 20935896 (Deleted', ' 20746796)']","[' 87       (Ratio', '   0.00%)']","[' 12583    (Ratio', '   0.06%)']","[' 20935896 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20935896 (Average', '  4.40 Max', ' 2988 Sum', ' 92178675)']","[' 20935324 (Average', '  4.38 Max', ' 2988 Sum', ' 91788637 Ratio', '  99.58%)']","[' 572      (Average', ' 681.88 Max', ' 753 Sum', ' 390038 Ratio', '   0.42%)']", ,[' 81697   '],[' 4654    '],[' 74981   '],[' 32421   '],"[' 90415    (Atom=Atom', ' 24377 Body=Body', ' 16075 Other', ' 49963)']",[' Yes'],"[' 5999     (Eliminated', '    0 Frozen', ' 5999)']","[' 2213     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.884461'],[' 0'], ,[' 413.851'],[' 0'],[' 12.3243'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17982e+08'],[' 1.45052e+08'],[' 0'],[' 2.59357e+10'],[' 0'],[' 0'],[' 950 '],[' 1898 '],[' 2825 '],[' 3605 '],[' 4 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 2285+'],[' 1147'],"[' 601.279s (Solving', ' 597.00s 1st Model', ' 4.17s Unsat', ' 0.00s)']",[' 600.359s'], ,[' 86742569'],"[' 22915165 (Analyzed', ' 22772511)']","[' 39670    (Average', ' 574.05 Last', ' 135644)']",[' 2576.8  '],"[' 1147     (Average Length', ' 646.96 Splits', ' 0)']","[' 22772511 (Deleted', ' 22568572)']","[' 69       (Ratio', '   0.00%)']","[' 9766     (Ratio', '   0.04%)']","[' 22772511 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22772511 (Average', '  3.69 Max', ' 3354 Sum', ' 84029487)']","[' 22771856 (Average', '  3.67 Max', ' 3013 Sum', ' 83530314 Ratio', '  99.41%)']","[' 655      (Average', ' 762.10 Max', ' 900 Sum', ' 499173 Ratio', '   0.59%)']", ,[' 80803   '],[' 4521    '],[' 74221   '],[' 31866   '],"[' 88682    (Atom=Atom', ' 23937 Body=Body', ' 15676 Other', ' 49069)']",[' Yes'],"[' 5966     (Eliminated', '    0 Frozen', ' 5966)']","[' 1652     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.913678'],[' 0'], ,[' 413.849'],[' 0'],[' 12.762'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98453e+08'],[' 1.27116e+08'],[' 0'],[' 2.7696e+10'],[' 0'],[' 0'],[' 885 '],[' 1775 '],[' 2475 '],[' 3390 '],[' 4 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 2537+'],[' 1273'],"[' 601.358s (Solving', ' 596.42s 1st Model', ' 5.71s Unsat', ' 0.00s)']",[' 599.297s'], ,[' 108656486'],"[' 21608454 (Analyzed', ' 21494855)']","[' 38442    (Average', ' 559.15 Last', ' 11361)']",[' 2657.4  '],"[' 1273     (Average Length', ' 688.27 Splits', ' 0)']","[' 21494855 (Deleted', ' 21311144)']","[' 94       (Ratio', '   0.00%)']","[' 13046    (Ratio', '   0.06%)']","[' 21494855 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21494855 (Average', '  4.91 Max', ' 3064 Sum', ' 105597833)']","[' 21494271 (Average', '  4.89 Max', ' 2963 Sum', ' 105154678 Ratio', '  99.58%)']","[' 584      (Average', ' 758.83 Max', ' 1060 Sum', ' 443155 Ratio', '   0.42%)']", ,[' 81431   '],[' 4560    '],[' 74912   '],[' 32235   '],"[' 89653    (Atom=Atom', ' 24219 Body=Body', ' 15793 Other', ' 49641)']",[' Yes'],"[' 6107     (Eliminated', '    0 Frozen', ' 6107)']","[' 2115     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05123'],[' 0'], ,[' 402.13'],[' 0'],[' 13.5529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56295e+08'],[' 1.76461e+08'],[' 0'],[' 2.67268e+10'],[' 0'],[' 0'],[' 937 '],[' 1871 '],[' 2571 '],[' 3247 '],[' 4 '],[' 0 ']
