Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 2137'],[' 1076'],"[' 45.969s (Solving', ' 41.31s 1st Model', ' 3.26s Unsat', ' 21.65s)']",[' 45.375s'], ,[' 5318773 '],"[' 1062044  (Analyzed', ' 977525)']","[' 2530     (Average', ' 386.37 Last', ' 54149)']",[' 2340.8  '],"[' 1076     (Average Length', ' 605.50 Splits', ' 0)']","[' 977525   (Deleted', ' 951371)']","[' 27       (Ratio', '   0.00%)']","[' 856      (Ratio', '   0.09%)']","[' 977525   (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 977525   (Average', '  3.59 Max', ' 3437 Sum', ' 3508945)']","[' 977242   (Average', '  3.43 Max', ' 2886 Sum', ' 3357058 Ratio', '  95.67%)']","[' 283      (Average', ' 536.70 Max', ' 829 Sum', ' 151887 Ratio', '   4.33%)']", ,[' 85415   '],[' 3270    '],[' 78982   '],[' 27997   '],"[' 73016    (Atom=Atom', ' 21172 Body=Body', ' 12790 Other', ' 39054)']",[' Yes'],"[' 4968     (Eliminated', '    0 Frozen', ' 4968)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01496'],[' 0'], ,[' 17.4796'],[' 0'],[' 0.527982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08438e+07'],[' 7.52498e+06'],[' 0'],[' 9.85593e+08'],[' 0'],[' 0'],[' 619 '],[' 1019 '],[' 1444 '],[' 1941 '],[' 2364 '],[' 2876 '],[' 3284 '],[' 0 '],[' 7 ']
Solving...,TA62, , , , ,[' 2225'],[' 1120'],"[' 167.696s (Solving', ' 162.89s 1st Model', ' 3.28s Unsat', ' 2.04s)']",[' 166.938s'], ,[' 16889549'],"[' 8129581  (Analyzed', ' 8052200)']","[' 16377    (Average', ' 491.68 Last', ' 2895)']",[' 2321.6  '],"[' 1120     (Average Length', ' 627.91 Splits', ' 0)']","[' 8052200  (Deleted', ' 7927642)']","[' 58       (Ratio', '   0.00%)']","[' 1712     (Ratio', '   0.02%)']","[' 8052200  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8052200  (Average', '  1.86 Max', ' 3427 Sum', ' 14953718)']","[' 8051761  (Average', '  1.83 Max', ' 2693 Sum', ' 14732144 Ratio', '  98.52%)']","[' 439      (Average', ' 504.72 Max', ' 853 Sum', ' 221574 Ratio', '   1.48%)']", ,[' 85738   '],[' 3297    '],[' 79293   '],[' 28205   '],"[' 73628    (Atom=Atom', ' 21324 Body=Body', ' 12871 Other', ' 39433)']",[' Yes'],"[' 5054     (Eliminated', '    0 Frozen', ' 5054)']","[' 219      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03739'],[' 0'], ,[' 89.6938'],[' 0'],[' 2.56863'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.81966e+07'],[' 2.73622e+07'],[' 0'],[' 5.89981e+09'],[' 0'],[' 0'],[' 632 '],[' 1135 '],[' 1665 '],[' 2075 '],[' 2587 '],[' 3045 '],[' 3443 '],[' 1 '],[' 6 ']
Solving...,TA63, , , , ,[' 2311'],[' 1163'],"[' 34.249s (Solving', ' 29.44s 1st Model', ' 3.21s Unsat', ' 8.81s)']",[' 34.047s'], ,[' 5182479 '],"[' 834758   (Analyzed', ' 761226)']","[' 2133     (Average', ' 356.88 Last', ' 573)']",[' 2342.5  '],"[' 1163     (Average Length', ' 639.94 Splits', ' 0)']","[' 761226   (Deleted', ' 733263)']","[' 32       (Ratio', '   0.00%)']","[' 974      (Ratio', '   0.13%)']","[' 761226   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 761226   (Average', '  4.35 Max', ' 2889 Sum', ' 3310645)']","[' 760895   (Average', '  4.10 Max', ' 2773 Sum', ' 3123252 Ratio', '  94.34%)']","[' 331      (Average', ' 566.14 Max', ' 880 Sum', ' 187393 Ratio', '   5.66%)']", ,[' 85117   '],[' 3233    '],[' 78827   '],[' 27835   '],"[' 72762    (Atom=Atom', ' 21111 Body=Body', ' 12679 Other', ' 38972)']",[' Yes'],"[' 4993     (Eliminated', '    0 Frozen', ' 4993)']","[' 115      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05441'],[' 0'], ,[' 6.86009'],[' 0'],[' 0.402723'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07021e+07'],[' 7.85592e+06'],[' 0'],[' 2.75154e+08'],[' 0'],[' 0'],[' 576 '],[' 1074 '],[' 1454 '],[' 1859 '],[' 2324 '],[' 2685 '],[' 3114 '],[' 0 '],[' 7 ']
Solving...,TA64, , , , ,[' 2309'],[' 1162'],"[' 152.089s (Solving', ' 147.35s 1st Model', ' 2.92s Unsat', ' 127.38s)']",[' 150.891s'], ,[' 16395522'],"[' 9042389  (Analyzed', ' 8981283)']","[' 16758    (Average', ' 535.94 Last', ' 217244)']",[' 2239.5  '],"[' 1162     (Average Length', ' 649.70 Splits', ' 0)']","[' 8981283  (Deleted', ' 8853445)']","[' 20       (Ratio', '   0.00%)']","[' 1066     (Ratio', '   0.01%)']","[' 8981283  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8981283  (Average', '  1.62 Max', ' 3163 Sum', ' 14568411)']","[' 8980827  (Average', '  1.59 Max', ' 2743 Sum', ' 14314617 Ratio', '  98.26%)']","[' 456      (Average', ' 556.57 Max', ' 924 Sum', ' 253794 Ratio', '   1.74%)']", ,[' 85420   '],[' 3306    '],[' 79204   '],[' 28067   '],"[' 73855    (Atom=Atom', ' 21402 Body=Body', ' 12898 Other', ' 39555)']",[' Yes'],"[' 5081     (Eliminated', '    0 Frozen', ' 5081)']","[' 138      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03022'],[' 0'], ,[' 68.7031'],[' 0'],[' 2.34473'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.41327e+07'],[' 2.19749e+07'],[' 0'],[' 3.23872e+09'],[' 0'],[' 0'],[' 624 '],[' 1192 '],[' 1574 '],[' 1952 '],[' 2369 '],[' 2902 '],[' 3253 '],[' 0 '],[' 7 ']
Solving...,TA65, , , , ,[' 2355'],[' 1185'],"[' 47.772s (Solving', ' 42.75s 1st Model', ' 3.74s Unsat', ' 20.41s)']",[' 47.344s'], ,[' 6069714 '],"[' 1114178  (Analyzed', ' 1019660)']","[' 2638     (Average', ' 386.53 Last', ' 2455)']",[' 2428.1  '],"[' 1185     (Average Length', ' 659.29 Splits', ' 0)']","[' 1019660  (Deleted', ' 985331)']","[' 44       (Ratio', '   0.00%)']","[' 1379     (Ratio', '   0.14%)']","[' 1019660  (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1019660  (Average', '  3.98 Max', ' 3159 Sum', ' 4058512)']","[' 1019320  (Average', '  3.79 Max', ' 2865 Sum', ' 3865352 Ratio', '  95.24%)']","[' 340      (Average', ' 568.12 Max', ' 913 Sum', ' 193160 Ratio', '   4.76%)']", ,[' 85823   '],[' 3314    '],[' 79453   '],[' 28319   '],"[' 74061    (Atom=Atom', ' 21457 Body=Body', ' 12922 Other', ' 39682)']",[' Yes'],"[' 5108     (Eliminated', '    0 Frozen', ' 5108)']","[' 125      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09835'],[' 0'], ,[' 16.564'],[' 0'],[' 0.506765'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26416e+07'],[' 8.85117e+06'],[' 0'],[' 9.44159e+08'],[' 0'],[' 0'],[' 592 '],[' 1007 '],[' 1411 '],[' 1872 '],[' 2283 '],[' 2690 '],[' 3130 '],[' 0 '],[' 7 ']
Solving...,TA66, , , , ,[' 1665'],[' 839'],"[' 233161.767s (Solving', ' 175.92s 1st Model', ' 6.20s Unsat', ' 0.26s)']",[' 177.375s'], ,[' 18157764'],"[' 10120636 (Analyzed', ' 10035678)']","[' 17490    (Average', ' 573.80 Last', ' 7685)']",[' 2061.4  '],"[' 838      (Average Length', ' 488.45 Splits', ' 0)']","[' 10035678 (Deleted', ' 9897309)']","[' 23       (Ratio', '   0.00%)']","[' 970      (Ratio', '   0.01%)']","[' 10035678 (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10035678 (Average', '  1.68 Max', ' 2901 Sum', ' 16817841)']","[' 10035182 (Average', '  1.65 Max', ' 2673 Sum', ' 16570598 Ratio', '  98.53%)']","[' 496      (Average', ' 498.47 Max', ' 628 Sum', ' 247243 Ratio', '   1.47%)']", ,[' 84938   '],[' 3284    '],[' 78338   '],[' 27708   '],"[' 72574    (Atom=Atom', ' 20992 Body=Body', ' 12832 Other', ' 38750)']",[' Yes'],"[' 4785     (Eliminated', '    0 Frozen', ' 4785)']","[' 111      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.49628'],[' 0'], ,[' 78.3696'],[' 0'],[' 2.71916'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.66194e+07'],[' 2.34458e+07'],[' 0'],[' 3.61673e+09'],[' 0'],[' 0'],[' 610 '],[' 1004 '],[' 1399 '],[' 2862 '],[' 3079 '],[' 3089 '],[' 3350 '],[' 3 '],[' 4 ']
Solving...,TA67, , , , ,[' 2345'],[' 1180'],"[' 229.055s (Solving', ' 222.36s 1st Model', ' 4.51s Unsat', ' 50.94s)']",[' 227.891s'], ,[' 20084500'],"[' 10426019 (Analyzed', ' 10349175)']","[' 20666    (Average', ' 500.78 Last', ' 19662)']",[' 2264.1  '],"[' 1180     (Average Length', ' 641.54 Splits', ' 0)']","[' 10349175 (Deleted', ' 10184755)']","[' 21       (Ratio', '   0.00%)']","[' 1330     (Ratio', '   0.01%)']","[' 10349175 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10349175 (Average', '  1.75 Max', ' 3272 Sum', ' 18112492)']","[' 10348766 (Average', '  1.72 Max', ' 2766 Sum', ' 17851422 Ratio', '  98.56%)']","[' 409      (Average', ' 638.31 Max', ' 926 Sum', ' 261070 Ratio', '   1.44%)']", ,[' 86017   '],[' 3366    '],[' 79584   '],[' 28500   '],"[' 74790    (Atom=Atom', ' 21660 Body=Body', ' 13078 Other', ' 40052)']",[' Yes'],"[' 5112     (Eliminated', '    0 Frozen', ' 5112)']","[' 184      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45213'],[' 0'], ,[' 112.494'],[' 0'],[' 3.23119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.91356e+07'],[' 2.36835e+07'],[' 0'],[' 4.70198e+09'],[' 0'],[' 0'],[' 646 '],[' 1145 '],[' 1583 '],[' 1999 '],[' 2577 '],[' 2985 '],[' 3371 '],[' 1 '],[' 6 ']
Solving...,TA68, , , , ,[' 2125'],[' 1070'],"[' 172.194s (Solving', ' 167.78s 1st Model', ' 3.00s Unsat', ' 7.00s)']",[' 171.609s'], ,[' 21697507'],"[' 12039598 (Analyzed', ' 11981270)']","[' 21804    (Average', ' 549.50 Last', ' 7115)']",[' 2317.4  '],"[' 1070     (Average Length', ' 602.23 Splits', ' 0)']","[' 11981270 (Deleted', ' 11818611)']","[' 34       (Ratio', '   0.00%)']","[' 1309     (Ratio', '   0.01%)']","[' 11981270 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11981270 (Average', '  1.64 Max', ' 3327 Sum', ' 19668006)']","[' 11980898 (Average', '  1.63 Max', ' 2734 Sum', ' 19508373 Ratio', '  99.19%)']","[' 372      (Average', ' 429.12 Max', ' 808 Sum', ' 159633 Ratio', '   0.81%)']", ,[' 85139   '],[' 3250    '],[' 78766   '],[' 27817   '],"[' 72719    (Atom=Atom', ' 21086 Body=Body', ' 12730 Other', ' 38903)']",[' Yes'],"[' 4933     (Eliminated', '    0 Frozen', ' 4933)']","[' 176      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.949361'],[' 0'], ,[' 74.4655'],[' 0'],[' 2.24469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.47914e+07'],[' 2.67802e+07'],[' 0'],[' 3.67442e+09'],[' 0'],[' 0'],[' 601 '],[' 1056 '],[' 1495 '],[' 1823 '],[' 2289 '],[' 2751 '],[' 3188 '],[' 1 '],[' 6 ']
Solving...,TA69, , , , ,[' 2301'],[' 1158'],"[' 174.847s (Solving', ' 168.85s 1st Model', ' 3.73s Unsat', ' 1.55s)']",[' 172.828s'], ,[' 19245037'],"[' 11059915 (Analyzed', ' 10985717)']","[' 19016    (Average', ' 577.71 Last', ' 31132)']",[' 2244.8  '],"[' 1158     (Average Length', ' 631.99 Splits', ' 0)']","[' 10985717 (Deleted', ' 10828498)']","[' 8        (Ratio', '   0.00%)']","[' 1103     (Ratio', '   0.01%)']","[' 10985717 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10985717 (Average', '  1.57 Max', ' 3057 Sum', ' 17283428)']","[' 10985217 (Average', '  1.55 Max', ' 2651 Sum', ' 17009368 Ratio', '  98.41%)']","[' 500      (Average', ' 548.12 Max', ' 872 Sum', ' 274060 Ratio', '   1.59%)']", ,[' 85175   '],[' 3313    '],[' 79045   '],[' 27930   '],"[' 73932    (Atom=Atom', ' 21426 Body=Body', ' 12919 Other', ' 39587)']",[' Yes'],"[' 5074     (Eliminated', '    0 Frozen', ' 5074)']","[' 166      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.27244'],[' 0'], ,[' 82.3477'],[' 0'],[' 3.12315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.76915e+07'],[' 2.17354e+07'],[' 0'],[' 4.39295e+09'],[' 0'],[' 0'],[' 817 '],[' 1170 '],[' 1689 '],[' 2128 '],[' 2606 '],[' 3004 '],[' 3413 '],[' 1 '],[' 6 ']
Solving...,TA70, , , , ,[' 2393'],[' 1204'],"[' 168.065s (Solving', ' 163.13s 1st Model', ' 3.22s Unsat', ' 0.77s)']",[' 167.000s'], ,[' 18368298'],"[' 9363392  (Analyzed', ' 9307073)']","[' 16815    (Average', ' 553.50 Last', ' 314852)']",[' 2226.5  '],"[' 1204     (Average Length', ' 667.92 Splits', ' 0)']","[' 9307073  (Deleted', ' 9164147)']","[' 13       (Ratio', '   0.00%)']","[' 1564     (Ratio', '   0.02%)']","[' 9307073  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9307073  (Average', '  1.78 Max', ' 3437 Sum', ' 16598022)']","[' 9306523  (Average', '  1.75 Max', ' 3058 Sum', ' 16247520 Ratio', '  97.89%)']","[' 550      (Average', ' 637.28 Max', ' 961 Sum', ' 350502 Ratio', '   2.11%)']", ,[' 85025   '],[' 3351    '],[' 78853   '],[' 28064   '],"[' 74656    (Atom=Atom', ' 21624 Body=Body', ' 13033 Other', ' 39999)']",[' Yes'],"[' 5146     (Eliminated', '    0 Frozen', ' 5146)']","[' 278      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05982'],[' 0'], ,[' 75.4397'],[' 0'],[' 2.73261'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.88939e+07'],[' 2.54205e+07'],[' 0'],[' 3.40414e+09'],[' 0'],[' 0'],[' 689 '],[' 1194 '],[' 1613 '],[' 2334 '],[' 2725 '],[' 3146 '],[' 3495 '],[' 1 '],[' 6 ']
