Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 4447+'],[' 2228'],"[' 1003.132s (Solving', ' 992.37s 1st Model', ' 307.18s Unsat', ' 0.00s)']",[' 1000.141s'], ,[' 210525453'],"[' 7759279  (Analyzed', ' 7479155)']","[' 16699    (Average', ' 447.88 Last', ' 277869)']",[' 3396.2  '],"[' 2228     (Average Length', ' 1182.31 Splits', ' 0)']","[' 27233963 (Deleted', ' 26935273)']","[' 456      (Ratio', '   0.00%)']","[' 28192    (Ratio', '   0.10%)']","[' 7479155  (Average Length', '   16.8 Ratio', '  27.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19754808 (Average Length', '   13.2 Ratio', '  72.54%) ']","[' 7479155  (Average', '  2.06 Max', ' 2587 Sum', ' 15371315)']","[' 7479155  (Average', '  2.06 Max', ' 2587 Sum', ' 15371315 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93297   '],[' 5794    '],[' 87684   '],[' 43431   '],"[' 116355   (Atom=Atom', ' 31687 Body=Body', ' 21328 Other', ' 63340)']",[' Yes'],"[' 8215     (Eliminated', '    0 Frozen', ' 8215)']","[' 4418     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24223'],[' 0'], ,[' 511.291'],[' 0'],[' 21.8598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.33579e+08'],[' 5.79595e+08'],[' 0'],[' 3.0001e+10'],[' 0'],[' 0'],[' 830 '],[' 1480 '],[' 2239 '],[' 2869 '],[' 4 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 3849+'],[' 1929'],"[' 1002.720s (Solving', ' 993.44s 1st Model', ' 47.52s Unsat', ' 0.00s)']",[' 1000.453s'], ,[' 146793809'],"[' 10038194 (Analyzed', ' 9735572)']","[' 21096    (Average', ' 461.49 Last', ' 51469)']",[' 3504.8  '],"[' 1929     (Average Length', ' 1036.94 Splits', ' 0)']","[' 34137826 (Deleted', ' 33702327)']","[' 313      (Ratio', '   0.00%)']","[' 23214    (Ratio', '   0.07%)']","[' 9735572  (Average Length', '   14.9 Ratio', '  28.52%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24402254 (Average Length', '   12.4 Ratio', '  71.48%) ']","[' 9735572  (Average', '  1.61 Max', ' 2659 Sum', ' 15689434)']","[' 9735572  (Average', '  1.61 Max', ' 2659 Sum', ' 15689434 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93285   '],[' 5790    '],[' 87403   '],[' 43318   '],"[' 115186   (Atom=Atom', ' 31303 Body=Body', ' 21258 Other', ' 62625)']",[' Yes'],"[' 7944     (Eliminated', '    0 Frozen', ' 7944)']","[' 3243     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91351'],[' 0'], ,[' 555.655'],[' 0'],[' 19.0563'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12044e+08'],[' 3.00996e+08'],[' 0'],[' 3.55405e+10'],[' 0'],[' 0'],[' 892 '],[' 1586 '],[' 2339 '],[' 2967 '],[' 4 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 3861+'],[' 1935'],"[' 1002.716s (Solving', ' 993.29s 1st Model', ' 64.73s Unsat', ' 0.00s)']",[' 1000.063s'], ,[' 237376460'],"[' 7684612  (Analyzed', ' 7311188)']","[' 15375    (Average', ' 475.52 Last', ' 32596)']",[' 3552.7  '],"[' 1935     (Average Length', ' 1038.07 Splits', ' 0)']","[' 25959814 (Deleted', ' 25560646)']","[' 467      (Ratio', '   0.00%)']","[' 26555    (Ratio', '   0.10%)']","[' 7311188  (Average Length', '   16.1 Ratio', '  28.16%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18648626 (Average Length', '   12.6 Ratio', '  71.84%) ']","[' 7311188  (Average', '  2.24 Max', ' 3011 Sum', ' 16402228)']","[' 7311188  (Average', '  2.24 Max', ' 3011 Sum', ' 16402228 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93584   '],[' 5850    '],[' 87613   '],[' 43605   '],"[' 116037   (Atom=Atom', ' 31510 Body=Body', ' 21443 Other', ' 63084)']",[' Yes'],"[' 8000     (Eliminated', '    0 Frozen', ' 8000)']","[' 3549     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.89692'],[' 0'], ,[' 490.367'],[' 0'],[' 23.2482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.63448e+08'],[' 6.9163e+08'],[' 0'],[' 2.71015e+10'],[' 0'],[' 0'],[' 873 '],[' 1553 '],[' 2224 '],[' 2899 '],[' 4 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 3975+'],[' 1992'],"[' 1002.752s (Solving', ' 993.14s 1st Model', ' 109.96s Unsat', ' 0.00s)']",[' 1000.859s'], ,[' 237538682'],"[' 7854529  (Analyzed', ' 7582930)']","[' 16978    (Average', ' 446.63 Last', ' 46542)']",[' 3404.8  '],"[' 1992     (Average Length', ' 1064.22 Splits', ' 0)']","[' 28505040 (Deleted', ' 28129137)']","[' 421      (Ratio', '   0.00%)']","[' 30535    (Ratio', '   0.11%)']","[' 7582930  (Average Length', '   16.7 Ratio', '  26.60%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20922110 (Average Length', '   13.7 Ratio', '  73.40%) ']","[' 7582930  (Average', '  2.19 Max', ' 2708 Sum', ' 16602368)']","[' 7582930  (Average', '  2.19 Max', ' 2708 Sum', ' 16602368 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93538   '],[' 5843    '],[' 87680   '],[' 43538   '],"[' 116398   (Atom=Atom', ' 31633 Body=Body', ' 21497 Other', ' 63268)']",[' Yes'],"[' 8066     (Eliminated', '    0 Frozen', ' 8066)']","[' 4278     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.99916'],[' 0'], ,[' 490.88'],[' 0'],[' 22.6406'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.49201e+08'],[' 6.87227e+08'],[' 0'],[' 2.7534e+10'],[' 0'],[' 0'],[' 948 '],[' 1574 '],[' 2211 '],[' 2876 '],[' 4 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 3887+'],[' 1948'],"[' 1002.779s (Solving', ' 993.46s 1st Model', ' 184.78s Unsat', ' 0.00s)']",[' 1000.188s'], ,[' 201686634'],"[' 7496180  (Analyzed', ' 7158292)']","[' 16004    (Average', ' 447.28 Last', ' 56421)']",[' 3554.1  '],"[' 1948     (Average Length', ' 1052.93 Splits', ' 0)']","[' 27195875 (Deleted', ' 26880483)']","[' 475      (Ratio', '   0.00%)']","[' 26600    (Ratio', '   0.10%)']","[' 7158292  (Average Length', '   17.6 Ratio', '  26.32%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20037583 (Average Length', '   14.4 Ratio', '  73.68%) ']","[' 7158292  (Average', '  2.06 Max', ' 2507 Sum', ' 14737096)']","[' 7158292  (Average', '  2.06 Max', ' 2507 Sum', ' 14737096 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93113   '],[' 5784    '],[' 87200   '],[' 43220   '],"[' 115239   (Atom=Atom', ' 31308 Body=Body', ' 21283 Other', ' 62648)']",[' Yes'],"[' 7932     (Eliminated', '    0 Frozen', ' 7932)']","[' 3810     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.92049'],[' 0'], ,[' 520.558'],[' 0'],[' 21.7622'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.28196e+08'],[' 5.80443e+08'],[' 0'],[' 2.97613e+10'],[' 0'],[' 0'],[' 956 '],[' 1566 '],[' 2248 '],[' 2910 '],[' 4 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 3687+'],[' 1848'],"[' 1002.941s (Solving', ' 992.79s 1st Model', ' 26.92s Unsat', ' 0.00s)']",[' 1000.000s'], ,[' 185549588'],"[' 8452071  (Analyzed', ' 8096614)']","[' 16798    (Average', ' 482.00 Last', ' 142644)']",[' 3590.4  '],"[' 1848     (Average Length', ' 1008.60 Splits', ' 0)']","[' 29314272 (Deleted', ' 28975332)']","[' 372      (Ratio', '   0.00%)']","[' 26115    (Ratio', '   0.09%)']","[' 8096614  (Average Length', '   17.9 Ratio', '  27.62%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21217658 (Average Length', '   15.4 Ratio', '  72.38%) ']","[' 8096614  (Average', '  1.91 Max', ' 2786 Sum', ' 15460558)']","[' 8096614  (Average', '  1.91 Max', ' 2786 Sum', ' 15460558 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93284   '],[' 5857    '],[' 87440   '],[' 43396   '],"[' 115698   (Atom=Atom', ' 31418 Body=Body', ' 21420 Other', ' 62860)']",[' Yes'],"[' 7926     (Eliminated', '    0 Frozen', ' 7926)']","[' 3671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14872'],[' 0'], ,[' 543.378'],[' 0'],[' 21.1526'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.71099e+08'],[' 4.44028e+08'],[' 0'],[' 3.13246e+10'],[' 0'],[' 0'],[' 1029 '],[' 1701 '],[' 2431 '],[' 3070 '],[' 4 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 4245+'],[' 2127'],"[' 1003.266s (Solving', ' 992.66s 1st Model', ' 62.91s Unsat', ' 0.00s)']",[' 1001.531s'], ,[' 170812485'],"[' 8718019  (Analyzed', ' 8530486)']","[' 18019    (Average', ' 473.42 Last', ' 99130)']",[' 3635.6  '],"[' 2127     (Average Length', ' 1130.86 Splits', ' 0)']","[' 31595569 (Deleted', ' 31283243)']","[' 422      (Ratio', '   0.00%)']","[' 24481    (Ratio', '   0.08%)']","[' 8530486  (Average Length', '   17.3 Ratio', '  27.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23065083 (Average Length', '   14.7 Ratio', '  73.00%) ']","[' 8530486  (Average', '  1.78 Max', ' 3028 Sum', ' 15194966)']","[' 8530486  (Average', '  1.78 Max', ' 3028 Sum', ' 15194966 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93529   '],[' 5826    '],[' 87754   '],[' 43593   '],"[' 116450   (Atom=Atom', ' 31665 Body=Body', ' 21401 Other', ' 63384)']",[' Yes'],"[' 8142     (Eliminated', '    0 Frozen', ' 8142)']","[' 3579     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14981'],[' 0'], ,[' 543.756'],[' 0'],[' 19.3764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.29036e+08'],[' 4.03376e+08'],[' 0'],[' 3.41506e+10'],[' 0'],[' 0'],[' 1081 '],[' 1770 '],[' 2479 '],[' 3161 '],[' 4 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 4111+'],[' 2060'],"[' 1002.692s (Solving', ' 993.00s 1st Model', ' 57.63s Unsat', ' 0.00s)']",[' 1001.563s'], ,[' 209579241'],"[' 9026935  (Analyzed', ' 8797617)']","[' 18743    (Average', ' 469.38 Last', ' 31372)']",[' 3448.0  '],"[' 2060     (Average Length', ' 1092.63 Splits', ' 0)']","[' 30804196 (Deleted', ' 30443323)']","[' 458      (Ratio', '   0.00%)']","[' 28737    (Ratio', '   0.09%)']","[' 8797617  (Average Length', '   16.2 Ratio', '  28.56%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22006579 (Average Length', '   13.5 Ratio', '  71.44%) ']","[' 8797617  (Average', '  1.89 Max', ' 2610 Sum', ' 16647321)']","[' 8797617  (Average', '  1.89 Max', ' 2610 Sum', ' 16647321 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93656   '],[' 5838    '],[' 87829   '],[' 43693   '],"[' 116348   (Atom=Atom', ' 31645 Body=Body', ' 21409 Other', ' 63294)']",[' Yes'],"[' 8090     (Eliminated', '    0 Frozen', ' 8090)']","[' 4404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03301'],[' 0'], ,[' 525.838'],[' 0'],[' 21.6708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.90263e+08'],[' 5.44399e+08'],[' 0'],[' 3.22643e+10'],[' 0'],[' 0'],[' 882 '],[' 1569 '],[' 2311 '],[' 3005 '],[' 4 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 3827+'],[' 1918'],"[' 1169.987s (Solving', ' 1160.65s 1st Model', ' 85.63s Unsat', ' 0.00s)']",[' 996.969s'], ,[' 197020930'],"[' 8133554  (Analyzed', ' 7820317)']","[' 16772    (Average', ' 466.27 Last', ' 36316)']",[' 3426.8  '],"[' 1918     (Average Length', ' 1024.76 Splits', ' 0)']","[' 27063415 (Deleted', ' 26705780)']","[' 406      (Ratio', '   0.00%)']","[' 27182    (Ratio', '   0.10%)']","[' 7820317  (Average Length', '   16.1 Ratio', '  28.90%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19243098 (Average Length', '   12.7 Ratio', '  71.10%) ']","[' 7820317  (Average', '  1.97 Max', ' 2730 Sum', ' 15380852)']","[' 7820317  (Average', '  1.97 Max', ' 2730 Sum', ' 15380852 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 92790   '],[' 5758    '],[' 86847   '],[' 42969   '],"[' 114976   (Atom=Atom', ' 31245 Body=Body', ' 21243 Other', ' 62488)']",[' Yes'],"[' 7905     (Eliminated', '    0 Frozen', ' 7905)']","[' 3718     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.90722'],[' 0'], ,[' 526.204'],[' 0'],[' 22.0589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.83574e+08'],[' 5.42527e+08'],[' 0'],[' 2.80687e+10'],[' 0'],[' 0'],[' 782 '],[' 1400 '],[' 2151 '],[' 2852 '],[' 4 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 4161+'],[' 2085'],"[' 1002.958s (Solving', ' 992.54s 1st Model', ' 130.61s Unsat', ' 0.00s)']",[' 999.094s'], ,[' 240086043'],"[' 6156579  (Analyzed', ' 5903436)']","[' 13577    (Average', ' 434.81 Last', ' 50616)']",[' 3298.2  '],"[' 2085     (Average Length', ' 1100.38 Splits', ' 0)']","[' 22623199 (Deleted', ' 22308290)']","[' 489      (Ratio', '   0.00%)']","[' 31411    (Ratio', '   0.14%)']","[' 5903436  (Average Length', '   16.4 Ratio', '  26.09%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16719763 (Average Length', '   13.1 Ratio', '  73.91%) ']","[' 5903436  (Average', '  2.48 Max', ' 2129 Sum', ' 14652351)']","[' 5903436  (Average', '  2.48 Max', ' 2129 Sum', ' 14652351 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 93229   '],[' 5786    '],[' 87457   '],[' 43304   '],"[' 115971   (Atom=Atom', ' 31539 Body=Body', ' 21331 Other', ' 63101)']",[' Yes'],"[' 8082     (Eliminated', '    0 Frozen', ' 8082)']","[' 4566     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16531'],[' 0'], ,[' 479.907'],[' 0'],[' 23.8587'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.81248e+08'],[' 7.17546e+08'],[' 0'],[' 2.39705e+10'],[' 0'],[' 0'],[' 774 '],[' 1503 '],[' 2222 '],[' 2860 '],[' 4 '],[' 0 ']
