Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51_Clus(01), , , , , , , , , ,[' 1'],[' 5625+'],[' 2816'],"[' 603.837s (Solving', ' 588.55s 1st Model', ' 467.16s Unsat', ' 0.00s)']",[' 600.234s'], ,[' 230073857'],"[' 7539140  (Analyzed', ' 6646181)']","[' 18697    (Average', ' 355.47 Last', ' 913679)']",[' 5167.6  '],"[' 2816     (Average Length', ' 1488.53 Splits', ' 0)']","[' 6646181  (Deleted', ' 6597651)']","[' 655      (Ratio', '   0.01%)']","[' 24636    (Ratio', '   0.37%)']","[' 6646181  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6646181  (Average', ' 32.95 Max', ' 5191 Sum', ' 218969889)']","[' 6645774  (Average', ' 32.85 Max', ' 5191 Sum', ' 218332542 Ratio', '  99.71%)']","[' 407      (Average', ' 1565.96 Max', ' 1910 Sum', ' 637347 Ratio', '   0.29%)']", ,[' 106630  '],[' 7716    '],[' 102281  '],[' 52699   '],"[' 149264   (Atom=Atom', ' 39339 Body=Body', ' 27175 Other', ' 82750)']",[' Yes'],"[' 10501    (Eliminated', '    0 Frozen', ' 10501)']","[' 2986     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05096'],[' 0'], ,[' 284.844'],[' 0'],[' 17.6195'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21231e+08'],[' 6.02511e+08'],[' 0'],[' 1.10688e+10'],[' 0'],[' 0'],[' 1118 '],[' 2179 '],[' 3269 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(02), , , , , , , , , ,[' 1'],[' 5077+'],[' 2542'],"[' 603.893s (Solving', ' 588.96s 1st Model', ' 263.29s Unsat', ' 0.00s)']",[' 600.719s'], ,[' 234065400'],"[' 6070901  (Analyzed', ' 5677902)']","[' 14211    (Average', ' 399.54 Last', ' 414598)']",[' 5007.3  '],"[' 2542     (Average Length', ' 1336.57 Splits', ' 0)']","[' 5677902  (Deleted', ' 5616364)']","[' 637      (Ratio', '   0.01%)']","[' 32263    (Ratio', '   0.57%)']","[' 5677902  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5677902  (Average', ' 39.54 Max', ' 5069 Sum', ' 224479790)']","[' 5677490  (Average', ' 39.44 Max', ' 5069 Sum', ' 223942194 Ratio', '  99.76%)']","[' 412      (Average', ' 1304.84 Max', ' 1548 Sum', ' 537596 Ratio', '   0.24%)']", ,[' 105942  '],[' 7705    '],[' 101470  '],[' 52141   '],"[' 148930   (Atom=Atom', ' 39234 Body=Body', ' 27297 Other', ' 82399)']",[' Yes'],"[' 10325    (Eliminated', '    0 Frozen', ' 10325)']","[' 3840     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.96787'],[' 0'], ,[' 264.276'],[' 0'],[' 17.7657'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.56821e+08'],[' 6.47189e+08'],[' 0'],[' 9.79537e+09'],[' 0'],[' 0'],[' 1118 '],[' 2216 '],[' 3413 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(03), , , , , , , , , ,[' 1'],[' 5707+'],[' 2857'],"[' 604.766s (Solving', ' 586.81s 1st Model', ' 382.20s Unsat', ' 0.00s)']",[' 603.266s'], ,[' 190965304'],"[' 7123922  (Analyzed', ' 6060724)']","[' 16304    (Average', ' 371.73 Last', ' 331669)']",[' 5135.6  '],"[' 2857     (Average Length', ' 1501.75 Splits', ' 0)']","[' 6060724  (Deleted', ' 6004103)']","[' 686      (Ratio', '   0.01%)']","[' 22808    (Ratio', '   0.38%)']","[' 6060724  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6060724  (Average', ' 29.66 Max', ' 5316 Sum', ' 179744331)']","[' 6060330  (Average', ' 29.55 Max', ' 5316 Sum', ' 179123696 Ratio', '  99.65%)']","[' 394      (Average', ' 1575.22 Max', ' 1922 Sum', ' 620635 Ratio', '   0.35%)']", ,[' 105741  '],[' 7632    '],[' 101582  '],[' 52069   '],"[' 148370   (Atom=Atom', ' 39183 Body=Body', ' 26990 Other', ' 82197)']",[' Yes'],"[' 10476    (Eliminated', '    0 Frozen', ' 10476)']","[' 2848     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.7037'],[' 0'], ,[' 290.122'],[' 0'],[' 17.3696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66724e+08'],[' 4.70237e+08'],[' 0'],[' 9.9616e+09'],[' 0'],[' 0'],[' 1116 '],[' 2189 '],[' 3249 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(04), , , , , , , , , ,[' 1'],[' 4545+'],[' 2276'],"[' 603.545s (Solving', ' 590.16s 1st Model', ' 323.61s Unsat', ' 0.00s)']",[' 602.391s'], ,[' 217018798'],"[' 5430910  (Analyzed', ' 4900795)']","[' 13313    (Average', ' 368.12 Last', ' 457830)']",[' 4607.4  '],"[' 2276     (Average Length', ' 1212.20 Splits', ' 0)']","[' 4900795  (Deleted', ' 4834196)']","[' 520      (Ratio', '   0.01%)']","[' 33837    (Ratio', '   0.69%)']","[' 4900795  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4900795  (Average', ' 42.65 Max', ' 4825 Sum', ' 209008221)']","[' 4900293  (Average', ' 42.52 Max', ' 4825 Sum', ' 208367079 Ratio', '  99.69%)']","[' 502      (Average', ' 1277.18 Max', ' 1836 Sum', ' 641142 Ratio', '   0.31%)']", ,[' 105393  '],[' 7693    '],[' 100614  '],[' 51615   '],"[' 148384   (Atom=Atom', ' 39030 Body=Body', ' 27302 Other', ' 82052)']",[' Yes'],"[' 10069    (Eliminated', '    0 Frozen', ' 10069)']","[' 4408     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7996'],[' 0'], ,[' 269.111'],[' 0'],[' 18.7041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.76612e+08'],[' 5.80259e+08'],[' 0'],[' 9.72391e+09'],[' 0'],[' 0'],[' 1099 '],[' 2207 '],[' 3450 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(05), , , , , , , , , ,[' 1'],[' 4905+'],[' 2456'],"[' 603.391s (Solving', ' 589.93s 1st Model', ' 366.81s Unsat', ' 0.00s)']",[' 601.406s'], ,[' 236323915'],"[' 7133154  (Analyzed', ' 6789483)']","[' 17755    (Average', ' 382.40 Last', ' 906042)']",[' 4993.3  '],"[' 2456     (Average Length', ' 1302.01 Splits', ' 0)']","[' 6789483  (Deleted', ' 6733546)']","[' 715      (Ratio', '   0.01%)']","[' 27089    (Ratio', '   0.40%)']","[' 6789483  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6789483  (Average', ' 33.44 Max', ' 5215 Sum', ' 227010061)']","[' 6789074  (Average', ' 33.36 Max', ' 5215 Sum', ' 226488241 Ratio', '  99.77%)']","[' 409      (Average', ' 1275.84 Max', ' 1550 Sum', ' 521820 Ratio', '   0.23%)']", ,[' 105746  '],[' 7680    '],[' 101192  '],[' 52004   '],"[' 147880   (Atom=Atom', ' 38933 Body=Body', ' 27156 Other', ' 81791)']",[' Yes'],"[' 10178    (Eliminated', '    0 Frozen', ' 10178)']","[' 3202     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.70647'],[' 0'], ,[' 280.95'],[' 0'],[' 18.1724'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.45361e+08'],[' 6.28208e+08'],[' 0'],[' 1.07323e+10'],[' 0'],[' 0'],[' 1128 '],[' 2202 '],[' 3304 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(06), , , , , , , , , ,[' 1'],[' 4397+'],[' 2202'],"[' 603.038s (Solving', ' 591.07s 1st Model', ' 221.89s Unsat', ' 0.00s)']",[' 600.938s'], ,[' 239502556'],"[' 6277024  (Analyzed', ' 5880116)']","[' 13343    (Average', ' 440.69 Last', ' 1215551)']",[' 4672.0  '],"[' 2202     (Average Length', ' 1185.27 Splits', ' 0)']","[' 5880116  (Deleted', ' 5813052)']","[' 608      (Ratio', '   0.01%)']","[' 35254    (Ratio', '   0.60%)']","[' 5880116  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5880116  (Average', ' 39.39 Max', ' 4940 Sum', ' 231639291)']","[' 5879602  (Average', ' 39.29 Max', ' 4940 Sum', ' 231008101 Ratio', '  99.73%)']","[' 514      (Average', ' 1228.00 Max', ' 1880 Sum', ' 631190 Ratio', '   0.27%)']", ,[' 105679  '],[' 7746    '],[' 100895  '],[' 51849   '],"[' 149116   (Atom=Atom', ' 39201 Body=Body', ' 27553 Other', ' 82362)']",[' Yes'],"[' 10126    (Eliminated', '    0 Frozen', ' 10126)']","[' 4570     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.35215'],[' 0'], ,[' 276.456'],[' 0'],[' 17.9071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.73422e+08'],[' 6.65708e+08'],[' 0'],[' 1.16919e+10'],[' 0'],[' 0'],[' 1108 '],[' 2273 '],[' 3575 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(07), , , , , , , , , ,[' 1'],[' 4975+'],[' 2491'],"[' 603.559s (Solving', ' 589.57s 1st Model', ' 174.84s Unsat', ' 0.00s)']",[' 602.063s'], ,[' 228703270'],"[' 6730112  (Analyzed', ' 6161968)']","[' 14775    (Average', ' 417.05 Last', ' 149501)']",[' 4819.1  '],"[' 2491     (Average Length', ' 1327.85 Splits', ' 0)']","[' 6161968  (Deleted', ' 6083601)']","[' 640      (Ratio', '   0.01%)']","[' 35594    (Ratio', '   0.58%)']","[' 6161968  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6161968  (Average', ' 35.65 Max', ' 4720 Sum', ' 219667202)']","[' 6161476  (Average', ' 35.54 Max', ' 4720 Sum', ' 219004997 Ratio', '  99.70%)']","[' 492      (Average', ' 1345.95 Max', ' 2095 Sum', ' 662205 Ratio', '   0.30%)']", ,[' 107089  '],[' 7863    '],[' 102574  '],[' 53081   '],"[' 149758   (Atom=Atom', ' 39423 Body=Body', ' 27553 Other', ' 82782)']",[' Yes'],"[' 10346    (Eliminated', '    0 Frozen', ' 10346)']","[' 4750     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.77473'],[' 0'], ,[' 279.581'],[' 0'],[' 17.7382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.43725e+08'],[' 6.39661e+08'],[' 0'],[' 1.27111e+10'],[' 0'],[' 0'],[' 1239 '],[' 2283 '],[' 3529 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(08), , , , , , , , , ,[' 1'],[' 4495+'],[' 2251'],"[' 603.509s (Solving', ' 589.77s 1st Model', ' 28.97s Unsat', ' 0.00s)']",[' 598.000s'], ,[' 237308338'],"[' 7602077  (Analyzed', ' 7025205)']","[' 14765    (Average', ' 475.80 Last', ' 15550)']",[' 4687.0  '],"[' 2251     (Average Length', ' 1214.37 Splits', ' 0)']","[' 7025205  (Deleted', ' 6926528)']","[' 554      (Ratio', '   0.01%)']","[' 40000    (Ratio', '   0.57%)']","[' 7025205  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7025205  (Average', ' 32.61 Max', ' 4673 Sum', ' 229061289)']","[' 7024712  (Average', ' 32.52 Max', ' 4673 Sum', ' 228469407 Ratio', '  99.74%)']","[' 493      (Average', ' 1200.57 Max', ' 1455 Sum', ' 591882 Ratio', '   0.26%)']", ,[' 105782  '],[' 7747    '],[' 101044  '],[' 51914   '],"[' 148941   (Atom=Atom', ' 39174 Body=Body', ' 27467 Other', ' 82300)']",[' Yes'],"[' 10118    (Eliminated', '    0 Frozen', ' 10118)']","[' 5150     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72385'],[' 0'], ,[' 277.475'],[' 0'],[' 17.9575'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.69203e+08'],[' 5.7039e+08'],[' 0'],[' 1.18242e+10'],[' 0'],[' 0'],[' 1243 '],[' 2419 '],[' 3676 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(09), , , , , , , , , ,[' 1'],[' 5329+'],[' 2668'],"[' 603.730s (Solving', ' 588.71s 1st Model', ' 188.93s Unsat', ' 0.00s)']",[' 600.609s'], ,[' 246249679'],"[' 5458645  (Analyzed', ' 4873530)']","[' 11003    (Average', ' 442.93 Last', ' 210848)']",[' 4895.0  '],"[' 2668     (Average Length', ' 1410.03 Splits', ' 0)']","[' 4873530  (Deleted', ' 4804644)']","[' 550      (Ratio', '   0.01%)']","[' 39003    (Ratio', '   0.80%)']","[' 4873530  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4873530  (Average', ' 48.57 Max', ' 4702 Sum', ' 236705228)']","[' 4873016  (Average', ' 48.43 Max', ' 4702 Sum', ' 236007419 Ratio', '  99.71%)']","[' 514      (Average', ' 1357.61 Max', ' 1670 Sum', ' 697809 Ratio', '   0.29%)']", ,[' 106031  '],[' 7706    '],[' 101674  '],[' 52204   '],"[' 149582   (Atom=Atom', ' 39418 Body=Body', ' 27375 Other', ' 82789)']",[' Yes'],"[' 10449    (Eliminated', '    0 Frozen', ' 10449)']","[' 5124     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03249'],[' 0'], ,[' 249.843'],[' 0'],[' 17.8031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.13094e+08'],[' 7.02847e+08'],[' 0'],[' 9.52716e+09'],[' 0'],[' 0'],[' 1158 '],[' 2167 '],[' 3338 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(10), , , , , , , , , ,[' 1'],[' 5059+'],[' 2533'],"[' 603.500s (Solving', ' 589.68s 1st Model', ' 237.68s Unsat', ' 0.00s)']",[' 601.094s'], ,[' 257219048'],"[' 5194278  (Analyzed', ' 4615678)']","[' 12124    (Average', ' 380.71 Last', ' 194946)']",[' 4702.2  '],"[' 2533     (Average Length', ' 1339.40 Splits', ' 0)']","[' 4615678  (Deleted', ' 4546015)']","[' 523      (Ratio', '   0.01%)']","[' 38574    (Ratio', '   0.84%)']","[' 4615678  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4615678  (Average', ' 53.82 Max', ' 4698 Sum', ' 248417259)']","[' 4615177  (Average', ' 53.67 Max', ' 4698 Sum', ' 247724615 Ratio', '  99.72%)']","[' 501      (Average', ' 1382.52 Max', ' 1661 Sum', ' 692644 Ratio', '   0.28%)']", ,[' 105674  '],[' 7682    '],[' 101183  '],[' 51939   '],"[' 148811   (Atom=Atom', ' 39214 Body=Body', ' 27282 Other', ' 82315)']",[' Yes'],"[' 10291    (Eliminated', '    0 Frozen', ' 10291)']","[' 4749     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.73576'],[' 0'], ,[' 243.957'],[' 0'],[' 18.4144'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.71345e+08'],[' 7.54544e+08'],[' 0'],[' 8.84384e+09'],[' 0'],[' 0'],[' 1100 '],[' 2154 '],[' 3320 '],[' 3 '],[' 0 ']
