Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1187'],[' 602'],"[' 282.685s (Solving', ' 278.34s 1st Model', ' 2.38s Unsat', ' 137.61s)']",[' 276.594s'], ,[' 16968729'],"[' 10015830 (Analyzed', ' 9991503)']","[' 20490    (Average', ' 487.63 Last', ' 87038)']",[' 1684.3  '],"[' 602      (Average Length', ' 372.01 Splits', ' 0)']","[' 9991503  (Deleted', ' 9828080)']","[' 24       (Ratio', '   0.00%)']","[' 1582     (Ratio', '   0.02%)']","[' 9991503  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9991503  (Average', '  1.61 Max', ' 2352 Sum', ' 16130022)']","[' 9991004  (Average', '  1.60 Max', ' 2337 Sum', ' 15956202 Ratio', '  98.92%)']","[' 499      (Average', ' 348.34 Max', ' 561 Sum', ' 173820 Ratio', '   1.08%)']", ,[' 81376   '],[' 2976    '],[' 75533   '],[' 25216   '],"[' 67054    (Atom=Atom', ' 19640 Body=Body', ' 11943 Other', ' 35471)']",[' Yes'],"[' 4291     (Eliminated', '    0 Frozen', ' 4291)']","[' 229      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.85961'],[' 0'], ,[' 143.025'],[' 0'],[' 3.70197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.42804e+07'],[' 2.14265e+07'],[' 0'],[' 5.12139e+09'],[' 0'],[' 0'],[' 655 '],[' 1170 '],[' 1653 '],[' 1976 '],[' 2467 '],[' 2669 '],[' 3112 '],[' 3551 '],[' 1 '],[' 7 ']
Solving...,TA62, , , , , ,[' 1261'],[' 639'],"[' 462.954s (Solving', ' 459.37s 1st Model', ' 1.70s Unsat', ' 75.16s)']",[' 459.281s'], ,[' 21430498'],"[' 14265595 (Analyzed', ' 14220072)']","[' 28692    (Average', ' 495.61 Last', ' 48381)']",[' 1591.1  '],"[' 639      (Average Length', ' 388.97 Splits', ' 0)']","[' 14220072 (Deleted', ' 14010729)']","[' 26       (Ratio', '   0.00%)']","[' 1747     (Ratio', '   0.01%)']","[' 14220072 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14220072 (Average', '  1.44 Max', ' 2430 Sum', ' 20463714)']","[' 14219627 (Average', '  1.43 Max', ' 2412 Sum', ' 20265298 Ratio', '  99.03%)']","[' 445      (Average', ' 445.88 Max', ' 622 Sum', ' 198416 Ratio', '   0.97%)']", ,[' 82331   '],[' 3004    '],[' 76169   '],[' 25810   '],"[' 67615    (Atom=Atom', ' 19784 Body=Body', ' 12025 Other', ' 35806)']",[' Yes'],"[' 4344     (Eliminated', '    0 Frozen', ' 4344)']","[' 207      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.638857'],[' 0'], ,[' 316.629'],[' 0'],[' 6.94665'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73361e+07'],[' 2.4718e+07'],[' 0'],[' 1.66875e+10'],[' 0'],[' 0'],[' 647 '],[' 1069 '],[' 1608 '],[' 1969 '],[' 2496 '],[' 3000 '],[' 3333 '],[' 3701 '],[' 3 '],[' 5 ']
Solving...,TA63, , , , ,[' 1'],[' 1345+'],[' 681'],"[' 527.901s (Solving', ' 522.68s 1st Model', ' 3.04s Unsat', ' 135.36s)']",[' 515.859s'], ,[' 27957927'],"[' 16866057 (Analyzed', ' 16835910)']","[' 34523    (Average', ' 487.67 Last', ' 117198)']",[' 1762.7  '],"[' 681      (Average Length', ' 418.62 Splits', ' 0)']","[' 16835910 (Deleted', ' 16542334)']","[' 6        (Ratio', '   0.00%)']","[' 1893     (Ratio', '   0.01%)']","[' 16835910 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16835910 (Average', '  1.59 Max', ' 2934 Sum', ' 26774487)']","[' 16835407 (Average', '  1.58 Max', ' 2373 Sum', ' 26572022 Ratio', '  99.24%)']","[' 503      (Average', ' 402.51 Max', ' 617 Sum', ' 202465 Ratio', '   0.76%)']", ,[' 82109   '],[' 3057    '],[' 76306   '],[' 25731   '],"[' 68530    (Atom=Atom', ' 20043 Body=Body', ' 12186 Other', ' 36301)']",[' Yes'],"[' 4455     (Eliminated', '    0 Frozen', ' 4455)']","[' 223      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08107'],[' 0'], ,[' 341.664'],[' 0'],[' 7.59591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53055e+07'],[' 3.75088e+07'],[' 0'],[' 1.48924e+10'],[' 0'],[' 0'],[' 766 '],[' 1162 '],[' 1467 '],[' 1967 '],[' 2359 '],[' 2626 '],[' 3061 '],[' 3465 '],[' 3 '],[' 5 ']
Solving...,TA64, , , , , ,[' 1013'],[' 515'],"[' 432.225s (Solving', ' 429.47s 1st Model', ' 1.32s Unsat', ' 49.08s)']",[' 430.828s'], ,[' 29493877'],"[' 19227280 (Analyzed', ' 19206236)']","[' 38248    (Average', ' 502.15 Last', ' 217492)']",[' 1664.5  '],"[' 515      (Average Length', ' 332.17 Splits', ' 0)']","[' 19206236 (Deleted', ' 18934158)']","[' 10       (Ratio', '   0.00%)']","[' 2273     (Ratio', '   0.01%)']","[' 19206236 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19206236 (Average', '  1.48 Max', ' 2286 Sum', ' 28407462)']","[' 19205697 (Average', '  1.47 Max', ' 2286 Sum', ' 28229950 Ratio', '  99.38%)']","[' 539      (Average', ' 329.34 Max', ' 472 Sum', ' 177512 Ratio', '   0.62%)']", ,[' 81226   '],[' 2999    '],[' 75370   '],[' 25131   '],"[' 67137    (Atom=Atom', ' 19645 Body=Body', ' 12012 Other', ' 35480)']",[' Yes'],"[' 4242     (Eliminated', '    0 Frozen', ' 4242)']","[' 354      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.528902'],[' 0'], ,[' 286.631'],[' 0'],[' 6.68784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.65736e+07'],[' 3.17476e+07'],[' 0'],[' 1.58423e+10'],[' 0'],[' 0'],[' 863 '],[' 1334 '],[' 1892 '],[' 2052 '],[' 2597 '],[' 2806 '],[' 3186 '],[' 3463 '],[' 3 '],[' 5 ']
Solving...,TA65, , , , ,[' 1'],[' 1155+'],[' 586'],"[' 563.169s (Solving', ' 560.51s 1st Model', ' 1.28s Unsat', ' 55.75s)']",[' 561.938s'], ,[' 35259285'],"[' 23482237 (Analyzed', ' 23463787)']","[' 46561    (Average', ' 503.94 Last', ' 145576)']",[' 1654.7  '],"[' 586      (Average Length', ' 375.27 Splits', ' 0)']","[' 23463787 (Deleted', ' 23160308)']","[' 16       (Ratio', '   0.00%)']","[' 2127     (Ratio', '   0.01%)']","[' 23463787 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23463787 (Average', '  1.45 Max', ' 2390 Sum', ' 34056228)']","[' 23463324 (Average', '  1.44 Max', ' 2390 Sum', ' 33891471 Ratio', '  99.52%)']","[' 463      (Average', ' 355.85 Max', ' 602 Sum', ' 164757 Ratio', '   0.48%)']", ,[' 82960   '],[' 3057    '],[' 76646   '],[' 26138   '],"[' 68268    (Atom=Atom', ' 19948 Body=Body', ' 12186 Other', ' 36134)']",[' Yes'],"[' 4363     (Eliminated', '    0 Frozen', ' 4363)']","[' 316      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.500355'],[' 0'], ,[' 383.28'],[' 0'],[' 7.66083'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.38886e+07'],[' 3.94468e+07'],[' 0'],[' 2.26419e+10'],[' 0'],[' 0'],[' 657 '],[' 1231 '],[' 1389 '],[' 1826 '],[' 2297 '],[' 2669 '],[' 3234 '],[' 3710 '],[' 4 '],[' 4 ']
Solving...,TA66, , , , , ,[' 1299'],[' 658'],"[' 438.691s (Solving', ' 435.84s 1st Model', ' 1.53s Unsat', ' 52.80s)']",[' 437.891s'], ,[' 35510753'],"[' 21965143 (Analyzed', ' 21944918)']","[' 42551    (Average', ' 515.73 Last', ' 4658)']",[' 1631.5  '],"[' 658      (Average Length', ' 402.07 Splits', ' 0)']","[' 21944918 (Deleted', ' 21706810)']","[' 43       (Ratio', '   0.00%)']","[' 2388     (Ratio', '   0.01%)']","[' 21944918 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21944918 (Average', '  1.57 Max', ' 2369 Sum', ' 34346527)']","[' 21944338 (Average', '  1.55 Max', ' 2275 Sum', ' 34117546 Ratio', '  99.33%)']","[' 580      (Average', ' 394.79 Max', ' 609 Sum', ' 228981 Ratio', '   0.67%)']", ,[' 82476   '],[' 3061    '],[' 76458   '],[' 25936   '],"[' 68464    (Atom=Atom', ' 20025 Body=Body', ' 12196 Other', ' 36243)']",[' Yes'],"[' 4434     (Eliminated', '    0 Frozen', ' 4434)']","[' 375      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.545834'],[' 0'], ,[' 283.94'],[' 0'],[' 6.43637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.19593e+07'],[' 3.986e+07'],[' 0'],[' 1.82234e+10'],[' 0'],[' 0'],[' 615 '],[' 1258 '],[' 1722 '],[' 1890 '],[' 2233 '],[' 2757 '],[' 3133 '],[' 3692 '],[' 3 '],[' 5 ']
Solving...,TA67, , , , , ,[' 1123'],[' 570'],"[' 506.623s (Solving', ' 503.76s 1st Model', ' 1.42s Unsat', ' 123.10s)']",[' 505.875s'], ,[' 30237157'],"[' 19354587 (Analyzed', ' 19326585)']","[' 38143    (Average', ' 506.69 Last', ' 109561)']",[' 1577.9  '],"[' 570      (Average Length', ' 359.44 Splits', ' 0)']","[' 19326585 (Deleted', ' 19053880)']","[' 25       (Ratio', '   0.00%)']","[' 2081     (Ratio', '   0.01%)']","[' 19326585 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19326585 (Average', '  1.51 Max', ' 2397 Sum', ' 29238079)']","[' 19325997 (Average', '  1.50 Max', ' 2214 Sum', ' 29018157 Ratio', '  99.25%)']","[' 588      (Average', ' 374.02 Max', ' 531 Sum', ' 219922 Ratio', '   0.75%)']", ,[' 81684   '],[' 3012    '],[' 75709   '],[' 25458   '],"[' 67526    (Atom=Atom', ' 19752 Body=Body', ' 12051 Other', ' 35723)']",[' Yes'],"[' 4300     (Eliminated', '    0 Frozen', ' 4300)']","[' 372      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.546344'],[' 0'], ,[' 337.974'],[' 0'],[' 5.87334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.03868e+07'],[' 3.35415e+07'],[' 0'],[' 1.60103e+10'],[' 0'],[' 0'],[' 873 '],[' 1395 '],[' 1513 '],[' 2060 '],[' 2541 '],[' 3012 '],[' 3450 '],[' 3820 '],[' 3 '],[' 5 ']
Solving...,TA68, , , , ,[' 1'],[' 1305+'],[' 661'],"[' 265.868s (Solving', ' 262.36s 1st Model', ' 1.87s Unsat', ' 3.21s)']",[' 265.625s'], ,[' 8270002 '],"[' 4526926  (Analyzed', ' 4481109)']","[' 10016    (Average', ' 447.40 Last', ' 18278)']",[' 1785.2  '],"[' 661      (Average Length', ' 407.54 Splits', ' 0)']","[' 4481109  (Deleted', ' 4398147)']","[' 30       (Ratio', '   0.00%)']","[' 908      (Ratio', '   0.02%)']","[' 4481109  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4481109  (Average', '  1.65 Max', ' 2773 Sum', ' 7397947)']","[' 4480697  (Average', '  1.61 Max', ' 2489 Sum', ' 7223951 Ratio', '  97.65%)']","[' 412      (Average', ' 422.32 Max', ' 608 Sum', ' 173996 Ratio', '   2.35%)']", ,[' 82159   '],[' 2981    '],[' 76094   '],[' 25748   '],"[' 67319    (Atom=Atom', ' 19719 Body=Body', ' 11958 Other', ' 35642)']",[' Yes'],"[' 4366     (Eliminated', '    0 Frozen', ' 4366)']","[' 65       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.690873'],[' 0'], ,[' 204.609'],[' 0'],[' 6.01894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11745e+07'],[' 1.05427e+07'],[' 0'],[' 1.10089e+10'],[' 0'],[' 0'],[' 531 '],[' 1060 '],[' 1445 '],[' 1750 '],[' 2147 '],[' 2568 '],[' 2973 '],[' 3443 '],[' 2 '],[' 6 ']
Solving...,TA69, , , , ,[' 1'],[' 1255+'],[' 636'],"[' 632.475s (Solving', ' 629.36s 1st Model', ' 1.60s Unsat', ' 1.78s)']",[' 632.266s'], ,[' 33410249'],"[' 21030706 (Analyzed', ' 21004272)']","[' 41992    (Average', ' 500.20 Last', ' 13663)']",[' 1665.3  '],"[' 636      (Average Length', ' 383.30 Splits', ' 0)']","[' 21004272 (Deleted', ' 20749140)']","[' 15       (Ratio', '   0.00%)']","[' 2484     (Ratio', '   0.01%)']","[' 21004272 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21004272 (Average', '  1.53 Max', ' 2407 Sum', ' 32149992)']","[' 21003792 (Average', '  1.52 Max', ' 2355 Sum', ' 31947582 Ratio', '  99.37%)']","[' 480      (Average', ' 421.69 Max', ' 597 Sum', ' 202410 Ratio', '   0.63%)']", ,[' 82130   '],[' 3058    '],[' 76268   '],[' 25697   '],"[' 68511    (Atom=Atom', ' 20002 Body=Body', ' 12189 Other', ' 36320)']",[' Yes'],"[' 4406     (Eliminated', '    0 Frozen', ' 4406)']","[' 328      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.627275'],[' 0'], ,[' 453.453'],[' 0'],[' 9.76821'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.5775e+07'],[' 3.7094e+07'],[' 0'],[' 2.45263e+10'],[' 0'],[' 0'],[' 697 '],[' 1364 '],[' 1649 '],[' 2104 '],[' 2352 '],[' 2946 '],[' 3375 '],[' 3744 '],[' 5 '],[' 3 ']
Solving...,TA70, , , , , ,[' 933'],[' 475'],"[' 419.813s (Solving', ' 417.81s 1st Model', ' 1.05s Unsat', ' 38.33s)']",[' 419.578s'], ,[' 29642327'],"[' 19728030 (Analyzed', ' 19696207)']","[' 38922    (Average', ' 506.04 Last', ' 1355)']",[' 1546.0  '],"[' 475      (Average Length', ' 314.81 Splits', ' 0)']","[' 19696207 (Deleted', ' 19460367)']","[' 20       (Ratio', '   0.00%)']","[' 1785     (Ratio', '   0.01%)']","[' 19696207 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19696207 (Average', '  1.46 Max', ' 2500 Sum', ' 28679876)']","[' 19695712 (Average', '  1.45 Max', ' 2420 Sum', ' 28490669 Ratio', '  99.34%)']","[' 495      (Average', ' 382.24 Max', ' 511 Sum', ' 189207 Ratio', '   0.66%)']", ,[' 82556   '],[' 3124    '],[' 76378   '],[' 25966   '],"[' 68883    (Atom=Atom', ' 20102 Body=Body', ' 12385 Other', ' 36396)']",[' Yes'],"[' 4325     (Eliminated', '    0 Frozen', ' 4325)']","[' 254      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.351044'],[' 0'], ,[' 289.398'],[' 0'],[' 4.85715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.48014e+07'],[' 2.87222e+07'],[' 0'],[' 1.94512e+10'],[' 0'],[' 0'],[' 581 '],[' 980 '],[' 1562 '],[' 2191 '],[' 2587 '],[' 3087 '],[' 3694 '],[' 3832 '],[' 3 '],[' 5 ']
