Optimal Found Or Timeout,Instances,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 794,Completion Time for Window 2 is 1467,Completion Time for Window 3 is 2140,Completion Time for Window 4 is 2810,Completion Time for Window 5 is 3780
CPU Time     ,TA51,[' 23426912'],"[' 10039611 (Analyzed', ' 9962837)']","[' 21106    (Average', ' 472.04 Last', ' 92027)']",[' 2099.9  '],"[' 859      (Average Length', ' 411.86 Splits', ' 0)']","[' 9962837  (Deleted', ' 9804262)']","[' 7        (Ratio', '   0.00%)']","[' 3919     (Ratio', '   0.04%)']","[' 9962837  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9962837  (Average', '  2.19 Max', ' 2787 Sum', ' 21779720)']","[' 9962280  (Average', '  2.16 Max', ' 2787 Sum', ' 21560488 Ratio', '  98.99%)']","[' 557      (Average', ' 393.59 Max', ' 662 Sum', ' 219232 Ratio', '   1.01%)']", ,[' 78961   '],[' 4423    '],[' 79029   '],[' 44198   '],"[' 132590   (Atom=Atom', ' 40523 Body=Body', ' 23498 Other', ' 68569)']",[' Yes'],"[' 5241     (Eliminated', '    0 Frozen', ' 5241)']","[' 556      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.971553'],[' 0'], ,[' 240.616'],[' 0'],[' 3.96594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.9213e+07'],[' 4.454e+07'],[' 0'],[' 2.55667e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA52,[' 21211132'],"[' 8303899  (Analyzed', ' 8239236)']","[' 16221    (Average', ' 507.94 Last', ' 53155)']",[' 2019.4  '],"[' 581      (Average Length', ' 284.14 Splits', ' 0)']","[' 8239236  (Deleted', ' 8124011)']","[' 15       (Ratio', '   0.00%)']","[' 4429     (Ratio', '   0.05%)']","[' 8239236  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8239236  (Average', '  2.42 Max', ' 2649 Sum', ' 19961004)']","[' 8238630  (Average', '  2.40 Max', ' 2649 Sum', ' 19800322 Ratio', '  99.20%)']","[' 606      (Average', ' 265.15 Max', ' 443 Sum', ' 160682 Ratio', '   0.80%)']", ,[' 79187   '],[' 4465    '],[' 79001   '],[' 44172   '],"[' 132512   (Atom=Atom', ' 40455 Body=Body', ' 23540 Other', ' 68517)']",[' Yes'],"[' 5029     (Eliminated', '    0 Frozen', ' 5029)']","[' 769      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.724088'],[' 0'], ,[' 252.015'],[' 0'],[' 4.23236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.85822e+07'],[' 3.76891e+07'],[' 0'],[' 3.04272e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA53,[' 19367298'],"[' 8016742  (Analyzed', ' 7916852)']","[' 16732    (Average', ' 473.16 Last', ' 122578)']",[' 2181.0  '],"[' 765      (Average Length', ' 365.99 Splits', ' 0)']","[' 7916852  (Deleted', ' 7797416)']","[' 4        (Ratio', '   0.00%)']","[' 3272     (Ratio', '   0.04%)']","[' 7916852  (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7916852  (Average', '  2.24 Max', ' 2718 Sum', ' 17718686)']","[' 7916410  (Average', '  2.22 Max', ' 2718 Sum', ' 17571042 Ratio', '  99.17%)']","[' 442      (Average', ' 334.04 Max', ' 566 Sum', ' 147644 Ratio', '   0.83%)']", ,[' 78486   '],[' 4315    '],[' 78459   '],[' 43968   '],"[' 131900   (Atom=Atom', ' 40401 Body=Body', ' 23390 Other', ' 68109)']",[' Yes'],"[' 5038     (Eliminated', '    0 Frozen', ' 5038)']","[' 469      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.952896'],[' 0'], ,[' 253.289'],[' 0'],[' 4.32389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.57857e+07'],[' 3.65381e+07'],[' 0'],[' 3.00535e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA54,[' 20891716'],"[' 7678943  (Analyzed', ' 7574866)']","[' 16441    (Average', ' 460.73 Last', ' 34253)']",[' 2059.0  '],"[' 811      (Average Length', ' 391.26 Splits', ' 0)']","[' 7574866  (Deleted', ' 7460291)']","[' 8        (Ratio', '   0.00%)']","[' 4176     (Ratio', '   0.06%)']","[' 7574866  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7574866  (Average', '  2.55 Max', ' 2650 Sum', ' 19308375)']","[' 7574287  (Average', '  2.52 Max', ' 2650 Sum', ' 19102312 Ratio', '  98.93%)']","[' 579      (Average', ' 355.89 Max', ' 585 Sum', ' 206063 Ratio', '   1.07%)']", ,[' 79406   '],[' 4424    '],[' 79430   '],[' 44193   '],"[' 132575   (Atom=Atom', ' 40517 Body=Body', ' 23499 Other', ' 68559)']",[' Yes'],"[' 5198     (Eliminated', '    0 Frozen', ' 5198)']","[' 727      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.975667'],[' 0'], ,[' 253.507'],[' 0'],[' 4.27842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.9723e+07'],[' 3.90349e+07'],[' 0'],[' 3.01269e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA55,[' 22118693'],"[' 8236937  (Analyzed', ' 8147568)']","[' 16775    (Average', ' 485.70 Last', ' 165901)']",[' 2182.4  '],"[' 771      (Average Length', ' 377.13 Splits', ' 0)']","[' 8147568  (Deleted', ' 8024080)']","[' 9        (Ratio', '   0.00%)']","[' 4380     (Ratio', '   0.05%)']","[' 8147568  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8147568  (Average', '  2.51 Max', ' 3006 Sum', ' 20449598)']","[' 8147240  (Average', '  2.49 Max', ' 3006 Sum', ' 20326770 Ratio', '  99.40%)']","[' 328      (Average', ' 374.48 Max', ' 603 Sum', ' 122828 Ratio', '   0.60%)']", ,[' 79568   '],[' 4477    '],[' 79565   '],[' 45250   '],"[' 135746   (Atom=Atom', ' 41521 Body=Body', ' 23552 Other', ' 70673)']",[' Yes'],"[' 5224     (Eliminated', '    0 Frozen', ' 5224)']","[' 786      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.903049'],[' 0'], ,[' 250.234'],[' 0'],[' 4.45002'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.45341e+07'],[' 4.29511e+07'],[' 0'],[' 2.92534e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA56,[' 23764407'],"[' 8895356  (Analyzed', ' 8811275)']","[' 17984    (Average', ' 489.95 Last', ' 32459)']",[' 2002.5  '],"[' 713      (Average Length', ' 344.78 Splits', ' 0)']","[' 8811275  (Deleted', ' 8696793)']","[' 17       (Ratio', '   0.00%)']","[' 5655     (Ratio', '   0.06%)']","[' 8811275  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8811275  (Average', '  2.53 Max', ' 2645 Sum', ' 22319089)']","[' 8810695  (Average', '  2.51 Max', ' 2645 Sum', ' 22133293 Ratio', '  99.17%)']","[' 580      (Average', ' 320.34 Max', ' 532 Sum', ' 185796 Ratio', '   0.83%)']", ,[' 78580   '],[' 4426    '],[' 78518   '],[' 43715   '],"[' 131141   (Atom=Atom', ' 40037 Body=Body', ' 23501 Other', ' 67603)']",[' Yes'],"[' 5114     (Eliminated', '    0 Frozen', ' 5114)']","[' 952      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.859534'],[' 0'], ,[' 246.654'],[' 0'],[' 4.21861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.77788e+07'],[' 4.44462e+07'],[' 0'],[' 2.81772e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA57,[' 22800106'],"[' 9361409  (Analyzed', ' 9269598)']","[' 18584    (Average', ' 498.79 Last', ' 152187)']",[' 2271.1  '],"[' 735      (Average Length', ' 356.43 Splits', ' 0)']","[' 9269598  (Deleted', ' 9140493)']","[' 8        (Ratio', '   0.00%)']","[' 4138     (Ratio', '   0.04%)']","[' 9269598  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9269598  (Average', '  2.27 Max', ' 2898 Sum', ' 21063412)']","[' 9269207  (Average', '  2.26 Max', ' 2898 Sum', ' 20940072 Ratio', '  99.41%)']","[' 391      (Average', ' 315.45 Max', ' 534 Sum', ' 123340 Ratio', '   0.59%)']", ,[' 79157   '],[' 4425    '],[' 79119   '],[' 44890   '],"[' 134666   (Atom=Atom', ' 41213 Body=Body', ' 23500 Other', ' 69953)']",[' Yes'],"[' 5137     (Eliminated', '    0 Frozen', ' 5137)']","[' 768      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.930376'],[' 0'], ,[' 245.463'],[' 0'],[' 4.39301'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.53253e+07'],[' 4.18973e+07'],[' 0'],[' 2.85724e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA58,[' 19754025'],"[' 7638482  (Analyzed', ' 7573941)']","[' 16249    (Average', ' 466.12 Last', ' 27172)']",[' 2166.1  '],"[' 765      (Average Length', ' 370.82 Splits', ' 0)']","[' 7573941  (Deleted', ' 7466011)']","[' 6        (Ratio', '   0.00%)']","[' 3635     (Ratio', '   0.05%)']","[' 7573941  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7573941  (Average', '  2.39 Max', ' 2860 Sum', ' 18134889)']","[' 7573531  (Average', '  2.38 Max', ' 2860 Sum', ' 18012388 Ratio', '  99.32%)']","[' 410      (Average', ' 298.78 Max', ' 554 Sum', ' 122501 Ratio', '   0.68%)']", ,[' 79098   '],[' 4412    '],[' 79083   '],[' 44399   '],"[' 133193   (Atom=Atom', ' 40735 Body=Body', ' 23487 Other', ' 68971)']",[' Yes'],"[' 5147     (Eliminated', '    0 Frozen', ' 5147)']","[' 614      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.993805'],[' 0'], ,[' 252.445'],[' 0'],[' 4.72127'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.7513e+07'],[' 3.77484e+07'],[' 0'],[' 2.87338e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA59,[' 25386972'],"[' 10438882 (Analyzed', ' 10335005)']","[' 20525    (Average', ' 503.53 Last', ' 105394)']",[' 2158.6  '],"[' 761      (Average Length', ' 369.31 Splits', ' 0)']","[' 10335005 (Deleted', ' 10205269)']","[' 6        (Ratio', '   0.00%)']","[' 3765     (Ratio', '   0.04%)']","[' 10335005 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10335005 (Average', '  2.29 Max', ' 2838 Sum', ' 23671861)']","[' 10334578 (Average', '  2.28 Max', ' 2838 Sum', ' 23523324 Ratio', '  99.37%)']","[' 427      (Average', ' 347.86 Max', ' 614 Sum', ' 148537 Ratio', '   0.63%)']", ,[' 79307   '],[' 4415    '],[' 79289   '],[' 44596   '],"[' 133784   (Atom=Atom', ' 40929 Body=Body', ' 23490 Other', ' 69365)']",[' Yes'],"[' 5147     (Eliminated', '    0 Frozen', ' 5147)']","[' 559      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.855138'],[' 0'], ,[' 244.763'],[' 0'],[' 4.19313'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.04665e+07'],[' 4.47463e+07'],[' 0'],[' 3.04125e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
CPU Time     ,TA60,[' 20010385'],"[' 8541945  (Analyzed', ' 8433398)']","[' 17676    (Average', ' 477.11 Last', ' 162820)']",[' 2167.3  '],"[' 875      (Average Length', ' 420.82 Splits', ' 0)']","[' 8433398  (Deleted', ' 8295714)']","[' 17       (Ratio', '   0.00%)']","[' 3448     (Ratio', '   0.04%)']","[' 8433398  (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8433398  (Average', '  2.18 Max', ' 2721 Sum', ' 18355116)']","[' 8432794  (Average', '  2.14 Max', ' 2721 Sum', ' 18084432 Ratio', '  98.53%)']","[' 604      (Average', ' 448.15 Max', ' 634 Sum', ' 270684 Ratio', '   1.47%)']", ,[' 79023   '],[' 4452    '],[' 79103   '],[' 44701   '],"[' 134099   (Atom=Atom', ' 40997 Body=Body', ' 23527 Other', ' 69575)']",[' Yes'],"[' 5282     (Eliminated', '    0 Frozen', ' 5282)']","[' 615      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.925775'],[' 0'], ,[' 254.346'],[' 0'],[' 4.23522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.24904e+07'],[' 3.93088e+07'],[' 0'],[' 3.35666e+10'],[' 0'],[' 0'], ,[' '],[' '],[' '],[' '],[' ']
